ID;Perioden;Consumentenprijsindex1969100_1;Consumentenprijsindex1975100_2;Consumentenprijsindex1980100_3;Consumentenprijsindex1985100_4;Consumentenprijsindex1990100_5;Consumentenprijsindex1995100_6;Consumentenprijsindex2000100_7;Consumentenprijsindex2006100_8;Consumentenprijsindex2015100_9
652;2019 maart;;;;;;;;;105.37
653;2019 april;;;;;;;;;106.08
654;2019 mei;;;;;;;;;105.94
655;2019 juni;;;;;;;;;105.84
656;2019 juli;;;;;;;;;106.9
657;2019 augustus;;;;;;;;;107.37
658;2019 september;;;;;;;;;106.7
659;2019 oktober;;;;;;;;;107.16
660;2019 november;;;;;;;;;106.73
661;2019 december;;;;;;;;;106.8
662;2019;;;;;;;;;106.16
663;2020 januari;;;;;;;;;105.97
664;2020 februari;;;;;;;;;106.64
665;2020 maart;;;;;;;;;106.85
666;2020 april;;;;;;;;;107.34
667;2020 mei;;;;;;;;;107.18
668;2020 juni;;;;;;;;;107.51
669;2020 juli;;;;;;;;;108.69
670;2020 augustus;;;;;;;;;108.13
671;2020 september;;;;;;;;;107.88
672;2020 oktober;;;;;;;;;108.47
673;2020 november;;;;;;;;;107.61
674;2020 december;;;;;;;;;107.85
675;2020;;;;;;;;;107.51
676;2021 januari;;;;;;;;;107.62
677;2021 februari;;;;;;;;;108.57
678;2021 maart;;;;;;;;;108.87
679;2021 april;;;;;;;;;109.36
680;2021 mei;;;;;;;;;109.46
681;2021 juni;;;;;;;;;109.67
682;2021 juli;;;;;;;;;110.23
683;2021 augustus;;;;;;;;;110.71
684;2021 september;;;;;;;;;110.79
685;2021 oktober;;;;;;;;;112.18
686;2021 november;;;;;;;;;113.17
687;2021 december;;;;;;;;;114.01
688;2021;;;;;;;;;110.39
689;2022 januari;;;;;;;;;114.53
690;2022 februari;;;;;;;;;115.27
691;2022 maart;;;;;;;;;119.46
692;2022 april;;;;;;;;;119.81
693;2022 mei;;;;;;;;;119.05
694;2022 juni;;;;;;;;;119.05
695;2022 juli;;;;;;;;;121.57
696;2022 augustus;;;;;;;;;123.95
697;2022 september;;;;;;;;;126.89
698;2022 oktober;;;;;;;;;128.25
699;2022 november;;;;;;;;;124.35
700;2022 december;;;;;;;;;124.94
701;2022;;;;;;;;;121.43
702;2023 januari;;;;;;;;;123.21
703;2023 februari;;;;;;;;;124.45
704;2023 maart;;;;;;;;;124.72
705;2023 april;;;;;;;;;126.01
706;2023 mei;;;;;;;;;126.26
707;2023 juni;;;;;;;;;125.83
708;2023 juli;;;;;;;;;127.13
709;2023 augustus;;;;;;;;;127.7
710;2023 september;;;;;;;;;127.16
711;2023 oktober;;;;;;;;;127.73
712;2023 november;;;;;;;;;126.4
713;2023 december;;;;;;;;;126.45
714;2023;;;;;;;;;126.09
715;2024 januari;;;;;;;;;127.11
716;2024 februari;;;;;;;;;127.95
717;2024 maart;;;;;;;;;128.58
718;2024 april;;;;;;;;;129.42
719;2024 mei;;;;;;;;;129.69
720;2024 juni;;;;;;;;;129.91
721;2024 juli;;;;;;;;;131.82
722;2024 augustus;;;;;;;;;132.24
723;2024 september;;;;;;;;;131.61
724;2024 oktober;;;;;;;;;132.26
725;2024 november;;;;;;;;;131.48
726;2024 december;;;;;;;;;131.63
727;2024;;;;;;;;;130.31
728;2025 januari;;;;;;;;;131.35
729;2025 februari;;;;;;;;;132.8
730;2025 maart;;;;;;;;;133.33
