ID;BestemmingEnVerwerkingZuiveringsslib;RegioS;Perioden;NatSlib_1;DrogeStof_2;AsGloeirest_3;OrganischeFractie_4;StikstofverbindingenAlsN_5;FosforverbindingenAlsP_6;Koper_7;Chroom_8;Zink_9;Lood_10;Cadmium_11;Nikkel_12;Kwik_13;Arseen_14
93;Totaal;Oost-Nederland (LD);2018;264577;62884;19122;43762;3763;1891;22387;2890;71259;4800;60;1767;31;656
94;Totaal;Oost-Nederland (LD);2020;294380;63700;19507;44193;4024;2198;24508;2632;73493;4587;63;1744;29;612
95;Totaal;Oost-Nederland (LD);2022;346792;60993;19282;41711;4113;2149;20789;2710;64136;4149;59;1612;25;565
96;Totaal;West-Nederland (LD);1981;1979708;62443;24136;38307;2876;1390;29173;6834;110679;28204;552;3422;185;425
97;Totaal;West-Nederland (LD);1985;2046606;82931;33526;49405;3855;1660;41904;7540;149158;32116;709;4074;236;712
98;Totaal;West-Nederland (LD);1990;2996494;107098;40819;66279;6122;2505;56001;5707;150357;32443;725;3617;323;992
99;Totaal;West-Nederland (LD);1991;1213956;118628;46814;71814;6423;2838;61018;6062;149316;32653;732;3560;352;996
100;Totaal;West-Nederland (LD);1992;1147985;114569;45014;69555;6351;2476;54312;5340;157892;31314;762;3322;303;1173
101;Totaal;West-Nederland (LD);1993;871056;113035;46859;66176;6064;2798;52519;4752;134781;29243;441;3111;267;1083
102;Totaal;West-Nederland (LD);1994;937800;117880;49265;68615;6508;2106;45129;4198;124290;25813;264;3137;200;1184
103;Totaal;West-Nederland (LD);1995;811898;138480;57273;81207;6727;4289;58354;5290;152342;31517;288;3836;264;1585
104;Totaal;West-Nederland (LD);1996;510457;147521;60069;87452;7047;3253;60298;5268;140468;23698;266;3884;252;1339
105;Totaal;West-Nederland (LD);1997;446344;136682;57247;79435;5543;2741;55226;5214;125945;22107;241;3419;226;1295
106;Totaal;West-Nederland (LD);1998;477326;149213;63691;85522;7067;4439;58012;5705;147098;26823;272;5093;233;2202
107;Totaal;West-Nederland (LD);1999;463050;154765;69002;85763;6836;2774;62852;6250;151071;27561;317;4551;223;1811
108;Totaal;West-Nederland (LD);2000;445187;142375;54534;87841;6956;2912;52623;4779;139766;24775;247;3717;190;1590
109;Totaal;West-Nederland (LD);2001;476197;146262;49195;97067;7728;2747;54263;4642;142461;26140;282;3974;202;1656
110;Totaal;West-Nederland (LD);2002;465249;149400;58662;90738;8782;4419;60028;4623;154037;25169;257;3964;185;1740
111;Totaal;West-Nederland (LD);2003;487791;146670;55219;91451;6550;3791;60881;4780;146396;21218;250;3546;172;1587
112;Totaal;West-Nederland (LD);2004;452537;143856;51821;92035;5968;3527;56138;4761;147640;20922;234;3849;152;1659
113;Totaal;West-Nederland (LD);2005;480093;148448;52683;95765;8188;3274;56790;4567;193992;20485;234;3497;153;1688
114;Totaal;West-Nederland (LD);2006;627249;158279;55931;102348;8319;4612;60974;4766;153511;20823;206;3653;151;1655
115;Totaal;West-Nederland (LD);2007;556597;141474;51749;89725;7139;3540;58084;4597;149314;21213;198;3308;151;1902
116;Totaal;West-Nederland (LD);2008;569654;140085;45194;94891;7280;4536;59875;4375;154970;20544;175;3394;130;2001
117;Totaal;West-Nederland (LD);2009;555811;138763;44661;94102;6907;4153;58110;4400;146394;18802;151;3373;134;1687
118;Totaal;West-Nederland (LD);2010;554123;140115;45584;94531;7984;4716;60088;4658;156671;19716;167;3688;127;1832
119;Totaal;West-Nederland (LD);2011;540221;137624;42835;94789;7853;4532;60611;5062;144878;17814;160;5159;113;1699
120;Totaal;West-Nederland (LD);2012;534506;133712;44282;89430;7809;4551;56175;5063;138886;17781;171;3703;98;1722
121;Totaal;West-Nederland (LD);2013;527380;132329;40810;91519;7493;4587;55421;4374;133548;15588;140;3209;105;1851
122;Totaal;West-Nederland (LD);2014;531361;135540;43519;92021;7869;4788;56923;4509;132103;15045;130;3189;95;1709
123;Totaal;West-Nederland (LD);2015;537198;135542;42143;93399;7762;4741;56923;5011;137015;15553;157;3454;85;1982
124;Totaal;West-Nederland (LD);2016;513337;130265;37774;92491;7880;4632;50517;4043;131566;14432;115;3001;74;1693
125;Totaal;West-Nederland (LD);2018;541810;132718;36355;96363;7830;4326;53469;4098;132041;12378;127;2791;78;1832
126;Totaal;West-Nederland (LD);2020;562628;139549;37779;101770;8631;4989;54395;4565;140432;12785;121;2986;68;1835
127;Totaal;West-Nederland (LD);2022;535501;129250;34216;95034;7706;4735;48515;3829;122985;10578;105;2706;56;1639
128;Totaal;Zuid-Nederland (LD);1981;497084;52300;23944;28356;2288;1188;25726;18714;94836;22156;498;6949;126;334
129;Totaal;Zuid-Nederland (LD);1985;585250;69978;34059;35919;3678;1432;30403;18856;95480;27723;371;5665;137;350
130;Totaal;Zuid-Nederland (LD);1990;710170;106843;44050;62793;4837;2086;43215;12125;105108;19506;263;5990;170;544
131;Totaal;Zuid-Nederland (LD);1991;643016;105622;48275;57347;5030;2245;41872;12321;95342;18345;245;5230;161;557
132;Totaal;Zuid-Nederland (LD);1992;552994;102083;46738;55345;4223;1768;41756;9014;97278;17167;256;5109;139;513
133;Totaal;Zuid-Nederland (LD);1993;550069;99466;46098;53368;4231;1333;38281;9768;91565;16070;221;4882;113;507
134;Totaal;Zuid-Nederland (LD);1994;579257;110228;54637;55591;4466;2423;42104;9003;110482;19497;232;5683;135;576
135;Totaal;Zuid-Nederland (LD);1995;537662;110465;52912;57553;4514;2891;39057;9235;92977;15094;207;4368;110;565
136;Totaal;Zuid-Nederland (LD);1996;487433;97595;43313;54282;4256;2218;37014;8212;81092;12731;148;4716;94;516
137;Totaal;Zuid-Nederland (LD);1997;364255;95173;40087;55086;4256;1862;37674;7237;83209;12355;215;5316;135;604
138;Totaal;Zuid-Nederland (LD);1998;367452;96634;41028;55606;4354;1975;37826;7513;92234;13070;219;5414;99;740
139;Totaal;Zuid-Nederland (LD);1999;359971;100828;47006;53822;4766;1512;41150;8456;96609;13780;142;6067;98;902
140;Totaal;Zuid-Nederland (LD);2000;319545;88737;33557;55180;4341;1843;33442;6285;77433;11037;142;4208;82;672
141;Totaal;Zuid-Nederland (LD);2001;357661;95214;35912;59302;4847;1623;38405;6126;88779;12625;175;3998;81;782
