ID;CPA2015;Perioden;Prijsindex_1;Kwartaalmutaties_2;Jaarmutaties_3
5675;5222 Diensten ivm met vervoer over water;2005 4e kwartaal;;;
5676;5222 Diensten ivm met vervoer over water;2005;;;
5677;5222 Diensten ivm met vervoer over water;2006 1e kwartaal;;;
5678;5222 Diensten ivm met vervoer over water;2006 2e kwartaal;;;
5679;5222 Diensten ivm met vervoer over water;2006 3e kwartaal;;;
5680;5222 Diensten ivm met vervoer over water;2006 4e kwartaal;;;
5681;5222 Diensten ivm met vervoer over water;2006;;;
5682;5222 Diensten ivm met vervoer over water;2007 1e kwartaal;;;
5683;5222 Diensten ivm met vervoer over water;2007 2e kwartaal;;;
5684;5222 Diensten ivm met vervoer over water;2007 3e kwartaal;;;
5685;5222 Diensten ivm met vervoer over water;2007 4e kwartaal;;;
5686;5222 Diensten ivm met vervoer over water;2007;;;
5687;5222 Diensten ivm met vervoer over water;2008 1e kwartaal;;;
5688;5222 Diensten ivm met vervoer over water;2008 2e kwartaal;;;
5689;5222 Diensten ivm met vervoer over water;2008 3e kwartaal;;;
5690;5222 Diensten ivm met vervoer over water;2008 4e kwartaal;;;
5691;5222 Diensten ivm met vervoer over water;2008;;;
5692;5222 Diensten ivm met vervoer over water;2009 1e kwartaal;;;
5693;5222 Diensten ivm met vervoer over water;2009 2e kwartaal;;;
5694;5222 Diensten ivm met vervoer over water;2009 3e kwartaal;;;
5695;5222 Diensten ivm met vervoer over water;2009 4e kwartaal;;;
5696;5222 Diensten ivm met vervoer over water;2009;;;
5697;5222 Diensten ivm met vervoer over water;2010 1e kwartaal;;;
5698;5222 Diensten ivm met vervoer over water;2010 2e kwartaal;;;
5699;5222 Diensten ivm met vervoer over water;2010 3e kwartaal;;;
5700;5222 Diensten ivm met vervoer over water;2010 4e kwartaal;;;
5701;5222 Diensten ivm met vervoer over water;2010;;;
5702;5222 Diensten ivm met vervoer over water;2011 1e kwartaal;;;
5703;5222 Diensten ivm met vervoer over water;2011 2e kwartaal;;;
5704;5222 Diensten ivm met vervoer over water;2011 3e kwartaal;;;
5705;5222 Diensten ivm met vervoer over water;2011 4e kwartaal;;;
5706;5222 Diensten ivm met vervoer over water;2011;;;
5707;5222 Diensten ivm met vervoer over water;2012 1e kwartaal;;;
5708;5222 Diensten ivm met vervoer over water;2012 2e kwartaal;;;
5709;5222 Diensten ivm met vervoer over water;2012 3e kwartaal;;;
5710;5222 Diensten ivm met vervoer over water;2012 4e kwartaal;;;
5711;5222 Diensten ivm met vervoer over water;2012;;;
5712;5222 Diensten ivm met vervoer over water;2013 1e kwartaal;;;
5713;5222 Diensten ivm met vervoer over water;2013 2e kwartaal;;;
5714;5222 Diensten ivm met vervoer over water;2013 3e kwartaal;;;
5715;5222 Diensten ivm met vervoer over water;2013 4e kwartaal;;;
5716;5222 Diensten ivm met vervoer over water;2013;;;
5717;5222 Diensten ivm met vervoer over water;2014 1e kwartaal;;;
5718;5222 Diensten ivm met vervoer over water;2014 2e kwartaal;;;
5719;5222 Diensten ivm met vervoer over water;2014 3e kwartaal;;;
