ID;MeansOfTransport;Periods;CarbonDioxideCO2_1;DinitrogenOxideN2O_2;MethaneCH4_3;CarbonMonoxideCO_4;NMVOC_5;NitrogenOxidesNOx_6;Soot_7;PM10TotalParticulateMatter_8;PM10CombustionParticulateMatter_9;PM10WearParticulateMatter_10;PM25TotalParticulateMatter_11;PM25CombustionParticulateMatter_12;PM25WearParticulateMatter_13;AmmoniaNH3_14;SulphurDioxideSO2_15;CarbonDioxideCO2_16;DinitrogenOxideN2O_17;MethaneCH4_18;CarbonMonoxideCO_19;NMVOC_20;NitrogenOxidesNOx_21;Soot_22;PM10TotalParticulateMatter_23;PM10CombustionParticulateMatter_24;PM10WearParticulateMatter_25;PM25TotalParticulateMatter_26;PM25CombustionParticulateMatter_27;PM25WearParticulateMatter_28;AmmoniaNH3_29;SulphurDioxideSO2_30
118;Total vehicles with moped licence;2006;76;0.0;0.32;7.78;6.53;0.08;0.01;0.12;0.12;0.0;0.12;0.12;0.0;0.0;0.0;97.0;0.001;0.409;9.98;8.37;0.1;0.016;0.152;0.149;0.003;0.149;0.149;0.0;0.001;0.001
119;Total vehicles with moped licence;2007;81;0.0;0.33;8.29;6.82;0.08;0.01;0.13;0.13;0.0;0.13;0.13;0.0;0.0;0.0;94.0;0.001;0.386;9.61;7.91;0.09;0.015;0.151;0.148;0.003;0.148;0.148;0.0;0.001;0.001
120;Total vehicles with moped licence;2008;88;0.0;0.35;9.03;7.27;0.09;0.01;0.15;0.14;0.0;0.14;0.14;0.0;0.0;0.0;90.0;0.001;0.36;9.19;7.39;0.09;0.015;0.149;0.146;0.003;0.146;0.146;0.0;0.001;0.001
121;Total vehicles with moped licence;2009;98;0.0;0.36;10.55;7.47;0.11;0.02;0.15;0.15;0.0;0.15;0.15;0.0;0.0;0.0;85.0;0.001;0.315;9.17;6.49;0.09;0.014;0.133;0.13;0.003;0.13;0.13;0.0;0.001;0.001
122;Total vehicles with moped licence;2010;90;0.0;0.29;10.67;6.08;0.12;0.01;0.12;0.12;0.0;0.12;0.12;0.0;0.0;0.0;79.0;0.001;0.258;9.37;5.34;0.1;0.011;0.107;0.104;0.003;0.105;0.104;0.0;0.001;0.001
123;Total vehicles with moped licence;2011;91;0.0;0.27;11.51;5.52;0.13;0.01;0.11;0.1;0.0;0.1;0.1;0.0;0.0;0.0;76.0;0.001;0.221;9.6;4.6;0.11;0.009;0.089;0.086;0.003;0.087;0.086;0.0;0.001;0.001
124;Total vehicles with moped licence;2012;89;0.0;0.24;11.89;4.97;0.14;0.01;0.09;0.09;0.0;0.09;0.09;0.0;0.0;0.0;73.0;0.001;0.195;9.75;4.08;0.11;0.008;0.077;0.074;0.003;0.074;0.074;0.0;0.001;0.001
125;Total vehicles with moped licence;2013;86;0.0;0.21;11.96;4.47;0.14;0.01;0.08;0.08;0.0;0.08;0.08;0.0;0.0;0.0;71.0;0.001;0.175;9.86;3.69;0.11;0.007;0.067;0.064;0.003;0.065;0.064;0.0;0.001;0.001
126;Total vehicles with moped licence;2014;85;0.0;0.2;12.17;4.16;0.14;0.01;0.07;0.07;0.0;0.07;0.07;0.0;0.0;0.0;70.0;0.001;0.161;9.94;3.4;0.12;0.006;0.06;0.057;0.003;0.058;0.057;0.0;0.001;0.001
127;Total vehicles with moped licence;2015;83;0.0;0.18;12.2;3.78;0.14;0.01;0.06;0.06;0.0;0.06;0.06;0.0;0.0;0.0;68.0;0.001;0.146;9.99;3.1;0.12;0.006;0.053;0.05;0.003;0.05;0.05;0.0;0.001;0.001
128;Total vehicles with moped licence;2016;82;0.0;0.16;12.33;3.47;0.15;0.01;0.06;0.05;0.0;0.05;0.05;0.0;0.0;0.0;67.0;0.001;0.132;10.05;2.83;0.12;0.005;0.046;0.043;0.003;0.044;0.043;0.0;0.001;0.001
129;Total vehicles with moped licence;2017;83;0.0;0.15;12.81;3.33;0.15;0.01;0.05;0.05;0.0;0.05;0.05;0.0;0.0;0.0;66.0;0.001;0.122;10.11;2.63;0.12;0.004;0.041;0.038;0.003;0.038;0.038;0.0;0.001;0.001
130;Total vehicles with moped licence;2018;81;0.0;0.14;12.87;3.0;0.16;0.0;0.04;0.04;0.0;0.04;0.04;0.0;0.0;0.0;64.0;0.001;0.109;10.15;2.37;0.12;0.004;0.035;0.032;0.003;0.032;0.032;0.0;0.001;0.001
131;Total vehicles with moped licence;2019;78;0.0;0.12;12.06;2.71;0.15;0.0;0.04;0.03;0.0;0.04;0.03;0.0;0.0;0.0;62.0;0.001;0.099;9.62;2.16;0.12;0.003;0.031;0.028;0.003;0.028;0.028;0.0;0.001;0.001
132;Total vehicles with moped licence;2020;75;0.0;0.11;10.84;2.44;0.14;0.0;0.03;0.03;0.0;0.03;0.03;0.0;0.0;0.0;58.0;0.001;0.086;8.46;1.91;0.11;0.003;0.026;0.023;0.003;0.024;0.023;0.0;0.001;0.001
133;Total vehicles with moped licence;2021;73;0.0;0.1;9.82;2.3;0.13;0.0;0.03;0.03;0.0;0.03;0.03;0.0;0.0;0.0;55.0;0.001;0.078;7.41;1.73;0.1;0.002;0.024;0.021;0.003;0.021;0.021;0.0;0.001;0.001
134;Total vehicles with moped licence;2022;68;0.0;0.09;8.6;1.93;0.11;0.0;0.03;0.02;0.0;0.02;0.02;0.0;0.0;0.0;51.0;0.001;0.064;6.45;1.45;0.09;0.002;0.02;0.017;0.003;0.017;0.017;0.0;0.001;0.001
135;Total vehicles with moped licence;2023;62;0.0;0.07;7.44;1.68;0.1;0.0;0.02;0.02;0.0;0.02;0.02;0.0;0.0;0.0;48.0;0.001;0.057;5.78;1.31;0.08;0.002;0.018;0.015;0.003;0.015;0.015;0.0;0.001;0.001
136;Light weight commercial motor vehicles;1990;2195;0.0;0.48;46.91;11.77;20.86;2.02;3.9;3.73;0.17;3.76;3.73;0.03;0.02;1.82;;;;;;;;;;;;;;;
137;Light weight commercial motor vehicles;1991;2246;0.01;0.45;43.54;10.89;21.69;1.93;3.73;3.55;0.18;3.58;3.55;0.03;0.02;1.92;;;;;;;;;;;;;;;
138;Light weight commercial motor vehicles;1992;2453;0.02;0.42;41.98;9.68;22.32;1.9;3.64;3.44;0.2;3.47;3.44;0.03;0.03;2.14;;;;;;;;;;;;;;;
139;Light weight commercial motor vehicles;1993;2675;0.03;0.38;40.52;8.63;22.19;1.81;3.43;3.22;0.21;3.26;3.22;0.04;0.04;2.38;;;;;;;;;;;;;;;
140;Light weight commercial motor vehicles;1994;2724;0.04;0.32;35.91;7.2;20.36;1.63;3.03;2.82;0.21;2.86;2.82;0.03;0.05;2.39;;;;;;;;;;;;;;;
141;Light weight commercial motor vehicles;1995;2733;0.05;0.26;31.15;5.89;18.58;1.47;2.68;2.48;0.2;2.51;2.48;0.03;0.05;2.23;;;;;;;;;;;;;;;
142;Light weight commercial motor vehicles;1996;2834;0.06;0.22;26.97;4.87;17.42;1.39;2.48;2.28;0.21;2.31;2.28;0.03;0.06;1.75;;;;;;;;;;;;;;;
143;Light weight commercial motor vehicles;1997;3041;0.07;0.18;23.59;4.13;16.87;1.4;2.41;2.19;0.21;2.23;2.19;0.04;0.07;0.81;;;;;;;;;;;;;;;
144;Light weight commercial motor vehicles;1998;3320;0.07;0.16;20.78;3.59;16.98;1.45;2.42;2.2;0.23;2.23;2.2;0.04;0.08;0.9;;;;;;;;;;;;;;;
145;Light weight commercial motor vehicles;1999;3653;0.08;0.14;18.42;3.28;17.7;1.56;2.52;2.28;0.24;2.32;2.28;0.04;0.08;1.01;;;;;;;;;;;;;;;
146;Light weight commercial motor vehicles;2000;3693;0.09;0.14;16.42;3.01;18.78;1.68;2.66;2.4;0.26;2.44;2.4;0.04;0.09;0.6;;;;;;;;;;;;;;;
147;Light weight commercial motor vehicles;2001;3955;0.09;0.14;14.62;2.7;19.36;1.71;2.67;2.39;0.28;2.44;2.39;0.05;0.08;0.1;;;;;;;;;;;;;;;
148;Light weight commercial motor vehicles;2002;4014;0.09;0.13;12.89;2.42;19.25;1.64;2.55;2.26;0.28;2.31;2.26;0.05;0.08;0.08;;;;;;;;;;;;;;;
149;Light weight commercial motor vehicles;2003;4115;0.09;0.12;11.27;2.03;18.95;1.57;2.42;2.13;0.29;2.18;2.13;0.05;0.08;0.07;;;;;;;;;;;;;;;
150;Light weight commercial motor vehicles;2004;4290;0.09;0.11;10.53;1.87;19.33;1.55;2.38;2.08;0.3;2.13;2.08;0.05;0.09;0.09;244.0;0.005;0.006;0.6;0.11;1.1;0.088;0.135;0.118;0.017;0.121;0.118;0.003;0.005;0.005
151;Light weight commercial motor vehicles;2005;4145;0.09;0.1;8.8;1.56;19.5;1.43;2.19;1.9;0.3;1.95;1.9;0.05;0.08;0.02;233.0;0.005;0.006;0.49;0.09;1.1;0.081;0.123;0.107;0.017;0.109;0.107;0.003;0.005;0.001
152;Light weight commercial motor vehicles;2006;3868;0.09;0.09;7.15;1.26;18.73;1.25;1.91;1.63;0.28;1.67;1.63;0.05;0.08;0.03;225.0;0.005;0.005;0.42;0.07;1.09;0.073;0.111;0.095;0.017;0.098;0.095;0.003;0.004;0.002
153;Light weight commercial motor vehicles;2007;3804;0.09;0.08;6.05;1.05;18.95;1.14;1.75;1.46;0.29;1.51;1.46;0.05;0.07;0.03;218.0;0.005;0.004;0.35;0.06;1.08;0.065;0.1;0.083;0.016;0.086;0.083;0.003;0.004;0.001
154;Light weight commercial motor vehicles;2008;3732;0.09;0.07;5.12;0.86;19.11;1.03;1.58;1.29;0.29;1.34;1.29;0.05;0.07;0.02;210.0;0.005;0.004;0.29;0.05;1.08;0.058;0.089;0.073;0.016;0.075;0.073;0.003;0.004;0.001
155;Light weight commercial motor vehicles;2009;3507;0.09;0.06;4.23;0.66;18.45;0.89;1.36;1.08;0.28;1.12;1.08;0.05;0.07;0.02;202.0;0.005;0.003;0.24;0.04;1.06;0.051;0.078;0.062;0.016;0.065;0.062;0.003;0.004;0.001
156;Light weight commercial motor vehicles;2010;3480;0.09;0.07;3.9;0.65;18.34;0.8;1.25;0.97;0.28;1.02;0.97;0.05;0.07;0.02;202.0;0.005;0.004;0.23;0.04;1.07;0.047;0.073;0.057;0.016;0.059;0.057;0.003;0.004;0.001
157;Light weight commercial motor vehicles;2011;3447;0.08;0.1;3.52;0.72;18.25;0.69;1.12;0.84;0.28;0.88;0.84;0.05;0.06;0.02;203.0;0.005;0.006;0.21;0.04;1.08;0.041;0.066;0.049;0.016;0.052;0.049;0.003;0.004;0.001
158;Light weight commercial motor vehicles;2012;3381;0.08;0.13;3.14;0.78;18.0;0.59;0.99;0.72;0.27;0.76;0.72;0.05;0.06;0.02;204.0;0.005;0.008;0.19;0.05;1.09;0.035;0.06;0.043;0.017;0.046;0.043;0.003;0.004;0.001
159;Light weight commercial motor vehicles;2013;3323;0.08;0.14;2.97;0.83;17.71;0.51;0.89;0.62;0.27;0.67;0.62;0.05;0.06;0.02;205.0;0.005;0.009;0.18;0.05;1.09;0.031;0.055;0.038;0.017;0.041;0.038;0.003;0.004;0.001
160;Light weight commercial motor vehicles;2014;3329;0.08;0.16;2.79;0.88;17.74;0.45;0.83;0.55;0.27;0.6;0.55;0.05;0.06;0.02;205.0;0.005;0.01;0.17;0.05;1.09;0.028;0.051;0.034;0.017;0.037;0.034;0.003;0.004;0.001
161;Light weight commercial motor vehicles;2015;3385;0.08;0.18;2.67;0.93;17.98;0.4;0.78;0.5;0.28;0.54;0.5;0.05;0.06;0.02;206.0;0.005;0.011;0.16;0.06;1.09;0.025;0.047;0.03;0.017;0.033;0.03;0.003;0.004;0.001
162;Light weight commercial motor vehicles;2016;3512;0.09;0.2;2.7;1.01;18.05;0.36;0.74;0.45;0.29;0.5;0.45;0.05;0.06;0.02;206.0;0.005;0.012;0.16;0.06;1.06;0.021;0.043;0.026;0.017;0.029;0.026;0.003;0.004;0.001
163;Light weight commercial motor vehicles;2017;3626;0.09;0.22;2.78;1.08;17.06;0.33;0.71;0.41;0.3;0.46;0.41;0.05;0.07;0.02;206.0;0.005;0.013;0.16;0.06;0.97;0.019;0.041;0.023;0.017;0.026;0.023;0.003;0.004;0.001
164;Light weight commercial motor vehicles;2018;3737;0.09;0.24;2.9;1.13;16.82;0.32;0.71;0.4;0.31;0.45;0.4;0.05;0.07;0.02;206.0;0.005;0.013;0.16;0.06;0.93;0.018;0.039;0.022;0.017;0.025;0.022;0.003;0.004;0.001
165;Light weight commercial motor vehicles;2019;3834;0.1;0.26;2.88;1.19;15.55;0.26;0.65;0.33;0.33;0.38;0.33;0.05;0.08;0.02;206.0;0.005;0.014;0.16;0.06;0.84;0.014;0.035;0.018;0.018;0.021;0.018;0.003;0.004;0.001
166;Light weight commercial motor vehicles;2020;3726;0.1;0.25;2.87;1.14;12.86;0.2;0.58;0.26;0.32;0.31;0.26;0.05;0.1;0.02;206.0;0.005;0.014;0.16;0.06;0.71;0.011;0.032;0.014;0.018;0.017;0.014;0.003;0.006;0.001
167;Light weight commercial motor vehicles;2021;3889;0.11;0.25;3.42;1.16;12.21;0.18;0.57;0.23;0.34;0.29;0.23;0.06;0.15;0.02;207.0;0.006;0.013;0.18;0.06;0.65;0.01;0.03;0.012;0.018;0.015;0.012;0.003;0.008;0.001
168;Light weight commercial motor vehicles;2022;3951;0.12;0.24;3.79;1.12;11.26;0.15;0.55;0.2;0.35;0.26;0.2;0.06;0.18;0.02;207.0;0.006;0.013;0.2;0.06;0.59;0.008;0.029;0.011;0.018;0.014;0.011;0.003;0.009;0.001
169;Light weight commercial motor vehicles;2023;3963;0.12;0.23;4.16;1.06;10.24;0.13;0.53;0.18;0.35;0.24;0.18;0.06;0.18;0.02;206.0;0.006;0.012;0.22;0.05;0.53;0.007;0.027;0.009;0.018;0.012;0.009;0.003;0.01;0.001
170;Heavy weight commercial motor vehicles;1990;5446;0.06;0.36;21.68;8.71;83.13;2.24;4.88;4.43;0.45;4.51;4.43;0.08;0.02;6.19;;;;;;;;;;;;;;;
171;Heavy weight commercial motor vehicles;1991;5666;0.07;0.39;22.7;9.24;85.83;2.39;5.19;4.72;0.47;4.8;4.72;0.08;0.02;6.52;;;;;;;;;;;;;;;
172;Heavy weight commercial motor vehicles;1992;5917;0.07;0.38;23.08;9.15;87.1;2.4;5.19;4.69;0.5;4.78;4.69;0.08;0.02;6.8;;;;;;;;;;;;;;;
173;Heavy weight commercial motor vehicles;1993;5819;0.07;0.35;21.78;8.44;82.24;2.26;4.84;4.35;0.49;4.43;4.35;0.08;0.02;6.69;;;;;;;;;;;;;;;
174;Heavy weight commercial motor vehicles;1994;5746;0.07;0.33;20.6;7.96;77.67;2.17;4.6;4.1;0.49;4.19;4.1;0.08;0.02;6.43;;;;;;;;;;;;;;;
175;Heavy weight commercial motor vehicles;1995;5895;0.07;0.31;19.61;7.42;75.67;2.08;4.34;3.83;0.51;3.92;3.83;0.09;0.02;6.04;;;;;;;;;;;;;;;
176;Heavy weight commercial motor vehicles;1996;5779;0.07;0.28;17.75;6.59;70.89;1.88;3.88;3.38;0.5;3.47;3.38;0.08;0.02;4.41;;;;;;;;;;;;;;;
177;Heavy weight commercial motor vehicles;1997;5776;0.07;0.25;16.27;5.9;68.27;1.69;3.49;2.98;0.5;3.07;2.98;0.09;0.02;1.86;;;;;;;;;;;;;;;
178;Heavy weight commercial motor vehicles;1998;5797;0.07;0.23;15.02;5.41;66.35;1.54;3.17;2.66;0.51;2.75;2.66;0.09;0.02;1.87;;;;;;;;;;;;;;;
179;Heavy weight commercial motor vehicles;1999;6137;0.08;0.22;14.8;5.23;68.73;1.48;3.05;2.51;0.54;2.61;2.51;0.09;0.02;1.98;;;;;;;;;;;;;;;
180;Heavy weight commercial motor vehicles;2000;5983;0.08;0.2;13.72;4.78;66.2;1.32;2.74;2.21;0.53;2.3;2.21;0.09;0.02;1.12;;;;;;;;;;;;;;;
181;Heavy weight commercial motor vehicles;2001;5830;0.07;0.19;13.12;4.5;64.31;1.21;2.53;2.02;0.51;2.1;2.02;0.09;0.02;0.16;;;;;;;;;;;;;;;
182;Heavy weight commercial motor vehicles;2002;5800;0.07;0.17;12.6;4.13;62.82;1.09;2.28;1.76;0.51;1.85;1.76;0.09;0.02;0.13;;;;;;;;;;;;;;;
183;Heavy weight commercial motor vehicles;2003;5769;0.07;0.16;12.44;3.92;62.2;1.01;2.12;1.61;0.51;1.7;1.61;0.09;0.02;0.12;;;;;;;;;;;;;;;
184;Heavy weight commercial motor vehicles;2004;5791;0.07;0.16;12.54;3.8;62.55;0.96;2.04;1.52;0.52;1.61;1.52;0.09;0.02;0.13;857.0;0.01;0.024;1.86;0.56;9.25;0.142;0.301;0.225;0.077;0.238;0.225;0.013;0.003;0.019
185;Heavy weight commercial motor vehicles;2005;5772;0.1;0.14;12.82;3.43;59.34;0.84;1.85;1.33;0.51;1.42;1.33;0.09;0.03;0.03;839.0;0.015;0.021;1.86;0.5;8.62;0.122;0.269;0.194;0.075;0.206;0.194;0.013;0.005;0.004
186;Heavy weight commercial motor vehicles;2006;5962;0.14;0.14;13.58;3.21;57.21;0.74;1.7;1.17;0.53;1.26;1.17;0.09;0.04;0.04;846.0;0.02;0.019;1.93;0.46;8.12;0.105;0.241;0.166;0.075;0.179;0.166;0.013;0.006;0.006
187;Heavy weight commercial motor vehicles;2007;6180;0.18;0.12;14.37;2.95;55.09;0.62;1.54;0.99;0.55;1.09;0.99;0.09;0.06;0.04;853.0;0.025;0.017;1.98;0.41;7.6;0.086;0.213;0.137;0.076;0.15;0.137;0.013;0.008;0.006
188;Heavy weight commercial motor vehicles;2008;6389;0.22;0.11;15.19;2.68;52.58;0.5;1.36;0.8;0.56;0.9;0.8;0.1;0.07;0.04;861.0;0.03;0.015;2.05;0.36;7.08;0.067;0.184;0.108;0.076;0.121;0.108;0.013;0.009;0.006
189;Heavy weight commercial motor vehicles;2009;6363;0.26;0.1;15.46;2.3;48.02;0.35;1.13;0.57;0.56;0.67;0.57;0.1;0.08;0.04;867.0;0.035;0.013;2.11;0.31;6.54;0.048;0.154;0.078;0.077;0.091;0.078;0.013;0.011;0.006
190;Heavy weight commercial motor vehicles;2010;6341;0.28;0.11;14.39;2.56;44.93;0.31;1.07;0.51;0.56;0.6;0.51;0.09;0.09;0.04;868.0;0.038;0.015;1.97;0.35;6.15;0.043;0.146;0.07;0.076;0.083;0.07;0.013;0.012;0.006
191;Heavy weight commercial motor vehicles;2011;6307;0.3;0.12;13.49;2.81;42.01;0.27;1.01;0.45;0.56;0.55;0.45;0.09;0.09;0.04;870.0;0.041;0.017;1.86;0.39;5.8;0.037;0.139;0.062;0.077;0.075;0.062;0.013;0.013;0.006
192;Heavy weight commercial motor vehicles;2012;6226;0.31;0.13;12.63;3.05;39.34;0.24;0.95;0.41;0.55;0.5;0.41;0.09;0.1;0.04;873.0;0.044;0.018;1.77;0.43;5.51;0.033;0.134;0.057;0.077;0.07;0.057;0.013;0.014;0.006
193;Heavy weight commercial motor vehicles;2013;5886;0.3;0.14;11.18;3.26;34.46;0.21;0.88;0.36;0.52;0.45;0.36;0.09;0.15;0.04;874.0;0.045;0.021;1.66;0.48;5.11;0.031;0.13;0.054;0.077;0.067;0.054;0.013;0.022;0.006
194;Heavy weight commercial motor vehicles;2014;5860;0.31;0.15;10.12;3.42;31.65;0.19;0.85;0.34;0.52;0.43;0.34;0.09;0.21;0.04;871.0;0.045;0.022;1.5;0.51;4.71;0.028;0.127;0.05;0.077;0.063;0.05;0.013;0.031;0.006
195;Heavy weight commercial motor vehicles;2015;6095;0.32;0.16;9.35;3.65;30.4;0.18;0.86;0.33;0.54;0.42;0.33;0.09;0.28;0.04;868.0;0.046;0.023;1.33;0.52;4.33;0.026;0.123;0.046;0.077;0.059;0.046;0.013;0.04;0.006
196;Heavy weight commercial motor vehicles;2016;6443;0.35;0.17;8.92;3.93;29.94;0.17;0.89;0.32;0.57;0.42;0.32;0.1;0.35;0.04;867.0;0.047;0.023;1.2;0.53;4.03;0.023;0.12;0.043;0.077;0.056;0.043;0.013;0.047;0.006
197;Heavy weight commercial motor vehicles;2017;6542;0.35;0.18;8.41;4.05;28.93;0.17;0.9;0.31;0.58;0.41;0.31;0.1;0.4;0.04;866.0;0.047;0.023;1.11;0.54;3.83;0.022;0.119;0.042;0.077;0.055;0.042;0.013;0.052;0.006
198;Heavy weight commercial motor vehicles;2018;6584;0.36;0.18;8.11;4.12;28.23;0.17;0.9;0.32;0.58;0.41;0.32;0.1;0.42;0.04;870.0;0.047;0.024;1.07;0.54;3.73;0.022;0.118;0.042;0.077;0.055;0.042;0.013;0.055;0.006
199;Heavy weight commercial motor vehicles;2019;6638;0.36;0.19;7.12;4.27;26.06;0.16;0.88;0.3;0.59;0.4;0.3;0.1;0.48;0.04;870.0;0.047;0.024;0.93;0.56;3.42;0.02;0.116;0.039;0.077;0.052;0.039;0.013;0.062;0.006
200;Heavy weight commercial motor vehicles;2020;6631;0.36;0.19;6.09;4.33;23.1;0.14;0.86;0.27;0.59;0.37;0.27;0.1;0.53;0.04;873.0;0.048;0.025;0.8;0.57;3.04;0.019;0.113;0.035;0.078;0.048;0.035;0.013;0.07;0.006
201;Heavy weight commercial motor vehicles;2021;6768;0.37;0.19;5.72;4.44;22.56;0.14;0.87;0.27;0.6;0.37;0.27;0.1;0.57;0.04;876.0;0.048;0.025;0.74;0.57;2.92;0.018;0.112;0.034;0.078;0.048;0.034;0.013;0.073;0.006
202;Heavy weight commercial motor vehicles;2022;6988;0.38;0.2;5.49;4.61;22.74;0.14;0.89;0.27;0.62;0.37;0.27;0.1;0.61;0.05;878.0;0.048;0.025;0.69;0.58;2.86;0.017;0.112;0.034;0.078;0.047;0.034;0.013;0.077;0.006
203;Heavy weight commercial motor vehicles;2023;6832;0.38;0.2;5.1;4.65;21.81;0.14;0.87;0.26;0.61;0.37;0.26;0.1;0.63;0.04;880.0;0.049;0.026;0.66;0.6;2.81;0.017;0.112;0.034;0.078;0.047;0.034;0.013;0.081;0.006
204;Buses;1990;602;0.01;0.21;4.11;4.94;10.14;0.65;1.35;1.31;0.05;1.31;1.31;0.01;0.0;0.64;;;;;;;;;;;;;;;
205;Buses;1991;609;0.01;0.18;3.96;4.4;10.05;0.6;1.24;1.19;0.05;1.2;1.19;0.01;0.0;0.65;;;;;;;;;;;;;;;
206;Buses;1992;605;0.01;0.17;3.74;3.98;9.8;0.55;1.14;1.09;0.05;1.1;1.09;0.01;0.0;0.65;;;;;;;;;;;;;;;
207;Buses;1993;607;0.01;0.15;3.54;3.6;9.58;0.51;1.06;1.01;0.05;1.02;1.01;0.01;0.0;0.65;;;;;;;;;;;;;;;
208;Buses;1994;608;0.01;0.14;3.46;3.37;9.5;0.48;1.0;0.95;0.05;0.96;0.95;0.01;0.0;0.63;;;;;;;;;;;;;;;
209;Buses;1995;622;0.01;0.13;3.35;3.2;9.6;0.46;0.95;0.9;0.05;0.91;0.9;0.01;0.0;0.59;;;;;;;;;;;;;;;
210;Buses;1996;622;0.01;0.12;3.18;2.9;9.39;0.42;0.88;0.83;0.05;0.84;0.83;0.01;0.0;0.44;;;;;;;;;;;;;;;
211;Buses;1997;600;0.01;0.11;2.97;2.63;8.92;0.39;0.81;0.76;0.05;0.77;0.76;0.01;0.0;0.18;;;;;;;;;;;;;;;
212;Buses;1998;593;0.01;0.1;2.71;2.32;8.58;0.35;0.73;0.68;0.05;0.69;0.68;0.01;0.0;0.18;;;;;;;;;;;;;;;
213;Buses;1999;591;0.01;0.1;2.7;2.34;8.57;0.35;0.73;0.68;0.05;0.69;0.68;0.01;0.0;0.17;;;;;;;;;;;;;;;
214;Buses;2000;591;0.01;0.07;2.38;1.59;8.33;0.27;0.56;0.51;0.05;0.52;0.51;0.01;0.0;0.1;;;;;;;;;;;;;;;
215;Buses;2001;575;0.01;0.05;2.08;1.31;7.75;0.23;0.48;0.43;0.05;0.44;0.43;0.01;0.0;0.01;;;;;;;;;;;;;;;
216;Buses;2002;585;0.01;0.05;2.04;1.26;7.66;0.23;0.47;0.42;0.05;0.43;0.42;0.01;0.0;0.01;;;;;;;;;;;;;;;
217;Buses;2003;563;0.01;0.05;1.84;1.1;7.1;0.2;0.42;0.37;0.04;0.38;0.37;0.01;0.0;0.01;;;;;;;;;;;;;;;
218;Buses;2004;543;0.01;0.04;1.59;0.9;6.5;0.17;0.36;0.31;0.04;0.32;0.31;0.01;0.0;0.01;966.0;0.01;0.067;2.83;1.61;11.57;0.3;0.632;0.555;0.078;0.567;0.555;0.013;0.003;0.02
219;Buses;2005;509;0.01;0.03;1.3;0.71;5.48;0.14;0.29;0.25;0.04;0.25;0.25;0.01;0.0;0.0;906.0;0.013;0.056;2.31;1.26;9.75;0.241;0.513;0.441;0.073;0.453;0.441;0.012;0.005;0.004
220;Buses;2006;500;0.01;0.03;1.07;0.55;4.68;0.11;0.23;0.19;0.04;0.2;0.19;0.01;0.0;0.0;898.0;0.017;0.052;1.91;0.99;8.41;0.192;0.418;0.346;0.072;0.358;0.346;0.012;0.007;0.006
221;Buses;2007;516;0.01;0.03;0.89;0.42;4.11;0.08;0.19;0.15;0.04;0.16;0.15;0.01;0.01;0.0;893.0;0.02;0.046;1.53;0.73;7.11;0.146;0.329;0.258;0.071;0.269;0.258;0.012;0.01;0.006
222;Buses;2008;526;0.01;0.03;0.67;0.28;3.44;0.06;0.14;0.1;0.04;0.11;0.1;0.01;0.01;0.0;889.0;0.024;0.046;1.14;0.47;5.81;0.1;0.239;0.169;0.071;0.18;0.169;0.011;0.012;0.005
223;Buses;2009;545;0.02;0.04;0.49;0.13;2.76;0.03;0.09;0.05;0.04;0.06;0.05;0.01;0.01;0.0;888.0;0.027;0.06;0.8;0.21;4.5;0.054;0.15;0.08;0.07;0.091;0.08;0.011;0.014;0.005
224;Buses;2010;558;0.02;0.06;0.52;0.13;2.66;0.03;0.09;0.05;0.04;0.05;0.05;0.01;0.01;0.0;890.0;0.028;0.089;0.83;0.21;4.24;0.049;0.143;0.072;0.071;0.084;0.072;0.011;0.014;0.005
225;Buses;2011;557;0.02;0.06;0.52;0.13;2.64;0.03;0.09;0.05;0.04;0.05;0.05;0.01;0.01;0.0;889.0;0.029;0.098;0.83;0.21;4.21;0.05;0.145;0.073;0.072;0.085;0.073;0.012;0.013;0.005
226;Buses;2012;536;0.02;0.06;0.55;0.15;2.49;0.03;0.09;0.04;0.04;0.05;0.04;0.01;0.01;0.0;879.0;0.029;0.105;0.9;0.24;4.08;0.049;0.144;0.072;0.072;0.084;0.072;0.012;0.014;0.005
227;Buses;2013;537;0.02;0.08;0.6;0.16;2.35;0.03;0.09;0.04;0.04;0.05;0.04;0.01;0.01;0.0;882.0;0.029;0.136;0.98;0.26;3.86;0.046;0.141;0.068;0.073;0.08;0.068;0.012;0.013;0.005
228;Buses;2014;518;0.02;0.08;0.54;0.16;2.05;0.02;0.08;0.04;0.04;0.04;0.04;0.01;0.01;0.0;874.0;0.03;0.134;0.92;0.27;3.46;0.04;0.135;0.061;0.074;0.073;0.061;0.012;0.012;0.005
229;Buses;2015;511;0.02;0.07;0.51;0.16;1.94;0.02;0.08;0.03;0.04;0.04;0.03;0.01;0.01;0.0;864.0;0.031;0.122;0.86;0.27;3.28;0.037;0.131;0.057;0.074;0.069;0.057;0.012;0.012;0.005
230;Buses;2016;493;0.02;0.07;0.46;0.16;1.7;0.02;0.07;0.03;0.04;0.04;0.03;0.01;0.01;0.0;850.0;0.032;0.122;0.79;0.27;2.93;0.033;0.126;0.051;0.075;0.063;0.051;0.012;0.01;0.005
231;Buses;2017;523;0.02;0.07;0.46;0.17;1.67;0.02;0.08;0.03;0.05;0.04;0.03;0.01;0.01;0.0;842.0;0.032;0.113;0.73;0.27;2.68;0.029;0.122;0.046;0.076;0.058;0.046;0.012;0.009;0.005
