ID;Geslacht;Leeftijd;RegioS;DiagnoseIndelingISHMT;Perioden;TotaalOpnamen_1;TotaalOpnamenPer10000Inwoners_2;Dagopnamen_3;DagopnamenPer10000Inwoners_4;KlinischeOpnamen_5;KlinischeOpnamenPer10000Inwoners_6;VerpleegdagenVanKlinischeOpnamen_7;VerpleegdagenPer10000Inwoners_8;GemVerpleegduurPerKlinischeOpname_9
83;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;2000;4110.0;2.5;43.0;0.0;4067.0;2.5;25795.0;16.2;6.3
84;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;2001;3828.0;2.4;66.0;0.0;3762.0;2.2;23871.0;14.8;6.3
85;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;2002;3952.0;2.4;45.0;0.0;3907.0;2.4;23050.0;14.3;5.9
86;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;2003;4549.0;2.7;62.0;0.0;4487.0;2.7;25683.0;15.8;5.6
87;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;2004;4505.0;2.7;101.0;0.1;4404.0;2.7;25091.0;15.3;5.6
88;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;2005;5053.0;3.0;116.0;0.1;4937.0;3.0;29284.0;17.8;5.9
89;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;2006;5940.0;3.5;81.0;0.0;5859.0;3.5;32756.0;20.0;5.5
90;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;2007;5433.0;3.2;82.0;0.1;5351.0;3.2;30668.0;18.7;5.6
91;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;2008;6923.0;4.1;144.0;0.1;6779.0;4.0;37054.0;22.5;5.5
92;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;2009;6741.0;4.0;158.0;0.1;6583.0;4.0;36121.0;21.8;5.5
93;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;2010;7284.0;4.4;174.0;0.1;7110.0;4.3;39017.0;23.5;5.5
94;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;2011;7834.0;4.6;283.0;0.2;7551.0;4.5;39039.0;23.3;5.1
95;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;2012;8555.0;5.0;389.0;0.2;8166.0;4.9;42143.0;25.2;5.1
