ID;Sales;Products;Periods;IndexNumbers_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3;IndexNumbers_4;MonthOnMonthDevelopment_5;YearOnYearDevelopment_6
2132;Total sales;14221100 Kaolin and other kaolinic clays;2005 April;;;;;;
2133;Total sales;14221100 Kaolin and other kaolinic clays;2005 May;;;;;;
2134;Total sales;14221100 Kaolin and other kaolinic clays;2005 June;;;;;;
2135;Total sales;14221100 Kaolin and other kaolinic clays;2005 July;;;;;;
2136;Total sales;14221100 Kaolin and other kaolinic clays;2005 August;;;;;;
2137;Total sales;14221100 Kaolin and other kaolinic clays;2005 September;;;;;;
2138;Total sales;14221100 Kaolin and other kaolinic clays;2005 October;;;;;;
2139;Total sales;14221100 Kaolin and other kaolinic clays;2005 November;;;;;;
2140;Total sales;14221100 Kaolin and other kaolinic clays;2005 December;;;;;;
2141;Total sales;14221100 Kaolin and other kaolinic clays;2005;;;;;;
2142;Total sales;14221100 Kaolin and other kaolinic clays;2006 January;;;;;;
2143;Total sales;14221100 Kaolin and other kaolinic clays;2006 February;;;;;;
2144;Total sales;14221100 Kaolin and other kaolinic clays;2006 March;;;;;;
2145;Total sales;14221100 Kaolin and other kaolinic clays;2006 April;;;;;;
2146;Total sales;14221100 Kaolin and other kaolinic clays;2006 May;;;;;;
2147;Total sales;14221100 Kaolin and other kaolinic clays;2006 June;;;;;;
2148;Total sales;14221100 Kaolin and other kaolinic clays;2006 July;;;;;;
2149;Total sales;14221100 Kaolin and other kaolinic clays;2006 August;;;;;;
2150;Total sales;14221200 Other clays, andalusite, kyanti;2000 January;;;;;;
2151;Total sales;14221200 Other clays, andalusite, kyanti;2000 February;;;;;;
2152;Total sales;14221200 Other clays, andalusite, kyanti;2000 March;;;;;;
2153;Total sales;14221200 Other clays, andalusite, kyanti;2000 April;;;;;;
2154;Total sales;14221200 Other clays, andalusite, kyanti;2000 May;;;;;;
2155;Total sales;14221200 Other clays, andalusite, kyanti;2000 June;;;;;;
2156;Total sales;14221200 Other clays, andalusite, kyanti;2000 July;;;;;;
2157;Total sales;14221200 Other clays, andalusite, kyanti;2000 August;;;;;;
2158;Total sales;14221200 Other clays, andalusite, kyanti;2000 September;;;;;;
2159;Total sales;14221200 Other clays, andalusite, kyanti;2000 October;;;;;;
2160;Total sales;14221200 Other clays, andalusite, kyanti;2000 November;;;;;;
2161;Total sales;14221200 Other clays, andalusite, kyanti;2000 December;;;;;;
2162;Total sales;14221200 Other clays, andalusite, kyanti;2000;100.0;;;100.0;;
2163;Total sales;14221200 Other clays, andalusite, kyanti;2001 January;;;;;;
2164;Total sales;14221200 Other clays, andalusite, kyanti;2001 February;;;;;;
2165;Total sales;14221200 Other clays, andalusite, kyanti;2001 March;;;;;;
2166;Total sales;14221200 Other clays, andalusite, kyanti;2001 April;;;;;;
2167;Total sales;14221200 Other clays, andalusite, kyanti;2001 May;;;;;;
2168;Total sales;14221200 Other clays, andalusite, kyanti;2001 June;;;;;;
2169;Total sales;14221200 Other clays, andalusite, kyanti;2001 July;;;;;;
2170;Total sales;14221200 Other clays, andalusite, kyanti;2001 August;;;;;;
2171;Total sales;14221200 Other clays, andalusite, kyanti;2001 September;;;;;;
2172;Total sales;14221200 Other clays, andalusite, kyanti;2001 October;;;;;;
2173;Total sales;14221200 Other clays, andalusite, kyanti;2001 November;;;;;;
2174;Total sales;14221200 Other clays, andalusite, kyanti;2001 December;;;;;;
2175;Total sales;14221200 Other clays, andalusite, kyanti;2001;;;;;;
2176;Total sales;14221200 Other clays, andalusite, kyanti;2002 January;;;;;;
2177;Total sales;14221200 Other clays, andalusite, kyanti;2002 February;;;;;;
2178;Total sales;14221200 Other clays, andalusite, kyanti;2002 March;;;;;;
2179;Total sales;14221200 Other clays, andalusite, kyanti;2002 April;;;;;;
2180;Total sales;14221200 Other clays, andalusite, kyanti;2002 May;;;;;;
2181;Total sales;14221200 Other clays, andalusite, kyanti;2002 June;;;;;;
2182;Total sales;14221200 Other clays, andalusite, kyanti;2002 July;;;;;;
2183;Total sales;14221200 Other clays, andalusite, kyanti;2002 August;;;;;;
2184;Total sales;14221200 Other clays, andalusite, kyanti;2002 September;;;;;;
2185;Total sales;14221200 Other clays, andalusite, kyanti;2002 October;;;;;;
2186;Total sales;14221200 Other clays, andalusite, kyanti;2002 November;;;;;;
2187;Total sales;14221200 Other clays, andalusite, kyanti;2002 December;;;;;;
2188;Total sales;14221200 Other clays, andalusite, kyanti;2002;;;;;;
2189;Total sales;14221200 Other clays, andalusite, kyanti;2003 January;;;;;;
2190;Total sales;14221200 Other clays, andalusite, kyanti;2003 February;;;;;;
2191;Total sales;14221200 Other clays, andalusite, kyanti;2003 March;;;;;;
2192;Total sales;14221200 Other clays, andalusite, kyanti;2003 April;;;;;;
2193;Total sales;14221200 Other clays, andalusite, kyanti;2003 May;;;;;;
2194;Total sales;14221200 Other clays, andalusite, kyanti;2003 June;;;;;;
2195;Total sales;14221200 Other clays, andalusite, kyanti;2003 July;;;;;;
2196;Total sales;14221200 Other clays, andalusite, kyanti;2003 August;;;;;;
2197;Total sales;14221200 Other clays, andalusite, kyanti;2003 September;;;;;;
2198;Total sales;14221200 Other clays, andalusite, kyanti;2003 October;;;;;;
2199;Total sales;14221200 Other clays, andalusite, kyanti;2003 November;;;;;;
2200;Total sales;14221200 Other clays, andalusite, kyanti;2003 December;;;;;;
2201;Total sales;14221200 Other clays, andalusite, kyanti;2003;;;;;;
2202;Total sales;14221200 Other clays, andalusite, kyanti;2004 January;;;;;;
2203;Total sales;14221200 Other clays, andalusite, kyanti;2004 February;;;;;;
2204;Total sales;14221200 Other clays, andalusite, kyanti;2004 March;;;;;;
2205;Total sales;14221200 Other clays, andalusite, kyanti;2004 April;;;;;;
2206;Total sales;14221200 Other clays, andalusite, kyanti;2004 May;;;;;;
2207;Total sales;14221200 Other clays, andalusite, kyanti;2004 June;;;;;;
2208;Total sales;14221200 Other clays, andalusite, kyanti;2004 July;;;;;;
2209;Total sales;14221200 Other clays, andalusite, kyanti;2004 August;;;;;;
2210;Total sales;14221200 Other clays, andalusite, kyanti;2004 September;;;;;;
2211;Total sales;14221200 Other clays, andalusite, kyanti;2004 October;;;;;;
2212;Total sales;14221200 Other clays, andalusite, kyanti;2004 November;;;;;;
2213;Total sales;14221200 Other clays, andalusite, kyanti;2004 December;;;;;;
2214;Total sales;14221200 Other clays, andalusite, kyanti;2004;;;;;;
2215;Total sales;14221200 Other clays, andalusite, kyanti;2005 January;;;;;;
2216;Total sales;14221200 Other clays, andalusite, kyanti;2005 February;;;;;;
2217;Total sales;14221200 Other clays, andalusite, kyanti;2005 March;;;;;;
2218;Total sales;14221200 Other clays, andalusite, kyanti;2005 April;;;;;;
2219;Total sales;14221200 Other clays, andalusite, kyanti;2005 May;;;;;;
2220;Total sales;14221200 Other clays, andalusite, kyanti;2005 June;;;;;;
2221;Total sales;14221200 Other clays, andalusite, kyanti;2005 July;;;;;;
2222;Total sales;14221200 Other clays, andalusite, kyanti;2005 August;;;;;;
2223;Total sales;14221200 Other clays, andalusite, kyanti;2005 September;;;;;;
2224;Total sales;14221200 Other clays, andalusite, kyanti;2005 October;;;;;;
2225;Total sales;14221200 Other clays, andalusite, kyanti;2005 November;;;;;;
2226;Total sales;14221200 Other clays, andalusite, kyanti;2005 December;;;;;;
2227;Total sales;14221200 Other clays, andalusite, kyanti;2005;;;;;;
2228;Total sales;14221200 Other clays, andalusite, kyanti;2006 January;;;;;;
2229;Total sales;14221200 Other clays, andalusite, kyanti;2006 February;;;;;;
2230;Total sales;14221200 Other clays, andalusite, kyanti;2006 March;;;;;;
2231;Total sales;14221200 Other clays, andalusite, kyanti;2006 April;;;;;;
2232;Total sales;14221200 Other clays, andalusite, kyanti;2006 May;;;;;;
2233;Total sales;14221200 Other clays, andalusite, kyanti;2006 June;;;;;;
2234;Total sales;14221200 Other clays, andalusite, kyanti;2006 July;;;;;;
2235;Total sales;14221200 Other clays, andalusite, kyanti;2006 August;;;;;;
2236;Total sales;14300000 Mining of chemical and fertiliz;2000 January;99.9;;;99.9;;
2237;Total sales;14300000 Mining of chemical and fertiliz;2000 February;99.9;0.0;;99.9;0.0;
2238;Total sales;14300000 Mining of chemical and fertiliz;2000 March;99.9;0.0;;99.9;0.0;
2239;Total sales;14300000 Mining of chemical and fertiliz;2000 April;99.9;0.0;;99.9;0.0;
2240;Total sales;14300000 Mining of chemical and fertiliz;2000 May;99.9;0.0;;99.9;0.0;
2241;Total sales;14300000 Mining of chemical and fertiliz;2000 June;99.9;0.0;;99.9;0.0;
2242;Total sales;14300000 Mining of chemical and fertiliz;2000 July;99.9;0.0;;99.9;0.0;
2243;Total sales;14300000 Mining of chemical and fertiliz;2000 August;99.9;0.0;;99.9;0.0;
2244;Total sales;14300000 Mining of chemical and fertiliz;2000 September;99.9;0.0;;99.9;0.0;
2245;Total sales;14300000 Mining of chemical and fertiliz;2000 October;100.2;0.3;;100.2;0.3;
2246;Total sales;14300000 Mining of chemical and fertiliz;2000 November;100.2;0.0;;100.2;0.0;
2247;Total sales;14300000 Mining of chemical and fertiliz;2000 December;100.2;0.0;;100.2;0.0;
2248;Total sales;14300000 Mining of chemical and fertiliz;2000;100.0;;;100.0;;
2249;Total sales;14300000 Mining of chemical and fertiliz;2001 January;103.7;3.4;3.7;103.7;3.4;3.7
2250;Total sales;14300000 Mining of chemical and fertiliz;2001 February;103.7;0.0;3.7;103.7;0.0;3.7
2251;Total sales;14300000 Mining of chemical and fertiliz;2001 March;103.7;0.0;3.7;103.7;0.0;3.7
2252;Total sales;14300000 Mining of chemical and fertiliz;2001 April;103.8;0.2;3.9;103.8;0.2;3.9
2253;Total sales;14300000 Mining of chemical and fertiliz;2001 May;103.8;0.0;3.9;103.8;0.0;3.9
2254;Total sales;14300000 Mining of chemical and fertiliz;2001 June;103.8;0.0;3.9;103.8;0.0;3.9
2255;Total sales;14300000 Mining of chemical and fertiliz;2001 July;103.8;0.0;3.9;103.8;0.0;3.9
2256;Total sales;14300000 Mining of chemical and fertiliz;2001 August;103.8;0.0;3.9;103.8;0.0;3.9
2257;Total sales;14300000 Mining of chemical and fertiliz;2001 September;103.8;0.0;3.9;103.8;0.0;3.9
2258;Total sales;14300000 Mining of chemical and fertiliz;2001 October;104.7;0.8;4.4;104.7;0.8;4.4
2259;Total sales;14300000 Mining of chemical and fertiliz;2001 November;104.7;0.0;4.4;104.7;0.0;4.4
2260;Total sales;14300000 Mining of chemical and fertiliz;2001 December;104.7;0.0;4.4;104.7;0.0;4.4
2261;Total sales;14300000 Mining of chemical and fertiliz;2001;104.0;;4.0;104.0;;4.0
2262;Total sales;14300000 Mining of chemical and fertiliz;2002 January;103.2;-1.4;-0.5;103.2;-1.4;-0.5
2263;Total sales;14300000 Mining of chemical and fertiliz;2002 February;103.2;0.0;-0.5;103.2;0.0;-0.5
2264;Total sales;14300000 Mining of chemical and fertiliz;2002 March;103.2;0.0;-0.5;103.2;0.0;-0.5
2265;Total sales;14300000 Mining of chemical and fertiliz;2002 April;109.5;6.1;5.4;109.5;6.1;5.4
2266;Total sales;14300000 Mining of chemical and fertiliz;2002 May;109.5;0.0;5.4;109.5;0.0;5.4
2267;Total sales;14300000 Mining of chemical and fertiliz;2002 June;109.5;0.0;5.4;109.5;0.0;5.4
2268;Total sales;14300000 Mining of chemical and fertiliz;2002 July;109.1;-0.4;5.0;109.1;-0.4;5.0
2269;Total sales;14300000 Mining of chemical and fertiliz;2002 August;109.1;0.0;5.0;109.1;0.0;5.0
2270;Total sales;14300000 Mining of chemical and fertiliz;2002 September;109.1;0.0;5.0;109.1;0.0;5.0
2271;Total sales;14300000 Mining of chemical and fertiliz;2002 October;109.2;0.2;4.4;109.2;0.2;4.4
2272;Total sales;14300000 Mining of chemical and fertiliz;2002 November;109.2;0.0;4.4;109.2;0.0;4.4
2273;Total sales;14300000 Mining of chemical and fertiliz;2002 December;109.2;0.0;4.4;109.2;0.0;4.4
2274;Total sales;14300000 Mining of chemical and fertiliz;2002;107.7;;3.6;107.7;;3.6
2275;Total sales;14300000 Mining of chemical and fertiliz;2003 January;109.8;0.5;6.4;109.8;0.5;6.4
2276;Total sales;14300000 Mining of chemical and fertiliz;2003 February;109.8;0.0;6.4;109.8;0.0;6.4
2277;Total sales;14300000 Mining of chemical and fertiliz;2003 March;109.8;0.0;6.4;109.8;0.0;6.4
2278;Total sales;14300000 Mining of chemical and fertiliz;2003 April;110.8;0.9;1.2;110.8;0.9;1.2
2279;Total sales;14300000 Mining of chemical and fertiliz;2003 May;110.8;0.0;1.2;110.8;0.0;1.2
2280;Total sales;14300000 Mining of chemical and fertiliz;2003 June;110.8;0.0;1.2;110.8;0.0;1.2
2281;Total sales;14300000 Mining of chemical and fertiliz;2003 July;111.6;0.7;2.3;111.6;0.7;2.3
2282;Total sales;14300000 Mining of chemical and fertiliz;2003 August;111.6;0.0;2.3;111.6;0.0;2.3
2283;Total sales;14300000 Mining of chemical and fertiliz;2003 September;111.6;0.0;2.3;111.6;0.0;2.3
2284;Total sales;14300000 Mining of chemical and fertiliz;2003 October;109.7;-1.7;0.4;109.7;-1.7;0.4
2285;Total sales;14300000 Mining of chemical and fertiliz;2003 November;109.7;0.0;0.4;109.7;0.0;0.4
2286;Total sales;14300000 Mining of chemical and fertiliz;2003 December;109.7;0.0;0.4;109.7;0.0;0.4
2287;Total sales;14300000 Mining of chemical and fertiliz;2003;110.4;;2.5;110.4;;2.5
2288;Total sales;14300000 Mining of chemical and fertiliz;2004 January;111.7;1.9;1.8;111.7;1.9;1.8
2289;Total sales;14300000 Mining of chemical and fertiliz;2004 February;111.7;0.0;1.8;111.7;0.0;1.8
2290;Total sales;14300000 Mining of chemical and fertiliz;2004 March;111.7;0.0;1.8;111.7;0.0;1.8
2291;Total sales;14300000 Mining of chemical and fertiliz;2004 April;111.8;0.0;0.9;111.8;0.0;0.9
2292;Total sales;14300000 Mining of chemical and fertiliz;2004 May;111.8;0.0;0.9;111.8;0.0;0.9
2293;Total sales;14300000 Mining of chemical and fertiliz;2004 June;111.8;0.0;0.9;111.8;0.0;0.9
2294;Total sales;14300000 Mining of chemical and fertiliz;2004 July;112.0;0.2;0.4;112.0;0.2;0.4
2295;Total sales;14300000 Mining of chemical and fertiliz;2004 August;112.0;0.0;0.4;112.0;0.0;0.4
2296;Total sales;14300000 Mining of chemical and fertiliz;2004 September;112.0;0.0;0.4;112.0;0.0;0.4
2297;Total sales;14300000 Mining of chemical and fertiliz;2004 October;112.1;0.0;2.2;112.1;0.0;2.2
2298;Total sales;14300000 Mining of chemical and fertiliz;2004 November;112.1;0.0;2.2;112.1;0.0;2.2
2299;Total sales;14300000 Mining of chemical and fertiliz;2004 December;111.3;-0.7;1.4;111.3;-0.7;1.4
2300;Total sales;14300000 Mining of chemical and fertiliz;2004;111.8;;1.3;111.8;;1.3
2301;Total sales;14300000 Mining of chemical and fertiliz;2005 January;111.0;-0.2;-0.6;111.0;-0.2;-0.6
2302;Total sales;14300000 Mining of chemical and fertiliz;2005 February;111.0;0.0;-0.6;111.0;0.0;-0.6
2303;Total sales;14300000 Mining of chemical and fertiliz;2005 March;111.0;0.0;-0.6;111.0;0.0;-0.6
2304;Total sales;14300000 Mining of chemical and fertiliz;2005 April;111.0;0.0;-0.6;111.0;0.0;-0.6
2305;Total sales;14300000 Mining of chemical and fertiliz;2005 May;111.0;0.0;-0.6;111.0;0.0;-0.6
2306;Total sales;14300000 Mining of chemical and fertiliz;2005 June;111.0;0.0;-0.6;111.0;0.0;-0.6
2307;Total sales;14300000 Mining of chemical and fertiliz;2005 July;111.0;-0.1;-0.9;111.0;-0.1;-0.9
2308;Total sales;14300000 Mining of chemical and fertiliz;2005 August;111.0;0.0;-0.9;111.0;0.0;-0.9
2309;Total sales;14300000 Mining of chemical and fertiliz;2005 September;111.0;0.0;-0.9;111.0;0.0;-0.9
2310;Total sales;14300000 Mining of chemical and fertiliz;2005 October;110.9;-0.1;-1.0;110.9;-0.1;-1.0
2311;Total sales;14300000 Mining of chemical and fertiliz;2005 November;110.9;0.0;-1.0;110.9;0.0;-1.0
2312;Total sales;14300000 Mining of chemical and fertiliz;2005 December;110.9;0.0;-0.3;110.9;0.0;-0.3
2313;Total sales;14300000 Mining of chemical and fertiliz;2005;111.0;;-0.8;111.0;;-0.8
2314;Total sales;14300000 Mining of chemical and fertiliz;2006 January;107.2;-3.4;-3.5;107.2;-3.4;-3.5
2315;Total sales;14300000 Mining of chemical and fertiliz;2006 February;107.2;0.0;-3.5;107.2;0.0;-3.5
2316;Total sales;14300000 Mining of chemical and fertiliz;2006 March;107.2;0.0;-3.5;107.2;0.0;-3.5
2317;Total sales;14300000 Mining of chemical and fertiliz;2006 April;107.3;0.1;-3.4;107.3;0.1;-3.4
2318;Total sales;14300000 Mining of chemical and fertiliz;2006 May;107.3;0.0;-3.4;107.3;0.0;-3.4
2319;Total sales;14300000 Mining of chemical and fertiliz;2006 June;107.3;0.0;-3.4;107.3;0.0;-3.4
2320;Total sales;14300000 Mining of chemical and fertiliz;2006 July;107.5;0.2;-3.2;107.5;0.2;-3.2
2321;Total sales;14300000 Mining of chemical and fertiliz;2006 August;107.5;0.0;-3.2;107.5;0.0;-3.2
2322;Total sales;14301100 Natural calcium or aluminium ca;2000 January;;;;;;
2323;Total sales;14301100 Natural calcium or aluminium ca;2000 February;;;;;;
2324;Total sales;14301100 Natural calcium or aluminium ca;2000 March;;;;;;
2325;Total sales;14301100 Natural calcium or aluminium ca;2000 April;;;;;;
2326;Total sales;14301100 Natural calcium or aluminium ca;2000 May;;;;;;
2327;Total sales;14301100 Natural calcium or aluminium ca;2000 June;;;;;;
2328;Total sales;14301100 Natural calcium or aluminium ca;2000 July;;;;;;
2329;Total sales;14301100 Natural calcium or aluminium ca;2000 August;;;;;;
2330;Total sales;14301100 Natural calcium or aluminium ca;2000 September;;;;;;
2331;Total sales;14301100 Natural calcium or aluminium ca;2000 October;;;;;;
2332;Total sales;14301100 Natural calcium or aluminium ca;2000 November;;;;;;
2333;Total sales;14301100 Natural calcium or aluminium ca;2000 December;;;;;;
2334;Total sales;14301100 Natural calcium or aluminium ca;2000;;;;;;
2335;Total sales;14301100 Natural calcium or aluminium ca;2001 January;;;;;;
2336;Total sales;14301100 Natural calcium or aluminium ca;2001 February;;;;;;
2337;Total sales;14301100 Natural calcium or aluminium ca;2001 March;;;;;;
2338;Total sales;14301100 Natural calcium or aluminium ca;2001 April;;;;;;
2339;Total sales;14301100 Natural calcium or aluminium ca;2001 May;;;;;;
2340;Total sales;14301100 Natural calcium or aluminium ca;2001 June;;;;;;
2341;Total sales;14301100 Natural calcium or aluminium ca;2001 July;;;;;;
2342;Total sales;14301100 Natural calcium or aluminium ca;2001 August;;;;;;
2343;Total sales;14301100 Natural calcium or aluminium ca;2001 September;;;;;;
2344;Total sales;14301100 Natural calcium or aluminium ca;2001 October;;;;;;
2345;Total sales;14301100 Natural calcium or aluminium ca;2001 November;;;;;;
2346;Total sales;14301100 Natural calcium or aluminium ca;2001 December;;;;;;
2347;Total sales;14301100 Natural calcium or aluminium ca;2001;;;;;;
2348;Total sales;14301100 Natural calcium or aluminium ca;2002 January;;;;;;
2349;Total sales;14301100 Natural calcium or aluminium ca;2002 February;;;;;;
2350;Total sales;14301100 Natural calcium or aluminium ca;2002 March;;;;;;
2351;Total sales;14301100 Natural calcium or aluminium ca;2002 April;;;;;;
2352;Total sales;14301100 Natural calcium or aluminium ca;2002 May;;;;;;
2353;Total sales;14301100 Natural calcium or aluminium ca;2002 June;;;;;;
2354;Total sales;14301100 Natural calcium or aluminium ca;2002 July;;;;;;
2355;Total sales;14301100 Natural calcium or aluminium ca;2002 August;;;;;;
2356;Total sales;14301100 Natural calcium or aluminium ca;2002 September;;;;;;
2357;Total sales;14301100 Natural calcium or aluminium ca;2002 October;;;;;;
2358;Total sales;14301100 Natural calcium or aluminium ca;2002 November;;;;;;
2359;Total sales;14301100 Natural calcium or aluminium ca;2002 December;;;;;;
2360;Total sales;14301100 Natural calcium or aluminium ca;2002;;;;;;
2361;Total sales;14301100 Natural calcium or aluminium ca;2003 January;;;;;;
2362;Total sales;14301100 Natural calcium or aluminium ca;2003 February;;;;;;
2363;Total sales;14301100 Natural calcium or aluminium ca;2003 March;;;;;;
2364;Total sales;14301100 Natural calcium or aluminium ca;2003 April;;;;;;
2365;Total sales;14301100 Natural calcium or aluminium ca;2003 May;;;;;;
2366;Total sales;14301100 Natural calcium or aluminium ca;2003 June;;;;;;
2367;Total sales;14301100 Natural calcium or aluminium ca;2003 July;;;;;;
2368;Total sales;14301100 Natural calcium or aluminium ca;2003 August;;;;;;
2369;Total sales;14301100 Natural calcium or aluminium ca;2003 September;;;;;;
2370;Total sales;14301100 Natural calcium or aluminium ca;2003 October;;;;;;
2371;Total sales;14301100 Natural calcium or aluminium ca;2003 November;;;;;;
2372;Total sales;14301100 Natural calcium or aluminium ca;2003 December;;;;;;
2373;Total sales;14301100 Natural calcium or aluminium ca;2003;;;;;;
2374;Total sales;14301100 Natural calcium or aluminium ca;2004 January;;;;;;
2375;Total sales;14301100 Natural calcium or aluminium ca;2004 February;;;;;;
2376;Total sales;14301100 Natural calcium or aluminium ca;2004 March;;;;;;
2377;Total sales;14301100 Natural calcium or aluminium ca;2004 April;;;;;;
2378;Total sales;14301100 Natural calcium or aluminium ca;2004 May;;;;;;
2379;Total sales;14301100 Natural calcium or aluminium ca;2004 June;;;;;;
2380;Total sales;14301100 Natural calcium or aluminium ca;2004 July;;;;;;
2381;Total sales;14301100 Natural calcium or aluminium ca;2004 August;;;;;;
2382;Total sales;14301100 Natural calcium or aluminium ca;2004 September;;;;;;
2383;Total sales;14301100 Natural calcium or aluminium ca;2004 October;;;;;;
2384;Total sales;14301100 Natural calcium or aluminium ca;2004 November;;;;;;
2385;Total sales;14301100 Natural calcium or aluminium ca;2004 December;;;;;;
2386;Total sales;14301100 Natural calcium or aluminium ca;2004;;;;;;
2387;Total sales;14301100 Natural calcium or aluminium ca;2005 January;;;;;;
2388;Total sales;14301100 Natural calcium or aluminium ca;2005 February;;;;;;
2389;Total sales;14301100 Natural calcium or aluminium ca;2005 March;;;;;;
2390;Total sales;14301100 Natural calcium or aluminium ca;2005 April;;;;;;
2391;Total sales;14301100 Natural calcium or aluminium ca;2005 May;;;;;;
2392;Total sales;14301100 Natural calcium or aluminium ca;2005 June;;;;;;
2393;Total sales;14301100 Natural calcium or aluminium ca;2005 July;;;;;;
2394;Total sales;14301100 Natural calcium or aluminium ca;2005 August;;;;;;
2395;Total sales;14301100 Natural calcium or aluminium ca;2005 September;;;;;;
2396;Total sales;14301100 Natural calcium or aluminium ca;2005 October;;;;;;
2397;Total sales;14301100 Natural calcium or aluminium ca;2005 November;;;;;;
2398;Total sales;14301100 Natural calcium or aluminium ca;2005 December;;;;;;
2399;Total sales;14301100 Natural calcium or aluminium ca;2005;;;;;;
2400;Total sales;14301100 Natural calcium or aluminium ca;2006 January;;;;;;
2401;Total sales;14301100 Natural calcium or aluminium ca;2006 February;;;;;;
2402;Total sales;14301100 Natural calcium or aluminium ca;2006 March;;;;;;
2403;Total sales;14301100 Natural calcium or aluminium ca;2006 April;;;;;;
2404;Total sales;14301100 Natural calcium or aluminium ca;2006 May;;;;;;
2405;Total sales;14301100 Natural calcium or aluminium ca;2006 June;;;;;;
2406;Total sales;14301100 Natural calcium or aluminium ca;2006 July;;;;;;
2407;Total sales;14301100 Natural calcium or aluminium ca;2006 August;;;;;;
2408;Total sales;14301300 Other chemical minerals;2000 January;;;;;;
2409;Total sales;14301300 Other chemical minerals;2000 February;;;;;;
2410;Total sales;14301300 Other chemical minerals;2000 March;;;;;;
2411;Total sales;14301300 Other chemical minerals;2000 April;;;;;;
2412;Total sales;14301300 Other chemical minerals;2000 May;;;;;;
2413;Total sales;14301300 Other chemical minerals;2000 June;;;;;;
2414;Total sales;14301300 Other chemical minerals;2000 July;;;;;;
2415;Total sales;14301300 Other chemical minerals;2000 August;;;;;;
2416;Total sales;14301300 Other chemical minerals;2000 September;;;;;;
2417;Total sales;14301300 Other chemical minerals;2000 October;;;;;;
2418;Total sales;14301300 Other chemical minerals;2000 November;;;;;;
2419;Total sales;14301300 Other chemical minerals;2000 December;;;;;;
2420;Total sales;14301300 Other chemical minerals;2000;100.0;;;100.0;;
2421;Total sales;14301300 Other chemical minerals;2001 January;;;;;;
2422;Total sales;14301300 Other chemical minerals;2001 February;;;;;;
2423;Total sales;14301300 Other chemical minerals;2001 March;;;;;;
2424;Total sales;14301300 Other chemical minerals;2001 April;;;;;;
2425;Total sales;14301300 Other chemical minerals;2001 May;;;;;;
2426;Total sales;14301300 Other chemical minerals;2001 June;;;;;;
2427;Total sales;14301300 Other chemical minerals;2001 July;;;;;;
2428;Total sales;14301300 Other chemical minerals;2001 August;;;;;;
2429;Total sales;14301300 Other chemical minerals;2001 September;;;;;;
2430;Total sales;14301300 Other chemical minerals;2001 October;;;;;;
2431;Total sales;14301300 Other chemical minerals;2001 November;;;;;;
2432;Total sales;14301300 Other chemical minerals;2001 December;;;;;;
2433;Total sales;14301300 Other chemical minerals;2001;;;;;;
2434;Total sales;14301300 Other chemical minerals;2002 January;;;;;;
2435;Total sales;14301300 Other chemical minerals;2002 February;;;;;;
2436;Total sales;14301300 Other chemical minerals;2002 March;;;;;;
2437;Total sales;14301300 Other chemical minerals;2002 April;;;;;;
2438;Total sales;14301300 Other chemical minerals;2002 May;;;;;;
2439;Total sales;14301300 Other chemical minerals;2002 June;;;;;;
2440;Total sales;14301300 Other chemical minerals;2002 July;;;;;;
2441;Total sales;14301300 Other chemical minerals;2002 August;;;;;;
2442;Total sales;14301300 Other chemical minerals;2002 September;;;;;;
2443;Total sales;14301300 Other chemical minerals;2002 October;;;;;;
2444;Total sales;14301300 Other chemical minerals;2002 November;;;;;;
2445;Total sales;14301300 Other chemical minerals;2002 December;;;;;;
2446;Total sales;14301300 Other chemical minerals;2002;;;;;;
2447;Total sales;14301300 Other chemical minerals;2003 January;;;;;;
2448;Total sales;14301300 Other chemical minerals;2003 February;;;;;;
2449;Total sales;14301300 Other chemical minerals;2003 March;;;;;;
2450;Total sales;14301300 Other chemical minerals;2003 April;;;;;;
2451;Total sales;14301300 Other chemical minerals;2003 May;;;;;;
2452;Total sales;14301300 Other chemical minerals;2003 June;;;;;;
2453;Total sales;14301300 Other chemical minerals;2003 July;;;;;;
2454;Total sales;14301300 Other chemical minerals;2003 August;;;;;;
2455;Total sales;14301300 Other chemical minerals;2003 September;;;;;;
2456;Total sales;14301300 Other chemical minerals;2003 October;;;;;;
2457;Total sales;14301300 Other chemical minerals;2003 November;;;;;;
2458;Total sales;14301300 Other chemical minerals;2003 December;;;;;;
2459;Total sales;14301300 Other chemical minerals;2003;;;;;;
2460;Total sales;14301300 Other chemical minerals;2004 January;;;;;;
2461;Total sales;14301300 Other chemical minerals;2004 February;;;;;;
2462;Total sales;14301300 Other chemical minerals;2004 March;;;;;;
2463;Total sales;14301300 Other chemical minerals;2004 April;;;;;;
2464;Total sales;14301300 Other chemical minerals;2004 May;;;;;;
2465;Total sales;14301300 Other chemical minerals;2004 June;;;;;;
2466;Total sales;14301300 Other chemical minerals;2004 July;;;;;;
2467;Total sales;14301300 Other chemical minerals;2004 August;;;;;;
2468;Total sales;14301300 Other chemical minerals;2004 September;;;;;;
2469;Total sales;14301300 Other chemical minerals;2004 October;;;;;;
2470;Total sales;14301300 Other chemical minerals;2004 November;;;;;;
2471;Total sales;14301300 Other chemical minerals;2004 December;;;;;;
2472;Total sales;14301300 Other chemical minerals;2004;;;;;;
2473;Total sales;14301300 Other chemical minerals;2005 January;;;;;;
