ID;Persoonskenmerken;Perioden;ZeerTevreden_1;Tevreden_2;NietTevredenNietOntevreden_3;Ontevreden_4;ZeerOntevreden_5;PvdA_6;CDA_7;VVD_8;D66_9;GROENLINKS_10;SGPChristenUnie_11;SP_12;LeefbaarNederland_13;LijstPimFortuyn_14;AnderePartij_15;NietOfBlancoStemmer_16;WeetNiet_17;HeeftGestemd_18;PvdA_19;CDA_20;VVD_21;D66_22;GROENLINKS_23;SGPChristenUnie_24;SP_25;LeefbaarNederland_26;LijstPimFortuyn_27;AnderePartij_28;BlancoStemmer_29;WeetNiet_30;ZeerGeinteresseerd_31;TamelijkGeinteresseerd_32;WeinigGeinteresseerd_33;GeenInteresse_34;IsActiefInGesprek_35;Luistert_36;LuistertNiet_37;LidPolitiekePartij_38;BezVergaderingenPolPartij15Tot30_39;BandMetPolitiekePartij_40;ZeerSterkeBand_41;TamelijkSterkeBand_42;MatigSterkeBand_43;ZwakTotZeerZwakkeBand_44;IsLidVanEenVakStudentenbond_45;BezoektVergWerkgNemersorgVakbond_46;OnbeperktMogelijkZijn_47;BeperktWorden_48;VolledigGestoptWorden_49;OnbeperktMogelijkZijn_50;BeperktWorden_51;VolledigGestoptWorden_52;OnbeperktMogelijkZijn_53;BeperktWorden_54;VolledigGestoptWorden_55;VeelMoeilijkerMaken_56;MoeilijkerMaken_57;NietMoeilijkerNietMakkelijkerMaken_58;MakkelijkerMaken_59;VeelMakkelijkerMaken_60;EigenCultuurVolledigBehouden_61;EigenCultuurGrotendeelsBehouden_62;CultuurNietBehoudenNietAanpassen_63;GrotendeelsAanpassenAanNLCultuur_64;VolledigAanpassenAanNLCultuur_65;HelemaalMeeEens_66;MeeEens_67;NietEensNietOneens_68;MeeOneens_69;HelemaalMeeOneens_70;HelemaalMeeEens_71;MeeEens_72;NietEensNietOneens_73;MeeOneens_74;HelemaalMeeOneens_75;GezinEtnischeMinderheid_76;NederlandsGezin_77;MagGeenVerschilMaken_78;WerknemerMetGezin_79;WerknemerZonderGezin_80;MagGeenVerschilMaken_81;EenBuitenlander_82;EenNederlander_83;MagGeenVerschilMaken_84;EenMan_85;EenVrouw_86;MagGeenVerschilMaken_87;EenJongere_88;EenOudere_89;MagGeenVerschilMaken_90;EenBlanke_91;AndereHuidskleur_92;MagGeenVerschilMaken_93;Hinderlijk_94;NietHinderlijk_95;WeetNiet_96;Hinderlijk_97;NietHinderlijk_98;WeetNiet_99;HeelErgBelangrijk_100;ErgBelangrijk_101;Belangrijk_102;IsErOnzekerOver_103;Onbelangrijk_104;HeelErgBelangrijk_105;ErgBelangrijk_106;Belangrijk_107;IsErOnzekerOver_108;Onbelangrijk_109;HeelErgBelangrijk_110;ErgBelangrijk_111;Belangrijk_112;IsErOnzekerOver_113;Onbelangrijk_114;HeelErgBelangrijk_115;ErgBelangrijk_116;Belangrijk_117;IsErOnzekerOver_118;Onbelangrijk_119;HeelErgBelangrijk_120;ErgBelangrijk_121;Belangrijk_122;IsErOnzekerOver_123;Onbelangrijk_124;HeelErgBelangrijk_125;ErgBelangrijk_126;Belangrijk_127;IsErOnzekerOver_128;Onbelangrijk_129;HeelErgBelangrijk_130;ErgBelangrijk_131;Belangrijk_132;IsErOnzekerOver_133;Onbelangrijk_134;HeelErgBelangrijk_135;ErgBelangrijk_136;Belangrijk_137;IsErOnzekerOver_138;Onbelangrijk_139;HeelErgBelangrijk_140;ErgBelangrijk_141;Belangrijk_142;IsErOnzekerOver_143;Onbelangrijk_144;HeelErgBelangrijk_145;ErgBelangrijk_146;Belangrijk_147;IsErOnzekerOver_148;Onbelangrijk_149;HeelErgBelangrijk_150;ErgBelangrijk_151;Belangrijk_152;IsErOnzekerOver_153;Onbelangrijk_154;HeelErgBelangrijk_155;ErgBelangrijk_156;Belangrijk_157;IsErOnzekerOver_158;Onbelangrijk_159;HeelErgBelangrijk_160;ErgBelangrijk_161;Belangrijk_162;IsErOnzekerOver_163;Onbelangrijk_164;HeelErgBelangrijk_165;ErgBelangrijk_166;Belangrijk_167;IsErOnzekerOver_168;Onbelangrijk_169;HelemaalGrotendeelsMeeEens_170;NietMeeEensNietMeeOneens_171;HelemaalNietMeeEens_172;HelemaalGrotendeelsMeeEens_173;NietMeeEensNietMeeOneens_174;HelemaalNietMeeEens_175;HelemaalGrotendeelsMeeEens_176;NietMeeEensNietMeeOneens_177;HelemaalNietMeeEens_178;HelemaalGrotendeelsMeeEens_179;NietMeeEensNietMeeOneens_180;HelemaalNietMeeEens_181;HelemaalGrotendeelsMeeEens_182;NietMeeEensNietMeeOneens_183;HelemaalNietMeeEens_184;HelemaalGrotendeelsMeeEens_185;NietMeeEensNietMeeOneens_186;HelemaalNietMeeEens_187;OverspelIsBreekpuntInRelatie_188;OverspelIsFoutMaarRelatieNietStuk_189;OverspelMoetMogelijkZijn_190;GeenMeningWeetNietWeigert_191
219;Opleidingsniveau: basisonderwijs;2000;1.0;37.0;44.0;15.0;3.0;27.0;16.0;10.0;2.0;3.0;3.0;2.0;;;1.0;24.0;12.0;;;;;;;;;;;;;;6.0;24.0;29.0;41.0;24.0;43.0;33.0;3.0;;50.0;19.0;38.0;37.0;6.0;;;7.0;64.0;28.0;20.0;60.0;20.0;9.0;59.0;32.0;31.0;20.0;34.0;7.0;8.0;5.0;4.0;27.0;20.0;44.0;5.0;20.0;21.0;35.0;19.0;12.0;52.0;13.0;16.0;7.0;1.0;30.0;70.0;5.0;46.0;49.0;16.0;4.0;81.0;2.0;12.0;86.0;20.0;19.0;61.0;2.0;6.0;92.0;15.0;75.0;11.0;10.0;79.0;11.0;16.0;12.0;36.0;5.0;30.0;45.0;26.0;24.0;2.0;3.0;58.0;20.0;14.0;3.0;5.0;51.0;24.0;21.0;2.0;2.0;19.0;25.0;45.0;3.0;8.0;22.0;27.0;46.0;2.0;2.0;18.0;24.0;47.0;5.0;6.0;18.0;26.0;51.0;4.0;1.0;9.0;15.0;45.0;17.0;13.0;12.0;20.0;48.0;13.0;8.0;9.0;13.0;39.0;26.0;13.0;12.0;21.0;50.0;11.0;6.0;44.0;27.0;28.0;1.0;0.0;33.0;27.0;36.0;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;
220;Opleidingsniveau: basisonderwijs;2001;1.0;36.0;43.0;16.0;4.0;28.0;16.0;8.0;1.0;3.0;3.0;2.0;;;3.0;23.0;12.0;;;;;;;;;;;;;;7.0;26.0;28.0;40.0;28.0;42.0;29.0;3.0;;50.0;19.0;37.0;38.0;6.0;;;6.0;62.0;32.0;19.0;61.0;20.0;10.0;55.0;35.0;32.0;23.0;33.0;6.0;6.0;6.0;4.0;27.0;20.0;43.0;3.0;19.0;22.0;35.0;21.0;13.0;51.0;13.0;17.0;7.0;0.0;30.0;69.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;Opleidingsniveau: basisonderwijs;2002;1.0;24.0;42.0;26.0;7.0;21.0;21.0;6.0;1.0;3.0;4.0;3.0;3.0;6.0;1.0;17.0;15.0;72.0;26.0;29.0;8.0;1.0;4.0;2.0;3.0;0.0;23.0;2.0;1.0;0.0;8.0;29.0;28.0;35.0;32.0;38.0;30.0;2.0;;47.0;19.0;42.0;34.0;6.0;;;6.0;65.0;30.0;19.0;59.0;22.0;9.0;55.0;36.0;33.0;20.0;35.0;5.0;6.0;3.0;4.0;28.0;20.0;44.0;3.0;19.0;20.0;36.0;22.0;11.0;47.0;17.0;14.0;11.0;1.0;29.0;70.0;;;;;;;;;;;;;;;;;;;;;;16.0;14.0;36.0;6.0;27.0;43.0;29.0;25.0;2.0;2.0;59.0;20.0;14.0;3.0;4.0;48.0;27.0;20.0;2.0;2.0;19.0;23.0;47.0;5.0;6.0;25.0;23.0;49.0;2.0;2.0;20.0;23.0;47.0;5.0;4.0;16.0;29.0;48.0;6.0;1.0;7.0;12.0;52.0;19.0;12.0;12.0;19.0;49.0;13.0;7.0;9.0;13.0;40.0;26.0;12.0;12.0;22.0;45.0;15.0;6.0;44.0;28.0;26.0;1.0;1.0;31.0;28.0;38.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;
222;Opleidingsniveau: basisonderwijs;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;Opleidingsniveau: basisonderwijs;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;Opleidingsniveau: vbo;1997;1.0;32.0;49.0;16.0;3.0;22.0;18.0;13.0;5.0;2.0;3.0;2.0;;;2.0;18.0;14.0;;;;;;;;;;;;;;7.0;33.0;34.0;25.0;30.0;49.0;22.0;4.0;;51.0;16.0;39.0;40.0;5.0;;;3.0;70.0;27.0;13.0;67.0;19.0;5.0;61.0;34.0;33.0;27.0;29.0;7.0;4.0;6.0;5.0;28.0;27.0;34.0;1.0;10.0;25.0;32.0;31.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;Opleidingsniveau: vbo;1998;1.0;37.0;48.0;13.0;2.0;27.0;18.0;15.0;3.0;3.0;4.0;3.0;;;2.0;15.0;10.0;78.0;35.0;21.0;21.0;5.0;6.0;5.0;2.0;;;3.0;1.0;0.0;7.0;34.0;33.0;25.0;32.0;47.0;20.0;5.0;;56.0;15.0;43.0;36.0;5.0;;;4.0;72.0;24.0;15.0;68.0;17.0;6.0;62.0;33.0;30.0;28.0;33.0;6.0;3.0;4.0;7.0;31.0;26.0;33.0;2.0;11.0;25.0;34.0;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;Opleidingsniveau: vbo;1999;1.0;30.0;49.0;17.0;3.0;22.0;17.0;13.0;2.0;5.0;4.0;3.0;;;2.0;20.0;11.0;;;;;;;;;;;;;;7.0;32.0;33.0;28.0;33.0;45.0;22.0;5.0;;55.0;15.0;41.0;39.0;5.0;;;4.0;72.0;23.0;17.0;67.0;15.0;9.0;61.0;31.0;31.0;25.0;32.0;6.0;6.0;4.0;5.0;31.0;27.0;34.0;2.0;12.0;27.0;36.0;22.0;11.0;51.0;17.0;14.0;6.0;1.0;28.0;71.0;4.0;41.0;55.0;12.0;4.0;84.0;1.0;9.0;90.0;17.0;19.0;64.0;2.0;7.0;92.0;15.0;76.0;9.0;9.0;83.0;8.0;16.0;15.0;37.0;5.0;27.0;43.0;27.0;25.0;2.0;4.0;57.0;20.0;15.0;3.0;6.0;52.0;26.0;19.0;1.0;2.0;19.0;26.0;46.0;3.0;5.0;26.0;25.0;47.0;1.0;1.0;20.0;27.0;47.0;3.0;3.0;20.0;30.0;46.0;3.0;1.0;8.0;15.0;46.0;17.0;13.0;13.0;21.0;48.0;11.0;6.0;11.0;15.0;43.0;19.0;11.0;17.0;21.0;47.0;9.0;5.0;48.0;25.0;26.0;1.0;1.0;34.0;30.0;34.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;
227;Opleidingsniveau: vbo;2000;1.0;35.0;48.0;13.0;3.0;23.0;17.0;13.0;2.0;4.0;4.0;2.0;;;1.0;20.0;14.0;;;;;;;;;;;;;;6.0;32.0;34.0;28.0;33.0;45.0;22.0;3.0;;54.0;14.0;42.0;39.0;6.0;;;4.0;70.0;26.0;19.0;68.0;13.0;8.0;65.0;28.0;30.0;24.0;34.0;8.0;4.0;4.0;5.0;31.0;23.0;37.0;2.0;15.0;24.0;37.0;22.0;11.0;53.0;18.0;13.0;6.0;1.0;28.0;71.0;4.0;40.0;55.0;13.0;3.0;84.0;1.0;9.0;90.0;16.0;16.0;68.0;2.0;5.0;93.0;16.0;75.0;9.0;10.0;83.0;7.0;15.0;13.0;37.0;5.0;30.0;40.0;29.0;28.0;2.0;3.0;56.0;24.0;14.0;3.0;3.0;50.0;27.0;21.0;1.0;1.0;18.0;26.0;49.0;2.0;5.0;22.0;28.0;49.0;1.0;1.0;18.0;27.0;48.0;3.0;5.0;16.0;32.0;49.0;2.0;1.0;8.0;16.0;49.0;17.0;9.0;11.0;23.0;49.0;12.0;5.0;10.0;16.0;41.0;24.0;10.0;12.0;21.0;53.0;11.0;3.0;47.0;29.0;22.0;1.0;1.0;34.0;32.0;32.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
228;Opleidingsniveau: vbo;2001;1.0;35.0;46.0;15.0;3.0;21.0;16.0;13.0;2.0;4.0;4.0;2.0;;;3.0;19.0;16.0;;;;;;;;;;;;;;8.0;33.0;33.0;27.0;34.0;47.0;19.0;3.0;;51.0;13.0;45.0;37.0;5.0;;;4.0;69.0;26.0;18.0;69.0;13.0;8.0;64.0;28.0;29.0;28.0;33.0;6.0;4.0;4.0;5.0;28.0;26.0;36.0;2.0;17.0;21.0;37.0;23.0;11.0;54.0;16.0;13.0;6.0;1.0;29.0;71.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;Opleidingsniveau: vbo;2002;1.0;22.0;46.0;25.0;6.0;16.0;25.0;9.0;2.0;3.0;3.0;4.0;3.0;5.0;1.0;13.0;15.0;82.0;17.0;35.0;10.0;3.0;4.0;7.0;4.0;1.0;16.0;1.0;0.0;1.0;10.0;36.0;33.0;21.0;40.0;45.0;15.0;4.0;;52.0;16.0;42.0;37.0;5.0;;;5.0;71.0;24.0;19.0;66.0;15.0;9.0;63.0;28.0;28.0;23.0;36.0;7.0;5.0;1.0;4.0;25.0;27.0;43.0;1.0;14.0;23.0;41.0;22.0;9.0;52.0;19.0;13.0;6.0;1.0;26.0;73.0;;;;;;;;;;;;;;;;;;;;;;16.0;14.0;38.0;4.0;28.0;46.0;30.0;20.0;2.0;2.0;62.0;22.0;9.0;3.0;3.0;54.0;30.0;15.0;0.0;1.0;18.0;25.0;49.0;1.0;7.0;25.0;27.0;46.0;1.0;1.0;18.0;29.0;47.0;4.0;3.0;19.0;30.0;47.0;3.0;1.0;7.0;14.0;50.0;15.0;14.0;10.0;22.0;51.0;12.0;5.0;11.0;14.0;48.0;19.0;8.0;15.0;23.0;46.0;10.0;6.0;50.0;27.0;22.0;1.0;0.0;40.0;33.0;25.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;
230;Opleidingsniveau: vbo;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;Opleidingsniveau: vbo;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;Opleidingsniveau: mavo;1997;1.0;34.0;52.0;11.0;2.0;18.0;14.0;22.0;8.0;4.0;3.0;2.0;;;1.0;13.0;14.0;;;;;;;;;;;;;;8.0;40.0;35.0;18.0;36.0;48.0;16.0;3.0;;56.0;13.0;42.0;41.0;5.0;;;9.0;76.0;16.0;18.0;70.0;12.0;7.0;69.0;24.0;21.0;27.0;37.0;9.0;6.0;3.0;7.0;38.0;27.0;24.0;2.0;13.0;29.0;33.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;Opleidingsniveau: mavo;1998;1.0;41.0;49.0;8.0;1.0;23.0;15.0;23.0;6.0;6.0;4.0;3.0;;;1.0;11.0;9.0;79.0;27.0;16.0;29.0;8.0;10.0;3.0;5.0;;;2.0;0.0;1.0;8.0;39.0;34.0;19.0;36.0;47.0;17.0;2.0;;59.0;14.0;46.0;36.0;4.0;;;5.0;81.0;14.0;22.0;68.0;10.0;10.0;69.0;21.0;21.0;25.0;35.0;14.0;5.0;2.0;6.0;34.0;34.0;24.0;3.0;20.0;24.0;33.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;Opleidingsniveau: mavo;1999;1.0;31.0;51.0;15.0;2.0;20.0;15.0;22.0;4.0;7.0;3.0;3.0;;;1.0;14.0;11.0;;;;;;;;;;;;;;10.0;37.0;33.0;20.0;40.0;42.0;18.0;3.0;;55.0;13.0;44.0;37.0;6.0;;;6.0;81.0;13.0;22.0;68.0;10.0;9.0;68.0;23.0;24.0;24.0;39.0;9.0;5.0;3.0;6.0;32.0;34.0;24.0;2.0;14.0;23.0;41.0;20.0;11.0;55.0;15.0;12.0;7.0;0.0;20.0;80.0;3.0;38.0;59.0;8.0;2.0;90.0;2.0;3.0;95.0;17.0;12.0;71.0;1.0;3.0;96.0;13.0;79.0;8.0;6.0;87.0;6.0;14.0;13.0;34.0;3.0;35.0;36.0;27.0;29.0;2.0;5.0;56.0;22.0;13.0;2.0;7.0;52.0;25.0;19.0;1.0;3.0;18.0;29.0;42.0;3.0;8.0;17.0;26.0;54.0;1.0;2.0;17.0;31.0;40.0;7.0;5.0;17.0;31.0;49.0;2.0;1.0;8.0;16.0;44.0;17.0;15.0;14.0;29.0;39.0;11.0;7.0;13.0;20.0;38.0;20.0;9.0;12.0;26.0;48.0;9.0;5.0;53.0;27.0;19.0;0.0;0.0;36.0;31.0;31.0;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;
235;Opleidingsniveau: mavo;2000;1.0;38.0;49.0;11.0;1.0;20.0;13.0;20.0;4.0;7.0;4.0;2.0;;;1.0;15.0;14.0;;;;;;;;;;;;;;8.0;37.0;34.0;21.0;39.0;44.0;17.0;5.0;;56.0;14.0;42.0;39.0;5.0;;;8.0;76.0;17.0;23.0;69.0;8.0;8.0;73.0;19.0;24.0;25.0;34.0;13.0;5.0;4.0;7.0;30.0;30.0;28.0;2.0;16.0;24.0;41.0;17.0;16.0;57.0;15.0;8.0;4.0;0.0;21.0;78.0;4.0;39.0;57.0;8.0;2.0;90.0;1.0;4.0;95.0;17.0;13.0;70.0;1.0;2.0;97.0;12.0;79.0;9.0;7.0;87.0;7.0;16.0;15.0;30.0;8.0;32.0;43.0;26.0;26.0;1.0;4.0;58.0;19.0;15.0;3.0;5.0;56.0;24.0;17.0;1.0;2.0;20.0;26.0;46.0;3.0;6.0;16.0;26.0;56.0;2.0;1.0;18.0;31.0;41.0;4.0;6.0;16.0;33.0;48.0;1.0;1.0;7.0;17.0;46.0;17.0;12.0;15.0;22.0;46.0;11.0;6.0;13.0;17.0;43.0;16.0;11.0;15.0;19.0;50.0;9.0;6.0;53.0;30.0;17.0;0.0;0.0;39.0;31.0;29.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
236;Opleidingsniveau: mavo;2001;1.0;38.0;46.0;12.0;2.0;20.0;13.0;19.0;3.0;5.0;4.0;3.0;;;2.0;15.0;16.0;;;;;;;;;;;;;;8.0;39.0;34.0;20.0;41.0;44.0;15.0;3.0;;55.0;9.0;48.0;38.0;6.0;;;7.0;78.0;15.0;23.0;67.0;9.0;10.0;72.0;18.0;23.0;25.0;38.0;10.0;4.0;3.0;7.0;34.0;33.0;24.0;3.0;22.0;25.0;34.0;17.0;14.0;58.0;15.0;11.0;3.0;1.0;21.0;79.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;Opleidingsniveau: mavo;2002;1.0;23.0;48.0;24.0;5.0;13.0;26.0;15.0;3.0;4.0;4.0;5.0;2.0;4.0;1.0;9.0;14.0;89.0;13.0;27.0;16.0;5.0;9.0;3.0;5.0;3.0;19.0;0.0;0.0;1.0;13.0;44.0;30.0;13.0;48.0;41.0;11.0;4.0;;54.0;14.0;48.0;34.0;4.0;;;4.0;81.0;16.0;20.0;71.0;8.0;9.0;65.0;26.0;18.0;28.0;37.0;11.0;7.0;2.0;6.0;34.0;32.0;26.0;2.0;16.0;25.0;39.0;18.0;12.0;59.0;15.0;10.0;3.0;1.0;27.0;72.0;;;;;;;;;;;;;;;;;;;;;;17.0;18.0;27.0;5.0;33.0;46.0;27.0;21.0;2.0;4.0;60.0;22.0;14.0;1.0;3.0;54.0;28.0;16.0;0.0;2.0;15.0;28.0;46.0;4.0;6.0;18.0;26.0;53.0;1.0;1.0;16.0;31.0;45.0;3.0;5.0;20.0;29.0;48.0;2.0;2.0;6.0;11.0;48.0;17.0;17.0;13.0;20.0;47.0;13.0;7.0;12.0;19.0;37.0;24.0;8.0;11.0;25.0;48.0;13.0;4.0;53.0;28.0;18.0;1.0;0.0;38.0;32.0;26.0;2.0;3.0;;;;;;;;;;;;;;;;;;;;;;
238;Opleidingsniveau: mavo;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;Opleidingsniveau: mavo;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;Opleidingsniveau: havo, mbo, vwo;1997;1.0;36.0;50.0;12.0;2.0;16.0;15.0;23.0;10.0;4.0;4.0;2.0;;;1.0;12.0;13.0;;;;;;;;;;;;;;10.0;46.0;31.0;13.0;44.0;44.0;12.0;3.0;;60.0;13.0;45.0;38.0;4.0;;;8.0;77.0;15.0;23.0;66.0;11.0;8.0;69.0;23.0;20.0;31.0;34.0;11.0;4.0;3.0;8.0;35.0;32.0;22.0;2.0;16.0;25.0;35.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241;Opleidingsniveau: havo, mbo, vwo;1998;1.0;40.0;47.0;10.0;2.0;22.0;14.0;24.0;7.0;6.0;4.0;3.0;;;1.0;10.0;10.0;82.0;25.0;18.0;28.0;10.0;8.0;5.0;5.0;;;2.0;1.0;1.0;11.0;46.0;31.0;12.0;46.0;42.0;11.0;4.0;;61.0;15.0;48.0;33.0;4.0;;;8.0;81.0;11.0;24.0;67.0;9.0;9.0;71.0;19.0;21.0;31.0;32.0;12.0;5.0;3.0;7.0;36.0;34.0;21.0;2.0;17.0;28.0;35.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;Opleidingsniveau: havo, mbo, vwo;1999;1.0;32.0;51.0;14.0;2.0;19.0;14.0;23.0;4.0;9.0;4.0;3.0;;;1.0;12.0;10.0;;;;;;;;;;;;;;10.0;45.0;30.0;15.0;46.0;42.0;12.0;4.0;;61.0;15.0;46.0;35.0;4.0;;;8.0;79.0;13.0;25.0;66.0;9.0;11.0;72.0;17.0;19.0;30.0;33.0;12.0;5.0;2.0;7.0;37.0;33.0;21.0;2.0;19.0;25.0;34.0;19.0;14.0;58.0;14.0;9.0;4.0;1.0;19.0;80.0;3.0;37.0;60.0;7.0;2.0;91.0;1.0;4.0;95.0;20.0;12.0;68.0;1.0;1.0;97.0;12.0;81.0;7.0;6.0;89.0;4.0;13.0;13.0;33.0;5.0;36.0;36.0;30.0;25.0;2.0;6.0;53.0;23.0;14.0;4.0;7.0;48.0;30.0;18.0;1.0;3.0;19.0;28.0;45.0;3.0;5.0;16.0;26.0;54.0;2.0;2.0;20.0;29.0;43.0;3.0;5.0;17.0;34.0;46.0;2.0;2.0;5.0;14.0;44.0;19.0;17.0;11.0;25.0;46.0;11.0;8.0;10.0;19.0;38.0;18.0;14.0;12.0;26.0;47.0;8.0;7.0;52.0;29.0;18.0;0.0;0.0;36.0;35.0;27.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
243;Opleidingsniveau: havo, mbo, vwo;2000;1.0;38.0;47.0;12.0;2.0;19.0;14.0;22.0;4.0;8.0;4.0;2.0;;;1.0;13.0;14.0;;;;;;;;;;;;;;10.0;43.0;32.0;15.0;46.0;42.0;12.0;3.0;;58.0;13.0;44.0;38.0;5.0;;;8.0;80.0;13.0;28.0;66.0;6.0;12.0;72.0;16.0;19.0;30.0;34.0;12.0;5.0;2.0;7.0;35.0;36.0;20.0;2.0;20.0;25.0;38.0;16.0;16.0;57.0;13.0;10.0;3.0;1.0;14.0;85.0;3.0;36.0;61.0;6.0;2.0;92.0;1.0;3.0;97.0;16.0;11.0;73.0;1.0;2.0;97.0;11.0;82.0;7.0;5.0;90.0;5.0;13.0;12.0;35.0;5.0;36.0;38.0;29.0;24.0;3.0;6.0;56.0;20.0;12.0;4.0;7.0;49.0;29.0;18.0;1.0;3.0;19.0;27.0;45.0;2.0;6.0;16.0;27.0;53.0;2.0;2.0;20.0;31.0;42.0;3.0;4.0;16.0;32.0;48.0;2.0;2.0;6.0;14.0;44.0;18.0;18.0;13.0;23.0;45.0;10.0;9.0;12.0;17.0;39.0;18.0;14.0;15.0;24.0;46.0;9.0;7.0;53.0;27.0;19.0;0.0;0.0;40.0;33.0;26.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
