ID;Services;Countries;Periods;ImportsOfServices_1;ExportsOfServices_2;NetServices_3
2534;S Total Services;South Korea;2016;695.0;1038.0;343.0
2535;S Total Services;South Korea;2017 1st quarter;207.0;295.0;88.0
2536;S Total Services;South Korea;2017 2nd quarter;206.0;281.0;75.0
2537;S Total Services;South Korea;2017 3rd quarter;192.0;263.0;71.0
2538;S Total Services;South Korea;2017 4th quarter;294.0;345.0;51.0
2539;S Total Services;South Korea;2017;899.0;1183.0;284.0
2540;S Total Services;South Korea;2018 1st quarter;227.0;283.0;55.0
2541;S Total Services;South Korea;2018 2nd quarter;355.0;233.0;-122.0
2542;S Total Services;South Korea;2018 3rd quarter;297.0;272.0;-25.0
2543;S Total Services;South Korea;2018 4th quarter;307.0;375.0;68.0
2544;S Total Services;South Korea;2018;1187.0;1163.0;-24.0
2545;S Total Services;South Korea;2019 1st quarter;171.0;237.0;66.0
2546;S Total Services;South Korea;2019 2nd quarter;347.0;268.0;-79.0
2547;S Total Services;South Korea;2019 3rd quarter;576.0;268.0;-308.0
2548;S Total Services;South Korea;2019 4th quarter;308.0;382.0;75.0
2549;S Total Services;South Korea;2019;1401.0;1155.0;-246.0
2550;S Total Services;South Korea;2020 1st quarter;230.0;291.0;61.0
2551;S Total Services;South Korea;2020 2nd quarter;340.0;304.0;-37.0
2552;S Total Services;South Korea;2020 3rd quarter;244.0;276.0;32.0
2553;S Total Services;South Korea;2020 4th quarter;338.0;288.0;-50.0
2554;S Total Services;South Korea;2020;1153.0;1159.0;7.0
2555;S Total Services;Sweden;2014 1st quarter;318.0;575.0;257.0
2556;S Total Services;Sweden;2014 2nd quarter;339.0;620.0;281.0
2557;S Total Services;Sweden;2014 3rd quarter;347.0;611.0;264.0
2558;S Total Services;Sweden;2014 4th quarter;334.0;657.0;323.0
2559;S Total Services;Sweden;2014;1338.0;2463.0;1125.0
2560;S Total Services;Sweden;2015 1st quarter;326.0;695.0;369.0
2561;S Total Services;Sweden;2015 2nd quarter;427.0;728.0;301.0
2562;S Total Services;Sweden;2015 3rd quarter;431.0;714.0;282.0
2563;S Total Services;Sweden;2015 4th quarter;399.0;735.0;336.0
2564;S Total Services;Sweden;2015;1584.0;2872.0;1288.0
2565;S Total Services;Sweden;2016 1st quarter;309.0;727.0;418.0
2566;S Total Services;Sweden;2016 2nd quarter;387.0;679.0;292.0
2567;S Total Services;Sweden;2016 3rd quarter;410.0;774.0;364.0
2568;S Total Services;Sweden;2016 4th quarter;430.0;735.0;305.0
2569;S Total Services;Sweden;2016;1536.0;2916.0;1380.0
2570;S Total Services;Sweden;2017 1st quarter;363.0;888.0;525.0
2571;S Total Services;Sweden;2017 2nd quarter;402.0;886.0;484.0
2572;S Total Services;Sweden;2017 3rd quarter;413.0;824.0;412.0
2573;S Total Services;Sweden;2017 4th quarter;455.0;903.0;448.0
2574;S Total Services;Sweden;2017;1633.0;3501.0;1868.0
2575;S Total Services;Sweden;2018 1st quarter;603.0;932.0;329.0
2576;S Total Services;Sweden;2018 2nd quarter;588.0;976.0;388.0
2577;S Total Services;Sweden;2018 3rd quarter;591.0;966.0;375.0
2578;S Total Services;Sweden;2018 4th quarter;621.0;1050.0;429.0
2579;S Total Services;Sweden;2018;2403.0;3923.0;1520.0
2580;S Total Services;Sweden;2019 1st quarter;576.0;1118.0;542.0
2581;S Total Services;Sweden;2019 2nd quarter;573.0;1269.0;697.0
2582;S Total Services;Sweden;2019 3rd quarter;698.0;1248.0;550.0
2583;S Total Services;Sweden;2019 4th quarter;669.0;1405.0;736.0
2584;S Total Services;Sweden;2019;2516.0;5042.0;2525.0
2585;S Total Services;Sweden;2020 1st quarter;606.0;1357.0;751.0
2586;S Total Services;Sweden;2020 2nd quarter;516.0;1311.0;794.0
2587;S Total Services;Sweden;2020 3rd quarter;587.0;1293.0;705.0
2588;S Total Services;Sweden;2020 4th quarter;665.0;1481.0;816.0
2589;S Total Services;Sweden;2020;2375.0;5442.0;3067.0
2590;S Total Services;Switzerland;2014 1st quarter;2377.0;1814.0;-563.0
2591;S Total Services;Switzerland;2014 2nd quarter;2621.0;1794.0;-827.0
2592;S Total Services;Switzerland;2014 3rd quarter;2777.0;1928.0;-849.0
2593;S Total Services;Switzerland;2014 4th quarter;2889.0;2027.0;-862.0
2594;S Total Services;Switzerland;2014;10663.0;7563.0;-3101.0
2595;S Total Services;Switzerland;2015 1st quarter;2684.0;2181.0;-503.0
2596;S Total Services;Switzerland;2015 2nd quarter;3554.0;2330.0;-1224.0
2597;S Total Services;Switzerland;2015 3rd quarter;3939.0;2084.0;-1855.0
2598;S Total Services;Switzerland;2015 4th quarter;4077.0;2412.0;-1665.0
2599;S Total Services;Switzerland;2015;14254.0;9006.0;-5248.0
2600;S Total Services;Switzerland;2016 1st quarter;3677.0;1924.0;-1752.0
2601;S Total Services;Switzerland;2016 2nd quarter;3932.0;2208.0;-1724.0
2602;S Total Services;Switzerland;2016 3rd quarter;4377.0;2111.0;-2266.0
2603;S Total Services;Switzerland;2016 4th quarter;4200.0;2365.0;-1835.0
2604;S Total Services;Switzerland;2016;16186.0;8608.0;-7577.0
2605;S Total Services;Switzerland;2017 1st quarter;3551.0;2122.0;-1430.0
2606;S Total Services;Switzerland;2017 2nd quarter;3877.0;2172.0;-1704.0
2607;S Total Services;Switzerland;2017 3rd quarter;3744.0;1705.0;-2039.0
2608;S Total Services;Switzerland;2017 4th quarter;3529.0;1901.0;-1628.0
2609;S Total Services;Switzerland;2017;14701.0;7900.0;-6801.0
2610;S Total Services;Switzerland;2018 1st quarter;3279.0;1727.0;-1553.0
2611;S Total Services;Switzerland;2018 2nd quarter;3559.0;1958.0;-1601.0
2612;S Total Services;Switzerland;2018 3rd quarter;;;-2385.0
2613;S Total Services;Switzerland;2018 4th quarter;;;-1161.0
2614;S Total Services;Switzerland;2018;14411.0;7712.0;-6700.0
2615;S Total Services;Switzerland;2019 1st quarter;1898.0;1985.0;87.0
2616;S Total Services;Switzerland;2019 2nd quarter;1940.0;2300.0;360.0
2617;S Total Services;Switzerland;2019 3rd quarter;2386.0;2240.0;-146.0
2618;S Total Services;Switzerland;2019 4th quarter;2595.0;2861.0;265.0
2619;S Total Services;Switzerland;2019;8819.0;9385.0;566.0
2620;S Total Services;Switzerland;2020 1st quarter;2464.0;2121.0;-343.0
2621;S Total Services;Switzerland;2020 2nd quarter;1891.0;2306.0;415.0
2622;S Total Services;Switzerland;2020 3rd quarter;1517.0;2051.0;534.0
2623;S Total Services;Switzerland;2020 4th quarter;1437.0;2778.0;1341.0
2624;S Total Services;Switzerland;2020;7310.0;9257.0;1947.0
2625;S Total Services;Taiwan;2014 1st quarter;36.0;89.0;53.0
2626;S Total Services;Taiwan;2014 2nd quarter;37.0;102.0;65.0
2627;S Total Services;Taiwan;2014 3rd quarter;37.0;146.0;109.0
2628;S Total Services;Taiwan;2014 4th quarter;49.0;139.0;91.0
2629;S Total Services;Taiwan;2014;159.0;476.0;317.0
2630;S Total Services;Taiwan;2015 1st quarter;56.0;97.0;41.0
2631;S Total Services;Taiwan;2015 2nd quarter;44.0;114.0;70.0
2632;S Total Services;Taiwan;2015 3rd quarter;49.0;150.0;101.0
2633;S Total Services;Taiwan;2015 4th quarter;114.0;124.0;10.0
2634;S Total Services;Taiwan;2015;263.0;485.0;222.0
2635;S Total Services;Taiwan;2016 1st quarter;38.0;91.0;54.0
2636;S Total Services;Taiwan;2016 2nd quarter;35.0;127.0;93.0
2637;S Total Services;Taiwan;2016 3rd quarter;48.0;136.0;89.0
2638;S Total Services;Taiwan;2016 4th quarter;46.0;140.0;94.0
2639;S Total Services;Taiwan;2016;167.0;495.0;328.0
2640;S Total Services;Taiwan;2017 1st quarter;53.0;128.0;75.0
2641;S Total Services;Taiwan;2017 2nd quarter;76.0;143.0;67.0
2642;S Total Services;Taiwan;2017 3rd quarter;52.0;147.0;95.0
2643;S Total Services;Taiwan;2017 4th quarter;83.0;135.0;52.0
2644;S Total Services;Taiwan;2017;264.0;552.0;289.0
2645;S Total Services;Taiwan;2018 1st quarter;85.0;129.0;44.0
2646;S Total Services;Taiwan;2018 2nd quarter;91.0;138.0;47.0
2647;S Total Services;Taiwan;2018 3rd quarter;72.0;135.0;64.0
2648;S Total Services;Taiwan;2018 4th quarter;87.0;135.0;48.0
2649;S Total Services;Taiwan;2018;334.0;537.0;203.0
2650;S Total Services;Taiwan;2019 1st quarter;86.0;159.0;73.0
2651;S Total Services;Taiwan;2019 2nd quarter;91.0;174.0;83.0
2652;S Total Services;Taiwan;2019 3rd quarter;96.0;190.0;94.0
2653;S Total Services;Taiwan;2019 4th quarter;117.0;230.0;114.0
2654;S Total Services;Taiwan;2019;390.0;753.0;364.0
2655;S Total Services;Taiwan;2020 1st quarter;116.0;179.0;63.0
2656;S Total Services;Taiwan;2020 2nd quarter;119.0;172.0;53.0
2657;S Total Services;Taiwan;2020 3rd quarter;116.0;191.0;75.0
2658;S Total Services;Taiwan;2020 4th quarter;140.0;217.0;77.0
2659;S Total Services;Taiwan;2020;490.0;758.0;268.0
2660;S Total Services;Thailand;2014 1st quarter;60.0;156.0;96.0
2661;S Total Services;Thailand;2014 2nd quarter;39.0;154.0;115.0
2662;S Total Services;Thailand;2014 3rd quarter;43.0;147.0;104.0
2663;S Total Services;Thailand;2014 4th quarter;67.0;151.0;84.0
2664;S Total Services;Thailand;2014;209.0;608.0;399.0
2665;S Total Services;Thailand;2015 1st quarter;54.0;145.0;91.0
2666;S Total Services;Thailand;2015 2nd quarter;47.0;139.0;93.0
2667;S Total Services;Thailand;2015 3rd quarter;52.0;133.0;82.0
2668;S Total Services;Thailand;2015 4th quarter;80.0;136.0;57.0
2669;S Total Services;Thailand;2015;232.0;554.0;322.0
2670;S Total Services;Thailand;2016 1st quarter;57.0;100.0;42.0
2671;S Total Services;Thailand;2016 2nd quarter;44.0;113.0;69.0
2672;S Total Services;Thailand;2016 3rd quarter;61.0;103.0;42.0
2673;S Total Services;Thailand;2016 4th quarter;69.0;112.0;44.0
2674;S Total Services;Thailand;2016;231.0;428.0;197.0
2675;S Total Services;Thailand;2017 1st quarter;90.0;123.0;33.0
2676;S Total Services;Thailand;2017 2nd quarter;76.0;110.0;34.0
2677;S Total Services;Thailand;2017 3rd quarter;94.0;97.0;3.0
2678;S Total Services;Thailand;2017 4th quarter;104.0;100.0;-5.0
2679;S Total Services;Thailand;2017;364.0;430.0;66.0
2680;S Total Services;Thailand;2018 1st quarter;91.0;131.0;40.0
2681;S Total Services;Thailand;2018 2nd quarter;83.0;114.0;31.0
2682;S Total Services;Thailand;2018 3rd quarter;96.0;116.0;19.0
2683;S Total Services;Thailand;2018 4th quarter;96.0;118.0;22.0
2684;S Total Services;Thailand;2018;367.0;479.0;112.0
2685;S Total Services;Thailand;2019 1st quarter;77.0;158.0;82.0
2686;S Total Services;Thailand;2019 2nd quarter;64.0;126.0;62.0
2687;S Total Services;Thailand;2019 3rd quarter;128.0;144.0;17.0
2688;S Total Services;Thailand;2019 4th quarter;139.0;128.0;-11.0
2689;S Total Services;Thailand;2019;408.0;557.0;149.0
2690;S Total Services;Thailand;2020 1st quarter;93.0;196.0;103.0
2691;S Total Services;Thailand;2020 2nd quarter;38.0;145.0;108.0
2692;S Total Services;Thailand;2020 3rd quarter;40.0;120.0;79.0
2693;S Total Services;Thailand;2020 4th quarter;44.0;133.0;90.0
2694;S Total Services;Thailand;2020;215.0;594.0;379.0
2695;S Total Services;Timor-Leste;2014 1st quarter;;;
2696;S Total Services;Timor-Leste;2014 2nd quarter;;;
2697;S Total Services;Timor-Leste;2014 3rd quarter;;;
2698;S Total Services;Timor-Leste;2014 4th quarter;;;
2699;S Total Services;Timor-Leste;2014;;;
2700;S Total Services;Timor-Leste;2015 1st quarter;;;
2701;S Total Services;Timor-Leste;2015 2nd quarter;;;
2702;S Total Services;Timor-Leste;2015 3rd quarter;;;
2703;S Total Services;Timor-Leste;2015 4th quarter;;;
2704;S Total Services;Timor-Leste;2015;;;
2705;S Total Services;Timor-Leste;2016 1st quarter;;;
2706;S Total Services;Timor-Leste;2016 2nd quarter;;;
2707;S Total Services;Timor-Leste;2016 3rd quarter;;;
2708;S Total Services;Timor-Leste;2016 4th quarter;;;
2709;S Total Services;Timor-Leste;2016;;;
2710;S Total Services;Timor-Leste;2017 1st quarter;;;
2711;S Total Services;Timor-Leste;2017 2nd quarter;;;
2712;S Total Services;Timor-Leste;2017 3rd quarter;;;
2713;S Total Services;Timor-Leste;2017 4th quarter;;;
2714;S Total Services;Timor-Leste;2017;;;
2715;S Total Services;Timor-Leste;2018 1st quarter;;;
2716;S Total Services;Timor-Leste;2018 2nd quarter;;;
2717;S Total Services;Timor-Leste;2018 3rd quarter;;;
2718;S Total Services;Timor-Leste;2018 4th quarter;;;
2719;S Total Services;Timor-Leste;2018;;;
2720;S Total Services;Timor-Leste;2019 1st quarter;;;
2721;S Total Services;Timor-Leste;2019 2nd quarter;;;
2722;S Total Services;Timor-Leste;2019 3rd quarter;;;
2723;S Total Services;Timor-Leste;2019 4th quarter;;;
2724;S Total Services;Timor-Leste;2019;;;
2725;S Total Services;Timor-Leste;2020 1st quarter;;;
2726;S Total Services;Timor-Leste;2020 2nd quarter;;;
2727;S Total Services;Timor-Leste;2020 3rd quarter;;;
2728;S Total Services;Timor-Leste;2020 4th quarter;;;
2729;S Total Services;Timor-Leste;2020;;;
2730;S Total Services;Tunisia;2014 1st quarter;11.0;13.0;2.0
2731;S Total Services;Tunisia;2014 2nd quarter;18.0;19.0;1.0
2732;S Total Services;Tunisia;2014 3rd quarter;22.0;17.0;-5.0
2733;S Total Services;Tunisia;2014 4th quarter;19.0;17.0;-3.0
2734;S Total Services;Tunisia;2014;71.0;66.0;-4.0
2735;S Total Services;Tunisia;2015 1st quarter;9.0;17.0;8.0
2736;S Total Services;Tunisia;2015 2nd quarter;14.0;20.0;6.0
2737;S Total Services;Tunisia;2015 3rd quarter;9.0;18.0;10.0
2738;S Total Services;Tunisia;2015 4th quarter;10.0;18.0;8.0
2739;S Total Services;Tunisia;2015;42.0;74.0;32.0
2740;S Total Services;Tunisia;2016 1st quarter;12.0;10.0;-2.0
2741;S Total Services;Tunisia;2016 2nd quarter;11.0;12.0;1.0
2742;S Total Services;Tunisia;2016 3rd quarter;14.0;15.0;1.0
2743;S Total Services;Tunisia;2016 4th quarter;10.0;17.0;7.0
2744;S Total Services;Tunisia;2016;47.0;55.0;7.0
2745;S Total Services;Tunisia;2017 1st quarter;13.0;26.0;13.0
2746;S Total Services;Tunisia;2017 2nd quarter;12.0;15.0;3.0
2747;S Total Services;Tunisia;2017 3rd quarter;10.0;13.0;2.0
2748;S Total Services;Tunisia;2017 4th quarter;10.0;16.0;6.0
2749;S Total Services;Tunisia;2017;45.0;69.0;25.0
2750;S Total Services;Tunisia;2018 1st quarter;13.0;12.0;0.0
2751;S Total Services;Tunisia;2018 2nd quarter;12.0;12.0;0.0
2752;S Total Services;Tunisia;2018 3rd quarter;14.0;13.0;-1.0
2753;S Total Services;Tunisia;2018 4th quarter;8.0;15.0;7.0
2754;S Total Services;Tunisia;2018;47.0;53.0;6.0
2755;S Total Services;Tunisia;2019 1st quarter;5.0;12.0;7.0
2756;S Total Services;Tunisia;2019 2nd quarter;8.0;7.0;0.0
2757;S Total Services;Tunisia;2019 3rd quarter;7.0;12.0;5.0
2758;S Total Services;Tunisia;2019 4th quarter;7.0;12.0;4.0
2759;S Total Services;Tunisia;2019;27.0;43.0;16.0
2760;S Total Services;Tunisia;2020 1st quarter;7.0;11.0;4.0
2761;S Total Services;Tunisia;2020 2nd quarter;4.0;8.0;3.0
2762;S Total Services;Tunisia;2020 3rd quarter;5.0;7.0;2.0
2763;S Total Services;Tunisia;2020 4th quarter;4.0;13.0;9.0
2764;S Total Services;Tunisia;2020;20.0;38.0;18.0
2765;S Total Services;Turkey;2014 1st quarter;83.0;167.0;84.0
2766;S Total Services;Turkey;2014 2nd quarter;223.0;180.0;-44.0
2767;S Total Services;Turkey;2014 3rd quarter;300.0;248.0;-53.0
2768;S Total Services;Turkey;2014 4th quarter;165.0;185.0;20.0
2769;S Total Services;Turkey;2014;772.0;779.0;7.0
2770;S Total Services;Turkey;2015 1st quarter;97.0;183.0;86.0
2771;S Total Services;Turkey;2015 2nd quarter;220.0;203.0;-17.0
2772;S Total Services;Turkey;2015 3rd quarter;261.0;250.0;-11.0
2773;S Total Services;Turkey;2015 4th quarter;221.0;207.0;-14.0
2774;S Total Services;Turkey;2015;799.0;843.0;43.0
2775;S Total Services;Turkey;2016 1st quarter;72.0;164.0;92.0
2776;S Total Services;Turkey;2016 2nd quarter;163.0;175.0;12.0
2777;S Total Services;Turkey;2016 3rd quarter;182.0;187.0;5.0
2778;S Total Services;Turkey;2016 4th quarter;106.0;172.0;66.0
2779;S Total Services;Turkey;2016;523.0;698.0;175.0
2780;S Total Services;Turkey;2017 1st quarter;92.0;155.0;63.0
2781;S Total Services;Turkey;2017 2nd quarter;143.0;196.0;53.0
2782;S Total Services;Turkey;2017 3rd quarter;242.0;205.0;-38.0
2783;S Total Services;Turkey;2017 4th quarter;138.0;185.0;47.0
2784;S Total Services;Turkey;2017;615.0;740.0;126.0
2785;S Total Services;Turkey;2018 1st quarter;136.0;180.0;43.0
2786;S Total Services;Turkey;2018 2nd quarter;214.0;216.0;2.0
2787;S Total Services;Turkey;2018 3rd quarter;389.0;200.0;-189.0
2788;S Total Services;Turkey;2018 4th quarter;140.0;192.0;52.0
2789;S Total Services;Turkey;2018;879.0;788.0;-91.0
2790;S Total Services;Turkey;2019 1st quarter;158.0;180.0;21.0
2791;S Total Services;Turkey;2019 2nd quarter;242.0;226.0;-17.0
2792;S Total Services;Turkey;2019 3rd quarter;314.0;251.0;-63.0
2793;S Total Services;Turkey;2019 4th quarter;159.0;266.0;107.0
2794;S Total Services;Turkey;2019;874.0;923.0;49.0
2795;S Total Services;Turkey;2020 1st quarter;114.0;252.0;139.0
2796;S Total Services;Turkey;2020 2nd quarter;72.0;231.0;158.0
2797;S Total Services;Turkey;2020 3rd quarter;83.0;184.0;101.0
2798;S Total Services;Turkey;2020 4th quarter;91.0;205.0;115.0
2799;S Total Services;Turkey;2020;359.0;872.0;513.0
2800;S Total Services;Ukraine;2014 1st quarter;11.0;34.0;23.0
2801;S Total Services;Ukraine;2014 2nd quarter;13.0;35.0;22.0
2802;S Total Services;Ukraine;2014 3rd quarter;19.0;41.0;22.0
2803;S Total Services;Ukraine;2014 4th quarter;17.0;34.0;17.0
2804;S Total Services;Ukraine;2014;60.0;144.0;84.0
2805;S Total Services;Ukraine;2015 1st quarter;13.0;31.0;19.0
2806;S Total Services;Ukraine;2015 2nd quarter;17.0;41.0;24.0
2807;S Total Services;Ukraine;2015 3rd quarter;23.0;37.0;14.0
2808;S Total Services;Ukraine;2015 4th quarter;19.0;38.0;19.0
2809;S Total Services;Ukraine;2015;71.0;147.0;76.0
2810;S Total Services;Ukraine;2016 1st quarter;15.0;27.0;12.0
2811;S Total Services;Ukraine;2016 2nd quarter;16.0;30.0;14.0
2812;S Total Services;Ukraine;2016 3rd quarter;16.0;30.0;14.0
2813;S Total Services;Ukraine;2016 4th quarter;18.0;38.0;20.0
2814;S Total Services;Ukraine;2016;65.0;125.0;60.0
2815;S Total Services;Ukraine;2017 1st quarter;28.0;41.0;13.0
2816;S Total Services;Ukraine;2017 2nd quarter;35.0;42.0;7.0
2817;S Total Services;Ukraine;2017 3rd quarter;26.0;44.0;18.0
2818;S Total Services;Ukraine;2017 4th quarter;30.0;42.0;12.0
2819;S Total Services;Ukraine;2017;120.0;169.0;49.0
2820;S Total Services;Ukraine;2018 1st quarter;28.0;36.0;7.0
2821;S Total Services;Ukraine;2018 2nd quarter;33.0;46.0;14.0
2822;S Total Services;Ukraine;2018 3rd quarter;73.0;43.0;-30.0
2823;S Total Services;Ukraine;2018 4th quarter;38.0;41.0;3.0
2824;S Total Services;Ukraine;2018;172.0;166.0;-6.0
2825;S Total Services;Ukraine;2019 1st quarter;33.0;35.0;2.0
2826;S Total Services;Ukraine;2019 2nd quarter;44.0;43.0;-1.0
2827;S Total Services;Ukraine;2019 3rd quarter;43.0;47.0;4.0
2828;S Total Services;Ukraine;2019 4th quarter;49.0;49.0;0.0
2829;S Total Services;Ukraine;2019;169.0;173.0;4.0
2830;S Total Services;Ukraine;2020 1st quarter;34.0;41.0;7.0
2831;S Total Services;Ukraine;2020 2nd quarter;34.0;23.0;-11.0
2832;S Total Services;Ukraine;2020 3rd quarter;28.0;32.0;4.0
2833;S Total Services;Ukraine;2020 4th quarter;38.0;39.0;1.0
2834;S Total Services;Ukraine;2020;134.0;135.0;1.0
2835;S Total Services;United Kingdom;2014 1st quarter;3585.0;4020.0;436.0
2836;S Total Services;United Kingdom;2014 2nd quarter;3844.0;4180.0;336.0
2837;S Total Services;United Kingdom;2014 3rd quarter;4061.0;4124.0;63.0
2838;S Total Services;United Kingdom;2014 4th quarter;4658.0;4467.0;-191.0
2839;S Total Services;United Kingdom;2014;16147.0;16791.0;644.0
2840;S Total Services;United Kingdom;2015 1st quarter;4101.0;4131.0;30.0
2841;S Total Services;United Kingdom;2015 2nd quarter;5042.0;4662.0;-380.0
2842;S Total Services;United Kingdom;2015 3rd quarter;4385.0;4941.0;556.0
2843;S Total Services;United Kingdom;2015 4th quarter;5434.0;5377.0;-57.0
2844;S Total Services;United Kingdom;2015;18963.0;19111.0;148.0
2845;S Total Services;United Kingdom;2016 1st quarter;4106.0;5090.0;984.0
2846;S Total Services;United Kingdom;2016 2nd quarter;4667.0;4850.0;183.0
2847;S Total Services;United Kingdom;2016 3rd quarter;4368.0;5088.0;720.0
2848;S Total Services;United Kingdom;2016 4th quarter;4887.0;5271.0;383.0
2849;S Total Services;United Kingdom;2016;18028.0;20299.0;2271.0
2850;S Total Services;United Kingdom;2017 1st quarter;4416.0;5252.0;836.0
2851;S Total Services;United Kingdom;2017 2nd quarter;4957.0;5918.0;961.0
2852;S Total Services;United Kingdom;2017 3rd quarter;4584.0;5706.0;1121.0
2853;S Total Services;United Kingdom;2017 4th quarter;5436.0;6633.0;1197.0
2854;S Total Services;United Kingdom;2017;19394.0;23510.0;4115.0
2855;S Total Services;United Kingdom;2018 1st quarter;4772.0;5536.0;763.0
2856;S Total Services;United Kingdom;2018 2nd quarter;5475.0;6254.0;779.0
2857;S Total Services;United Kingdom;2018 3rd quarter;5123.0;6140.0;1017.0
2858;S Total Services;United Kingdom;2018 4th quarter;6200.0;6633.0;433.0
2859;S Total Services;United Kingdom;2018;21570.0;24563.0;2993.0
2860;S Total Services;United Kingdom;2019 1st quarter;5840.0;6666.0;825.0
2861;S Total Services;United Kingdom;2019 2nd quarter;6566.0;6660.0;94.0
2862;S Total Services;United Kingdom;2019 3rd quarter;7678.0;6832.0;-846.0
2863;S Total Services;United Kingdom;2019 4th quarter;7532.0;7308.0;-223.0
2864;S Total Services;United Kingdom;2019;27616.0;27465.0;-150.0
2865;S Total Services;United Kingdom;2020 1st quarter;6672.0;6457.0;-215.0
2866;S Total Services;United Kingdom;2020 2nd quarter;6022.0;5671.0;-351.0
2867;S Total Services;United Kingdom;2020 3rd quarter;6016.0;5882.0;-134.0
2868;S Total Services;United Kingdom;2020 4th quarter;7483.0;6287.0;-1196.0
2869;S Total Services;United Kingdom;2020;26192.0;24297.0;-1895.0
2870;S Total Services;United Arab Emirates;2014 1st quarter;253.0;221.0;-32.0
2871;S Total Services;United Arab Emirates;2014 2nd quarter;243.0;223.0;-21.0
2872;S Total Services;United Arab Emirates;2014 3rd quarter;302.0;246.0;-56.0
2873;S Total Services;United Arab Emirates;2014 4th quarter;371.0;257.0;-114.0
2874;S Total Services;United Arab Emirates;2014;1169.0;946.0;-224.0
2875;S Total Services;United Arab Emirates;2015 1st quarter;307.0;277.0;-30.0
2876;S Total Services;United Arab Emirates;2015 2nd quarter;292.0;296.0;4.0
2877;S Total Services;United Arab Emirates;2015 3rd quarter;318.0;297.0;-21.0
2878;S Total Services;United Arab Emirates;2015 4th quarter;425.0;254.0;-171.0
2879;S Total Services;United Arab Emirates;2015;1342.0;1124.0;-218.0
2880;S Total Services;United Arab Emirates;2016 1st quarter;328.0;283.0;-45.0
2881;S Total Services;United Arab Emirates;2016 2nd quarter;316.0;233.0;-83.0
2882;S Total Services;United Arab Emirates;2016 3rd quarter;303.0;233.0;-70.0
2883;S Total Services;United Arab Emirates;2016 4th quarter;432.0;285.0;-147.0
2884;S Total Services;United Arab Emirates;2016;1379.0;1034.0;-345.0
2885;S Total Services;United Arab Emirates;2017 1st quarter;425.0;257.0;-168.0
2886;S Total Services;United Arab Emirates;2017 2nd quarter;328.0;256.0;-72.0
2887;S Total Services;United Arab Emirates;2017 3rd quarter;353.0;241.0;-112.0
2888;S Total Services;United Arab Emirates;2017 4th quarter;500.0;272.0;-228.0
2889;S Total Services;United Arab Emirates;2017;1606.0;1026.0;-580.0
2890;S Total Services;United Arab Emirates;2018 1st quarter;414.0;242.0;-172.0
2891;S Total Services;United Arab Emirates;2018 2nd quarter;402.0;283.0;-120.0
2892;S Total Services;United Arab Emirates;2018 3rd quarter;372.0;254.0;-118.0
2893;S Total Services;United Arab Emirates;2018 4th quarter;507.0;280.0;-227.0
2894;S Total Services;United Arab Emirates;2018;1695.0;1058.0;-637.0
2895;S Total Services;United Arab Emirates;2019 1st quarter;229.0;340.0;111.0
2896;S Total Services;United Arab Emirates;2019 2nd quarter;195.0;400.0;205.0
2897;S Total Services;United Arab Emirates;2019 3rd quarter;469.0;366.0;-103.0
2898;S Total Services;United Arab Emirates;2019 4th quarter;555.0;376.0;-179.0
2899;S Total Services;United Arab Emirates;2019;1448.0;1482.0;34.0
2900;S Total Services;United Arab Emirates;2020 1st quarter;419.0;301.0;-118.0
2901;S Total Services;United Arab Emirates;2020 2nd quarter;285.0;209.0;-76.0
2902;S Total Services;United Arab Emirates;2020 3rd quarter;226.0;259.0;33.0
2903;S Total Services;United Arab Emirates;2020 4th quarter;202.0;280.0;78.0
2904;S Total Services;United Arab Emirates;2020;1132.0;1048.0;-84.0
2905;S Total Services;Uruguay;2014 1st quarter;2.0;56.0;54.0
2906;S Total Services;Uruguay;2014 2nd quarter;3.0;40.0;37.0
2907;S Total Services;Uruguay;2014 3rd quarter;6.0;44.0;38.0
2908;S Total Services;Uruguay;2014 4th quarter;3.0;42.0;39.0
2909;S Total Services;Uruguay;2014;15.0;182.0;168.0
2910;S Total Services;Uruguay;2015 1st quarter;5.0;37.0;32.0
2911;S Total Services;Uruguay;2015 2nd quarter;2.0;37.0;35.0
2912;S Total Services;Uruguay;2015 3rd quarter;2.0;27.0;25.0
2913;S Total Services;Uruguay;2015 4th quarter;3.0;38.0;35.0
2914;S Total Services;Uruguay;2015;12.0;139.0;127.0
2915;S Total Services;Uruguay;2016 1st quarter;3.0;173.0;170.0
2916;S Total Services;Uruguay;2016 2nd quarter;2.0;15.0;13.0
2917;S Total Services;Uruguay;2016 3rd quarter;2.0;18.0;15.0
2918;S Total Services;Uruguay;2016 4th quarter;2.0;25.0;23.0
2919;S Total Services;Uruguay;2016;10.0;231.0;221.0
2920;S Total Services;Uruguay;2017 1st quarter;2.0;30.0;27.0
2921;S Total Services;Uruguay;2017 2nd quarter;4.0;25.0;21.0
2922;S Total Services;Uruguay;2017 3rd quarter;1.0;19.0;18.0
2923;S Total Services;Uruguay;2017 4th quarter;4.0;24.0;21.0
2924;S Total Services;Uruguay;2017;11.0;99.0;87.0
2925;S Total Services;Uruguay;2018 1st quarter;5.0;31.0;27.0
2926;S Total Services;Uruguay;2018 2nd quarter;10.0;38.0;28.0
2927;S Total Services;Uruguay;2018 3rd quarter;18.0;26.0;8.0
