ID;SIC93;Destination;Periods;SalesDevelopment_1;Share_2
632;1500b Food, beverages and tobacco;Netherlands;1997 October;6;94
633;1500b Food, beverages and tobacco;Netherlands;1997 November;2;96
634;1500b Food, beverages and tobacco;Netherlands;1997 December;8;96
635;1500b Food, beverages and tobacco;Netherlands;1997 4th quarter;6;93
636;1500b Food, beverages and tobacco;Netherlands;1997;6;93
637;1500b Food, beverages and tobacco;Netherlands;1998 January;3;89
638;1500b Food, beverages and tobacco;Netherlands;1998 February;6;89
639;1500b Food, beverages and tobacco;Netherlands;1998 March;9;88
640;1500b Food, beverages and tobacco;Netherlands;1998 1st quarter;6;88
641;1500b Food, beverages and tobacco;Netherlands;1998 April;0;88
642;1500b Food, beverages and tobacco;Netherlands;1998 May;0;88
643;1500b Food, beverages and tobacco;Netherlands;1998 June;4;89
644;1500b Food, beverages and tobacco;Netherlands;1998 2nd quarter;1;88
645;1500b Food, beverages and tobacco;Netherlands;1998 July;4;88
646;1500b Food, beverages and tobacco;Netherlands;1998 August;-4;89
647;1500b Food, beverages and tobacco;Netherlands;1998 September;1;88
648;1500b Food, beverages and tobacco;Netherlands;1998 3rd quarter;0;88
649;1500b Food, beverages and tobacco;Netherlands;1998 October;-4;89
650;1500b Food, beverages and tobacco;Netherlands;1998 November;-2;89
651;1500b Food, beverages and tobacco;Netherlands;1998 December;-4;89
652;1500b Food, beverages and tobacco;Netherlands;1998 4th quarter;-3;89
653;1500b Food, beverages and tobacco;Netherlands;1998;1;87
654;1500b Food, beverages and tobacco;Netherlands;1999 January;-11;97
655;1500b Food, beverages and tobacco;Netherlands;1999 February;-7;97
656;1500b Food, beverages and tobacco;Netherlands;1999 March;0;97
657;1500b Food, beverages and tobacco;Netherlands;1999 1st quarter;-6;96
658;1500b Food, beverages and tobacco;Netherlands;1999 April;-8;96
659;1500b Food, beverages and tobacco;Netherlands;1999 May;-8;95
660;1500b Food, beverages and tobacco;Netherlands;1999 June;-1;94
661;1500b Food, beverages and tobacco;Netherlands;1999 2nd quarter;-5;94
662;1500b Food, beverages and tobacco;Netherlands;1999 July;-8;95
663;1500b Food, beverages and tobacco;Netherlands;1999 August;1;95
664;1500b Food, beverages and tobacco;Netherlands;1999 September;0;95
665;1500b Food, beverages and tobacco;Netherlands;1999 3rd quarter;-3;94
666;1500b Food, beverages and tobacco;Netherlands;1999 October;-4;94
667;1500b Food, beverages and tobacco;Netherlands;1999 November;5;94
668;1500b Food, beverages and tobacco;Netherlands;1999 December;13;94
669;1500b Food, beverages and tobacco;Netherlands;1999 4th quarter;5;94
670;1500b Food, beverages and tobacco;Netherlands;1999;-2;93
671;1500b Food, beverages and tobacco;Netherlands;2000 January;0;94
672;1500b Food, beverages and tobacco;Netherlands;2000 February;6;94
673;1500b Food, beverages and tobacco;Netherlands;2000 March;2;94
674;1500b Food, beverages and tobacco;Netherlands;2000 1st quarter;3;93
675;1500b Food, beverages and tobacco;Netherlands;2000 April;-1;94
676;1500b Food, beverages and tobacco;Netherlands;2000 May;17;96
677;1500b Food, beverages and tobacco;Netherlands;2000 June;0;96
678;1500b Food, beverages and tobacco;Netherlands;2000 2nd quarter;6;94
679;1500b Food, beverages and tobacco;Netherlands;2000 July;1;96
680;1500b Food, beverages and tobacco;Netherlands;2000 August;11;96
681;1500b Food, beverages and tobacco;Netherlands;2000 September;1;96
682;1500b Food, beverages and tobacco;Netherlands;2000 3rd quarter;4;95
683;1500b Food, beverages and tobacco;Netherlands;2000 October;8;96
684;1500b Food, beverages and tobacco;Netherlands;2000 November;8;95
685;1500b Food, beverages and tobacco;Netherlands;2000 December;-2;94
686;1500b Food, beverages and tobacco;Netherlands;2000 4th quarter;5;93
687;1500b Food, beverages and tobacco;Netherlands;2000;5;89
688;1500b Food, beverages and tobacco;Netherlands;2001 January;14;96
689;1500b Food, beverages and tobacco;Netherlands;2001 February;7;96
690;1500b Food, beverages and tobacco;Netherlands;2001 March;2;96
691;1500b Food, beverages and tobacco;Netherlands;2001 1st quarter;7;96
692;1500b Food, beverages and tobacco;Netherlands;2001 April;6;97
693;1500b Food, beverages and tobacco;Netherlands;2001 May;5;97
694;1500b Food, beverages and tobacco;Netherlands;2001 June;6;96
695;1500b Food, beverages and tobacco;Netherlands;2001 2nd quarter;6;96
696;1500b Food, beverages and tobacco;Netherlands;2001 July;12;96
697;1500b Food, beverages and tobacco;Netherlands;2001 August;4;96
698;1500b Food, beverages and tobacco;Netherlands;2001 September;0;96
699;1500b Food, beverages and tobacco;Netherlands;2001 3rd quarter;5;96
700;1500b Food, beverages and tobacco;Netherlands;2001 October;9;96
701;1500b Food, beverages and tobacco;Netherlands;2001 November;5;95
702;1500b Food, beverages and tobacco;Netherlands;2001 December;-1;95
703;1500b Food, beverages and tobacco;Netherlands;2001 4th quarter;5;94
704;1500b Food, beverages and tobacco;Netherlands;2001;6;93
705;1500b Food, beverages and tobacco;Netherlands;2002 January;4;96
706;1500b Food, beverages and tobacco;Netherlands;2002 February;1;95
707;1500b Food, beverages and tobacco;Netherlands;2002 March;3;94
708;1500b Food, beverages and tobacco;Netherlands;2002 1st quarter;3;94
709;1500b Food, beverages and tobacco;Netherlands;2002 April;5;95
710;1500b Food, beverages and tobacco;Netherlands;2002 May;2;94
711;1500b Food, beverages and tobacco;Netherlands;2002 June;-4;93
712;1500b Food, beverages and tobacco;Netherlands;2002 2nd quarter;1;93
713;1500b Food, beverages and tobacco;Netherlands;2002 July;2;93
714;1500b Food, beverages and tobacco;Netherlands;2002 August;-2;92
715;1500b Food, beverages and tobacco;Netherlands;2002 September;6;91
716;1500b Food, beverages and tobacco;Netherlands;2002 3rd quarter;2;91
717;1500b Food, beverages and tobacco;Netherlands;2002 October;1;89
718;1500b Food, beverages and tobacco;Netherlands;2002 November;-1;91
719;1500b Food, beverages and tobacco;Netherlands;2002 December;7;89
720;1500b Food, beverages and tobacco;Netherlands;2002 4th quarter;1;89
721;1500b Food, beverages and tobacco;Netherlands;2002;1;89
722;1500b Food, beverages and tobacco;Netherlands;2003 January;6;90
723;1500b Food, beverages and tobacco;Netherlands;2003 February;2;91
724;1500b Food, beverages and tobacco;Netherlands;2003 March;-4;90
725;1500b Food, beverages and tobacco;Netherlands;2003 1st quarter;2;89
726;1500b Food, beverages and tobacco;Netherlands;2003 April;5;91
727;1500b Food, beverages and tobacco;Netherlands;2003 May;-8;91
728;1500b Food, beverages and tobacco;Netherlands;2003 June;5;90
729;1500b Food, beverages and tobacco;Netherlands;2003 2nd quarter;0;90
730;1500b Food, beverages and tobacco;Netherlands;2003 July;-1;90
731;1500b Food, beverages and tobacco;Netherlands;2003 August;-4;91
732;1500b Food, beverages and tobacco;Netherlands;2003 September;4;91
733;1500b Food, beverages and tobacco;Netherlands;2003 3rd quarter;0;90
734;1500b Food, beverages and tobacco;Netherlands;2003 October;2;92
735;1500b Food, beverages and tobacco;Netherlands;2003 November;-4;92
736;1500b Food, beverages and tobacco;Netherlands;2003 December;2;95
737;1500b Food, beverages and tobacco;Netherlands;2003 4th quarter;0;93
738;1500b Food, beverages and tobacco;Netherlands;2003;0;88
739;1500b Food, beverages and tobacco;Netherlands;2004 January;-4;94
740;1500b Food, beverages and tobacco;Netherlands;2004 February;-4;94
741;1500b Food, beverages and tobacco;Netherlands;2004 March;6;94
742;1500b Food, beverages and tobacco;Netherlands;2004 1st quarter;-1;94
743;1500b Food, beverages and tobacco;Netherlands;2004 April;-2;97
744;1500b Food, beverages and tobacco;Netherlands;2004 May;-5;97
745;1500b Food, beverages and tobacco;Netherlands;2004 June;7;96
746;1500b Food, beverages and tobacco;Netherlands;2004 2nd quarter;0;96
747;1500b Food, beverages and tobacco;Netherlands;2004 July;-3;96
748;1500b Food, beverages and tobacco;Netherlands;2004 August;2;97
749;1500b Food, beverages and tobacco;Netherlands;2004 September;1;97
750;1500b Food, beverages and tobacco;Netherlands;2004 3rd quarter;0;97
751;1500b Food, beverages and tobacco;Netherlands;2004 October;-7;98
752;1500b Food, beverages and tobacco;Netherlands;2004 November;4;97
753;1500b Food, beverages and tobacco;Netherlands;2004 December;5;97
754;1500b Food, beverages and tobacco;Netherlands;2004 4th quarter;0;97
755;1500b Food, beverages and tobacco;Netherlands;2004;0;93
756;1500b Food, beverages and tobacco;Netherlands;2005 January;-7;98
757;1500b Food, beverages and tobacco;Netherlands;2005 February;-5;97
758;1500b Food, beverages and tobacco;Netherlands;2005 March;-1;97
759;1500b Food, beverages and tobacco;Netherlands;2005 1st quarter;-4;97
760;1500b Food, beverages and tobacco;Netherlands;2005 April;-6;97
761;1500b Food, beverages and tobacco;Netherlands;2005 May;0;97
762;1500b Food, beverages and tobacco;Netherlands;2005 June;-4;97
763;1500b Food, beverages and tobacco;Netherlands;2005 2nd quarter;-3;97
764;1500b Food, beverages and tobacco;Netherlands;2005 July;-2;97
765;1500b Food, beverages and tobacco;Netherlands;2005 August;1;98
766;1500b Food, beverages and tobacco;Netherlands;2005 September;-2;97
767;1500b Food, beverages and tobacco;Netherlands;2005 3rd quarter;0;95
768;1500b Food, beverages and tobacco;Netherlands;2005 October;-2;97
769;1500b Food, beverages and tobacco;Netherlands;2005 November;0;98
770;1500b Food, beverages and tobacco;Netherlands;2005 December;-5;97
771;1500b Food, beverages and tobacco;Netherlands;2005 4th quarter;-2;96
772;1500b Food, beverages and tobacco;Netherlands;2005;-2;95
773;1500b Food, beverages and tobacco;Netherlands;2006 January;2;97
774;1500b Food, beverages and tobacco;Netherlands;2006 February;3;97
775;1500b Food, beverages and tobacco;Other countries;1997 January;8;97
776;1500b Food, beverages and tobacco;Other countries;1997 February;3;97
777;1500b Food, beverages and tobacco;Other countries;1997 March;4;95
778;1500b Food, beverages and tobacco;Other countries;1997 1st quarter;5;96
779;1500b Food, beverages and tobacco;Other countries;1997 April;14;95
780;1500b Food, beverages and tobacco;Other countries;1997 May;10;96
781;1500b Food, beverages and tobacco;Other countries;1997 June;11;96
782;1500b Food, beverages and tobacco;Other countries;1997 2nd quarter;12;96
783;1500b Food, beverages and tobacco;Other countries;1997 July;12;96
784;1500b Food, beverages and tobacco;Other countries;1997 August;6;96
785;1500b Food, beverages and tobacco;Other countries;1997 September;14;96
786;1500b Food, beverages and tobacco;Other countries;1997 3rd quarter;11;96
787;1500b Food, beverages and tobacco;Other countries;1997 October;15;95
788;1500b Food, beverages and tobacco;Other countries;1997 November;13;96
789;1500b Food, beverages and tobacco;Other countries;1997 December;13;96
790;1500b Food, beverages and tobacco;Other countries;1997 4th quarter;14;95
791;1500b Food, beverages and tobacco;Other countries;1997;11;95
792;1500b Food, beverages and tobacco;Other countries;1998 January;6;92
793;1500b Food, beverages and tobacco;Other countries;1998 February;7;92
794;1500b Food, beverages and tobacco;Other countries;1998 March;11;92
795;1500b Food, beverages and tobacco;Other countries;1998 1st quarter;8;92
796;1500b Food, beverages and tobacco;Other countries;1998 April;5;91
797;1500b Food, beverages and tobacco;Other countries;1998 May;1;92
798;1500b Food, beverages and tobacco;Other countries;1998 June;5;92
799;1500b Food, beverages and tobacco;Other countries;1998 2nd quarter;3;92
800;1500b Food, beverages and tobacco;Other countries;1998 July;2;92
801;1500b Food, beverages and tobacco;Other countries;1998 August;4;92
802;1500b Food, beverages and tobacco;Other countries;1998 September;2;91
803;1500b Food, beverages and tobacco;Other countries;1998 3rd quarter;3;91
804;1500b Food, beverages and tobacco;Other countries;1998 October;-6;91
805;1500b Food, beverages and tobacco;Other countries;1998 November;-1;91
806;1500b Food, beverages and tobacco;Other countries;1998 December;0;91
807;1500b Food, beverages and tobacco;Other countries;1998 4th quarter;-2;91
808;1500b Food, beverages and tobacco;Other countries;1998;3;91
809;1500b Food, beverages and tobacco;Other countries;1999 January;-8;97
810;1500b Food, beverages and tobacco;Other countries;1999 February;-6;97
811;1500b Food, beverages and tobacco;Other countries;1999 March;0;97
812;1500b Food, beverages and tobacco;Other countries;1999 1st quarter;-5;97
813;1500b Food, beverages and tobacco;Other countries;1999 April;-3;97
814;1500b Food, beverages and tobacco;Other countries;1999 May;-5;97
815;1500b Food, beverages and tobacco;Other countries;1999 June;1;97
816;1500b Food, beverages and tobacco;Other countries;1999 2nd quarter;-2;97
817;1500b Food, beverages and tobacco;Other countries;1999 July;-8;97
818;1500b Food, beverages and tobacco;Other countries;1999 August;-2;96
819;1500b Food, beverages and tobacco;Other countries;1999 September;-1;96
820;1500b Food, beverages and tobacco;Other countries;1999 3rd quarter;-4;96
821;1500b Food, beverages and tobacco;Other countries;1999 October;-3;96
822;1500b Food, beverages and tobacco;Other countries;1999 November;10;96
823;1500b Food, beverages and tobacco;Other countries;1999 December;10;96
824;1500b Food, beverages and tobacco;Other countries;1999 4th quarter;6;96
825;1500b Food, beverages and tobacco;Other countries;1999;-1;95
826;1500b Food, beverages and tobacco;Other countries;2000 January;0;97
827;1500b Food, beverages and tobacco;Other countries;2000 February;9;97
828;1500b Food, beverages and tobacco;Other countries;2000 March;4;98
829;1500b Food, beverages and tobacco;Other countries;2000 1st quarter;4;97
830;1500b Food, beverages and tobacco;Other countries;2000 April;-5;99
831;1500b Food, beverages and tobacco;Other countries;2000 May;18;99
832;1500b Food, beverages and tobacco;Other countries;2000 June;-1;99
833;1500b Food, beverages and tobacco;Other countries;2000 2nd quarter;4;99
834;1500b Food, beverages and tobacco;Other countries;2000 July;4;99
835;1500b Food, beverages and tobacco;Other countries;2000 August;14;99
836;1500b Food, beverages and tobacco;Other countries;2000 September;3;99
837;1500b Food, beverages and tobacco;Other countries;2000 3rd quarter;7;99
838;1500b Food, beverages and tobacco;Other countries;2000 October;6;99
839;1500b Food, beverages and tobacco;Other countries;2000 November;1;99
840;1500b Food, beverages and tobacco;Other countries;2000 December;-5;99
841;1500b Food, beverages and tobacco;Other countries;2000 4th quarter;1;99
842;1500b Food, beverages and tobacco;Other countries;2000;4;97
843;1500b Food, beverages and tobacco;Other countries;2001 January;21;99
844;1500b Food, beverages and tobacco;Other countries;2001 February;6;99
845;1500b Food, beverages and tobacco;Other countries;2001 March;0;99
846;1500b Food, beverages and tobacco;Other countries;2001 1st quarter;9;99
847;1500b Food, beverages and tobacco;Other countries;2001 April;6;99
848;1500b Food, beverages and tobacco;Other countries;2001 May;5;99
849;1500b Food, beverages and tobacco;Other countries;2001 June;11;98
850;1500b Food, beverages and tobacco;Other countries;2001 2nd quarter;8;98
851;1500b Food, beverages and tobacco;Other countries;2001 July;11;98
852;1500b Food, beverages and tobacco;Other countries;2001 August;5;98
853;1500b Food, beverages and tobacco;Other countries;2001 September;0;98
854;1500b Food, beverages and tobacco;Other countries;2001 3rd quarter;5;98
855;1500b Food, beverages and tobacco;Other countries;2001 October;12;98
856;1500b Food, beverages and tobacco;Other countries;2001 November;6;97
857;1500b Food, beverages and tobacco;Other countries;2001 December;1;97
858;1500b Food, beverages and tobacco;Other countries;2001 4th quarter;6;97
859;1500b Food, beverages and tobacco;Other countries;2001;7;97
860;1500b Food, beverages and tobacco;Other countries;2002 January;0;98
861;1500b Food, beverages and tobacco;Other countries;2002 February;6;97
862;1500b Food, beverages and tobacco;Other countries;2002 March;3;96
863;1500b Food, beverages and tobacco;Other countries;2002 1st quarter;3;96
864;1500b Food, beverages and tobacco;Other countries;2002 April;8;96
865;1500b Food, beverages and tobacco;Other countries;2002 May;-1;96
866;1500b Food, beverages and tobacco;Other countries;2002 June;-8;96
867;1500b Food, beverages and tobacco;Other countries;2002 2nd quarter;-1;96
868;1500b Food, beverages and tobacco;Other countries;2002 July;0;96
869;1500b Food, beverages and tobacco;Other countries;2002 August;-8;96
870;1500b Food, beverages and tobacco;Other countries;2002 September;2;95
871;1500b Food, beverages and tobacco;Other countries;2002 3rd quarter;-2;95
872;1500b Food, beverages and tobacco;Other countries;2002 October;1;94
873;1500b Food, beverages and tobacco;Other countries;2002 November;-3;94
874;1500b Food, beverages and tobacco;Other countries;2002 December;4;93
875;1500b Food, beverages and tobacco;Other countries;2002 4th quarter;1;93
876;1500b Food, beverages and tobacco;Other countries;2002;1;94
877;1500b Food, beverages and tobacco;Other countries;2003 January;1;95
878;1500b Food, beverages and tobacco;Other countries;2003 February;-2;95
879;1500b Food, beverages and tobacco;Other countries;2003 March;-2;95
880;1500b Food, beverages and tobacco;Other countries;2003 1st quarter;-1;94
881;1500b Food, beverages and tobacco;Other countries;2003 April;3;95
882;1500b Food, beverages and tobacco;Other countries;2003 May;-4;96
883;1500b Food, beverages and tobacco;Other countries;2003 June;-1;96
884;1500b Food, beverages and tobacco;Other countries;2003 2nd quarter;-1;95
885;1500b Food, beverages and tobacco;Other countries;2003 July;-2;97
886;1500b Food, beverages and tobacco;Other countries;2003 August;-2;95
887;1500b Food, beverages and tobacco;Other countries;2003 September;8;95
888;1500b Food, beverages and tobacco;Other countries;2003 3rd quarter;1;95
889;1500b Food, beverages and tobacco;Other countries;2003 October;3;96
890;1500b Food, beverages and tobacco;Other countries;2003 November;-4;96
891;1500b Food, beverages and tobacco;Other countries;2003 December;1;95
892;1500b Food, beverages and tobacco;Other countries;2003 4th quarter;0;95
893;1500b Food, beverages and tobacco;Other countries;2003;0;93
894;1500b Food, beverages and tobacco;Other countries;2004 January;-6;97
895;1500b Food, beverages and tobacco;Other countries;2004 February;-4;97
896;1500b Food, beverages and tobacco;Other countries;2004 March;8;97
897;1500b Food, beverages and tobacco;Other countries;2004 1st quarter;-1;97
898;1500b Food, beverages and tobacco;Other countries;2004 April;0;98
899;1500b Food, beverages and tobacco;Other countries;2004 May;-4;96
900;1500b Food, beverages and tobacco;Other countries;2004 June;11;96
901;1500b Food, beverages and tobacco;Other countries;2004 2nd quarter;3;95
902;1500b Food, beverages and tobacco;Other countries;2004 July;1;96
903;1500b Food, beverages and tobacco;Other countries;2004 August;4;98
904;1500b Food, beverages and tobacco;Other countries;2004 September;0;98
905;1500b Food, beverages and tobacco;Other countries;2004 3rd quarter;1;97
906;1500b Food, beverages and tobacco;Other countries;2004 October;-4;95
907;1500b Food, beverages and tobacco;Other countries;2004 November;8;98
908;1500b Food, beverages and tobacco;Other countries;2004 December;10;97
909;1500b Food, beverages and tobacco;Other countries;2004 4th quarter;4;96
910;1500b Food, beverages and tobacco;Other countries;2004;4;94
911;1500b Food, beverages and tobacco;Other countries;2005 January;1;98
912;1500b Food, beverages and tobacco;Other countries;2005 February;2;98
913;1500b Food, beverages and tobacco;Other countries;2005 March;-1;98
914;1500b Food, beverages and tobacco;Other countries;2005 1st quarter;1;98
915;1500b Food, beverages and tobacco;Other countries;2005 April;1;98
916;1500b Food, beverages and tobacco;Other countries;2005 May;4;99
917;1500b Food, beverages and tobacco;Other countries;2005 June;5;98
918;1500b Food, beverages and tobacco;Other countries;2005 2nd quarter;3;99
919;1500b Food, beverages and tobacco;Other countries;2005 July;-2;98
920;1500b Food, beverages and tobacco;Other countries;2005 August;5;99
921;1500b Food, beverages and tobacco;Other countries;2005 September;1;98
922;1500b Food, beverages and tobacco;Other countries;2005 3rd quarter;3;97
923;1500b Food, beverages and tobacco;Other countries;2005 October;0;98
924;1500b Food, beverages and tobacco;Other countries;2005 November;2;99
925;1500b Food, beverages and tobacco;Other countries;2005 December;0;98
926;1500b Food, beverages and tobacco;Other countries;2005 4th quarter;1;98
927;1500b Food, beverages and tobacco;Other countries;2005;2;97
928;1500b Food, beverages and tobacco;Other countries;2006 January;3;98
929;1500b Food, beverages and tobacco;Other countries;2006 February;11;99
930;1700a Textiles,clothing,leather products;Destination total;1997 January;1;96
931;1700a Textiles,clothing,leather products;Destination total;1997 February;1;95
932;1700a Textiles,clothing,leather products;Destination total;1997 March;-2;95
933;1700a Textiles,clothing,leather products;Destination total;1997 1st quarter;0;95
934;1700a Textiles,clothing,leather products;Destination total;1997 April;15;95
935;1700a Textiles,clothing,leather products;Destination total;1997 May;-3;94
936;1700a Textiles,clothing,leather products;Destination total;1997 June;6;94
937;1700a Textiles,clothing,leather products;Destination total;1997 2nd quarter;6;94
938;1700a Textiles,clothing,leather products;Destination total;1997 July;9;94
939;1700a Textiles,clothing,leather products;Destination total;1997 August;4;94
940;1700a Textiles,clothing,leather products;Destination total;1997 September;9;94
941;1700a Textiles,clothing,leather products;Destination total;1997 3rd quarter;7;94
942;1700a Textiles,clothing,leather products;Destination total;1997 October;12;94
943;1700a Textiles,clothing,leather products;Destination total;1997 November;8;93
944;1700a Textiles,clothing,leather products;Destination total;1997 December;11;93
945;1700a Textiles,clothing,leather products;Destination total;1997 4th quarter;10;92
946;1700a Textiles,clothing,leather products;Destination total;1997;6;92
947;1700a Textiles,clothing,leather products;Destination total;1998 January;1;95
948;1700a Textiles,clothing,leather products;Destination total;1998 February;2;95
949;1700a Textiles,clothing,leather products;Destination total;1998 March;16;95
950;1700a Textiles,clothing,leather products;Destination total;1998 1st quarter;7;95
951;1700a Textiles,clothing,leather products;Destination total;1998 April;4;94
952;1700a Textiles,clothing,leather products;Destination total;1998 May;7;95
953;1700a Textiles,clothing,leather products;Destination total;1998 June;4;96
954;1700a Textiles,clothing,leather products;Destination total;1998 2nd quarter;5;95
955;1700a Textiles,clothing,leather products;Destination total;1998 July;8;95
956;1700a Textiles,clothing,leather products;Destination total;1998 August;-9;94
957;1700a Textiles,clothing,leather products;Destination total;1998 September;0;94
958;1700a Textiles,clothing,leather products;Destination total;1998 3rd quarter;0;93
959;1700a Textiles,clothing,leather products;Destination total;1998 October;-4;93
960;1700a Textiles,clothing,leather products;Destination total;1998 November;2;94
961;1700a Textiles,clothing,leather products;Destination total;1998 December;1;94
962;1700a Textiles,clothing,leather products;Destination total;1998 4th quarter;-1;94
963;1700a Textiles,clothing,leather products;Destination total;1998;3;92
964;1700a Textiles,clothing,leather products;Destination total;1999 January;-1;95
965;1700a Textiles,clothing,leather products;Destination total;1999 February;-5;96
966;1700a Textiles,clothing,leather products;Destination total;1999 March;-1;95
967;1700a Textiles,clothing,leather products;Destination total;1999 1st quarter;-2;95
968;1700a Textiles,clothing,leather products;Destination total;1999 April;-8;95
969;1700a Textiles,clothing,leather products;Destination total;1999 May;-7;94
970;1700a Textiles,clothing,leather products;Destination total;1999 June;1;94
971;1700a Textiles,clothing,leather products;Destination total;1999 2nd quarter;-5;94
972;1700a Textiles,clothing,leather products;Destination total;1999 July;-7;95
973;1700a Textiles,clothing,leather products;Destination total;1999 August;0;96
974;1700a Textiles,clothing,leather products;Destination total;1999 September;-4;96
975;1700a Textiles,clothing,leather products;Destination total;1999 3rd quarter;-4;95
976;1700a Textiles,clothing,leather products;Destination total;1999 October;-8;97
977;1700a Textiles,clothing,leather products;Destination total;1999 November;2;96
978;1700a Textiles,clothing,leather products;Destination total;1999 December;4;96
979;1700a Textiles,clothing,leather products;Destination total;1999 4th quarter;-1;96
980;1700a Textiles,clothing,leather products;Destination total;1999;-3;94
981;1700a Textiles,clothing,leather products;Destination total;2000 January;0;97
982;1700a Textiles,clothing,leather products;Destination total;2000 February;7;97
983;1700a Textiles,clothing,leather products;Destination total;2000 March;-1;97
984;1700a Textiles,clothing,leather products;Destination total;2000 1st quarter;2;97
985;1700a Textiles,clothing,leather products;Destination total;2000 April;0;99
986;1700a Textiles,clothing,leather products;Destination total;2000 May;19;99
987;1700a Textiles,clothing,leather products;Destination total;2000 June;-2;99
988;1700a Textiles,clothing,leather products;Destination total;2000 2nd quarter;5;99
989;1700a Textiles,clothing,leather products;Destination total;2000 July;-3;99
990;1700a Textiles,clothing,leather products;Destination total;2000 August;14;98
991;1700a Textiles,clothing,leather products;Destination total;2000 September;3;98
992;1700a Textiles,clothing,leather products;Destination total;2000 3rd quarter;4;98
993;1700a Textiles,clothing,leather products;Destination total;2000 October;3;98
994;1700a Textiles,clothing,leather products;Destination total;2000 November;4;99
995;1700a Textiles,clothing,leather products;Destination total;2000 December;-7;98
996;1700a Textiles,clothing,leather products;Destination total;2000 4th quarter;0;98
997;1700a Textiles,clothing,leather products;Destination total;2000;3;96
998;1700a Textiles,clothing,leather products;Destination total;2001 January;11;96
999;1700a Textiles,clothing,leather products;Destination total;2001 February;2;96
1000;1700a Textiles,clothing,leather products;Destination total;2001 March;2;97
1001;1700a Textiles,clothing,leather products;Destination total;2001 1st quarter;5;96
1002;1700a Textiles,clothing,leather products;Destination total;2001 April;4;96
1003;1700a Textiles,clothing,leather products;Destination total;2001 May;-4;97
1004;1700a Textiles,clothing,leather products;Destination total;2001 June;2;97
1005;1700a Textiles,clothing,leather products;Destination total;2001 2nd quarter;1;97
1006;1700a Textiles,clothing,leather products;Destination total;2001 July;1;97
1007;1700a Textiles,clothing,leather products;Destination total;2001 August;1;95
1008;1700a Textiles,clothing,leather products;Destination total;2001 September;-10;96
1009;1700a Textiles,clothing,leather products;Destination total;2001 3rd quarter;-3;96
1010;1700a Textiles,clothing,leather products;Destination total;2001 October;0;96
1011;1700a Textiles,clothing,leather products;Destination total;2001 November;-8;97
1012;1700a Textiles,clothing,leather products;Destination total;2001 December;-7;96
1013;1700a Textiles,clothing,leather products;Destination total;2001 4th quarter;-4;95
1014;1700a Textiles,clothing,leather products;Destination total;2001;0;95
1015;1700a Textiles,clothing,leather products;Destination total;2002 January;-8;95
1016;1700a Textiles,clothing,leather products;Destination total;2002 February;-3;95
1017;1700a Textiles,clothing,leather products;Destination total;2002 March;-4;92
1018;1700a Textiles,clothing,leather products;Destination total;2002 1st quarter;-4;92
1019;1700a Textiles,clothing,leather products;Destination total;2002 April;0;91
1020;1700a Textiles,clothing,leather products;Destination total;2002 May;-3;92
1021;1700a Textiles,clothing,leather products;Destination total;2002 June;-2;90
1022;1700a Textiles,clothing,leather products;Destination total;2002 2nd quarter;-1;90
1023;1700a Textiles,clothing,leather products;Destination total;2002 July;4;88
1024;1700a Textiles,clothing,leather products;Destination total;2002 August;0;91
1025;1700a Textiles,clothing,leather products;Destination total;2002 September;11;89
1026;1700a Textiles,clothing,leather products;Destination total;2002 3rd quarter;5;90
1027;1700a Textiles,clothing,leather products;Destination total;2002 October;7;90
1028;1700a Textiles,clothing,leather products;Destination total;2002 November;0;91
1029;1700a Textiles,clothing,leather products;Destination total;2002 December;8;92
1030;1700a Textiles,clothing,leather products;Destination total;2002 4th quarter;5;91
1031;1700a Textiles,clothing,leather products;Destination total;2002;2;90
1032;1700a Textiles,clothing,leather products;Destination total;2003 January;-4;94
1033;1700a Textiles,clothing,leather products;Destination total;2003 February;-4;94
1034;1700a Textiles,clothing,leather products;Destination total;2003 March;-5;95
1035;1700a Textiles,clothing,leather products;Destination total;2003 1st quarter;-4;94
1036;1700a Textiles,clothing,leather products;Destination total;2003 April;-2;96
1037;1700a Textiles,clothing,leather products;Destination total;2003 May;-5;95
1038;1700a Textiles,clothing,leather products;Destination total;2003 June;-1;94
1039;1700a Textiles,clothing,leather products;Destination total;2003 2nd quarter;-3;94
1040;1700a Textiles,clothing,leather products;Destination total;2003 July;-5;94
1041;1700a Textiles,clothing,leather products;Destination total;2003 August;-12;92
1042;1700a Textiles,clothing,leather products;Destination total;2003 September;0;94
1043;1700a Textiles,clothing,leather products;Destination total;2003 3rd quarter;-5;93
1044;1700a Textiles,clothing,leather products;Destination total;2003 October;-4;92
1045;1700a Textiles,clothing,leather products;Destination total;2003 November;-5;93
1046;1700a Textiles,clothing,leather products;Destination total;2003 December;3;90
1047;1700a Textiles,clothing,leather products;Destination total;2003 4th quarter;-2;91
1048;1700a Textiles,clothing,leather products;Destination total;2003;-3;89
1049;1700a Textiles,clothing,leather products;Destination total;2004 January;-2;90
1050;1700a Textiles,clothing,leather products;Destination total;2004 February;-5;90
1051;1700a Textiles,clothing,leather products;Destination total;2004 March;4;91
1052;1700a Textiles,clothing,leather products;Destination total;2004 1st quarter;0;90
1053;1700a Textiles,clothing,leather products;Destination total;2004 April;-5;90
1054;1700a Textiles,clothing,leather products;Destination total;2004 May;-7;92
