ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;TotaleOppervlakte_4;TotaalVerkeersterrein_5;Spoorterrein_6;Wegverkeersterrein_7;Vliegveld_8;TotaalBebouwdTerrein_9;Woonterrein_10;TerreinVoorDetailhandelEnHoreca_11;TerreinVoorOpenbareVoorzieningen_12;TerreinVoorSociaalCultureleVoorz_13;Bedrijventerrein_14;TotaalSemiBebouwdTerrein_15;Stortplaats_16;Wrakkenopslagplaats_17;Begraafplaats_18;Delfstofwinplaats_19;Bouwterrein_20;SemiVerhardOverigTerrein_21;TotaalRecreatieterrein_22;ParkEnPlantsoen_23;Sportterrein_24;Volkstuin_25;DagrecreatiefTerrein_26;VerblijfsrecreatiefTerrein_27;TotaalAgrarischTerrein_28;TerreinVoorGlastuinbouw_29;OverigAgrarischTerrein_30;TotaalBosEnOpenNatuurlijkTerrein_31;Bos_32;OpenDroogNatuurlijkTerrein_33;OpenNatNatuurlijkTerrein_34;TotaalBinnenwater_35;IJsselmeerMarkermeer_36;AfgeslotenZeearm_37;RijnEnMaas_38;Randmeer_39;Spaarbekken_40;RecreatiefBinnenwater_41;BinnenwaterVoorDelfstofwinning_42;VloeiEnOfSlibveld_43;OverigBinnenwater_44;TotaalBuitenwater_45;WaddenzeeEemsDollard_46;Oosterschelde_47;Westerschelde_48;Noordzee_49
312;Westeremden;Loppersum                               ;Buurt     ;BU00240101;69;3;0;3;0;9;9;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;56;0;56;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
313;Garsthuizen (gedeeltelijk);Loppersum                               ;Buurt     ;BU00240102;43;1;0;1;0;7;7;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;34;0;34;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
314;Verspr.h. Stedum inclusief Startenhuizen;Loppersum                               ;Buurt     ;BU00240109;2290;45;6;40;0;0;0;0;0;0;0;9;0;0;0;2;8;0;0;0;0;0;0;0;2217;0;2217;7;7;0;0;12;;;;;0;0;0;0;12;;;;;
315;Wijk 02 Middelstum;Loppersum                               ;Wijk      ;WK002402  ;2554;72;5;67;0;80;57;1;0;5;16;16;0;0;4;0;12;0;8;2;6;0;0;0;2316;0;2316;37;36;0;1;25;;;;;0;0;0;0;25;;;;;
316;Middelstum;Loppersum                               ;Buurt     ;BU00240200;119;5;0;5;0;58;53;0;0;2;3;5;0;0;2;0;3;0;8;2;5;0;0;0;29;0;29;12;12;0;0;2;;;;;0;0;0;0;2;;;;;
317;Westerwijtwerd;Loppersum                               ;Buurt     ;BU00240201;33;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;31;0;31;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
318;Huizinge;Loppersum                               ;Buurt     ;BU00240202;30;1;0;1;0;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;22;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
319;Toornwerd;Loppersum                               ;Buurt     ;BU00240203;29;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;27;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
320;Verspreide huizen Middelstum;Loppersum                               ;Buurt     ;BU00240209;2343;64;5;59;0;16;0;0;0;3;13;9;0;0;0;0;8;0;0;0;0;0;0;0;2206;0;2206;26;25;0;1;22;;;;;0;0;0;0;22;;;;;
321;Wijk 03 't Zandt;Loppersum                               ;Wijk      ;WK002403  ;3495;71;4;66;0;68;65;0;0;0;3;21;0;0;4;17;0;0;12;5;8;0;0;0;3241;0;3241;55;55;0;0;26;;;;;0;0;0;0;26;;;;;
322;'t Zandt;Loppersum                               ;Buurt     ;BU00240300;93;4;0;4;0;26;26;0;0;0;0;1;0;0;1;0;0;0;7;3;4;0;0;0;47;0;47;7;7;0;0;1;;;;;0;0;0;0;1;;;;;
323;Zeerijp;Loppersum                               ;Buurt     ;BU00240301;85;2;0;2;0;16;16;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;58;0;58;3;3;0;0;1;;;;;0;0;0;0;1;;;;;
324;Zijldijk;Loppersum                               ;Buurt     ;BU00240302;67;2;0;2;0;12;10;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;52;0;52;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
325;Leermens;Loppersum                               ;Buurt     ;BU00240303;66;3;0;3;0;7;7;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;54;0;54;0;0;0;0;2;;;;;0;0;0;0;2;;;;;
326;Oosterwijtwerd;Loppersum                               ;Buurt     ;BU00240304;69;2;0;2;0;4;4;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;62;0;62;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
327;Eenum;Loppersum                               ;Buurt     ;BU00240305;40;2;0;2;0;2;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;34;0;34;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
328;Verspreide huizen 't Zandt;Loppersum                               ;Buurt     ;BU00240309;3076;55;4;51;0;1;0;0;0;0;1;17;0;0;0;17;0;0;2;1;1;0;0;0;2935;0;2935;45;45;0;0;20;;;;;0;0;0;0;20;;;;;
329;Marum;Marum                                   ;Gemeente  ;GM0025    ;6489;219;0;219;0;308;223;14;2;7;62;26;0;1;6;3;17;0;57;6;38;0;5;8;5674;0;5674;162;151;1;10;43;;;;;0;0;0;0;43;;;;;
330;Wijk 00 Marum;Marum                                   ;Wijk      ;WK002500  ;4358;182;0;182;0;253;183;12;2;7;49;22;0;0;3;3;17;0;48;6;34;0;0;8;3696;0;3696;126;117;0;10;31;;;;;0;0;0;0;31;;;;;
331;Marum;Marum                                   ;Buurt     ;BU00250000;456;31;0;31;0;191;142;6;0;1;41;14;0;0;1;0;13;0;22;6;16;0;0;0;192;0;192;5;5;0;0;0;;;;;0;0;0;0;0;;;;;
332;Nuis;Marum                                   ;Buurt     ;BU00250002;325;18;0;18;0;28;18;6;2;2;0;1;0;0;1;0;0;0;3;0;3;0;0;0;267;0;267;9;9;0;0;0;;;;;0;0;0;0;0;;;;;
333;Niebert;Marum                                   ;Buurt     ;BU00250003;424;27;0;27;0;12;7;0;0;4;1;1;0;0;1;0;0;0;3;0;3;0;0;0;378;0;378;3;3;0;0;0;;;;;0;0;0;0;0;;;;;
334;Boerakker;Marum                                   ;Buurt     ;BU00250004;56;4;0;4;0;10;10;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;39;0;39;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
335;Lucaswolde;Marum                                   ;Buurt     ;BU00250005;487;11;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;475;0;475;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
336;Noordwijk;Marum                                   ;Buurt     ;BU00250006;36;1;0;1;0;8;6;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;26;0;26;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
337;De Haar;Marum                                   ;Buurt     ;BU00250007;201;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;193;0;193;3;3;0;0;0;;;;;0;0;0;0;0;;;;;
338;Verspreide huizen in het noordwesten;Marum                                   ;Buurt     ;BU00250008;1265;42;0;42;0;1;0;0;0;0;1;6;0;0;0;3;4;0;12;0;10;0;0;3;1121;0;1121;72;72;0;0;10;;;;;0;0;0;0;10;;;;;
339;Verspreide huizen in het noordoosten;Marum                                   ;Buurt     ;BU00250009;1109;42;0;42;0;4;0;0;0;0;3;0;0;0;0;0;0;0;5;0;0;0;0;5;1005;0;1005;34;25;0;9;19;;;;;0;0;0;0;19;;;;;
340;Wijk 01 De Wilp;Marum                                   ;Wijk      ;WK002501  ;2131;37;0;37;0;56;40;2;0;0;13;4;0;1;3;0;0;0;9;0;4;0;5;0;1978;0;1978;36;35;1;0;12;;;;;0;0;0;0;12;;;;;
341;De Wilp (gedeeltelijk);Marum                                   ;Buurt     ;BU00250100;184;6;0;6;0;42;39;0;0;0;4;2;0;0;2;0;0;0;4;0;4;0;0;0;124;0;124;3;3;0;0;3;;;;;0;0;0;0;3;;;;;
342;Wilpstervaart;Marum                                   ;Buurt     ;BU00250101;58;2;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;53;0;0;0;0;2;;;;;0;0;0;0;2;;;;;
343;Keuningswijk;Marum                                   ;Buurt     ;BU00250102;315;8;0;8;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;304;0;304;0;0;0;0;2;;;;;0;0;0;0;2;;;;;
344;Jonkersvaart;Marum                                   ;Buurt     ;BU00250104;236;7;0;7;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;2;0;221;0;221;1;1;0;0;4;;;;;0;0;0;0;4;;;;;
345;Verspr.h. ten noorden van Jonkersvaart;Marum                                   ;Buurt     ;BU00250108;604;9;0;9;0;7;0;0;0;0;7;1;0;1;0;0;0;0;0;0;0;0;0;0;560;0;560;27;26;1;0;0;;;;;0;0;0;0;0;;;;;
346;Verspr.h. ten noorden van de Wilp;Marum                                   ;Buurt     ;BU00250109;734;5;0;5;0;4;2;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;716;0;716;5;5;0;0;2;;;;;0;0;0;0;2;;;;;
347;Almere;Almere                                  ;Gemeente  ;GM0034    ;24877;700;52;649;0;3142;2286;102;31;117;606;1073;42;0;18;0;962;51;1382;815;284;75;189;19;3256;140;3116;3370;2851;45;474;11953;10055.0;;;878.0;0;58;0;0;961;;;;;
348;Wijk 01 Almere-Haven;Almere                                  ;Wijk      ;WK003401  ;2328;82;1;81;0;398;330;13;2;3;50;223;0;0;4;0;201;18;384;167;43;53;114;7;420;0;420;737;655;0;82;84;0.0;;;0.0;0;20;0;0;64;;;;;
349;Centrum Almere-Haven;Almere                                  ;Buurt     ;BU00340101;60;1;0;1;0;22;7;13;0;2;0;0;0;0;0;0;0;0;24;1;0;0;23;0;0;0;0;2;2;0;0;10;;;;0.0;0;9;0;0;0;;;;;
350;De Werven;Almere                                  ;Buurt     ;BU00340102;52;3;0;3;0;32;32;0;0;0;0;1;0;0;0;0;1;0;13;11;2;0;0;0;0;0;0;0;0;0;0;3;;;;;0;0;0;0;3;;;;;
351;De Hoven;Almere                                  ;Buurt     ;BU00340103;46;1;0;1;0;32;32;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;3;;;;;0;0;0;0;3;;;;;
352;De Meenten;Almere                                  ;Buurt     ;BU00340104;76;2;0;2;0;32;32;0;0;0;0;5;0;0;4;0;0;2;37;34;3;0;0;0;0;0;0;0;0;0;0;0;;;;0.0;0;0;0;0;0;;;;;
353;De Grienden;Almere                                  ;Buurt     ;BU00340105;65;0;0;0;0;35;35;0;0;0;0;0;0;0;0;0;0;0;27;27;0;0;0;0;0;0;0;0;0;0;0;3;;;;;0;0;0;0;3;;;;;
354;De Marken;Almere                                  ;Buurt     ;BU00340106;113;2;0;2;0;51;44;0;0;1;6;0;0;0;0;0;0;0;54;25;20;8;0;0;0;0;0;3;3;0;0;3;;;;;0;0;0;0;3;;;;;
355;De Gouwen;Almere                                  ;Buurt     ;BU00340107;71;5;0;5;0;47;43;0;0;0;5;0;0;0;0;0;0;0;16;9;1;6;0;0;0;0;0;2;2;0;0;1;;;;;0;0;0;0;1;;;;;
356;De Wierden;Almere                                  ;Buurt     ;BU00340108;92;3;0;3;0;49;49;0;0;0;0;2;0;0;0;0;0;2;31;13;15;0;3;0;0;0;0;2;2;0;0;5;;;;;0;0;0;0;5;;;;;
357;De Velden;Almere                                  ;Buurt     ;BU00340109;64;2;0;2;0;29;29;0;0;0;0;1;0;0;0;0;0;1;20;19;0;0;0;0;0;0;0;12;12;0;0;0;;;;;0;0;0;0;0;;;;;
358;Overgooi;Almere                                  ;Buurt     ;BU00340110;638;18;0;18;0;27;27;0;0;0;0;118;0;0;0;0;112;6;45;0;0;38;0;7;173;0;173;243;243;0;0;13;;;;;0;0;0;0;13;;;;;
359;De Steiger;Almere                                  ;Buurt     ;BU00340171;35;1;0;1;0;31;0;0;2;0;29;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
360;Stichtsekant;Almere                                  ;Buurt     ;BU00340173;262;20;0;20;0;10;0;0;0;0;10;62;0;0;0;0;60;3;0;0;0;0;0;0;168;0;168;0;0;0;0;2;;;;;0;0;0;0;2;;;;;
361;Verspreide Huizen Almere-Haven;Almere                                  ;Buurt     ;BU00340199;753;24;1;23;0;0;0;0;0;0;0;33;0;0;0;0;27;6;103;14;1;0;88;0;78;0;78;473;391;0;82;43;0.0;;;0.0;0;10;0;0;32;;;;;
362;Wijk 02 Almere-Stad;Almere                                  ;Wijk      ;WK003402  ;4243;256;20;237;0;1661;1203;56;9;75;319;142;0;0;15;0;119;9;596;399;107;19;63;8;140;0;140;765;463;24;278;682;;;;;0;34;0;0;647;;;;;
363;Centrum Almere-Stad;Almere                                  ;Buurt     ;BU00340201;84;9;3;6;0;71;11;33;3;9;14;2;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3;;;;;0;0;0;0;3;;;;;
364;Filmwijk;Almere                                  ;Buurt     ;BU00340202;213;9;0;9;0;141;132;0;0;9;0;2;0;0;0;0;2;0;46;44;2;0;0;0;8;0;8;0;0;0;0;7;;;;;0;0;0;0;7;;;;;
365;Danswijk;Almere                                  ;Buurt     ;BU00340203;68;0;0;0;0;54;51;0;0;0;3;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;0;0;5;;;;;0;0;0;0;5;;;;;
366;Parkwijk;Almere                                  ;Buurt     ;BU00340204;133;4;0;4;0;88;72;1;0;15;0;0;0;0;0;0;0;0;31;30;1;0;0;0;0;0;0;0;0;0;0;9;;;;;0;0;0;0;9;;;;;
367;Verzetswijk;Almere                                  ;Buurt     ;BU00340205;110;6;3;3;0;54;51;0;0;3;0;0;0;0;0;0;0;0;41;38;0;0;3;0;0;0;0;0;0;0;0;9;;;;;0;2;0;0;7;;;;;
368;Waterwijk;Almere                                  ;Buurt     ;BU00340206;174;6;0;6;0;102;96;1;0;0;5;0;0;0;0;0;0;0;34;25;3;6;0;0;0;0;0;0;0;0;0;32;;;;;0;21;0;0;11;;;;;
369;Tussen de Vaarten Noord;Almere                                  ;Buurt     ;BU00340207;191;23;2;21;0;68;58;0;0;9;2;13;0;0;0;0;13;0;74;36;38;0;0;0;0;0;0;12;12;0;0;0;;;;;0;0;0;0;0;;;;;
370;Tussen de Vaarten Zuid;Almere                                  ;Buurt     ;BU00340208;248;23;0;23;0;110;100;0;0;6;4;3;0;0;0;0;3;0;44;44;0;0;0;0;7;0;7;56;56;0;0;5;;;;;0;3;0;0;2;;;;;
371;Staatsliedenwijk;Almere                                  ;Buurt     ;BU00340209;39;3;2;2;0;29;24;0;0;3;2;2;0;0;0;0;2;0;3;0;3;0;0;0;0;0;0;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
372;Kruidenwijk;Almere                                  ;Buurt     ;BU00340210;234;17;1;16;0;106;98;0;0;0;8;14;0;0;14;0;0;0;86;66;14;6;0;0;0;0;0;0;0;0;0;11;;;;;0;6;0;0;6;;;;;
373;Stedenwijk;Almere                                  ;Buurt     ;BU00340211;162;0;0;0;0;122;111;0;0;8;2;0;0;0;0;0;0;0;28;7;18;2;0;0;0;0;0;4;4;0;0;8;;;;;0;0;0;0;8;;;;;
374;Muziekwijk Noord;Almere                                  ;Buurt     ;BU00340212;241;25;5;20;0;151;137;4;0;2;8;0;0;0;0;0;0;0;56;37;19;0;0;0;0;0;0;4;4;0;0;4;;;;;0;0;0;0;4;;;;;
375;Muziekwijk Zuid;Almere                                  ;Buurt     ;BU00340213;99;5;1;5;0;79;67;2;0;3;6;0;0;0;0;0;0;0;13;9;4;0;0;0;0;0;0;0;0;0;0;2;;;;;0;0;0;0;2;;;;;
376;Literatuurwijk;Almere                                  ;Buurt     ;BU00340214;155;5;0;5;0;135;114;6;0;3;13;0;0;0;0;0;0;0;10;9;0;0;0;0;0;0;0;0;0;0;0;5;;;;;0;0;0;0;5;;;;;
377;Noorderplassen;Almere                                  ;Buurt     ;BU00340215;546;11;0;11;0;74;73;0;0;1;0;58;0;0;0;0;58;0;64;25;0;0;39;0;1;0;1;62;20;22;21;276;;;;;0;0;0;0;276;;;;;
378;Randstad;Almere                                  ;Buurt     ;BU00340271;26;3;1;2;0;20;0;0;0;0;20;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
379;Markerkant;Almere                                  ;Buurt     ;BU00340272;51;5;0;5;0;43;0;9;4;0;30;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
380;Hollandsekant;Almere                                  ;Buurt     ;BU00340273;43;5;3;2;0;28;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;8;8;0;0;1;;;;;0;0;0;0;1;;;;;
381;Gooisekant;Almere                                  ;Buurt     ;BU00340274;126;27;0;27;0;78;0;0;0;0;78;7;0;0;0;0;7;0;0;0;0;0;0;0;4;0;4;9;9;0;0;1;;;;;0;0;0;0;1;;;;;
382;Veluwsekant;Almere                                  ;Buurt     ;BU00340275;112;20;0;20;0;53;0;0;2;0;51;5;0;0;0;0;5;0;10;8;2;0;0;0;13;0;13;6;6;0;0;5;;;;;0;0;0;0;5;;;;;
383;Sallandsekant;Almere                                  ;Buurt     ;BU00340276;77;5;0;5;0;44;0;0;0;0;44;17;0;0;0;0;17;0;4;4;0;0;0;0;0;0;0;6;6;0;0;1;;;;;0;0;0;0;1;;;;;
384;Verspreide huizen Almere-Stad;Almere                                  ;Buurt     ;BU00340299;1110;45;0;45;0;10;6;0;0;4;0;18;0;0;0;0;9;9;38;4;0;4;22;8;106;0;106;598;338;2;257;296;;;;;0;3;0;0;293;;;;;
385;Wijk 03 Almere-Buiten;Almere                                  ;Wijk      ;WK003403  ;2794;159;14;144;0;945;634;33;15;32;231;85;0;0;0;0;74;11;253;226;23;4;0;0;509;140;369;713;607;2;103;130;0.0;;;;0;0;0;0;130;;;;;
386;Centrum Almere-Buiten;Almere                                  ;Buurt     ;BU00340301;45;3;2;1;0;39;10;27;0;2;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
387;Oostvaardersbuurt;Almere                                  ;Buurt     ;BU00340302;121;9;5;4;0;63;61;0;0;0;2;2;0;0;0;0;2;0;10;10;0;0;0;0;0;0;0;34;34;0;0;4;;;;;0;0;0;0;4;;;;;
388;Seizoenenbuurt;Almere                                  ;Buurt     ;BU00340303;143;6;2;4;0;72;70;0;0;1;0;0;0;0;0;0;0;0;10;10;0;0;0;0;4;0;4;49;49;0;0;3;;;;;0;0;0;0;3;;;;;
389;Molenbuurt;Almere                                  ;Buurt     ;BU00340304;64;0;0;0;0;52;46;0;0;0;6;0;0;0;0;0;0;0;10;8;2;0;0;0;0;0;0;0;0;0;0;2;;;;;0;0;0;0;2;;;;;
390;Bouwmeesterbuurt;Almere                                  ;Buurt     ;BU00340305;127;5;0;5;0;56;52;0;0;2;2;0;0;0;0;0;0;0;57;43;13;1;0;0;0;0;0;0;0;0;0;9;;;;;0;0;0;0;9;;;;;
391;Landgoederenbuurt;Almere                                  ;Buurt     ;BU00340306;78;4;3;1;0;52;50;2;0;0;0;0;0;0;0;0;0;0;17;17;0;0;0;0;0;0;0;0;0;0;0;5;;;;;0;0;0;0;5;;;;;
392;Faunabuurt;Almere                                  ;Buurt     ;BU00340307;69;1;0;0;0;55;51;0;0;0;4;0;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
393;Bloemenbuurt;Almere                                  ;Buurt     ;BU00340308;81;3;0;3;0;59;58;0;0;1;0;0;0;0;0;0;0;0;17;17;0;0;0;0;0;0;0;0;0;0;0;2;;;;;0;0;0;0;2;;;;;
394;Regenboogbuurt;Almere                                  ;Buurt     ;BU00340309;108;5;0;5;0;61;59;1;0;0;0;0;0;0;0;0;0;0;40;40;0;0;0;0;0;0;0;0;0;0;0;3;;;;;0;0;0;0;3;;;;;
395;Indischebuurt;Almere                                  ;Buurt     ;BU00340310;46;2;0;1;0;13;8;3;0;0;2;25;0;0;0;0;25;0;4;4;0;0;0;0;0;0;0;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
396;Eilandenbuurt;Almere                                  ;Buurt     ;BU00340311;83;1;0;1;0;67;64;0;0;3;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;0;0;6;;;;;0;0;0;0;6;;;;;
397;Stripheldenbuurt;Almere                                  ;Buurt     ;BU00340312;176;11;0;11;0;97;86;0;0;10;0;11;0;0;0;0;11;0;24;24;0;0;0;0;3;0;3;24;24;0;0;7;;;;;0;0;0;0;7;;;;;
398;Sieradenbuurt;Almere                                  ;Buurt     ;BU00340313;76;7;2;5;0;17;17;0;0;0;0;11;0;0;0;0;11;0;3;3;0;0;0;0;0;0;0;36;36;0;0;2;;;;;0;0;0;0;2;;;;;
399;Poldervlak;Almere                                  ;Buurt     ;BU00340371;46;2;0;2;0;31;0;0;0;0;31;0;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
400;De Vaart;Almere                                  ;Buurt     ;BU00340372;405;12;0;12;0;204;0;0;14;6;183;6;0;0;0;0;6;0;9;7;2;0;0;0;113;0;113;50;48;0;2;11;;;;;0;0;0;0;11;;;;;
401;Buitenvaart;Almere                                  ;Buurt     ;BU00340373;269;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;189;140;49;65;65;0;0;3;;;;;0;0;0;0;3;;;;;
402;Verspreide huizen Almere-Buiten;Almere                                  ;Buurt     ;BU00340399;857;79;0;79;0;8;2;0;1;6;0;27;0;0;0;0;15;11;17;11;6;0;0;0;201;0;201;455;351;2;101;71;0.0;;;;0;0;0;0;71;;;;;
403;Wijk 04 Almere-Poort;Almere                                  ;Wijk      ;WK003404  ;687;61;17;44;0;56;50;0;0;0;6;370;0;0;0;0;370;0;4;0;0;0;4;0;12;0;12;171;149;19;2;14;;;;;0;0;0;0;14;;;;;
404;Europakwartier;Almere                                  ;Buurt     ;BU00340401;84;4;2;2;0;17;17;0;0;0;0;59;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;;;;;0;0;0;0;3;;;;;
405;Columbuskwartier;Almere                                  ;Buurt     ;BU00340402;65;1;0;1;0;15;15;0;0;0;0;48;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
406;Homeruskwartier;Almere                                  ;Buurt     ;BU00340403;107;1;1;1;0;17;17;0;0;0;0;84;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;;;;;0;0;0;0;4;;;;;
407;Olympiakwartier;Almere                                  ;Buurt     ;BU00340404;59;8;5;3;0;0;0;0;0;0;0;48;0;0;0;0;48;0;0;0;0;0;0;0;2;0;2;1;1;0;0;0;;;;;0;0;0;0;0;;;;;
408;Hogekant;Almere                                  ;Buurt     ;BU00340471;39;0;0;0;0;5;0;0;0;0;5;16;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;18;15;4;0;0;;;;;0;0;0;0;0;;;;;
409;Middenkant;Almere                                  ;Buurt     ;BU00340472;49;3;3;0;0;0;0;0;0;0;0;44;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;;;;;0;0;0;0;1;;;;;
410;Lagekant;Almere                                  ;Buurt     ;BU00340473;20;1;0;1;0;0;0;0;0;0;0;19;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
411;Verspreide huizen Almere-Poort;Almere                                  ;Buurt     ;BU00340499;264;43;7;36;0;1;1;0;0;0;0;52;0;0;0;0;52;0;4;0;0;0;4;0;9;0;9;150;134;14;2;4;;;;;0;0;0;0;4;;;;;
412;Wijk 05 Almere-Hout;Almere                                  ;Wijk      ;WK003405  ;2999;116;0;116;0;81;69;0;5;7;0;226;42;0;0;0;184;0;139;22;105;0;8;4;1603;0;1603;735;732;0;3;98;;;;;0;1;0;0;97;;;;;
413;Vogelhorst;Almere                                  ;Buurt     ;BU00340502;165;4;0;4;0;51;51;0;0;0;0;31;0;0;0;0;31;0;27;21;6;0;0;0;19;0;19;27;27;0;0;5;;;;;0;0;0;0;5;;;;;
414;Verspreide huizen Almere-Hout;Almere                                  ;Buurt     ;BU00340599;2835;112;0;112;0;30;18;0;5;7;0;195;42;0;0;0;153;0;113;2;99;0;8;4;1584;0;1584;708;706;0;3;93;;;;;0;1;0;0;92;;;;;
415;Wijk 06 Almere-Pampus;Almere                                  ;Wijk      ;WK003406  ;887;25;0;25;0;0;0;0;0;0;0;27;0;0;0;0;14;13;6;0;6;0;0;0;572;0;572;250;244;0;6;7;;;;;0;0;0;0;7;;;;;
416;Verspreide huizen Almere-Pampus;Almere                                  ;Buurt     ;BU00340699;887;25;0;25;0;0;0;0;0;0;0;27;0;0;0;0;14;13;6;0;6;0;0;0;572;0;572;250;244;0;6;7;;;;;0;0;0;0;7;;;;;
417;Wijk 99 Groot water;Almere                                  ;Wijk      ;WK003499  ;10938;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10936;10055.0;;;878.0;0;3;0;0;0;;;;;
418;Groot binnenwater;Almere                                  ;Buurt     ;BU00349997;10938;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10936;10055.0;;;878.0;0;3;0;0;0;;;;;
419;Stadskanaal;Stadskanaal                             ;Gemeente  ;GM0037    ;11994;361;44;311;6;1082;861;36;4;20;161;96;0;6;19;7;65;0;237;72;100;8;29;29;9225;0;9225;763;645;35;83;231;;;;;0;15;0;0;216;;;;;
420;Wijk 01 Stadskanaal;Stadskanaal                             ;Wijk      ;WK003701  ;2470;108;33;76;0;708;506;29;4;20;149;68;0;2;11;0;55;0;145;39;57;7;27;16;1134;0;1134;196;164;18;14;110;;;;;0;15;0;0;95;;;;;
421;Stadskanaal Centrum;Stadskanaal                             ;Buurt     ;BU00370100;70;6;0;6;0;50;21;27;0;2;0;1;0;0;1;0;0;0;7;3;3;0;0;0;0;0;0;0;0;0;0;6;;;;;0;0;0;0;6;;;;;
422;Maarsstee;Stadskanaal                             ;Buurt     ;BU00370101;25;1;0;1;0;24;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
423;Maarswold;Stadskanaal                             ;Buurt     ;BU00370102;52;2;0;2;0;50;43;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
424;Maarsveld;Stadskanaal                             ;Buurt     ;BU00370103;210;3;0;3;0;56;56;0;0;0;0;0;0;0;0;0;0;0;96;7;40;7;27;16;0;0;0;35;35;0;0;20;;;;;0;15;0;0;5;;;;;
