ID;LuchthavensCaribischNederland;Perioden;Vliegtuigbewegingen_1;TotaalPassagiersvervoer_2;AangekomenPassagiers_3;VertrokkenPassagiers_4
241;Flamingo Airport (Bonaire);2013 1e kwartaal;3860;84870;42860;42020
242;Flamingo Airport (Bonaire);2013 april;1310;27820;15010;12810
243;Flamingo Airport (Bonaire);2013 mei;1320;28060;12970;15090
244;Flamingo Airport (Bonaire);2013 juni;1250;27880;13910;13970
245;Flamingo Airport (Bonaire);2013 2e kwartaal;3880;83760;41890;41870
246;Flamingo Airport (Bonaire);2013 juli;1320;31600;15910;15690
247;Flamingo Airport (Bonaire);2013 augustus;1190;29590;14310;15280
248;Flamingo Airport (Bonaire);2013 september;1030;22490;11610;10880
249;Flamingo Airport (Bonaire);2013 3e kwartaal;3540;83680;41830;41850
250;Flamingo Airport (Bonaire);2013 oktober;1100;26270;13470;12800
251;Flamingo Airport (Bonaire);2013 november;1060;25800;12890;12910
252;Flamingo Airport (Bonaire);2013 december;1070;28440;14420;14020
253;Flamingo Airport (Bonaire);2013 4e kwartaal;3230;80510;40790;39720
254;Flamingo Airport (Bonaire);2013;14510;332820;167360;165460
255;Flamingo Airport (Bonaire);2014 januari;1080;28710;14940;13780
256;Flamingo Airport (Bonaire);2014 februari;890;26710;12930;13780
257;Flamingo Airport (Bonaire);2014 maart;930;30210;14850;15360
258;Flamingo Airport (Bonaire);2014 1e kwartaal;2900;85630;42710;42910
259;Flamingo Airport (Bonaire);2014 april;860;26560;13430;13130
260;Flamingo Airport (Bonaire);2014 mei;860;27840;13620;14220
261;Flamingo Airport (Bonaire);2014 juni;790;23550;11530;12020
262;Flamingo Airport (Bonaire);2014 2e kwartaal;2510;77950;38580;39370
263;Flamingo Airport (Bonaire);2014 juli;880;28190;14260;13940
264;Flamingo Airport (Bonaire);2014 augustus;920;28570;14220;14350
265;Flamingo Airport (Bonaire);2014 september;870;22590;11480;11120
266;Flamingo Airport (Bonaire);2014 3e kwartaal;2670;79360;39950;39400
267;Flamingo Airport (Bonaire);2014 oktober;1010;27230;13470;13760
268;Flamingo Airport (Bonaire);2014 november;990;25860;12860;13000
269;Flamingo Airport (Bonaire);2014 december;1180;29790;15210;14580
270;Flamingo Airport (Bonaire);2014 4e kwartaal;3190;82880;41540;41340
271;Flamingo Airport (Bonaire);2014;11260;325810;162790;163030
272;Flamingo Airport (Bonaire);2015 januari;1040;29680;15460;14220
273;Flamingo Airport (Bonaire);2015 februari;960;27310;14150;13160
274;Flamingo Airport (Bonaire);2015 maart;990;29810;14680;15130
275;Flamingo Airport (Bonaire);2015 1e kwartaal;3000;86790;44290;42510
276;Flamingo Airport (Bonaire);2015 april;1020;29500;14930;14570
277;Flamingo Airport (Bonaire);2015 mei;1010;29130;13950;15190
278;Flamingo Airport (Bonaire);2015 juni;980;24020;12200;11820
279;Flamingo Airport (Bonaire);2015 2e kwartaal;3010;82650;41070;41580
280;Flamingo Airport (Bonaire);2015 juli;1070;30280;15010;15270
281;Flamingo Airport (Bonaire);2015 augustus;1020;28090;14170;13910
282;Flamingo Airport (Bonaire);2015 september;1060;25940;13700;12240
283;Flamingo Airport (Bonaire);2015 3e kwartaal;3150;84300;42880;41420
284;Flamingo Airport (Bonaire);2015 oktober;1050;30460;15510;14950
285;Flamingo Airport (Bonaire);2015 november;1040;28520;14690;13820
286;Flamingo Airport (Bonaire);2015 december;1090;29850;14870;14980
287;Flamingo Airport (Bonaire);2015 4e kwartaal;3190;88830;45080;43750
288;Flamingo Airport (Bonaire);2015;12340;342570;173310;169260
289;Flamingo Airport (Bonaire);2016 januari;1020;30460;15660;14800
290;Flamingo Airport (Bonaire);2016 februari;920;27740;13830;13910
291;Flamingo Airport (Bonaire);2016 maart;1000;31240;15130;16100
292;Flamingo Airport (Bonaire);2016 1e kwartaal;2940;89440;44630;44810
293;Flamingo Airport (Bonaire);2016 april;920;28910;15350;13570
294;Flamingo Airport (Bonaire);2016 mei;940;27890;13290;14610
295;Flamingo Airport (Bonaire);2016 juni;910;25600;12860;12740
296;Flamingo Airport (Bonaire);2016 2e kwartaal;2770;82410;41500;40910
297;Flamingo Airport (Bonaire);2016 juli;970;31910;15950;15970
298;Flamingo Airport (Bonaire);2016 augustus;960;29340;14400;14940
299;Flamingo Airport (Bonaire);2016 september;820;23360;11720;11650
300;Flamingo Airport (Bonaire);2016 3e kwartaal;2750;84610;42060;42550
301;Flamingo Airport (Bonaire);2016 oktober;900;29340;14800;14540
302;Flamingo Airport (Bonaire);2016 november;860;27220;13670;13550
303;Flamingo Airport (Bonaire);2016 december;920;28430;14300;14130
304;Flamingo Airport (Bonaire);2016 4e kwartaal;2680;84990;42770;42220
305;Flamingo Airport (Bonaire);2016;11140;341440;170960;170490
306;Flamingo Airport (Bonaire);2017 januari;960;29830;15470;14370
307;Flamingo Airport (Bonaire);2017 februari;930;27160;13360;13790
308;Flamingo Airport (Bonaire);2017 maart;1030;28520;14090;14430
309;Flamingo Airport (Bonaire);2017 1e kwartaal;2930;85510;42920;42590
310;Flamingo Airport (Bonaire);2017 april;1070;28240;14370;13870
311;Flamingo Airport (Bonaire);2017 mei;990;25330;12080;13260
312;Flamingo Airport (Bonaire);2017 juni;910;22980;11180;11800
313;Flamingo Airport (Bonaire);2017 2e kwartaal;2980;76550;37620;38930
314;Flamingo Airport (Bonaire);2017 juli;990;28570;14300;14270
315;Flamingo Airport (Bonaire);2017 augustus;1030;24290;12320;11970
316;Flamingo Airport (Bonaire);2017 september;1110;21840;11240;10600
317;Flamingo Airport (Bonaire);2017 3e kwartaal;3140;74700;37860;36840
318;Flamingo Airport (Bonaire);2017 oktober;1080;26600;13690;12910
319;Flamingo Airport (Bonaire);2017 november;980;27780;13950;13830
320;Flamingo Airport (Bonaire);2017 december;1090;31970;16040;15930
321;Flamingo Airport (Bonaire);2017 4e kwartaal;3160;86350;43680;42670
322;Flamingo Airport (Bonaire);2017;12200;323110;162080;161030
323;Flamingo Airport (Bonaire);2018 januari;1120;30990;16460;14530
324;Flamingo Airport (Bonaire);2018 februari;970;28930;14470;14460
325;Flamingo Airport (Bonaire);2018 maart;1130;32950;15980;16970
326;Flamingo Airport (Bonaire);2018 1e kwartaal;3220;92860;46910;45950
327;Flamingo Airport (Bonaire);2018 april;1080;30900;16330;14570
328;Flamingo Airport (Bonaire);2018 mei;1130;30170;13910;16260
329;Flamingo Airport (Bonaire);2018 juni;1010;28220;13920;14300
330;Flamingo Airport (Bonaire);2018 2e kwartaal;3220;89290;44160;45130
331;Flamingo Airport (Bonaire);2018 juli;1150;31240;15580;15660
332;Flamingo Airport (Bonaire);2018 augustus;1070;29700;14880;14830
333;Flamingo Airport (Bonaire);2018 september;1120;25170;12670;12500
334;Flamingo Airport (Bonaire);2018 3e kwartaal;3350;86110;43130;42980
335;Flamingo Airport (Bonaire);2018 oktober;1190;28970;14720;14250
336;Flamingo Airport (Bonaire);2018 november;1130;28380;14480;13900
337;Flamingo Airport (Bonaire);2018 december;1240;33740;17180;16570
338;Flamingo Airport (Bonaire);2018 4e kwartaal;3560;91080;46370;44710
339;Flamingo Airport (Bonaire);2018;13350;359350;180570;178780
340;Flamingo Airport (Bonaire);2019 januari;1350;34120;17680;16430
341;Flamingo Airport (Bonaire);2019 februari;1140;31580;15700;15880
