ID;InstellingenProvinciesGemeentegrootte;Perioden;InstellingenKunstzinnigeVorming_1;TotaalLeerlingenEnCursisten_2;Jeugd_3;Volwassenen_4;MuziekleerlingenEnCursisten_5;DansleerlingenEnCursisten_6;LeerlingenEnCursistenBeeldendeKunst_7;LeerlingenEnCursistenOverigeKunst_8;GemiddeldPerInstelling_9;TotaalLeerlingen_10;Jeugd_11;Volwassenen_12;TotaalMuziekleerlingen_13;Jeugd_14;Volwassenen_15;TotaalDansleerlingen_16;Jeugd_17;Volwassenen_18;TotaalLeerlingenBeeldend_19;Jeugd_20;Volwassenen_21;TotaalLeerlingenOverig_22;Jeugd_23;Volwassenen_24;GemiddeldPerInstelling_25;TotaalCursisten_26;Jeugd_27;Volwassenen_28;TotaalMuziekcursisten_29;Jeugd_30;Volwassenen_31;TotaalDanscursisten_32;Jeugd_33;Volwassenen_34;TotaalCursistenBeeldendeKunst_35;Jeugd_36;Volwassenen_37;TotaalCursistenOverig_38;Jeugd_39;Volwassenen_40;GemiddeldPerInstelling_41;TotaalWerkzamePersonen_42;OnderwijzendPersoneel_43;OnderwijsondersteunendPersoneel_44;Steunfuncties_45;TotaalMensjarenPersoneel_46;MensjarenPersoneelInLoondienst_47;OnderwijzendPersoneel_48;OnderwijsondersteunendPersoneel_49;Steunfuncties_50;TotaalBaten_51;GemeentelijkeSubsidies_52;ProvincialeSubsidies_53;LesEnCursusgelden_54;OverigeBaten_55;TotaalLasten_56;Personeelskosten_57;Huisvestingskosten_58;OverigeLasten_59
82;Friesland;1997;14.0;22.0;;;74.0;8.0;14.0;4.0;1571.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220.0;;76.0;;;10.2;66.0;0.0;30.0;4.0;10.3;75.0;8.0;17.0
83;Friesland;1999;15.0;27.0;;;60.0;7.0;16.0;17.0;1800.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251.0;;76.0;;;11.5;68.0;1.0;27.0;4.0;11.5;76.0;11.0;13.0
84;Friesland;2001;13.0;22.0;;;72.0;8.0;14.0;7.0;1692.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;221.0;;71.0;;;10.9;63.0;1.0;29.0;7.0;10.9;79.0;9.0;12.0
85;Friesland;2003;13.0;27.0;;;74.0;5.0;13.0;8.0;2038.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;257.0;;72.0;;;13.6;64.0;1.0;30.0;5.0;13.6;78.0;10.0;12.0
86;Friesland;2005;14.0;31.0;;;75.0;5.0;11.0;8.0;2213.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;270.0;;70.0;;;15.6;65.0;0.0;28.0;7.0;15.6;79.0;9.0;12.0
87;Friesland;2007;14.0;26.0;;;75.0;7.0;9.0;9.0;1852.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;261.0;;70.0;;;16.1;65.0;0.0;27.0;8.0;16.1;79.0;10.0;12.0
88;Drenthe;1993;6.0;14.0;;;83.0;7.0;7.0;3.0;2333.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140.0;;81.0;;;5.3;68.0;1.0;30.0;1.0;5.3;69.0;5.0;26.0
89;Drenthe;1995;6.0;23.0;;;53.0;3.0;11.0;33.0;3833.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;158.0;;76.0;;;5.9;67.0;1.0;29.0;3.0;5.9;84.0;6.0;10.0
90;Drenthe;1997;5.0;22.0;;;50.0;4.0;7.0;39.0;4400.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150.0;;80.0;;;6.0;67.0;0.0;31.0;2.0;6.0;84.0;6.0;10.0
91;Drenthe;1999;5.0;13.0;;;74.0;13.0;8.0;5.0;2600.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152.0;;78.0;;;6.0;68.0;0.0;30.0;2.0;6.0;83.0;7.0;10.0
92;Drenthe;2001;4.0;17.0;;;63.0;10.0;14.0;12.0;4250.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167.0;;74.0;;;7.5;65.0;0.0;29.0;6.0;7.5;80.0;7.0;13.0
93;Drenthe;2003;4.0;18.0;;;85.0;7.0;5.0;3.0;4375.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;159.0;;74.0;;;8.1;62.0;0.0;27.0;11.0;8.1;81.0;6.0;13.0
94;Drenthe;2005;5.0;18.0;;;75.0;11.0;9.0;5.0;3505.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167.0;;73.0;;;9.5;63.0;0.0;26.0;10.0;9.5;80.0;8.0;13.0
95;Drenthe;2007;5.0;14.0;;;71.0;13.0;11.0;5.0;2766.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;149.0;;71.0;;;10.2;65.0;0.0;25.0;10.0;10.2;75.0;15.0;9.0
96;Overijssel en Flevoland;1993;24.0;36.0;;;61.0;8.0;20.0;11.0;1500.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;400.0;;73.0;;;17.0;73.0;2.0;24.0;1.0;17.0;56.0;10.0;34.0
97;Overijssel en Flevoland;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;Overijssel en Flevoland;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Overijssel en Flevoland;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Overijssel en Flevoland;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;Overijssel en Flevoland;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Overijssel en Flevoland;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Overijssel en Flevoland;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;Overijssel;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;Overijssel;1995;20.0;25.0;;;72.0;8.0;12.0;7.0;1250.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;353.0;;70.0;;;13.4;69.0;1.0;27.0;3.0;13.4;78.0;10.0;12.0
106;Overijssel;1997;20.0;26.0;;;72.0;6.0;14.0;8.0;1300.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;320.0;;71.0;;;14.8;67.0;0.0;27.0;6.0;14.9;75.0;11.0;14.0
107;Overijssel;1999;20.0;30.0;;;68.0;9.0;16.0;7.0;1500.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;364.0;;66.0;;;18.5;68.0;0.0;28.0;4.0;18.5;77.0;9.0;14.0
108;Overijssel;2001;18.0;22.0;;;70.0;7.0;16.0;7.0;1222.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;271.0;;68.0;;;13.9;67.0;0.0;26.0;7.0;13.9;75.0;10.0;15.0
109;Overijssel;2003;18.0;30.0;;;69.0;5.0;18.0;8.0;1667.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;306.0;;68.0;;;17.3;64.0;1.0;26.0;9.0;17.3;72.0;10.0;18.0
110;Overijssel;2005;19.0;38.0;;;69.0;7.0;14.0;9.0;2009.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;382.0;;60.0;;;25.4;63.0;0.0;26.0;10.0;25.4;80.0;8.0;13.0
111;Overijssel;2007;20.0;42.0;;;65.0;9.0;13.0;13.0;2108.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;389.0;;61.0;;;25.8;63.0;1.0;27.0;9.0;25.8;72.0;10.0;18.0
112;Flevoland;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;Flevoland;1995;5.0;7.0;;;75.0;9.0;12.0;3.0;1400.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93.0;;64.0;;;5.3;69.0;7.0;20.0;4.0;5.2;65.0;9.0;26.0
114;Flevoland;1997;5.0;8.0;;;73.0;10.0;13.0;4.0;1600.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100.0;;67.0;;;5.4;68.0;6.0;23.0;3.0;5.4;70.0;16.0;14.0
115;Flevoland;1999;5.0;8.0;;;49.0;13.0;19.0;19.0;1600.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144.0;;62.0;;;6.0;64.0;8.0;23.0;5.0;6.0;77.0;10.0;13.0
116;Flevoland;2001;6.0;13.0;;;64.0;11.0;14.0;11.0;2166.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;146.0;;68.0;;;8.0;62.0;4.0;26.0;8.0;8.0;74.0;8.0;18.0
117;Flevoland;2003;6.0;11.0;;;63.0;15.0;13.0;10.0;1750.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130.0;;59.0;;;8.6;61.0;8.0;22.0;9.0;8.6;70.0;13.0;17.0
118;Flevoland;2005;5.0;8.0;;;66.0;13.0;12.0;8.0;1620.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123.0;;58.0;;;8.2;63.0;9.0;24.0;3.0;8.2;69.0;14.0;17.0
119;Flevoland;2007;4.0;8.0;;;57.0;17.0;14.0;12.0;1905.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;186.0;;73.0;;;7.7;60.0;10.0;27.0;4.0;7.7;68.0;15.0;17.0
120;Gelderland;1993;32.0;45.0;;;62.0;7.0;24.0;7.0;1406.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;515.0;;76.0;;;23.5;66.0;2.0;28.0;4.0;23.4;55.0;11.0;34.0
121;Gelderland;1995;32.0;45.0;;;66.0;8.0;18.0;7.0;1406.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;524.0;;71.0;;;23.7;66.0;2.0;28.0;4.0;23.7;75.0;11.0;14.0
122;Gelderland;1997;31.0;44.0;;;69.0;7.0;18.0;6.0;1419.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;535.0;;73.0;;;25.3;67.0;0.0;29.0;4.0;25.4;75.0;11.0;14.0
123;Gelderland;1999;30.0;50.0;;;45.0;5.0;19.0;32.0;1667.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;540.0;;71.0;;;27.7;65.0;0.0;28.0;7.0;27.7;75.0;11.0;14.0
124;Gelderland;2001;31.0;50.0;;;58.0;8.0;16.0;18.0;1613.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;555.0;;71.0;;;31.0;60.0;2.0;29.0;9.0;31.0;78.0;12.0;10.0
125;Gelderland;2003;31.0;43.0;;;68.0;7.0;16.0;10.0;1387.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;584.0;;62.0;;;39.4;58.0;10.0;20.0;12.0;39.4;69.0;13.0;18.0
126;Gelderland;2005;30.0;42.0;;;63.0;8.0;15.0;14.0;1411.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;542.0;;58.0;;;37.1;58.0;9.0;21.0;12.0;37.1;69.0;15.0;15.0
127;Gelderland;2007;32.0;45.0;;;58.0;12.0;17.0;12.0;1410.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;552.0;;61.0;;;38.2;58.0;10.0;21.0;11.0;38.2;67.0;16.0;17.0
128;Utrecht;1993;19.0;22.0;;;68.0;10.0;17.0;6.0;1158.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;310.0;;73.0;;;12.9;65.0;0.0;28.0;7.0;13.3;50.0;14.0;36.0
129;Utrecht;1995;17.0;22.0;;;71.0;8.0;14.0;6.0;1294.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;272.0;;70.0;;;12.6;64.0;0.0;29.0;7.0;12.6;75.0;11.0;14.0
130;Utrecht;1997;14.0;21.0;;;72.0;8.0;13.0;7.0;1500.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;250.0;;76.0;;;12.1;64.0;0.0;30.0;6.0;11.9;77.0;10.0;13.0
131;Utrecht;1999;14.0;19.0;;;85.0;6.0;5.0;3.0;1357.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;206.0;;71.0;;;11.3;59.0;0.0;32.0;9.0;11.3;75.0;12.0;13.0
132;Utrecht;2001;12.0;16.0;;;53.0;12.0;21.0;14.0;1333.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175.0;;67.0;;;11.3;57.0;0.0;32.0;11.0;11.3;72.0;11.0;17.0
133;Utrecht;2003;12.0;23.0;;;58.0;14.0;16.0;12.0;1875.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;228.0;;65.0;;;13.1;56.0;0.0;34.0;10.0;13.1;71.0;10.0;19.0
134;Utrecht;2005;13.0;29.0;;;63.0;13.0;12.0;12.0;2233.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;236.0;;52.0;;;17.4;58.0;0.0;33.0;9.0;17.4;72.0;11.0;17.0
135;Utrecht;2007;14.0;32.0;;;56.0;13.0;12.0;18.0;2287.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;248.0;;56.0;;;20.0;59.0;0.0;31.0;10.0;20.0;69.0;13.0;18.0
136;Noord-Holland;1993;38.0;51.0;;;74.0;4.0;16.0;6.0;1342.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;680.0;;75.0;;;28.6;66.0;4.0;28.0;2.0;28.3;52.0;13.0;35.0
137;Noord-Holland;1995;37.0;48.0;;;72.0;5.0;16.0;7.0;1297.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;603.0;;67.0;;;28.8;66.0;4.0;28.0;2.0;29.0;71.0;13.0;16.0
138;Noord-Holland;1997;37.0;48.0;;;67.0;7.0;16.0;10.0;1297.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;685.0;;60.0;;;29.6;63.0;4.0;30.0;3.0;29.8;73.0;13.0;14.0
139;Noord-Holland;1999;38.0;48.0;;;72.0;5.0;21.0;2.0;1263.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;574.0;;71.0;;;29.8;64.0;5.0;28.0;3.0;29.8;76.0;11.0;13.0
140;Noord-Holland;2001;36.0;53.0;;;62.0;8.0;18.0;11.0;1472.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;632.0;;63.0;;;36.4;60.0;5.0;28.0;7.0;36.4;77.0;10.0;13.0
141;Noord-Holland;2003;36.0;56.0;;;78.0;7.0;10.0;5.0;1556.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;677.0;;73.0;;;35.0;56.0;4.0;35.0;5.0;35.0;69.0;11.0;20.0
142;Noord-Holland;2005;39.0;59.0;;;72.0;7.0;12.0;10.0;1511.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;608.0;;62.0;;;45.4;57.0;6.0;30.0;8.0;45.4;69.0;14.0;17.0
143;Noord-Holland;2007;38.0;64.0;;;69.0;7.0;11.0;12.0;1692.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;597.0;;61.0;;;42.6;54.0;7.0;33.0;6.0;42.6;70.0;12.0;18.0
144;Zuid-Holland;1993;43.0;66.0;;;67.0;6.0;20.0;7.0;1535.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;800.0;;72.0;;;36.2;66.0;0.0;29.0;5.0;36.1;49.0;8.0;43.0
145;Zuid-Holland;1995;38.0;64.0;;;60.0;8.0;19.0;13.0;1684.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;681.0;;69.0;;;33.1;66.0;0.0;30.0;4.0;32.9;76.0;11.0;13.0
146;Zuid-Holland;1997;39.0;59.0;;;62.0;8.0;20.0;10.0;1513.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;685.0;;67.0;;;35.4;66.0;0.0;27.0;7.0;35.6;74.0;10.0;16.0
147;Zuid-Holland;1999;37.0;67.0;;;67.0;14.0;12.0;7.0;1811.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;833.0;;70.0;;;40.6;67.0;0.0;28.0;5.0;40.6;76.0;11.0;13.0
148;Zuid-Holland;2001;38.0;74.0;;;57.0;10.0;19.0;14.0;1947.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;847.0;;66.0;;;49.0;60.0;0.0;24.0;16.0;49.0;76.0;9.0;15.0
149;Zuid-Holland;2003;38.0;77.0;;;62.0;10.0;15.0;13.0;2026.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;779.0;;62.0;;;49.3;60.0;0.0;30.0;10.0;49.3;74.0;11.0;15.0
150;Zuid-Holland;2005;35.0;80.0;;;50.0;9.0;16.0;25.0;2291.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;802.0;;58.0;;;52.2;60.0;0.0;29.0;11.0;52.2;73.0;11.0;16.0
151;Zuid-Holland;2007;35.0;86.0;;;50.0;11.0;17.0;23.0;2451.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;736.0;;64.0;;;55.4;65.0;0.0;26.0;8.0;55.4;71.0;12.0;17.0
152;Zeeland;1993;8.0;12.0;;;66.0;6.0;21.0;6.0;1500.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155.0;;81.0;;;6.5;69.0;0.0;28.0;3.0;6.5;58.0;8.0;34.0
153;Zeeland;1995;5.0;9.0;;;67.0;6.0;19.0;8.0;1800.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97.0;;73.0;;;3.9;64.0;1.0;34.0;1.0;3.8;83.0;8.0;9.0
154;Zeeland;1997;6.0;8.0;;;67.0;5.0;23.0;5.0;1333.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90.0;;78.0;;;3.8;65.0;0.0;34.0;1.0;3.8;84.0;10.0;6.0
155;Zeeland;1999;8.0;10.0;;;71.0;5.0;23.0;2.0;1250.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104.0;;74.0;;;4.4;66.0;0.0;34.0;0.0;4.4;85.0;8.0;7.0
156;Zeeland;2001;8.0;13.0;;;58.0;9.0;22.0;12.0;1625.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130.0;;72.0;;;6.3;64.0;0.0;32.0;4.0;6.3;81.0;10.0;9.0
157;Zeeland;2003;8.0;13.0;;;71.0;7.0;16.0;6.0;1625.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;127.0;;71.0;;;7.0;63.0;1.0;31.0;5.0;7.0;79.0;9.0;12.0
158;Zeeland;2005;8.0;13.0;;;62.0;11.0;19.0;7.0;1577.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;125.0;;63.0;;;7.2;64.0;1.0;30.0;5.0;7.2;75.0;13.0;12.0
159;Zeeland;2007;9.0;16.0;;;43.0;13.0;25.0;20.0;1737.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;142.0;;64.0;;;8.9;55.0;1.0;26.0;18.0;8.9;70.0;16.0;14.0
160;Noord-Brabant;1993;45.0;67.0;;;60.0;13.0;15.0;12.0;1489.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;755.0;;74.0;;;28.5;67.0;0.0;29.0;4.0;28.9;54.0;14.0;32.0
161;Noord-Brabant;1995;45.0;66.0;;;63.0;13.0;15.0;9.0;1467.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;685.0;;71.0;;;30.0;68.0;1.0;28.0;3.0;29.9;74.0;11.0;15.0
162;Noord-Brabant;1997;45.0;72.0;;;59.0;14.0;17.0;10.0;1600.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;725.0;;72.0;;;33.6;66.0;0.0;29.0;5.0;33.4;72.0;12.0;16.0
163;Noord-Brabant;1999;42.0;64.0;;;65.0;10.0;17.0;8.0;1524.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;670.0;;69.0;;;31.4;67.0;1.0;29.0;3.0;31.4;75.0;11.0;14.0
164;Noord-Brabant;2001;42.0;76.0;;;52.0;15.0;20.0;14.0;1810.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;829.0;;70.0;;;41.3;63.0;0.0;28.0;9.0;41.3;77.0;10.0;13.0
165;Noord-Brabant;2003;42.0;75.0;;;64.0;15.0;15.0;6.0;1774.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;750.0;;68.0;;;42.0;60.0;4.0;30.0;6.0;42.0;74.0;14.0;12.0
166;Noord-Brabant;2005;40.0;73.0;;;59.0;16.0;16.0;9.0;1829.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;741.0;;66.0;;;42.0;65.0;1.0;29.0;6.0;42.0;72.0;14.0;15.0
167;Noord-Brabant;2007;42.0;81.0;;;55.0;19.0;16.0;11.0;1923.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;777.0;;66.0;;;43.0;62.0;1.0;29.0;8.0;43.0;73.0;12.0;15.0
168;Limburg;1993;19.0;35.0;;;73.0;8.0;16.0;3.0;1842.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;410.0;;74.0;;;15.5;68.0;1.0;28.0;3.0;15.3;59.0;12.0;29.0
169;Limburg;1995;18.0;36.0;;;73.0;7.0;14.0;5.0;2000.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;414.0;;71.0;;;16.0;68.0;1.0;28.0;3.0;16.1;79.0;10.0;11.0
170;Limburg;1997;15.0;33.0;;;79.0;7.0;13.0;2.0;2200.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;415.0;;73.0;;;17.3;67.0;1.0;26.0;6.0;17.2;77.0;10.0;13.0
171;Limburg;1999;15.0;27.0;;;97.0;3.0;0.0;0.0;1800.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;306.0;;72.0;;;13.7;69.0;0.0;26.0;5.0;13.8;77.0;10.0;13.0
172;Limburg;2001;14.0;32.0;;;62.0;9.0;18.0;11.0;2286.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;302.0;;67.0;;;15.6;67.0;0.0;24.0;9.0;15.6;76.0;10.0;14.0
173;Limburg;2003;14.0;34.0;;;80.0;8.0;8.0;3.0;2429.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;376.0;;68.0;;;21.3;63.0;1.0;24.0;12.0;21.3;71.0;10.0;19.0
174;Limburg;2005;17.0;36.0;;;69.0;7.0;7.0;16.0;2115.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;404.0;;64.0;;;27.3;70.0;1.0;25.0;4.0;27.3;72.0;14.0;15.0
175;Limburg;2007;19.0;39.0;;;69.0;10.0;10.0;12.0;2057.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;455.0;;64.0;;;30.1;66.0;2.0;25.0;7.0;30.1;72.0;12.0;16.0
176;Gemeenten tot 20 000 inwoners;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;Gemeenten tot 20 000 inwoners;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;Gemeenten tot 20 000 inwoners;1997;47.0;35.0;;;89.0;6.0;;4.0;745.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;385.0;;79.0;;;16.1;62.0;0.0;36.0;2.0;16.3;82.0;7.0;11.0
179;Gemeenten tot 20 000 inwoners;1999;46.0;31.0;;;91.0;2.0;;7.0;674.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;371.0;;78.0;;;14.7;65.0;1.0;32.0;2.0;14.7;79.0;9.0;12.0
180;Gemeenten tot 20 000 inwoners;2001;38.0;31.0;;;80.0;6.0;8.0;6.0;816.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;372.0;;76.0;;;16.9;60.0;3.0;33.0;4.0;16.9;81.0;8.0;11.0
181;Gemeenten tot 20 000 inwoners;2003;38.0;29.0;;;91.0;5.0;2.0;2.0;763.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;315.0;;77.0;;;15.3;63.0;0.0;34.0;3.0;15.3;80.0;7.0;13.0
182;Gemeenten tot 20 000 inwoners;2005;37.0;27.0;;;93.0;4.0;2.0;1.0;726.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;336.0;;73.0;;;16.6;65.0;0.0;31.0;4.0;16.6;81.0;7.0;12.0
183;Gemeenten tot 20 000 inwoners;2007;37.0;27.0;;;91.0;6.0;2.0;1.0;724.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;330.0;;74.0;;;15.9;64.0;0.0;32.0;4.0;15.9;81.0;7.0;12.0
184;Gemeenten 20 000 tot 50 000 inwoners;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;Gemeenten 20 000 tot 50 000 inwoners;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;Gemeenten 20 000 tot 50 000 inwoners;1997;105.0;128.0;;;73.0;8.0;;18.0;1219.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1373.0;;76.0;;;61.3;65.0;0.0;31.0;4.0;61.3;78.0;9.0;13.0
187;Gemeenten 20 000 tot 50 000 inwoners;1999;104.0;128.0;;;71.0;5.0;;23.0;1231.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1361.0;;74.0;;;62.2;67.0;0.0;29.0;4.0;62.2;77.0;10.0;13.0
188;Gemeenten 20 000 tot 50 000 inwoners;2001;102.0;143.0;;;62.0;10.0;17.0;12.0;1401.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1433.0;;71.0;;;71.0;64.0;1.0;31.0;4.0;71.0;79.0;9.0;12.0
189;Gemeenten 20 000 tot 50 000 inwoners;2003;102.0;145.0;;;72.0;10.0;12.0;6.0;1417.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1324.0;;71.0;;;73.8;61.0;1.0;31.0;7.0;73.8;77.0;10.0;13.0
190;Gemeenten 20 000 tot 50 000 inwoners;2005;98.0;146.0;;;67.0;10.0;14.0;9.0;1489.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1274.0;;67.0;;;79.0;63.0;1.0;29.0;7.0;79.0;76.0;11.0;13.0
