ID;ExpenditureCategories;Periods;HICP_1;HICPCT_2;MonthOnMonthChangeHICP_3;MonthOnMonthChangeHICPCT_4;YearOnYearChangeHICP_5;YearOnYearChangeHICPCT_6;WeightingCoefficient_7
2504;011130 Bread;2013 April;99.37;99.37;-0.7;-0.7;3.2;3.2;1048
2505;011130 Bread;2013 May;99.75;99.75;0.4;0.4;2.7;2.7;1048
2506;011130 Bread;2013 June;100.29;100.29;0.5;0.5;3.2;3.2;1048
2507;011130 Bread;2013 July;100.33;100.33;0.0;0.0;3.6;3.6;1048
2508;011130 Bread;2013 August;100.54;100.54;0.2;0.2;3.6;3.6;1048
2509;011130 Bread;2013 September;100.61;100.61;0.1;0.1;2.9;2.9;1048
2510;011130 Bread;2013 October;100.43;100.43;-0.2;-0.2;2.0;2.0;1048
2511;011130 Bread;2013 November;99.95;99.95;-0.5;-0.5;2.5;2.5;1048
2512;011130 Bread;2013 December;100.75;100.75;0.8;0.8;1.9;1.9;1048
2513;011130 Bread;2013;100.03;100.03;;;2.9;2.9;1048
2514;011130 Bread;2014 January;99.85;99.85;-0.9;-0.9;1.5;1.5;1202
2515;011130 Bread;2014 February;100.67;100.67;0.8;0.8;0.7;0.7;1202
2516;011130 Bread;2014 March;100.03;100.03;-0.6;-0.6;0.0;0.0;1202
2517;011130 Bread;2014 April;99.68;99.68;-0.3;-0.3;0.3;0.3;1202
2518;011130 Bread;2014 May;99.2;99.2;-0.5;-0.5;-0.6;-0.6;1202
2519;011130 Bread;2014 June;99.46;99.46;0.3;0.3;-0.8;-0.8;1202
2520;011130 Bread;2014 July;100.29;100.29;0.8;0.8;0.0;0.0;1202
2521;011130 Bread;2014 August;100.27;100.27;0.0;0.0;-0.3;-0.3;1202
2522;011130 Bread;2014 September;99.76;99.76;-0.5;-0.5;-0.8;-0.8;1202
2523;011130 Bread;2014 October;100.31;100.31;0.6;0.6;-0.1;-0.1;1202
2524;011130 Bread;2014 November;99.86;99.86;-0.4;-0.4;-0.1;-0.1;1202
2525;011130 Bread;2014 December;100.62;100.62;0.8;0.8;-0.1;-0.1;1202
2526;011130 Bread;2014;100.0;100.0;;;0.0;0.0;1202
2527;011130 Bread;2015 January;100.73;100.73;0.1;0.1;0.9;0.9;1237
2528;011130 Bread;2015 February;101.1;101.1;0.4;0.4;0.4;0.4;1237
2529;011130 Bread;2015 March;100.61;100.61;-0.5;-0.5;0.6;0.6;1237
2530;011130 Bread;2015 April;100.23;100.23;-0.4;-0.4;0.6;0.6;1237
2531;011130 Bread;2015 May;100.58;100.58;0.3;0.3;1.4;1.4;1237
2532;011130 Bread;2015 June;100.69;100.69;0.1;0.1;1.2;1.2;1237
2533;011130 Bread;2015 July;100.24;100.24;-0.4;-0.4;0.0;0.0;1237
2534;011130 Bread;2015 August;100.32;100.32;0.1;0.1;0.0;0.0;1237
2535;011130 Bread;2015 September;99.48;99.48;-0.8;-0.8;-0.3;-0.3;1237
2536;011130 Bread;2015 October;98.84;98.84;-0.6;-0.6;-1.5;-1.5;1237
2537;011130 Bread;2015 November;98.8;98.8;0.0;0.0;-1.1;-1.1;1237
2538;011130 Bread;2015 December;98.37;98.37;-0.4;-0.4;-2.2;-2.2;1237
2539;011130 Bread;2015;100.0;100.0;;;0.0;0.0;1237
2540;011130 Bread;2016 January;98.54;98.54;0.2;0.2;-2.2;-2.2;988
2541;011130 Bread;2016 February;99.02;99.02;0.5;0.5;-2.1;-2.1;988
2542;011130 Bread;2016 March;98.68;98.68;-0.3;-0.3;-1.9;-1.9;988
2543;011130 Bread;2016 April;99.21;99.21;0.5;0.5;-1.0;-1.0;988
2544;011130 Bread;2016 May;99.23;99.23;0.0;0.0;-1.3;-1.3;988
2545;011130 Bread;2016 June;99.23;99.23;0.0;0.0;-1.4;-1.4;988
2546;011130 Bread;2016 July;99.21;99.21;0.0;0.0;-1.0;-1.0;988
2547;011130 Bread;2016 August;99.01;99.01;-0.2;-0.2;-1.3;-1.3;988
2548;011130 Bread;2016 September;98.9;98.9;-0.1;-0.1;-0.6;-0.6;988
2549;011130 Bread;2016 October;98.95;98.95;0.1;0.1;0.1;0.1;988
2550;011130 Bread;2016 November;98.18;98.18;-0.8;-0.8;-0.6;-0.6;988
2551;011130 Bread;2016 December;98.95;98.95;0.8;0.8;0.6;0.6;988
2552;011130 Bread;2016;98.93;98.93;;;-1.1;-1.1;988
2553;011130 Bread;2017 January;98.77;98.77;-0.2;-0.2;0.2;0.2;1010
2554;011130 Bread;2017 February;98.71;98.71;-0.1;-0.1;-0.3;-0.3;1010
2555;011130 Bread;2017 March;98.73;98.73;0.0;0.0;0.1;0.1;1010
2556;011130 Bread;2017 April;98.41;98.41;-0.3;-0.3;-0.8;-0.8;1010
2557;011130 Bread;2017 May;99.31;99.31;0.9;0.9;0.1;0.1;1010
2558;011130 Bread;2017 June;99.52;99.52;0.2;0.2;0.3;0.3;1010
2559;011130 Bread;2017 July;99.69;99.69;0.2;0.2;0.5;0.5;1010
2560;011130 Bread;2017 August;99.41;99.41;-0.3;-0.3;0.4;0.4;1010
2561;011130 Bread;2017 September;99.96;99.96;0.6;0.6;1.1;1.1;1010
2562;011130 Bread;2017 October;99.57;99.57;-0.4;-0.4;0.6;0.6;1010
2563;011130 Bread;2017 November;99.98;99.98;0.4;0.4;1.8;1.8;1010
2564;011130 Bread;2017 December;99.95;99.95;0.0;0.0;1.0;1.0;1010
2565;011130 Bread;2017;99.33;99.33;;;0.4;0.4;1010
2566;011130 Bread;2018 January;99.28;99.28;-0.7;-0.7;0.5;0.5;1011
2567;011130 Bread;2018 February;99.14;99.14;-0.1;-0.1;0.4;0.4;1011
2568;011130 Bread;2018 March;99.64;99.64;0.5;0.5;0.9;0.9;1011
2569;011130 Bread;2018 April;99.48;99.48;-0.2;-0.2;1.1;1.1;1011
2570;011130 Bread;2018 May;99.51;99.51;0.0;0.0;0.2;0.2;1011
2571;011130 Bread;2018 June;98.91;98.91;-0.6;-0.6;-0.6;-0.6;1011
2572;011130 Bread;2018 July;99.82;99.82;0.9;0.9;0.1;0.1;1011
2573;011130 Bread;2018 August;99.37;99.37;-0.5;-0.5;0.0;0.0;1011
2574;011130 Bread;2018 September;99.19;99.19;-0.2;-0.2;-0.8;-0.8;1011
2575;011130 Bread;2018 October;97.81;97.81;-1.4;-1.4;-1.8;-1.8;1011
2576;011130 Bread;2018 November;100.76;100.76;3.0;3.0;0.8;0.8;1011
2577;011130 Bread;2018 December;100.83;100.83;0.1;0.1;0.9;0.9;1011
2578;011130 Bread;2018;99.48;99.48;;;0.2;0.2;1011
2579;011130 Bread;2019 January;102.65;99.82;1.8;-1.0;3.4;0.5;968
2580;011130 Bread;2019 February;104.21;101.34;1.5;1.5;5.1;2.2;968
2581;011130 Bread;2019 March;103.66;100.81;-0.5;-0.5;4.0;1.2;968
2582;011130 Bread;2019 April;103.26;100.42;-0.4;-0.4;3.8;0.9;968
2583;011130 Bread;2019 May;104.28;101.41;1.0;1.0;4.8;1.9;968
2584;011130 Bread;2019 June;104.38;101.51;0.1;0.1;5.5;2.6;968
2585;011130 Bread;2019 July;104.52;101.65;0.1;0.1;4.7;1.8;968
2586;011130 Bread;2019 August;104.09;101.23;-0.4;-0.4;4.7;1.9;968
2587;011130 Bread;2019 September;104.5;101.63;0.4;0.4;5.4;2.5;968
2588;011130 Bread;2019 October;104.5;101.62;0.0;0.0;6.8;3.9;968
2589;011130 Bread;2019 November;104.88;101.99;0.4;0.4;4.1;1.2;968
2590;011130 Bread;2019 December;103.5;100.66;-1.3;-1.3;2.6;-0.2;968
2591;011130 Bread;2019;104.04;101.17;;;4.6;1.7;968
2592;011130 Bread;2020 January;103.72;100.86;0.2;0.2;1.0;1.0;954
2593;011130 Bread;2020 February;103.96;101.1;0.2;0.2;-0.2;-0.2;954
2594;011130 Bread;2020 March;104.95;102.06;1.0;0.9;1.2;1.2;954
2595;011130 Bread;2020 April;105.54;102.63;0.6;0.6;2.2;2.2;954
2596;011130 Bread;2020 May;104.74;101.86;-0.8;-0.8;0.4;0.4;954
2597;011130 Bread;2020 June;104.71;101.83;0.0;0.0;0.3;0.3;954
2598;011130 Bread;2020 July;104.12;101.26;-0.6;-0.6;-0.4;-0.4;954
2599;011130 Bread;2020 August;104.73;101.85;0.6;0.6;0.6;0.6;954
2600;011130 Bread;2020 September;104.75;101.87;0.0;0.0;0.2;0.2;954
2601;011130 Bread;2020 October;104.7;101.82;0.0;0.0;0.2;0.2;954
2602;011130 Bread;2020 November;104.97;102.08;0.3;0.3;0.1;0.1;954
2603;011130 Bread;2020 December;104.46;101.58;-0.5;-0.5;0.9;0.9;954
2604;011130 Bread;2020;104.61;101.73;;;0.5;0.6;954
2605;011130 Bread;2021 January;103.63;100.77;-0.8;-0.8;-0.1;-0.1;1026
2606;011130 Bread;2021 February;104.73;101.84;1.1;1.1;0.7;0.7;1026
2607;011130 Bread;2021 March;104.45;101.57;-0.3;-0.3;-0.5;-0.5;1026
2608;011130 Bread;2021 April;104.13;101.26;-0.3;-0.3;-1.3;-1.3;1026
2609;011130 Bread;2021 May;104.71;101.83;0.6;0.6;0.0;0.0;1026
2610;011130 Bread;2021 June;104.55;101.67;-0.2;-0.2;-0.2;-0.2;1026
2611;011130 Bread;2021 July;104.79;101.91;0.2;0.2;0.6;0.6;1026
2612;011130 Bread;2021 August;104.61;101.73;-0.2;-0.2;-0.1;-0.1;1026
2613;011130 Bread;2021 September;105.2;102.3;0.6;0.6;0.4;0.4;1026
2614;011130 Bread;2021 October;105.14;102.25;-0.1;0.0;0.4;0.4;1026
2615;011130 Bread;2021 November;104.65;101.77;-0.5;-0.5;-0.3;-0.3;1026
2616;011130 Bread;2021 December;105.34;102.44;0.7;0.7;0.8;0.8;1026
2617;011130 Bread;2021;104.66;101.78;;;0.0;0.0;1026
2618;011130 Bread;2022 January;107.73;104.77;2.3;2.3;4.0;4.0;986
2619;011130 Bread;2022 February;109.33;106.32;1.5;1.5;4.4;4.4;986
2620;011130 Bread;2022 March;110.0;106.97;0.6;0.6;5.3;5.3;986
2621;011130 Bread;2022 April;111.24;108.18;1.1;1.1;6.8;6.8;986
2622;011130 Bread;2022 May;111.49;108.42;0.2;0.2;6.5;6.5;986
2623;011130 Bread;2022 June;113.05;109.94;1.4;1.4;8.1;8.1;986
2624;011130 Bread;2022 July;114.05;110.91;0.9;0.9;8.8;8.8;986
2625;011130 Bread;2022 August;114.7;111.55;0.6;0.6;9.6;9.7;986
2626;011130 Bread;2022 September;115.07;111.9;0.3;0.3;9.4;9.4;986
2627;011130 Bread;2022 October;115.69;112.5;0.5;0.5;10.0;10.0;986
2628;011130 Bread;2022 November;120.79;117.47;4.4;4.4;15.4;15.4;986
2629;011130 Bread;2022 December;123.69;120.28;2.4;2.4;17.4;17.4;986
2630;011130 Bread;2022;113.9;110.77;;;8.8;8.8;986
2631;011130 Bread;2023 January;128.53;125.0;3.9;3.9;19.3;19.3;981
2632;011130 Bread;2023 February;133.07;129.41;3.5;3.5;21.7;21.7;981
2633;011130 Bread;2023 March;132.63;128.98;-0.3;-0.3;20.6;20.6;981
2634;011130 Bread;2023 April;130.75;127.16;-1.4;-1.4;17.5;17.5;981
2635;011130 Bread;2023 May;133.04;129.38;1.8;1.7;19.3;19.3;981
2636;011130 Bread;2023 June;133.73;130.05;0.5;0.5;18.3;18.3;981
2637;011130 Bread;2023 July;134.36;130.66;0.5;0.5;17.8;17.8;981
2638;011130 Bread;2023 August;133.33;129.66;-0.8;-0.8;16.2;16.2;981
2639;011130 Bread;2023 September;132.41;128.76;-0.7;-0.7;15.1;15.1;981
2640;011130 Bread;2023 October;132.61;128.96;0.2;0.2;14.6;14.6;981
2641;011130 Bread;2023 November;132.75;129.09;0.1;0.1;9.9;9.9;981
2642;011130 Bread;2023 December;132.43;128.79;-0.2;-0.2;7.1;7.1;981
2643;011130 Bread;2023;132.47;128.83;;;16.3;16.3;981
2644;011130 Bread;2024 January;131.11;127.5;-1.0;-1.0;2.0;2.0;982
2645;011130 Bread;2024 February;131.89;128.26;0.6;0.6;-0.9;-0.9;982
2646;011130 Bread;2024 March;132.15;128.51;0.2;0.2;-0.4;-0.4;982
2647;011130 Bread;2024 April;131.84;128.21;-0.2;-0.2;0.8;0.8;982
2648;011130 Bread;2024 May;132.08;128.44;0.2;0.2;-0.7;-0.7;982
2649;011130 Bread;2024 June;132.64;128.99;0.4;0.4;-0.8;-0.8;982
2650;011130 Bread;2024 July;132.2;128.56;-0.3;-0.3;-1.6;-1.6;982
2651;011130 Bread;2024 August;131.88;128.25;-0.2;-0.2;-1.1;-1.1;982
2652;011130 Bread;2024 September;130.62;127.03;-1.0;-1.0;-1.4;-1.3;982
2653;011130 Bread;2024 October;131.69;128.07;0.8;0.8;-0.7;-0.7;982
2654;011130 Bread;2024 November;133.18;129.52;1.1;1.1;0.3;0.3;982
2655;011130 Bread;2024 December;132.95;129.29;-0.2;-0.2;0.4;0.4;982
2656;011130 Bread;2024;132.02;128.39;;;-0.3;-0.3;982
2657;011130 Bread;2025 January;133.34;129.67;0.3;0.3;1.7;1.7;923
2658;011130 Bread;2025 February;133.48;129.81;0.1;0.1;1.2;1.2;923
2659;011130 Bread;2025 March;132.07;128.44;-1.1;-1.1;-0.1;-0.1;923
2660;011140 Other bakery products;1996 January;;;;;;;0
2661;011140 Other bakery products;1996 February;;;;;;;0
2662;011140 Other bakery products;1996 March;;;;;;;0
2663;011140 Other bakery products;1996 April;;;;;;;0
2664;011140 Other bakery products;1996 May;;;;;;;0
2665;011140 Other bakery products;1996 June;;;;;;;0
2666;011140 Other bakery products;1996 July;;;;;;;0
2667;011140 Other bakery products;1996 August;;;;;;;0
2668;011140 Other bakery products;1996 September;;;;;;;0
2669;011140 Other bakery products;1996 October;;;;;;;0
2670;011140 Other bakery products;1996 November;;;;;;;0
2671;011140 Other bakery products;1996 December;;;;;;;0
2672;011140 Other bakery products;1996;;;;;;;0
2673;011140 Other bakery products;1997 January;;;;;;;0
2674;011140 Other bakery products;1997 February;;;;;;;0
2675;011140 Other bakery products;1997 March;;;;;;;0
2676;011140 Other bakery products;1997 April;;;;;;;0
2677;011140 Other bakery products;1997 May;;;;;;;0
2678;011140 Other bakery products;1997 June;;;;;;;0
2679;011140 Other bakery products;1997 July;;;;;;;0
2680;011140 Other bakery products;1997 August;;;;;;;0
2681;011140 Other bakery products;1997 September;;;;;;;0
2682;011140 Other bakery products;1997 October;;;;;;;0
2683;011140 Other bakery products;1997 November;;;;;;;0
2684;011140 Other bakery products;1997 December;;;;;;;0
2685;011140 Other bakery products;1997;;;;;;;0
2686;011140 Other bakery products;1998 January;;;;;;;0
2687;011140 Other bakery products;1998 February;;;;;;;0
2688;011140 Other bakery products;1998 March;;;;;;;0
2689;011140 Other bakery products;1998 April;;;;;;;0
2690;011140 Other bakery products;1998 May;;;;;;;0
2691;011140 Other bakery products;1998 June;;;;;;;0
2692;011140 Other bakery products;1998 July;;;;;;;0
2693;011140 Other bakery products;1998 August;;;;;;;0
2694;011140 Other bakery products;1998 September;;;;;;;0
2695;011140 Other bakery products;1998 October;;;;;;;0
2696;011140 Other bakery products;1998 November;;;;;;;0
2697;011140 Other bakery products;1998 December;;;;;;;0
2698;011140 Other bakery products;1998;;;;;;;0
2699;011140 Other bakery products;1999 January;;;;;;;0
2700;011140 Other bakery products;1999 February;;;;;;;0
2701;011140 Other bakery products;1999 March;;;;;;;0
2702;011140 Other bakery products;1999 April;;;;;;;0
2703;011140 Other bakery products;1999 May;;;;;;;0
2704;011140 Other bakery products;1999 June;;;;;;;0
2705;011140 Other bakery products;1999 July;;;;;;;0
2706;011140 Other bakery products;1999 August;;;;;;;0
2707;011140 Other bakery products;1999 September;;;;;;;0
2708;011140 Other bakery products;1999 October;;;;;;;0
2709;011140 Other bakery products;1999 November;;;;;;;0
2710;011140 Other bakery products;1999 December;;;;;;;0
2711;011140 Other bakery products;1999;;;;;;;0
2712;011140 Other bakery products;2000 January;;;;;;;0
2713;011140 Other bakery products;2000 February;;;;;;;0
2714;011140 Other bakery products;2000 March;;;;;;;0
2715;011140 Other bakery products;2000 April;;;;;;;0
2716;011140 Other bakery products;2000 May;;;;;;;0
2717;011140 Other bakery products;2000 June;;;;;;;0
2718;011140 Other bakery products;2000 July;;;;;;;0
2719;011140 Other bakery products;2000 August;;;;;;;0
2720;011140 Other bakery products;2000 September;;;;;;;0
2721;011140 Other bakery products;2000 October;;;;;;;0
2722;011140 Other bakery products;2000 November;;;;;;;0
2723;011140 Other bakery products;2000 December;;;;;;;0
2724;011140 Other bakery products;2000;;;;;;;0
2725;011140 Other bakery products;2001 January;;;;;;;0
2726;011140 Other bakery products;2001 February;;;;;;;0
2727;011140 Other bakery products;2001 March;;;;;;;0
2728;011140 Other bakery products;2001 April;;;;;;;0
2729;011140 Other bakery products;2001 May;;;;;;;0
2730;011140 Other bakery products;2001 June;;;;;;;0
2731;011140 Other bakery products;2001 July;;;;;;;0
2732;011140 Other bakery products;2001 August;;;;;;;0
2733;011140 Other bakery products;2001 September;;;;;;;0
2734;011140 Other bakery products;2001 October;;;;;;;0
2735;011140 Other bakery products;2001 November;;;;;;;0
2736;011140 Other bakery products;2001 December;;;;;;;0
2737;011140 Other bakery products;2001;;;;;;;0
2738;011140 Other bakery products;2002 January;;;;;;;0
2739;011140 Other bakery products;2002 February;;;;;;;0
2740;011140 Other bakery products;2002 March;;;;;;;0
2741;011140 Other bakery products;2002 April;;;;;;;0
2742;011140 Other bakery products;2002 May;;;;;;;0
2743;011140 Other bakery products;2002 June;;;;;;;0
2744;011140 Other bakery products;2002 July;;;;;;;0
2745;011140 Other bakery products;2002 August;;;;;;;0
2746;011140 Other bakery products;2002 September;;;;;;;0
2747;011140 Other bakery products;2002 October;;;;;;;0
2748;011140 Other bakery products;2002 November;;;;;;;0
2749;011140 Other bakery products;2002 December;;;;;;;0
2750;011140 Other bakery products;2002;;;;;;;0
2751;011140 Other bakery products;2003 January;;;;;;;0
2752;011140 Other bakery products;2003 February;;;;;;;0
2753;011140 Other bakery products;2003 March;;;;;;;0
2754;011140 Other bakery products;2003 April;;;;;;;0
2755;011140 Other bakery products;2003 May;;;;;;;0
2756;011140 Other bakery products;2003 June;;;;;;;0
2757;011140 Other bakery products;2003 July;;;;;;;0
2758;011140 Other bakery products;2003 August;;;;;;;0
2759;011140 Other bakery products;2003 September;;;;;;;0
2760;011140 Other bakery products;2003 October;;;;;;;0
2761;011140 Other bakery products;2003 November;;;;;;;0
2762;011140 Other bakery products;2003 December;;;;;;;0
2763;011140 Other bakery products;2003;;;;;;;0
2764;011140 Other bakery products;2004 January;;;;;;;0
2765;011140 Other bakery products;2004 February;;;;;;;0
2766;011140 Other bakery products;2004 March;;;;;;;0
2767;011140 Other bakery products;2004 April;;;;;;;0
2768;011140 Other bakery products;2004 May;;;;;;;0
2769;011140 Other bakery products;2004 June;;;;;;;0
2770;011140 Other bakery products;2004 July;;;;;;;0
2771;011140 Other bakery products;2004 August;;;;;;;0
2772;011140 Other bakery products;2004 September;;;;;;;0
2773;011140 Other bakery products;2004 October;;;;;;;0
2774;011140 Other bakery products;2004 November;;;;;;;0
2775;011140 Other bakery products;2004 December;;;;;;;0
2776;011140 Other bakery products;2004;;;;;;;0
2777;011140 Other bakery products;2005 January;;;;;;;0
2778;011140 Other bakery products;2005 February;;;;;;;0
2779;011140 Other bakery products;2005 March;;;;;;;0
2780;011140 Other bakery products;2005 April;;;;;;;0
2781;011140 Other bakery products;2005 May;;;;;;;0
2782;011140 Other bakery products;2005 June;;;;;;;0
2783;011140 Other bakery products;2005 July;;;;;;;0
2784;011140 Other bakery products;2005 August;;;;;;;0
2785;011140 Other bakery products;2005 September;;;;;;;0
2786;011140 Other bakery products;2005 October;;;;;;;0
2787;011140 Other bakery products;2005 November;;;;;;;0
2788;011140 Other bakery products;2005 December;;;;;;;0
2789;011140 Other bakery products;2005;;;;;;;0
2790;011140 Other bakery products;2006 January;;;;;;;0
2791;011140 Other bakery products;2006 February;;;;;;;0
2792;011140 Other bakery products;2006 March;;;;;;;0
2793;011140 Other bakery products;2006 April;;;;;;;0
2794;011140 Other bakery products;2006 May;;;;;;;0
2795;011140 Other bakery products;2006 June;;;;;;;0
2796;011140 Other bakery products;2006 July;;;;;;;0
2797;011140 Other bakery products;2006 August;;;;;;;0
2798;011140 Other bakery products;2006 September;;;;;;;0
2799;011140 Other bakery products;2006 October;;;;;;;0
2800;011140 Other bakery products;2006 November;;;;;;;0
2801;011140 Other bakery products;2006 December;;;;;;;0
2802;011140 Other bakery products;2006;;;;;;;0
2803;011140 Other bakery products;2007 January;;;;;;;0
2804;011140 Other bakery products;2007 February;;;;;;;0
2805;011140 Other bakery products;2007 March;;;;;;;0
2806;011140 Other bakery products;2007 April;;;;;;;0
2807;011140 Other bakery products;2007 May;;;;;;;0
2808;011140 Other bakery products;2007 June;;;;;;;0
2809;011140 Other bakery products;2007 July;;;;;;;0
2810;011140 Other bakery products;2007 August;;;;;;;0
2811;011140 Other bakery products;2007 September;;;;;;;0
2812;011140 Other bakery products;2007 October;;;;;;;0
2813;011140 Other bakery products;2007 November;;;;;;;0
2814;011140 Other bakery products;2007 December;;;;;;;0
2815;011140 Other bakery products;2007;;;;;;;0
2816;011140 Other bakery products;2008 January;;;;;;;0
2817;011140 Other bakery products;2008 February;;;;;;;0
2818;011140 Other bakery products;2008 March;;;;;;;0
2819;011140 Other bakery products;2008 April;;;;;;;0
2820;011140 Other bakery products;2008 May;;;;;;;0
2821;011140 Other bakery products;2008 June;;;;;;;0
2822;011140 Other bakery products;2008 July;;;;;;;0
2823;011140 Other bakery products;2008 August;;;;;;;0
2824;011140 Other bakery products;2008 September;;;;;;;0
2825;011140 Other bakery products;2008 October;;;;;;;0
2826;011140 Other bakery products;2008 November;;;;;;;0
2827;011140 Other bakery products;2008 December;;;;;;;0
2828;011140 Other bakery products;2008;;;;;;;0
2829;011140 Other bakery products;2009 January;;;;;;;0
2830;011140 Other bakery products;2009 February;;;;;;;0
2831;011140 Other bakery products;2009 March;;;;;;;0
2832;011140 Other bakery products;2009 April;;;;;;;0
2833;011140 Other bakery products;2009 May;;;;;;;0
2834;011140 Other bakery products;2009 June;;;;;;;0
2835;011140 Other bakery products;2009 July;;;;;;;0
2836;011140 Other bakery products;2009 August;;;;;;;0
2837;011140 Other bakery products;2009 September;;;;;;;0
2838;011140 Other bakery products;2009 October;;;;;;;0
2839;011140 Other bakery products;2009 November;;;;;;;0
2840;011140 Other bakery products;2009 December;93.7;93.7;;;;;0
2841;011140 Other bakery products;2009;;;;;;;0
2842;011140 Other bakery products;2010 January;93.12;93.12;-0.6;-0.6;;;1456
2843;011140 Other bakery products;2010 February;93.76;93.76;0.7;0.7;;;1456
2844;011140 Other bakery products;2010 March;93.24;93.24;-0.6;-0.6;;;1456
2845;011140 Other bakery products;2010 April;93.48;93.48;0.3;0.3;;;1456
2846;011140 Other bakery products;2010 May;93.58;93.58;0.1;0.1;;;1456
2847;011140 Other bakery products;2010 June;93.4;93.4;-0.2;-0.2;;;1456
2848;011140 Other bakery products;2010 July;93.53;93.53;0.1;0.1;;;1456
2849;011140 Other bakery products;2010 August;93.86;93.86;0.4;0.4;;;1456
2850;011140 Other bakery products;2010 September;93.12;93.12;-0.8;-0.8;;;1456
2851;011140 Other bakery products;2010 October;93.59;93.59;0.5;0.5;;;1456
2852;011140 Other bakery products;2010 November;93.37;93.37;-0.2;-0.2;;;1456
2853;011140 Other bakery products;2010 December;93.43;93.43;0.1;0.1;-0.3;-0.3;1456
2854;011140 Other bakery products;2010;93.46;93.46;;;;;1456
2855;011140 Other bakery products;2011 January;93.22;93.22;-0.2;-0.2;0.1;0.1;1530
2856;011140 Other bakery products;2011 February;93.75;93.75;0.6;0.6;0.0;0.0;1530
2857;011140 Other bakery products;2011 March;93.79;93.79;0.0;0.0;0.6;0.6;1530
2858;011140 Other bakery products;2011 April;94.53;94.53;0.8;0.8;1.1;1.1;1530
2859;011140 Other bakery products;2011 May;94.64;94.64;0.1;0.1;1.1;1.1;1530
2860;011140 Other bakery products;2011 June;94.81;94.81;0.2;0.2;1.5;1.5;1530
2861;011140 Other bakery products;2011 July;94.87;94.87;0.1;0.1;1.4;1.4;1530
2862;011140 Other bakery products;2011 August;94.86;94.86;0.0;0.0;1.1;1.1;1530
2863;011140 Other bakery products;2011 September;94.92;94.92;0.1;0.1;1.9;1.9;1530
2864;011140 Other bakery products;2011 October;95.22;95.22;0.3;0.3;1.7;1.7;1530
2865;011140 Other bakery products;2011 November;95.64;95.64;0.4;0.4;2.4;2.4;1530
2866;011140 Other bakery products;2011 December;95.46;95.46;-0.2;-0.2;2.2;2.2;1530
2867;011140 Other bakery products;2011;94.64;94.64;;;1.3;1.3;1530
2868;011140 Other bakery products;2012 January;94.71;94.71;-0.8;-0.8;1.6;1.6;1489
2869;011140 Other bakery products;2012 February;96.36;96.36;1.7;1.7;2.8;2.8;1489
2870;011140 Other bakery products;2012 March;95.65;95.65;-0.7;-0.7;2.0;2.0;1489
2871;011140 Other bakery products;2012 April;96.27;96.27;0.6;0.6;1.8;1.8;1489
2872;011140 Other bakery products;2012 May;96.17;96.17;-0.1;-0.1;1.6;1.6;1489
2873;011140 Other bakery products;2012 June;96.55;96.55;0.4;0.4;1.8;1.8;1489
2874;011140 Other bakery products;2012 July;96.26;96.26;-0.3;-0.3;1.5;1.5;1489
2875;011140 Other bakery products;2012 August;96.04;96.04;-0.2;-0.2;1.2;1.2;1489
2876;011140 Other bakery products;2012 September;96.73;96.73;0.7;0.7;1.9;1.9;1489
2877;011140 Other bakery products;2012 October;97.07;97.07;0.4;0.4;1.9;1.9;1489
2878;011140 Other bakery products;2012 November;97.18;97.18;0.1;0.1;1.6;1.6;1489
2879;011140 Other bakery products;2012 December;97.85;97.85;0.7;0.7;2.5;2.5;1489
2880;011140 Other bakery products;2012;96.4;96.4;;;1.9;1.9;1489
2881;011140 Other bakery products;2013 January;97.08;97.08;-0.8;-0.8;2.5;2.5;1460
2882;011140 Other bakery products;2013 February;97.53;97.53;0.5;0.5;1.2;1.2;1460
2883;011140 Other bakery products;2013 March;97.85;97.85;0.3;0.3;2.3;2.3;1460
2884;011140 Other bakery products;2013 April;97.07;97.07;-0.8;-0.8;0.8;0.8;1460
2885;011140 Other bakery products;2013 May;98.17;98.17;1.1;1.1;2.1;2.1;1460
2886;011140 Other bakery products;2013 June;97.72;97.72;-0.5;-0.5;1.2;1.2;1460
2887;011140 Other bakery products;2013 July;97.87;97.87;0.2;0.2;1.7;1.7;1460
2888;011140 Other bakery products;2013 August;98.01;98.01;0.1;0.1;2.1;2.1;1460
2889;011140 Other bakery products;2013 September;97.41;97.41;-0.6;-0.6;0.7;0.7;1460
2890;011140 Other bakery products;2013 October;97.8;97.8;0.4;0.4;0.8;0.8;1460
2891;011140 Other bakery products;2013 November;96.82;96.82;-1.0;-1.0;-0.4;-0.4;1460
2892;011140 Other bakery products;2013 December;97.59;97.59;0.8;0.8;-0.3;-0.3;1460
2893;011140 Other bakery products;2013;97.58;97.58;;;1.2;1.2;1460
2894;011140 Other bakery products;2014 January;97.12;97.12;-0.5;-0.5;0.0;0.0;1303
2895;011140 Other bakery products;2014 February;97.64;97.64;0.5;0.5;0.1;0.1;1303
2896;011140 Other bakery products;2014 March;97.65;97.65;0.0;0.0;-0.2;-0.2;1303
2897;011140 Other bakery products;2014 April;98.39;98.39;0.8;0.8;1.4;1.4;1303
2898;011140 Other bakery products;2014 May;98.12;98.12;-0.3;-0.3;-0.1;-0.1;1303
2899;011140 Other bakery products;2014 June;98.35;98.35;0.2;0.2;0.6;0.6;1303
2900;011140 Other bakery products;2014 July;98.37;98.37;0.0;0.0;0.5;0.5;1303
