ID;EnvironmentalDomains;IndustriesSIC2008;Periods;LabourInputOfEmployedPersons_1;OutputAtBasicPrices_2;GrossValueAddedAtBasicPrices_3;ExportAtBasicPrices_4
371;1. Total environmental protection;B-E Industry (no construction), energy;2015;;;;
372;1. Total environmental protection;B-E Industry (no construction), energy;2016;;;;
373;1. Total environmental protection;B-E Industry (no construction), energy;2017;;;;
374;1. Total environmental protection;B-E Industry (no construction), energy;2018;;;;
375;1. Total environmental protection;B-E Industry (no construction), energy;2019;;;;
376;1. Total environmental protection;B-E Industry (no construction), energy;2020;;;;
377;1. Total environmental protection;B-E Industry (no construction), energy;2021;;;;
378;1. Total environmental protection;B Mining and quarrying;2001;;;;
379;1. Total environmental protection;B Mining and quarrying;2002;;;;
380;1. Total environmental protection;B Mining and quarrying;2003;;;;
381;1. Total environmental protection;B Mining and quarrying;2004;;;;
382;1. Total environmental protection;B Mining and quarrying;2005;;;;
383;1. Total environmental protection;B Mining and quarrying;2006;;;;
384;1. Total environmental protection;B Mining and quarrying;2007;;;;
385;1. Total environmental protection;B Mining and quarrying;2008;;;;
386;1. Total environmental protection;B Mining and quarrying;2009;;;;
387;1. Total environmental protection;B Mining and quarrying;2010;;;;
388;1. Total environmental protection;B Mining and quarrying;2011;;;;
389;1. Total environmental protection;B Mining and quarrying;2012;;;;
390;1. Total environmental protection;B Mining and quarrying;2013;;;;
391;1. Total environmental protection;B Mining and quarrying;2014;;;;
392;1. Total environmental protection;B Mining and quarrying;2015;;;;
393;1. Total environmental protection;B Mining and quarrying;2016;;;;
394;1. Total environmental protection;B Mining and quarrying;2017;;;;
395;1. Total environmental protection;B Mining and quarrying;2018;;;;
396;1. Total environmental protection;B Mining and quarrying;2019;;;;
397;1. Total environmental protection;B Mining and quarrying;2020;;;;
398;1. Total environmental protection;B Mining and quarrying;2021;;;;
399;1. Total environmental protection;C Manufacturing;2001;4.1;837.0;289.0;
400;1. Total environmental protection;C Manufacturing;2002;4.2;858.0;295.0;
401;1. Total environmental protection;C Manufacturing;2003;3.6;803.0;259.0;
402;1. Total environmental protection;C Manufacturing;2004;3.7;758.0;271.0;
403;1. Total environmental protection;C Manufacturing;2005;3.6;803.0;252.0;
404;1. Total environmental protection;C Manufacturing;2006;3.9;868.0;284.0;
405;1. Total environmental protection;C Manufacturing;2007;3.9;903.0;288.0;
406;1. Total environmental protection;C Manufacturing;2008;4.0;933.0;300.0;
407;1. Total environmental protection;C Manufacturing;2009;3.9;777.0;283.0;
408;1. Total environmental protection;C Manufacturing;2010;4.1;881.0;303.0;
409;1. Total environmental protection;C Manufacturing;2011;4.1;986.0;324.0;
410;1. Total environmental protection;C Manufacturing;2012;4.0;992.0;317.0;
411;1. Total environmental protection;C Manufacturing;2013;4.1;1018.0;327.0;
412;1. Total environmental protection;C Manufacturing;2014;4.1;1114.0;362.0;568.0
413;1. Total environmental protection;C Manufacturing;2015;4.4;1190.0;402.0;627.0
414;1. Total environmental protection;C Manufacturing;2016;4.7;1400.0;417.0;794.0
415;1. Total environmental protection;C Manufacturing;2017;5.1;1497.0;467.0;822.0
416;1. Total environmental protection;C Manufacturing;2018;5.2;1623.0;472.0;878.0
417;1. Total environmental protection;C Manufacturing;2019;5.6;1840.0;547.0;899.0
418;1. Total environmental protection;C Manufacturing;2020;5.8;1783.0;605.0;840.0
419;1. Total environmental protection;C Manufacturing;2021;5.5;1838.0;611.0;953.0
420;1. Total environmental protection;D Energy supply;2001;;;;
421;1. Total environmental protection;D Energy supply;2002;;;;
422;1. Total environmental protection;D Energy supply;2003;;;;
423;1. Total environmental protection;D Energy supply;2004;;;;
424;1. Total environmental protection;D Energy supply;2005;;;;
425;1. Total environmental protection;D Energy supply;2006;;;;
426;1. Total environmental protection;D Energy supply;2007;;;;
427;1. Total environmental protection;D Energy supply;2008;;;;
428;1. Total environmental protection;D Energy supply;2009;;;;
429;1. Total environmental protection;D Energy supply;2010;0.1;30.0;14.0;
430;1. Total environmental protection;D Energy supply;2011;0.1;32.0;16.0;
431;1. Total environmental protection;D Energy supply;2012;0.1;33.0;17.0;
432;1. Total environmental protection;D Energy supply;2013;0.1;56.0;20.0;
433;1. Total environmental protection;D Energy supply;2014;0.1;40.0;20.0;0.0
434;1. Total environmental protection;D Energy supply;2015;0.4;154.0;52.0;0.0
435;1. Total environmental protection;D Energy supply;2016;0.4;140.0;71.0;1.0
436;1. Total environmental protection;D Energy supply;2017;0.3;134.0;72.0;0.0
437;1. Total environmental protection;D Energy supply;2018;0.5;157.0;77.0;1.0
438;1. Total environmental protection;D Energy supply;2019;0.6;141.0;51.0;1.0
439;1. Total environmental protection;D Energy supply;2020;0.6;153.0;68.0;1.0
440;1. Total environmental protection;D Energy supply;2021;0.8;174.0;80.0;4.0
441;1. Total environmental protection;E Water supply and waste management;2001;20.9;4045.0;1579.0;
442;1. Total environmental protection;E Water supply and waste management;2002;21.7;4314.0;1688.0;
443;1. Total environmental protection;E Water supply and waste management;2003;22.5;4523.0;1814.0;
444;1. Total environmental protection;E Water supply and waste management;2004;21.7;4453.0;1725.0;
445;1. Total environmental protection;E Water supply and waste management;2005;21.4;4280.0;1658.0;
446;1. Total environmental protection;E Water supply and waste management;2006;21.0;4433.0;1798.0;
447;1. Total environmental protection;E Water supply and waste management;2007;21.2;4703.0;1976.0;
448;1. Total environmental protection;E Water supply and waste management;2008;21.3;5222.0;2204.0;
449;1. Total environmental protection;E Water supply and waste management;2009;22.2;5099.0;2044.0;
450;1. Total environmental protection;E Water supply and waste management;2010;22.0;5014.0;1962.0;
451;1. Total environmental protection;E Water supply and waste management;2011;22.0;5332.0;2046.0;
452;1. Total environmental protection;E Water supply and waste management;2012;20.9;5098.0;1954.0;
453;1. Total environmental protection;E Water supply and waste management;2013;20.8;5435.0;2065.0;
454;1. Total environmental protection;E Water supply and waste management;2014;20.9;5705.0;2188.0;547.0
455;1. Total environmental protection;E Water supply and waste management;2015;20.7;5592.0;2158.0;490.0
456;1. Total environmental protection;E Water supply and waste management;2016;21.2;5591.0;2095.0;391.0
457;1. Total environmental protection;E Water supply and waste management;2017;22.3;5836.0;2129.0;450.0
458;1. Total environmental protection;E Water supply and waste management;2018;23.1;6175.0;2234.0;481.0
459;1. Total environmental protection;E Water supply and waste management;2019;23.7;6372.0;2170.0;495.0
460;1. Total environmental protection;E Water supply and waste management;2020;23.7;6292.0;2254.0;473.0
461;1. Total environmental protection;E Water supply and waste management;2021;24.3;7263.0;2939.0;680.0
462;1. Total environmental protection;F Construction;2001;2.4;483.0;149.0;
463;1. Total environmental protection;F Construction;2002;2.5;492.0;152.0;
464;1. Total environmental protection;F Construction;2003;2.4;502.0;152.0;
465;1. Total environmental protection;F Construction;2004;2.1;466.0;140.0;
466;1. Total environmental protection;F Construction;2005;2.0;455.0;134.0;
467;1. Total environmental protection;F Construction;2006;2.0;458.0;131.0;
468;1. Total environmental protection;F Construction;2007;2.0;490.0;137.0;
469;1. Total environmental protection;F Construction;2008;2.0;502.0;140.0;
470;1. Total environmental protection;F Construction;2009;2.0;553.0;145.0;
471;1. Total environmental protection;F Construction;2010;2.3;582.0;163.0;
472;1. Total environmental protection;F Construction;2011;2.2;566.0;164.0;
473;1. Total environmental protection;F Construction;2012;1.7;408.0;108.0;
474;1. Total environmental protection;F Construction;2013;1.9;453.0;132.0;
475;1. Total environmental protection;F Construction;2014;1.8;417.0;111.0;8.0
476;1. Total environmental protection;F Construction;2015;1.7;432.0;112.0;6.0
477;1. Total environmental protection;F Construction;2016;1.8;517.0;124.0;13.0
478;1. Total environmental protection;F Construction;2017;1.8;577.0;139.0;9.0
479;1. Total environmental protection;F Construction;2018;1.8;606.0;142.0;10.0
480;1. Total environmental protection;F Construction;2019;1.8;622.0;159.0;10.0
481;1. Total environmental protection;F Construction;2020;1.8;624.0;159.0;9.0
482;1. Total environmental protection;F Construction;2021;1.9;695.0;173.0;16.0
483;1. Total environmental protection;G-I Trade, transport, hotels, catering;2001;0.9;126.0;66.0;
484;1. Total environmental protection;G-I Trade, transport, hotels, catering;2002;0.9;143.0;73.0;
485;1. Total environmental protection;G-I Trade, transport, hotels, catering;2003;0.9;137.0;76.0;
486;1. Total environmental protection;G-I Trade, transport, hotels, catering;2004;0.9;141.0;80.0;
487;1. Total environmental protection;G-I Trade, transport, hotels, catering;2005;0.9;139.0;78.0;
488;1. Total environmental protection;G-I Trade, transport, hotels, catering;2006;1.1;158.0;88.0;
489;1. Total environmental protection;G-I Trade, transport, hotels, catering;2007;1.1;169.0;96.0;
490;1. Total environmental protection;G-I Trade, transport, hotels, catering;2008;1.2;196.0;129.0;
491;1. Total environmental protection;G-I Trade, transport, hotels, catering;2009;1.1;166.0;99.0;
492;1. Total environmental protection;G-I Trade, transport, hotels, catering;2010;1.3;204.0;114.0;
493;1. Total environmental protection;G-I Trade, transport, hotels, catering;2011;1.4;215.0;121.0;
494;1. Total environmental protection;G-I Trade, transport, hotels, catering;2012;1.4;217.0;112.0;
495;1. Total environmental protection;G-I Trade, transport, hotels, catering;2013;1.4;211.0;109.0;
496;1. Total environmental protection;G-I Trade, transport, hotels, catering;2014;1.3;224.0;116.0;273.0
497;1. Total environmental protection;G-I Trade, transport, hotels, catering;2015;1.3;227.0;121.0;165.0
498;1. Total environmental protection;G-I Trade, transport, hotels, catering;2016;1.7;320.0;168.0;397.0
499;1. Total environmental protection;G-I Trade, transport, hotels, catering;2017;1.8;398.0;194.0;300.0
500;1. Total environmental protection;G-I Trade, transport, hotels, catering;2018;2.2;429.0;209.0;312.0
501;1. Total environmental protection;G-I Trade, transport, hotels, catering;2019;2.2;515.0;257.0;365.0
502;1. Total environmental protection;G-I Trade, transport, hotels, catering;2020;2.5;505.0;240.0;309.0
503;1. Total environmental protection;G-I Trade, transport, hotels, catering;2021;2.8;615.0;307.0;427.0
504;1. Total environmental protection;J Information and communication;2001;0.0;5.0;2.0;
505;1. Total environmental protection;J Information and communication;2002;0.0;9.0;4.0;
506;1. Total environmental protection;J Information and communication;2003;0.1;9.0;4.0;
507;1. Total environmental protection;J Information and communication;2004;0.1;8.0;3.0;
508;1. Total environmental protection;J Information and communication;2005;0.1;9.0;4.0;
509;1. Total environmental protection;J Information and communication;2006;0.1;14.0;5.0;
510;1. Total environmental protection;J Information and communication;2007;0.1;10.0;4.0;
511;1. Total environmental protection;J Information and communication;2008;0.1;15.0;6.0;
512;1. Total environmental protection;J Information and communication;2009;0.1;11.0;5.0;
513;1. Total environmental protection;J Information and communication;2010;0.1;29.0;12.0;
514;1. Total environmental protection;J Information and communication;2011;0.1;35.0;13.0;
515;1. Total environmental protection;J Information and communication;2012;0.1;59.0;14.0;
516;1. Total environmental protection;J Information and communication;2013;0.1;70.0;20.0;
517;1. Total environmental protection;J Information and communication;2014;0.1;72.0;22.0;5.0
518;1. Total environmental protection;J Information and communication;2015;0.1;67.0;18.0;5.0
519;1. Total environmental protection;J Information and communication;2016;0.3;65.0;28.0;6.0
520;1. Total environmental protection;J Information and communication;2017;0.2;62.0;27.0;7.0
521;1. Total environmental protection;J Information and communication;2018;0.2;74.0;30.0;1.0
522;1. Total environmental protection;J Information and communication;2019;0.3;85.0;32.0;1.0
523;1. Total environmental protection;J Information and communication;2020;0.3;111.0;33.0;2.0
524;1. Total environmental protection;J Information and communication;2021;0.3;121.0;41.0;4.0
525;1. Total environmental protection;K Financial institutions;2001;0.0;0.0;0.0;
526;1. Total environmental protection;K Financial institutions;2002;0.0;0.0;0.0;
527;1. Total environmental protection;K Financial institutions;2003;0.0;0.0;0.0;
528;1. Total environmental protection;K Financial institutions;2004;0.0;0.0;0.0;
529;1. Total environmental protection;K Financial institutions;2005;0.0;0.0;0.0;
530;1. Total environmental protection;K Financial institutions;2006;0.0;0.0;0.0;
531;1. Total environmental protection;K Financial institutions;2007;0.0;0.0;0.0;
532;1. Total environmental protection;K Financial institutions;2008;0.0;0.0;0.0;
533;1. Total environmental protection;K Financial institutions;2009;0.0;0.0;0.0;
534;1. Total environmental protection;K Financial institutions;2010;0.0;12.0;4.0;
535;1. Total environmental protection;K Financial institutions;2011;0.0;4.0;1.0;
536;1. Total environmental protection;K Financial institutions;2012;0.0;4.0;1.0;
537;1. Total environmental protection;K Financial institutions;2013;0.0;4.0;1.0;
538;1. Total environmental protection;K Financial institutions;2014;0.0;4.0;1.0;0.0
539;1. Total environmental protection;K Financial institutions;2015;0.0;1.0;0.0;0.0
540;1. Total environmental protection;K Financial institutions;2016;0.1;62.0;22.0;20.0
541;1. Total environmental protection;K Financial institutions;2017;0.1;63.0;22.0;2.0
542;1. Total environmental protection;K Financial institutions;2018;0.1;68.0;23.0;22.0
543;1. Total environmental protection;K Financial institutions;2019;0.2;88.0;32.0;23.0
544;1. Total environmental protection;K Financial institutions;2020;0.2;68.0;26.0;0.0
545;1. Total environmental protection;K Financial institutions;2021;0.2;78.0;31.0;
546;1. Total environmental protection;L Renting, buying, selling real estate;2001;;;;
547;1. Total environmental protection;L Renting, buying, selling real estate;2002;;;;
548;1. Total environmental protection;L Renting, buying, selling real estate;2003;;;;
549;1. Total environmental protection;L Renting, buying, selling real estate;2004;;;;
550;1. Total environmental protection;L Renting, buying, selling real estate;2005;;;;
551;1. Total environmental protection;L Renting, buying, selling real estate;2006;;;;
552;1. Total environmental protection;L Renting, buying, selling real estate;2007;;;;
553;1. Total environmental protection;L Renting, buying, selling real estate;2008;;;;
554;1. Total environmental protection;L Renting, buying, selling real estate;2009;;;;
555;1. Total environmental protection;L Renting, buying, selling real estate;2010;;;;
556;1. Total environmental protection;L Renting, buying, selling real estate;2011;;;;
557;1. Total environmental protection;L Renting, buying, selling real estate;2012;;;;
558;1. Total environmental protection;L Renting, buying, selling real estate;2013;;;;
559;1. Total environmental protection;L Renting, buying, selling real estate;2014;;;;
560;1. Total environmental protection;L Renting, buying, selling real estate;2015;;;;
561;1. Total environmental protection;L Renting, buying, selling real estate;2016;;;;
562;1. Total environmental protection;L Renting, buying, selling real estate;2017;;;;
563;1. Total environmental protection;L Renting, buying, selling real estate;2018;;;;
564;1. Total environmental protection;L Renting, buying, selling real estate;2019;;;;
565;1. Total environmental protection;L Renting, buying, selling real estate;2020;;;;
566;1. Total environmental protection;L Renting, buying, selling real estate;2021;;;;
567;1. Total environmental protection;M-N Business services;2001;8.4;938.0;387.0;
568;1. Total environmental protection;M-N Business services;2002;8.6;1014.0;421.0;
569;1. Total environmental protection;M-N Business services;2003;8.2;996.0;419.0;
570;1. Total environmental protection;M-N Business services;2004;8.7;1084.0;456.0;
571;1. Total environmental protection;M-N Business services;2005;9.2;1188.0;475.0;
572;1. Total environmental protection;M-N Business services;2006;9.4;1242.0;616.0;
573;1. Total environmental protection;M-N Business services;2007;9.5;1294.0;654.0;
574;1. Total environmental protection;M-N Business services;2008;10.8;1458.0;744.0;
575;1. Total environmental protection;M-N Business services;2009;11.5;1432.0;648.0;
576;1. Total environmental protection;M-N Business services;2010;10.3;1396.0;787.0;
577;1. Total environmental protection;M-N Business services;2011;9.3;1252.0;705.0;
578;1. Total environmental protection;M-N Business services;2012;9.3;1288.0;714.0;
579;1. Total environmental protection;M-N Business services;2013;8.7;1213.0;682.0;
580;1. Total environmental protection;M-N Business services;2014;8.4;1146.0;644.0;364.0
581;1. Total environmental protection;M-N Business services;2015;8.6;1191.0;658.0;333.0
582;1. Total environmental protection;M-N Business services;2016;9.6;1443.0;798.0;374.0
583;1. Total environmental protection;M-N Business services;2017;10.6;1646.0;915.0;147.0
584;1. Total environmental protection;M-N Business services;2018;11.4;1788.0;973.0;262.0
585;1. Total environmental protection;M-N Business services;2019;11.8;1971.0;1056.0;210.0
586;1. Total environmental protection;M-N Business services;2020;12.7;2179.0;1164.0;265.0
587;1. Total environmental protection;M-N Business services;2021;12.7;2349.0;1243.0;289.0
588;1. Total environmental protection;O-Q Government and care;2001;40.0;4985.0;2849.0;
589;1. Total environmental protection;O-Q Government and care;2002;41.1;5216.0;3010.0;
590;1. Total environmental protection;O-Q Government and care;2003;43.1;5525.0;3251.0;
591;1. Total environmental protection;O-Q Government and care;2004;41.9;5746.0;3324.0;
592;1. Total environmental protection;O-Q Government and care;2005;39.5;5805.0;3344.0;
593;1. Total environmental protection;O-Q Government and care;2006;42.9;6155.0;3590.0;
594;1. Total environmental protection;O-Q Government and care;2007;42.2;6385.0;3806.0;
595;1. Total environmental protection;O-Q Government and care;2008;39.8;6637.0;3972.0;
596;1. Total environmental protection;O-Q Government and care;2009;42.0;7048.0;4212.0;
597;1. Total environmental protection;O-Q Government and care;2010;42.9;7510.0;4501.0;
598;1. Total environmental protection;O-Q Government and care;2011;41.9;7512.0;4611.0;
599;1. Total environmental protection;O-Q Government and care;2012;40.1;7609.0;4663.0;
600;1. Total environmental protection;O-Q Government and care;2013;39.7;7837.0;4712.0;
601;1. Total environmental protection;O-Q Government and care;2014;37.4;7962.0;4675.0;5.0
602;1. Total environmental protection;O-Q Government and care;2015;36.0;8127.0;4756.0;5.0
603;1. Total environmental protection;O-Q Government and care;2016;38.0;9312.0;5022.0;10.0
604;1. Total environmental protection;O-Q Government and care;2017;40.2;9571.0;5277.0;12.0
605;1. Total environmental protection;O-Q Government and care;2018;40.3;9972.0;5458.0;9.0
606;1. Total environmental protection;O-Q Government and care;2019;42.5;10726.0;6069.0;4.0
607;1. Total environmental protection;O-Q Government and care;2020;42.0;10755.0;5835.0;3.0
608;1. Total environmental protection;O-Q Government and care;2021;41.9;10153.0;5784.0;3.0
609;1. Total environmental protection;R-U Culture, recreation, other services;2001;;;;
610;1. Total environmental protection;R-U Culture, recreation, other services;2002;;;;
611;1. Total environmental protection;R-U Culture, recreation, other services;2003;;;;
612;1. Total environmental protection;R-U Culture, recreation, other services;2004;;;;
613;1. Total environmental protection;R-U Culture, recreation, other services;2005;;;;
614;1. Total environmental protection;R-U Culture, recreation, other services;2006;;;;
615;1. Total environmental protection;R-U Culture, recreation, other services;2007;;;;
616;1. Total environmental protection;R-U Culture, recreation, other services;2008;;;;
617;1. Total environmental protection;R-U Culture, recreation, other services;2009;;;;
618;1. Total environmental protection;R-U Culture, recreation, other services;2010;;;;
619;1. Total environmental protection;R-U Culture, recreation, other services;2011;;;;
620;1. Total environmental protection;R-U Culture, recreation, other services;2012;;;;
621;1. Total environmental protection;R-U Culture, recreation, other services;2013;;;;
622;1. Total environmental protection;R-U Culture, recreation, other services;2014;;;;
623;1. Total environmental protection;R-U Culture, recreation, other services;2015;;;;
624;1. Total environmental protection;R-U Culture, recreation, other services;2016;;;;
625;1. Total environmental protection;R-U Culture, recreation, other services;2017;;;;
626;1. Total environmental protection;R-U Culture, recreation, other services;2018;;;;
627;1. Total environmental protection;R-U Culture, recreation, other services;2019;;;;
628;1. Total environmental protection;R-U Culture, recreation, other services;2020;;;;
629;1. Total environmental protection;R-U Culture, recreation, other services;2021;;;;
630;2. Management of natural resources, tot.;A-U All economic activities;2001;38.9;6477.0;2432.0;
631;2. Management of natural resources, tot.;A-U All economic activities;2002;38.5;6858.0;2532.0;
632;2. Management of natural resources, tot.;A-U All economic activities;2003;35.4;6911.0;2519.0;
633;2. Management of natural resources, tot.;A-U All economic activities;2004;33.3;7098.0;2675.0;
634;2. Management of natural resources, tot.;A-U All economic activities;2005;31.9;7476.0;2972.0;
635;2. Management of natural resources, tot.;A-U All economic activities;2006;34.7;8298.0;3329.0;
636;2. Management of natural resources, tot.;A-U All economic activities;2007;37.1;9100.0;3514.0;
637;2. Management of natural resources, tot.;A-U All economic activities;2008;38.7;10479.0;4048.0;
638;2. Management of natural resources, tot.;A-U All economic activities;2009;38.9;9963.0;3882.0;
639;2. Management of natural resources, tot.;A-U All economic activities;2010;41.2;10763.0;4011.0;
640;2. Management of natural resources, tot.;A-U All economic activities;2011;48.5;14237.0;4712.0;
641;2. Management of natural resources, tot.;A-U All economic activities;2012;47.1;15511.0;4609.0;
642;2. Management of natural resources, tot.;A-U All economic activities;2013;50.8;16099.0;4931.0;
643;2. Management of natural resources, tot.;A-U All economic activities;2014;53.9;16763.0;5887.0;6221.0
644;2. Management of natural resources, tot.;A-U All economic activities;2015;56.1;16782.0;6335.0;6621.0
645;2. Management of natural resources, tot.;A-U All economic activities;2016;59.7;16601.0;6683.0;6320.0
646;2. Management of natural resources, tot.;A-U All economic activities;2017;62.8;18625.0;7440.0;5922.0
647;2. Management of natural resources, tot.;A-U All economic activities;2018;68.6;19392.0;7777.0;5952.0
648;2. Management of natural resources, tot.;A-U All economic activities;2019;76.0;20919.0;8681.0;6506.0
649;2. Management of natural resources, tot.;A-U All economic activities;2020;87.4;22484.0;9600.0;6218.0
650;2. Management of natural resources, tot.;A-U All economic activities;2021;90.0;26645.0;10134.0;7770.0
651;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2001;0.2;5.0;5.0;
652;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2002;0.2;6.0;6.0;
653;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2003;0.2;13.0;13.0;
654;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2004;0.2;34.0;34.0;
655;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2005;0.2;52.0;52.0;
656;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2006;0.3;65.0;65.0;
657;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2007;0.3;83.0;83.0;
658;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2008;0.3;116.0;116.0;
659;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2009;0.4;135.0;135.0;
660;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2010;0.4;135.0;130.0;
661;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2011;0.5;145.0;139.0;
662;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2012;0.5;146.0;139.0;
663;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2013;0.5;158.0;151.0;
664;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2014;0.5;170.0;163.0;0.0
665;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2015;0.5;182.0;174.0;0.0
666;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2016;0.4;181.0;181.0;0.0
667;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2017;0.4;198.0;198.0;0.0
668;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2018;0.4;234.0;233.0;0.0
669;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2019;0.3;316.0;316.0;0.0
670;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2020;0.3;376.0;376.0;0.0
671;2. Management of natural resources, tot.;A Agriculture, forestry and fishing;2021;0.3;429.0;429.0;0.0
672;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2001;;;;
673;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2002;;;;
674;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2003;;;;
675;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2004;;;;
676;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2005;;;;
677;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2006;;;;
678;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2007;;;;
679;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2008;;;;
680;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2009;;;;
681;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2010;;;;
682;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2011;;;;
683;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2012;;;;
684;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2013;;;;
685;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2014;;;;
686;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2015;;;;
687;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2016;;;;
688;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2017;;;;
689;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2018;;;;
690;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2019;;;;
691;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2020;;;;
692;2. Management of natural resources, tot.;B-E Industry (no construction), energy;2021;;;;
693;2. Management of natural resources, tot.;B Mining and quarrying;2001;;;;
694;2. Management of natural resources, tot.;B Mining and quarrying;2002;;;;
695;2. Management of natural resources, tot.;B Mining and quarrying;2003;;;;
696;2. Management of natural resources, tot.;B Mining and quarrying;2004;;;;
697;2. Management of natural resources, tot.;B Mining and quarrying;2005;;;;
698;2. Management of natural resources, tot.;B Mining and quarrying;2006;;;;
699;2. Management of natural resources, tot.;B Mining and quarrying;2007;;;;
700;2. Management of natural resources, tot.;B Mining and quarrying;2008;;;;
701;2. Management of natural resources, tot.;B Mining and quarrying;2009;;;;
702;2. Management of natural resources, tot.;B Mining and quarrying;2010;;;;
703;2. Management of natural resources, tot.;B Mining and quarrying;2011;;;;
704;2. Management of natural resources, tot.;B Mining and quarrying;2012;;;;
705;2. Management of natural resources, tot.;B Mining and quarrying;2013;;;;
706;2. Management of natural resources, tot.;B Mining and quarrying;2014;;;;
707;2. Management of natural resources, tot.;B Mining and quarrying;2015;;;;
708;2. Management of natural resources, tot.;B Mining and quarrying;2016;;;;
709;2. Management of natural resources, tot.;B Mining and quarrying;2017;;;;
710;2. Management of natural resources, tot.;B Mining and quarrying;2018;;;;
711;2. Management of natural resources, tot.;B Mining and quarrying;2019;;;;
712;2. Management of natural resources, tot.;B Mining and quarrying;2020;;;;
713;2. Management of natural resources, tot.;B Mining and quarrying;2021;;;;
714;2. Management of natural resources, tot.;C Manufacturing;2001;5.3;1859.0;463.0;
715;2. Management of natural resources, tot.;C Manufacturing;2002;5.9;2164.0;512.0;
716;2. Management of natural resources, tot.;C Manufacturing;2003;6.1;2305.0;538.0;
717;2. Management of natural resources, tot.;C Manufacturing;2004;5.8;2173.0;523.0;
718;2. Management of natural resources, tot.;C Manufacturing;2005;5.4;2140.0;505.0;
719;2. Management of natural resources, tot.;C Manufacturing;2006;5.8;2213.0;548.0;
720;2. Management of natural resources, tot.;C Manufacturing;2007;6.6;2618.0;624.0;
721;2. Management of natural resources, tot.;C Manufacturing;2008;7.3;3008.0;693.0;
722;2. Management of natural resources, tot.;C Manufacturing;2009;7.2;2622.0;612.0;
723;2. Management of natural resources, tot.;C Manufacturing;2010;7.4;2817.0;633.0;
724;2. Management of natural resources, tot.;C Manufacturing;2011;8.2;4235.0;786.0;
725;2. Management of natural resources, tot.;C Manufacturing;2012;7.4;5579.0;633.0;
726;2. Management of natural resources, tot.;C Manufacturing;2013;7.3;6263.0;732.0;
727;2. Management of natural resources, tot.;C Manufacturing;2014;7.1;5770.0;1135.0;3350.0
728;2. Management of natural resources, tot.;C Manufacturing;2015;6.9;5675.0;1205.0;3552.0
729;2. Management of natural resources, tot.;C Manufacturing;2016;6.9;4827.0;1328.0;3440.0
730;2. Management of natural resources, tot.;C Manufacturing;2017;6.9;5544.0;1450.0;3634.0
731;2. Management of natural resources, tot.;C Manufacturing;2018;7.4;5770.0;1433.0;3617.0
732;2. Management of natural resources, tot.;C Manufacturing;2019;7.6;5869.0;1463.0;3770.0
733;2. Management of natural resources, tot.;C Manufacturing;2020;7.6;5803.0;1515.0;3664.0
734;2. Management of natural resources, tot.;C Manufacturing;2021;7.7;8197.0;1929.0;4780.0
735;2. Management of natural resources, tot.;D Energy supply;2001;0.2;82.0;33.0;
736;2. Management of natural resources, tot.;D Energy supply;2002;0.2;113.0;55.0;
737;2. Management of natural resources, tot.;D Energy supply;2003;0.3;139.0;65.0;
738;2. Management of natural resources, tot.;D Energy supply;2004;0.3;308.0;205.0;
