ID;EnergySourcesTechniques;EnergyApplication;Periods;AvoidedEnergy_1;AvoidedEnergyRelative_2;AvoidedEmission_3;AvoidedEmissionRelative_4
1248;Deep geothermal heat;Total energy applications;2014;1488.0;0.05;81.0;0.05
1249;Deep geothermal heat;Total energy applications;2015;2425.0;0.08;131.0;0.08
1250;Deep geothermal heat;Total energy applications;2016;2827.0;0.09;154.0;0.09
1251;Deep geothermal heat;Total energy applications;2017;3029.0;0.1;165.0;0.1
1252;Deep geothermal heat;Total energy applications;2018;3734.0;0.12;206.0;0.13
1253;Deep geothermal heat;Total energy applications;2019;5589.0;0.18;312.0;0.2
1254;Deep geothermal heat;Total energy applications;2020;6228.0;0.21;351.0;0.25
1255;Deep geothermal heat;Total energy applications;2021;6330.0;0.21;352.0;0.24
1256;Deep geothermal heat;Total energy applications;2022;6785.0;0.23;378.0;0.27
1257;Deep geothermal heat;Total energy applications;2023;6791.0;0.24;381.0;0.3
1258;Deep geothermal heat;Electricity;1990;;;;
1259;Deep geothermal heat;Electricity;1991;;;;
1260;Deep geothermal heat;Electricity;1992;;;;
1261;Deep geothermal heat;Electricity;1993;;;;
1262;Deep geothermal heat;Electricity;1994;;;;
1263;Deep geothermal heat;Electricity;1995;;;;
1264;Deep geothermal heat;Electricity;1996;;;;
1265;Deep geothermal heat;Electricity;1997;;;;
1266;Deep geothermal heat;Electricity;1998;;;;
1267;Deep geothermal heat;Electricity;1999;;;;
1268;Deep geothermal heat;Electricity;2000;;;;
1269;Deep geothermal heat;Electricity;2001;;;;
1270;Deep geothermal heat;Electricity;2002;;;;
1271;Deep geothermal heat;Electricity;2003;;;;
1272;Deep geothermal heat;Electricity;2004;;;;
1273;Deep geothermal heat;Electricity;2005;;;;
1274;Deep geothermal heat;Electricity;2006;;;;
1275;Deep geothermal heat;Electricity;2007;;;;
1276;Deep geothermal heat;Electricity;2008;;;;
1277;Deep geothermal heat;Electricity;2009;;;;
1278;Deep geothermal heat;Electricity;2010;;;;
1279;Deep geothermal heat;Electricity;2011;;;;
1280;Deep geothermal heat;Electricity;2012;;;;
1281;Deep geothermal heat;Electricity;2013;;;;
1282;Deep geothermal heat;Electricity;2014;;;;
1283;Deep geothermal heat;Electricity;2015;;;;
1284;Deep geothermal heat;Electricity;2016;;;;
1285;Deep geothermal heat;Electricity;2017;;;;
1286;Deep geothermal heat;Electricity;2018;;;;
1287;Deep geothermal heat;Electricity;2019;;;;
1288;Deep geothermal heat;Electricity;2020;;;;
1289;Deep geothermal heat;Electricity;2021;;;;
1290;Deep geothermal heat;Electricity;2022;;;;
1291;Deep geothermal heat;Electricity;2023;;;;
1292;Deep geothermal heat;Heat;1990;;;;
1293;Deep geothermal heat;Heat;1991;;;;
1294;Deep geothermal heat;Heat;1992;;;;
1295;Deep geothermal heat;Heat;1993;;;;
1296;Deep geothermal heat;Heat;1994;;;;
1297;Deep geothermal heat;Heat;1995;;;;
1298;Deep geothermal heat;Heat;1996;;;;
1299;Deep geothermal heat;Heat;1997;;;;
1300;Deep geothermal heat;Heat;1998;;;;
1301;Deep geothermal heat;Heat;1999;;;;
1302;Deep geothermal heat;Heat;2000;;;;
1303;Deep geothermal heat;Heat;2001;;;;
1304;Deep geothermal heat;Heat;2002;;;;
1305;Deep geothermal heat;Heat;2003;;;;
1306;Deep geothermal heat;Heat;2004;;;;
1307;Deep geothermal heat;Heat;2005;;;;
1308;Deep geothermal heat;Heat;2006;;;;
1309;Deep geothermal heat;Heat;2007;;;;
1310;Deep geothermal heat;Heat;2008;95.0;0.0;5.0;0.0
1311;Deep geothermal heat;Heat;2009;140.0;0.0;8.0;0.0
1312;Deep geothermal heat;Heat;2010;316.0;0.01;17.0;0.01
1313;Deep geothermal heat;Heat;2011;315.0;0.01;17.0;0.01
1314;Deep geothermal heat;Heat;2012;491.0;0.02;27.0;0.02
1315;Deep geothermal heat;Heat;2013;986.0;0.03;54.0;0.03
1316;Deep geothermal heat;Heat;2014;1488.0;0.05;81.0;0.05
1317;Deep geothermal heat;Heat;2015;2425.0;0.08;131.0;0.08
1318;Deep geothermal heat;Heat;2016;2827.0;0.09;154.0;0.09
1319;Deep geothermal heat;Heat;2017;3029.0;0.1;165.0;0.1
1320;Deep geothermal heat;Heat;2018;3734.0;0.12;206.0;0.13
1321;Deep geothermal heat;Heat;2019;5589.0;0.18;312.0;0.2
1322;Deep geothermal heat;Heat;2020;6228.0;0.21;351.0;0.25
1323;Deep geothermal heat;Heat;2021;6330.0;0.21;352.0;0.24
1324;Deep geothermal heat;Heat;2022;6785.0;0.23;378.0;0.27
1325;Deep geothermal heat;Heat;2023;6791.0;0.24;381.0;0.3
1326;Deep geothermal heat;Transport;1990;;;;
1327;Deep geothermal heat;Transport;1991;;;;
1328;Deep geothermal heat;Transport;1992;;;;
1329;Deep geothermal heat;Transport;1993;;;;
1330;Deep geothermal heat;Transport;1994;;;;
1331;Deep geothermal heat;Transport;1995;;;;
1332;Deep geothermal heat;Transport;1996;;;;
1333;Deep geothermal heat;Transport;1997;;;;
1334;Deep geothermal heat;Transport;1998;;;;
1335;Deep geothermal heat;Transport;1999;;;;
1336;Deep geothermal heat;Transport;2000;;;;
1337;Deep geothermal heat;Transport;2001;;;;
1338;Deep geothermal heat;Transport;2002;;;;
1339;Deep geothermal heat;Transport;2003;;;;
1340;Deep geothermal heat;Transport;2004;;;;
1341;Deep geothermal heat;Transport;2005;;;;
1342;Deep geothermal heat;Transport;2006;;;;
1343;Deep geothermal heat;Transport;2007;;;;
1344;Deep geothermal heat;Transport;2008;;;;
1345;Deep geothermal heat;Transport;2009;;;;
1346;Deep geothermal heat;Transport;2010;;;;
1347;Deep geothermal heat;Transport;2011;;;;
1348;Deep geothermal heat;Transport;2012;;;;
1349;Deep geothermal heat;Transport;2013;;;;
1350;Deep geothermal heat;Transport;2014;;;;
1351;Deep geothermal heat;Transport;2015;;;;
1352;Deep geothermal heat;Transport;2016;;;;
1353;Deep geothermal heat;Transport;2017;;;;
1354;Deep geothermal heat;Transport;2018;;;;
1355;Deep geothermal heat;Transport;2019;;;;
1356;Deep geothermal heat;Transport;2020;;;;
1357;Deep geothermal heat;Transport;2021;;;;
1358;Deep geothermal heat;Transport;2022;;;;
1359;Deep geothermal heat;Transport;2023;;;;
1360;Total shallow geothermal energy;Total energy applications;1990;4.0;0.0;0.0;0.0
1361;Total shallow geothermal energy;Total energy applications;1991;5.0;0.0;0.0;0.0
1362;Total shallow geothermal energy;Total energy applications;1992;9.0;0.0;1.0;0.0
1363;Total shallow geothermal energy;Total energy applications;1993;14.0;0.0;1.0;0.0
1364;Total shallow geothermal energy;Total energy applications;1994;40.0;0.0;2.0;0.0
1365;Total shallow geothermal energy;Total energy applications;1995;56.0;0.0;3.0;0.0
1366;Total shallow geothermal energy;Total energy applications;1996;79.0;0.0;5.0;0.0
1367;Total shallow geothermal energy;Total energy applications;1997;118.0;0.0;7.0;0.0
1368;Total shallow geothermal energy;Total energy applications;1998;174.0;0.01;10.0;0.01
1369;Total shallow geothermal energy;Total energy applications;1999;229.0;0.01;13.0;0.01
1370;Total shallow geothermal energy;Total energy applications;2000;286.0;0.01;17.0;0.01
1371;Total shallow geothermal energy;Total energy applications;2001;354.0;0.01;21.0;0.01
1372;Total shallow geothermal energy;Total energy applications;2002;453.0;0.01;26.0;0.01
1373;Total shallow geothermal energy;Total energy applications;2003;549.0;0.02;32.0;0.02
1374;Total shallow geothermal energy;Total energy applications;2004;670.0;0.02;37.0;0.02
1375;Total shallow geothermal energy;Total energy applications;2005;848.0;0.03;46.0;0.03
1376;Total shallow geothermal energy;Total energy applications;2006;1085.0;0.03;58.0;0.03
1377;Total shallow geothermal energy;Total energy applications;2007;1305.0;0.04;68.0;0.04
1378;Total shallow geothermal energy;Total energy applications;2008;1616.0;0.05;84.0;0.05
1379;Total shallow geothermal energy;Total energy applications;2009;1969.0;0.06;102.0;0.06
1380;Total shallow geothermal energy;Total energy applications;2010;2383.0;0.07;125.0;0.07
1381;Total shallow geothermal energy;Total energy applications;2011;2618.0;0.08;136.0;0.08
1382;Total shallow geothermal energy;Total energy applications;2012;2841.0;0.09;141.0;0.08
1383;Total shallow geothermal energy;Total energy applications;2013;3097.0;0.1;149.0;0.09
1384;Total shallow geothermal energy;Total energy applications;2014;3149.0;0.1;147.0;0.09
1385;Total shallow geothermal energy;Total energy applications;2015;3243.0;0.1;135.0;0.08
1386;Total shallow geothermal energy;Total energy applications;2016;3601.0;0.11;170.0;0.1
1387;Total shallow geothermal energy;Total energy applications;2017;3956.0;0.12;193.0;0.12
1388;Total shallow geothermal energy;Total energy applications;2018;4173.0;0.13;208.0;0.13
1389;Total shallow geothermal energy;Total energy applications;2019;4469.0;0.15;236.0;0.15
1390;Total shallow geothermal energy;Total energy applications;2020;5014.0;0.17;282.0;0.2
1391;Total shallow geothermal energy;Total energy applications;2021;5110.0;0.17;268.0;0.19
1392;Total shallow geothermal energy;Total energy applications;2022;5365.0;0.18;281.0;0.2
1393;Total shallow geothermal energy;Total energy applications;2023;5855.0;0.2;330.0;0.26
1394;Total shallow geothermal energy;Electricity;1990;;;;
1395;Total shallow geothermal energy;Electricity;1991;;;;
1396;Total shallow geothermal energy;Electricity;1992;;;;
1397;Total shallow geothermal energy;Electricity;1993;;;;
1398;Total shallow geothermal energy;Electricity;1994;;;;
1399;Total shallow geothermal energy;Electricity;1995;;;;
1400;Total shallow geothermal energy;Electricity;1996;;;;
1401;Total shallow geothermal energy;Electricity;1997;;;;
1402;Total shallow geothermal energy;Electricity;1998;;;;
1403;Total shallow geothermal energy;Electricity;1999;;;;
1404;Total shallow geothermal energy;Electricity;2000;;;;
1405;Total shallow geothermal energy;Electricity;2001;;;;
1406;Total shallow geothermal energy;Electricity;2002;;;;
1407;Total shallow geothermal energy;Electricity;2003;;;;
1408;Total shallow geothermal energy;Electricity;2004;;;;
1409;Total shallow geothermal energy;Electricity;2005;;;;
1410;Total shallow geothermal energy;Electricity;2006;;;;
1411;Total shallow geothermal energy;Electricity;2007;;;;
1412;Total shallow geothermal energy;Electricity;2008;;;;
1413;Total shallow geothermal energy;Electricity;2009;;;;
1414;Total shallow geothermal energy;Electricity;2010;;;;
1415;Total shallow geothermal energy;Electricity;2011;;;;
1416;Total shallow geothermal energy;Electricity;2012;;;;
1417;Total shallow geothermal energy;Electricity;2013;;;;
1418;Total shallow geothermal energy;Electricity;2014;;;;
1419;Total shallow geothermal energy;Electricity;2015;;;;
1420;Total shallow geothermal energy;Electricity;2016;;;;
1421;Total shallow geothermal energy;Electricity;2017;;;;
1422;Total shallow geothermal energy;Electricity;2018;;;;
1423;Total shallow geothermal energy;Electricity;2019;;;;
1424;Total shallow geothermal energy;Electricity;2020;;;;
1425;Total shallow geothermal energy;Electricity;2021;;;;
1426;Total shallow geothermal energy;Electricity;2022;;;;
1427;Total shallow geothermal energy;Electricity;2023;;;;
1428;Total shallow geothermal energy;Heat;1990;4.0;0.0;0.0;0.0
1429;Total shallow geothermal energy;Heat;1991;5.0;0.0;0.0;0.0
1430;Total shallow geothermal energy;Heat;1992;9.0;0.0;1.0;0.0
1431;Total shallow geothermal energy;Heat;1993;14.0;0.0;1.0;0.0
1432;Total shallow geothermal energy;Heat;1994;40.0;0.0;2.0;0.0
1433;Total shallow geothermal energy;Heat;1995;56.0;0.0;3.0;0.0
1434;Total shallow geothermal energy;Heat;1996;79.0;0.0;5.0;0.0
1435;Total shallow geothermal energy;Heat;1997;118.0;0.0;7.0;0.0
1436;Total shallow geothermal energy;Heat;1998;174.0;0.01;10.0;0.01
1437;Total shallow geothermal energy;Heat;1999;229.0;0.01;13.0;0.01
1438;Total shallow geothermal energy;Heat;2000;286.0;0.01;17.0;0.01
1439;Total shallow geothermal energy;Heat;2001;354.0;0.01;21.0;0.01
1440;Total shallow geothermal energy;Heat;2002;453.0;0.01;26.0;0.01
1441;Total shallow geothermal energy;Heat;2003;549.0;0.02;32.0;0.02
1442;Total shallow geothermal energy;Heat;2004;670.0;0.02;37.0;0.02
1443;Total shallow geothermal energy;Heat;2005;848.0;0.03;46.0;0.03
1444;Total shallow geothermal energy;Heat;2006;1085.0;0.03;58.0;0.03
1445;Total shallow geothermal energy;Heat;2007;1305.0;0.04;68.0;0.04
1446;Total shallow geothermal energy;Heat;2008;1616.0;0.05;84.0;0.05
1447;Total shallow geothermal energy;Heat;2009;1969.0;0.06;102.0;0.06
1448;Total shallow geothermal energy;Heat;2010;2383.0;0.07;125.0;0.07
1449;Total shallow geothermal energy;Heat;2011;2618.0;0.08;136.0;0.08
1450;Total shallow geothermal energy;Heat;2012;2841.0;0.09;141.0;0.08
1451;Total shallow geothermal energy;Heat;2013;3097.0;0.1;149.0;0.09
1452;Total shallow geothermal energy;Heat;2014;3149.0;0.1;147.0;0.09
1453;Total shallow geothermal energy;Heat;2015;3243.0;0.1;135.0;0.08
1454;Total shallow geothermal energy;Heat;2016;3601.0;0.11;170.0;0.1
1455;Total shallow geothermal energy;Heat;2017;3956.0;0.12;193.0;0.12
1456;Total shallow geothermal energy;Heat;2018;4173.0;0.13;208.0;0.13
1457;Total shallow geothermal energy;Heat;2019;4469.0;0.15;236.0;0.15
1458;Total shallow geothermal energy;Heat;2020;5014.0;0.17;282.0;0.2
1459;Total shallow geothermal energy;Heat;2021;5110.0;0.17;268.0;0.19
1460;Total shallow geothermal energy;Heat;2022;5365.0;0.18;281.0;0.2
1461;Total shallow geothermal energy;Heat;2023;5855.0;0.2;330.0;0.26
1462;Total shallow geothermal energy;Transport;1990;;;;
1463;Total shallow geothermal energy;Transport;1991;;;;
1464;Total shallow geothermal energy;Transport;1992;;;;
1465;Total shallow geothermal energy;Transport;1993;;;;
1466;Total shallow geothermal energy;Transport;1994;;;;
1467;Total shallow geothermal energy;Transport;1995;;;;
1468;Total shallow geothermal energy;Transport;1996;;;;
1469;Total shallow geothermal energy;Transport;1997;;;;
1470;Total shallow geothermal energy;Transport;1998;;;;
1471;Total shallow geothermal energy;Transport;1999;;;;
1472;Total shallow geothermal energy;Transport;2000;;;;
1473;Total shallow geothermal energy;Transport;2001;;;;
1474;Total shallow geothermal energy;Transport;2002;;;;
1475;Total shallow geothermal energy;Transport;2003;;;;
1476;Total shallow geothermal energy;Transport;2004;;;;
1477;Total shallow geothermal energy;Transport;2005;;;;
1478;Total shallow geothermal energy;Transport;2006;;;;
1479;Total shallow geothermal energy;Transport;2007;;;;
1480;Total shallow geothermal energy;Transport;2008;;;;
1481;Total shallow geothermal energy;Transport;2009;;;;
1482;Total shallow geothermal energy;Transport;2010;;;;
1483;Total shallow geothermal energy;Transport;2011;;;;
1484;Total shallow geothermal energy;Transport;2012;;;;
1485;Total shallow geothermal energy;Transport;2013;;;;
1486;Total shallow geothermal energy;Transport;2014;;;;
1487;Total shallow geothermal energy;Transport;2015;;;;
1488;Total shallow geothermal energy;Transport;2016;;;;
1489;Total shallow geothermal energy;Transport;2017;;;;
1490;Total shallow geothermal energy;Transport;2018;;;;
1491;Total shallow geothermal energy;Transport;2019;;;;
1492;Total shallow geothermal energy;Transport;2020;;;;
1493;Total shallow geothermal energy;Transport;2021;;;;
1494;Total shallow geothermal energy;Transport;2022;;;;
1495;Total shallow geothermal energy;Transport;2023;;;;
1496;Shallow geothermal heat, total;Total energy applications;1990;;;;
1497;Shallow geothermal heat, total;Total energy applications;1991;1.0;0.0;0.0;0.0
1498;Shallow geothermal heat, total;Total energy applications;1992;2.0;0.0;0.0;0.0
1499;Shallow geothermal heat, total;Total energy applications;1993;4.0;0.0;0.0;0.0
1500;Shallow geothermal heat, total;Total energy applications;1994;27.0;0.0;1.0;0.0
1501;Shallow geothermal heat, total;Total energy applications;1995;31.0;0.0;2.0;0.0
1502;Shallow geothermal heat, total;Total energy applications;1996;38.0;0.0;2.0;0.0
1503;Shallow geothermal heat, total;Total energy applications;1997;55.0;0.0;3.0;0.0
1504;Shallow geothermal heat, total;Total energy applications;1998;82.0;0.0;4.0;0.0
1505;Shallow geothermal heat, total;Total energy applications;1999;105.0;0.0;5.0;0.0
1506;Shallow geothermal heat, total;Total energy applications;2000;133.0;0.0;6.0;0.0
1507;Shallow geothermal heat, total;Total energy applications;2001;159.0;0.0;7.0;0.0
1508;Shallow geothermal heat, total;Total energy applications;2002;199.0;0.01;8.0;0.0
1509;Shallow geothermal heat, total;Total energy applications;2003;245.0;0.01;10.0;0.01
1510;Shallow geothermal heat, total;Total energy applications;2004;331.0;0.01;14.0;0.01
1511;Shallow geothermal heat, total;Total energy applications;2005;443.0;0.01;18.0;0.01
1512;Shallow geothermal heat, total;Total energy applications;2006;588.0;0.02;24.0;0.01
1513;Shallow geothermal heat, total;Total energy applications;2007;777.0;0.02;32.0;0.02
1514;Shallow geothermal heat, total;Total energy applications;2008;987.0;0.03;40.0;0.02
1515;Shallow geothermal heat, total;Total energy applications;2009;1236.0;0.04;52.0;0.03
1516;Shallow geothermal heat, total;Total energy applications;2010;1507.0;0.04;66.0;0.04
1517;Shallow geothermal heat, total;Total energy applications;2011;1747.0;0.05;77.0;0.05
1518;Shallow geothermal heat, total;Total energy applications;2012;1873.0;0.06;72.0;0.04
1519;Shallow geothermal heat, total;Total energy applications;2013;2086.0;0.07;74.0;0.04
1520;Shallow geothermal heat, total;Total energy applications;2014;2169.0;0.07;74.0;0.05
1521;Shallow geothermal heat, total;Total energy applications;2015;2293.0;0.07;66.0;0.04
1522;Shallow geothermal heat, total;Total energy applications;2016;2547.0;0.08;88.0;0.05
1523;Shallow geothermal heat, total;Total energy applications;2017;2814.0;0.09;108.0;0.07
1524;Shallow geothermal heat, total;Total energy applications;2018;3072.0;0.1;128.0;0.08
1525;Shallow geothermal heat, total;Total energy applications;2019;3405.0;0.11;168.0;0.11
1526;Shallow geothermal heat, total;Total energy applications;2020;3775.0;0.13;212.0;0.15
1527;Shallow geothermal heat, total;Total energy applications;2021;3845.0;0.12;189.0;0.13
1528;Shallow geothermal heat, total;Total energy applications;2022;4055.0;0.14;198.0;0.14
1529;Shallow geothermal heat, total;Total energy applications;2023;4536.0;0.16;246.0;0.19
1530;Shallow geothermal heat, total;Electricity;1990;;;;
1531;Shallow geothermal heat, total;Electricity;1991;;;;
1532;Shallow geothermal heat, total;Electricity;1992;;;;
1533;Shallow geothermal heat, total;Electricity;1993;;;;
1534;Shallow geothermal heat, total;Electricity;1994;;;;
1535;Shallow geothermal heat, total;Electricity;1995;;;;
1536;Shallow geothermal heat, total;Electricity;1996;;;;
1537;Shallow geothermal heat, total;Electricity;1997;;;;
1538;Shallow geothermal heat, total;Electricity;1998;;;;
1539;Shallow geothermal heat, total;Electricity;1999;;;;
1540;Shallow geothermal heat, total;Electricity;2000;;;;
1541;Shallow geothermal heat, total;Electricity;2001;;;;
1542;Shallow geothermal heat, total;Electricity;2002;;;;
1543;Shallow geothermal heat, total;Electricity;2003;;;;
1544;Shallow geothermal heat, total;Electricity;2004;;;;
1545;Shallow geothermal heat, total;Electricity;2005;;;;
1546;Shallow geothermal heat, total;Electricity;2006;;;;
1547;Shallow geothermal heat, total;Electricity;2007;;;;
1548;Shallow geothermal heat, total;Electricity;2008;;;;
1549;Shallow geothermal heat, total;Electricity;2009;;;;
1550;Shallow geothermal heat, total;Electricity;2010;;;;
1551;Shallow geothermal heat, total;Electricity;2011;;;;
1552;Shallow geothermal heat, total;Electricity;2012;;;;
1553;Shallow geothermal heat, total;Electricity;2013;;;;
1554;Shallow geothermal heat, total;Electricity;2014;;;;
1555;Shallow geothermal heat, total;Electricity;2015;;;;
1556;Shallow geothermal heat, total;Electricity;2016;;;;
1557;Shallow geothermal heat, total;Electricity;2017;;;;
1558;Shallow geothermal heat, total;Electricity;2018;;;;
1559;Shallow geothermal heat, total;Electricity;2019;;;;
1560;Shallow geothermal heat, total;Electricity;2020;;;;
1561;Shallow geothermal heat, total;Electricity;2021;;;;
1562;Shallow geothermal heat, total;Electricity;2022;;;;
1563;Shallow geothermal heat, total;Electricity;2023;;;;
1564;Shallow geothermal heat, total;Heat;1990;;;;
1565;Shallow geothermal heat, total;Heat;1991;1.0;0.0;0.0;0.0
1566;Shallow geothermal heat, total;Heat;1992;2.0;0.0;0.0;0.0
1567;Shallow geothermal heat, total;Heat;1993;4.0;0.0;0.0;0.0
1568;Shallow geothermal heat, total;Heat;1994;27.0;0.0;1.0;0.0
1569;Shallow geothermal heat, total;Heat;1995;31.0;0.0;2.0;0.0
1570;Shallow geothermal heat, total;Heat;1996;38.0;0.0;2.0;0.0
1571;Shallow geothermal heat, total;Heat;1997;55.0;0.0;3.0;0.0
1572;Shallow geothermal heat, total;Heat;1998;82.0;0.0;4.0;0.0
1573;Shallow geothermal heat, total;Heat;1999;105.0;0.0;5.0;0.0
1574;Shallow geothermal heat, total;Heat;2000;133.0;0.0;6.0;0.0
1575;Shallow geothermal heat, total;Heat;2001;159.0;0.0;7.0;0.0
1576;Shallow geothermal heat, total;Heat;2002;199.0;0.01;8.0;0.0
1577;Shallow geothermal heat, total;Heat;2003;245.0;0.01;10.0;0.01
1578;Shallow geothermal heat, total;Heat;2004;331.0;0.01;14.0;0.01
1579;Shallow geothermal heat, total;Heat;2005;443.0;0.01;18.0;0.01
1580;Shallow geothermal heat, total;Heat;2006;588.0;0.02;24.0;0.01
1581;Shallow geothermal heat, total;Heat;2007;777.0;0.02;32.0;0.02
1582;Shallow geothermal heat, total;Heat;2008;987.0;0.03;40.0;0.02
1583;Shallow geothermal heat, total;Heat;2009;1236.0;0.04;52.0;0.03
1584;Shallow geothermal heat, total;Heat;2010;1507.0;0.04;66.0;0.04
1585;Shallow geothermal heat, total;Heat;2011;1747.0;0.05;77.0;0.05
1586;Shallow geothermal heat, total;Heat;2012;1873.0;0.06;72.0;0.04
1587;Shallow geothermal heat, total;Heat;2013;2086.0;0.07;74.0;0.04
1588;Shallow geothermal heat, total;Heat;2014;2169.0;0.07;74.0;0.05
1589;Shallow geothermal heat, total;Heat;2015;2293.0;0.07;66.0;0.04
1590;Shallow geothermal heat, total;Heat;2016;2547.0;0.08;88.0;0.05
1591;Shallow geothermal heat, total;Heat;2017;2814.0;0.09;108.0;0.07
1592;Shallow geothermal heat, total;Heat;2018;3072.0;0.1;128.0;0.08
1593;Shallow geothermal heat, total;Heat;2019;3405.0;0.11;168.0;0.11
1594;Shallow geothermal heat, total;Heat;2020;3775.0;0.13;212.0;0.15
1595;Shallow geothermal heat, total;Heat;2021;3845.0;0.12;189.0;0.13
1596;Shallow geothermal heat, total;Heat;2022;4055.0;0.14;198.0;0.14
1597;Shallow geothermal heat, total;Heat;2023;4536.0;0.16;246.0;0.19
1598;Shallow geothermal heat, total;Transport;1990;;;;
1599;Shallow geothermal heat, total;Transport;1991;;;;
1600;Shallow geothermal heat, total;Transport;1992;;;;
1601;Shallow geothermal heat, total;Transport;1993;;;;
1602;Shallow geothermal heat, total;Transport;1994;;;;
1603;Shallow geothermal heat, total;Transport;1995;;;;
1604;Shallow geothermal heat, total;Transport;1996;;;;
1605;Shallow geothermal heat, total;Transport;1997;;;;
1606;Shallow geothermal heat, total;Transport;1998;;;;
1607;Shallow geothermal heat, total;Transport;1999;;;;
1608;Shallow geothermal heat, total;Transport;2000;;;;
1609;Shallow geothermal heat, total;Transport;2001;;;;
1610;Shallow geothermal heat, total;Transport;2002;;;;
1611;Shallow geothermal heat, total;Transport;2003;;;;
1612;Shallow geothermal heat, total;Transport;2004;;;;
1613;Shallow geothermal heat, total;Transport;2005;;;;
1614;Shallow geothermal heat, total;Transport;2006;;;;
1615;Shallow geothermal heat, total;Transport;2007;;;;
1616;Shallow geothermal heat, total;Transport;2008;;;;
1617;Shallow geothermal heat, total;Transport;2009;;;;
1618;Shallow geothermal heat, total;Transport;2010;;;;
1619;Shallow geothermal heat, total;Transport;2011;;;;
1620;Shallow geothermal heat, total;Transport;2012;;;;
1621;Shallow geothermal heat, total;Transport;2013;;;;
1622;Shallow geothermal heat, total;Transport;2014;;;;
1623;Shallow geothermal heat, total;Transport;2015;;;;
1624;Shallow geothermal heat, total;Transport;2016;;;;
1625;Shallow geothermal heat, total;Transport;2017;;;;
1626;Shallow geothermal heat, total;Transport;2018;;;;
1627;Shallow geothermal heat, total;Transport;2019;;;;
1628;Shallow geothermal heat, total;Transport;2020;;;;
1629;Shallow geothermal heat, total;Transport;2021;;;;
1630;Shallow geothermal heat, total;Transport;2022;;;;
1631;Shallow geothermal heat, total;Transport;2023;;;;
1632;Shallow geothermal heat, heat pumps;Total energy applications;1990;;;;
1633;Shallow geothermal heat, heat pumps;Total energy applications;1991;;;;
1634;Shallow geothermal heat, heat pumps;Total energy applications;1992;;;;
1635;Shallow geothermal heat, heat pumps;Total energy applications;1993;;;;
1636;Shallow geothermal heat, heat pumps;Total energy applications;1994;23.0;0.0;1.0;0.0
1637;Shallow geothermal heat, heat pumps;Total energy applications;1995;24.0;0.0;1.0;0.0
1638;Shallow geothermal heat, heat pumps;Total energy applications;1996;27.0;0.0;1.0;0.0
1639;Shallow geothermal heat, heat pumps;Total energy applications;1997;39.0;0.0;2.0;0.0
1640;Shallow geothermal heat, heat pumps;Total energy applications;1998;58.0;0.0;2.0;0.0
1641;Shallow geothermal heat, heat pumps;Total energy applications;1999;72.0;0.0;3.0;0.0
1642;Shallow geothermal heat, heat pumps;Total energy applications;2000;91.0;0.0;3.0;0.0
1643;Shallow geothermal heat, heat pumps;Total energy applications;2001;105.0;0.0;4.0;0.0
1644;Shallow geothermal heat, heat pumps;Total energy applications;2002;135.0;0.0;5.0;0.0
1645;Shallow geothermal heat, heat pumps;Total energy applications;2003;170.0;0.01;6.0;0.0
1646;Shallow geothermal heat, heat pumps;Total energy applications;2004;247.0;0.01;9.0;0.0
1647;Shallow geothermal heat, heat pumps;Total energy applications;2005;339.0;0.01;13.0;0.01
1648;Shallow geothermal heat, heat pumps;Total energy applications;2006;460.0;0.01;16.0;0.01
1649;Shallow geothermal heat, heat pumps;Total energy applications;2007;644.0;0.02;24.0;0.01
1650;Shallow geothermal heat, heat pumps;Total energy applications;2008;830.0;0.03;31.0;0.02
1651;Shallow geothermal heat, heat pumps;Total energy applications;2009;1064.0;0.03;42.0;0.02
1652;Shallow geothermal heat, heat pumps;Total energy applications;2010;1312.0;0.04;55.0;0.03
1653;Shallow geothermal heat, heat pumps;Total energy applications;2011;1582.0;0.05;67.0;0.04
1654;Shallow geothermal heat, heat pumps;Total energy applications;2012;1700.0;0.05;62.0;0.04
1655;Shallow geothermal heat, heat pumps;Total energy applications;2013;1908.0;0.06;64.0;0.04
1656;Shallow geothermal heat, heat pumps;Total energy applications;2014;2007.0;0.07;65.0;0.04
1657;Shallow geothermal heat, heat pumps;Total energy applications;2015;2138.0;0.07;57.0;0.03
1658;Shallow geothermal heat, heat pumps;Total energy applications;2016;2374.0;0.08;78.0;0.05
1659;Shallow geothermal heat, heat pumps;Total energy applications;2017;2645.0;0.08;98.0;0.06
1660;Shallow geothermal heat, heat pumps;Total energy applications;2018;2905.0;0.09;118.0;0.07
1661;Shallow geothermal heat, heat pumps;Total energy applications;2019;3241.0;0.11;158.0;0.1
1662;Shallow geothermal heat, heat pumps;Total energy applications;2020;3590.0;0.12;201.0;0.15
1663;Shallow geothermal heat, heat pumps;Total energy applications;2021;3658.0;0.12;178.0;0.12
1664;Shallow geothermal heat, heat pumps;Total energy applications;2022;3865.0;0.13;187.0;0.13
1665;Shallow geothermal heat, heat pumps;Total energy applications;2023;4346.0;0.15;236.0;0.18
1666;Shallow geothermal heat, heat pumps;Electricity;1990;;;;
1667;Shallow geothermal heat, heat pumps;Electricity;1991;;;;
1668;Shallow geothermal heat, heat pumps;Electricity;1992;;;;
1669;Shallow geothermal heat, heat pumps;Electricity;1993;;;;
