ID;Afzetgebieden;AlleProdComCoderingen;Perioden;ProducentenprijsindexPPI_1;MaandmutatiePPI_2;JaarmutatiePPI_3
305;Totaal afzetprijzen;051 Steenkool;2020 januari;;;
306;Totaal afzetprijzen;051 Steenkool;2020 februari;;;
307;Totaal afzetprijzen;051 Steenkool;2020 maart;;;
308;Totaal afzetprijzen;051 Steenkool;2020 april;;;
309;Totaal afzetprijzen;051 Steenkool;2020 mei;;;
310;Totaal afzetprijzen;051 Steenkool;2020 juni;;;
311;Totaal afzetprijzen;051 Steenkool;2020 juli;;;
312;Totaal afzetprijzen;051 Steenkool;2020 augustus;;;
313;Totaal afzetprijzen;051 Steenkool;2020 september;;;
314;Totaal afzetprijzen;051 Steenkool;2020 oktober;;;
315;Totaal afzetprijzen;051 Steenkool;2020 november;;;
316;Totaal afzetprijzen;051 Steenkool;2020 december;;;
317;Totaal afzetprijzen;051 Steenkool;2020;;;
318;Totaal afzetprijzen;051 Steenkool;2021 januari;;;
319;Totaal afzetprijzen;051 Steenkool;2021 februari;;;
320;Totaal afzetprijzen;051 Steenkool;2021 maart;;;
321;Totaal afzetprijzen;051 Steenkool;2021 april;;;
322;Totaal afzetprijzen;051 Steenkool;2021 mei;;;
323;Totaal afzetprijzen;051 Steenkool;2021 juni;;;
324;Totaal afzetprijzen;051 Steenkool;2021 juli;;;
