ID;EconomicActivityNCEA2008;Periods;TotalNumberOfEnterprises_1;k_1PersonEmployed_2;k_2PersonsEmployed_3;k_3To5PersonsEmployed_4;k_5To10PersonsEmployed_5;k_10To20PersonsEmployed_6;k_20To50PersonsEmployed_7;k_50To100PersonsEmployed_8;k_100PersonsEmployedOrMore_9;PrivateLegalForms_10;PublicLegalForms_11
2978;46442 Wholesale of detergents, cleaners;2009;330;175;55;30;30;20;15;5;0;195;135
2979;46442 Wholesale of detergents, cleaners;2010;320;170;50;30;30;20;15;5;0;180;135
2980;4645 Wholesale of perfume and cosmetics;2006;580;260;145;45;55;30;35;10;10;315;265
2981;4645 Wholesale of perfume and cosmetics;2007;605;270;125;60;60;35;35;10;10;325;275
2982;4645 Wholesale of perfume and cosmetics;2008;630;320;110;70;55;30;30;10;5;345;290
2983;4645 Wholesale of perfume and cosmetics;2009;660;345;110;65;60;35;35;10;5;355;305
2984;4645 Wholesale of perfume and cosmetics;2010;650;330;120;60;60;30;40;10;5;345;305
2985;46461 Wholesale of pharmaceutical goods;2006;570;240;100;45;50;35;50;25;25;185;385
2986;46461 Wholesale of pharmaceutical goods;2007;590;235;95;65;55;35;55;25;25;185;405
2987;46461 Wholesale of pharmaceutical goods;2008;580;245;110;50;50;30;60;20;20;180;405
2988;46461 Wholesale of pharmaceutical goods;2009;580;255;95;50;40;35;55;20;25;170;410
2989;46461 Wholesale of pharmaceutical goods;2010;580;275;85;50;40;30;55;20;25;155;425
2990;46462 Wholesale of medical instruments;2006;1050;350;220;110;120;100;100;30;20;340;710
2991;46462 Wholesale of medical instruments;2007;1130;370;205;135;160;110;95;35;20;355;775
2992;46462 Wholesale of medical instruments;2008;1160;430;195;130;150;105;95;30;20;355;805
2993;46462 Wholesale of medical instruments;2009;1215;485;175;150;140;105;105;35;25;355;860
2994;46462 Wholesale of medical instruments;2010;1185;485;165;140;130;100;100;35;25;340;845
2995;46471 Wholesale of home furniture;2006;1105;480;310;130;90;55;30;5;0;600;500
2996;46471 Wholesale of home furniture;2007;1135;515;250;145;115;65;35;5;0;610;525
2997;46471 Wholesale of home furniture;2008;1150;555;255;145;100;60;25;5;0;615;535
2998;46471 Wholesale of home furniture;2009;1190;605;245;145;95;70;20;10;5;635;555
2999;46471 Wholesale of home furniture;2010;1160;595;235;140;90;65;20;5;5;605;555
3000;46472 Wholesale of carpets;2006;460;155;115;60;60;40;20;10;0;210;250
3001;46472 Wholesale of carpets;2007;480;180;80;85;60;40;25;5;0;220;260
3002;46472 Wholesale of carpets;2008;480;190;90;75;50;40;25;5;5;215;265
3003;46472 Wholesale of carpets;2009;480;205;75;65;65;35;30;5;5;215;265
3004;46472 Wholesale of carpets;2010;480;205;80;65;65;35;30;5;5;215;265
3005;46473 Wholesale of articles for lighting;2006;320;130;80;35;40;25;15;0;0;155;165
3006;46473 Wholesale of articles for lighting;2007;315;125;55;50;40;30;10;5;0;150;165
3007;46473 Wholesale of articles for lighting;2008;325;140;60;40;35;30;10;0;0;150;170
3008;46473 Wholesale of articles for lighting;2009;340;155;55;45;35;35;15;0;0;160;180
3009;46473 Wholesale of articles for lighting;2010;345;160;55;45;35;35;15;0;0;160;185
3010;4648 Wholesale of watches and jewellery;2006;410;215;95;45;25;10;10;5;0;255;155
3011;4648 Wholesale of watches and jewellery;2007;420;215;90;50;30;15;15;5;0;260;160
3012;4648 Wholesale of watches and jewellery;2008;435;245;90;45;25;15;15;5;0;275;160
3013;4648 Wholesale of watches and jewellery;2009;455;265;80;45;30;15;15;5;5;290;165
3014;4648 Wholesale of watches and jewellery;2010;450;265;80;45;30;10;15;5;5;285;165
3015;46491 Wholesale of bicycles and mopeds;2006;310;140;75;30;25;15;20;0;0;180;130
3016;46491 Wholesale of bicycles and mopeds;2007;340;155;70;40;35;15;15;5;0;195;140
3017;46491 Wholesale of bicycles and mopeds;2008;355;175;80;35;30;15;10;5;0;210;145
3018;46491 Wholesale of bicycles and mopeds;2009;390;200;85;40;30;15;15;5;0;230;155
3019;46491 Wholesale of bicycles and mopeds;2010;395;205;95;35;30;10;15;5;0;235;160
3020;46492 Wholesale of water sport goods;2006;295;150;80;30;20;10;5;0;0;180;115
3021;46492 Wholesale of water sport goods;2007;325;170;75;40;25;10;5;0;0;200;130
3022;46492 Wholesale of water sport goods;2008;355;195;80;40;20;5;5;0;0;210;140
3023;46492 Wholesale of water sport goods;2009;370;210;80;40;20;10;5;0;0;220;150
3024;46492 Wholesale of water sport goods;2010;365;210;80;35;20;10;5;0;0;220;145
3025;46493 Wholesale of camping goods;2006;145;65;25;20;20;10;5;0;0;65;75
3026;46493 Wholesale of camping goods;2007;155;70;25;20;20;15;5;0;0;75;80
3027;46493 Wholesale of camping goods;2008;150;70;20;25;15;15;10;0;0;75;80
3028;46493 Wholesale of camping goods;2009;155;75;20;20;20;10;10;0;0;75;80
3029;46493 Wholesale of camping goods;2010;155;80;20;20;20;10;5;0;0;75;80
3030;46494 Wholesale of toys;2006;330;150;75;45;30;15;10;5;0;180;145
3031;46494 Wholesale of toys;2007;355;160;70;45;40;20;10;5;0;195;160
3032;46494 Wholesale of toys;2008;375;180;70;55;30;20;15;0;0;210;165
3033;46494 Wholesale of toys;2009;390;200;75;50;30;15;15;5;0;215;175
3034;46494 Wholesale of toys;2010;395;210;70;45;30;15;15;5;0;215;180
3035;46495 Wholesale of musical instruments;2006;145;70;40;20;10;5;5;0;0;100;45
3036;46495 Wholesale of musical instruments;2007;150;75;30;20;10;5;5;0;0;100;50
3037;46495 Wholesale of musical instruments;2008;150;75;30;20;10;10;0;0;0;95;50
3038;46495 Wholesale of musical instruments;2009;150;85;35;15;10;10;0;0;0;95;55
3039;46495 Wholesale of musical instruments;2010;150;80;35;15;10;10;0;0;0;100;55
3040;46496 Wholesale of other sports goods;2006;740;355;195;65;50;40;25;5;0;470;270
3041;46496 Wholesale of other sports goods;2007;775;400;165;80;60;35;30;5;0;490;285
3042;46496 Wholesale of other sports goods;2008;810;410;185;90;55;40;20;5;0;505;305
3043;46496 Wholesale of other sports goods;2009;815;430;165;100;55;30;25;5;5;500;315
3044;46496 Wholesale of other sports goods;2010;800;430;160;95;50;30;25;5;5;485;315
3045;46497 Wholesale of paper(board) goods;2006;95;30;30;10;15;5;5;0;0;40;50
3046;46497 Wholesale of paper(board) goods;2007;95;30;20;10;20;10;5;0;0;40;50
3047;46497 Wholesale of paper(board) goods;2008;95;30;20;10;25;5;5;0;0;40;55
3048;46497 Wholesale of paper(board) goods;2009;100;35;20;20;15;5;5;0;0;40;60
3049;46497 Wholesale of paper(board) goods;2010;95;35;20;20;15;5;5;0;0;40;60
3050;46498 Wholesale of printed matter;2006;420;205;100;40;35;25;15;5;5;255;165
3051;46498 Wholesale of printed matter;2007;430;215;85;45;45;25;15;5;5;260;170
3052;46498 Wholesale of printed matter;2008;435;230;85;35;40;25;10;5;5;260;170
3053;46498 Wholesale of printed matter;2009;455;240;85;30;45;30;15;0;5;270;180
3054;46498 Wholesale of printed matter;2010;435;225;85;30;45;25;15;5;5;250;180
3055;46499 Wholesale of other consumer goods;2006;2695;1220;740;250;235;110;85;30;20;1680;1015
3056;46499 Wholesale of other consumer goods;2007;2815;1345;595;335;265;125;105;25;20;1755;1060
3057;46499 Wholesale of other consumer goods;2008;2880;1465;625;305;225;120;95;25;15;1780;1105
3058;46499 Wholesale of other consumer goods;2009;2920;1555;550;310;225;125;95;35;20;1775;1145
3059;46499 Wholesale of other consumer goods;2010;2875;1545;530;320;220;120;95;35;15;1720;1155
3060;465 Wholesale of ICT-equipment;2006;5370;2370;980;555;610;405;300;80;65;2355;3015
3061;465 Wholesale of ICT-equipment;2007;5530;2430;820;645;735;425;320;90;65;2400;3130
3062;465 Wholesale of ICT-equipment;2008;5580;2615;850;635;610;425;300;75;65;2385;3195
3063;465 Wholesale of ICT-equipment;2009;5720;2780;770;650;565;450;350;85;70;2395;3325
3064;465 Wholesale of ICT-equipment;2010;5615;2765;760;630;545;425;340;85;70;2300;3315
3065;4651 Wholesale of computers and software;2006;3440;1670;655;335;340;225;145;40;35;1690;1745
3066;4651 Wholesale of computers and software;2007;3570;1740;540;400;410;240;165;45;35;1740;1830
3067;4651 Wholesale of computers and software;2008;3590;1850;560;370;335;245;150;40;35;1720;1875
3068;4651 Wholesale of computers and software;2009;3665;1935;510;395;315;250;180;35;45;1705;1960
3069;4651 Wholesale of computers and software;2010;3570;1905;495;390;305;230;170;35;40;1635;1940
3070;4652 Wholesale of other electronics;2006;1935;705;330;225;270;180;155;40;30;665;1270
3071;4652 Wholesale of other electronics;2007;1960;695;280;240;325;185;155;45;30;660;1300
3072;4652 Wholesale of other electronics;2008;1990;765;290;265;280;180;145;35;30;665;1320
3073;4652 Wholesale of other electronics;2009;2055;850;260;250;250;200;170;55;25;690;1365
3074;4652 Wholesale of other electronics;2010;2040;855;260;245;245;195;165;50;25;665;1375
3075;466 Wholesale of other machinery;2006;8790;3005;1665;1125;1240;890;610;155;100;3385;5410
3076;466 Wholesale of other machinery;2007;9140;3135;1425;1265;1395;980;650;185;105;3485;5655
3077;466 Wholesale of other machinery;2008;9390;3555;1515;1295;1235;905;620;170;90;3575;5815
3078;466 Wholesale of other machinery;2009;9705;3875;1395;1275;1250;920;695;190;105;3660;6045
3079;466 Wholesale of other machinery;2010;9590;3895;1380;1235;1215;900;685;180;100;3525;6065
3080;4661 Wholesale of agricultural machinery;2006;950;325;170;120;165;100;60;5;5;500;450
3081;4661 Wholesale of agricultural machinery;2007;965;345;155;115;165;115;60;5;5;510;455
3082;4661 Wholesale of agricultural machinery;2008;985;380;150;140;150;100;60;5;5;510;475
3083;4661 Wholesale of agricultural machinery;2009;1015;410;140;120;155;110;75;5;5;525;495
3084;4661 Wholesale of agricultural machinery;2010;1005;405;145;115;150;105;75;5;0;515;490
3085;4662 Wholesale of machine tools;2006;585;190;105;80;95;65;35;5;0;215;370
3086;4662 Wholesale of machine tools;2007;595;195;85;85;100;75;40;5;5;215;375
3087;4662 Wholesale of machine tools;2008;595;220;90;85;90;70;40;5;0;225;370
3088;4662 Wholesale of machine tools;2009;620;235;85;80;90;65;55;5;0;220;400
3089;4662 Wholesale of machine tools;2010;610;230;90;80;90;65;50;5;0;215;395
3090;4663 Wholesale of construction machinery;2006;370;150;65;40;40;40;25;5;5;120;250
3091;4663 Wholesale of construction machinery;2007;395;155;50;55;50;45;30;5;5;125;270
3092;4663 Wholesale of construction machinery;2008;425;185;60;50;50;35;35;5;5;135;290
3093;4663 Wholesale of construction machinery;2009;435;210;45;40;55;35;35;10;5;135;300
3094;4663 Wholesale of construction machinery;2010;425;205;45;40;55;35;35;10;5;130;300
3095;4664 Wholesale of machinery for textiles;2006;45;10;15;5;10;5;0;0;0;15;30
3096;4664 Wholesale of machinery for textiles;2007;45;10;10;5;10;5;0;0;0;15;30
3097;4664 Wholesale of machinery for textiles;2008;45;15;5;10;5;5;0;0;0;15;30
3098;4664 Wholesale of machinery for textiles;2009;45;20;5;10;5;5;0;0;0;20;30
3099;4664 Wholesale of machinery for textiles;2010;45;20;5;10;5;5;0;0;0;20;30
3100;4665 Wholesale of office furniture;2006;585;205;115;80;85;65;30;5;5;225;360
3101;4665 Wholesale of office furniture;2007;585;210;85;100;90;65;30;10;5;225;360
3102;4665 Wholesale of office furniture;2008;600;230;100;105;80;50;25;5;0;230;370
3103;4665 Wholesale of office furniture;2009;630;250;95;110;85;60;25;10;5;235;395
3104;4665 Wholesale of office furniture;2010;625;250;95;105;85;60;25;5;5;220;405
3105;4666 Wholesale of office machinery;2006;345;100;65;50;45;30;25;15;15;145;195
3106;4666 Wholesale of office machinery;2007;335;105;45;55;50;30;25;10;15;140;195
3107;4666 Wholesale of office machinery;2008;335;115;50;55;50;25;15;10;15;135;200
3108;4666 Wholesale of office machinery;2009;330;105;50;50;45;30;15;15;15;125;200
3109;4666 Wholesale of office machinery;2010;315;105;50;50;40;30;15;10;10;120;195
3110;46681 Wholesale of printing machines;2006;145;45;25;15;30;10;15;0;5;35;110
3111;46681 Wholesale of printing machines;2007;150;40;20;25;25;15;15;5;5;35;115
3112;46681 Wholesale of printing machines;2008;150;45;20;25;20;15;15;0;5;30;120
3113;46681 Wholesale of printing machines;2009;145;50;20;20;25;15;15;0;5;35;115
3114;46681 Wholesale of printing machines;2010;140;45;20;20;20;15;15;0;5;35;105
3115;46682 Wholesale food processing machines;2006;370;150;70;55;45;30;20;0;0;170;200
3116;46682 Wholesale food processing machines;2007;390;160;65;50;50;35;25;5;0;180;210
3117;46682 Wholesale food processing machines;2008;395;180;60;60;40;35;20;0;0;185;210
3118;46682 Wholesale food processing machines;2009;405;175;65;55;50;35;20;5;0;190;210
3119;46682 Wholesale food processing machines;2010;390;165;65;55;50;35;20;5;0;175;210
3120;46691 Wholesale of internal transport;2006;360;95;50;40;65;50;40;10;10;100;260
3121;46691 Wholesale of internal transport;2007;375;105;40;45;60;60;45;15;10;100;275
3122;46691 Wholesale of internal transport;2008;390;120;50;45;55;55;40;15;5;105;285
3123;46691 Wholesale of internal transport;2009;395;130;40;55;50;60;40;15;10;110;290
3124;46691 Wholesale of internal transport;2010;395;130;40;50;50;60;40;15;10;100;295
3125;46692 Wholesale heat and cool equipment;2006;485;145;85;65;80;50;40;10;10;150;335
3126;46692 Wholesale heat and cool equipment;2007;500;150;80;70;85;55;40;15;10;155;345
3127;46692 Wholesale heat and cool equipment;2008;510;165;80;65;85;60;35;10;5;150;355
3128;46692 Wholesale heat and cool equipment;2009;505;175;75;70;70;60;30;20;5;155;350
3129;46692 Wholesale heat and cool equipment;2010;490;180;65;65;65;55;30;20;5;140;350
3130;46693 Wholesale of engines and pumps;2006;340;90;65;45;50;45;25;10;10;85;255
3131;46693 Wholesale of engines and pumps;2007;350;85;60;45;55;50;30;10;10;90;260
3132;46693 Wholesale of engines and pumps;2008;355;105;55;50;50;45;30;10;10;90;260
3133;46693 Wholesale of engines and pumps;2009;375;120;50;45;50;50;35;15;10;95;280
3134;46693 Wholesale of engines and pumps;2010;365;120;50;40;50;45;35;15;10;90;275
3135;46694 Wholesale of industrial equipment;2006;790;240;135;100;115;85;80;20;10;240;550
3136;46694 Wholesale of industrial equipment;2007;815;240;110;105;150;90;85;25;15;240;575
3137;46694 Wholesale of industrial equipment;2008;815;260;110;125;115;90;80;25;15;235;580
3138;46694 Wholesale of industrial equipment;2009;845;295;110;105;120;90;90;25;15;235;610
3139;46694 Wholesale of industrial equipment;2010;835;300;105;100;110;85;85;30;15;230;610
3140;46695 Wholesale of measuring equipment;2006;560;175;95;85;85;50;50;20;10;150;410
3141;46695 Wholesale of measuring equipment;2007;580;175;85;80;105;55;45;20;10;150;430
3142;46695 Wholesale of measuring equipment;2008;580;195;90;80;100;55;40;25;10;160;425
3143;46695 Wholesale of measuring equipment;2009;590;205;80;90;85;55;55;20;10;160;430
3144;46695 Wholesale of measuring equipment;2010;590;215;80;90;80;50;55;15;10;155;435
3145;46696 Wholesale of packaging;2006;790;260;175;110;115;80;35;10;5;320;465
3146;46696 Wholesale of packaging;2007;835;270;145;135;130;90;40;15;5;325;510
3147;46696 Wholesale of packaging;2008;850;320;160;115;110;90;45;15;5;340;515
3148;46696 Wholesale of packaging;2009;880;355;140;120;110;90;50;15;5;350;525
3149;46696 Wholesale of packaging;2010;860;350;135;115;105;90;50;10;5;340;520
3150;46697 Wholesale of articles for ships;2006;280;100;50;40;40;25;15;5;0;85;195
3151;46697 Wholesale of articles for ships;2007;280;100;40;40;45;35;15;5;0;85;195
3152;46697 Wholesale of articles for ships;2008;295;115;40;40;40;30;25;5;0;85;210
3153;46697 Wholesale of articles for ships;2009;295;115;35;35;45;35;25;5;0;90;205
3154;46697 Wholesale of articles for ships;2010;300;125;35;35;45;35;25;5;0;85;220
3155;46699 Wholesale of other machines n.e.c.;2006;1795;720;390;200;180;150;110;30;15;825;965
3156;46699 Wholesale of other machines n.e.c.;2007;1945;790;350;260;225;155;115;30;15;895;1055
3157;46699 Wholesale of other machines n.e.c.;2008;2070;915;390;245;205;150;115;35;15;950;1120
3158;46699 Wholesale of other machines n.e.c.;2009;2190;1020;365;265;215;140;130;35;15;985;1205
3159;46699 Wholesale of other machines n.e.c.;2010;2190;1055;355;260;210;135;125;35;15;960;1230
3160;467 Other specialised wholesale;2006;8530;2870;1695;1140;1210;790;575;150;95;3360;5170
3161;467 Other specialised wholesale;2007;8850;2965;1415;1340;1360;890;620;160;100;3480;5370
3162;467 Other specialised wholesale;2008;9020;3350;1505;1305;1195;845;575;145;95;3570;5450
3163;467 Other specialised wholesale;2009;9385;3680;1445;1265;1240;880;590;185;105;3685;5700
3164;467 Other specialised wholesale;2010;9265;3695;1445;1225;1205;845;570;180;105;3585;5675
3165;46711 Wholesale of solid fuels;2006;40;15;5;5;5;0;5;0;0;15;25
3166;46711 Wholesale of solid fuels;2007;35;10;5;10;5;0;5;0;0;10;25
3167;46711 Wholesale of solid fuels;2008;40;10;5;5;5;5;5;0;0;10;25
3168;46711 Wholesale of solid fuels;2009;45;15;5;10;5;0;5;0;0;15;30
3169;46711 Wholesale of solid fuels;2010;45;15;10;10;5;0;5;0;0;15;30
3170;46712 Wholesale of other fuels;2006;235;60;30;25;40;30;30;5;10;50;180
3171;46712 Wholesale of other fuels;2007;245;60;25;40;40;35;30;10;5;45;200
3172;46712 Wholesale of other fuels;2008;240;65;30;30;40;30;30;10;5;45;200
3173;46712 Wholesale of other fuels;2009;255;65;30;35;45;30;30;10;5;50;205
3174;46712 Wholesale of other fuels;2010;245;65;25;35;40;30;30;10;5;45;200
3175;46713 Wholesale of mineral oils, no fuel;2006;140;45;25;20;15;10;15;0;0;50;90
3176;46713 Wholesale of mineral oils, no fuel;2007;145;50;25;25;20;10;15;0;0;50;95
3177;46713 Wholesale of mineral oils, no fuel;2008;140;60;20;20;15;10;10;0;0;50;90
3178;46713 Wholesale of mineral oils, no fuel;2009;150;65;15;25;20;15;10;5;0;55;95
3179;46713 Wholesale of mineral oils, no fuel;2010;155;65;20;25;20;15;10;5;0;55;100
3180;46721 Wholesale of metal ores;2006;35;20;10;5;0;0;0;0;0;15;20
3181;46721 Wholesale of metal ores;2007;35;20;5;5;5;0;0;0;0;15;20
3182;46721 Wholesale of metal ores;2008;40;20;5;5;0;5;0;0;0;15;20
3183;46721 Wholesale of metal ores;2009;35;20;5;5;0;0;0;0;0;15;20
3184;46721 Wholesale of metal ores;2010;40;20;10;5;0;0;0;0;0;15;25
3185;46722 Wholesale of ferrous metals;2006;455;155;75;50;60;50;40;10;10;130;325
3186;46722 Wholesale of ferrous metals;2007;470;145;70;70;70;50;45;10;10;130;340
3187;46722 Wholesale of ferrous metals;2008;490;170;75;70;70;45;50;5;10;140;350
3188;46722 Wholesale of ferrous metals;2009;510;180;70;65;75;50;55;10;10;140;375
3189;46722 Wholesale of ferrous metals;2010;505;180;70;65;75;45;50;15;10;130;375
3190;46723 Wholesale of non-ferrous metals;2006;140;35;35;15;25;15;10;5;0;40;100
3191;46723 Wholesale of non-ferrous metals;2007;145;40;25;20;30;15;10;5;0;40;105
3192;46723 Wholesale of non-ferrous metals;2008;145;55;20;20;25;15;10;5;0;40;105
3193;46723 Wholesale of non-ferrous metals;2009;145;55;15;15;30;15;5;10;0;45;105
3194;46723 Wholesale of non-ferrous metals;2010;150;60;20;15;30;15;5;10;0;45;105
3195;46731 Wholesale of wood and board;2006;950;315;205;150;125;80;55;10;10;385;565
3196;46731 Wholesale of wood and board;2007;960;345;145;145;155;90;60;15;10;390;575
3197;46731 Wholesale of wood and board;2008;985;380;165;140;135;95;50;10;10;400;590
3198;46731 Wholesale of wood and board;2009;1020;395;170;135;140;105;45;20;10;405;610
3199;46731 Wholesale of wood and board;2010;1000;400;165;130;130;100;45;20;10;390;610
3200;46732 Wholesale of paints;2006;290;70;55;35;50;30;30;10;5;85;200
3201;46732 Wholesale of paints;2007;290;70;40;45;60;25;30;10;5;85;205
3202;46732 Wholesale of paints;2008;295;80;55;40;45;40;25;10;5;85;215
3203;46732 Wholesale of paints;2009;320;95;50;50;50;30;25;10;5;90;230
3204;46732 Wholesale of paints;2010;320;95;50;50;45;30;25;10;5;95;225
3205;46733 Wholesale of wallpaper;2006;25;5;5;5;5;5;0;0;0;5;20
3206;46733 Wholesale of wallpaper;2007;25;10;5;5;5;5;0;0;0;5;15
3207;46733 Wholesale of wallpaper;2008;20;10;5;5;5;5;0;0;0;5;15
3208;46733 Wholesale of wallpaper;2009;25;10;0;5;5;5;5;0;0;5;20
3209;46733 Wholesale of wallpaper;2010;25;10;0;5;5;5;5;0;0;5;20
3210;46734 Wholesale of flat glass;2006;200;35;25;35;50;25;15;5;0;60;140
3211;46734 Wholesale of flat glass;2007;215;45;20;40;55;35;15;5;0;70;150
3212;46734 Wholesale of flat glass;2008;215;55;25;35;50;35;10;5;0;65;150
3213;46734 Wholesale of flat glass;2009;225;55;25;35;50;40;15;0;5;65;160
3214;46734 Wholesale of flat glass;2010;230;60;25;35;50;40;10;0;5;70;160
3215;46735 Wholesale of sand and gravel;2006;255;70;60;35;40;30;15;5;0;115;140
3216;46735 Wholesale of sand and gravel;2007;245;70;45;45;40;30;15;5;0;105;135
3217;46735 Wholesale of sand and gravel;2008;235;70;40;40;35;30;10;0;0;100;130
3218;46735 Wholesale of sand and gravel;2009;245;85;35;40;35;35;15;0;0;100;145
3219;46735 Wholesale of sand and gravel;2010;240;90;30;40;35;30;10;0;0;95;145
3220;46736 Wholesale of tiles and flags;2006;175;55;50;25;30;10;5;0;0;95;80
3221;46736 Wholesale of tiles and flags;2007;185;60;40;30;30;15;5;0;0;95;85
3222;46736 Wholesale of tiles and flags;2008;200;75;45;40;25;10;5;0;0;110;90
3223;46736 Wholesale of tiles and flags;2009;205;80;40;35;30;10;5;0;0;110;95
3224;46736 Wholesale of tiles and flags;2010;200;75;45;35;25;10;5;0;0;100;100
3225;46737 Wholesale of sanitary equipment;2006;315;105;50;50;45;30;30;5;5;105;210
3226;46737 Wholesale of sanitary equipment;2007;335;100;50;50;55;35;30;5;5;115;215
3227;46737 Wholesale of sanitary equipment;2008;325;110;60;50;40;30;25;10;5;120;205
3228;46737 Wholesale of sanitary equipment;2009;335;130;45;50;45;25;25;10;5;120;220
3229;46737 Wholesale of sanitary equipment;2010;330;125;45;50;45;25;25;10;5;110;215
3230;46738 Wholesale other construction goods;2006;1415;505;310;190;205;125;55;20;5;590;825
3231;46738 Wholesale other construction goods;2007;1480;515;280;215;240;145;60;20;5;615;860
3232;46738 Wholesale other construction goods;2008;1520;585;275;225;215;125;75;20;5;630;890
3233;46738 Wholesale other construction goods;2009;1580;635;265;215;220;135;80;25;5;650;925
3234;46738 Wholesale other construction goods;2010;1570;660;265;205;215;130;70;20;5;640;930
3235;46739 Wholesale various building goods;2006;710;260;110;90;90;70;60;15;15;230;480
3236;46739 Wholesale various building goods;2007;760;285;100;110;95;80;60;15;15;260;500
3237;46739 Wholesale various building goods;2008;790;300;125;110;100;75;55;10;15;265;525
3238;46739 Wholesale various building goods;2009;825;340;135;90;100;70;60;15;15;275;550
3239;46739 Wholesale various building goods;2010;810;340;130;85;95;65;55;15;15;255;555
3240;46741 Wholesale of hardware;2006;795;245;150;90;120;80;70;25;15;315;480
3241;46741 Wholesale of hardware;2007;810;250;125;105;105;105;75;30;15;330;480
3242;46741 Wholesale of hardware;2008;810;280;135;90;95;90;70;25;15;330;480
3243;46741 Wholesale of hardware;2009;840;325;115;85;100;95;70;30;20;345;490
3244;46741 Wholesale of hardware;2010;825;320;115;85;100;90;70;30;20;335;485
3245;46742 Wholesale of heating equipment;2006;130;40;30;20;10;10;10;5;5;55;70
3246;46742 Wholesale of heating equipment;2007;135;45;20;25;15;10;15;5;5;55;80
3247;46742 Wholesale of heating equipment;2008;140;60;20;25;10;10;5;5;5;55;85
3248;46742 Wholesale of heating equipment;2009;150;60;20;25;15;10;5;5;5;60;95
3249;46742 Wholesale of heating equipment;2010;145;60;25;20;15;10;5;5;5;60;90
3250;46751 Wholesale of industrial chemicals;2006;750;285;140;90;100;60;55;10;5;210;540
3251;46751 Wholesale of industrial chemicals;2007;785;275;130;120;105;70;65;10;10;215;570
3252;46751 Wholesale of industrial chemicals;2008;780;315;120;100;95;70;50;10;10;225;555
3253;46751 Wholesale of industrial chemicals;2009;810;350;120;90;100;75;50;15;10;220;590
3254;46751 Wholesale of industrial chemicals;2010;790;345;125;85;95;75;50;15;10;220;575
3255;46752 Wholesale agrochemical products;2006;215;70;55;25;30;20;15;5;0;95;120
3256;46752 Wholesale agrochemical products;2007;230;75;45;30;35;25;15;5;0;100;130
3257;46752 Wholesale agrochemical products;2008;240;80;45;35;30;20;15;5;0;100;140
3258;46752 Wholesale agrochemical products;2009;250;95;40;40;20;25;15;5;0;95;150
3259;46752 Wholesale agrochemical products;2010;250;105;40;40;20;20;15;5;0;95;155
3260;46761 Wholesale of textile raw materials;2006;60;25;20;5;5;5;0;0;0;15;45
3261;46761 Wholesale of textile raw materials;2007;60;20;15;10;5;5;0;0;0;15;45
3262;46761 Wholesale of textile raw materials;2008;65;25;20;5;10;5;0;0;0;20;50
3263;46761 Wholesale of textile raw materials;2009;60;30;15;5;5;10;0;0;0;20;45
3264;46761 Wholesale of textile raw materials;2010;60;30;15;5;5;10;0;0;0;20;45
3265;46762 Wholesale of paper and paperboard;2006;130;45;25;15;25;10;5;0;5;45;85
3266;46762 Wholesale of paper and paperboard;2007;135;45;15;20;30;10;5;0;5;40;90
3267;46762 Wholesale of paper and paperboard;2008;130;50;20;20;20;10;5;0;5;40;90
3268;46762 Wholesale of paper and paperboard;2009;135;50;15;25;20;10;5;0;5;45;90
3269;46762 Wholesale of paper and paperboard;2010;125;45;15;25;20;10;5;0;5;45;85
3270;46769 Wholesale intermediary products;2006;50;25;5;5;5;5;5;0;0;10;40
3271;46769 Wholesale intermediary products;2007;55;20;10;5;10;5;5;0;0;15;40
3272;46769 Wholesale intermediary products;2008;60;25;10;5;5;5;5;0;0;15;45
3273;46769 Wholesale intermediary products;2009;55;25;5;5;10;5;0;0;0;15;45
3274;46769 Wholesale intermediary products;2010;55;20;5;5;5;5;5;0;0;10;45
3275;46771 Wholesale reusable parts of cars;2006;370;110;110;75;55;20;5;0;0;270;100
3276;46771 Wholesale reusable parts of cars;2007;380;125;80;85;65;20;5;0;0;285;100
3277;46771 Wholesale reusable parts of cars;2008;375;130;90;90;55;10;5;0;0;285;90
3278;46771 Wholesale reusable parts of cars;2009;375;125;85;90;60;10;10;0;0;275;100
3279;46771 Wholesale reusable parts of cars;2010;375;120;90;90;55;10;10;0;0;270;105
3280;46772 Wholesale of metal waste;2006;420;200;75;50;45;30;20;0;0;280;140
3281;46772 Wholesale of metal waste;2007;455;230;60;50;55;35;25;0;0;310;150
3282;46772 Wholesale of metal waste;2008;500;270;70;65;35;35;25;0;0;340;160
3283;46772 Wholesale of metal waste;2009;560;320;75;55;45;35;25;5;0;395;165
3284;46772 Wholesale of metal waste;2010;555;320;75;55;45;35;25;5;0;390;165
3285;46779 Wholesale of other waste and scrap;2006;240;70;40;30;30;35;25;5;0;90;155
3286;46779 Wholesale of other waste and scrap;2007;240;65;35;35;40;35;30;5;0;80;155
3287;46779 Wholesale of other waste and scrap;2008;235;75;30;35;35;30;30;5;0;80;155
3288;46779 Wholesale of other waste and scrap;2009;230;75;30;30;30;35;30;5;0;80;150
3289;46779 Wholesale of other waste and scrap;2010;225;75;30;30;25;30;30;5;0;80;145
3290;469 Non-specialised wholesale;2006;1550;925;405;115;60;25;15;0;5;1050;500
3291;469 Non-specialised wholesale;2007;1690;1030;375;155;75;35;15;0;5;1115;575
3292;469 Non-specialised wholesale;2008;1780;1135;390;135;70;25;15;5;5;1130;655
