ID;Vogelsoorten;Perioden;Index_1;TrendGehelePeriode_2;TrendLaatste10Jaar_3
367;120;1982;5.0;.                             ;.                             
368;120;1983;;.                             ;.                             
369;120;1984;;.                             ;.                             
370;120;1985;14.0;.                             ;.                             
371;120;1986;12.0;.                             ;.                             
372;120;1987;20.0;.                             ;.                             
373;120;1988;24.0;.                             ;.                             
374;120;1989;34.0;.                             ;.                             
375;120;1990;22.0;.                             ;.                             
376;120;1991;24.0;.                             ;.                             
377;120;1992;24.0;.                             ;.                             
378;120;1993;24.0;.                             ;.                             
379;120;1994;48.0;.                             ;.                             
380;120;1995;63.0;.                             ;.                             
381;120;1996;53.0;.                             ;.                             
382;120;1997;70.0;.                             ;.                             
383;120;1998;88.0;.                             ;.                             
384;120;1999;86.0;.                             ;.                             
385;120;2000;100.0;.                             ;.                             
386;120;2001;137.0;.                             ;.                             
387;120;2002;137.0;.                             ;.                             
388;120;2003;170.0;.                             ;.                             
389;120;2004;136.0;Sterke toename                ;Sterke toename                
390;4850;1975;46.0;.                             ;.                             
391;4850;1976;62.0;.                             ;.                             
392;4850;1977;40.0;.                             ;.                             
393;4850;1978;36.0;.                             ;.                             
394;4850;1979;52.0;.                             ;.                             
395;4850;1980;49.0;.                             ;.                             
396;4850;1981;60.0;.                             ;.                             
397;4850;1982;45.0;.                             ;.                             
398;4850;1983;36.0;.                             ;.                             
399;4850;1984;69.0;.                             ;.                             
400;4850;1985;36.0;.                             ;.                             
401;4850;1986;76.0;.                             ;.                             
402;4850;1987;48.0;.                             ;.                             
403;4850;1988;92.0;.                             ;.                             
404;4850;1989;53.0;.                             ;.                             
405;4850;1990;87.0;.                             ;.                             
406;4850;1991;48.0;.                             ;.                             
407;4850;1992;70.0;.                             ;.                             
408;4850;1993;66.0;.                             ;.                             
409;4850;1994;102.0;.                             ;.                             
410;4850;1995;60.0;.                             ;.                             
411;4850;1996;65.0;.                             ;.                             
412;4850;1997;85.0;.                             ;.                             
413;4850;1998;70.0;.                             ;.                             
414;4850;1999;107.0;.                             ;.                             
415;4850;2000;100.0;.                             ;.                             
416;4850;2001;97.0;.                             ;.                             
417;4850;2002;75.0;.                             ;.                             
418;4850;2003;99.0;.                             ;.                             
419;4850;2004;82.0;Matige toename                ;Matige toename                
420;1610;1975;14.0;.                             ;.                             
421;1610;1976;23.0;.                             ;.                             
422;1610;1977;17.0;.                             ;.                             
423;1610;1978;13.0;.                             ;.                             
424;1610;1979;17.0;.                             ;.                             
425;1610;1980;16.0;.                             ;.                             
426;1610;1981;19.0;.                             ;.                             
427;1610;1982;22.0;.                             ;.                             
428;1610;1983;18.0;.                             ;.                             
429;1610;1984;27.0;.                             ;.                             
430;1610;1985;19.0;.                             ;.                             
431;1610;1986;26.0;.                             ;.                             
432;1610;1987;28.0;.                             ;.                             
433;1610;1988;27.0;.                             ;.                             
434;1610;1989;27.0;.                             ;.                             
435;1610;1990;34.0;.                             ;.                             
436;1610;1991;33.0;.                             ;.                             
437;1610;1992;36.0;.                             ;.                             
438;1610;1993;41.0;.                             ;.                             
439;1610;1994;54.0;.                             ;.                             
440;1610;1995;56.0;.                             ;.                             
441;1610;1996;51.0;.                             ;.                             
442;1610;1997;62.0;.                             ;.                             
443;1610;1998;70.0;.                             ;.                             
444;1610;1999;88.0;.                             ;.                             
445;1610;2000;100.0;.                             ;.                             
446;1610;2001;114.0;.                             ;.                             
447;1610;2002;134.0;.                             ;.                             
448;1610;2003;133.0;.                             ;.                             
449;1610;2004;147.0;Sterke toename                ;Sterke toename                
450;5480;1975;72.0;.                             ;.                             
451;5480;1976;73.0;.                             ;.                             
452;5480;1977;89.0;.                             ;.                             
453;5480;1978;70.0;.                             ;.                             
454;5480;1979;77.0;.                             ;.                             
455;5480;1980;68.0;.                             ;.                             
456;5480;1981;53.0;.                             ;.                             
457;5480;1982;56.0;.                             ;.                             
458;5480;1983;56.0;.                             ;.                             
459;5480;1984;55.0;.                             ;.                             
460;5480;1985;48.0;.                             ;.                             
461;5480;1986;82.0;.                             ;.                             
462;5480;1987;55.0;.                             ;.                             
463;5480;1988;56.0;.                             ;.                             
464;5480;1989;56.0;.                             ;.                             
465;5480;1990;61.0;.                             ;.                             
466;5480;1991;87.0;.                             ;.                             
