ID;SBI93;Perioden;Bedrijven_1;AantalWerkzamePersonenEindSeptember_2;TotWerkzamePersonenFTEEindSeptember_3;AantalWerknemersVanDeEigenLoonlijst_4;AantalFTEWerknemersOpEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaalNettoOmzet_7;TotaalDetailhandelsomzet_8;VerkoopInWinkel_9;VerkoopNietInWinkel_10;OverigeNettoOmzet_11;OverigeBedrijfsopbrengsten_12;TotaleBedrijfslasten_13;InkoopwaardeOmzet_14;TotaalArbeidskosten_15;BrutoLonenEnSalarissen_16;PensioenLasten_17;SocialeLasten_18;AfschrijvingenOpVasteActiva_19;TotaalOverigeKosten_20;AnderePersoneelskosten_21;Verkoopkosten_22;HuisvestingskostenInclEnergieverbruik_23;KostenVanDienstverleningDoorDerden_24;KostenInventaris_25;KostenVervoermiddelen_26;OverigeBedrijfslastenNEG_27;Bedrijfsresultaat_28;FinancieleBaten_29;FinancieleLasten_30;FinancieelResultaat_31;OnttrekkingenVrijvalVanVoorzieningen_32;ToevoegingenAanVoorzieningen_33;SaldoVoorzieningen_34;BuitengewoneBaten_35;BuitengewoneLasten_36;SaldoBuitengewoneBatenMinusLasten_37;ResultaatVoorBelastingen_38;Brutowinst_39
77;52424 Winkels in kleding alg assortiment;2002;2475;42.3;26.3;39.5;23.6;3738.0;3676.0;3587.0;3513.0;74.0;89.0;62.0;3523.0;2042.0;607.0;498.0;27.0;83.0;134.0;740.0;37.0;121.0;384.0;46.0;13.0;23.0;115.0;215.0;19.0;53.0;-34.0;2.0;2.0;0.0;23.0;13.0;10.0;191.0;1634.0
78;52427 Winkels in textiel algem ass.;2000;315;7.8;4.1;7.5;4.0;537.0;531.0;436.0;435.0;1.0;95.0;5.0;502.0;329.0;80.0;67.0;2.0;11.0;10.0;83.0;7.0;18.0;45.0;4.0;2.0;4.0;4.0;35.0;3.0;6.0;-2.0;0.0;0.0;0.0;5.0;1.0;3.0;36.0;202.0
79;52427 Winkels in textiel algem ass.;2001;255;7.3;4.0;7.0;3.7;526.0;522.0;434.0;433.0;1.0;87.0;5.0;491.0;315.0;82.0;69.0;2.0;11.0;11.0;81.0;7.0;17.0;46.0;3.0;2.0;2.0;5.0;36.0;4.0;7.0;-3.0;0.0;0.0;0.0;3.0;1.0;1.0;35.0;207.0
80;52427 Winkels in textiel algem ass.;2002;245;7.5;4.8;7.2;4.4;611.0;606.0;484.0;478.0;6.0;123.0;4.0;562.0;368.0;91.0;74.0;5.0;13.0;11.0;93.0;8.0;16.0;51.0;4.0;4.0;4.0;6.0;49.0;6.0;8.0;-2.0;0.0;0.0;0.0;2.0;0.0;2.0;50.0;239.0
81;52431 Winkels in schoeisel;2000;1465;20.3;11.6;19.2;10.6;1501.0;1488.0;1468.0;1435.0;33.0;20.0;13.0;1365.0;869.0;209.0;176.0;7.0;27.0;39.0;247.0;13.0;48.0;134.0;15.0;7.0;9.0;22.0;136.0;5.0;19.0;-13.0;0.0;0.0;0.0;4.0;3.0;0.0;123.0;619.0
82;52431 Winkels in schoeisel;2001;1455;21.6;12.6;20.0;11.2;1550.0;1536.0;1513.0;1488.0;27.0;23.0;14.0;1419.0;883.0;229.0;192.0;8.0;29.0;42.0;266.0;13.0;49.0;146.0;16.0;7.0;9.0;27.0;131.0;4.0;21.0;-16.0;1.0;0.0;0.0;0.0;1.0;-1.0;114.0;653.0
83;52431 Winkels in schoeisel;2002;1375;23.3;13.4;21.4;11.6;1633.0;1619.0;1609.0;1606.0;3.0;9.0;14.0;1499.0;921.0;251.0;209.0;10.0;33.0;46.0;281.0;12.0;44.0;163.0;19.0;5.0;9.0;29.0;134.0;3.0;17.0;-15.0;0.0;0.0;0.0;1.0;2.0;1.0;118.0;698.0
84;52432 Winkels in lederwaren, reisart.;2000;245;1.4;1.0;1.3;0.8;103.0;102.0;102.0;99.0;4.0;0.0;1.0;94.0;55.0;17.0;15.0;0.0;2.0;3.0;20.0;0.0;3.0;11.0;1.0;0.0;1.0;3.0;9.0;0.0;1.0;-1.0;0.0;0.0;0.0;1.0;0.0;1.0;8.0;48.0
85;52432 Winkels in lederwaren, reisart.;2001;250;1.6;1.0;1.4;0.8;112.0;112.0;112.0;109.0;3.0;0.0;0.0;100.0;61.0;16.0;13.0;1.0;2.0;3.0;20.0;0.0;3.0;12.0;1.0;0.0;1.0;3.0;12.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;51.0
86;52432 Winkels in lederwaren, reisart.;2002;240;1.8;1.0;1.3;0.8;107.0;107.0;107.0;102.0;4.0;0.0;1.0;96.0;61.0;13.0;10.0;0.0;3.0;3.0;18.0;2.0;1.0;10.0;1.0;0.0;1.0;2.0;12.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;46.0
87;52441 Winkels in meubels;2000;1755;18.2;14.2;16.5;12.5;2860.0;2832.0;2722.0;2618.0;104.0;110.0;28.0;2674.0;1751.0;383.0;312.0;20.0;50.0;62.0;478.0;33.0;147.0;166.0;27.0;13.0;28.0;65.0;186.0;11.0;31.0;-20.0;5.0;2.0;3.0;20.0;4.0;16.0;184.0;1081.0
88;52441 Winkels in meubels;2001;1835;19.0;14.5;17.6;12.9;3018.0;2972.0;2845.0;2787.0;58.0;127.0;48.0;2844.0;1856.0;407.0;329.0;26.0;51.0;70.0;511.0;29.0;150.0;189.0;36.0;17.0;28.0;62.0;175.0;12.0;32.0;-20.0;1.0;5.0;-3.0;16.0;4.0;11.0;163.0;1116.0
89;52441 Winkels in meubels;2002;1785;18.7;14.4;16.5;12.5;2904.0;2855.0;2736.0;2685.0;51.0;119.0;49.0;2766.0;1782.0;407.0;328.0;28.0;53.0;70.0;506.0;27.0;156.0;186.0;35.0;14.0;28.0;59.0;138.0;10.0;34.0;-24.0;1.0;2.0;-1.0;20.0;1.0;19.0;132.0;1073.0
90;52443 Winkels in verlichtingsartikelen;2000;340;1.4;1.1;1.1;0.8;154.0;154.0;153.0;129.0;24.0;1.0;0.0;139.0;90.0;19.0;16.0;1.0;2.0;3.0;28.0;1.0;4.0;16.0;1.0;0.0;1.0;4.0;16.0;0.0;2.0;-1.0;0.0;0.0;0.0;0.0;1.0;-1.0;13.0;64.0
91;52443 Winkels in verlichtingsartikelen;2001;350;1.3;1.0;1.0;0.8;155.0;154.0;154.0;154.0;0.0;0.0;0.0;141.0;89.0;20.0;16.0;2.0;2.0;3.0;30.0;1.0;5.0;16.0;3.0;0.0;1.0;4.0;13.0;1.0;2.0;-1.0;0.0;0.0;0.0;1.0;1.0;0.0;12.0;65.0
92;52443 Winkels in verlichtingsartikelen;2002;330;1.2;0.9;0.9;0.6;147.0;146.0;142.0;140.0;2.0;4.0;1.0;129.0;80.0;18.0;15.0;0.0;2.0;3.0;29.0;1.0;4.0;16.0;3.0;0.0;2.0;4.0;17.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;66.0
93;52444 Winkels in woninginricht alg ass.;2000;1290;9.5;7.4;8.3;6.1;1129.0;1126.0;1079.0;968.0;111.0;47.0;3.0;1060.0;686.0;161.0;130.0;7.0;24.0;34.0;178.0;13.0;43.0;68.0;10.0;7.0;13.0;22.0;69.0;7.0;13.0;-6.0;0.0;1.0;-1.0;7.0;4.0;4.0;66.0;439.0
94;52444 Winkels in woninginricht alg ass.;2001;1330;9.7;8.2;8.0;6.2;1166.0;1162.0;1111.0;1086.0;26.0;51.0;4.0;1080.0;704.0;169.0;136.0;11.0;22.0;33.0;175.0;15.0;40.0;68.0;11.0;5.0;15.0;22.0;86.0;2.0;13.0;-11.0;0.0;0.0;0.0;2.0;2.0;0.0;75.0;459.0
95;52444 Winkels in woninginricht alg ass.;2002;1265;9.3;7.4;7.5;5.9;1125.0;1118.0;1058.0;1032.0;26.0;61.0;7.0;1036.0;666.0;160.0;127.0;12.0;21.0;35.0;176.0;15.0;39.0;68.0;10.0;3.0;17.0;25.0;89.0;5.0;11.0;-7.0;1.0;1.0;0.0;0.0;2.0;-2.0;79.0;452.0
96;5244b Winkels in woningtextiel e.d.;2000;1495;7.8;6.6;6.1;5.1;862.0;856.0;835.0;789.0;45.0;22.0;5.0;786.0;482.0;140.0;113.0;8.0;19.0;24.0;142.0;13.0;33.0;49.0;11.0;3.0;12.0;20.0;76.0;5.0;11.0;-7.0;0.0;10.0;-9.0;2.0;3.0;0.0;59.0;375.0
97;5244b Winkels in woningtextiel e.d.;2001;1445;7.4;6.3;5.7;4.7;803.0;798.0;782.0;757.0;25.0;16.0;5.0;743.0;440.0;137.0;111.0;8.0;18.0;20.0;144.0;12.0;31.0;56.0;13.0;3.0;12.0;19.0;61.0;2.0;11.0;-9.0;1.0;1.0;0.0;4.0;6.0;-3.0;49.0;358.0
98;5244b Winkels in woningtextiel e.d.;2002;1335;6.9;5.8;5.1;4.3;765.0;756.0;742.0;706.0;36.0;13.0;9.0;718.0;406.0;132.0;106.0;7.0;19.0;22.0;158.0;16.0;31.0;61.0;12.0;3.0;13.0;21.0;47.0;3.0;10.0;-7.0;0.0;2.0;-2.0;2.0;6.0;-4.0;34.0;350.0
99;5244i Winkels in huishoudelijke art.;2000;1455;17.2;11.5;15.5;10.1;1540.0;1522.0;1276.0;1253.0;23.0;247.0;18.0;1443.0;981.0;209.0;174.0;6.0;29.0;32.0;221.0;14.0;50.0;108.0;17.0;3.0;10.0;19.0;98.0;5.0;12.0;-7.0;0.0;0.0;0.0;1.0;3.0;-3.0;88.0;541.0
100;5244i Winkels in huishoudelijke art.;2001;1400;17.9;11.9;15.9;10.0;1597.0;1576.0;1334.0;1321.0;12.0;243.0;21.0;1489.0;1021.0;213.0;178.0;5.0;29.0;35.0;221.0;13.0;51.0;113.0;14.0;3.0;9.0;17.0;109.0;5.0;13.0;-9.0;0.0;1.0;0.0;6.0;2.0;5.0;104.0;555.0
101;5244i Winkels in huishoudelijke art.;2002;1255;17.8;11.3;16.0;9.9;1592.0;1573.0;1313.0;1280.0;34.0;260.0;19.0;1500.0;1011.0;228.0;189.0;9.0;30.0;36.0;225.0;20.0;47.0;115.0;18.0;3.0;7.0;14.0;92.0;9.0;14.0;-6.0;0.0;2.0;-2.0;5.0;3.0;2.0;87.0;562.0
102;5244c Winkels glas,aardewk.+ov.huish.art;2000;605;2.0;1.4;1.6;1.0;180.0;180.0;180.0;170.0;10.0;0.0;1.0;161.0;99.0;23.0;20.0;0.0;3.0;4.0;37.0;2.0;8.0;12.0;6.0;0.0;1.0;7.0;19.0;0.0;2.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;81.0
103;5244c Winkels glas,aardewk.+ov.huish.art;2001;575;2.0;1.3;1.5;0.9;180.0;179.0;179.0;174.0;5.0;0.0;1.0;160.0;107.0;21.0;17.0;0.0;3.0;4.0;28.0;0.0;9.0;12.0;1.0;1.0;1.0;4.0;20.0;0.0;2.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;72.0
104;5244c Winkels glas,aardewk.+ov.huish.art;2002;520;1.8;1.2;1.4;0.9;162.0;162.0;160.0;152.0;9.0;1.0;1.0;160.0;99.0;22.0;18.0;1.0;3.0;5.0;34.0;8.0;8.0;11.0;2.0;1.0;1.0;3.0;3.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;63.0
105;52447 Winkels in huish art alg ass.;2000;850;15.2;10.1;13.9;9.1;1360.0;1342.0;1096.0;1083.0;13.0;246.0;17.0;1281.0;883.0;186.0;154.0;5.0;27.0;27.0;185.0;13.0;41.0;96.0;10.0;2.0;9.0;12.0;78.0;5.0;10.0;-4.0;0.0;0.0;0.0;1.0;3.0;-3.0;71.0;460.0
106;52447 Winkels in huish art alg ass.;2001;825;16.0;10.6;14.4;9.1;1418.0;1397.0;1154.0;1146.0;8.0;242.0;20.0;1329.0;914.0;192.0;160.0;5.0;26.0;31.0;192.0;13.0;44.0;102.0;12.0;2.0;7.0;12.0;88.0;4.0;12.0;-7.0;0.0;1.0;-1.0;6.0;2.0;5.0;84.0;483.0
107;52447 Winkels in huish art alg ass.;2002;735;16.0;10.1;14.8;9.0;1429.0;1412.0;1152.0;1128.0;25.0;258.0;19.0;1340.0;912.0;206.0;170.0;8.0;27.0;32.0;191.0;12.0;40.0;104.0;16.0;2.0;6.0;12.0;89.0;7.0;12.0;-5.0;0.0;2.0;-1.0;5.0;3.0;2.0;84.0;499.0
108;5245c Winkels in wit- en bruingoed;2000;1685;16.3;13.4;14.8;12.1;3131.0;3113.0;2985.0;2961.0;24.0;127.0;19.0;2991.0;2326.0;293.0;247.0;11.0;36.0;52.0;321.0;22.0;90.0;117.0;25.0;4.0;19.0;44.0;140.0;7.0;21.0;-14.0;1.0;2.0;-1.0;11.0;6.0;5.0;129.0;786.0
109;5245c Winkels in wit- en bruingoed;2001;1680;17.2;14.2;15.0;12.1;3119.0;3099.0;2985.0;2880.0;105.0;114.0;20.0;3009.0;2349.0;302.0;255.0;10.0;37.0;55.0;301.0;23.0;72.0;111.0;27.0;4.0;18.0;47.0;111.0;9.0;30.0;-23.0;1.0;3.0;-2.0;4.0;2.0;2.0;89.0;750.0
110;5245c Winkels in wit- en bruingoed;2002;1560;16.4;13.5;14.4;11.7;3066.0;3038.0;2929.0;2894.0;35.0;110.0;28.0;2968.0;2298.0;309.0;255.0;16.0;38.0;56.0;306.0;26.0;72.0;112.0;26.0;5.0;20.0;45.0;98.0;12.0;26.0;-13.0;2.0;3.0;-1.0;5.0;5.0;0.0;83.0;740.0
111;52453 Winkels in geluidsdragers;2000;650;4.1;2.7;3.5;2.1;468.0;461.0;427.0;418.0;8.0;35.0;5.0;436.0;322.0;44.0;38.0;2.0;6.0;9.0;60.0;4.0;12.0;24.0;4.0;2.0;2.0;13.0;31.0;9.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0;140.0
112;52453 Winkels in geluidsdragers;2001;635;4.1;3.0;3.8;2.6;456.0;451.0;412.0;394.0;18.0;39.0;4.0;433.0;298.0;57.0;49.0;2.0;7.0;11.0;67.0;5.0;9.0;31.0;5.0;2.0;2.0;15.0;23.0;2.0;5.0;-3.0;0.0;0.0;0.0;1.0;0.0;1.0;20.0;154.0
113;52453 Winkels in geluidsdragers;2002;585;4.1;2.9;3.6;2.2;429.0;429.0;410.0;406.0;4.0;19.0;1.0;404.0;287.0;49.0;40.0;2.0;6.0;9.0;60.0;2.0;7.0;29.0;6.0;2.0;1.0;13.0;25.0;0.0;3.0;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;141.0
114;52454 Winkels in ov elektr huish app.;2000;210;1.9;1.5;1.7;1.3;291.0;282.0;281.0;274.0;7.0;1.0;9.0;277.0;202.0;31.0;27.0;0.0;4.0;7.0;36.0;5.0;8.0;11.0;3.0;2.0;2.0;7.0;15.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;3.0;-3.0;10.0;79.0
115;52454 Winkels in ov elektr huish app.;2001;260;2.5;2.0;2.1;1.6;353.0;344.0;342.0;327.0;15.0;1.0;9.0;354.0;254.0;40.0;35.0;1.0;5.0;9.0;52.0;6.0;13.0;16.0;2.0;1.0;2.0;11.0;-2.0;1.0;2.0;-2.0;0.0;0.0;0.0;1.0;0.0;1.0;-3.0;91.0
116;52454 Winkels in ov elektr huish app.;2002;300;2.9;2.5;2.2;1.8;433.0;426.0;388.0;375.0;13.0;38.0;8.0;419.0;307.0;41.0;35.0;1.0;5.0;12.0;58.0;8.0;8.0;23.0;2.0;1.0;3.0;13.0;14.0;0.0;5.0;-4.0;0.0;0.0;0.0;1.0;1.0;0.0;10.0;118.0
117;52457 Winkels in muziekinstrumenten;2000;395;1.1;0.9;0.8;0.6;166.0;166.0;153.0;117.0;36.0;13.0;0.0;151.0;109.0;18.0;14.0;0.0;2.0;3.0;21.0;0.0;4.0;6.0;2.0;0.0;1.0;8.0;14.0;0.0;3.0;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;57.0
118;52457 Winkels in muziekinstrumenten;2001;385;1.6;1.4;0.8;0.7;169.0;169.0;159.0;140.0;19.0;10.0;1.0;151.0;109.0;18.0;14.0;1.0;2.0;3.0;20.0;1.0;4.0;7.0;2.0;1.0;2.0;4.0;18.0;0.0;3.0;-3.0;0.0;0.0;0.0;0.0;1.0;-1.0;15.0;58.0
119;52457 Winkels in muziekinstrumenten;2002;365;1.2;1.0;0.9;0.7;164.0;163.0;158.0;125.0;34.0;4.0;1.0;150.0;103.0;23.0;17.0;3.0;3.0;4.0;22.0;0.0;5.0;7.0;2.0;1.0;2.0;5.0;14.0;1.0;3.0;-2.0;0.0;0.0;0.0;0.0;1.0;-1.0;11.0;60.0
120;5246a Doe-het-zelf zaken;2000;2510;26.0;18.3;23.3;15.8;3056.0;3037.0;2839.0;2761.0;78.0;198.0;20.0;2824.0;1969.0;347.0;290.0;9.0;49.0;80.0;427.0;46.0;110.0;146.0;33.0;14.0;16.0;62.0;233.0;12.0;36.0;-23.0;4.0;2.0;2.0;9.0;4.0;6.0;217.0;1068.0
121;5246a Doe-het-zelf zaken;2001;2485;27.2;19.5;24.2;17.2;3272.0;3251.0;3085.0;3016.0;69.0;167.0;21.0;3002.0;2110.0;381.0;317.0;11.0;53.0;82.0;430.0;40.0;110.0;146.0;35.0;11.0;14.0;74.0;269.0;11.0;38.0;-28.0;0.0;2.0;-1.0;10.0;5.0;6.0;245.0;1141.0
122;5246a Doe-het-zelf zaken;2002;2330;26.2;19.0;23.5;16.6;3533.0;3496.0;3220.0;3088.0;133.0;275.0;37.0;3221.0;2279.0;409.0;338.0;13.0;57.0;86.0;446.0;39.0;117.0;154.0;41.0;12.0;17.0;68.0;312.0;8.0;45.0;-37.0;0.0;2.0;-1.0;4.0;4.0;-1.0;273.0;1216.0
123;52461 Winkels in ijzerwaren,gereedschap;2000;625;2.4;1.9;1.9;1.4;302.0;301.0;297.0;288.0;9.0;4.0;1.0;275.0;200.0;32.0;26.0;1.0;4.0;7.0;36.0;4.0;6.0;12.0;3.0;1.0;2.0;6.0;26.0;0.0;3.0;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;101.0
124;52461 Winkels in ijzerwaren,gereedschap;2001;615;2.5;2.1;1.9;1.5;289.0;288.0;285.0;274.0;11.0;3.0;0.0;259.0;187.0;33.0;28.0;1.0;4.0;8.0;31.0;2.0;5.0;10.0;4.0;1.0;2.0;7.0;30.0;1.0;4.0;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;26.0;101.0
125;52461 Winkels in ijzerwaren,gereedschap;2002;575;2.6;1.9;1.8;1.3;292.0;291.0;285.0;241.0;43.0;6.0;0.0;263.0;189.0;36.0;29.0;1.0;6.0;8.0;31.0;2.0;6.0;11.0;2.0;1.0;2.0;7.0;28.0;1.0;10.0;-9.0;0.0;0.0;0.0;0.0;1.0;-1.0;19.0;101.0
126;52462 Winkels in verf, verfwaren, behang;2000;590;2.3;1.8;1.5;1.2;206.0;205.0;204.0;202.0;2.0;2.0;0.0;182.0;121.0;25.0;20.0;1.0;4.0;6.0;30.0;2.0;8.0;11.0;2.0;1.0;2.0;5.0;24.0;1.0;2.0;-1.0;0.0;0.0;0.0;1.0;1.0;0.0;22.0;84.0
127;52462 Winkels in verf, verfwaren, behang;2001;570;2.4;2.0;1.7;1.3;220.0;219.0;215.0;207.0;9.0;4.0;0.0;203.0;132.0;32.0;25.0;1.0;5.0;7.0;34.0;2.0;7.0;15.0;3.0;1.0;1.0;6.0;16.0;4.0;3.0;1.0;0.0;0.0;0.0;2.0;1.0;2.0;18.0;87.0
128;52462 Winkels in verf, verfwaren, behang;2002;535;2.3;1.8;1.6;1.2;230.0;230.0;221.0;219.0;1.0;9.0;0.0;210.0;140.0;31.0;25.0;1.0;5.0;6.0;33.0;2.0;7.0;13.0;2.0;1.0;2.0;5.0;20.0;1.0;2.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;90.0
129;52463 Winkels in houten bouw- en tuinmat;2000;190;0.7;0.5;0.6;0.4;84.0;84.0;83.0;75.0;8.0;1.0;0.0;79.0;54.0;13.0;12.0;1.0;1.0;2.0;9.0;0.0;1.0;2.0;0.0;0.0;1.0;2.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;29.0
130;52463 Winkels in houten bouw- en tuinmat;2001;195;0.6;0.5;0.5;0.4;90.0;90.0;89.0;89.0;0.0;1.0;0.0;85.0;61.0;13.0;11.0;1.0;2.0;2.0;9.0;0.0;1.0;4.0;0.0;0.0;1.0;1.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;28.0
131;52463 Winkels in houten bouw- en tuinmat;2002;185;0.7;0.6;0.5;0.4;94.0;94.0;91.0;87.0;4.0;2.0;0.0;87.0;61.0;12.0;10.0;0.0;2.0;3.0;11.0;0.0;2.0;4.0;1.0;0.0;1.0;1.0;8.0;0.0;2.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;33.0
132;52464 Winkels in tegels;2000;175;1.1;0.8;0.9;0.7;128.0;127.0;127.0;124.0;2.0;0.0;1.0;119.0;76.0;24.0;21.0;0.0;3.0;4.0;14.0;0.0;4.0;3.0;1.0;1.0;2.0;2.0;10.0;0.0;1.0;-1.0;0.0;0.0;0.0;2.0;0.0;2.0;11.0;51.0
133;52464 Winkels in tegels;2001;185;0.7;0.6;0.5;0.4;119.0;119.0;117.0;114.0;3.0;1.0;0.0;107.0;76.0;12.0;10.0;0.0;2.0;4.0;16.0;1.0;3.0;5.0;0.0;0.0;3.0;3.0;12.0;0.0;1.0;-1.0;0.0;0.0;0.0;3.0;0.0;3.0;14.0;43.0
134;52464 Winkels in tegels;2002;180;0.8;0.7;0.6;0.5;120.0;118.0;118.0;115.0;3.0;0.0;1.0;108.0;70.0;16.0;13.0;0.0;2.0;2.0;18.0;1.0;6.0;6.0;2.0;0.0;2.0;3.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;48.0
135;52465 Winkels in keukens;2000;590;5.6;4.8;5.1;4.3;1054.0;1048.0;1038.0;1027.0;11.0;10.0;5.0;989.0;666.0;142.0;117.0;7.0;17.0;27.0;154.0;13.0;47.0;44.0;11.0;3.0;13.0;23.0;65.0;4.0;8.0;-4.0;0.0;3.0;-2.0;4.0;2.0;3.0;60.0;382.0
136;52465 Winkels in keukens;2001;640;5.9;4.9;5.5;4.7;1063.0;1056.0;1029.0;1012.0;17.0;26.0;7.0;1011.0;675.0;151.0;124.0;8.0;19.0;25.0;162.0;15.0;44.0;51.0;12.0;2.0;13.0;24.0;51.0;5.0;10.0;-4.0;0.0;2.0;-1.0;2.0;3.0;0.0;45.0;381.0
137;52465 Winkels in keukens;2002;640;6.6;5.3;6.0;5.0;1260.0;1234.0;1212.0;1173.0;39.0;21.0;26.0;1138.0;727.0;190.0;151.0;14.0;24.0;28.0;195.0;22.0;52.0;60.0;19.0;3.0;14.0;24.0;121.0;5.0;12.0;-7.0;1.0;3.0;-2.0;4.0;0.0;3.0;115.0;507.0
138;52466 Winkels in parket-,laminaatvloeren;2000;375;1.7;1.6;1.4;1.2;205.0;205.0;204.0;193.0;11.0;0.0;0.0;188.0;112.0;38.0;32.0;2.0;5.0;5.0;34.0;6.0;7.0;9.0;2.0;2.0;6.0;5.0;16.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;93.0
139;52466 Winkels in parket-,laminaatvloeren;2001;420;1.9;1.7;1.4;1.4;222.0;222.0;220.0;205.0;15.0;2.0;0.0;201.0;119.0;38.0;32.0;2.0;5.0;6.0;37.0;7.0;7.0;10.0;3.0;1.0;5.0;4.0;21.0;0.0;2.0;-1.0;0.0;1.0;0.0;0.0;0.0;0.0;20.0;102.0
140;52466 Winkels in parket-,laminaatvloeren;2002;435;2.6;1.9;1.7;1.2;228.0;227.0;215.0;197.0;17.0;13.0;0.0;215.0;127.0;35.0;27.0;2.0;6.0;7.0;45.0;4.0;7.0;11.0;3.0;2.0;6.0;12.0;13.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;11.0;99.0
141;52468 Bouwmarkten ed winkels in bouwmat.;2000;1105;20.8;14.1;19.4;12.8;2465.0;2447.0;2256.0;2197.0;60.0;191.0;19.0;2288.0;1593.0;277.0;232.0;7.0;39.0;65.0;353.0;41.0;95.0;121.0;28.0;11.0;9.0;48.0;177.0;11.0;29.0;-18.0;4.0;2.0;2.0;8.0;3.0;5.0;167.0;854.0
142;52468 Bouwmarkten ed winkels in bouwmat.;2001;1105;21.5;14.8;20.0;13.9;2673.0;2654.0;2495.0;2447.0;49.0;159.0;19.0;2456.0;1731.0;303.0;255.0;8.0;42.0;64.0;356.0;36.0;96.0;116.0;29.0;9.0;10.0;61.0;219.0;5.0;29.0;-24.0;0.0;1.0;-1.0;7.0;4.0;3.0;197.0;924.0
143;52468 Bouwmarkten ed winkels in bouwmat.;2002;1035;20.6;14.8;19.5;13.7;2917.0;2881.0;2622.0;2539.0;83.0;257.0;36.0;2660.0;1888.0;330.0;275.0;10.0;45.0;69.0;372.0;35.0;103.0;126.0;35.0;10.0;10.0;53.0;256.0;6.0;32.0;-26.0;0.0;2.0;-1.0;3.0;3.0;-1.0;229.0;992.0
144;52471 Winkels in boeken,tijdschriften ed;2000;960;6.2;4.3;5.7;3.8;802.0;795.0;709.0;520.0;189.0;85.0;7.0;771.0;572.0;94.0;78.0;4.0;11.0;15.0;89.0;5.0;16.0;36.0;9.0;2.0;4.0;16.0;32.0;2.0;4.0;-2.0;0.0;1.0;-1.0;2.0;0.0;2.0;30.0;222.0
145;52471 Winkels in boeken,tijdschriften ed;2001;940;7.5;5.2;6.7;4.5;942.0;938.0;861.0;774.0;86.0;77.0;4.0;899.0;667.0;111.0;93.0;4.0;14.0;16.0;106.0;7.0;15.0;47.0;10.0;2.0;4.0;22.0;43.0;2.0;5.0;-4.0;0.0;0.0;0.0;2.0;1.0;2.0;41.0;272.0
146;52471 Winkels in boeken,tijdschriften ed;2002;860;7.5;4.6;6.4;3.7;912.0;906.0;818.0;748.0;71.0;87.0;6.0;864.0;641.0;102.0;85.0;4.0;13.0;13.0;108.0;6.0;16.0;47.0;8.0;3.0;4.0;24.0;48.0;1.0;5.0;-5.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;266.0
147;5247a Winkels kantoor-/schoolbenodigdh.;2000;895;5.6;3.6;4.8;3.0;623.0;621.0;610.0;583.0;27.0;10.0;3.0;585.0;435.0;58.0;48.0;2.0;8.0;17.0;74.0;6.0;14.0;33.0;4.0;2.0;4.0;14.0;39.0;1.0;6.0;-5.0;0.0;0.0;0.0;3.0;0.0;1.0;35.0;185.0
148;5247a Winkels kantoor-/schoolbenodigdh.;2001;905;5.6;3.7;4.5;2.7;569.0;567.0;551.0;536.0;14.0;17.0;2.0;528.0;394.0;57.0;47.0;3.0;7.0;14.0;63.0;2.0;11.0;28.0;6.0;3.0;3.0;11.0;42.0;1.0;6.0;-5.0;0.0;0.0;0.0;1.0;0.0;1.0;37.0;174.0
149;5247a Winkels kantoor-/schoolbenodigdh.;2002;820;6.3;3.8;5.1;3.0;590.0;587.0;568.0;535.0;32.0;19.0;4.0;563.0;401.0;73.0;61.0;2.0;9.0;17.0;72.0;2.0;13.0;32.0;6.0;2.0;4.0;11.0;27.0;0.0;10.0;-9.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;185.0
