ID;RegioS;Perioden;AUAlleEconomischeActiviteiten_1;ALandbouwBosbouwEnVisserij_2;BENijverheidGeenBouwEnEnergie_3;BDelfstoffenwinning_4;CIndustrie_5;DEnergievoorziening_6;EWaterbedrijvenEnAfvalbeheer_7;FBouwnijverheid_8;GIHandelVervoerEnHoreca_9;JInformatieEnCommunicatie_10;KFinancieleDienstverlening_11;LVerhuurEnHandelVanOnroerendGoed_12;MNZakelijkeDienstverlening_13;OQOverheidEnZorg_14;RUCultuurRecreatieOverigeDiensten_15
267;Aggl.'s-Gravenhage excl. Zoetermeer (CP);2011;3709;51;321;226;52;;;40;250;319;157;941;403;1144;84
268;Zoetermeer (CP);2008;635;2;30;0;29;;;14;47;29;53;315;25;103;16
269;Zoetermeer (CP);2009;529;2;58;5;29;;;8;38;32;22;221;25;112;11
270;Zoetermeer (CP);2010;652;2;167;134;29;;;5;47;34;18;237;23;106;13
271;Zoetermeer (CP);2011;678;3;210;194;14;;;7;42;31;20;222;22;109;12
272;Rijnmond (CP);2008;10861;164;1323;3;1034;;;197;2928;223;407;3006;601;1897;115
273;Rijnmond (CP);2009;9090;105;1037;14;791;;;158;1751;134;362;2857;460;2134;92
274;Rijnmond (CP);2010;9788;93;1504;44;839;;;405;2524;116;240;2498;340;1963;105
275;Rijnmond (CP);2011;9889;108;1725;50;939;;;421;2477;135;276;2116;485;2039;107
276;Overig Groot-Rijnmond (CP);2008;791;49;68;0;58;;;29;144;4;25;305;30;129;7
277;Overig Groot-Rijnmond (CP);2009;798;48;80;0;62;;;25;105;3;30;305;24;170;9
278;Overig Groot-Rijnmond (CP);2010;802;54;124;23;59;;;22;102;4;40;266;20;162;8
279;Overig Groot-Rijnmond (CP);2011;873;65;129;35;56;;;23;131;3;40;312;24;139;7
280;Drechtsteden (CP);2008;1890;6;156;4;123;;;190;290;16;36;356;70;748;23
281;Drechtsteden (CP);2009;1912;8;133;0;109;;;199;240;16;26;327;45;903;16
282;Drechtsteden (CP);2010;1805;5;162;0;129;;;116;195;32;28;316;31;904;16
283;Drechtsteden (CP);2011;1707;9;152;1;136;;;85;246;32;53;279;57;780;14
284;Overig Zuidoost-Zuid-Holland (CP);2008;1095;39;96;0;86;;;48;163;9;25;397;43;269;8
285;Overig Zuidoost-Zuid-Holland (CP);2009;1178;36;111;1;104;;;36;101;6;22;547;37;271;12
286;Overig Zuidoost-Zuid-Holland (CP);2010;990;50;86;0;79;;;34;90;6;34;430;22;232;6
287;Overig Zuidoost-Zuid-Holland (CP);2011;931;51;100;0;94;;;39;96;8;136;280;24;190;7
288;Stadsgewest 's-Hertogenbosch (CP);2008;2540;61;216;0;133;;;81;170;54;93;957;309;571;28
289;Stadsgewest 's-Hertogenbosch (CP);2009;2234;50;338;0;114;;;48;140;35;62;760;182;588;32
290;Stadsgewest 's-Hertogenbosch (CP);2010;2152;72;228;0;76;;;27;131;57;98;653;117;741;28
291;Stadsgewest 's-Hertogenbosch (CP);2011;2637;76;604;0;74;;;53;259;56;99;591;109;758;31
292;Overig Noordoost-Noord-Brabant (CP);2008;2294;221;330;4;311;;;62;257;23;71;834;62;415;20
293;Overig Noordoost-Noord-Brabant (CP);2009;2178;256;314;0;293;;;64;200;12;52;764;50;452;15
294;Overig Noordoost-Noord-Brabant (CP);2010;2035;303;315;2;270;;;30;185;10;84;738;40;314;17
295;Overig Noordoost-Noord-Brabant (CP);2011;2106;357;285;2;224;;;58;224;8;96;707;53;298;20
296;Almere (CP);2008;1237;9;156;0;51;;;9;101;28;24;335;365;196;13
297;Almere (CP);2009;1689;8;77;0;40;;;11;83;29;16;462;769;225;9
298;Almere (CP);2010;2585;9;51;0;32;;;8;80;41;24;548;1596;219;10
299;Almere (CP);2011;2522;9;40;0;29;;;26;73;56;25;435;1673;176;10
300;Flevoland-Midden (CP);2008;988;61;78;0;37;;;10;67;13;26;452;26;246;9
301;Flevoland-Midden (CP);2009;881;63;147;0;31;;;9;66;15;19;384;33;137;8
302;Flevoland-Midden (CP);2010;1499;92;710;0;32;;;23;97;27;13;304;35;186;11
303;Flevoland-Midden (CP);2011;795;94;95;0;32;;;26;144;14;11;215;27;160;8
304;Noordoostpolder en Urk (CP);2008;523;109;57;0;55;;;6;61;4;10;198;17;58;3
305;Noordoostpolder en Urk (CP);2009;433;105;33;0;30;;;5;71;3;8;143;15;46;3
306;Noordoostpolder en Urk (CP);2010;320;83;26;0;22;;;3;34;4;13;98;23;32;3
307;Noordoostpolder en Urk (CP);2011;369;116;36;0;25;;;5;44;3;8;109;11;35;3
