ID;Kenmerken;Perioden;TotaalParen_1;TotaalFulltimeFulltime_2;TotaalFulltimeParttime_3;Man35UurOfMeerPartner20Tot35Uur_4;Man35UurOfMeerPartner12Tot20Uur_5;Vrouw35UurOfMeerPartner20Tot35U_6;Vrouw35UurOfMeerPartner12Tot20U_7;TotaalParttimeParttime_8;Beiden20Tot35Uur_9;Beiden12Tot20Uur_10;Man20Tot35UurPartner12Tot20Uur_11;Vrouw20Tot35UurPartner12Tot20U_12;TotaalFulltime_13;Man35UurOfMeer_14;Vrouw35UurOfMeer_15;Man35UurOfMeerPartner0Tot12Uur_16;Vrouw35UurOfMeerPartner0Tot12U_17;TotaalParttime_18;Man20Tot35UurPartnerWerktNiet_19;Man12Tot20UurPartnerWerktNiet_20;Vrouw20Tot35UurPartnerWerktNiet_21;Vrouw12Tot20UurPartnerWerktNiet_22;Man20Tot35UurPartner0Tot12Uur_23;Man12Tot20UurPartner0Tot12Uur_24;Vrouw20Tot35UurPartner0Tot12Uur_25;Vrouw12Tot20UurPartner0Tot12Uur_26;TotaalGeenWerkenden_27;Man0Tot12UurPartnerWerktNiet_28;Vrouw0Tot12UurPartnerWerktNiet_29;BeidenGeenWerk_30;Beiden0Tot12Uur_31
104;Paren met jongste kind 18 jaar of ouder;2006;357.0;31.0;133.0;91.0;37.0;4.0;;13.0;8.0;;3.0;;114.0;77.0;6.0;30.0;;31.0;8.0;2.0;13.0;4.0;3.0;;;;36.0;2.0;3.0;30.0;
105;Paren zonder kinderen;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;Paren zonder kinderen;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;Paren zonder kinderen;1994;1376.0;357.0;299.0;234.0;42.0;20.0;4.0;29.0;22.0;;3.0;3.0;308.0;225.0;35.0;44.0;4.0;97.0;28.0;5.0;37.0;15.0;4.0;5.0;2.0;2.0;285.0;12.0;17.0;252.0;3.0
108;Paren zonder kinderen;1995;1403.0;361.0;331.0;258.0;46.0;24.0;4.0;35.0;25.0;2.0;5.0;3.0;305.0;221.0;36.0;45.0;4.0;88.0;28.0;6.0;31.0;12.0;5.0;4.0;;;284.0;10.0;18.0;252.0;4.0
109;Paren zonder kinderen;1996;1438.0;377.0;337.0;260.0;47.0;27.0;3.0;36.0;28.0;;4.0;3.0;325.0;235.0;35.0;52.0;5.0;89.0;23.0;5.0;35.0;14.0;6.0;3.0;2.0;2.0;274.0;11.0;16.0;244.0;3.0
110;Paren zonder kinderen;1997;1452.0;390.0;346.0;269.0;51.0;23.0;3.0;35.0;27.0;;4.0;2.0;314.0;230.0;33.0;46.0;4.0;93.0;29.0;5.0;32.0;13.0;6.0;4.0;2.0;2.0;273.0;10.0;19.0;241.0;2.0
111;Paren zonder kinderen;1998;1513.0;408.0;377.0;292.0;55.0;27.0;3.0;40.0;26.0;2.0;9.0;3.0;326.0;242.0;29.0;52.0;4.0;93.0;30.0;5.0;33.0;13.0;6.0;4.0;2.0;;268.0;12.0;15.0;238.0;2.0
112;Paren zonder kinderen;1999;1522.0;418.0;374.0;290.0;57.0;23.0;4.0;41.0;30.0;;6.0;3.0;333.0;250.0;29.0;52.0;2.0;95.0;25.0;7.0;36.0;14.0;6.0;4.0;;2.0;261.0;12.0;15.0;230.0;3.0
113;Paren zonder kinderen;2000;1504.0;396.0;392.0;299.0;62.0;28.0;3.0;50.0;36.0;3.0;7.0;3.0;316.0;231.0;29.0;53.0;3.0;101.0;33.0;5.0;36.0;14.0;9.0;3.0;2.0;2.0;246.0;11.0;18.0;214.0;3.0
114;Paren zonder kinderen;2001;1478.0;383.0;370.0;280.0;63.0;23.0;3.0;50.0;37.0;;8.0;4.0;313.0;229.0;30.0;48.0;5.0;110.0;36.0;8.0;39.0;17.0;7.0;4.0;;;249.0;11.0;19.0;217.0;3.0
115;Paren zonder kinderen;2002;1441.0;346.0;380.0;292.0;59.0;26.0;3.0;55.0;40.0;2.0;9.0;4.0;308.0;228.0;29.0;47.0;4.0;108.0;30.0;7.0;43.0;17.0;7.0;2.0;;2.0;241.0;14.0;16.0;206.0;5.0
116;Paren zonder kinderen;2003;1475.0;346.0;390.0;297.0;60.0;30.0;3.0;56.0;43.0;;8.0;4.0;310.0;220.0;36.0;49.0;5.0;116.0;37.0;9.0;44.0;17.0;7.0;5.0;;2.0;251.0;14.0;19.0;212.0;5.0
117;Paren zonder kinderen;2004;1451.0;321.0;384.0;293.0;62.0;26.0;3.0;55.0;39.0;2.0;7.0;7.0;319.0;221.0;39.0;54.0;5.0;118.0;30.0;9.0;49.0;18.0;8.0;5.0;2.0;;249.0;14.0;16.0;214.0;4.0
118;Paren zonder kinderen;2005;1423.0;313.0;375.0;284.0;61.0;25.0;4.0;58.0;39.0;2.0;11.0;6.0;295.0;198.0;36.0;55.0;6.0;123.0;31.0;8.0;51.0;21.0;8.0;8.0;2.0;3.0;251.0;13.0;21.0;213.0;3.0
119;Paren zonder kinderen;2006;1418.0;325.0;374.0;281.0;61.0;27.0;5.0;66.0;44.0;3.0;13.0;6.0;282.0;193.0;33.0;50.0;6.0;134.0;35.0;9.0;53.0;18.0;9.0;7.0;2.0;2.0;238.0;12.0;18.0;204.0;3.0
