ID;BedrijfstakkenBranchesSBI93;Perioden;Totaal_1;GrondEnTerreinen_2;Bedrijfsruimten_3;GrondWaterEnWegenbouwkundigeWerken_4;Vervoermiddelen_5;ComputersEnRandapparatuur_6;MachinesEnInstallaties_7;OverigeMaterieleVasteActiva_8;NieuweVasteActiva_9;TweedehandseVasteActiva_10;FinancialLease_11;InvesteringenViaOperationalLeaseHuur_12;OpbrengstenVerkoopVasteActiva_13
508;DF Aardolie-, steenkoolverwerkende ind.;2004;310.3;0.1;18.1;13.0;1.3;2.4;261.3;14.2;310.1;0.1;1.4;0.4;1.8
509;DF Aardolie-, steenkoolverwerkende ind.;2005;434.4;0.7;26.1;1.6;0.6;7.1;354.1;44.2;433.7;0.7;0.0;0.5;4.2
510;DF Aardolie-, steenkoolverwerkende ind.;2006;403.6;3.1;19.7;5.1;1.3;4.3;266.5;103.5;400.4;3.1;8.0;9.0;5.4
511;DF Aardolie-, steenkoolverwerkende ind.;2007;582.6;0.1;9.8;5.6;3.5;3.8;546.3;13.5;508.1;74.4;9.8;1.7;0.8
512;DF Aardolie-, steenkoolverwerkende ind.;2008;;;;;;;;;;;;;
513;23 Aardolie-, steenkoolverwerkende ind.;2000;216.4;3.5;29.0;4.3;1.2;14.3;159.3;4.9;211.5;4.8;0.3;1.8;0.4
514;23 Aardolie-, steenkoolverwerkende ind.;2001;130.4;4.0;9.6;3.6;0.9;6.2;97.5;8.7;125.8;4.6;17.3;2.1;0.5
515;23 Aardolie-, steenkoolverwerkende ind.;2002;351.2;0.2;12.7;1.2;0.9;6.1;326.7;3.4;350.9;0.3;8.1;2.4;0.4
516;23 Aardolie-, steenkoolverwerkende ind.;2003;286.0;0.0;12.6;5.4;1.9;3.2;258.6;4.2;284.8;1.2;3.6;2.2;0.9
517;23 Aardolie-, steenkoolverwerkende ind.;2004;310.3;0.1;18.1;13.0;1.3;2.4;261.3;14.2;310.1;0.1;1.4;0.4;1.8
518;23 Aardolie-, steenkoolverwerkende ind.;2005;434.4;0.7;26.1;1.6;0.6;7.1;354.1;44.2;433.7;0.7;0.0;0.5;4.2
519;23 Aardolie-, steenkoolverwerkende ind.;2006;403.6;3.1;19.7;5.1;1.3;4.3;266.5;103.5;400.4;3.1;8.0;9.0;5.4
520;23 Aardolie-, steenkoolverwerkende ind.;2007;582.6;0.1;9.8;5.6;3.5;3.8;546.3;13.5;508.1;74.4;9.8;1.7;0.8
521;23 Aardolie-, steenkoolverwerkende ind.;2008;;;;;;;;;;;;;
522;232 Aardolieverwerkende industrie;2000;;;;;;;;;;;;;
523;232 Aardolieverwerkende industrie;2001;;;;;;;;;;;;;
524;232 Aardolieverwerkende industrie;2002;;;;;;;;;;;;;
525;232 Aardolieverwerkende industrie;2003;;;;;;;;;;;;;
526;232 Aardolieverwerkende industrie;2004;;;;;;;;;;;;;
527;232 Aardolieverwerkende industrie;2005;;;;;;;;;;;;;
528;232 Aardolieverwerkende industrie;2006;;;;;;;;;;;;;
529;232 Aardolieverwerkende industrie;2007;;;;;;;;;;;;;
530;232 Aardolieverwerkende industrie;2008;765.9;0.0;7.5;10.0;0.2;3.0;594.7;150.4;765.7;0.2;;;0.6
531;2320 Aardolieverwerkende industrie;2000;;;;;;;;;;;;;
532;2320 Aardolieverwerkende industrie;2001;;;;;;;;;;;;;
533;2320 Aardolieverwerkende industrie;2002;;;;;;;;;;;;;
534;2320 Aardolieverwerkende industrie;2003;;;;;;;;;;;;;
535;2320 Aardolieverwerkende industrie;2004;;;;;;;;;;;;;
536;2320 Aardolieverwerkende industrie;2005;;;;;;;;;;;;;
537;2320 Aardolieverwerkende industrie;2006;;;;;;;;;;;;;
538;2320 Aardolieverwerkende industrie;2007;;;;;;;;;;;;;
539;2320 Aardolieverwerkende industrie;2008;765.9;0.0;7.5;10.0;0.2;3.0;594.7;150.4;765.7;0.2;;;0.6
540;DG Chemische industrie;2000;1476.9;5.2;155.8;29.0;13.9;57.9;1141.4;73.6;1447.8;29.0;14.3;39.1;141.0
541;DG Chemische industrie;2001;1211.3;9.9;110.1;27.8;10.8;42.2;940.4;70.2;1189.7;21.6;26.6;27.2;32.5
542;DG Chemische industrie;2002;2003.7;0.6;225.9;31.5;8.9;39.4;1655.9;41.6;1993.0;10.6;4.4;88.8;10.5
543;DG Chemische industrie;2003;2088.6;2.7;135.2;19.0;9.2;44.6;1810.3;67.6;2070.6;18.0;15.4;62.0;20.1
544;DG Chemische industrie;2004;1349.0;0.8;217.4;38.4;10.4;41.4;972.2;68.4;1340.7;8.3;5.1;24.0;45.1
545;DG Chemische industrie;2005;1277.6;1.9;123.4;14.7;8.7;39.2;1048.4;41.3;1250.9;26.6;4.4;34.1;11.2
546;DG Chemische industrie;2006;1734.2;1.5;224.3;23.7;12.9;22.7;1362.4;86.6;1721.1;13.1;4.6;34.6;30.2
547;DG Chemische industrie;2007;1244.0;19.7;129.0;33.4;10.1;29.4;916.6;105.7;1221.1;22.8;8.4;114.8;65.6
548;DG Chemische industrie;2008;;;;;;;;;;;;;
549;24 Chemische industrie;2000;1476.9;5.2;155.8;29.0;13.9;57.9;1141.4;73.6;1447.8;29.0;14.3;39.1;141.0
550;24 Chemische industrie;2001;1211.3;9.9;110.1;27.8;10.8;42.2;940.4;70.2;1189.7;21.6;26.6;27.2;32.5
551;24 Chemische industrie;2002;2003.7;0.6;225.9;31.5;8.9;39.4;1655.9;41.6;1993.0;10.6;4.4;88.8;10.5
552;24 Chemische industrie;2003;2088.6;2.7;135.2;19.0;9.2;44.6;1810.3;67.6;2070.6;18.0;15.4;62.0;20.1
553;24 Chemische industrie;2004;1349.0;0.8;217.4;38.4;10.4;41.4;972.2;68.4;1340.7;8.3;5.1;24.0;45.1
554;24 Chemische industrie;2005;1277.6;1.9;123.4;14.7;8.7;39.2;1048.4;41.3;1250.9;26.6;4.4;34.1;11.2
555;24 Chemische industrie;2006;1734.2;1.5;224.3;23.7;12.9;22.7;1362.4;86.6;1721.1;13.1;4.6;34.6;30.2
556;24 Chemische industrie;2007;1244.0;19.7;129.0;33.4;10.1;29.4;916.6;105.7;1221.1;22.8;8.4;114.8;65.6
557;24 Chemische industrie;2008;;;;;;;;;;;;;
558;241 Basischemie;2000;1034.7;1.7;54.6;25.7;4.0;23.7;886.3;38.8;1011.8;22.9;4.9;13.5;128.0
559;241 Basischemie;2001;720.6;1.1;28.3;24.5;3.0;20.3;617.5;25.9;714.9;5.8;0.4;2.4;2.4
560;241 Basischemie;2002;1304.7;0.3;76.0;21.4;1.8;13.9;1170.2;21.2;1304.0;0.7;0.0;23.9;2.0
561;241 Basischemie;2003;1424.5;0.4;37.6;13.1;2.1;14.8;1317.1;39.4;1417.8;6.6;0.1;5.6;11.6
562;241 Basischemie;2004;857.3;0.4;47.5;31.6;2.1;14.0;718.3;43.4;856.0;1.3;1.4;4.3;4.8
563;241 Basischemie;2005;839.1;0.0;35.3;6.1;1.4;14.9;761.3;20.2;819.9;19.2;0.2;11.7;6.7
564;241 Basischemie;2006;1064.4;0.6;87.1;17.6;3.5;6.8;889.8;59.1;1060.0;4.4;0.9;7.7;11.7
565;241 Basischemie;2007;757.9;1.4;25.8;20.4;2.3;8.7;625.1;74.2;755.6;2.3;0.1;84.4;45.7
566;241 Basischemie;2008;934.1;1.4;33.9;10.2;5.9;9.7;845.8;27.3;908.7;25.5;;;47.3
567;2413 Overige anorganische basischemie;2000;35.6;0.8;2.5;0.2;0.1;0.8;29.6;1.6;34.1;1.5;0.0;0.1;4.2
568;2413 Overige anorganische basischemie;2001;56.0;0.0;4.4;0.9;0.2;0.7;44.6;5.3;55.9;0.1;0.0;0.2;0.6
569;2413 Overige anorganische basischemie;2002;69.7;0.0;16.2;0.9;0.2;2.3;44.7;5.5;69.6;0.1;0.0;0.8;0.8
570;2413 Overige anorganische basischemie;2003;80.8;0.0;5.6;0.8;0.1;0.9;71.0;2.4;80.8;0.0;0.0;0.1;0.1
571;2413 Overige anorganische basischemie;2004;71.0;0.0;13.2;0.9;0.5;1.0;54.5;1.0;70.8;0.2;0.0;0.2;0.4
572;2413 Overige anorganische basischemie;2005;107.8;0.0;9.9;1.9;0.2;0.8;93.5;1.5;107.4;0.4;0.0;0.3;0.9
573;2413 Overige anorganische basischemie;2006;248.9;0.0;30.2;3.2;0.2;0.5;197.5;17.3;248.7;0.2;0.6;0.3;0.5
574;2413 Overige anorganische basischemie;2007;104.9;0.0;8.6;0.6;0.2;0.3;94.1;1.1;104.9;0.0;0.1;0.2;2.1
575;2413 Overige anorganische basischemie;2008;79.7;0.0;6.9;0.1;0.2;0.8;66.9;4.7;79.3;0.4;;;1.4
576;2414 Petro- en ov organische basischemie;2000;604.9;0.4;14.3;10.2;0.8;15.3;552.1;11.8;603.8;1.0;0.3;1.8;89.5
577;2414 Petro- en ov organische basischemie;2001;354.6;0.2;11.1;14.0;0.8;7.7;314.3;6.6;352.9;1.7;0.0;1.3;0.4
578;2414 Petro- en ov organische basischemie;2002;672.4;0.0;38.6;10.4;0.2;7.9;607.3;8.0;672.4;0.0;0.0;5.8;0.1
579;2414 Petro- en ov organische basischemie;2003;891.0;0.0;12.1;8.7;0.5;5.0;850.8;13.9;890.6;0.4;0.0;3.3;6.0
580;2414 Petro- en ov organische basischemie;2004;;;;;;;;;;;;;
581;2414 Petro- en ov organische basischemie;2005;258.5;0.0;11.8;3.6;0.4;1.6;229.2;11.9;258.4;0.1;0.1;3.9;0.3
582;2414 Petro- en ov organische basischemie;2006;419.1;0.0;15.9;12.3;1.7;3.5;359.1;26.5;417.4;1.7;0.0;2.9;0.7
583;2414 Petro- en ov organische basischemie;2007;394.2;0.0;6.9;18.9;0.8;3.3;296.5;67.8;394.2;0.0;0.0;11.9;24.5
584;2414 Petro- en ov organische basischemie;2008;354.0;0.0;8.3;8.1;0.8;1.4;328.4;6.9;353.2;0.7;;;4.0
585;2416 Kunststof grondstoffenindustrie;2000;286.4;0.4;19.1;0.8;0.7;5.8;243.3;16.3;267.5;18.9;4.4;10.9;32.0
586;2416 Kunststof grondstoffenindustrie;2001;224.1;0.3;9.8;0.8;0.6;4.5;202.3;6.0;221.7;2.4;0.3;0.5;1.2
587;2416 Kunststof grondstoffenindustrie;2002;399.2;0.3;17.4;3.4;0.5;3.0;371.9;2.7;398.9;0.3;0.0;11.2;1.1
588;2416 Kunststof grondstoffenindustrie;2003;180.4;0.4;7.0;0.7;1.1;6.1;160.8;4.3;174.7;5.6;0.0;1.8;5.1
589;2416 Kunststof grondstoffenindustrie;2004;201.2;0.0;5.9;0.3;0.6;2.5;187.9;4.1;200.8;0.4;1.4;0.8;3.9
590;2416 Kunststof grondstoffenindustrie;2005;;;;;;;;;;;;;
591;2416 Kunststof grondstoffenindustrie;2006;294.6;0.6;35.2;2.0;1.2;1.3;242.8;11.5;292.6;2.0;0.0;4.0;1.5
592;2416 Kunststof grondstoffenindustrie;2007;140.3;0.8;3.8;0.7;0.7;3.1;129.4;1.9;139.1;1.2;0.0;71.0;6.5
593;2416 Kunststof grondstoffenindustrie;2008;277.9;1.4;14.6;0.9;0.3;3.5;248.7;8.5;253.7;24.2;;;11.0
594;243 Verf-, lak-, mastiek-, drukinktind.;2000;77.4;0.3;19.9;0.4;6.4;5.1;41.2;4.1;76.9;0.6;8.0;4.9;1.9
595;243 Verf-, lak-, mastiek-, drukinktind.;2001;48.6;0.1;6.0;0.3;4.7;2.7;31.1;3.8;47.7;0.9;3.5;8.7;21.8
596;243 Verf-, lak-, mastiek-, drukinktind.;2002;49.9;0.3;16.0;0.5;1.4;2.0;26.5;3.2;46.1;3.7;0.5;16.7;1.7
597;243 Verf-, lak-, mastiek-, drukinktind.;2003;;;;;;;;;;;;;
598;243 Verf-, lak-, mastiek-, drukinktind.;2004;35.9;0.0;6.4;0.3;2.8;3.2;19.5;3.8;35.4;0.5;1.1;5.6;0.8
599;243 Verf-, lak-, mastiek-, drukinktind.;2005;45.2;0.0;9.9;1.2;1.7;2.1;27.6;2.7;44.5;0.7;0.5;3.1;1.1
600;243 Verf-, lak-, mastiek-, drukinktind.;2006;27.4;0.0;3.9;0.3;2.5;1.3;16.6;2.8;27.3;0.1;0.6;4.6;3.8
601;243 Verf-, lak-, mastiek-, drukinktind.;2007;46.4;0.0;12.8;0.1;2.2;2.8;26.3;2.3;46.3;0.1;1.8;3.2;3.7
602;243 Verf-, lak-, mastiek-, drukinktind.;2008;34.9;0.1;4.7;0.0;1.6;1.3;25.7;1.5;34.6;0.2;;;1.6
603;2430 Verf-,lak-,mastiek-, drukinktind.;2000;77.4;0.3;19.9;0.4;6.4;5.1;41.2;4.1;76.9;0.6;8.0;4.9;1.9
604;2430 Verf-,lak-,mastiek-, drukinktind.;2001;48.6;0.1;6.0;0.3;4.7;2.7;31.1;3.8;47.7;0.9;3.5;8.7;21.8
605;2430 Verf-,lak-,mastiek-, drukinktind.;2002;49.9;0.3;16.0;0.5;1.4;2.0;26.5;3.2;46.1;3.7;0.5;16.7;1.7
606;2430 Verf-,lak-,mastiek-, drukinktind.;2003;;;;;;;;;;;;;
607;2430 Verf-,lak-,mastiek-, drukinktind.;2004;35.9;0.0;6.4;0.3;2.8;3.2;19.5;3.8;35.4;0.5;1.1;5.6;0.8
608;2430 Verf-,lak-,mastiek-, drukinktind.;2005;45.2;0.0;9.9;1.2;1.7;2.1;27.6;2.7;44.5;0.7;0.5;3.1;1.1
609;2430 Verf-,lak-,mastiek-, drukinktind.;2006;27.4;0.0;3.9;0.3;2.5;1.3;16.6;2.8;27.3;0.1;0.6;4.6;3.8
610;2430 Verf-,lak-,mastiek-, drukinktind.;2007;46.4;0.0;12.8;0.1;2.2;2.8;26.3;2.3;46.3;0.1;1.8;3.2;3.7
611;2430 Verf-,lak-,mastiek-, drukinktind.;2008;34.9;0.1;4.7;0.0;1.6;1.3;25.7;1.5;34.6;0.2;;;1.6
612;244 Farmaceutische industrie;2000;200.0;0.8;64.5;2.3;1.2;13.4;104.4;13.4;198.1;1.9;0.4;14.6;5.9
613;244 Farmaceutische industrie;2001;224.9;0.4;43.1;0.7;0.9;11.8;148.7;19.4;221.3;3.7;0.0;5.1;1.6
614;244 Farmaceutische industrie;2002;411.3;0.0;104.4;7.7;2.5;14.8;271.5;10.4;411.3;0.0;2.3;27.5;1.2
615;244 Farmaceutische industrie;2003;196.4;1.6;38.8;3.3;1.6;13.9;128.0;9.3;193.4;3.0;0.0;21.1;3.5
616;244 Farmaceutische industrie;2004;291.9;0.3;136.4;2.5;0.7;12.8;132.1;7.1;287.5;4.4;0.5;6.8;16.6
617;244 Farmaceutische industrie;2005;186.1;1.3;52.3;3.3;1.4;13.8;106.7;7.4;184.6;1.4;1.5;10.5;1.2
618;244 Farmaceutische industrie;2006;461.1;0.4;113.1;5.3;2.5;9.7;319.4;10.8;456.6;4.6;0.5;14.3;12.3
619;244 Farmaceutische industrie;2007;162.2;1.2;22.7;7.0;1.3;12.9;100.8;16.4;160.9;1.3;3.1;21.6;8.6
620;244 Farmaceutische industrie;2008;182.5;0.0;37.3;2.1;1.8;6.3;116.4;18.5;180.9;1.6;;;4.3
621;2441 Farmaceutische grondstoffenind.;2000;;;;;;;;;;;;;
622;2441 Farmaceutische grondstoffenind.;2001;;;;;;;;;;;;;
623;2441 Farmaceutische grondstoffenind.;2002;;;;;;;;;;;;;
624;2441 Farmaceutische grondstoffenind.;2003;11.9;0.1;0.7;0.0;0.1;0.1;10.7;0.2;11.4;0.4;0.0;0.1;0.1
625;2441 Farmaceutische grondstoffenind.;2004;25.9;0.0;6.4;0.0;0.0;0.6;18.8;0.1;25.9;0.0;0.0;0.9;0.0
626;2441 Farmaceutische grondstoffenind.;2005;6.7;0.0;1.0;0.0;0.0;0.2;5.4;0.1;6.7;0.0;0.0;0.2;0.0
627;2441 Farmaceutische grondstoffenind.;2006;4.3;0.0;0.3;0.0;0.0;0.1;3.8;0.0;4.3;0.0;0.0;0.5;0.0
628;2441 Farmaceutische grondstoffenind.;2007;2.5;0.0;0.1;0.0;0.0;0.7;1.6;0.1;2.5;0.0;0.0;0.2;0.0
629;2441 Farmaceutische grondstoffenind.;2008;2.2;0.0;0.5;0.0;0.1;0.1;1.3;0.2;2.2;0.0;;;0.0
630;2442 Farmaceutische productenindustrie;2000;;;;;;;;;;;;;
631;2442 Farmaceutische productenindustrie;2001;;;;;;;;;;;;;
632;2442 Farmaceutische productenindustrie;2002;;;;;;;;;;;;;
633;2442 Farmaceutische productenindustrie;2003;184.5;1.5;38.1;3.3;1.5;13.8;117.3;9.1;182.0;2.5;0.0;21.0;3.4
634;2442 Farmaceutische productenindustrie;2004;266.0;0.3;130.0;2.5;0.7;12.2;113.3;7.0;261.6;4.4;0.5;5.9;16.6
635;2442 Farmaceutische productenindustrie;2005;179.4;1.3;51.2;3.3;1.4;13.6;101.3;7.3;178.0;1.4;1.5;10.3;1.1
636;2442 Farmaceutische productenindustrie;2006;456.8;0.4;112.8;5.3;2.5;9.6;315.5;10.8;452.3;4.6;0.5;13.8;12.2
637;2442 Farmaceutische productenindustrie;2007;159.7;1.2;22.6;7.0;1.3;12.1;99.2;16.3;158.4;1.3;3.1;21.4;8.6
638;2442 Farmaceutische productenindustrie;2008;180.3;0.0;36.9;2.1;1.7;6.2;115.1;18.3;178.7;1.6;;;4.3
639;245 Zeep-, wasmiddelen-, cosmetica-ind.;2000;43.4;2.1;4.8;0.0;1.4;6.1;21.5;7.4;40.9;2.5;0.3;0.5;3.0
640;245 Zeep-, wasmiddelen-, cosmetica-ind.;2001;47.7;0.7;8.6;0.5;1.1;2.3;25.7;8.9;46.7;1.0;0.2;5.2;2.5
641;245 Zeep-, wasmiddelen-, cosmetica-ind.;2002;45.0;0.0;7.0;0.1;2.4;1.5;31.2;2.7;44.8;0.2;1.4;4.5;1.0
642;245 Zeep-, wasmiddelen-, cosmetica-ind.;2003;41.3;0.2;7.1;0.4;1.7;1.7;25.5;4.6;36.0;5.3;0.8;1.3;0.7
643;245 Zeep-, wasmiddelen-, cosmetica-ind.;2004;45.7;0.1;9.9;0.5;3.4;2.3;22.0;7.5;44.3;1.4;1.8;2.7;0.9
644;245 Zeep-, wasmiddelen-, cosmetica-ind.;2005;40.7;0.0;6.3;1.8;2.4;3.7;21.0;5.5;40.1;0.5;1.9;3.4;1.3
645;245 Zeep-, wasmiddelen-, cosmetica-ind.;2006;27.8;0.0;5.0;0.0;1.8;1.3;15.6;4.0;25.4;2.4;1.6;5.7;1.1
646;245 Zeep-, wasmiddelen-, cosmetica-ind.;2007;28.8;0.0;2.2;0.0;2.5;1.0;19.4;3.6;28.5;0.4;2.9;0.4;2.2
647;245 Zeep-, wasmiddelen-, cosmetica-ind.;2008;53.5;0.0;13.8;0.1;2.4;1.5;29.4;6.2;49.8;3.6;;;2.3
648;246 Overige chemische productenindustrie;2000;95.8;0.3;10.7;0.6;0.7;8.3;66.5;8.7;94.9;0.9;0.8;5.0;1.4
649;246 Overige chemische productenindustrie;2001;129.2;7.6;19.9;1.8;0.9;4.7;83.9;10.5;121.5;7.7;22.4;5.6;2.1
650;246 Overige chemische productenindustrie;2002;146.5;0.0;17.2;1.5;0.7;6.9;116.4;3.7;140.5;6.0;0.3;15.1;4.3
651;246 Overige chemische productenindustrie;2003;111.5;0.2;20.4;1.6;0.7;11.5;69.7;7.5;111.2;0.3;13.3;4.6;3.2
652;246 Overige chemische productenindustrie;2004;70.3;0.0;14.0;3.5;1.3;3.9;42.5;5.2;69.8;0.5;0.1;4.6;21.6
653;246 Overige chemische productenindustrie;2005;63.2;0.6;13.6;2.3;1.7;2.8;37.9;4.3;58.5;4.7;0.3;4.9;0.6
654;246 Overige chemische productenindustrie;2006;;;;;;;;;;;;;
655;246 Overige chemische productenindustrie;2007;163.5;17.2;45.1;5.8;1.7;3.3;82.9;7.5;145.7;17.7;0.6;4.6;3.4
656;246 Overige chemische productenindustrie;2008;123.2;0.0;6.4;2.2;1.3;1.7;104.7;6.9;122.3;0.9;;;2.0
657;2463 Reuk-,smaakstof-,etherisch olie-ind;2000;15.7;0.0;1.1;0.3;0.0;1.8;12.0;0.4;15.1;0.6;0.0;2.6;0.0
658;2463 Reuk-,smaakstof-,etherisch olie-ind;2001;;;;;;;;;;;;;
659;2463 Reuk-,smaakstof-,etherisch olie-ind;2002;;;;;;;;;;;;;
660;2463 Reuk-,smaakstof-,etherisch olie-ind;2003;;;;;;;;;;;;;
661;2463 Reuk-,smaakstof-,etherisch olie-ind;2004;;;;;;;;;;;;;
662;2463 Reuk-,smaakstof-,etherisch olie-ind;2005;11.1;0.0;0.6;0.5;0.1;1.0;8.6;0.3;11.1;0.0;0.0;1.3;0.0
663;2463 Reuk-,smaakstof-,etherisch olie-ind;2006;11.1;0.0;0.4;0.0;1.3;1.5;7.5;0.4;11.1;0.0;0.0;1.1;0.0
664;2463 Reuk-,smaakstof-,etherisch olie-ind;2007;;;;;;;;;;;;;
665;2463 Reuk-,smaakstof-,etherisch olie-ind;2008;;;;;;;;;;;;;
666;2464 Fotochemische productenindustrie;2000;;;;;;;;;;;;;
667;2464 Fotochemische productenindustrie;2001;;;;;;;;;;;;;
668;2464 Fotochemische productenindustrie;2002;;;;;;;;;;;;;
669;2464 Fotochemische productenindustrie;2003;;;;;;;;;;;;;
670;2464 Fotochemische productenindustrie;2004;;;;;;;;;;;;;
671;2464 Fotochemische productenindustrie;2005;;;;;;;;;;;;;
672;2464 Fotochemische productenindustrie;2006;;;;;;;;;;;;;
673;2464 Fotochemische productenindustrie;2007;;;;;;;;;;;;;
674;2464 Fotochemische productenindustrie;2008;;;;;;;;;;;;;
675;247 Synthetische en kunstmatige vezelind;2000;20.4;0.0;0.5;0.0;0.1;0.4;18.7;0.8;20.1;0.3;0.0;0.4;0.0
676;247 Synthetische en kunstmatige vezelind;2001;24.5;0.0;3.6;0.0;0.1;0.2;18.9;1.6;22.0;2.5;0.2;0.2;0.5
677;247 Synthetische en kunstmatige vezelind;2002;;;;;;;;;;;;;
678;247 Synthetische en kunstmatige vezelind;2003;;;;;;;;;;;;;
679;247 Synthetische en kunstmatige vezelind;2004;40.1;0.0;2.6;0.0;0.0;5.0;31.8;0.6;39.8;0.2;0.0;0.0;0.3
680;247 Synthetische en kunstmatige vezelind;2005;98.1;0.0;5.8;0.0;0.0;1.7;89.6;1.0;98.1;0.0;0.0;0.3;0.3
681;247 Synthetische en kunstmatige vezelind;2006;;;;;;;;;;;;;
682;247 Synthetische en kunstmatige vezelind;2007;80.3;0.0;19.5;0.0;0.0;0.6;58.7;1.6;80.0;0.3;0.0;0.5;0.2
683;247 Synthetische en kunstmatige vezelind;2008;;;;;;;;;;;;;
684;2470 Synthetische, kunstmatige vezelind.;2000;20.4;0.0;0.5;0.0;0.1;0.4;18.7;0.8;20.1;0.3;0.0;0.4;0.0
685;2470 Synthetische, kunstmatige vezelind.;2001;24.5;0.0;3.6;0.0;0.1;0.2;18.9;1.6;22.0;2.5;0.2;0.2;0.5
686;2470 Synthetische, kunstmatige vezelind.;2002;;;;;;;;;;;;;
687;2470 Synthetische, kunstmatige vezelind.;2003;;;;;;;;;;;;;
688;2470 Synthetische, kunstmatige vezelind.;2004;40.1;0.0;2.6;0.0;0.0;5.0;31.8;0.6;39.8;0.2;0.0;0.0;0.3
689;2470 Synthetische, kunstmatige vezelind.;2005;98.1;0.0;5.8;0.0;0.0;1.7;89.6;1.0;98.1;0.0;0.0;0.3;0.3
690;2470 Synthetische, kunstmatige vezelind.;2006;;;;;;;;;;;;;
691;2470 Synthetische, kunstmatige vezelind.;2007;80.3;0.0;19.5;0.0;0.0;0.6;58.7;1.6;80.0;0.3;0.0;0.5;0.2
692;2470 Synthetische, kunstmatige vezelind.;2008;;;;;;;;;;;;;
693;DH Rubber- en kunststofverwerkende ind.;2000;325.5;2.6;51.6;2.5;9.5;12.8;213.6;33.0;309.2;16.2;6.3;15.1;17.1
694;DH Rubber- en kunststofverwerkende ind.;2001;330.9;2.7;43.4;2.2;7.7;12.3;248.7;14.0;322.5;8.5;5.9;61.1;19.7
695;DH Rubber- en kunststofverwerkende ind.;2002;305.8;1.5;31.4;1.4;7.5;13.2;229.5;21.3;287.1;18.7;8.5;28.1;14.3
696;DH Rubber- en kunststofverwerkende ind.;2003;307.8;3.7;41.4;1.4;9.3;11.4;214.2;26.5;279.8;28.0;11.4;18.2;16.5
697;DH Rubber- en kunststofverwerkende ind.;2004;291.2;1.5;38.8;0.7;11.7;13.9;201.0;23.5;277.0;14.1;7.8;18.0;31.9
698;DH Rubber- en kunststofverwerkende ind.;2005;285.0;1.7;37.0;1.2;9.2;11.3;200.8;23.7;275.4;9.6;8.1;29.8;20.7
699;DH Rubber- en kunststofverwerkende ind.;2006;253.9;3.1;27.4;1.0;8.3;7.6;186.1;20.3;246.4;7.4;12.4;20.6;11.6
700;DH Rubber- en kunststofverwerkende ind.;2007;356.2;1.7;49.6;0.6;9.7;9.2;257.6;27.7;341.4;14.8;3.9;24.7;20.8
701;DH Rubber- en kunststofverwerkende ind.;2008;269.9;2.2;38.5;6.1;8.6;8.9;185.2;20.4;261.8;8.1;;;10.4
702;25 Rubber- en kunststofverwerkende ind.;2000;325.5;2.6;51.6;2.5;9.5;12.8;213.6;33.0;309.2;16.2;6.3;15.1;17.1
703;25 Rubber- en kunststofverwerkende ind.;2001;330.9;2.7;43.4;2.2;7.7;12.3;248.7;14.0;322.5;8.5;5.9;61.1;19.7
704;25 Rubber- en kunststofverwerkende ind.;2002;305.8;1.5;31.4;1.4;7.5;13.2;229.5;21.3;287.1;18.7;8.5;28.1;14.3
705;25 Rubber- en kunststofverwerkende ind.;2003;307.8;3.7;41.4;1.4;9.3;11.4;214.2;26.5;279.8;28.0;11.4;18.2;16.5
706;25 Rubber- en kunststofverwerkende ind.;2004;291.2;1.5;38.8;0.7;11.7;13.9;201.0;23.5;277.0;14.1;7.8;18.0;31.9
707;25 Rubber- en kunststofverwerkende ind.;2005;285.0;1.7;37.0;1.2;9.2;11.3;200.8;23.7;275.4;9.6;8.1;29.8;20.7
708;25 Rubber- en kunststofverwerkende ind.;2006;253.9;3.1;27.4;1.0;8.3;7.6;186.1;20.3;246.4;7.4;12.4;20.6;11.6
709;25 Rubber- en kunststofverwerkende ind.;2007;356.2;1.7;49.6;0.6;9.7;9.2;257.6;27.7;341.4;14.8;3.9;24.7;20.8
710;25 Rubber- en kunststofverwerkende ind.;2008;269.9;2.2;38.5;6.1;8.6;8.9;185.2;20.4;261.8;8.1;;;10.4
711;252 Kunststofverwerkende industrie;2000;304.1;2.6;49.0;2.3;8.6;12.1;199.9;29.6;288.7;15.4;6.3;15.1;16.8
712;252 Kunststofverwerkende industrie;2001;300.3;2.7;40.3;1.9;6.8;11.3;224.0;13.3;292.2;8.2;5.9;57.8;18.8
713;252 Kunststofverwerkende industrie;2002;278.4;1.5;28.3;1.3;6.6;12.0;209.1;19.6;261.1;17.3;8.3;27.8;14.0
714;252 Kunststofverwerkende industrie;2003;290.8;3.6;40.5;1.4;8.1;10.4;204.0;22.7;263.2;27.5;10.7;17.3;14.9
715;252 Kunststofverwerkende industrie;2004;265.0;1.5;36.4;0.7;11.1;13.1;183.7;18.4;251.1;13.9;7.8;18.0;30.5
716;252 Kunststofverwerkende industrie;2005;259.5;1.6;35.6;1.2;8.7;10.5;181.2;20.7;250.8;8.7;8.0;29.5;19.1
717;252 Kunststofverwerkende industrie;2006;227.0;3.1;25.4;0.4;7.6;6.9;164.3;19.2;221.1;6.0;12.4;20.5;11.4
718;252 Kunststofverwerkende industrie;2007;326.8;1.7;46.6;0.5;8.7;7.6;237.0;24.7;312.3;14.5;3.6;24.6;19.6
