ID;Voertuigsoort;KenmerkenVrachtautoSEnTrekkers;BedrijfstakkenBranchesSBI2008;Perioden;VoertuigenInGebruik_1;KilometersNederlandseVoertuigen_2;GemiddeldJaarkilometrage_3
119;Vrachtauto's en trekkers voor oplegger;Totaal;N Verhuur en overige zakelijke diensten;2023;7467.0;226.6;30346.0
120;Vrachtauto's en trekkers voor oplegger;Totaal;O Openbaar bestuur en overheidsdiensten;2018;1630.0;20.2;12402.0
121;Vrachtauto's en trekkers voor oplegger;Totaal;O Openbaar bestuur en overheidsdiensten;2019;1717.0;21.2;12335.0
122;Vrachtauto's en trekkers voor oplegger;Totaal;O Openbaar bestuur en overheidsdiensten;2020;1833.0;22.5;12251.0
123;Vrachtauto's en trekkers voor oplegger;Totaal;O Openbaar bestuur en overheidsdiensten;2021;1817.0;22.7;12504.0
124;Vrachtauto's en trekkers voor oplegger;Totaal;O Openbaar bestuur en overheidsdiensten;2022;1791.0;22.5;12535.0
125;Vrachtauto's en trekkers voor oplegger;Totaal;O Openbaar bestuur en overheidsdiensten;2023;1957.0;23.9;12198.0
126;Vrachtauto's en trekkers voor oplegger;Totaal;P Onderwijs;2018;800.0;16.4;20529.0
127;Vrachtauto's en trekkers voor oplegger;Totaal;P Onderwijs;2019;805.0;16.7;20713.0
128;Vrachtauto's en trekkers voor oplegger;Totaal;P Onderwijs;2020;838.0;13.5;16122.0
129;Vrachtauto's en trekkers voor oplegger;Totaal;P Onderwijs;2021;855.0;16.7;19492.0
130;Vrachtauto's en trekkers voor oplegger;Totaal;P Onderwijs;2022;876.0;18.5;21071.0
131;Vrachtauto's en trekkers voor oplegger;Totaal;P Onderwijs;2023;895.0;17.9;20029.0
132;Vrachtauto's en trekkers voor oplegger;Totaal;Q Gezondheids- en welzijnszorg;2018;240.0;4.7;19698.0
133;Vrachtauto's en trekkers voor oplegger;Totaal;Q Gezondheids- en welzijnszorg;2019;228.0;5.2;22918.0
134;Vrachtauto's en trekkers voor oplegger;Totaal;Q Gezondheids- en welzijnszorg;2020;227.0;4.2;18655.0
135;Vrachtauto's en trekkers voor oplegger;Totaal;Q Gezondheids- en welzijnszorg;2021;236.0;4.2;17977.0
136;Vrachtauto's en trekkers voor oplegger;Totaal;Q Gezondheids- en welzijnszorg;2022;240.0;4.9;20411.0
137;Vrachtauto's en trekkers voor oplegger;Totaal;Q Gezondheids- en welzijnszorg;2023;255.0;5.7;22361.0
138;Vrachtauto's en trekkers voor oplegger;Totaal;R Cultuur, sport en recreatie;2018;2146.0;29.0;13536.0
139;Vrachtauto's en trekkers voor oplegger;Totaal;R Cultuur, sport en recreatie;2019;2171.0;28.8;13247.0
140;Vrachtauto's en trekkers voor oplegger;Totaal;R Cultuur, sport en recreatie;2020;2305.0;21.0;9122.0
141;Vrachtauto's en trekkers voor oplegger;Totaal;R Cultuur, sport en recreatie;2021;2001.0;18.5;9252.0
142;Vrachtauto's en trekkers voor oplegger;Totaal;R Cultuur, sport en recreatie;2022;2218.0;27.4;12342.0
143;Vrachtauto's en trekkers voor oplegger;Totaal;R Cultuur, sport en recreatie;2023;2271.0;29.3;12901.0
144;Vrachtauto's en trekkers voor oplegger;Totaal;S Overige dienstverlening;2018;1064.0;44.3;41615.0
145;Vrachtauto's en trekkers voor oplegger;Totaal;S Overige dienstverlening;2019;1011.0;41.5;41018.0
146;Vrachtauto's en trekkers voor oplegger;Totaal;S Overige dienstverlening;2020;978.0;36.0;36760.0
147;Vrachtauto's en trekkers voor oplegger;Totaal;S Overige dienstverlening;2021;917.0;35.1;38324.0
148;Vrachtauto's en trekkers voor oplegger;Totaal;S Overige dienstverlening;2022;972.0;38.3;39418.0
149;Vrachtauto's en trekkers voor oplegger;Totaal;S Overige dienstverlening;2023;1009.0;38.8;38420.0
150;Vrachtauto's en trekkers voor oplegger;Totaal;SBI-code onbekend;2018;0.0;0.0;0.0
151;Vrachtauto's en trekkers voor oplegger;Totaal;SBI-code onbekend;2019;0.0;0.0;0.0
152;Vrachtauto's en trekkers voor oplegger;Totaal;SBI-code onbekend;2020;0.0;0.0;0.0
153;Vrachtauto's en trekkers voor oplegger;Totaal;SBI-code onbekend;2021;0.0;0.0;0.0
154;Vrachtauto's en trekkers voor oplegger;Totaal;SBI-code onbekend;2022;0.0;0.0;0.0
155;Vrachtauto's en trekkers voor oplegger;Totaal;SBI-code onbekend;2023;0.0;0.0;0.0
156;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;A-U Alle economische activiteiten;2018;52027.0;4180.4;80351.0
157;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;A-U Alle economische activiteiten;2019;53866.0;4197.0;77915.0
158;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;A-U Alle economische activiteiten;2020;49667.0;3984.7;80228.0
159;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;A-U Alle economische activiteiten;2021;47419.0;3740.9;78890.0
160;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;A-U Alle economische activiteiten;2022;44804.0;3346.6;74695.0
161;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;A-U Alle economische activiteiten;2023;45459.0;3187.3;70113.0
