ID;Perioden;BenzineEuro95_1;Diesel_2;Lpg_3
1622;2010 vrijdag 11 juni;1.519;1.188;0.627
1623;2010 zaterdag 12 juni;1.519;1.191;0.625
1624;2010 zondag 13 juni;1.518;1.19;0.627
1625;2010 maandag 14 juni;1.518;1.191;0.625
1626;2010 dinsdag 15 juni;1.519;1.189;0.625
1627;2010 woensdag 16 juni;1.518;1.188;0.625
1628;2010 donderdag 17 juni;1.518;1.188;0.621
1629;2010 vrijdag 18 juni;1.525;1.194;0.626
1630;2010 zaterdag 19 juni;1.527;1.195;0.627
1631;2010 zondag 20 juni;1.527;1.196;0.625
1632;2010 maandag 21 juni;1.527;1.196;0.625
1633;2010 dinsdag 22 juni;1.528;1.203;0.63
1634;2010 woensdag 23 juni;1.528;1.206;0.629
1635;2010 donderdag 24 juni;1.528;1.206;0.629
1636;2010 vrijdag 25 juni;1.527;1.204;0.63
1637;2010 zaterdag 26 juni;1.522;1.199;0.625
1638;2010 zondag 27 juni;1.522;1.199;0.626
1639;2010 maandag 28 juni;1.522;1.198;0.63
1640;2010 dinsdag 29 juni;1.525;1.198;0.628
1641;2010 woensdag 30 juni;1.525;1.197;0.629
1642;2010 donderdag 1 juli;1.522;1.196;0.627
1643;2010 vrijdag 2 juli;1.516;1.189;0.626
1644;2010 zaterdag 3 juli;1.506;1.18;0.624
1645;2010 zondag 4 juli;1.506;1.179;0.628
1646;2010 maandag 5 juli;1.507;1.179;0.623
1647;2010 dinsdag 6 juli;1.5;1.172;0.623
1648;2010 woensdag 7 juli;1.5;1.168;0.619
1649;2010 donderdag 8 juli;1.498;1.166;0.615
1650;2010 vrijdag 9 juli;1.498;1.166;0.618
1651;2010 zaterdag 10 juli;1.498;1.167;0.609
1652;2010 zondag 11 juli;1.499;1.165;0.62
1653;2010 maandag 12 juli;1.499;1.167;0.612
1654;2010 dinsdag 13 juli;1.499;1.166;0.614
1655;2010 woensdag 14 juli;1.499;1.169;0.612
1656;2010 donderdag 15 juli;1.499;1.171;0.612
1657;2010 vrijdag 16 juli;1.499;1.171;0.614
1658;2010 zaterdag 17 juli;1.497;1.167;0.608
1659;2010 zondag 18 juli;1.498;1.166;0.612
1660;2010 maandag 19 juli;1.498;1.167;0.609
1661;2010 dinsdag 20 juli;1.493;1.164;0.608
1662;2010 woensdag 21 juli;1.49;1.158;0.605
1663;2010 donderdag 22 juli;1.489;1.157;0.605
1664;2010 vrijdag 23 juli;1.49;1.157;0.601
1665;2010 zaterdag 24 juli;1.495;1.161;0.601
1666;2010 zondag 25 juli;1.494;1.161;0.603
1667;2010 maandag 26 juli;1.495;1.161;0.602
1668;2010 dinsdag 27 juli;1.498;1.163;0.603
1669;2010 woensdag 28 juli;1.498;1.166;0.602
1670;2010 donderdag 29 juli;1.499;1.166;0.604
1671;2010 vrijdag 30 juli;1.499;1.167;0.601
1672;2010 zaterdag 31 juli;1.498;1.163;0.598
1673;2010 zondag 1 augustus;1.498;1.163;0.594
1674;2010 maandag 2 augustus;1.499;1.164;0.603
1675;2010 dinsdag 3 augustus;1.498;1.165;0.601
1676;2010 woensdag 4 augustus;1.499;1.165;0.6
1677;2010 donderdag 5 augustus;1.499;1.168;0.601
1678;2010 vrijdag 6 augustus;1.499;1.172;0.6
1679;2010 zaterdag 7 augustus;1.499;1.173;0.603
1680;2010 zondag 8 augustus;1.498;1.173;0.601
1681;2010 maandag 9 augustus;1.5;1.174;0.599
1682;2010 dinsdag 10 augustus;1.498;1.175;0.603
1683;2010 woensdag 11 augustus;1.499;1.176;0.603
1684;2010 donderdag 12 augustus;1.499;1.177;0.607
1685;2010 vrijdag 13 augustus;1.499;1.177;0.597
1686;2010 zaterdag 14 augustus;1.494;1.171;0.603
1687;2010 zondag 15 augustus;1.494;1.171;0.602
1688;2010 maandag 16 augustus;1.494;1.171;0.6
1689;2010 dinsdag 17 augustus;1.492;1.168;0.601
1690;2010 woensdag 18 augustus;1.489;1.167;0.601
1691;2010 donderdag 19 augustus;1.489;1.167;0.601
1692;2010 vrijdag 20 augustus;1.489;1.167;0.602
1693;2010 zaterdag 21 augustus;1.487;1.167;0.603
1694;2010 zondag 22 augustus;1.489;1.166;0.604
1695;2010 maandag 23 augustus;1.489;1.167;0.6
1696;2010 dinsdag 24 augustus;1.486;1.167;0.603
1697;2010 woensdag 25 augustus;1.482;1.166;0.604
1698;2010 donderdag 26 augustus;1.479;1.16;0.606
1699;2010 vrijdag 27 augustus;1.479;1.16;0.605
1700;2010 zaterdag 28 augustus;1.479;1.161;0.604
1701;2010 zondag 29 augustus;1.479;1.162;0.606
1702;2010 maandag 30 augustus;1.478;1.161;0.604
1703;2010 dinsdag 31 augustus;1.479;1.164;0.611
1704;2010 woensdag 1 september;1.483;1.168;0.611
1705;2010 donderdag 2 september;1.486;1.169;0.608
1706;2010 vrijdag 3 september;1.486;1.166;0.609
1707;2010 zaterdag 4 september;1.487;1.166;0.612
1708;2010 zondag 5 september;1.487;1.166;0.615
1709;2010 maandag 6 september;1.488;1.167;0.617
1710;2010 dinsdag 7 september;1.488;1.166;0.614
1711;2010 woensdag 8 september;1.488;1.166;0.622
1712;2010 donderdag 9 september;1.493;1.172;0.627
1713;2010 vrijdag 10 september;1.497;1.176;0.628
1714;2010 zaterdag 11 september;1.504;1.183;0.628
1715;2010 zondag 12 september;1.505;1.183;0.635
1716;2010 maandag 13 september;1.506;1.184;0.634
1717;2010 dinsdag 14 september;1.508;1.186;0.637
1718;2010 woensdag 15 september;1.508;1.186;0.642
1719;2010 donderdag 16 september;1.507;1.185;0.642
1720;2010 vrijdag 17 september;1.508;1.186;0.642
1721;2010 zaterdag 18 september;1.507;1.185;0.645
1722;2010 zondag 19 september;1.507;1.185;0.64
1723;2010 maandag 20 september;1.508;1.186;0.646
1724;2010 dinsdag 21 september;1.507;1.185;0.646
1725;2010 woensdag 22 september;1.508;1.186;0.645
1726;2010 donderdag 23 september;1.505;1.183;0.644
1727;2010 vrijdag 24 september;1.494;1.177;0.647
1728;2010 zaterdag 25 september;1.489;1.176;0.645
1729;2010 zondag 26 september;1.488;1.175;0.648
1730;2010 maandag 27 september;1.489;1.176;0.645
1731;2010 dinsdag 28 september;1.488;1.176;0.65
1732;2010 woensdag 29 september;1.481;1.171;0.645
1733;2010 donderdag 30 september;1.479;1.167;0.645
1734;2010 vrijdag 1 oktober;1.479;1.168;0.642
1735;2010 zaterdag 2 oktober;1.48;1.176;0.643
1736;2010 zondag 3 oktober;1.479;1.175;0.641
1737;2010 maandag 4 oktober;1.48;1.177;0.64
1738;2010 dinsdag 5 oktober;1.487;1.184;0.64
1739;2010 woensdag 6 oktober;1.488;1.185;0.641
1740;2010 donderdag 7 oktober;1.488;1.185;0.638
1741;2010 vrijdag 8 oktober;1.489;1.185;0.641
1742;2010 zaterdag 9 oktober;1.49;1.184;0.639
1743;2010 zondag 10 oktober;1.491;1.185;0.638
1744;2010 maandag 11 oktober;1.492;1.185;0.642
1745;2010 dinsdag 12 oktober;1.497;1.186;0.638
1746;2010 woensdag 13 oktober;1.498;1.185;0.643
1747;2010 donderdag 14 oktober;1.498;1.186;0.641
1748;2010 vrijdag 15 oktober;1.498;1.186;0.644
1749;2010 zaterdag 16 oktober;1.497;1.185;0.64
1750;2010 zondag 17 oktober;1.496;1.185;0.646
1751;2010 maandag 18 oktober;1.498;1.186;0.643
1752;2010 dinsdag 19 oktober;1.499;1.185;0.641
1753;2010 woensdag 20 oktober;1.501;1.185;0.645
1754;2010 donderdag 21 oktober;1.502;1.185;0.644
1755;2010 vrijdag 22 oktober;1.498;1.185;0.645
1756;2010 zaterdag 23 oktober;1.497;1.184;0.643
1757;2010 zondag 24 oktober;1.497;1.185;0.65
1758;2010 maandag 25 oktober;1.497;1.186;0.647
1759;2010 dinsdag 26 oktober;1.497;1.185;0.648
1760;2010 woensdag 27 oktober;1.498;1.186;0.652
1761;2010 donderdag 28 oktober;1.498;1.185;0.652
1762;2010 vrijdag 29 oktober;1.498;1.186;0.653
1763;2010 zaterdag 30 oktober;1.495;1.185;0.65
1764;2010 zondag 31 oktober;1.494;1.184;0.65
1765;2010 maandag 1 november;1.496;1.185;0.655
1766;2010 dinsdag 2 november;1.494;1.185;0.656
1767;2010 woensdag 3 november;1.49;1.185;0.655
1768;2010 donderdag 4 november;1.49;1.185;0.661
1769;2010 vrijdag 5 november;1.491;1.185;0.663
1770;2010 zaterdag 6 november;1.496;1.186;0.664
1771;2010 zondag 7 november;1.495;1.186;0.663
1772;2010 maandag 8 november;1.495;1.187;0.662
1773;2010 dinsdag 9 november;1.499;1.19;0.664
1774;2010 woensdag 10 november;1.501;1.195;0.669
1775;2010 donderdag 11 november;1.503;1.2;0.67
1776;2010 vrijdag 12 november;1.51;1.209;0.674
1777;2010 zaterdag 13 november;1.513;1.208;0.677
1778;2010 zondag 14 november;1.513;1.208;0.681
1779;2010 maandag 15 november;1.514;1.209;0.675
1780;2010 dinsdag 16 november;1.517;1.212;0.686
1781;2010 woensdag 17 november;1.517;1.212;0.684
1782;2010 donderdag 18 november;1.516;1.212;0.69
1783;2010 vrijdag 19 november;1.516;1.209;0.69
1784;2010 zaterdag 20 november;1.512;1.206;0.689
1785;2010 zondag 21 november;1.511;1.205;0.689
1786;2010 maandag 22 november;1.513;1.206;0.695
1787;2010 dinsdag 23 november;1.51;1.203;0.694
1788;2010 woensdag 24 november;1.508;1.199;0.695
1789;2010 donderdag 25 november;1.507;1.199;0.696
1790;2010 vrijdag 26 november;1.514;1.206;0.7
1791;2010 zaterdag 27 november;1.517;1.207;0.701
1792;2010 zondag 28 november;1.517;1.207;0.701
1793;2010 maandag 29 november;1.517;1.208;0.704
1794;2010 dinsdag 30 november;1.525;1.214;0.707
1795;2010 woensdag 1 december;1.534;1.224;0.707
1796;2010 donderdag 2 december;1.538;1.227;0.716
1797;2010 vrijdag 3 december;1.549;1.235;0.724
1798;2010 zaterdag 4 december;1.561;1.24;0.735
1799;2010 zondag 5 december;1.56;1.24;0.731
1800;2010 maandag 6 december;1.562;1.241;0.733
1801;2010 dinsdag 7 december;1.569;1.246;0.739
1802;2010 woensdag 8 december;1.571;1.246;0.751
1803;2010 donderdag 9 december;1.571;1.245;0.753
1804;2010 vrijdag 10 december;1.571;1.245;0.752
1805;2010 zaterdag 11 december;1.571;1.245;0.757
1806;2010 zondag 12 december;1.571;1.244;0.754
1807;2010 maandag 13 december;1.571;1.245;0.756
1808;2010 dinsdag 14 december;1.574;1.249;0.759
1809;2010 woensdag 15 december;1.572;1.25;0.761
1810;2010 donderdag 16 december;1.568;1.251;0.76
1811;2010 vrijdag 17 december;1.568;1.253;0.76
1812;2010 zaterdag 18 december;1.568;1.253;0.759
1813;2010 zondag 19 december;1.567;1.254;0.763
1814;2010 maandag 20 december;1.568;1.254;0.761
1815;2010 dinsdag 21 december;1.57;1.255;0.762
1816;2010 woensdag 22 december;1.571;1.255;0.764
1817;2010 donderdag 23 december;1.573;1.259;0.755
1818;2010 vrijdag 24 december;1.577;1.263;0.76
1819;2010 zaterdag 25 december;1.579;1.264;0.765
1820;2010 zondag 26 december;1.579;1.265;0.76
1821;2010 maandag 27 december;1.58;1.266;0.762
1822;2010 dinsdag 28 december;1.582;1.267;0.762
1823;2010 woensdag 29 december;1.584;1.266;0.765
1824;2010 donderdag 30 december;1.584;1.268;0.765
1825;2010 vrijdag 31 december;1.584;1.269;0.764
1826;2011 zaterdag 1 januari;1.583;1.268;0.775
1827;2011 zondag 2 januari;1.583;1.269;0.763
1828;2011 maandag 3 januari;1.585;1.269;0.765
1829;2011 dinsdag 4 januari;1.588;1.273;0.769
1830;2011 woensdag 5 januari;1.587;1.273;0.769
1831;2011 donderdag 6 januari;1.587;1.273;0.764
1832;2011 vrijdag 7 januari;1.589;1.277;0.771
1833;2011 zaterdag 8 januari;1.593;1.279;0.766
1834;2011 zondag 9 januari;1.593;1.279;0.771
1835;2011 maandag 10 januari;1.593;1.28;0.768
1836;2011 dinsdag 11 januari;1.598;1.283;0.769
1837;2011 woensdag 12 januari;1.601;1.291;0.766
1838;2011 donderdag 13 januari;1.61;1.3;0.766
1839;2011 vrijdag 14 januari;1.611;1.302;0.763
1840;2011 zaterdag 15 januari;1.609;1.301;0.762
1841;2011 zondag 16 januari;1.609;1.3;0.763
1842;2011 maandag 17 januari;1.61;1.301;0.765
1843;2011 dinsdag 18 januari;1.608;1.301;0.762
1844;2011 woensdag 19 januari;1.606;1.301;0.759
1845;2011 donderdag 20 januari;1.607;1.3;0.759
1846;2011 vrijdag 21 januari;1.604;1.299;0.752
1847;2011 zaterdag 22 januari;1.596;1.296;0.749
1848;2011 zondag 23 januari;1.594;1.296;0.749
1849;2011 maandag 24 januari;1.595;1.296;0.747
1850;2011 dinsdag 25 januari;1.591;1.295;0.751
1851;2011 woensdag 26 januari;1.582;1.287;0.733
1852;2011 donderdag 27 januari;1.578;1.285;0.73
1853;2011 vrijdag 28 januari;1.578;1.285;0.723
1854;2011 zaterdag 29 januari;1.574;1.285;0.717
1855;2011 zondag 30 januari;1.572;1.284;0.715
1856;2011 maandag 31 januari;1.573;1.285;0.714
1857;2011 dinsdag 1 februari;1.573;1.284;0.703
1858;2011 woensdag 2 februari;1.578;1.287;0.695
1859;2011 donderdag 3 februari;1.581;1.289;0.694
1860;2011 vrijdag 4 februari;1.584;1.292;0.694
1861;2011 zaterdag 5 februari;1.584;1.297;0.692
1862;2011 zondag 6 februari;1.583;1.298;0.693
1863;2011 maandag 7 februari;1.584;1.299;0.692
1864;2011 dinsdag 8 februari;1.585;1.304;0.692
1865;2011 woensdag 9 februari;1.583;1.303;0.692
1866;2011 donderdag 10 februari;1.585;1.305;0.691
1867;2011 vrijdag 11 februari;1.587;1.312;0.687
1868;2011 zaterdag 12 februari;1.587;1.312;0.692
1869;2011 zondag 13 februari;1.587;1.312;0.69
1870;2011 maandag 14 februari;1.588;1.313;0.691
1871;2011 dinsdag 15 februari;1.59;1.314;0.692
1872;2011 woensdag 16 februari;1.596;1.317;0.695
1873;2011 donderdag 17 februari;1.597;1.319;0.695
1874;2011 vrijdag 18 februari;1.599;1.318;0.695
1875;2011 zaterdag 19 februari;1.603;1.317;0.693
1876;2011 zondag 20 februari;1.602;1.317;0.694
1877;2011 maandag 21 februari;1.604;1.318;0.695
1878;2011 dinsdag 22 februari;1.607;1.319;0.694
1879;2011 woensdag 23 februari;1.615;1.325;0.696
1880;2011 donderdag 24 februari;1.619;1.329;0.697
1881;2011 vrijdag 25 februari;1.63;1.341;0.699
1882;2011 zaterdag 26 februari;1.632;1.344;0.697
1883;2011 zondag 27 februari;1.631;1.343;0.693
1884;2011 maandag 28 februari;1.633;1.344;0.694
1885;2011 dinsdag 1 maart;1.636;1.344;0.697
1886;2011 woensdag 2 maart;1.636;1.345;0.695
1887;2011 donderdag 3 maart;1.637;1.353;0.697
1888;2011 vrijdag 4 maart;1.643;1.361;0.696
1889;2011 zaterdag 5 maart;1.647;1.365;0.697
1890;2011 zondag 6 maart;1.646;1.365;0.695
1891;2011 maandag 7 maart;1.647;1.365;0.697
1892;2011 dinsdag 8 maart;1.652;1.372;0.704
1893;2011 woensdag 9 maart;1.652;1.374;0.702
1894;2011 donderdag 10 maart;1.647;1.371;0.705
1895;2011 vrijdag 11 maart;1.65;1.374;0.705
1896;2011 zaterdag 12 maart;1.648;1.373;0.705
1897;2011 zondag 13 maart;1.648;1.373;0.701
1898;2011 maandag 14 maart;1.648;1.373;0.703
1899;2011 dinsdag 15 maart;1.645;1.374;0.706
1900;2011 woensdag 16 maart;1.634;1.367;0.706
1901;2011 donderdag 17 maart;1.622;1.364;0.707
1902;2011 vrijdag 18 maart;1.619;1.364;0.702
1903;2011 zaterdag 19 maart;1.617;1.362;0.706
1904;2011 zondag 20 maart;1.617;1.362;0.702
1905;2011 maandag 21 maart;1.617;1.363;0.706
1906;2011 dinsdag 22 maart;1.619;1.361;0.701
1907;2011 woensdag 23 maart;1.62;1.36;0.705
1908;2011 donderdag 24 maart;1.62;1.359;0.704
1909;2011 vrijdag 25 maart;1.622;1.36;0.706
1910;2011 zaterdag 26 maart;1.623;1.36;0.704
1911;2011 zondag 27 maart;1.622;1.359;0.708
1912;2011 maandag 28 maart;1.622;1.36;0.702
1913;2011 dinsdag 29 maart;1.624;1.36;0.707
1914;2011 woensdag 30 maart;1.621;1.358;0.705
1915;2011 donderdag 31 maart;1.63;1.36;0.709
1916;2011 vrijdag 1 april;1.644;1.364;0.718
1917;2011 zaterdag 2 april;1.652;1.366;0.717
1918;2011 zondag 3 april;1.652;1.366;0.718
1919;2011 maandag 4 april;1.653;1.367;0.717
1920;2011 dinsdag 5 april;1.666;1.372;0.725
1921;2011 woensdag 6 april;1.674;1.375;0.729
1922;2011 donderdag 7 april;1.675;1.377;0.735
1923;2011 vrijdag 8 april;1.679;1.381;0.732
1924;2011 zaterdag 9 april;1.686;1.384;0.736
1925;2011 zondag 10 april;1.686;1.383;0.73
1926;2011 maandag 11 april;1.686;1.384;0.738
1927;2011 dinsdag 12 april;1.688;1.386;0.736
1928;2011 woensdag 13 april;1.693;1.387;0.738
1929;2011 donderdag 14 april;1.692;1.381;0.737
1930;2011 vrijdag 15 april;1.694;1.382;0.738
1931;2011 zaterdag 16 april;1.694;1.381;0.739
1932;2011 zondag 17 april;1.694;1.381;0.737
1933;2011 maandag 18 april;1.695;1.382;0.737
1934;2011 dinsdag 19 april;1.695;1.383;0.736
1935;2011 woensdag 20 april;1.695;1.379;0.74
1936;2011 donderdag 21 april;1.694;1.376;0.74
1937;2011 vrijdag 22 april;1.696;1.375;0.741
1938;2011 zaterdag 23 april;1.697;1.374;0.738
1939;2011 zondag 24 april;1.697;1.374;0.736
1940;2011 maandag 25 april;1.698;1.374;0.735
1941;2011 dinsdag 26 april;1.697;1.375;0.738
1942;2011 woensdag 27 april;1.698;1.374;0.736
1943;2011 donderdag 28 april;1.698;1.373;0.736
1944;2011 vrijdag 29 april;1.701;1.374;0.739
1945;2011 zaterdag 30 april;1.699;1.373;0.736
1946;2011 zondag 1 mei;1.698;1.373;0.732
1947;2011 maandag 2 mei;1.699;1.374;0.735
1948;2011 dinsdag 3 mei;1.699;1.373;0.737
1949;2011 woensdag 4 mei;1.7;1.374;0.737
1950;2011 donderdag 5 mei;1.699;1.374;0.735
1951;2011 vrijdag 6 mei;1.698;1.367;0.735
1952;2011 zaterdag 7 mei;1.682;1.349;0.734
1953;2011 zondag 8 mei;1.682;1.347;0.732
1954;2011 maandag 9 mei;1.681;1.347;0.729
1955;2011 dinsdag 10 mei;1.678;1.345;0.729
1956;2011 woensdag 11 mei;1.686;1.345;0.73
1957;2011 donderdag 12 mei;1.695;1.345;0.721
1958;2011 vrijdag 13 mei;1.695;1.344;0.728
1959;2011 zaterdag 14 mei;1.69;1.34;0.727
1960;2011 zondag 15 mei;1.69;1.339;0.725
1961;2011 maandag 16 mei;1.69;1.341;0.722
1962;2011 dinsdag 17 mei;1.686;1.335;0.726
1963;2011 woensdag 18 mei;1.683;1.332;0.722
1964;2011 donderdag 19 mei;1.676;1.328;0.724
1965;2011 vrijdag 20 mei;1.675;1.327;0.724
1966;2011 zaterdag 21 mei;1.672;1.325;0.719
1967;2011 zondag 22 mei;1.672;1.324;0.719
1968;2011 maandag 23 mei;1.673;1.325;0.717
1969;2011 dinsdag 24 mei;1.667;1.324;0.712
1970;2011 woensdag 25 mei;1.668;1.326;0.706
1971;2011 donderdag 26 mei;1.669;1.328;0.706
1972;2011 vrijdag 27 mei;1.671;1.332;0.704
1973;2011 zaterdag 28 mei;1.671;1.332;0.706
1974;2011 zondag 29 mei;1.671;1.331;0.703
1975;2011 maandag 30 mei;1.672;1.332;0.707
1976;2011 dinsdag 31 mei;1.675;1.333;0.706
1977;2011 woensdag 1 juni;1.675;1.335;0.703
1978;2011 donderdag 2 juni;1.674;1.336;0.698
1979;2011 vrijdag 3 juni;1.675;1.337;0.704
1980;2011 zaterdag 4 juni;1.672;1.335;0.701
1981;2011 zondag 5 juni;1.671;1.335;0.698
1982;2011 maandag 6 juni;1.671;1.336;0.701
1983;2011 dinsdag 7 juni;1.663;1.33;0.705
1984;2011 woensdag 8 juni;1.656;1.325;0.69
1985;2011 donderdag 9 juni;1.651;1.326;0.685
1986;2011 vrijdag 10 juni;1.649;1.327;0.682
1987;2011 zaterdag 11 juni;1.649;1.334;0.68
1988;2011 zondag 12 juni;1.649;1.334;0.678
1989;2011 maandag 13 juni;1.649;1.333;0.684
1990;2011 dinsdag 14 juni;1.65;1.336;0.682
1991;2011 woensdag 15 juni;1.65;1.345;0.68
1992;2011 donderdag 16 juni;1.651;1.351;0.682
1993;2011 vrijdag 17 juni;1.651;1.352;0.684
1994;2011 zaterdag 18 juni;1.645;1.347;0.68
1995;2011 zondag 19 juni;1.644;1.347;0.677
1996;2011 maandag 20 juni;1.644;1.348;0.678
1997;2011 dinsdag 21 juni;1.638;1.344;0.683
1998;2011 woensdag 22 juni;1.636;1.341;0.678
1999;2011 donderdag 23 juni;1.634;1.334;0.679
2000;2011 vrijdag 24 juni;1.631;1.333;0.674
2001;2011 zaterdag 25 juni;1.625;1.324;0.671
2002;2011 zondag 26 juni;1.624;1.323;0.678
2003;2011 maandag 27 juni;1.624;1.323;0.674
2004;2011 dinsdag 28 juni;1.615;1.316;0.672
2005;2011 woensdag 29 juni;1.607;1.311;0.675
2006;2011 donderdag 30 juni;1.611;1.312;0.675
2007;2011 vrijdag 1 juli;1.618;1.316;0.675
2008;2011 zaterdag 2 juli;1.619;1.316;0.675
2009;2011 zondag 3 juli;1.619;1.315;0.674
2010;2011 maandag 4 juli;1.62;1.316;0.674
2011;2011 dinsdag 5 juli;1.622;1.319;0.676
2012;2011 woensdag 6 juli;1.624;1.32;0.676
2013;2011 donderdag 7 juli;1.627;1.323;0.676
2014;2011 vrijdag 8 juli;1.636;1.329;0.68
2015;2011 zaterdag 9 juli;1.647;1.342;0.681
2016;2011 zondag 10 juli;1.648;1.343;0.689
2017;2011 maandag 11 juli;1.649;1.343;0.683
2018;2011 dinsdag 12 juli;1.657;1.35;0.687
2019;2011 woensdag 13 juli;1.664;1.354;0.689
2020;2011 donderdag 14 juli;1.669;1.357;0.688
2021;2011 vrijdag 15 juli;1.675;1.361;0.689
2022;2011 zaterdag 16 juli;1.675;1.36;0.69
2023;2011 zondag 17 juli;1.674;1.36;0.691
2024;2011 maandag 18 juli;1.675;1.361;0.689
2025;2011 dinsdag 19 juli;1.677;1.363;0.692
2026;2011 woensdag 20 juli;1.676;1.363;0.695
2027;2011 donderdag 21 juli;1.679;1.363;0.696
2028;2011 vrijdag 22 juli;1.679;1.363;0.698
2029;2011 zaterdag 23 juli;1.679;1.363;0.7
2030;2011 zondag 24 juli;1.68;1.363;0.692
2031;2011 maandag 25 juli;1.679;1.365;0.697
2032;2011 dinsdag 26 juli;1.68;1.366;0.7
2033;2011 woensdag 27 juli;1.675;1.362;0.702
2034;2011 donderdag 28 juli;1.672;1.359;0.703
2035;2011 vrijdag 29 juli;1.672;1.358;0.704
2036;2011 zaterdag 30 juli;1.671;1.357;0.706
2037;2011 zondag 31 juli;1.67;1.356;0.71
2038;2011 maandag 1 augustus;1.671;1.358;0.701
2039;2011 dinsdag 2 augustus;1.672;1.361;0.704
2040;2011 woensdag 3 augustus;1.672;1.358;0.701
2041;2011 donderdag 4 augustus;1.672;1.356;0.707
2042;2011 vrijdag 5 augustus;1.669;1.355;0.703
2043;2011 zaterdag 6 augustus;1.658;1.346;0.707
2044;2011 zondag 7 augustus;1.656;1.345;0.702
2045;2011 maandag 8 augustus;1.656;1.346;0.707
2046;2011 dinsdag 9 augustus;1.649;1.338;0.707
2047;2011 woensdag 10 augustus;1.636;1.326;0.701
2048;2011 donderdag 11 augustus;1.628;1.321;0.703
2049;2011 vrijdag 12 augustus;1.625;1.32;0.702
2050;2011 zaterdag 13 augustus;1.627;1.322;0.699
2051;2011 zondag 14 augustus;1.627;1.323;0.7
2052;2011 maandag 15 augustus;1.627;1.324;0.696
2053;2011 dinsdag 16 augustus;1.627;1.322;0.693
2054;2011 woensdag 17 augustus;1.625;1.321;0.689
2055;2011 donderdag 18 augustus;1.625;1.321;0.688
2056;2011 vrijdag 19 augustus;1.623;1.32;0.687
2057;2011 zaterdag 20 augustus;1.615;1.31;0.689
2058;2011 zondag 21 augustus;1.614;1.309;0.686
2059;2011 maandag 22 augustus;1.615;1.31;0.685
2060;2011 dinsdag 23 augustus;1.613;1.308;0.684
2061;2011 woensdag 24 augustus;1.612;1.309;0.684
2062;2011 donderdag 25 augustus;1.618;1.308;0.688
2063;2011 vrijdag 26 augustus;1.623;1.313;0.689
2064;2011 zaterdag 27 augustus;1.628;1.316;0.679
2065;2011 zondag 28 augustus;1.628;1.316;0.685
2066;2011 maandag 29 augustus;1.628;1.317;0.684
2067;2011 dinsdag 30 augustus;1.63;1.32;0.688
2068;2011 woensdag 31 augustus;1.639;1.325;0.684
2069;2011 donderdag 1 september;1.646;1.331;0.686
2070;2011 vrijdag 2 september;1.655;1.335;0.685
2071;2011 zaterdag 3 september;1.662;1.335;0.686
2072;2011 zondag 4 september;1.662;1.335;0.686
2073;2011 maandag 5 september;1.663;1.337;0.682
2074;2011 dinsdag 6 september;1.666;1.338;0.689
2075;2011 woensdag 7 september;1.668;1.339;0.688
2076;2011 donderdag 8 september;1.674;1.343;0.688
2077;2011 vrijdag 9 september;1.682;1.349;0.688
2078;2011 zaterdag 10 september;1.686;1.354;0.69
2079;2011 zondag 11 september;1.686;1.354;0.689
2080;2011 maandag 12 september;1.687;1.355;0.693
2081;2011 dinsdag 13 september;1.686;1.354;0.693
2082;2011 woensdag 14 september;1.685;1.353;0.697
2083;2011 donderdag 15 september;1.678;1.352;0.697
2084;2011 vrijdag 16 september;1.678;1.356;0.698
2085;2011 zaterdag 17 september;1.679;1.355;0.694
2086;2011 zondag 18 september;1.678;1.355;0.691
2087;2011 maandag 19 september;1.679;1.356;0.702
2088;2011 dinsdag 20 september;1.681;1.355;0.702
2089;2011 woensdag 21 september;1.68;1.355;0.7
2090;2011 donderdag 22 september;1.679;1.353;0.702
2091;2011 vrijdag 23 september;1.681;1.354;0.701
2092;2011 zaterdag 24 september;1.668;1.352;0.699
2093;2011 zondag 25 september;1.667;1.351;0.702
2094;2011 maandag 26 september;1.667;1.352;0.699
2095;2011 dinsdag 27 september;1.659;1.352;0.702
2096;2011 woensdag 28 september;1.648;1.352;0.703
2097;2011 donderdag 29 september;1.642;1.349;0.701
2098;2011 vrijdag 30 september;1.641;1.349;0.701
2099;2011 zaterdag 1 oktober;1.634;1.341;0.697
2100;2011 zondag 2 oktober;1.633;1.341;0.698
2101;2011 maandag 3 oktober;1.634;1.342;0.699
2102;2011 dinsdag 4 oktober;1.629;1.34;0.7
2103;2011 woensdag 5 oktober;1.624;1.339;0.696
2104;2011 donderdag 6 oktober;1.62;1.338;0.695
2105;2011 vrijdag 7 oktober;1.621;1.34;0.693
2106;2011 zaterdag 8 oktober;1.627;1.344;0.688
2107;2011 zondag 9 oktober;1.627;1.344;0.688
2108;2011 maandag 10 oktober;1.628;1.346;0.695
2109;2011 dinsdag 11 oktober;1.635;1.35;0.694
2110;2011 woensdag 12 oktober;1.638;1.35;0.691
2111;2011 donderdag 13 oktober;1.64;1.348;0.693
2112;2011 vrijdag 14 oktober;1.641;1.348;0.69
2113;2011 zaterdag 15 oktober;1.641;1.359;0.69
2114;2011 zondag 16 oktober;1.64;1.359;0.685
2115;2011 maandag 17 oktober;1.641;1.361;0.69
2116;2011 dinsdag 18 oktober;1.645;1.369;0.684
2117;2011 woensdag 19 oktober;1.645;1.37;0.686
2118;2011 donderdag 20 oktober;1.644;1.372;0.685
