ID;Age;Sex;Periods;TotalUnemploymentBenefits_1;Duration0Till6Months_2;Duration6Till12Months_3;DurationMoreThan12Months_4
350;30 to 35 years;Women;2000;11100;1400;910;8800
351;30 to 35 years;Women;2001;9860;4050;2240;3570
352;30 to 35 years;Women;2002;12690;5870;3130;3690
353;30 to 35 years;Women;2003;18370;8470;4770;5130
354;30 to 35 years;Women;2004;20220;8570;5260;6390
355;30 to 35 years;Women;2005;16560;7570;4870;4130
356;30 to 35 years;Women;2006;10340;5210;3050;1790
357;30 to 35 years;Women;2007;7010;4170;1850;990
358;30 to 35 years;Women;2008;6680;4550;1570;560
359;30 to 35 years;Women;2009;12120;8460;3330;330
360;35 to 40 years;Total men and women;1998;30840;120;550;30170
361;35 to 40 years;Total men and women;1999;23250;8970;4090;10180
362;35 to 40 years;Total men and women;2000;19640;2250;1470;15920
363;35 to 40 years;Total men and women;2001;17930;7950;3720;6260
364;35 to 40 years;Total men and women;2002;24980;11680;5910;7390
365;35 to 40 years;Total men and women;2003;37710;16820;9570;11320
366;35 to 40 years;Total men and women;2004;44820;17100;10430;17280
367;35 to 40 years;Total men and women;2005;40120;15390;9440;15300
368;35 to 40 years;Total men and women;2006;27570;11560;6950;8500
369;35 to 40 years;Total men and women;2007;19380;10150;4750;4490
370;35 to 40 years;Total men and women;2008;18360;10880;4040;3440
371;35 to 40 years;Total men and women;2009;34830;20680;10660;3490
372;35 to 40 years;Men;1998;15210;60;380;14770
373;35 to 40 years;Men;1999;11010;5080;1910;4030
374;35 to 40 years;Men;2000;9360;1010;630;7710
375;35 to 40 years;Men;2001;8550;4370;1730;2460
376;35 to 40 years;Men;2002;13210;6850;3100;3260
377;35 to 40 years;Men;2003;20540;9630;5270;5650
378;35 to 40 years;Men;2004;23180;9190;5220;8780
379;35 to 40 years;Men;2005;19100;7600;4310;7190
380;35 to 40 years;Men;2006;12350;5670;2950;3460
381;35 to 40 years;Men;2007;8240;4720;1930;1590
382;35 to 40 years;Men;2008;8690;5640;1830;1230
383;35 to 40 years;Men;2009;19170;11610;5900;1660
384;35 to 40 years;Women;1998;15630;60;170;15390
385;35 to 40 years;Women;1999;12240;3900;2180;6160
386;35 to 40 years;Women;2000;10290;1240;840;8200
387;35 to 40 years;Women;2001;9380;3580;2000;3800
388;35 to 40 years;Women;2002;11770;4830;2800;4130
389;35 to 40 years;Women;2003;17170;7190;4300;5670
390;35 to 40 years;Women;2004;21640;7920;5210;8510
391;35 to 40 years;Women;2005;21020;7780;5130;8110
392;35 to 40 years;Women;2006;15220;5880;4010;5050
393;35 to 40 years;Women;2007;11080;5380;2810;2900
394;35 to 40 years;Women;2008;9670;5250;2210;2210
395;35 to 40 years;Women;2009;15660;9070;4760;1830
396;40 to 45 years;Total men and women;1998;29420;90;470;28860
397;40 to 45 years;Total men and women;1999;21720;7800;3460;10470
398;40 to 45 years;Total men and women;2000;17690;2030;1380;14280
399;40 to 45 years;Total men and women;2001;16130;6620;3130;6380
400;40 to 45 years;Total men and women;2002;22290;10020;5020;7250
401;40 to 45 years;Total men and women;2003;34860;14770;8560;11530
402;40 to 45 years;Total men and women;2004;42540;15410;9370;17770
403;40 to 45 years;Total men and women;2005;42570;13960;8970;19640
404;40 to 45 years;Total men and women;2006;32380;11640;7310;12830
405;40 to 45 years;Total men and women;2007;22890;10100;5250;7530
406;40 to 45 years;Total men and women;2008;20800;10550;4360;5890
407;40 to 45 years;Total men and women;2009;37850;20410;11000;6440
408;40 to 45 years;Men;1998;14520;70;300;14150
409;40 to 45 years;Men;1999;10540;4450;1660;4430
410;40 to 45 years;Men;2000;8790;1000;630;7160
411;40 to 45 years;Men;2001;8070;3750;1570;2750
412;40 to 45 years;Men;2002;12290;5930;2870;3490
413;40 to 45 years;Men;2003;19820;8650;4900;6260
414;40 to 45 years;Men;2004;23240;8520;4990;9730
415;40 to 45 years;Men;2005;21980;7340;4470;10170
416;40 to 45 years;Men;2006;15690;5980;3360;6020
417;40 to 45 years;Men;2007;10310;5000;2330;2980
418;40 to 45 years;Men;2008;9970;5730;2030;2220
419;40 to 45 years;Men;2009;21420;11970;6350;3110
420;40 to 45 years;Women;1998;14900;30;170;14710
421;40 to 45 years;Women;1999;11180;3350;1800;6030
422;40 to 45 years;Women;2000;8910;1030;750;7130
423;40 to 45 years;Women;2001;8060;2870;1560;3630
424;40 to 45 years;Women;2002;10010;4090;2160;3760
425;40 to 45 years;Women;2003;15040;6120;3660;5270
426;40 to 45 years;Women;2004;19300;6880;4380;8040
427;40 to 45 years;Women;2005;20590;6620;4500;9470
428;40 to 45 years;Women;2006;16690;5660;3950;6810
429;40 to 45 years;Women;2007;12530;5070;2920;4540
430;40 to 45 years;Women;2008;10840;4820;2340;3670
431;40 to 45 years;Women;2009;16430;8440;4660;3330
432;45 to 50 years;Total men and women;1998;30070;110;490;29470
433;45 to 50 years;Total men and women;1999;22840;6900;3250;12690
434;45 to 50 years;Total men and women;2000;17680;1940;1300;14450
435;45 to 50 years;Total men and women;2001;15480;5790;3030;6670
436;45 to 50 years;Total men and women;2002;20340;8800;4580;6960
437;45 to 50 years;Total men and women;2003;30710;12430;7410;10870
438;45 to 50 years;Total men and women;2004;38340;13100;8480;16770
439;45 to 50 years;Total men and women;2005;40370;11740;7900;20730
440;45 to 50 years;Total men and women;2006;34580;10780;6920;16300
441;45 to 50 years;Total men and women;2007;25150;9580;5460;10110
442;45 to 50 years;Total men and women;2008;22830;9880;4530;8420
443;45 to 50 years;Total men and women;2009;37720;19070;10340;8320
444;45 to 50 years;Men;1998;15080;70;270;14750
445;45 to 50 years;Men;1999;11070;3940;1600;5540
446;45 to 50 years;Men;2000;8760;1030;620;7110
447;45 to 50 years;Men;2001;7950;3370;1550;3030
448;45 to 50 years;Men;2002;11650;5270;2710;3660
449;45 to 50 years;Men;2003;18010;7330;4510;6170
450;45 to 50 years;Men;2004;21790;7410;4710;9670
451;45 to 50 years;Men;2005;21830;6300;4130;11400
452;45 to 50 years;Men;2006;17560;5550;3360;8320
453;45 to 50 years;Men;2007;12140;4890;2600;4650
454;45 to 50 years;Men;2008;11360;5470;2180;3710
455;45 to 50 years;Men;2009;21560;11370;6110;4080
456;45 to 50 years;Women;1998;14980;40;220;14720
457;45 to 50 years;Women;1999;11770;2960;1650;7150
458;45 to 50 years;Women;2000;8920;910;670;7340
459;45 to 50 years;Women;2001;7530;2420;1470;3640
460;45 to 50 years;Women;2002;8690;3530;1870;3300
461;45 to 50 years;Women;2003;12700;5090;2910;4700
462;45 to 50 years;Women;2004;16550;5690;3770;7100
463;45 to 50 years;Women;2005;18540;5440;3770;9330
464;45 to 50 years;Women;2006;17030;5230;3560;7980
465;45 to 50 years;Women;2007;12960;4650;2850;5460
466;45 to 50 years;Women;2008;11480;4420;2350;4710
467;45 to 50 years;Women;2009;16160;7690;4230;4240
468;50 to 55 years;Total men and women;1998;30610;110;480;30030
469;50 to 55 years;Total men and women;1999;25360;6350;3370;15650
470;50 to 55 years;Total men and women;2000;21660;2300;1660;17700
471;50 to 55 years;Total men and women;2001;17490;5270;3120;9090
472;50 to 55 years;Total men and women;2002;21030;7750;4730;8550
473;50 to 55 years;Total men and women;2003;29460;10690;6780;12000
474;50 to 55 years;Total men and women;2004;36520;11310;7700;17520
475;50 to 55 years;Total men and women;2005;39260;9810;7260;22200
476;50 to 55 years;Total men and women;2006;36360;8910;6240;20750
477;50 to 55 years;Total men and women;2007;26610;8090;5040;13480
478;50 to 55 years;Total men and women;2008;22750;8810;4510;9430
479;50 to 55 years;Total men and women;2009;35140;15690;9880;9570
480;50 to 55 years;Men;1998;15880;60;290;15520
481;50 to 55 years;Men;1999;12690;3820;1770;7100
482;50 to 55 years;Men;2000;11140;1250;860;9030
483;50 to 55 years;Men;2001;9200;3150;1730;4320
484;50 to 55 years;Men;2002;12260;4880;2950;4430
485;50 to 55 years;Men;2003;17600;6440;4240;6920
486;50 to 55 years;Men;2004;21380;6660;4380;10340
487;50 to 55 years;Men;2005;21950;5500;3990;12470
488;50 to 55 years;Men;2006;19370;4800;3260;11030
489;50 to 55 years;Men;2007;13250;4220;2440;6600
490;50 to 55 years;Men;2008;11540;4900;2240;4400
491;50 to 55 years;Men;2009;20360;9630;5830;4900
492;50 to 55 years;Women;1998;14740;50;180;14510
493;50 to 55 years;Women;1999;12680;2530;1600;8540
494;50 to 55 years;Women;2000;10520;1060;800;8670
495;50 to 55 years;Women;2001;8290;2120;1400;4770
496;50 to 55 years;Women;2002;8770;2880;1780;4110
497;50 to 55 years;Women;2003;11860;4250;2540;5070
498;50 to 55 years;Women;2004;15140;4650;3320;7180
499;50 to 55 years;Women;2005;17310;4310;3270;9730
500;50 to 55 years;Women;2006;17000;4110;2980;9720
501;50 to 55 years;Women;2007;13320;3840;2600;6880
502;50 to 55 years;Women;2008;11210;3910;2270;5040
503;50 to 55 years;Women;2009;14780;6070;4050;4670
504;55 to 60 years;Total men and women;1998;43690;110;410;43160
505;55 to 60 years;Total men and women;1999;36590;5680;3560;27360
506;55 to 60 years;Total men and women;2000;31050;3570;2450;25040
507;55 to 60 years;Total men and women;2001;27610;5190;4390;18020
508;55 to 60 years;Total men and women;2002;30530;7270;5970;17290
509;55 to 60 years;Total men and women;2003;38360;10140;7870;20340
510;55 to 60 years;Total men and women;2004;43190;9290;7960;25940
511;55 to 60 years;Total men and women;2005;46930;8300;7690;30930
512;55 to 60 years;Total men and women;2006;45050;7730;6140;30800
513;55 to 60 years;Total men and women;2007;37280;6640;4730;25910
514;55 to 60 years;Total men and women;2008;27800;6850;4110;16850
515;55 to 60 years;Total men and women;2009;34300;13070;8320;12910
516;55 to 60 years;Men;1998;29780;80;300;29410
517;55 to 60 years;Men;1999;24230;4010;2400;17830
518;55 to 60 years;Men;2000;20130;2430;1600;16110
519;55 to 60 years;Men;2001;17690;3610;2960;11130
520;55 to 60 years;Men;2002;20110;5080;4180;10860
521;55 to 60 years;Men;2003;25650;7020;5530;13100
522;55 to 60 years;Men;2004;28700;6280;5450;16970
523;55 to 60 years;Men;2005;30110;5350;4900;19870
524;55 to 60 years;Men;2006;27590;4940;3570;18840
525;55 to 60 years;Men;2007;21490;3910;2650;14940
526;55 to 60 years;Men;2008;15730;4130;2310;9300
527;55 to 60 years;Men;2009;20910;8520;5240;7160
528;55 to 60 years;Women;1998;13900;40;120;13750
529;55 to 60 years;Women;1999;12360;1670;1150;9530
530;55 to 60 years;Women;2000;10920;1140;850;8930
531;55 to 60 years;Women;2001;9910;1590;1440;6890
532;55 to 60 years;Women;2002;10410;2190;1790;6430
533;55 to 60 years;Women;2003;12700;3120;2340;7240
534;55 to 60 years;Women;2004;14490;3010;2500;8970
535;55 to 60 years;Women;2005;16810;2960;2790;11060
536;55 to 60 years;Women;2006;17460;2790;2570;11960
537;55 to 60 years;Women;2007;15770;2720;2080;10970
538;55 to 60 years;Women;2008;12070;2720;1800;7550
539;55 to 60 years;Women;2009;13390;4550;3090;5750
540;60 to 65 years;Total men and women;1998;41480;90;200;41190
541;60 to 65 years;Total men and women;1999;38050;1510;1230;35310
542;60 to 65 years;Total men and women;2000;38730;1680;1440;35620
543;60 to 65 years;Total men and women;2001;34450;1530;1840;31080
544;60 to 65 years;Total men and women;2002;30790;1780;1880;27130
545;60 to 65 years;Total men and women;2003;31300;2460;2530;26310
546;60 to 65 years;Total men and women;2004;32540;2260;2360;27930
547;60 to 65 years;Total men and women;2005;32780;2050;2110;28620
548;60 to 65 years;Total men and women;2006;35770;2370;2440;30880
549;60 to 65 years;Total men and women;2007;36100;2560;2240;31290
550;60 to 65 years;Total men and women;2008;30980;2810;2200;25970
