ID;Geslacht;Leeftijd;Marges;RegioS;Perioden;PersonenMetEenWerkloosheidsuitkering_1
249;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2021 september;5570.0
250;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2021 oktober;5440.0
251;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2021 november;5250.0
252;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2021 december;5140.0
253;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2022 januari;5020.0
254;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2022 februari;4920.0
255;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2022 maart;4820.0
256;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2022 april;4760.0
257;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2022 mei;4670.0
258;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2022 juni;4650.0
259;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2022 juli;4590.0
260;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2022 augustus;4600.0
261;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2022 september;4560.0
262;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2022 oktober;4590.0
263;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2022 november;4580.0
264;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2022 december;4620.0
265;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2023 januari;4620.0
266;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2023 februari;4660.0
267;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2023 maart;4650.0
268;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2023 april;4680.0
269;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2023 mei;4730.0
270;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2023 juni;4660.0
271;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2023 juli;4670.0
272;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2023 augustus;4970.0
273;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2023 september;5010.0
274;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2023 oktober;5150.0
275;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2023 november;5230.0
276;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2023 december;4690.0
277;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2024 januari;4770.0
278;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2024 februari;4870.0
279;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2024 maart;4920.0
280;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2024 april;5000.0
281;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2024 mei;4900.0
282;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2024 juni;4970.0
283;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2024 juli;5050.0
284;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2024 augustus;5380.0
285;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2024 september;5550.0
286;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2024 oktober;5710.0
287;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2024  november;5790.0
288;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2024 december;5670.0
289;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2025 januari;5630.0
290;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2013 januari;16060.0
291;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2013 februari;16430.0
292;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2013 maart;16220.0
293;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2013 april;15770.0
294;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2013 mei;15880.0
295;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2013 juni;15990.0
296;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2013 juli;16590.0
297;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2013 augustus;15890.0
298;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2013 september;16020.0
299;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2013 oktober;16390.0
300;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2013 november;16830.0
