ID;EnterpriseSize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
1317;Total 1 or more employed persons;412-439 Construction (no development);2022 March;115.4;9.3
1318;Total 1 or more employed persons;412-439 Construction (no development);2022 1st quarter;92.9;8.8
1319;Total 1 or more employed persons;412-439 Construction (no development);2022 April;105.6;5.2
1320;Total 1 or more employed persons;412-439 Construction (no development);2022 May;112.3;17.8
1321;Total 1 or more employed persons;412-439 Construction (no development);2022 June;122.1;9.6
1322;Total 1 or more employed persons;412-439 Construction (no development);2022 2nd quarter;113.3;10.7
1323;Total 1 or more employed persons;412-439 Construction (no development);2022 July;119.1;7.7
1324;Total 1 or more employed persons;412-439 Construction (no development);2022 August;72.5;10.2
1325;Total 1 or more employed persons;412-439 Construction (no development);2022 September;116.3;9.4
1326;Total 1 or more employed persons;412-439 Construction (no development);2022 3rd quarter;102.6;8.9
1327;Total 1 or more employed persons;412-439 Construction (no development);2022 October;120.8;13.4
1328;Total 1 or more employed persons;412-439 Construction (no development);2022 November;130.4;10.9
1329;Total 1 or more employed persons;412-439 Construction (no development);2022 December;141.4;9.0
1330;Total 1 or more employed persons;412-439 Construction (no development);2022 4th quarter;130.8;11.0
1331;Total 1 or more employed persons;412-439 Construction (no development);2022;109.9;9.9
1332;Total 1 or more employed persons;412-439 Construction (no development);2023 January;80.7;13.3
1333;Total 1 or more employed persons;412-439 Construction (no development);2023 February;103.7;12.5
1334;Total 1 or more employed persons;412-439 Construction (no development);2023 March;127.5;10.6
1335;Total 1 or more employed persons;412-439 Construction (no development);2023 1st quarter;104.0;11.9
1336;Total 1 or more employed persons;412-439 Construction (no development);2023 April;109.6;3.7
1337;Total 1 or more employed persons;412-439 Construction (no development);2023 May;122.5;9.1
1338;Total 1 or more employed persons;412-439 Construction (no development);2023 June;134.5;10.1
1339;Total 1 or more employed persons;412-439 Construction (no development);2023 2nd quarter;122.2;7.8
1340;Total 1 or more employed persons;412-439 Construction (no development);2023 July;127.0;6.6
1341;Total 1 or more employed persons;412-439 Construction (no development);2023 August;80.6;11.3
1342;Total 1 or more employed persons;412-439 Construction (no development);2023 September;119.2;2.5
1343;Total 1 or more employed persons;412-439 Construction (no development);2023 3rd quarter;108.9;6.2
1344;Total 1 or more employed persons;412-439 Construction (no development);2023 October;130.8;8.3
1345;Total 1 or more employed persons;412-439 Construction (no development);2023 November;132.0;1.2
1346;Total 1 or more employed persons;412-439 Construction (no development);2023 December;139.8;-1.1
1347;Total 1 or more employed persons;412-439 Construction (no development);2023 4th quarter;134.2;2.6
1348;Total 1 or more employed persons;412-439 Construction (no development);2023;117.3;6.7
1349;Total 1 or more employed persons;412-439 Construction (no development);2024 January;82.4;2.2
1350;Total 1 or more employed persons;412-439 Construction (no development);2024 February;106.3;2.5
1351;Total 1 or more employed persons;412-439 Construction (no development);2024 March;122.7;-3.8
1352;Total 1 or more employed persons;412-439 Construction (no development);2024 1st quarter;103.8;-0.1
1353;Total 1 or more employed persons;412-439 Construction (no development);2024 April;124.6;13.7
1354;Total 1 or more employed persons;412-439 Construction (no development);2024 May;124.1;1.3
1355;Total 1 or more employed persons;412-439 Construction (no development);2024 June;125.3;-6.8
1356;Total 1 or more employed persons;412-439 Construction (no development);2024 2nd quarter;124.7;2.0
1357;Total 1 or more employed persons;412-439 Construction (no development);2024 July;131.4;3.5
1358;Total 1 or more employed persons;412-439 Construction (no development);2024 August;84.1;4.4
1359;Total 1 or more employed persons;412-439 Construction (no development);2024 September;122.2;2.5
1360;Total 1 or more employed persons;412-439 Construction (no development);2024 3rd quarter;112.6;3.3
1361;Total 1 or more employed persons;412-439 Construction (no development);2024 October;140.0;7.0
1362;Total 1 or more employed persons;412-439 Construction (no development);2024 November;139.5;5.7
1363;Total 1 or more employed persons;412-439 Construction (no development);2024 December;144.4;3.3
1364;Total 1 or more employed persons;412-439 Construction (no development);2024 4th quarter;141.3;5.3
1365;Total 1 or more employed persons;412-439 Construction (no development);2024;120.6;2.8
1366;Total 1 or more employed persons;412-439 Construction (no development);2025 January;94.5;14.6
1367;Total 1 or more employed persons;412-439 Construction (no development);2025 February;111.6;4.9
1368;Total 1 or more employed persons;412 Construction of buildings;2005 January;39.4;-3.3
1369;Total 1 or more employed persons;412 Construction of buildings;2005 February;50.0;-4.8
1370;Total 1 or more employed persons;412 Construction of buildings;2005 March;58.9;-6.6
1371;Total 1 or more employed persons;412 Construction of buildings;2005 1st quarter;49.4;-5.2
1372;Total 1 or more employed persons;412 Construction of buildings;2005 April;66.2;4.6
1373;Total 1 or more employed persons;412 Construction of buildings;2005 May;62.5;9.3
1374;Total 1 or more employed persons;412 Construction of buildings;2005 June;75.7;10.6
1375;Total 1 or more employed persons;412 Construction of buildings;2005 2nd quarter;68.2;8.2
1376;Total 1 or more employed persons;412 Construction of buildings;2005 July;61.6;1.2
1377;Total 1 or more employed persons;412 Construction of buildings;2005 August;39.6;10.5
1378;Total 1 or more employed persons;412 Construction of buildings;2005 September;70.9;8.1
1379;Total 1 or more employed persons;412 Construction of buildings;2005 3rd quarter;57.4;6.1
1380;Total 1 or more employed persons;412 Construction of buildings;2005 October;70.5;3.5
1381;Total 1 or more employed persons;412 Construction of buildings;2005 November;74.1;2.8
1382;Total 1 or more employed persons;412 Construction of buildings;2005 December;84.7;10.4
1383;Total 1 or more employed persons;412 Construction of buildings;2005 4th quarter;76.4;5.7
1384;Total 1 or more employed persons;412 Construction of buildings;2005;62.8;4.1
1385;Total 1 or more employed persons;412 Construction of buildings;2006 January;40.6;3.2
1386;Total 1 or more employed persons;412 Construction of buildings;2006 February;55.6;11.2
1387;Total 1 or more employed persons;412 Construction of buildings;2006 March;71.2;20.8
1388;Total 1 or more employed persons;412 Construction of buildings;2006 1st quarter;55.8;12.9
1389;Total 1 or more employed persons;412 Construction of buildings;2006 April;65.6;-0.9
1390;Total 1 or more employed persons;412 Construction of buildings;2006 May;74.1;18.4
1391;Total 1 or more employed persons;412 Construction of buildings;2006 June;78.9;4.2
1392;Total 1 or more employed persons;412 Construction of buildings;2006 2nd quarter;72.9;6.9
1393;Total 1 or more employed persons;412 Construction of buildings;2006 July;61.8;0.3
1394;Total 1 or more employed persons;412 Construction of buildings;2006 August;42.4;7.1
1395;Total 1 or more employed persons;412 Construction of buildings;2006 September;76.6;8.1
1396;Total 1 or more employed persons;412 Construction of buildings;2006 3rd quarter;60.3;5.1
1397;Total 1 or more employed persons;412 Construction of buildings;2006 October;76.7;8.8
1398;Total 1 or more employed persons;412 Construction of buildings;2006 November;82.8;11.7
1399;Total 1 or more employed persons;412 Construction of buildings;2006 December;90.6;7.0
1400;Total 1 or more employed persons;412 Construction of buildings;2006 4th quarter;83.4;9.1
1401;Total 1 or more employed persons;412 Construction of buildings;2006;68.1;8.3
1402;Total 1 or more employed persons;412 Construction of buildings;2007 January;45.5;12.1
1403;Total 1 or more employed persons;412 Construction of buildings;2007 February;63.7;14.6
1404;Total 1 or more employed persons;412 Construction of buildings;2007 March;80.4;12.9
1405;Total 1 or more employed persons;412 Construction of buildings;2007 1st quarter;63.2;13.3
1406;Total 1 or more employed persons;412 Construction of buildings;2007 April;73.8;12.4
1407;Total 1 or more employed persons;412 Construction of buildings;2007 May;77.3;4.3
1408;Total 1 or more employed persons;412 Construction of buildings;2007 June;88.2;11.7
1409;Total 1 or more employed persons;412 Construction of buildings;2007 2nd quarter;79.7;9.4
1410;Total 1 or more employed persons;412 Construction of buildings;2007 July;71.2;15.2
1411;Total 1 or more employed persons;412 Construction of buildings;2007 August;49.8;17.6
1412;Total 1 or more employed persons;412 Construction of buildings;2007 September;80.0;4.4
1413;Total 1 or more employed persons;412 Construction of buildings;2007 3rd quarter;67.0;11.2
1414;Total 1 or more employed persons;412 Construction of buildings;2007 October;86.9;13.3
1415;Total 1 or more employed persons;412 Construction of buildings;2007 November;90.8;9.7
1416;Total 1 or more employed persons;412 Construction of buildings;2007 December;93.2;2.9
1417;Total 1 or more employed persons;412 Construction of buildings;2007 4th quarter;90.3;8.3
1418;Total 1 or more employed persons;412 Construction of buildings;2007;75.1;10.3
1419;Total 1 or more employed persons;412 Construction of buildings;2008 January;55.2;21.1
1420;Total 1 or more employed persons;412 Construction of buildings;2008 February;77.8;22.2
1421;Total 1 or more employed persons;412 Construction of buildings;2008 March;84.0;4.5
1422;Total 1 or more employed persons;412 Construction of buildings;2008 1st quarter;72.3;14.4
1423;Total 1 or more employed persons;412 Construction of buildings;2008 April;88.2;19.6
1424;Total 1 or more employed persons;412 Construction of buildings;2008 May;83.7;8.3
1425;Total 1 or more employed persons;412 Construction of buildings;2008 June;93.8;6.4
1426;Total 1 or more employed persons;412 Construction of buildings;2008 2nd quarter;88.6;11.1
1427;Total 1 or more employed persons;412 Construction of buildings;2008 July;76.9;8.0
1428;Total 1 or more employed persons;412 Construction of buildings;2008 August;55.3;11.0
1429;Total 1 or more employed persons;412 Construction of buildings;2008 September;90.9;13.7
1430;Total 1 or more employed persons;412 Construction of buildings;2008 3rd quarter;74.4;11.0
1431;Total 1 or more employed persons;412 Construction of buildings;2008 October;98.7;13.6
1432;Total 1 or more employed persons;412 Construction of buildings;2008 November;90.8;-0.1
1433;Total 1 or more employed persons;412 Construction of buildings;2008 December;98.8;6.1
1434;Total 1 or more employed persons;412 Construction of buildings;2008 4th quarter;96.1;6.4
1435;Total 1 or more employed persons;412 Construction of buildings;2008;82.8;10.4
1436;Total 1 or more employed persons;412 Construction of buildings;2009 January;55.1;-0.1
1437;Total 1 or more employed persons;412 Construction of buildings;2009 February;73.0;-6.1
1438;Total 1 or more employed persons;412 Construction of buildings;2009 March;85.7;2.1
1439;Total 1 or more employed persons;412 Construction of buildings;2009 1st quarter;71.3;-1.4
1440;Total 1 or more employed persons;412 Construction of buildings;2009 April;82.2;-6.8
1441;Total 1 or more employed persons;412 Construction of buildings;2009 May;79.6;-4.8
1442;Total 1 or more employed persons;412 Construction of buildings;2009 June;87.8;-6.4
1443;Total 1 or more employed persons;412 Construction of buildings;2009 2nd quarter;83.2;-6.1
1444;Total 1 or more employed persons;412 Construction of buildings;2009 July;77.8;1.1
1445;Total 1 or more employed persons;412 Construction of buildings;2009 August;45.7;-17.4
1446;Total 1 or more employed persons;412 Construction of buildings;2009 September;81.9;-9.9
1447;Total 1 or more employed persons;412 Construction of buildings;2009 3rd quarter;68.5;-8.0
1448;Total 1 or more employed persons;412 Construction of buildings;2009 October;84.8;-14.1
1449;Total 1 or more employed persons;412 Construction of buildings;2009 November;78.7;-13.2
1450;Total 1 or more employed persons;412 Construction of buildings;2009 December;79.8;-19.2
1451;Total 1 or more employed persons;412 Construction of buildings;2009 4th quarter;81.1;-15.6
1452;Total 1 or more employed persons;412 Construction of buildings;2009;76.0;-8.2
1453;Total 1 or more employed persons;412 Construction of buildings;2010 January;43.3;-21.4
1454;Total 1 or more employed persons;412 Construction of buildings;2010 February;51.8;-29.1
1455;Total 1 or more employed persons;412 Construction of buildings;2010 March;73.4;-14.4
1456;Total 1 or more employed persons;412 Construction of buildings;2010 1st quarter;56.2;-21.2
1457;Total 1 or more employed persons;412 Construction of buildings;2010 April;73.5;-10.6
1458;Total 1 or more employed persons;412 Construction of buildings;2010 May;67.3;-15.5
1459;Total 1 or more employed persons;412 Construction of buildings;2010 June;80.3;-8.5
1460;Total 1 or more employed persons;412 Construction of buildings;2010 2nd quarter;73.7;-11.4
1461;Total 1 or more employed persons;412 Construction of buildings;2010 July;71.6;-7.9
1462;Total 1 or more employed persons;412 Construction of buildings;2010 August;41.8;-8.5
1463;Total 1 or more employed persons;412 Construction of buildings;2010 September;71.5;-12.7
1464;Total 1 or more employed persons;412 Construction of buildings;2010 3rd quarter;61.7;-9.9
1465;Total 1 or more employed persons;412 Construction of buildings;2010 October;76.0;-10.4
1466;Total 1 or more employed persons;412 Construction of buildings;2010 November;77.5;-1.6
1467;Total 1 or more employed persons;412 Construction of buildings;2010 December;74.2;-7.0
1468;Total 1 or more employed persons;412 Construction of buildings;2010 4th quarter;75.9;-6.4
1469;Total 1 or more employed persons;412 Construction of buildings;2010;66.9;-12.1
1470;Total 1 or more employed persons;412 Construction of buildings;2011 January;48.0;10.8
1471;Total 1 or more employed persons;412 Construction of buildings;2011 February;62.1;20.0
1472;Total 1 or more employed persons;412 Construction of buildings;2011 March;74.6;1.7
1473;Total 1 or more employed persons;412 Construction of buildings;2011 1st quarter;61.6;9.7
1474;Total 1 or more employed persons;412 Construction of buildings;2011 April;72.0;-2.0
1475;Total 1 or more employed persons;412 Construction of buildings;2011 May;77.4;15.0
1476;Total 1 or more employed persons;412 Construction of buildings;2011 June;73.1;-9.0
1477;Total 1 or more employed persons;412 Construction of buildings;2011 2nd quarter;74.2;0.6
1478;Total 1 or more employed persons;412 Construction of buildings;2011 July;68.7;-4.1
1479;Total 1 or more employed persons;412 Construction of buildings;2011 August;43.9;5.0
1480;Total 1 or more employed persons;412 Construction of buildings;2011 September;79.0;10.4
1481;Total 1 or more employed persons;412 Construction of buildings;2011 3rd quarter;63.9;3.6
1482;Total 1 or more employed persons;412 Construction of buildings;2011 October;71.0;-6.6
1483;Total 1 or more employed persons;412 Construction of buildings;2011 November;75.7;-2.4
1484;Total 1 or more employed persons;412 Construction of buildings;2011 December;80.5;8.5
1485;Total 1 or more employed persons;412 Construction of buildings;2011 4th quarter;75.7;-0.2
1486;Total 1 or more employed persons;412 Construction of buildings;2011;68.8;3.0
1487;Total 1 or more employed persons;412 Construction of buildings;2012 January;42.1;-12.3
1488;Total 1 or more employed persons;412 Construction of buildings;2012 February;52.4;-15.7
1489;Total 1 or more employed persons;412 Construction of buildings;2012 March;68.2;-8.6
1490;Total 1 or more employed persons;412 Construction of buildings;2012 1st quarter;54.2;-11.9
1491;Total 1 or more employed persons;412 Construction of buildings;2012 April;64.4;-10.5
1492;Total 1 or more employed persons;412 Construction of buildings;2012 May;66.7;-13.9
1493;Total 1 or more employed persons;412 Construction of buildings;2012 June;70.0;-4.2
1494;Total 1 or more employed persons;412 Construction of buildings;2012 2nd quarter;67.0;-9.6
1495;Total 1 or more employed persons;412 Construction of buildings;2012 July;61.2;-10.8
1496;Total 1 or more employed persons;412 Construction of buildings;2012 August;45.8;4.3
1497;Total 1 or more employed persons;412 Construction of buildings;2012 September;74.1;-6.1
1498;Total 1 or more employed persons;412 Construction of buildings;2012 3rd quarter;60.4;-5.4
1499;Total 1 or more employed persons;412 Construction of buildings;2012 October;63.2;-11.0
1500;Total 1 or more employed persons;412 Construction of buildings;2012 November;67.8;-10.5
1501;Total 1 or more employed persons;412 Construction of buildings;2012 December;66.5;-17.4
1502;Total 1 or more employed persons;412 Construction of buildings;2012 4th quarter;65.8;-13.1
1503;Total 1 or more employed persons;412 Construction of buildings;2012;61.9;-10.1
1504;Total 1 or more employed persons;412 Construction of buildings;2013 January;36.9;-12.3
1505;Total 1 or more employed persons;412 Construction of buildings;2013 February;46.8;-10.7
1506;Total 1 or more employed persons;412 Construction of buildings;2013 March;58.5;-14.2
1507;Total 1 or more employed persons;412 Construction of buildings;2013 1st quarter;47.4;-12.6
1508;Total 1 or more employed persons;412 Construction of buildings;2013 April;58.4;-9.3
1509;Total 1 or more employed persons;412 Construction of buildings;2013 May;59.7;-10.5
1510;Total 1 or more employed persons;412 Construction of buildings;2013 June;62.3;-11.0
1511;Total 1 or more employed persons;412 Construction of buildings;2013 2nd quarter;60.1;-10.3
1512;Total 1 or more employed persons;412 Construction of buildings;2013 July;57.0;-6.9
1513;Total 1 or more employed persons;412 Construction of buildings;2013 August;42.3;-7.6
1514;Total 1 or more employed persons;412 Construction of buildings;2013 September;62.2;-16.1
1515;Total 1 or more employed persons;412 Construction of buildings;2013 3rd quarter;53.8;-10.9
1516;Total 1 or more employed persons;412 Construction of buildings;2013 October;65.9;4.4
1517;Total 1 or more employed persons;412 Construction of buildings;2013 November;64.4;-5.0
1518;Total 1 or more employed persons;412 Construction of buildings;2013 December;70.5;6.0
1519;Total 1 or more employed persons;412 Construction of buildings;2013 4th quarter;67.0;1.7
1520;Total 1 or more employed persons;412 Construction of buildings;2013;57.1;-7.7
1521;Total 1 or more employed persons;412 Construction of buildings;2014 January;41.5;12.2
1522;Total 1 or more employed persons;412 Construction of buildings;2014 February;49.0;4.8
1523;Total 1 or more employed persons;412 Construction of buildings;2014 March;53.0;-9.5
1524;Total 1 or more employed persons;412 Construction of buildings;2014 1st quarter;47.8;0.8
1525;Total 1 or more employed persons;412 Construction of buildings;2014 April;57.6;-1.4
1526;Total 1 or more employed persons;412 Construction of buildings;2014 May;57.3;-4.1
1527;Total 1 or more employed persons;412 Construction of buildings;2014 June;58.0;-6.9
1528;Total 1 or more employed persons;412 Construction of buildings;2014 2nd quarter;57.6;-4.2
1529;Total 1 or more employed persons;412 Construction of buildings;2014 July;57.9;1.5
1530;Total 1 or more employed persons;412 Construction of buildings;2014 August;36.9;-12.8
1531;Total 1 or more employed persons;412 Construction of buildings;2014 September;59.4;-4.6
1532;Total 1 or more employed persons;412 Construction of buildings;2014 3rd quarter;51.4;-4.6
1533;Total 1 or more employed persons;412 Construction of buildings;2014 October;68.3;3.6
1534;Total 1 or more employed persons;412 Construction of buildings;2014 November;66.5;3.4
1535;Total 1 or more employed persons;412 Construction of buildings;2014 December;72.2;2.4
1536;Total 1 or more employed persons;412 Construction of buildings;2014 4th quarter;69.0;3.1
1537;Total 1 or more employed persons;412 Construction of buildings;2014;56.5;-1.1
1538;Total 1 or more employed persons;412 Construction of buildings;2015 January;42.9;3.6
1539;Total 1 or more employed persons;412 Construction of buildings;2015 February;52.3;6.7
1540;Total 1 or more employed persons;412 Construction of buildings;2015 March;61.8;16.6
1541;Total 1 or more employed persons;412 Construction of buildings;2015 1st quarter;52.4;9.5
1542;Total 1 or more employed persons;412 Construction of buildings;2015 April;60.6;5.2
1543;Total 1 or more employed persons;412 Construction of buildings;2015 May;61.7;7.7
1544;Total 1 or more employed persons;412 Construction of buildings;2015 June;77.6;33.8
1545;Total 1 or more employed persons;412 Construction of buildings;2015 2nd quarter;66.6;15.7
1546;Total 1 or more employed persons;412 Construction of buildings;2015 July;63.3;9.3
1547;Total 1 or more employed persons;412 Construction of buildings;2015 August;39.2;6.3
1548;Total 1 or more employed persons;412 Construction of buildings;2015 September;65.4;10.2
1549;Total 1 or more employed persons;412 Construction of buildings;2015 3rd quarter;56.0;8.9
1550;Total 1 or more employed persons;412 Construction of buildings;2015 October;67.7;-1.0
1551;Total 1 or more employed persons;412 Construction of buildings;2015 November;72.1;8.4
1552;Total 1 or more employed persons;412 Construction of buildings;2015 December;79.2;9.6
1553;Total 1 or more employed persons;412 Construction of buildings;2015 4th quarter;73.0;5.7
1554;Total 1 or more employed persons;412 Construction of buildings;2015;62.0;9.8
1555;Total 1 or more employed persons;412 Construction of buildings;2016 January;45.6;6.3
1556;Total 1 or more employed persons;412 Construction of buildings;2016 February;57.5;10.0
1557;Total 1 or more employed persons;412 Construction of buildings;2016 March;66.5;7.6
1558;Total 1 or more employed persons;412 Construction of buildings;2016 1st quarter;56.6;8.1
1559;Total 1 or more employed persons;412 Construction of buildings;2016 April;66.4;9.6
1560;Total 1 or more employed persons;412 Construction of buildings;2016 May;64.6;4.7
1561;Total 1 or more employed persons;412 Construction of buildings;2016 June;75.9;-2.2
1562;Total 1 or more employed persons;412 Construction of buildings;2016 2nd quarter;69.0;3.5
1563;Total 1 or more employed persons;412 Construction of buildings;2016 July;72.7;14.9
1564;Total 1 or more employed persons;412 Construction of buildings;2016 August;45.1;15.0
1565;Total 1 or more employed persons;412 Construction of buildings;2016 September;71.4;9.2
1566;Total 1 or more employed persons;412 Construction of buildings;2016 3rd quarter;63.1;12.7
1567;Total 1 or more employed persons;412 Construction of buildings;2016 October;76.7;13.4
1568;Total 1 or more employed persons;412 Construction of buildings;2016 November;81.6;13.1
1569;Total 1 or more employed persons;412 Construction of buildings;2016 December;88.0;11.2
1570;Total 1 or more employed persons;412 Construction of buildings;2016 4th quarter;82.1;12.5
1571;Total 1 or more employed persons;412 Construction of buildings;2016;67.7;9.2
1572;Total 1 or more employed persons;412 Construction of buildings;2017 January;46.3;1.4
1573;Total 1 or more employed persons;412 Construction of buildings;2017 February;62.9;9.3
1574;Total 1 or more employed persons;412 Construction of buildings;2017 March;77.6;16.7
1575;Total 1 or more employed persons;412 Construction of buildings;2017 1st quarter;62.3;10.1
1576;Total 1 or more employed persons;412 Construction of buildings;2017 April;68.8;3.5
1577;Total 1 or more employed persons;412 Construction of buildings;2017 May;77.9;20.6
1578;Total 1 or more employed persons;412 Construction of buildings;2017 June;82.6;8.8
1579;Total 1 or more employed persons;412 Construction of buildings;2017 2nd quarter;76.4;10.8
1580;Total 1 or more employed persons;412 Construction of buildings;2017 July;78.4;7.8
1581;Total 1 or more employed persons;412 Construction of buildings;2017 August;49.5;9.7
1582;Total 1 or more employed persons;412 Construction of buildings;2017 September;76.9;7.7
1583;Total 1 or more employed persons;412 Construction of buildings;2017 3rd quarter;68.3;8.2
1584;Total 1 or more employed persons;412 Construction of buildings;2017 October;84.6;10.3
1585;Total 1 or more employed persons;412 Construction of buildings;2017 November;91.6;12.3
1586;Total 1 or more employed persons;412 Construction of buildings;2017 December;95.8;8.8
1587;Total 1 or more employed persons;412 Construction of buildings;2017 4th quarter;90.7;10.4
1588;Total 1 or more employed persons;412 Construction of buildings;2017;74.4;9.9
1589;Total 1 or more employed persons;412 Construction of buildings;2018 January;56.1;21.2
1590;Total 1 or more employed persons;412 Construction of buildings;2018 February;71.5;13.8
1591;Total 1 or more employed persons;412 Construction of buildings;2018 March;81.4;4.8
1592;Total 1 or more employed persons;412 Construction of buildings;2018 1st quarter;69.7;11.9
1593;Total 1 or more employed persons;412 Construction of buildings;2018 April;82.2;19.5
1594;Total 1 or more employed persons;412 Construction of buildings;2018 May;84.4;8.3
1595;Total 1 or more employed persons;412 Construction of buildings;2018 June;94.2;14.1
1596;Total 1 or more employed persons;412 Construction of buildings;2018 2nd quarter;86.9;13.8
1597;Total 1 or more employed persons;412 Construction of buildings;2018 July;87.4;11.6
1598;Total 1 or more employed persons;412 Construction of buildings;2018 August;54.2;9.5
1599;Total 1 or more employed persons;412 Construction of buildings;2018 September;85.9;11.7
1600;Total 1 or more employed persons;412 Construction of buildings;2018 3rd quarter;75.9;11.1
1601;Total 1 or more employed persons;412 Construction of buildings;2018 October;97.5;15.2
1602;Total 1 or more employed persons;412 Construction of buildings;2018 November;104.7;14.3
1603;Total 1 or more employed persons;412 Construction of buildings;2018 December;109.4;14.2
1604;Total 1 or more employed persons;412 Construction of buildings;2018 4th quarter;103.8;14.5
1605;Total 1 or more employed persons;412 Construction of buildings;2018;84.1;13.0
1606;Total 1 or more employed persons;412 Construction of buildings;2019 January;61.6;9.9
1607;Total 1 or more employed persons;412 Construction of buildings;2019 February;81.7;14.2
1608;Total 1 or more employed persons;412 Construction of buildings;2019 March;91.5;12.5
1609;Total 1 or more employed persons;412 Construction of buildings;2019 1st quarter;78.3;12.4
1610;Total 1 or more employed persons;412 Construction of buildings;2019 April;94.0;14.3
1611;Total 1 or more employed persons;412 Construction of buildings;2019 May;100.1;18.6
1612;Total 1 or more employed persons;412 Construction of buildings;2019 June;93.5;-0.7
1613;Total 1 or more employed persons;412 Construction of buildings;2019 2nd quarter;95.8;10.3
1614;Total 1 or more employed persons;412 Construction of buildings;2019 July;96.7;10.6
1615;Total 1 or more employed persons;412 Construction of buildings;2019 August;58.6;8.2
1616;Total 1 or more employed persons;412 Construction of buildings;2019 September;99.2;15.4
1617;Total 1 or more employed persons;412 Construction of buildings;2019 3rd quarter;84.8;11.8
1618;Total 1 or more employed persons;412 Construction of buildings;2019 October;102.3;5.0
1619;Total 1 or more employed persons;412 Construction of buildings;2019 November;104.4;-0.2
1620;Total 1 or more employed persons;412 Construction of buildings;2019 December;106.0;-3.1
1621;Total 1 or more employed persons;412 Construction of buildings;2019 4th quarter;104.2;0.4
1622;Total 1 or more employed persons;412 Construction of buildings;2019;90.8;8.0
1623;Total 1 or more employed persons;412 Construction of buildings;2020 January;70.7;14.8
1624;Total 1 or more employed persons;412 Construction of buildings;2020 February;81.4;-0.4
1625;Total 1 or more employed persons;412 Construction of buildings;2020 March;100.1;9.3
1626;Total 1 or more employed persons;412 Construction of buildings;2020 1st quarter;84.1;7.4
1627;Total 1 or more employed persons;412 Construction of buildings;2020 April;93.6;-0.3
1628;Total 1 or more employed persons;412 Construction of buildings;2020 May;87.2;-12.9
1629;Total 1 or more employed persons;412 Construction of buildings;2020 June;97.1;3.9
1630;Total 1 or more employed persons;412 Construction of buildings;2020 2nd quarter;92.6;-3.3
1631;Total 1 or more employed persons;412 Construction of buildings;2020 July;94.7;-2.1
1632;Total 1 or more employed persons;412 Construction of buildings;2020 August;57.1;-2.6
1633;Total 1 or more employed persons;412 Construction of buildings;2020 September;98.2;-0.9
1634;Total 1 or more employed persons;412 Construction of buildings;2020 3rd quarter;83.3;-1.8
1635;Total 1 or more employed persons;412 Construction of buildings;2020 October;102.4;0.1
1636;Total 1 or more employed persons;412 Construction of buildings;2020 November;105.0;0.6
1637;Total 1 or more employed persons;412 Construction of buildings;2020 December;109.5;3.3
1638;Total 1 or more employed persons;412 Construction of buildings;2020 4th quarter;105.6;1.3
1639;Total 1 or more employed persons;412 Construction of buildings;2020;91.4;0.7
1640;Total 1 or more employed persons;412 Construction of buildings;2021 January;72.3;2.2
1641;Total 1 or more employed persons;412 Construction of buildings;2021 February;80.6;-1.0
1642;Total 1 or more employed persons;412 Construction of buildings;2021 March;107.5;7.4
1643;Total 1 or more employed persons;412 Construction of buildings;2021 1st quarter;86.8;3.2
1644;Total 1 or more employed persons;412 Construction of buildings;2021 April;102.1;9.0
1645;Total 1 or more employed persons;412 Construction of buildings;2021 May;96.3;10.4
1646;Total 1 or more employed persons;412 Construction of buildings;2021 June;114.5;17.8
1647;Total 1 or more employed persons;412 Construction of buildings;2021 2nd quarter;104.3;12.5
1648;Total 1 or more employed persons;412 Construction of buildings;2021 July;109.1;15.2
1649;Total 1 or more employed persons;412 Construction of buildings;2021 August;54.9;-3.9
1650;Total 1 or more employed persons;412 Construction of buildings;2021 September;106.5;8.4
1651;Total 1 or more employed persons;412 Construction of buildings;2021 3rd quarter;90.2;8.2
1652;Total 1 or more employed persons;412 Construction of buildings;2021 October;106.1;3.6
1653;Total 1 or more employed persons;412 Construction of buildings;2021 November;119.9;14.3
1654;Total 1 or more employed persons;412 Construction of buildings;2021 December;130.3;19.0
1655;Total 1 or more employed persons;412 Construction of buildings;2021 4th quarter;118.8;12.5
1656;Total 1 or more employed persons;412 Construction of buildings;2021;100.0;9.4
1657;Total 1 or more employed persons;412 Construction of buildings;2022 January;71.2;-1.4
1658;Total 1 or more employed persons;412 Construction of buildings;2022 February;93.9;16.5
1659;Total 1 or more employed persons;412 Construction of buildings;2022 March;116.8;8.7
1660;Total 1 or more employed persons;412 Construction of buildings;2022 1st quarter;94.0;8.3
1661;Total 1 or more employed persons;412 Construction of buildings;2022 April;106.2;4.1
1662;Total 1 or more employed persons;412 Construction of buildings;2022 May;112.7;17.1
1663;Total 1 or more employed persons;412 Construction of buildings;2022 June;122.9;7.4
1664;Total 1 or more employed persons;412 Construction of buildings;2022 2nd quarter;113.9;9.3
1665;Total 1 or more employed persons;412 Construction of buildings;2022 July;118.8;8.8
1666;Total 1 or more employed persons;412 Construction of buildings;2022 August;65.2;18.9
1667;Total 1 or more employed persons;412 Construction of buildings;2022 September;115.4;8.4
1668;Total 1 or more employed persons;412 Construction of buildings;2022 3rd quarter;99.8;10.7
1669;Total 1 or more employed persons;412 Construction of buildings;2022 October;119.5;12.6
1670;Total 1 or more employed persons;412 Construction of buildings;2022 November;127.2;6.1
