ID;KenmerkenVanHuishoudens;Perioden;AantalHuishoudensMetLaagInkomen_1;PercentageVanHetTotaal_2;GemiddeldeGrootteMetLaagInkomen_3;AantalHuishMetLangdurigLaagInkomen_4;PercentageVanHuishMetLaagInkomen_5;PercentageVanHetTotaal_6;GemGrootteMetLangdurigLaagInkomen_7;AantalHuishMetSociaalMinimum_8;PercentageVanHetTotaal_9;GemiddeldeGrootteMetSociaalMinimum_10;AantalHuishMetLangdurigSocMinimum_11;PercentageVanHuishMetSocMinimum_12;PercentageVanHetTotaal_13;GemGrootteMetLangdurigSocMinimum_14;TotaalAantalParticuliereHuishoudens_15;GemiddeldeHuishoudensgrootte_16;AantalHuishoudensMetHeleJaarInkomen_17;NietIngedeeldeHuishoudens_18
160;Leeftijd hoofd: 45 tot 55 jaar;1996;120;10.0;2.3;53.0;44.2;4.4;2.2;93;7.7;2.2;35.0;38.0;2.9;2.0;1237;2.8;1206;31
161;Leeftijd hoofd: 45 tot 55 jaar;1997;122;9.8;2.2;51.0;41.6;4.1;2.1;96;7.7;2.1;34.0;35.8;2.8;1.9;1274;2.8;1248;26
162;Leeftijd hoofd: 45 tot 55 jaar;1998;122;9.6;2.2;50.0;41.1;3.9;2.0;98;7.7;2.1;36.0;36.3;2.8;1.9;1298;2.8;1274;24
163;Leeftijd hoofd: 45 tot 55 jaar;1999;118;9.1;2.1;49.0;41.3;3.8;1.9;95;7.4;2.0;34.0;35.4;2.6;1.8;1317;2.8;1287;30
164;Leeftijd hoofd: 45 tot 55 jaar;2000;111;8.4;2.0;45.0;40.9;3.4;1.8;95;7.2;2.0;33.0;35.2;2.5;1.7;1350;2.8;1316;34
165;Leeftijd hoofd: 55 tot 65 jaar;1990;96;11.8;1.7;;;;;81;10.0;1.8;;;;;832;2.2;809;23
166;Leeftijd hoofd: 55 tot 65 jaar;1991;102;12.5;1.7;;;;;85;10.4;1.8;;;;;838;2.2;815;23
167;Leeftijd hoofd: 55 tot 65 jaar;1992;107;13.1;1.7;47.0;44.2;5.8;1.6;91;11.1;1.8;37.0;40.8;4.5;1.6;840;2.1;818;22
168;Leeftijd hoofd: 55 tot 65 jaar;1993;112;13.5;1.7;51.0;45.5;6.1;1.6;92;11.0;1.8;41.0;44.2;4.9;1.6;855;2.1;835;20
169;Leeftijd hoofd: 55 tot 65 jaar;1994;119;14.2;1.7;55.0;46.4;6.6;1.6;94;11.1;1.8;43.0;46.0;5.1;1.6;865;2.1;840;25
170;Leeftijd hoofd: 55 tot 65 jaar;1995;114;13.5;1.7;56.0;49.5;6.7;1.6;86;10.2;1.7;42.0;48.4;4.9;1.6;875;2.1;844;31
171;Leeftijd hoofd: 55 tot 65 jaar;1996;120;14.0;1.6;57.0;47.8;6.7;1.5;92;10.7;1.7;42.0;45.5;4.9;1.5;881;2.0;857;24
172;Leeftijd hoofd: 55 tot 65 jaar;1997;119;13.8;1.6;60.0;49.8;6.9;1.5;93;10.7;1.6;42.0;45.4;4.9;1.5;892;2.0;868;24
173;Leeftijd hoofd: 55 tot 65 jaar;1998;120;13.5;1.6;61.0;51.0;6.9;1.5;97;10.9;1.6;43.0;43.8;4.8;1.4;911;2.0;889;22
174;Leeftijd hoofd: 55 tot 65 jaar;1999;120;13.3;1.6;61.0;50.9;6.8;1.4;99;10.9;1.6;43.0;43.8;4.8;1.4;929;2.0;905;24
175;Leeftijd hoofd: 55 tot 65 jaar;2000;110;11.8;1.5;57.0;52.0;6.1;1.4;89;9.6;1.6;41.0;46.1;4.4;1.4;956;2.0;931;25
176;Leeftijd hoofd: 65 jaar en ouder;1990;272;21.6;1.3;;;;;170;13.5;1.3;;;;;1268;1.6;1258;10
177;Leeftijd hoofd: 65 jaar en ouder;1991;279;21.8;1.3;;;;;171;13.4;1.3;;;;;1288;1.6;1278;10
178;Leeftijd hoofd: 65 jaar en ouder;1992;273;20.9;1.3;185.0;67.8;14.1;1.2;163;12.5;1.3;99.0;60.5;7.6;1.2;1316;1.6;1307;9
179;Leeftijd hoofd: 65 jaar en ouder;1993;278;20.9;1.2;185.0;66.5;13.9;1.2;165;12.4;1.3;103.0;62.4;7.7;1.2;1339;1.6;1329;10
180;Leeftijd hoofd: 65 jaar en ouder;1994;301;22.3;1.3;189.0;63.0;14.0;1.2;159;11.8;1.3;102.0;64.0;7.6;1.2;1356;1.6;1349;7
181;Leeftijd hoofd: 65 jaar en ouder;1995;295;21.4;1.2;190.0;64.5;13.8;1.2;162;11.8;1.3;101.0;62.1;7.3;1.2;1383;1.6;1380;3
182;Leeftijd hoofd: 65 jaar en ouder;1996;292;20.8;1.2;191.0;65.4;13.6;1.2;164;11.7;1.3;96.0;58.3;6.8;1.2;1407;1.6;1402;5
183;Leeftijd hoofd: 65 jaar en ouder;1997;276;19.4;1.2;197.0;71.3;13.8;1.2;160;11.2;1.2;97.0;60.4;6.8;1.2;1429;1.5;1426;3
184;Leeftijd hoofd: 65 jaar en ouder;1998;224;15.5;1.2;164.0;73.4;11.4;1.2;157;10.9;1.3;99.0;63.3;6.9;1.2;1447;1.5;1443;4
185;Leeftijd hoofd: 65 jaar en ouder;1999;231;15.8;1.2;156.0;67.4;10.6;1.2;175;11.9;1.3;101.0;57.7;6.9;1.2;1469;1.5;1465;4
186;Leeftijd hoofd: 65 jaar en ouder;2000;207;14.0;1.2;142.0;68.7;9.6;1.2;163;11.0;1.3;98.0;60.5;6.6;1.2;1486;1.5;1484;2
187;Soc. ec. cat. hoofd: actief;1990;190;5.5;2.7;;;;;106;3.1;2.5;;;;;3661;2.7;3431;230
188;Soc. ec. cat. hoofd: actief;1991;196;5.7;2.8;;;;;111;3.2;2.5;;;;;3723;2.7;3475;248
189;Soc. ec. cat. hoofd: actief;1992;201;5.7;2.7;36.0;17.8;1.0;3.2;126;3.6;2.5;11.0;8.9;0.3;2.6;3769;2.7;3518;251
190;Soc. ec. cat. hoofd: actief;1993;207;5.9;2.7;36.0;17.2;1.0;3.1;126;3.6;2.6;13.0;10.5;0.4;2.5;3784;2.7;3531;253
191;Soc. ec. cat. hoofd: actief;1994;204;5.8;2.7;36.0;17.6;1.0;3.0;117;3.3;2.5;12.0;10.3;0.3;2.8;3768;2.7;3527;241
192;Soc. ec. cat. hoofd: actief;1995;195;5.4;2.7;39.0;20.1;1.1;3.0;105;2.9;2.5;14.0;13.7;0.4;2.6;3881;2.6;3644;237
193;Soc. ec. cat. hoofd: actief;1996;231;6.2;2.5;42.0;18.0;1.1;2.9;136;3.6;2.4;13.0;9.9;0.4;2.7;3974;2.6;3722;252
194;Soc. ec. cat. hoofd: actief;1997;242;6.3;2.4;38.0;15.6;1.0;2.9;144;3.7;2.3;12.0;8.0;0.3;2.6;4085;2.6;3845;240
195;Soc. ec. cat. hoofd: actief;1998;228;5.8;2.5;37.0;16.1;0.9;2.8;144;3.6;2.4;13.0;8.8;0.3;2.4;4225;2.6;3969;256
196;Soc. ec. cat. hoofd: actief;1999;227;5.6;2.5;39.0;17.1;1.0;2.8;150;3.7;2.3;16.0;10.5;0.4;2.3;4325;2.5;4041;284
197;Soc. ec. cat. hoofd: actief;2000;228;5.6;2.4;36.0;15.8;0.9;2.7;160;3.9;2.2;18.0;11.0;0.4;2.3;4383;2.5;4104;279
198;Soc. ec. cat. hoofd: zelfstandige;1990;53;12.0;2.9;;;;;45;10.3;2.9;;;;;437;3.2;437;0
199;Soc. ec. cat. hoofd: zelfstandige;1991;61;13.7;2.9;;;;;52;11.8;2.8;;;;;443;3.1;442;1
200;Soc. ec. cat. hoofd: zelfstandige;1992;69;15.1;2.9;9.0;13.7;2.1;2.9;61;13.5;2.9;6.0;9.5;1.3;2.5;455;3.0;453;2
201;Soc. ec. cat. hoofd: zelfstandige;1993;78;17.0;3.0;10.0;12.9;2.2;3.0;66;14.5;2.9;6.0;9.8;1.4;2.8;459;3.0;457;2
202;Soc. ec. cat. hoofd: zelfstandige;1994;74;16.2;2.9;11.0;14.5;2.3;3.1;60;13.3;2.8;7.0;11.9;1.6;2.8;457;3.0;454;3
203;Soc. ec. cat. hoofd: zelfstandige;1995;67;13.7;2.8;12.0;18.4;2.5;2.8;53;10.8;2.7;8.0;15.5;1.7;2.7;493;2.9;490;3
204;Soc. ec. cat. hoofd: zelfstandige;1996;80;16.6;2.8;12.0;15.3;2.5;2.8;67;14.0;2.7;7.0;10.0;1.4;2.8;482;2.9;479;3
205;Soc. ec. cat. hoofd: zelfstandige;1997;77;15.6;2.7;10.0;13.0;2.0;2.8;65;13.1;2.7;6.0;9.2;1.2;2.7;497;2.9;495;2
206;Soc. ec. cat. hoofd: zelfstandige;1998;83;16.3;2.8;11.0;13.3;2.2;2.5;70;13.8;2.7;7.0;9.4;1.3;2.3;510;2.9;507;3
207;Soc. ec. cat. hoofd: zelfstandige;1999;77;15.2;2.7;13.0;17.1;2.6;2.4;68;13.4;2.6;9.0;12.7;1.7;2.2;507;2.9;505;2
208;Soc. ec. cat. hoofd: zelfstandige;2000;76;14.9;2.6;11.0;14.8;2.2;2.7;67;13.1;2.6;8.0;11.7;1.5;2.4;513;2.8;511;2
209;Soc. ec. cat. hoofd: ambtenaar;1990;6;1.3;3.2;;;;;3;0.6;2.6;;;;;468;2.8;461;7
210;Soc. ec. cat. hoofd: ambtenaar;1991;5;1.1;2.7;;;;;3;0.6;2.5;;;;;463;2.8;453;10
211;Soc. ec. cat. hoofd: ambtenaar;1992;6;1.3;2.7;0.0;;;;3;0.7;2.1;0.0;;;;459;2.8;450;9
212;Soc. ec. cat. hoofd: ambtenaar;1993;4;1.0;3.0;0.0;;;;2;0.6;2.3;0.0;;;;457;2.8;449;8
213;Soc. ec. cat. hoofd: ambtenaar;1994;4;0.8;2.5;1.0;;;;1;0.3;2.6;0.0;;;;446;2.8;437;9
214;Soc. ec. cat. hoofd: ambtenaar;1995;3;0.8;2.6;0.0;;;;1;0.3;2.6;0.0;;;;440;2.8;434;6
215;Soc. ec. cat. hoofd: ambtenaar;1996;3;0.7;2.8;0.0;;;;1;0.3;3.1;0.0;;;;438;2.8;430;8
216;Soc. ec. cat. hoofd: ambtenaar;1997;4;1.0;3.0;0.0;;;;2;0.5;2.4;0.0;;;;430;2.8;425;5
217;Soc. ec. cat. hoofd: ambtenaar;1998;4;1.0;2.9;1.0;14.7;0.2;4.0;2;0.5;2.6;0.0;;;;429;2.7;423;6
218;Soc. ec. cat. hoofd: ambtenaar;1999;5;1.1;3.1;1.0;18.1;0.2;3.5;2;0.5;3.0;0.0;;;;430;2.7;422;8
219;Soc. ec. cat. hoofd: ambtenaar;2000;4;0.9;2.9;1.0;21.9;0.2;3.6;3;0.7;2.5;0.0;;;;431;2.7;424;7
220;Soc. ec. cat. hoofd: overige werknemer;1990;127;5.2;2.6;;;;;55;2.2;2.1;;;;;2678;2.6;2456;222
221;Soc. ec. cat. hoofd: overige werknemer;1991;127;5.1;2.7;;;;;53;2.1;2.3;;;;;2742;2.6;2506;236
222;Soc. ec. cat. hoofd: overige werknemer;1992;123;4.9;2.5;25.0;20.5;1.0;3.4;58;2.3;2.2;5.0;8.4;0.2;2.9;2774;2.6;2536;238
223;Soc. ec. cat. hoofd: overige werknemer;1993;121;4.8;2.5;24.0;19.9;0.9;3.2;54;2.1;2.2;6.0;11.4;0.2;2.3;2789;2.6;2548;241
224;Soc. ec. cat. hoofd: overige werknemer;1994;123;4.8;2.6;24.0;19.3;0.9;3.0;52;2.0;2.3;4.0;8.6;0.2;2.7;2783;2.6;2557;226
225;Soc. ec. cat. hoofd: overige werknemer;1995;120;4.6;2.6;26.0;21.5;1.0;3.0;47;1.8;2.3;6.0;12.2;0.2;2.5;2850;2.6;2627;223
226;Soc. ec. cat. hoofd: overige werknemer;1996;141;5.2;2.4;28.0;19.7;1.0;3.0;62;2.3;2.1;6.0;10.1;0.2;2.6;2945;2.5;2708;237
227;Soc. ec. cat. hoofd: overige werknemer;1997;154;5.5;2.2;27.0;17.5;1.0;2.9;71;2.5;1.9;5.0;7.1;0.2;2.6;3045;2.5;2816;229
228;Soc. ec. cat. hoofd: overige werknemer;1998;135;4.6;2.3;24.0;18.1;0.8;2.9;66;2.3;2.0;6.0;8.5;0.2;2.4;3173;2.5;2928;245
229;Soc. ec. cat. hoofd: overige werknemer;1999;138;4.6;2.3;24.0;17.4;0.8;2.9;75;2.5;2.0;6.0;8.5;0.2;2.4;3267;2.5;2997;270
230;Soc. ec. cat. hoofd: overige werknemer;2000;141;4.6;2.2;24.0;16.7;0.8;2.7;84;2.7;2.0;9.0;10.8;0.3;2.3;3327;2.5;3060;267
231;Soc. ec. cat. hoofd: overig actief;1990;4;5.2;2.5;;;;;3;4.3;2.5;;;;;77;3.3;76;1
232;Soc. ec. cat. hoofd: overig actief;1991;4;5.6;2.4;;;;;3;4.7;2.4;;;;;75;3.3;73;2
233;Soc. ec. cat. hoofd: overig actief;1992;4;5.1;2.6;1.0;;;;4;4.8;2.6;1.0;;;;79;3.2;77;2
234;Soc. ec. cat. hoofd: overig actief;1993;3;4.3;2.6;1.0;31.9;1.4;2.1;3;4.1;2.5;1.0;;;;79;3.1;77;2
235;Soc. ec. cat. hoofd: overig actief;1994;3;4.2;2.4;1.0;25.4;1.1;2.0;3;3.7;2.4;0.0;;;;82;3.1;79;3
236;Soc. ec. cat. hoofd: overig actief;1995;5;5.3;2.7;1.0;;;;4;4.3;2.4;0.0;;;;99;3.0;94;5
237;Soc. ec. cat. hoofd: overig actief;1996;7;6.9;2.3;1.0;16.9;1.2;2.4;6;5.6;2.1;0.0;;;;109;3.0;104;5
238;Soc. ec. cat. hoofd: overig actief;1997;7;6.4;2.9;1.0;;;;6;5.2;2.7;1.0;;;;113;2.9;109;4
239;Soc. ec. cat. hoofd: overig actief;1998;6;5.8;2.6;1.0;;;;5;4.4;2.6;0.0;;;;113;3.0;111;2
240;Soc. ec. cat. hoofd: overig actief;1999;7;6.3;2.7;1.0;11.0;0.7;3.4;5;4.7;2.3;1.0;;;;120;3.0;116;4
241;Soc. ec. cat. hoofd: overig actief;2000;7;6.4;2.6;0.0;;;;6;5.7;2.4;0.0;;;;111;3.0;108;3
242;Soc. ec. cat. hoofd: niet-actief;1990;663;29.2;1.8;;;;;496;21.9;1.8;;;;;2451;1.9;2272;179
243;Soc. ec. cat. hoofd: niet-actief;1991;680;29.3;1.8;;;;;508;21.9;1.8;;;;;2473;1.9;2319;154
244;Soc. ec. cat. hoofd: niet-actief;1992;676;28.8;1.8;353.0;52.2;15.0;1.6;500;21.3;1.8;224.0;44.9;9.5;1.7;2515;1.9;2351;164
245;Soc. ec. cat. hoofd: niet-actief;1993;698;28.9;1.8;361.0;51.6;14.9;1.7;502;20.8;1.8;233.0;46.5;9.7;1.7;2587;1.8;2413;174
246;Soc. ec. cat. hoofd: niet-actief;1994;758;30.5;1.8;374.0;49.3;15.1;1.7;515;20.7;1.9;236.0;45.9;9.5;1.7;2654;1.8;2485;169
247;Soc. ec. cat. hoofd: niet-actief;1995;752;30.4;1.8;381.0;50.7;15.4;1.7;523;21.1;1.8;240.0;45.9;9.7;1.7;2642;1.8;2472;170
248;Soc. ec. cat. hoofd: niet-actief;1996;733;29.7;1.7;386.0;52.7;15.6;1.7;509;20.6;1.8;229.0;45.0;9.3;1.7;2618;1.8;2470;148
249;Soc. ec. cat. hoofd: niet-actief;1997;705;28.5;1.7;396.0;56.1;16.0;1.6;496;20.1;1.8;232.0;46.8;9.4;1.6;2598;1.8;2470;128
250;Soc. ec. cat. hoofd: niet-actief;1998;626;25.8;1.7;353.0;56.4;14.5;1.6;481;19.9;1.7;229.0;47.6;9.5;1.6;2532;1.8;2424;108
251;Soc. ec. cat. hoofd: niet-actief;1999;599;25.1;1.7;330.0;55.2;13.8;1.6;469;19.6;1.7;218.0;46.6;9.1;1.6;2498;1.8;2388;110
252;Soc. ec. cat. hoofd: niet-actief;2000;546;22.6;1.7;305.0;55.8;12.6;1.5;440;18.2;1.7;210.0;47.7;8.7;1.5;2529;1.8;2420;109
253;Soc. ec. cat. hoofd: bijstandsontvanger;1990;289;71.4;2.1;;;;;252;62.3;2.1;;;;;471;2.1;405;66
254;Soc. ec. cat. hoofd: bijstandsontvanger;1991;301;71.6;2.1;;;;;267;63.6;2.1;;;;;472;2.1;421;51
255;Soc. ec. cat. hoofd: bijstandsontvanger;1992;300;68.3;2.1;134.0;44.5;30.4;2.1;265;60.2;2.1;107.0;40.3;24.3;2.0;500;2.2;440;60
256;Soc. ec. cat. hoofd: bijstandsontvanger;1993;313;67.3;2.1;142.0;45.2;30.4;2.1;264;56.8;2.1;110.0;41.8;23.7;2.0;535;2.1;465;70
257;Soc. ec. cat. hoofd: bijstandsontvanger;1994;338;66.8;2.2;145.0;42.9;28.6;2.2;281;55.6;2.1;113.0;40.1;22.3;2.0;575;2.2;506;69
258;Soc. ec. cat. hoofd: bijstandsontvanger;1995;349;68.3;2.1;151.0;43.2;29.5;2.2;299;58.5;2.1;118.0;39.5;23.1;2.1;578;2.2;510;68
259;Soc. ec. cat. hoofd: bijstandsontvanger;1996;331;67.4;2.1;150.0;45.4;30.6;2.2;277;56.4;2.1;110.0;39.8;22.4;2.0;562;2.2;491;71
260;Soc. ec. cat. hoofd: bijstandsontvanger;1997;317;67.4;2.1;153.0;48.1;32.5;2.1;267;56.7;2.1;112.0;42.1;23.9;2.0;531;2.2;470;61
261;Soc. ec. cat. hoofd: bijstandsontvanger;1998;288;67.7;2.1;139.0;48.5;32.8;2.1;248;58.2;2.0;104.0;42.1;24.5;2.0;470;2.2;425;45
262;Soc. ec. cat. hoofd: bijstandsontvanger;1999;259;67.3;2.1;127.0;49.1;33.1;2.1;226;58.8;2.1;96.0;42.7;25.1;2.0;426;2.2;384;42
263;Soc. ec. cat. hoofd: bijstandsontvanger;2000;231;65.2;2.0;115.0;49.9;32.6;2.0;210;59.2;2.0;91.0;43.3;25.6;1.9;391;2.2;354;37
264;Soc. ec. cat. hoofd: arbeidsongeschikte;1990;76;24.2;2.3;;;;;55;17.5;2.2;;;;;325;2.4;313;12
265;Soc. ec. cat. hoofd: arbeidsongeschikte;1991;74;23.0;2.2;;;;;52;16.2;2.1;;;;;330;2.4;320;10
266;Soc. ec. cat. hoofd: arbeidsongeschikte;1992;74;23.2;2.2;28.0;38.3;8.9;2.2;50;15.7;2.2;15.0;30.9;4.9;2.1;328;2.4;317;11
267;Soc. ec. cat. hoofd: arbeidsongeschikte;1993;74;23.5;2.2;29.0;38.7;9.1;2.2;50;15.9;2.2;17.0;33.6;5.3;2.0;326;2.4;314;12
268;Soc. ec. cat. hoofd: arbeidsongeschikte;1994;80;25.6;2.1;33.0;40.6;10.4;2.2;51;16.4;2.1;18.0;35.0;5.7;1.9;327;2.3;313;14
269;Soc. ec. cat. hoofd: arbeidsongeschikte;1995;81;27.3;2.0;35.0;42.9;11.7;2.1;50;16.7;2.0;19.0;39.0;6.5;1.9;316;2.2;299;17
270;Soc. ec. cat. hoofd: arbeidsongeschikte;1996;84;27.6;1.9;35.0;41.4;11.4;2.1;55;18.0;1.9;19.0;35.0;6.3;1.8;306;2.2;303;3
271;Soc. ec. cat. hoofd: arbeidsongeschikte;1997;85;28.2;1.8;37.0;43.9;12.4;1.9;56;18.6;1.8;20.0;36.0;6.7;1.7;304;2.2;302;2
272;Soc. ec. cat. hoofd: arbeidsongeschikte;1998;88;29.0;1.8;41.0;46.2;13.4;1.9;62;20.5;1.7;23.0;37.3;7.6;1.6;306;2.1;304;2
273;Soc. ec. cat. hoofd: arbeidsongeschikte;1999;82;28.6;1.7;38.0;46.8;13.4;1.7;53;18.4;1.7;18.0;35.0;6.4;1.5;288;2.1;285;3
274;Soc. ec. cat. hoofd: arbeidsongeschikte;2000;84;27.3;1.7;40.0;47.9;13.1;1.7;52;17.0;1.8;19.0;35.9;6.1;1.6;311;2.1;308;3
275;Soc. ec. cat. hoofd: pensioenontvanger;1990;282;18.6;1.3;;;;;175;11.6;1.3;;;;;1533;1.7;1511;22
276;Soc. ec. cat. hoofd: pensioenontvanger;1991;290;18.9;1.3;;;;;177;11.5;1.3;;;;;1556;1.6;1534;22
277;Soc. ec. cat. hoofd: pensioenontvanger;1992;287;18.4;1.3;189.0;65.9;12.1;1.2;172;11.1;1.3;101.0;58.6;6.5;1.2;1580;1.6;1559;21
278;Soc. ec. cat. hoofd: pensioenontvanger;1993;289;18.3;1.2;188.0;65.0;11.9;1.2;170;10.7;1.3;104.0;61.4;6.6;1.2;1599;1.6;1578;21
279;Soc. ec. cat. hoofd: pensioenontvanger;1994;315;19.6;1.3;193.0;61.3;12.0;1.2;164;10.2;1.3;104.0;63.3;6.4;1.2;1628;1.6;1610;18
280;Soc. ec. cat. hoofd: pensioenontvanger;1995;311;19.1;1.2;195.0;62.7;11.9;1.2;167;10.2;1.3;102.0;61.1;6.2;1.2;1644;1.6;1631;13
281;Soc. ec. cat. hoofd: pensioenontvanger;1996;308;18.7;1.2;199.0;64.7;12.1;1.2;170;10.3;1.3;99.0;58.1;6.0;1.2;1661;1.6;1650;11
282;Soc. ec. cat. hoofd: pensioenontvanger;1997;290;17.4;1.2;204.0;70.2;12.2;1.2;164;9.9;1.2;98.0;59.8;5.9;1.2;1678;1.6;1668;10
283;Soc. ec. cat. hoofd: pensioenontvanger;1998;239;14.3;1.2;171.0;71.3;10.2;1.2;164;9.8;1.3;101.0;61.5;6.1;1.2;1677;1.6;1667;10
284;Soc. ec. cat. hoofd: pensioenontvanger;1999;246;14.6;1.2;163.0;66.1;9.6;1.2;182;10.8;1.3;103.0;56.3;6.1;1.2;1695;1.6;1685;10
285;Soc. ec. cat. hoofd: pensioenontvanger;2000;216;12.6;1.2;147.0;67.9;8.6;1.2;167;9.7;1.3;99.0;59.4;5.8;1.2;1723;1.6;1713;10
286;Soc. ec. cat. hoofd: overig niet-actief;1990;17;39.1;2.6;;;;;14;33.4;2.5;;;;;122;2.0;43;79
287;Soc. ec. cat. hoofd: overig niet-actief;1991;15;35.1;2.9;;;;;12;28.2;2.9;;;;;116;2.1;44;72
288;Soc. ec. cat. hoofd: overig niet-actief;1992;16;44.0;3.0;2.0;14.1;6.2;3.1;13;37.5;2.9;1.0;9.4;3.5;3.3;108;2.0;36;72
289;Soc. ec. cat. hoofd: overig niet-actief;1993;23;40.2;2.7;3.0;11.1;4.5;2.8;19;33.1;2.6;2.0;10.6;3.5;2.9;126;2.0;56;70
290;Soc. ec. cat. hoofd: overig niet-actief;1994;25;43.9;2.9;3.0;13.5;5.9;3.2;19;33.9;2.9;2.0;10.3;3.5;2.8;124;2.1;56;68
291;Soc. ec. cat. hoofd: overig niet-actief;1995;11;33.7;3.2;1.0;10.1;3.4;3.4;8;23.5;3.1;1.0;8.4;2.0;3.1;105;2.0;33;72
292;Soc. ec. cat. hoofd: overig niet-actief;1996;10;39.1;3.4;2.0;18.6;7.3;3.4;8;29.5;3.3;1.0;16.4;4.8;3.2;88;2.1;25;63
293;Soc. ec. cat. hoofd: overig niet-actief;1997;12;41.4;3.2;2.0;15.5;6.4;3.6;8;28.4;3.1;1.0;11.1;3.2;3.6;85;2.2;30;55
294;Soc. ec. cat. hoofd: overig niet-actief;1998;11;38.3;3.4;2.0;18.5;7.1;4.0;7;26.9;3.2;1.0;12.0;3.2;3.8;79;2.3;27;52
295;Soc. ec. cat. hoofd: overig niet-actief;1999;12;36.9;3.2;3.0;20.9;7.7;3.3;9;25.9;2.9;1.0;11.9;3.1;3.0;89;2.4;34;55
296;Soc. ec. cat. hoofd: overig niet-actief;2000;15;33.0;3.3;2.0;16.8;5.5;3.4;11;25.0;3.3;1.0;10.2;2.5;3.3;104;2.5;45;59
297;Inkomensbron: winst;1990;35;10.9;3.0;;;;;28;8.8;2.8;;;;;323;3.2;322;1
298;Inkomensbron: winst;1991;39;12.3;2.8;;;;;32;10.1;2.7;;;;;320;3.1;318;2
299;Inkomensbron: winst;1992;41;13.1;2.9;6.0;13.4;1.8;3.2;35;11.3;2.7;3.0;8.5;1.0;2.5;316;3.1;314;2
300;Inkomensbron: winst;1993;44;14.4;2.9;6.0;14.6;2.1;3.0;36;11.7;2.8;4.0;10.4;1.2;2.8;310;3.1;308;2
301;Inkomensbron: winst;1994;47;15.0;2.9;7.0;14.9;2.2;3.1;37;11.9;2.8;5.0;12.4;1.5;2.9;313;3.1;311;2
302;Inkomensbron: winst;1995;43;13.0;2.8;8.0;17.9;2.3;2.9;34;10.2;2.8;5.0;15.3;1.6;2.6;338;3.0;336;2
303;Inkomensbron: winst;1996;46;14.4;2.7;8.0;16.7;2.4;2.8;37;11.6;2.6;3.0;9.3;1.1;3.1;322;3.0;320;2
304;Inkomensbron: winst;1997;42;13.0;2.8;6.0;14.7;1.9;2.8;35;10.8;2.6;4.0;10.4;1.1;2.9;327;3.0;326;1
305;Inkomensbron: winst;1998;45;13.6;2.7;6.0;14.0;1.9;2.7;37;11.0;2.7;4.0;10.0;1.1;2.5;335;2.9;333;2
306;Inkomensbron: winst;1999;42;12.7;2.6;6.0;15.0;1.9;2.7;36;10.9;2.5;4.0;11.3;1.2;2.4;331;2.9;329;2
307;Inkomensbron: winst;2000;43;12.8;2.5;6.0;13.5;1.7;2.9;37;11.1;2.4;4.0;11.1;1.2;2.4;336;2.9;335;1
308;Inkomensbron: loon;1990;146;4.6;2.7;;;;;71;2.2;2.4;;;;;3358;2.8;3208;150
309;Inkomensbron: loon;1991;148;4.5;2.8;;;;;72;2.2;2.5;;;;;3415;2.7;3260;155
310;Inkomensbron: loon;1992;150;4.5;2.7;27.0;18.0;0.8;3.4;81;2.5;2.5;7.0;8.0;0.2;3.2;3464;2.7;3299;165
311;Inkomensbron: loon;1993;151;4.5;2.7;26.0;17.3;0.8;3.2;79;2.4;2.5;8.0;9.6;0.2;2.5;3485;2.7;3313;172
312;Inkomensbron: loon;1994;149;4.5;2.7;27.0;18.0;0.8;3.0;72;2.2;2.5;7.0;9.5;0.2;2.9;3468;2.7;3309;159
313;Inkomensbron: loon;1995;141;4.2;2.7;29.0;20.3;0.9;3.1;61;1.8;2.5;7.0;11.0;0.2;2.8;3516;2.7;3362;154
314;Inkomensbron: loon;1996;169;4.9;2.5;30.0;17.9;0.9;3.1;82;2.4;2.4;8.0;9.3;0.2;2.6;3623;2.6;3437;186
315;Inkomensbron: loon;1997;183;5.2;2.4;30.0;16.3;0.8;3.0;93;2.6;2.2;7.0;7.3;0.2;2.6;3716;2.6;3531;185
316;Inkomensbron: loon;1998;168;4.6;2.4;28.0;16.7;0.8;2.9;92;2.5;2.3;7.0;8.0;0.2;2.4;3843;2.6;3651;192
317;Inkomensbron: loon;1999;171;4.6;2.5;30.0;17.3;0.8;2.9;99;2.6;2.2;9.0;8.7;0.2;2.5;3943;2.6;3727;216
318;Inkomensbron: loon;2000;173;4.6;2.4;28.0;16.3;0.7;2.8;110;2.9;2.2;12.0;10.5;0.3;2.5;4025;2.5;3799;226
319;Inkomensbron: pensioen;1990;286;20.1;1.3;;;;;178;12.6;1.3;;;;;1437;1.6;1421;16
320;Inkomensbron: pensioen;1991;293;20.3;1.3;;;;;179;12.4;1.3;;;;;1465;1.6;1447;18
321;Inkomensbron: pensioen;1992;292;19.7;1.3;190.0;65.2;12.9;1.2;175;11.8;1.3;101.0;57.8;6.8;1.2;1494;1.6;1478;16
322;Inkomensbron: pensioen;1993;295;19.6;1.3;189.0;64.0;12.6;1.2;174;11.6;1.3;104.0;59.8;6.9;1.2;1519;1.6;1503;16
323;Inkomensbron: pensioen;1994;321;20.8;1.3;194.0;60.6;12.6;1.2;168;10.9;1.3;103.0;61.5;6.7;1.2;1553;1.6;1539;14
324;Inkomensbron: pensioen;1995;314;20.1;1.3;195.0;62.1;12.5;1.2;169;10.8;1.3;102.0;60.3;6.5;1.2;1569;1.5;1559;10
