ID;Sbi93;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;OnderTijdsdrukWerken_4;Haasten_5;RegelmatigVeelKrachtZetten_6;k_5KgTillen_7;k_5KgDuwenTrekken_8;k_5KgDragen_9;RegelmatigHardPraten_10;RegelmatigGebruikVanGehoorbeschermers_11;RegelmatigTeMakenMetTrillingen_12;GevaarlijkWerk_13;WaterigeOplossingen_14;StoffenOpUwHuid_15;AdemtStoffenIn_16;BesmettePersonen_17;InOngemakkelijkeWerkhoudingWerken_18;TijdensWerkRepeterendeBewegingMaken_19;UurPerDagAanBeeldschermVoorWerk_20;UurPerWeekAanBeeldschermVoorPrive_21;ZelfBeslissen_22;VolgordeWerkzaamhedenBepalen_23;WerktempoBepalen_24;OplossingenBedenken_25;VerlofNemen_26;EmotioneelMoeilijkeWerksituaties_27;EmotioneelVeeleisendWerk_28;EmotioneelBetrokkenBijWerk_29;VanKlanten_30;VanLeidinggevendenOfCollegaS_31;DoorKlanten_32;DoorLeidinggevendenOfCollegaS_33;DoorKlanten_34;DoorLeidinggevendenOfCollegaS_35;DoorKlanten_36;DoorLeidinggevendenOfCollegaS_37;AantalOngevallenPer100000Werknemers_38;TotaalAandeelWerknemersMetOngeval_39;OngevalZonderVerzuim_40;OngevalMetTenMinste0DagenVerzuim_41;OngevalMetTenMinste1DagVerzuim_42;OngevalMetTenMinste4DagenVerzuim_43;UitsluitendLichamelijkLetsel_44;UitsluitendGeestelijkLetsel_45;LichamelijkEnGeestelijkLetsel_46;BurnOutKlachten_47;EmotioneelUitgeput_48;LeegVoelen_49;SOchtendsMoeVoelen_50;VergtVeelOmMetMensenTeWerken_51;UitgeputDoorWerk_52;TevredenMetArbeidsomstandigheden_53;TevredenMetWerk_54;WilTot65eWerkzaamBlijven_55;InStaatTot65eWerkzaamTeBlijven_56;DoorLichterWerkLangerWerkzaam_57;Na65eWerkzaamBlijven_58
61;I Vervoer, opslag en communicatie;2006;47.2;45.8;29.9;49.0;32.1;28.6;38.6;38.0;32.4;12.2;6.0;;;;;;;;;3.3;6.2;;;;;;;;;;;;;;;;;14300;9.2;3.4;5.9;5.6;4.1;6.8;2.1;0.3;;;;;;;68.3;;26.8;39.1;38.2;
62;I Vervoer, opslag en communicatie;2007;32.9;36.3;23.5;;;21.3;;;;9.6;;20.2;5.6;;;;;11.8;45.3;3.3;;;;;;;5.1;7.2;12.2;3.9;2.5;24.1;12.4;4.5;0.9;11.0;9.6;11600;8.4;3.3;5.2;4.7;4.0;5.6;2.0;0.8;10.2;9.7;25.9;13.3;7.5;10.7;70.2;76.2;34.2;42.8;37.5;
63;I Vervoer, opslag en communicatie;2008;32.4;37.4;23.9;;;25.0;;;;8.1;;21.5;;4.4;3.4;10.8;3.2;11.2;45.0;3.5;;54.3;52.1;54.2;58.6;42.9;6.0;7.3;9.6;3.0;2.3;20.2;11.5;4.0;1.1;12.1;12.8;25400;9.2;3.5;5.7;5.7;4.6;6.8;1.4;0.9;15.4;13.6;32.4;18.4;10.3;14.9;70.2;73.3;38.0;45.6;39.4;12.7
64;I Vervoer, opslag en communicatie;2009;30.8;36.4;23.9;;;23.3;;;;10.1;;19.6;5.6;4.9;4.0;11.2;8.9;9.8;44.9;3.3;;52.9;50.5;55.7;59.0;43.9;6.2;9.0;10.5;2.8;1.9;20.0;14.2;4.8;0.8;10.7;10.4;11100;8.2;3.8;4.4;4.4;3.6;5.0;2.4;0.8;13.6;12.3;28.6;16.1;6.9;12.8;67.4;74.8;41.1;42.4;41.4;12.1
65;I Vervoer, opslag en communicatie;2010;35.8;36.0;24.9;;;26.0;;;;7.1;;19.9;7.7;5.0;2.2;11.4;3.8;9.8;44.1;3.3;;54.1;51.0;54.5;59.9;45.5;4.6;9.1;9.9;3.6;2.1;20.8;11.5;4.7;0.7;12.3;8.5;15600;9.0;3.7;5.4;5.3;4.5;6.1;2.2;0.7;14.4;13.7;30.6;18.0;8.4;14.1;73.5;76.1;46.8;48.0;39.7;13.9
66;J Financiële instellingen;2005;50.4;55.4;33.5;45.1;32.4;2.7;4.4;3.3;3.3;1.6;0.6;;;;;;;;;6.1;5.4;;;;;;;;;;;;;;;;;1900;1.6;0.8;0.7;0.7;0.6;0.7;0.7;0.0;;;;;;;77.6;;17.7;55.3;26.0;
67;J Financiële instellingen;2006;48.4;56.0;35.5;44.8;30.0;1.9;3.4;3.0;3.7;1.6;0.8;;;;;;;;;6.3;5.3;;;;;;;;;;;;;;;;;1200;1.0;0.8;0.3;0.3;0.1;0.4;0.6;0.0;;;;;;;76.7;;24.2;55.2;26.9;
68;J Financiële instellingen;2007;39.2;48.9;30.7;;;1.0;;;;0.6;;0.5;0.2;;;;;1.7;29.4;6.2;;;;;;;4.6;7.6;11.6;0.8;1.5;17.7;9.4;1.2;0.1;2.5;7.1;2100;2.0;1.1;0.9;0.8;0.6;1.3;0.6;0.1;10.3;12.6;30.5;14.2;5.3;10.4;82.4;80.8;30.8;52.4;27.2;
69;J Financiële instellingen;2008;35.3;46.2;30.4;;;1.4;;;;1.0;;0.5;;2.4;1.7;1.9;1.3;1.8;29.0;6.3;;72.4;77.8;74.1;75.3;65.8;5.2;7.9;10.2;1.2;1.4;16.2;8.8;0.9;0.3;2.8;6.2;2600;2.4;0.9;1.4;1.4;1.4;0.9;0.9;0.5;10.9;12.1;28.4;13.6;8.2;10.1;83.4;82.1;33.3;58.2;26.4;12.3
70;J Financiële instellingen;2009;39.5;46.1;30.7;;;2.2;;;;1.2;;1.0;0.6;2.4;2.1;2.4;2.8;1.9;28.1;6.3;;72.6;80.4;70.1;78.0;62.2;6.3;9.9;15.7;1.7;1.7;15.8;9.5;0.8;0.2;4.6;5.9;4000;3.1;1.5;1.6;1.6;1.2;1.6;1.4;0.1;13.1;15.6;29.7;17.0;8.4;12.5;79.3;79.8;42.0;56.0;31.1;14.7
71;J Financiële instellingen;2010;42.0;52.0;35.5;;;2.1;;;;1.3;;1.4;0.6;1.9;1.2;1.0;1.4;2.9;31.7;6.4;;72.2;77.7;71.4;78.2;62.9;6.1;8.7;14.3;1.6;1.0;14.9;8.4;0.6;0.1;2.4;5.8;2600;1.8;1.1;0.7;0.7;0.7;1.0;0.6;0.1;11.9;13.0;30.4;15.2;7.7;9.7;82.1;80.7;44.3;59.6;26.9;15.3
72;K Zakelijke dienstverlening;2005;48.5;49.7;32.7;45.2;30.7;12.3;16.9;13.7;15.0;5.7;6.0;;;;;;;;;5.0;6.7;;;;;;;;;;;;;;;;;8000;4.6;2.1;2.5;2.3;1.5;3.3;0.9;0.3;;;;;;;69.7;;23.2;48.7;31.7;
73;K Zakelijke dienstverlening;2006;48.3;52.7;34.2;45.0;31.8;11.2;15.4;13.4;13.9;4.7;4.8;;;;;;;;;5.2;6.3;;;;;;;;;;;;;;;;;5800;4.4;2.0;2.3;2.2;1.7;3.2;0.9;0.3;;;;;;;73.7;;30.6;54.2;29.4;
74;K Zakelijke dienstverlening;2007;37.1;45.9;29.1;;;8.7;;;;4.4;;5.3;2.5;;;;;5.8;36.0;5.2;;;;;;;5.8;8.7;12.6;2.2;1.9;14.6;10.4;1.8;0.4;4.8;7.6;9000;4.9;2.4;2.6;2.5;2.1;3.1;1.2;0.6;11.7;12.5;28.4;15.7;8.7;10.7;74.4;77.0;36.3;48.0;32.6;
75;K Zakelijke dienstverlening;2008;34.5;42.1;27.6;;;10.1;;;;4.7;;6.0;;10.9;7.5;6.3;2.7;6.7;33.4;5.3;;69.5;73.2;67.0;73.8;61.7;4.6;7.1;10.4;2.6;1.5;13.4;9.3;2.4;0.4;4.6;7.9;6700;4.9;2.5;2.4;2.0;1.8;3.2;1.1;0.4;12.9;13.1;28.7;17.2;8.2;12.2;77.9;78.4;39.9;51.7;32.7;14.7
76;K Zakelijke dienstverlening;2009;35.4;41.6;26.7;;;8.4;;;;3.8;;4.7;2.2;12.0;8.4;5.1;6.1;5.7;29.9;5.4;;69.4;72.6;67.5;74.3;60.9;5.8;8.4;13.2;3.2;1.9;14.3;9.7;2.2;0.4;4.9;7.9;11900;5.1;2.5;2.6;2.5;2.2;3.5;1.0;0.6;12.4;12.9;27.9;16.5;8.8;11.9;74.5;75.9;45.5;55.1;33.1;16.8
77;K Zakelijke dienstverlening;2010;37.7;43.5;27.8;;;10.2;;;;4.3;;6.3;3.0;13.1;8.9;6.4;3.3;5.5;35.0;5.2;;69.1;72.2;67.9;73.7;61.6;6.4;9.0;12.4;2.5;2.3;13.2;9.5;2.2;0.6;4.6;6.7;8500;4.8;2.0;2.8;2.6;2.1;2.9;1.2;0.7;13.8;14.5;30.7;18.9;8.7;12.8;76.1;76.8;46.4;52.7;31.2;17.7
78;L Openbaar bestuur;2005;38.6;51.2;28.9;39.2;27.0;8.4;12.8;10.6;12.0;4.1;5.2;;;;;;;;;4.9;5.8;;;;;;;;;;;;;;;;;11300;6.1;3.4;2.7;2.7;2.1;3.6;2.0;0.5;;;;;;;72.9;;20.4;48.7;28.6;
79;L Openbaar bestuur;2006;38.2;52.0;28.4;38.8;25.6;6.6;11.0;9.7;10.9;2.9;5.0;;;;;;;;;5.2;5.8;;;;;;;;;;;;;;;;;9000;4.8;2.4;2.4;2.4;1.8;2.9;1.2;0.7;;;;;;;75.5;;23.2;53.3;27.6;
80;L Openbaar bestuur;2007;30.0;41.1;22.4;;;6.5;;;;3.1;;4.9;9.5;;;;;5.3;26.3;5.1;;;;;;;9.8;15.5;11.4;2.7;2.6;25.8;13.1;9.4;0.2;9.9;9.0;10400;5.6;3.0;2.6;2.4;2.1;3.1;1.8;0.6;9.6;10.6;26.9;13.2;7.2;8.6;76.9;79.5;31.3;48.0;32.2;
81;L Openbaar bestuur;2008;27.3;39.9;24.3;;;6.5;;;;3.4;;5.6;;5.1;2.1;4.4;4.8;4.3;25.3;5.2;;70.8;75.7;69.8;79.0;66.7;11.2;14.2;10.7;2.6;2.4;25.7;12.0;10.1;0.1;8.9;7.2;10600;6.4;2.6;3.8;3.5;2.7;4.3;1.4;0.6;10.9;11.4;26.9;13.5;7.2;8.8;79.0;80.0;36.1;53.5;33.3;10.7
82;L Openbaar bestuur;2009;29.9;41.3;24.6;;;7.0;;;;3.9;;5.8;8.8;5.5;2.3;4.4;5.9;5.1;24.0;5.2;;70.3;75.2;68.4;78.6;66.0;10.1;13.8;9.9;3.0;1.8;26.8;12.0;10.0;0.5;11.1;8.4;7700;5.8;2.9;2.9;2.7;1.8;3.3;2.1;0.4;12.0;12.8;29.6;13.9;9.7;9.7;78.7;80.2;41.6;53.7;33.8;11.8
83;L Openbaar bestuur;2010;31.3;40.6;24.2;;;9.7;;;;3.3;;6.7;10.7;6.1;2.6;5.2;4.6;6.2;30.0;5.3;;70.0;74.4;67.1;79.8;64.6;10.3;14.7;10.6;3.4;2.2;24.5;12.9;9.4;0.4;8.6;8.5;11300;7.6;3.2;4.4;4.4;3.7;5.1;1.9;0.6;11.5;12.4;30.0;14.7;9.1;10.4;83.6;82.2;43.4;54.7;31.7;13.7
84;M Onderwijs;2005;39.1;56.8;35.3;40.4;30.5;4.7;9.9;6.6;9.9;5.9;0.9;;;;;;;;;3.2;5.4;;;;;;;;;;;;;;;;;6100;3.7;2.2;1.5;1.4;0.9;1.6;1.7;0.3;;;;;;;72.4;;23.5;40.5;36.8;
85;M Onderwijs;2006;38.8;58.3;34.9;39.4;30.5;4.6;8.3;6.5;8.6;5.6;1.1;;;;;;;;;3.4;5.4;;;;;;;;;;;;;;;;;5200;3.5;2.0;1.5;1.5;1.2;1.7;1.7;0.0;;;;;;;69.7;;30.5;42.6;37.8;
86;M Onderwijs;2007;30.4;52.7;32.8;;;2.8;;;;4.5;;1.4;0.6;;;;;4.1;14.4;3.3;;;;;;;11.1;25.4;27.6;2.1;1.7;24.3;11.8;6.8;0.5;13.2;6.4;7100;3.9;2.2;1.7;1.7;1.4;2.1;1.7;0.1;17.2;18.3;38.7;17.0;15.3;12.6;70.0;80.6;37.4;42.0;45.6;
87;M Onderwijs;2008;30.1;53.7;35.4;;;3.6;;;;4.5;;0.8;;6.0;4.6;3.3;6.1;4.1;14.3;3.6;;71.4;65.7;55.1;80.1;22.4;11.5;22.9;25.4;3.1;1.6;22.8;11.4;7.2;0.2;12.4;6.6;6400;5.3;3.1;2.2;2.0;1.6;2.4;2.4;0.5;17.9;17.7;37.5;16.7;16.7;13.0;75.9;82.3;39.2;45.7;44.1;13.3
88;M Onderwijs;2009;30.0;52.1;36.0;;;4.0;;;;5.5;;2.4;0.7;5.5;4.5;3.8;8.4;4.4;12.1;3.6;;67.5;64.0;54.9;79.7;20.8;11.7;24.0;26.0;3.0;1.6;22.7;13.4;8.0;0.4;13.0;6.0;9000;6.0;2.8;3.2;3.1;2.6;2.8;2.8;0.4;17.9;18.5;35.9;18.0;17.5;12.9;73.1;80.7;46.3;45.9;44.8;17.0
89;M Onderwijs;2010;30.0;51.0;33.4;;;6.1;;;;5.0;;1.8;0.6;5.6;4.3;2.2;5.7;3.8;15.3;3.7;;69.2;65.4;53.6;80.5;21.3;10.6;23.8;26.3;2.4;1.7;20.9;9.8;5.9;0.4;9.7;4.7;6800;5.4;2.9;2.5;2.3;2.1;2.7;1.9;0.6;16.5;17.4;37.1;17.3;16.4;12.3;79.2;82.6;46.3;48.5;43.6;14.7
90;N Gezondheids- en welzijnszorg;2005;44.4;49.4;30.5;40.6;30.1;33.3;37.6;35.4;25.4;3.4;0.7;;;;;;;;;2.7;5.3;;;;;;;;;;;;;;;;;14700;8.0;5.4;2.6;2.5;2.0;3.8;3.3;0.8;;;;;;;72.3;;22.2;33.3;43.1;
91;N Gezondheids- en welzijnszorg;2006;47.0;52.7;33.2;41.2;31.3;33.8;38.5;35.4;26.0;2.8;0.5;;;;;;;;;2.7;5.0;;;;;;;;;;;;;;;;;9900;6.3;3.9;2.4;2.3;1.8;3.6;2.1;0.5;;;;;;;71.2;;26.4;34.1;46.0;
92;N Gezondheids- en welzijnszorg;2007;33.8;44.6;27.4;;;28.2;;;;1.6;;3.9;3.0;;;;;16.3;32.7;2.9;;;;;;;15.3;27.5;17.2;13.2;1.7;30.6;11.5;19.6;0.4;7.7;5.9;13600;7.1;4.6;2.5;2.4;2.1;4.3;2.0;0.7;11.0;12.6;25.8;11.9;9.5;9.8;71.5;79.6;35.4;35.3;50.0;
93;N Gezondheids- en welzijnszorg;2008;32.8;42.9;27.8;;;29.6;;;;1.9;;3.6;;33.9;17.0;4.2;16.3;16.2;30.8;2.9;;56.6;59.9;50.4;67.2;37.1;16.4;27.1;15.1;14.6;1.7;32.0;10.7;22.0;0.4;8.7;5.8;20700;8.1;5.3;2.8;2.6;2.2;4.6;2.4;1.0;10.7;13.3;27.4;12.1;10.3;10.2;75.9;80.5;36.9;34.4;50.1;9.0
94;N Gezondheids- en welzijnszorg;2009;33.3;44.6;27.0;;;28.0;;;;1.7;;3.9;3.1;31.8;17.4;6.7;17.8;16.0;31.3;2.9;;57.0;59.4;51.5;68.6;37.6;15.8;27.6;16.0;14.8;1.2;32.7;10.7;21.7;0.2;9.8;5.9;16600;8.1;4.9;3.2;2.9;2.3;4.7;2.5;1.0;11.4;13.4;26.1;11.9;10.5;9.5;75.3;82.7;41.1;35.4;51.6;10.6
95;N Gezondheids- en welzijnszorg;2010;33.4;43.6;27.6;;;32.0;;;;2.0;;3.7;3.8;34.4;17.4;4.1;16.7;15.8;32.4;2.8;;54.7;57.5;50.0;65.8;38.4;15.8;26.4;15.2;14.7;1.2;31.1;9.6;21.5;0.3;8.5;5.0;18400;8.4;6.1;2.4;2.3;1.8;4.7;2.8;0.9;12.5;13.8;27.5;14.5;11.0;10.8;78.9;82.8;43.4;35.6;52.2;11.9
96;O t/m Q Cultuur & ov. dienstverlening;2005;38.1;43.9;25.1;37.0;23.9;19.2;23.4;21.8;20.3;10.5;6.9;;;;;;;;;3.5;6.1;;;;;;;;;;;;;;;;;11900;7.1;3.1;4.0;4.0;3.3;5.7;1.0;0.4;;;;;;;71.0;;26.6;41.9;33.0;
97;O t/m Q Cultuur & ov. dienstverlening;2006;41.2;45.4;27.8;38.7;26.3;17.2;22.1;21.7;18.7;10.2;5.7;;;;;;;;;3.7;6.4;;;;;;;;;;;;;;;;;6300;5.1;2.6;2.5;2.5;1.6;3.3;1.1;0.7;;;;;;;73.0;;31.1;45.0;34.3;
98;O t/m Q Cultuur & ov. dienstverlening;2007;28.4;38.5;22.5;;;14.1;;;;8.3;;8.4;2.1;;;;;11.4;35.9;3.4;;;;;;;7.3;11.6;14.4;4.2;1.7;19.8;11.2;2.7;0.1;6.9;9.7;8300;6.0;2.5;3.5;3.5;2.5;4.6;0.8;0.7;8.9;10.3;24.5;12.0;7.5;9.3;75.9;81.2;39.2;43.8;36.8;
99;O t/m Q Cultuur & ov. dienstverlening;2008;31.1;40.2;25.7;;;16.9;;;;7.8;;10.5;;21.5;13.3;10.5;4.6;12.2;39.8;3.8;;70.0;68.4;61.3;73.4;53.8;7.7;11.5;15.0;4.9;2.1;18.4;11.3;2.3;0.1;5.5;7.8;13200;6.1;3.3;2.8;2.6;2.2;3.8;1.7;0.5;9.3;10.2;24.9;13.4;9.0;9.4;76.5;79.5;39.9;41.9;39.0;13.1
100;O t/m Q Cultuur & ov. dienstverlening;2009;28.0;36.8;22.9;;;15.2;;;;7.0;;9.1;2.3;21.4;14.7;11.8;9.7;10.3;38.0;3.8;;61.9;62.4;60.8;70.9;50.6;5.8;10.4;14.4;4.4;1.6;17.6;11.6;3.3;0.4;6.7;8.8;8900;5.8;2.9;2.9;2.8;2.1;3.5;1.5;0.7;11.0;10.2;27.0;14.9;8.7;9.6;80.0;84.4;45.1;43.9;40.8;15.6
101;O t/m Q Cultuur & ov. dienstverlening;2010;29.0;37.8;23.1;;;19.6;;;;6.5;;8.7;3.1;23.3;10.5;9.4;6.3;11.1;38.7;3.6;;69.7;68.0;62.7;71.7;50.0;6.8;11.9;15.3;4.8;1.6;14.7;10.6;3.0;0.9;5.6;5.9;8300;6.6;3.9;2.7;1.8;1.6;4.9;1.1;0.2;10.7;11.6;26.9;13.1;9.0;9.6;78.4;79.7;48.6;46.4;41.3;19.3
