ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;AantalHHBehorendeTotDoelpopulatie_2;AantalHuishoudensMetEenLaagInkomen_3;AantalHHOnderOfRondHetSocMin_4
138;Zuidwest-Overijssel;Paar met kinderen;18.8;18.3;6.0;4.0
139;Zuidwest-Overijssel;Eenoudergezin;2.9;2.7;19.0;24.0
140;Twente;Totaal particulier huishouden;240.6;232.4;8.0;8.0
141;Twente;Eenpersoonshuishouden;66.1;63.4;13.0;13.0
142;Twente;Paar zonder kinderen;74.1;72.2;4.0;5.0
143;Twente;Paar met kinderen;79.3;76.7;6.0;4.0
144;Twente;Eenoudergezin;12.1;11.5;21.0;25.0
145;Veluwe;Totaal particulier huishouden;244.2;237.1;6.0;6.0
146;Veluwe;Eenpersoonshuishouden;66.5;64.0;11.0;11.0
147;Veluwe;Paar zonder kinderen;74.1;72.7;3.0;3.0
148;Veluwe;Paar met kinderen;83.4;81.3;4.0;3.0
149;Veluwe;Eenoudergezin;11.5;10.9;17.0;21.0
150;Achterhoek;Totaal particulier huishouden;152.6;147.3;7.0;7.0
151;Achterhoek;Eenpersoonshuishouden;39.5;38.2;11.0;11.0
152;Achterhoek;Paar zonder kinderen;50.0;48.6;4.0;4.0
153;Achterhoek;Paar met kinderen;50.7;48.8;5.0;4.0
154;Achterhoek;Eenoudergezin;6.9;6.5;18.0;22.0
155;Arnhem/Nijmegen;Totaal particulier huishouden;292.6;277.0;8.0;8.0
156;Arnhem/Nijmegen;Eenpersoonshuishouden;93.8;86.9;13.0;13.0
157;Arnhem/Nijmegen;Paar zonder kinderen;87.3;84.5;4.0;4.0
158;Arnhem/Nijmegen;Paar met kinderen;85.7;82.4;5.0;4.0
159;Arnhem/Nijmegen;Eenoudergezin;17.4;15.3;20.0;23.0
160;Zuidwest-Gelderland;Totaal particulier huishouden;86.8;84.3;6.0;6.0
161;Zuidwest-Gelderland;Eenpersoonshuishouden;20.1;19.4;10.0;10.0
162;Zuidwest-Gelderland;Paar zonder kinderen;26.2;25.7;3.0;4.0
163;Zuidwest-Gelderland;Paar met kinderen;33.2;32.3;5.0;3.0
164;Zuidwest-Gelderland;Eenoudergezin;4.2;4.0;17.0;21.0
165;Utrecht;Totaal particulier huishouden;471.1;455.1;7.0;7.0
166;Utrecht;Eenpersoonshuishouden;152.7;145.2;11.0;11.0
167;Utrecht;Paar zonder kinderen;135.1;132.0;3.0;3.0
168;Utrecht;Paar met kinderen;143.6;140.3;5.0;4.0
169;Utrecht;Eenoudergezin;25.7;24.2;17.0;20.0
170;Kop van Noord-Holland;Totaal particulier huishouden;145.7;141.3;7.0;7.0
171;Kop van Noord-Holland;Eenpersoonshuishouden;40.3;38.6;11.0;11.0
172;Kop van Noord-Holland;Paar zonder kinderen;45.4;44.5;3.0;3.0
173;Kop van Noord-Holland;Paar met kinderen;48.5;47.2;4.0;3.0
174;Kop van Noord-Holland;Eenoudergezin;8.1;7.7;20.0;23.0
175;Alkmaar en omgeving;Totaal particulier huishouden;92.3;89.5;7.0;7.0
176;Alkmaar en omgeving;Eenpersoonshuishouden;28.1;27.0;12.0;12.0
177;Alkmaar en omgeving;Paar zonder kinderen;27.6;26.9;3.0;3.0
178;Alkmaar en omgeving;Paar met kinderen;28.6;28.0;4.0;3.0
179;Alkmaar en omgeving;Eenoudergezin;5.6;5.3;21.0;26.0
180;IJmond;Totaal particulier huishouden;78.0;76.2;6.0;6.0
181;IJmond;Eenpersoonshuishouden;23.6;22.9;9.0;10.0
182;IJmond;Paar zonder kinderen;23.7;23.3;2.0;2.0
183;IJmond;Paar met kinderen;24.5;24.1;4.0;3.0
184;IJmond;Eenoudergezin;4.5;4.2;21.0;23.0
185;Agglomeratie Haarlem;Totaal particulier huishouden;97.7;94.3;8.0;8.0
186;Agglomeratie Haarlem;Eenpersoonshuishouden;38.1;36.4;11.0;12.0
187;Agglomeratie Haarlem;Paar zonder kinderen;27.2;26.6;3.0;4.0
188;Agglomeratie Haarlem;Paar met kinderen;23.9;23.3;5.0;4.0
189;Agglomeratie Haarlem;Eenoudergezin;5.7;5.3;17.0;20.0
190;Zaanstreek;Totaal particulier huishouden;65.6;63.8;7.0;7.0
191;Zaanstreek;Eenpersoonshuishouden;20.0;19.2;11.0;11.0
192;Zaanstreek;Paar zonder kinderen;19.9;19.5;2.0;3.0
193;Zaanstreek;Paar met kinderen;19.5;19.1;4.0;3.0
194;Zaanstreek;Eenoudergezin;4.3;4.1;19.0;23.0
195;Groot-Amsterdam;Totaal particulier huishouden;556.3;526.7;12.0;12.0
196;Groot-Amsterdam;Eenpersoonshuishouden;247.4;230.7;16.0;17.0
197;Groot-Amsterdam;Paar zonder kinderen;127.5;122.9;4.0;5.0
198;Groot-Amsterdam;Paar met kinderen;115.5;111.6;8.0;6.0
199;Groot-Amsterdam;Eenoudergezin;46.7;43.6;22.0;26.0
200;Het Gooi en Vechtstreek;Totaal particulier huishouden;104.7;101.5;6.0;7.0
201;Het Gooi en Vechtstreek;Eenpersoonshuishouden;36.1;34.6;10.0;10.0
202;Het Gooi en Vechtstreek;Paar zonder kinderen;30.9;30.2;3.0;3.0
203;Het Gooi en Vechtstreek;Paar met kinderen;29.2;28.5;5.0;4.0
204;Het Gooi en Vechtstreek;Eenoudergezin;6.1;5.7;13.0;17.0
205;Agglomeratie Leiden en Bollenstreek;Totaal particulier huishouden;156.6;151.1;6.0;6.0
206;Agglomeratie Leiden en Bollenstreek;Eenpersoonshuishouden;50.8;48.3;10.0;10.0
207;Agglomeratie Leiden en Bollenstreek;Paar zonder kinderen;44.4;43.2;3.0;3.0
208;Agglomeratie Leiden en Bollenstreek;Paar met kinderen;49.4;48.2;4.0;3.0
209;Agglomeratie Leiden en Bollenstreek;Eenoudergezin;8.3;7.9;15.0;18.0
210;Agglomeratie 's-Gravenhage;Totaal particulier huishouden;343.4;327.3;10.0;11.0
211;Agglomeratie 's-Gravenhage;Eenpersoonshuishouden;139.9;131.8;13.0;14.0
212;Agglomeratie 's-Gravenhage;Paar zonder kinderen;85.5;83.0;4.0;4.0
213;Agglomeratie 's-Gravenhage;Paar met kinderen;78.7;75.9;8.0;6.0
214;Agglomeratie 's-Gravenhage;Eenoudergezin;26.6;24.9;23.0;28.0
215;Delft en Westland;Totaal particulier huishouden;83.7;80.4;7.0;7.0
216;Delft en Westland;Eenpersoonshuishouden;26.3;24.6;12.0;12.0
217;Delft en Westland;Paar zonder kinderen;24.5;23.7;3.0;3.0
218;Delft en Westland;Paar met kinderen;26.1;25.5;5.0;4.0
219;Delft en Westland;Eenoudergezin;4.7;4.4;18.0;22.0
220;Oost-Zuid-Holland;Totaal particulier huishouden;125.9;122.5;5.0;5.0
221;Oost-Zuid-Holland;Eenpersoonshuishouden;33.6;32.3;9.0;9.0
222;Oost-Zuid-Holland;Paar zonder kinderen;38.3;37.5;3.0;3.0
223;Oost-Zuid-Holland;Paar met kinderen;44.5;43.7;4.0;3.0
224;Oost-Zuid-Holland;Eenoudergezin;6.0;5.7;16.0;19.0
225;Groot-Rijnmond;Totaal particulier huishouden;592.0;567.0;10.0;11.0
226;Groot-Rijnmond;Eenpersoonshuishouden;209.8;198.2;15.0;16.0
227;Groot-Rijnmond;Paar zonder kinderen;164.0;159.7;4.0;4.0
228;Groot-Rijnmond;Paar met kinderen;152.8;148.0;7.0;5.0
229;Groot-Rijnmond;Eenoudergezin;44.9;42.0;25.0;30.0
