ID;Waterusers;Periods;TapWaterUse_1;TotalUseOfGroundwater_2;UseOfGroundwaterForCooling_3;OtherUseOfGroundwater_4;UseOfSurfaceWater_5
379;37-39 Waste management;2004;3.4;2.5;0.0;2.5;531.5
380;37-39 Waste management;2005;2.8;1.6;0.0;1.6;480.7
381;37-39 Waste management;2006;3.5;2.7;0.0;2.7;516.5
382;37-39 Waste management;2007;3.0;2.8;0.0;2.8;481.7
383;37-39 Waste management;2008;4.1;1.4;0.0;1.3;430.9
384;37-39 Waste management;2009;3.6;0.9;0.0;0.9;416.3
385;37-39 Waste management;2010;3.7;2.1;0.0;2.1;550.1
386;37-39 Waste management;2011;2.4;0.9;0.0;0.7;476.1
387;F Construction;2003;2.8;;;;
388;F Construction;2004;2.7;;;;
389;F Construction;2005;2.7;;;;
390;F Construction;2006;2.7;;;;
391;F Construction;2007;2.8;;;;
392;F Construction;2008;2.8;;;;
393;F Construction;2009;2.7;;;;
394;F Construction;2010;2.6;;;;
395;F Construction;2011;2.6;;;;
396;G-I Trade, transport, hotels, catering;2003;30.8;;;;
397;G-I Trade, transport, hotels, catering;2004;30.8;;;;
398;G-I Trade, transport, hotels, catering;2005;30.7;;;;
399;G-I Trade, transport, hotels, catering;2006;31.2;;;;
400;G-I Trade, transport, hotels, catering;2007;32.1;;;;
401;G-I Trade, transport, hotels, catering;2008;32.7;;;;
402;G-I Trade, transport, hotels, catering;2009;32.1;;;;
403;G-I Trade, transport, hotels, catering;2010;32.3;;;;
404;G-I Trade, transport, hotels, catering;2011;33.0;;;;
405;G Wholesale and retail trade;2003;12.1;;;;
406;G Wholesale and retail trade;2004;12.0;;;;
407;G Wholesale and retail trade;2005;11.9;;;;
408;G Wholesale and retail trade;2006;12.1;;;;
409;G Wholesale and retail trade;2007;12.4;;;;
410;G Wholesale and retail trade;2008;12.5;;;;
411;G Wholesale and retail trade;2009;12.3;;;;
412;G Wholesale and retail trade;2010;12.2;;;;
413;G Wholesale and retail trade;2011;12.4;;;;
414;H Transportation and storage;2003;3.2;;;;
415;H Transportation and storage;2004;3.2;;;;
416;H Transportation and storage;2005;3.2;;;;
417;H Transportation and storage;2006;3.2;;;;
418;H Transportation and storage;2007;3.3;;;;
419;H Transportation and storage;2008;3.3;;;;
420;H Transportation and storage;2009;3.3;;;;
421;H Transportation and storage;2010;3.2;;;;
422;H Transportation and storage;2011;3.3;;;;
423;I Accommodation and food serving;2003;15.6;;;;
424;I Accommodation and food serving;2004;15.5;;;;
425;I Accommodation and food serving;2005;15.6;;;;
426;I Accommodation and food serving;2006;15.9;;;;
427;I Accommodation and food serving;2007;16.5;;;;
428;I Accommodation and food serving;2008;16.9;;;;
429;I Accommodation and food serving;2009;16.6;;;;
430;I Accommodation and food serving;2010;16.8;;;;
431;I Accommodation and food serving;2011;17.3;;;;
432;J Information and communication;2003;0.8;;;;
433;J Information and communication;2004;0.8;;;;
434;J Information and communication;2005;0.8;;;;
435;J Information and communication;2006;0.8;;;;
436;J Information and communication;2007;0.8;;;;
437;J Information and communication;2008;0.8;;;;
438;J Information and communication;2009;0.8;;;;
439;J Information and communication;2010;0.7;;;;
440;J Information and communication;2011;0.7;;;;
441;K Financial institutions;2003;1.9;;;;
442;K Financial institutions;2004;1.8;;;;
443;K Financial institutions;2005;1.9;;;;
444;K Financial institutions;2006;1.9;;;;
445;K Financial institutions;2007;1.9;;;;
446;K Financial institutions;2008;1.9;;;;
447;K Financial institutions;2009;1.9;;;;
448;K Financial institutions;2010;1.8;;;;
449;K Financial institutions;2011;1.8;;;;
450;L Renting, buying, selling real estate;2003;3.5;;;;
451;L Renting, buying, selling real estate;2004;3.5;;;;
452;L Renting, buying, selling real estate;2005;3.5;;;;
453;L Renting, buying, selling real estate;2006;3.6;;;;
454;L Renting, buying, selling real estate;2007;3.7;;;;
455;L Renting, buying, selling real estate;2008;3.8;;;;
456;L Renting, buying, selling real estate;2009;3.8;;;;
457;L Renting, buying, selling real estate;2010;3.6;;;;
458;L Renting, buying, selling real estate;2011;3.6;;;;
459;M-N Business services;2003;3.4;;;;
460;M-N Business services;2004;3.4;;;;
461;M-N Business services;2005;3.4;;;;
462;M-N Business services;2006;3.6;;;;
463;M-N Business services;2007;3.7;;;;
464;M-N Business services;2008;3.8;;;;
465;M-N Business services;2009;3.8;;;;
466;M-N Business services;2010;3.6;;;;
467;M-N Business services;2011;3.7;;;;
468;M Other specialised business services;2003;2.7;;;;
469;M Other specialised business services;2004;2.7;;;;
470;M Other specialised business services;2005;2.7;;;;
471;M Other specialised business services;2006;2.7;;;;
472;M Other specialised business services;2007;2.8;;;;
473;M Other specialised business services;2008;3.0;;;;
474;M Other specialised business services;2009;3.0;;;;
475;M Other specialised business services;2010;2.8;;;;
476;M Other specialised business services;2011;2.8;;;;
477;N Renting and other business support;2003;0.8;;;;
478;N Renting and other business support;2004;0.8;;;;
479;N Renting and other business support;2005;0.8;;;;
480;N Renting and other business support;2006;0.8;;;;
481;N Renting and other business support;2007;0.8;;;;
482;N Renting and other business support;2008;0.8;;;;
483;N Renting and other business support;2009;0.8;;;;
484;N Renting and other business support;2010;0.8;;;;
485;N Renting and other business support;2011;0.8;;;;
486;O-Q Government and care;2003;24.2;;;;
487;O-Q Government and care;2004;24.2;;;;
488;O-Q Government and care;2005;24.2;;;;
489;O-Q Government and care;2006;24.5;;;;
490;O-Q Government and care;2007;24.8;;;;
491;O-Q Government and care;2008;25.3;;;;
492;O-Q Government and care;2009;25.8;;;;
493;O-Q Government and care;2010;26.7;;;;
494;O-Q Government and care;2011;27.0;;;;
495;O Public administration and services;2003;5.5;;;;
496;O Public administration and services;2004;5.4;;;;
497;O Public administration and services;2005;5.2;;;;
498;O Public administration and services;2006;5.1;;;;
499;O Public administration and services;2007;5.1;;;;
500;O Public administration and services;2008;5.1;;;;
501;O Public administration and services;2009;5.3;;;;
502;O Public administration and services;2010;5.4;;;;
503;O Public administration and services;2011;5.3;;;;
504;P Education;2003;4.9;;;;
505;P Education;2004;4.8;;;;
506;P Education;2005;4.8;;;;
507;P Education;2006;4.9;;;;
508;P Education;2007;5.0;;;;
509;P Education;2008;5.0;;;;
510;P Education;2009;5.1;;;;
511;P Education;2010;5.1;;;;
512;P Education;2011;5.1;;;;
513;Q Health and social work activities;2003;13.8;;;;
514;Q Health and social work activities;2004;14.0;;;;
515;Q Health and social work activities;2005;14.2;;;;
516;Q Health and social work activities;2006;14.5;;;;
517;Q Health and social work activities;2007;14.7;;;;
518;Q Health and social work activities;2008;15.2;;;;
519;Q Health and social work activities;2009;15.5;;;;
520;Q Health and social work activities;2010;16.2;;;;
521;Q Health and social work activities;2011;16.7;;;;
522;R-U Culture, recreation, other services;2003;18.4;;;;
523;R-U Culture, recreation, other services;2004;18.3;;;;
524;R-U Culture, recreation, other services;2005;18.7;;;;
525;R-U Culture, recreation, other services;2006;19.0;;;;
526;R-U Culture, recreation, other services;2007;19.6;;;;
527;R-U Culture, recreation, other services;2008;21.7;;;;
528;R-U Culture, recreation, other services;2009;22.3;;;;
529;R-U Culture, recreation, other services;2010;22.8;;;;
530;R-U Culture, recreation, other services;2011;22.7;;;;
531;R Culture, sports and recreation;2003;10.7;;;;
532;R Culture, sports and recreation;2004;10.6;;;;
533;R Culture, sports and recreation;2005;10.9;;;;
534;R Culture, sports and recreation;2006;11.0;;;;
535;R Culture, sports and recreation;2007;11.2;;;;
536;R Culture, sports and recreation;2008;12.7;;;;
537;R Culture, sports and recreation;2009;13.1;;;;
538;R Culture, sports and recreation;2010;13.5;;;;
539;R Culture, sports and recreation;2011;13.7;;;;
540;S Other service activities;2003;7.2;;;;
541;S Other service activities;2004;7.2;;;;
542;S Other service activities;2005;7.3;;;;
543;S Other service activities;2006;7.4;;;;
544;S Other service activities;2007;7.6;;;;
545;S Other service activities;2008;8.1;;;;
546;S Other service activities;2009;8.3;;;;
547;S Other service activities;2010;8.5;;;;
548;S Other service activities;2011;8.4;;;;
549;T Activities of households;2003;0.5;;;;
550;T Activities of households;2004;0.5;;;;
551;T Activities of households;2005;0.5;;;;
552;T Activities of households;2006;0.6;;;;
553;T Activities of households;2007;0.7;;;;
554;T Activities of households;2008;0.9;;;;
555;T Activities of households;2009;0.8;;;;
556;T Activities of households;2010;0.7;;;;
557;T Activities of households;2011;0.6;;;;
558;U Extraterritorial organisations;2003;0.0;;;;
559;U Extraterritorial organisations;2004;0.0;;;;
560;U Extraterritorial organisations;2005;0.0;;;;
561;U Extraterritorial organisations;2006;0.0;;;;
562;U Extraterritorial organisations;2007;0.0;;;;
563;U Extraterritorial organisations;2008;0.0;;;;
564;U Extraterritorial organisations;2009;0.0;;;;
565;U Extraterritorial organisations;2010;0.0;;;;
566;U Extraterritorial organisations;2011;0.0;;;;
