ID;Creditproviders;Periods;NewLoans_1;OutstandingContracts_2;CreditGranted_3;Interest_4;Repayments_5;OutstandingBalance_6;OutstandingBalanceExclInterest_7;OutstandingContracts_8;LimitsGranted_9;NewLimitsGranted_10;CreditGranted_11;Interest_12;Repayments_13;OutstandingBalance_14;LimitsGranted_15;NewLimitsGranted_16;OutstandingContracts_17;LimitsGranted_18;NewLimitsGranted_19;CreditGranted_20;Interest_21;Repayments_22;OutstandingBalance_23;LimitsGranted_24;NewLimitsGranted_25
346;Banks;2010 September;1.0;78.0;11.0;2.0;31.0;766.0;611.0;548.0;727;7;140;36;194;5563;9311;76;;;;;;;;;
347;Banks;2010 October;1.0;71.0;10.0;2.0;39.0;739.0;587.0;545.0;728;7;133;36;212;5520;9248;71;;;;;;;;;
348;Banks;2010 November;1.0;68.0;9.0;1.0;41.0;708.0;561.0;543.0;726;6;145;35;203;5497;9222;66;;;;;;;;;
349;Banks;2010 December;1.0;65.0;8.0;1.0;21.0;697.0;552.0;539.0;722;5;141;36;234;5440;9181;60;;;;;;;;;
350;Banks;2011 January;1.0;65.0;8.0;1.0;19.0;687.0;545.0;534.0;715;3;127;32;209;5390;9098;34;;;;;;;;;
351;Banks;2011 February;1.0;65.0;10.0;1.0;19.0;679.0;538.0;529.0;710;4;125;31;191;5355;9048;41;;;;;;;;;
352;Banks;2011 March;2.0;79.0;12.0;1.0;-53.0;745.0;597.0;526.0;705;5;143;31;201;5328;9001;48;;;;;;;;;
353;Banks;2011 April;1.0;78.0;9.0;1.0;18.0;738.0;591.0;522.0;701;5;135;31;193;5301;8959;43;;;;;;;;;
354;Banks;2011 May;1.0;78.0;10.0;1.0;18.0;731.0;586.0;517.0;697;5;143;31;240;5235;8917;47;;;;;;;;;
355;Banks;2011 June;1.0;77.0;9.0;1.0;17.0;724.0;581.0;520.0;703;4;128;31;161;5233;8965;41;;;;;;;;;
356;Banks;2011 July;1.0;77.0;11.0;1.0;17.0;719.0;577.0;515.0;699;5;141;31;196;5209;8930;46;;;;;;;;;
357;Banks;2011 August;1.0;76.0;11.0;2.0;18.0;714.0;574.0;512.0;694;5;158;32;195;5204;8886;50;;;;;;;;;
358;Banks;2011 September;1.0;76.0;10.0;1.0;17.0;708.0;569.0;509.0;687;5;143;31;189;5189;8810;48;;;;;;;;;
359;Banks;2011 October;1.0;76.0;10.0;1.0;17.0;702.0;565.0;506.0;682;5;145;32;192;5173;8760;48;;;;;;;;;
360;Banks;2011 November;1.0;75.0;9.0;1.0;19.0;693.0;558.0;501.0;676;4;136;35;221;5124;8689;44;;;;;;;;;
361;Banks;2011 December;1.0;74.0;8.0;2.0;19.0;684.0;550.0;494.0;671;3;129;38;234;5057;8614;33;;;;;;;;;
362;Banks;2012 January;1.0;74.0;9.0;1.0;14.0;680.0;548.0;490.0;668;4;119;33;202;5007;8578;35;;;;;;;;;
363;Banks;2012 February;1.0;74.0;9.0;1.0;10.0;681.0;548.0;479.0;650;4;113;33;220;4932;8426;39;;;;;;;;;
364;Banks;2012 March;1.0;74.0;10.0;1.0;8.0;684.0;551.0;485.0;659;4;127;32;131;4959;8486;44;;;;;;;;;
365;Banks;2012 April;1.0;74.0;9.0;1.0;13.0;681.0;549.0;483.0;656;3;131;32;166;4956;8466;37;;;;;;;;;
366;Banks;2012 May;1.0;74.0;9.0;1.0;14.0;678.0;546.0;480.0;653;3;125;32;209;4904;8436;38;;;;;;;;;
367;Banks;2012 June;1.0;73.0;9.0;1.0;15.0;673.0;543.0;476.0;650;3;111;32;197;4849;8407;34;;;;;;;;;
368;Banks;2012 July;1.0;73.0;11.0;1.0;15.0;670.0;540.0;474.0;650;3;132;31;174;4839;8397;34;;;;;;;;;
369;Banks;2012 August;2.0;73.0;12.0;1.0;15.0;669.0;540.0;472.0;642;4;126;31;164;4833;8328;36;;;;;;;;;
370;Banks;2012 September;1.0;73.0;9.0;1.0;13.0;667.0;538.0;472.0;639;3;119;31;155;4828;8301;32;;;;;;;;;
371;Banks;2012 October;1.0;73.0;11.0;1.0;9.0;670.0;541.0;475.0;636;4;138;31;172;4825;8274;36;;;;;;;;;
372;Banks;2012 November;1.0;73.0;10.0;1.0;15.0;666.0;538.0;474.0;578;3;132;31;172;4816;7803;27;;;;;;;;;
373;Banks;2012 December;1.0;74.0;9.0;1.0;3.0;673.0;543.0;470.0;574;3;121;31;197;4771;7764;31;;;;;;;;;
374;Banks;2013 January;1.0;74.0;11.0;1.0;11.0;674.0;545.0;464.0;559;3;121;31;171;4752;7715;35;;;;;;;;;
375;Banks;2013 February;1.0;74.0;12.0;1.0;9.0;679.0;549.0;457.0;538;3;104;30;181;4705;7447;30;;;;;;;;;
376;Banks;2013 March;1.0;74.0;11.0;1.0;5.0;686.0;554.0;454.0;537;4;106;30;163;4678;7425;35;;;;;;;;;
377;Banks;2013 April;1.0;74.0;12.0;1.0;8.0;690.0;558.0;452.0;535;3;125;30;173;4660;7403;31;;;;;;;;;
378;Banks;2013 May;1.0;75.0;12.0;1.0;10.0;693.0;560.0;448.0;532;3;113;30;203;4600;7367;28;;;;;;;;;
379;Banks;2013 June;1.0;74.0;11.0;1.0;14.0;692.0;559.0;443.0;529;3;101;29;179;4550;7337;24;;;;;;;;;
380;Banks;2013 July;1.0;74.0;11.0;1.0;11.0;693.0;559.0;440.0;523;2;122;29;162;4540;7252;28;;;;;;;;;
381;Banks;2013 August;2.0;74.0;15.0;1.0;14.0;695.0;563.0;440.0;523;2;115;29;150;4535;7239;26;;;;;;;;;
382;Banks;2013 September;1.0;70.0;13.0;1.0;11.0;693.0;560.0;436.0;518;3;130;29;165;4520;7191;30;;;;;;;;;
383;Banks;2013 October;1.0;71.0;14.0;1.0;7.0;702.0;565.0;434.0;516;3;126;29;183;4491;7156;29;;;;;;;;;
384;Banks;2013 November;1.0;71.0;14.0;1.0;9.0;708.0;566.0;430.0;514;2;116;29;183;4453;7123;28;;;;;;;;;
385;Banks;2013 December;1.0;72.0;12.0;1.0;5.0;716.0;570.0;428.0;512;2;129;29;185;4430;7092;22;;;;;;;;;
386;Municipal credit banks;1998 January;4.0;161.0;10.0;2.0;15.0;295.0;250.0;;18;0;4;1;4;89;132;3;;;;;;;;;
387;Municipal credit banks;1998 February;5.0;160.0;13.0;2.0;18.0;292.0;248.0;;18;1;6;1;6;90;137;5;;;;;;;;;
388;Municipal credit banks;1998 March;5.0;158.0;14.0;2.0;19.0;289.0;245.0;;19;1;6;1;5;92;141;5;;;;;;;;;
389;Municipal credit banks;1998 April;4.0;157.0;12.0;2.0;17.0;286.0;242.0;;19;1;5;1;5;92;142;4;;;;;;;;;
390;Municipal credit banks;1998 May;4.0;158.0;12.0;2.0;16.0;284.0;241.0;;19;1;4;1;6;92;144;4;;;;;;;;;
391;Municipal credit banks;1998 June;6.0;154.0;14.0;2.0;17.0;284.0;240.0;;19;1;5;1;6;92;143;4;;;;;;;;;
392;Municipal credit banks;1998 July;6.0;152.0;15.0;2.0;24.0;277.0;235.0;;19;1;6;1;6;92;143;4;;;;;;;;;
393;Municipal credit banks;1998 August;5.0;152.0;13.0;2.0;15.0;277.0;235.0;;20;1;6;1;5;94;145;5;;;;;;;;;
394;Municipal credit banks;1998 September;6.0;151.0;14.0;2.0;15.0;278.0;236.0;;20;1;5;1;6;94;144;4;;;;;;;;;
395;Municipal credit banks;1998 October;5.0;152.0;13.0;2.0;18.0;275.0;233.0;;20;1;5;1;5;95;145;6;;;;;;;;;
396;Municipal credit banks;1998 November;5.0;151.0;14.0;2.0;17.0;274.0;233.0;;20;1;6;1;6;96;146;5;;;;;;;;;
397;Municipal credit banks;1998 December;5.0;149.0;12.0;2.0;18.0;271.0;229.0;;21;1;6;1;7;96;144;4;;;;;;;;;
398;Municipal credit banks;1999 January;4.0;148.0;10.0;2.0;16.0;267.0;225.0;;20;1;7;1;7;96;143;3;;;;;;;;;
399;Municipal credit banks;1999 February;5.0;147.0;11.0;2.0;15.0;265.0;224.0;;21;1;6;1;6;97;145;4;;;;;;;;;
400;Municipal credit banks;1999 March;5.0;147.0;13.0;2.0;17.0;263.0;222.0;;21;1;6;1;7;97;146;4;;;;;;;;;
401;Municipal credit banks;1999 April;4.0;147.0;11.0;2.0;15.0;260.0;219.0;;21;1;5;1;5;97;146;4;;;;;;;;;
402;Municipal credit banks;1999 May;4.0;144.0;9.0;1.0;13.0;257.0;217.0;;22;0;5;1;6;97;148;4;;;;;;;;;
403;Municipal credit banks;1999 June;5.0;143.0;12.0;2.0;16.0;255.0;215.0;;21;1;5;1;6;97;148;4;;;;;;;;;
404;Municipal credit banks;1999 July;5.0;144.0;14.0;2.0;15.0;255.0;215.0;;21;1;7;1;7;97;148;5;;;;;;;;;
405;Municipal credit banks;1999 August;5.0;140.0;11.0;2.0;15.0;254.0;217.0;;21;1;6;1;6;98;149;4;;;;;;;;;
406;Municipal credit banks;1999 September;5.0;140.0;13.0;2.0;14.0;254.0;218.0;;21;1;6;1;6;98;149;4;;;;;;;;;
407;Municipal credit banks;1999 October;4.0;140.0;13.0;2.0;16.0;253.0;217.0;;22;0;5;1;5;98;150;4;;;;;;;;;
408;Municipal credit banks;1999 November;5.0;138.0;13.0;2.0;16.0;253.0;217.0;;22;1;5;1;6;99;150;4;;;;;;;;;
409;Municipal credit banks;1999 December;4.0;137.0;11.0;2.0;15.0;250.0;214.0;;22;1;5;1;6;99;151;4;;;;;;;;;
410;Municipal credit banks;2000 January;4.0;145.0;9.0;1.0;12.0;248.0;212.0;;22;0;5;1;5;99;153;3;;;;;;;;;
411;Municipal credit banks;2000 February;4.0;142.0;10.0;2.0;13.0;247.0;211.0;;21;0;5;1;5;99;153;3;;;;;;;;;
412;Municipal credit banks;2000 March;4.0;141.0;10.0;1.0;14.0;244.0;209.0;;21;0;6;1;5;101;155;4;;;;;;;;;
413;Municipal credit banks;2000 April;3.0;140.0;9.0;1.0;13.0;242.0;206.0;;20;0;5;1;5;101;157;3;;;;;;;;;
414;Municipal credit banks;2000 May;4.0;137.0;10.0;1.0;15.0;238.0;205.0;;21;0;5;1;5;101;159;4;;;;;;;;;
415;Municipal credit banks;2000 June;4.0;136.0;12.0;2.0;16.0;235.0;203.0;;21;0;4;1;4;101;160;3;;;;;;;;;
416;Municipal credit banks;2000 July;4.0;135.0;10.0;2.0;14.0;233.0;201.0;;21;0;5;1;5;102;162;4;;;;;;;;;
417;Municipal credit banks;2000 August;4.0;134.0;10.0;2.0;14.0;231.0;200.0;;20;0;4;1;4;102;163;3;;;;;;;;;
418;Municipal credit banks;2000 September;4.0;132.0;10.0;2.0;14.0;228.0;198.0;;20;1;5;1;6;102;163;3;;;;;;;;;
419;Municipal credit banks;2000 October;3.0;130.0;10.0;2.0;12.0;228.0;199.0;;20;0;6;1;7;102;164;3;;;;;;;;;
420;Municipal credit banks;2000 November;3.0;129.0;8.0;2.0;13.0;225.0;194.0;;20;0;3;1;5;100;161;3;;;;;;;;;
421;Municipal credit banks;2000 December;3.0;122.0;7.0;2.0;12.0;222.0;193.0;;20;0;2;1;4;99;160;2;;;;;;;;;
422;Municipal credit banks;2001 January;3.0;120.0;10.0;2.0;13.0;221.0;191.0;;19;1;4;1;6;98;153;6;;;;;;;;;
423;Municipal credit banks;2001 February;3.0;116.0;9.0;1.0;10.0;221.0;192.0;;19;0;4;1;4;98;150;3;;;;;;;;;
424;Municipal credit banks;2001 March;3.0;110.0;11.0;2.0;12.0;221.0;192.0;;19;0;4;1;5;98;147;3;;;;;;;;;
425;Municipal credit banks;2001 April;3.0;108.0;9.0;2.0;12.0;221.0;192.0;;19;0;4;1;5;97;143;2;;;;;;;;;
426;Municipal credit banks;2001 May;3.0;104.0;8.0;2.0;11.0;220.0;191.0;;19;0;4;1;5;97;139;2;;;;;;;;;
427;Municipal credit banks;2001 June;3.0;101.0;8.0;2.0;9.0;220.0;191.0;;19;0;4;1;6;96;136;3;;;;;;;;;
428;Municipal credit banks;2001 July;3.0;118.0;9.0;2.0;13.0;218.0;184.0;;18;0;4;1;10;91;126;3;;;;;;;;;
429;Municipal credit banks;2001 August;3.0;114.0;9.0;2.0;11.0;217.0;180.0;;18;0;4;1;6;90;121;3;;;;;;;;;
430;Municipal credit banks;2001 September;3.0;111.0;8.0;1.0;9.0;217.0;183.0;;17;0;4;1;5;89;115;3;;;;;;;;;
431;Municipal credit banks;2001 October;3.0;114.0;7.0;1.0;4.0;221.0;186.0;;16;0;4;1;7;87;107;4;;;;;;;;;
432;Municipal credit banks;2001 November;2.0;111.0;7.0;1.0;15.0;215.0;181.0;;15;0;4;1;3;87;114;2;;;;;;;;;
433;Municipal credit banks;2001 December;2.0;108.0;5.0;1.0;14.0;206.0;173.0;;15;1;4;1;3;88;127;2;;;;;;;;;
434;Municipal credit banks;2002 January;2.0;106.0;6.0;1.0;10.0;204.0;170.0;;15;0;2;0;3;88;126;2;;;;;;;;;
435;Municipal credit banks;2002 February;2.0;104.0;6.0;1.0;11.0;199.0;166.0;;15;0;2;1;1;90;126;3;;;;;;;;;
436;Municipal credit banks;2002 March;2.0;100.0;5.0;1.0;13.0;193.0;160.0;;15;0;2;1;2;91;124;2;;;;;;;;;
437;Municipal credit banks;2002 April;2.0;99.0;5.0;1.0;9.0;190.0;157.0;;15;0;2;0;1;93;122;3;;;;;;;;;
438;Municipal credit banks;2002 May;2.0;95.0;5.0;1.0;15.0;181.0;149.0;;14;0;2;1;9;86;119;2;;;;;;;;;
439;Municipal credit banks;2002 June;2.0;92.0;5.0;1.0;7.0;179.0;148.0;;14;0;3;1;4;85;105;3;;;;;;;;;
440;Municipal credit banks;2002 July;3.0;90.0;7.0;1.0;12.0;176.0;144.0;;14;0;5;0;5;86;122;5;;;;;;;;;
441;Municipal credit banks;2002 August;2.0;90.0;6.0;1.0;11.0;172.0;145.0;;14;0;3;0;5;84;122;3;;;;;;;;;
442;Municipal credit banks;2002 September;2.0;86.0;6.0;1.0;10.0;169.0;140.0;;13;0;4;0;4;84;116;2;;;;;;;;;
443;Municipal credit banks;2002 October;2.0;85.0;5.0;1.0;10.0;166.0;137.0;;13;0;4;1;5;84;110;4;;;;;;;;;
444;Municipal credit banks;2002 November;2.0;88.0;7.0;1.0;6.0;168.0;140.0;;13;0;3;0;4;83;108;3;;;;;;;;;
445;Municipal credit banks;2002 December;2.0;86.0;5.0;1.0;9.0;165.0;137.0;;12;0;3;0;4;82;106;2;;;;;;;;;
446;Municipal credit banks;2003 January;1.0;84.0;4.0;1.0;18.0;152.0;128.0;;14;0;3;1;2;83;106;2;;;;;;;;;
447;Municipal credit banks;2003 February;2.0;82.0;4.0;1.0;7.0;150.0;128.0;;14;0;4;0;5;83;107;3;;;;;;;;;
448;Municipal credit banks;2003 March;1.0;80.0;4.0;1.0;9.0;146.0;124.0;;14;0;3;0;5;81;105;2;;;;;;;;;
449;Municipal credit banks;2003 April;1.0;78.0;4.0;1.0;7.0;143.0;124.0;;14;0;4;0;5;80;106;3;;;;;;;;;
450;Municipal credit banks;2003 May;2.0;77.0;4.0;1.0;7.0;140.0;123.0;;14;0;3;0;5;79;106;2;;;;;;;;;
451;Municipal credit banks;2003 June;2.0;75.0;4.0;1.0;9.0;137.0;121.0;;14;0;3;1;5;77;107;2;;;;;;;;;
452;Municipal credit banks;2003 July;2.0;74.0;5.0;1.0;9.0;134.0;120.0;;15;0;4;0;4;77;108;3;;;;;;;;;
453;Municipal credit banks;2003 August;1.0;72.0;3.0;1.0;3.0;135.0;121.0;;15;0;3;0;4;77;109;2;;;;;;;;;
454;Municipal credit banks;2003 September;2.0;71.0;5.0;1.0;9.0;132.0;120.0;;13;0;3;0;4;76;110;2;;;;;;;;;
455;Municipal credit banks;2003 October;2.0;69.0;5.0;1.0;7.0;130.0;120.0;;13;0;2;0;5;75;111;1;;;;;;;;;
456;Municipal credit banks;2003 November;2.0;68.0;4.0;1.0;7.0;128.0;120.0;;13;0;2;0;4;73;112;2;;;;;;;;;
457;Municipal credit banks;2003 December;2.0;67.0;5.0;1.0;9.0;124.0;118.0;;12;0;3;0;4;73;112;2;;;;;;;;;
458;Municipal credit banks;2004 January;1.0;67.0;4.0;1.0;4.0;125.0;118.0;;12;0;1;0;4;71;111;1;;;;;;;;;
459;Municipal credit banks;2004 February;2.0;65.0;4.0;1.0;6.0;124.0;117.0;;12;0;2;0;3;70;110;1;;;;;;;;;
460;Municipal credit banks;2004 March;2.0;65.0;5.0;1.0;7.0;123.0;116.0;;12;0;3;0;5;69;108;2;;;;;;;;;
461;Municipal credit banks;2004 April;1.0;64.0;5.0;1.0;6.0;123.0;115.0;;12;0;3;0;5;68;105;2;;;;;;;;;
462;Municipal credit banks;2004 May;1.0;64.0;4.0;1.0;6.0;121.0;113.0;;13;0;3;0;4;67;105;1;;;;;;;;;
463;Municipal credit banks;2004 June;2.0;63.0;5.0;1.0;6.0;120.0;112.0;;12;0;2;0;4;66;103;1;;;;;;;;;
464;Municipal credit banks;2004 July;2.0;62.0;5.0;1.0;7.0;119.0;111.0;;13;0;3;0;3;66;102;2;;;;;;;;;
465;Municipal credit banks;2004 August;1.0;62.0;4.0;1.0;5.0;119.0;111.0;;12;0;3;0;3;67;103;2;;;;;;;;;
466;Municipal credit banks;2004 September;2.0;62.0;5.0;1.0;6.0;119.0;110.0;;13;0;3;0;4;67;103;2;;;;;;;;;
467;Municipal credit banks;2004 October;2.0;61.0;5.0;1.0;7.0;118.0;108.0;;12;0;3;0;3;66;102;2;;;;;;;;;
468;Municipal credit banks;2004 November;1.0;61.0;4.0;1.0;5.0;118.0;108.0;;12;0;3;0;3;66;103;2;;;;;;;;;
469;Municipal credit banks;2004 December;1.0;59.0;4.0;1.0;7.0;115.0;105.0;;12;0;3;0;4;65;101;2;;;;;;;;;
470;Municipal credit banks;2005 January;1.0;58.0;3.0;1.0;4.0;115.0;105.0;12.0;12;0;3;0;3;65;101;2;;;;;;;;;
471;Municipal credit banks;2005 February;1.0;57.0;3.0;0.0;7.0;111.0;101.0;12.0;12;0;2;0;3;65;100;1;;;;;;;;;
472;Municipal credit banks;2005 March;1.0;57.0;3.0;1.0;7.0;107.0;99.0;12.0;12;0;3;0;4;64;99;2;;;;;;;;;
473;Municipal credit banks;2005 April;1.0;56.0;3.0;1.0;7.0;104.0;96.0;12.0;12;0;2;0;3;63;99;1;;;;;;;;;
474;Municipal credit banks;2005 May;1.0;55.0;3.0;1.0;6.0;101.0;93.0;12.0;12;0;2;0;4;62;98;1;;;;;;;;;
475;Municipal credit banks;2005 June;1.0;54.0;3.0;1.0;7.0;98.0;90.0;11.0;11;0;2;0;3;61;96;1;;;;;;;;;
476;Municipal credit banks;2005 July;1.0;53.0;3.0;0.0;5.0;96.0;89.0;11.0;11;0;2;0;3;61;96;1;;;;;;;;;
477;Municipal credit banks;2005 August;1.0;52.0;4.0;1.0;7.0;93.0;86.0;11.0;11;0;2;0;3;60;94;1;;;;;;;;;
478;Municipal credit banks;2005 September;3.0;53.0;5.0;1.0;6.0;93.0;86.0;11.0;11;0;1;0;3;59;93;1;;;;;;;;;
479;Municipal credit banks;2005 October;1.0;52.0;4.0;1.0;7.0;90.0;84.0;11.0;11;0;2;0;3;58;93;1;;;;;;;;;
480;Municipal credit banks;2005 November;1.0;51.0;4.0;1.0;6.0;88.0;83.0;11.0;11;0;2;0;3;58;91;1;;;;;;;;;
481;Municipal credit banks;2005 December;1.0;49.0;3.0;1.0;7.0;84.0;79.0;11.0;11;0;2;0;3;57;89;1;;;;;;;;;
482;Municipal credit banks;2006 January-I;1.0;50.0;3.0;1.0;4.0;84.0;79.0;10.0;10;0;1;0;5;53;85;1;;;;;;;;;
483;Municipal credit banks;2006 January-II;1.0;50.0;3.0;1.0;4.0;84.0;79.0;10.0;10;0;1;0;5;53;85;1;;;;;;;;;
484;Municipal credit banks;2006 February;1.0;50.0;3.0;1.0;3.0;85.0;79.0;10.0;10;0;1;0;5;49;80;1;;;;;;;;;
485;Municipal credit banks;2006 March;1.0;50.0;3.0;1.0;4.0;84.0;78.0;9.0;9;0;1;0;6;46;76;1;;;;;;;;;
486;Municipal credit banks;2006 April;1.0;50.0;3.0;1.0;3.0;85.0;78.0;9.0;9;0;1;0;5;42;71;0;;;;;;;;;
487;Municipal credit banks;2006 May;1.0;50.0;3.0;1.0;4.0;84.0;77.0;8.0;8;0;1;0;6;38;66;0;;;;;;;;;
488;Municipal credit banks;2006 June;1.0;50.0;3.0;1.0;4.0;84.0;77.0;8.0;8;0;1;0;5;35;61;0;;;;;;;;;
489;Municipal credit banks;2006 July;1.0;51.0;4.0;1.0;4.0;85.0;77.0;7.0;7;0;1;0;5;31;49;0;;;;;;;;;
490;Municipal credit banks;2006 August;1.0;50.0;3.0;1.0;4.0;85.0;77.0;7.0;7;0;1;0;5;28;43;0;;;;;;;;;
491;Municipal credit banks;2006 September;1.0;50.0;4.0;1.0;4.0;86.0;77.0;7.0;7;0;1;0;5;25;38;1;;;;;;;;;
492;Municipal credit banks;2006 October;2.0;51.0;4.0;1.0;3.0;87.0;78.0;6.0;6;0;1;0;5;22;31;1;;;;;;;;;
493;Municipal credit banks;2006 November;1.0;50.0;4.0;1.0;4.0;87.0;77.0;5.0;5;0;1;0;5;19;25;1;;;;;;;;;
494;Municipal credit banks;2006 December;1.0;50.0;3.0;1.0;3.0;87.0;77.0;5.0;5;0;2;0;5;16;20;1;;;;;;;;;
495;Municipal credit banks;2007 January;1.0;49.0;3.0;0.0;5.0;85.0;76.0;5.0;5;0;0;0;0;16;20;0;;;;;;;;;
496;Municipal credit banks;2007 February;1.0;49.0;3.0;0.0;3.0;85.0;76.0;5.0;5;0;0;0;0;16;20;0;;;;;;;;;
497;Municipal credit banks;2007 March;1.0;48.0;3.0;0.0;5.0;84.0;75.0;5.0;5;0;0;0;1;15;19;0;;;;;;;;;
498;Municipal credit banks;2007 April;1.0;48.0;3.0;0.0;3.0;83.0;74.0;5.0;5;0;0;0;0;15;19;0;;;;;;;;;
499;Municipal credit banks;2007 May;1.0;47.0;3.0;0.0;5.0;82.0;73.0;5.0;5;0;0;0;0;15;19;0;;;;;;;;;
500;Municipal credit banks;2007 June;1.0;46.0;3.0;0.0;4.0;81.0;72.0;5.0;5;0;0;0;0;15;19;0;;;;;;;;;
501;Municipal credit banks;2007 July;1.0;45.0;4.0;0.0;4.0;81.0;72.0;5.0;5;0;0;0;0;15;19;0;;;;;;;;;
502;Municipal credit banks;2007 August;1.0;45.0;3.0;0.0;4.0;80.0;71.0;5.0;5;0;0;0;1;15;18;0;;;;;;;;;
503;Municipal credit banks;2007 September;1.0;45.0;3.0;0.0;4.0;80.0;71.0;5.0;5;0;0;0;0;15;18;0;;;;;;;;;
504;Municipal credit banks;2007 October;1.0;44.0;4.0;0.0;5.0;80.0;71.0;5.0;5;0;0;0;1;15;18;0;;;;;;;;;
505;Municipal credit banks;2007 November;1.0;44.0;4.0;1.0;5.0;80.0;71.0;5.0;5;0;0;0;1;15;18;0;;;;;;;;;
506;Municipal credit banks;2007 December;1.0;43.0;3.0;0.0;4.0;79.0;70.0;5.0;5;0;0;0;0;15;18;0;;;;;;;;;
507;Municipal credit banks;2008 January;1.0;43.0;3.0;0.0;4.0;79.0;70.0;5.0;5;0;0;0;0;15;18;0;;;;;;;;;
508;Municipal credit banks;2008 February;1.0;43.0;4.0;1.0;3.0;80.0;71.0;5.0;5;0;0;0;0;15;18;0;;;;;;;;;
509;Municipal credit banks;2008 March;1.0;43.0;3.0;0.0;4.0;80.0;71.0;5.0;5;0;0;0;0;15;18;0;;;;;;;;;
510;Municipal credit banks;2008 April;1.0;42.0;4.0;1.0;4.0;80.0;72.0;5.0;5;0;0;0;0;15;18;0;;;;;;;;;
511;Municipal credit banks;2008 May;1.0;42.0;3.0;1.0;3.0;81.0;72.0;5.0;5;0;0;0;0;14;18;0;;;;;;;;;
512;Municipal credit banks;2008 June;1.0;42.0;3.0;1.0;4.0;81.0;71.0;5.0;5;0;0;0;0;14;18;0;;;;;;;;;
513;Municipal credit banks;2008 July;1.0;42.0;4.0;1.0;5.0;82.0;72.0;5.0;5;0;0;0;0;14;18;0;;;;;;;;;
514;Municipal credit banks;2008 August;1.0;41.0;3.0;1.0;4.0;82.0;72.0;4.0;5;0;0;0;0;14;18;0;;;;;;;;;
515;Municipal credit banks;2008 September;1.0;41.0;3.0;1.0;4.0;81.0;71.0;4.0;5;0;0;0;1;14;17;0;;;;;;;;;
516;Municipal credit banks;2008 October;1.0;41.0;4.0;1.0;4.0;82.0;72.0;4.0;4;0;0;0;0;14;17;0;;;;;;;;;
517;Municipal credit banks;2008 November;1.0;41.0;3.0;1.0;4.0;82.0;72.0;4.0;4;0;0;0;0;14;17;0;;;;;;;;;
518;Municipal credit banks;2008 December;1.0;40.0;3.0;0.0;4.0;82.0;71.0;4.0;4;0;0;0;0;14;17;0;;;;;;;;;
519;Municipal credit banks;2009 January;1.0;39.0;3.0;0.0;6.0;79.0;70.0;4.0;4;0;0;0;0;14;17;0;;;;;;;;;
520;Municipal credit banks;2009 February;1.0;38.0;3.0;0.0;4.0;78.0;69.0;4.0;4;0;0;0;0;14;17;0;;;;;;;;;
521;Municipal credit banks;2009 March;1.0;37.0;4.0;1.0;4.0;78.0;69.0;4.0;4;0;0;0;0;14;16;0;;;;;;;;;
522;Municipal credit banks;2009 April;1.0;37.0;3.0;1.0;4.0;77.0;69.0;4.0;4;0;0;0;0;14;16;0;;;;;;;;;
523;Municipal credit banks;2009 May;1.0;36.0;3.0;0.0;4.0;76.0;68.0;4.0;4;0;0;0;0;14;16;0;;;;;;;;;
524;Municipal credit banks;2009 June;1.0;35.0;3.0;0.0;5.0;75.0;68.0;4.0;4;0;0;0;0;14;16;0;;;;;;;;;
525;Municipal credit banks;2009 July;1.0;34.0;3.0;1.0;4.0;75.0;68.0;4.0;4;0;0;0;0;14;16;0;;;;;;;;;
526;Municipal credit banks;2009 August;1.0;34.0;3.0;1.0;4.0;74.0;68.0;4.0;4;0;0;0;0;14;16;0;;;;;;;;;
527;Municipal credit banks;2009 September;1.0;33.0;3.0;1.0;4.0;73.0;67.0;4.0;4;0;0;0;0;15;16;0;;;;;;;;;
528;Municipal credit banks;2009 October;1.0;34.0;3.0;1.0;4.0;72.0;67.0;4.0;4;0;0;0;0;15;15;0;;;;;;;;;
529;Municipal credit banks;2009 November;1.0;33.0;3.0;0.0;4.0;72.0;67.0;4.0;4;0;0;0;1;14;15;0;;;;;;;;;
530;Municipal credit banks;2009 December;1.0;32.0;3.0;1.0;5.0;71.0;66.0;4.0;4;0;0;0;0;14;14;0;;;;;;;;;
531;Municipal credit banks;2010 January;1.0;33.0;3.0;1.0;2.0;72.0;67.0;4.0;4;0;0;0;1;14;14;0;;;;;;;;;
532;Municipal credit banks;2010 February;1.0;33.0;3.0;1.0;3.0;72.0;67.0;4.0;4;0;0;0;1;14;14;0;;;;;;;;;
533;Municipal credit banks;2010 March;1.0;33.0;4.0;1.0;4.0;72.0;67.0;4.0;4;0;0;0;0;13;14;0;;;;;;;;;
534;Municipal credit banks;2010 April;1.0;33.0;3.0;1.0;3.0;73.0;67.0;4.0;4;0;0;0;0;13;14;0;;;;;;;;;
535;Municipal credit banks;2010 May;1.0;33.0;2.0;0.0;3.0;73.0;67.0;4.0;4;0;0;0;0;13;15;0;;;;;;;;;
536;Municipal credit banks;2010 June;1.0;33.0;2.0;0.0;4.0;71.0;66.0;4.0;4;0;0;0;1;13;14;0;;;;;;;;;
537;Municipal credit banks;2010 July;1.0;33.0;2.0;0.0;4.0;71.0;65.0;4.0;4;0;0;0;1;13;14;0;;;;;;;;;
538;Municipal credit banks;2010 August;1.0;33.0;3.0;1.0;4.0;71.0;65.0;4.0;4;0;0;0;1;12;14;0;;;;;;;;;
