ID;EnergySourcesTechniques;EnergyApplication;Periods;FinalConsumptionInTerajoule_1;InTotalEnergeticFinalConsumption_2;AvoidedPrimaryEnergyInTJ_3;AvoidedPrimaryEnergyInTotalUse_4;AvoidedCarbonDioxideEmissionInKton_5;AvoidedCO2EmissionInOfTotEmiss_6
1121;Solar thermal, covered systems <= 6 m2;Heat;2007;455.0;0.02;505.0;0.02;28.0;0.02
1122;Solar thermal, covered systems <= 6 m2;Heat;2008;478.0;0.02;513.0;0.02;29.0;0.02
1123;Solar thermal, covered systems <= 6 m2;Heat;2009;521.0;0.02;559.0;0.02;31.0;0.02
1124;Solar thermal, covered systems <= 6 m2;Heat;2010;555.0;0.02;595.0;0.02;33.0;0.02
1125;Solar thermal, covered systems <= 6 m2;Heat;2011;576.0;0.03;625.0;0.02;35.0;0.02
1126;Solar thermal, covered systems <= 6 m2;Heat;2012;586.0;0.03;631.0;0.02;35.0;0.02
1127;Solar thermal, covered systems <= 6 m2;Heat;2013;595.0;0.03;641.0;0.02;36.0;0.02
1128;Solar thermal, covered systems <= 6 m2;Transport;1990;;;;;;
1129;Solar thermal, covered systems <= 6 m2;Transport;1991;;;;;;
1130;Solar thermal, covered systems <= 6 m2;Transport;1992;;;;;;
1131;Solar thermal, covered systems <= 6 m2;Transport;1993;;;;;;
1132;Solar thermal, covered systems <= 6 m2;Transport;1994;;;;;;
1133;Solar thermal, covered systems <= 6 m2;Transport;1995;;;;;;
1134;Solar thermal, covered systems <= 6 m2;Transport;1996;;;;;;
1135;Solar thermal, covered systems <= 6 m2;Transport;1997;;;;;;
1136;Solar thermal, covered systems <= 6 m2;Transport;1998;;;;;;
1137;Solar thermal, covered systems <= 6 m2;Transport;1999;;;;;;
1138;Solar thermal, covered systems <= 6 m2;Transport;2000;;;;;;
1139;Solar thermal, covered systems <= 6 m2;Transport;2001;;;;;;
1140;Solar thermal, covered systems <= 6 m2;Transport;2002;;;;;;
1141;Solar thermal, covered systems <= 6 m2;Transport;2003;;;;;;
1142;Solar thermal, covered systems <= 6 m2;Transport;2004;;;;;;
1143;Solar thermal, covered systems <= 6 m2;Transport;2005;;;;;;
1144;Solar thermal, covered systems <= 6 m2;Transport;2006;;;;;;
1145;Solar thermal, covered systems <= 6 m2;Transport;2007;;;;;;
1146;Solar thermal, covered systems <= 6 m2;Transport;2008;;;;;;
1147;Solar thermal, covered systems <= 6 m2;Transport;2009;;;;;;
1148;Solar thermal, covered systems <= 6 m2;Transport;2010;;;;;;
1149;Solar thermal, covered systems <= 6 m2;Transport;2011;;;;;;
1150;Solar thermal, covered systems <= 6 m2;Transport;2012;;;;;;
1151;Solar thermal, covered systems <= 6 m2;Transport;2013;;;;;;
1152;Solar thermal, covered systems > 6 m2;Total energy applications;1990;17.0;0.0;16.0;0.0;1.0;0.0
1153;Solar thermal, covered systems > 6 m2;Total energy applications;1991;17.0;0.0;17.0;0.0;1.0;0.0
1154;Solar thermal, covered systems > 6 m2;Total energy applications;1992;17.0;0.0;17.0;0.0;1.0;0.0
1155;Solar thermal, covered systems > 6 m2;Total energy applications;1993;21.0;0.0;21.0;0.0;1.0;0.0
1156;Solar thermal, covered systems > 6 m2;Total energy applications;1994;24.0;0.0;24.0;0.0;1.0;0.0
1157;Solar thermal, covered systems > 6 m2;Total energy applications;1995;26.0;0.0;28.0;0.0;2.0;0.0
1158;Solar thermal, covered systems > 6 m2;Total energy applications;1996;29.0;0.0;31.0;0.0;2.0;0.0
1159;Solar thermal, covered systems > 6 m2;Total energy applications;1997;34.0;0.0;37.0;0.0;2.0;0.0
1160;Solar thermal, covered systems > 6 m2;Total energy applications;1998;39.0;0.0;43.0;0.0;2.0;0.0
1161;Solar thermal, covered systems > 6 m2;Total energy applications;1999;42.0;0.0;47.0;0.0;3.0;0.0
1162;Solar thermal, covered systems > 6 m2;Total energy applications;2000;45.0;0.0;50.0;0.0;3.0;0.0
1163;Solar thermal, covered systems > 6 m2;Total energy applications;2001;49.0;0.0;56.0;0.0;3.0;0.0
1164;Solar thermal, covered systems > 6 m2;Total energy applications;2002;58.0;0.0;62.0;0.0;4.0;0.0
1165;Solar thermal, covered systems > 6 m2;Total energy applications;2003;64.0;0.0;69.0;0.0;4.0;0.0
1166;Solar thermal, covered systems > 6 m2;Total energy applications;2004;72.0;0.0;79.0;0.0;4.0;0.0
1167;Solar thermal, covered systems > 6 m2;Total energy applications;2005;75.0;0.0;83.0;0.0;5.0;0.0
1168;Solar thermal, covered systems > 6 m2;Total energy applications;2006;78.0;0.0;86.0;0.0;5.0;0.0
1169;Solar thermal, covered systems > 6 m2;Total energy applications;2007;81.0;0.0;89.0;0.0;5.0;0.0
1170;Solar thermal, covered systems > 6 m2;Total energy applications;2008;79.0;0.0;90.0;0.0;5.0;0.0
1171;Solar thermal, covered systems > 6 m2;Total energy applications;2009;94.0;0.0;106.0;0.0;6.0;0.0
1172;Solar thermal, covered systems > 6 m2;Total energy applications;2010;120.0;0.01;126.0;0.0;7.0;0.0
1173;Solar thermal, covered systems > 6 m2;Total energy applications;2011;127.0;0.01;130.0;0.0;7.0;0.0
1174;Solar thermal, covered systems > 6 m2;Total energy applications;2012;139.0;0.01;143.0;0.0;8.0;0.0
1175;Solar thermal, covered systems > 6 m2;Total energy applications;2013;147.0;0.01;152.0;0.0;9.0;0.01
1176;Solar thermal, covered systems > 6 m2;Electricity;1990;;;;;;
1177;Solar thermal, covered systems > 6 m2;Electricity;1991;;;;;;
1178;Solar thermal, covered systems > 6 m2;Electricity;1992;;;;;;
1179;Solar thermal, covered systems > 6 m2;Electricity;1993;;;;;;
1180;Solar thermal, covered systems > 6 m2;Electricity;1994;;;;;;
1181;Solar thermal, covered systems > 6 m2;Electricity;1995;;;;;;
1182;Solar thermal, covered systems > 6 m2;Electricity;1996;;;;;;
1183;Solar thermal, covered systems > 6 m2;Electricity;1997;;;;;;
1184;Solar thermal, covered systems > 6 m2;Electricity;1998;;;;;;
1185;Solar thermal, covered systems > 6 m2;Electricity;1999;;;;;;
1186;Solar thermal, covered systems > 6 m2;Electricity;2000;;;;;;
1187;Solar thermal, covered systems > 6 m2;Electricity;2001;;;;;;
1188;Solar thermal, covered systems > 6 m2;Electricity;2002;;;;;;
1189;Solar thermal, covered systems > 6 m2;Electricity;2003;;;;;;
1190;Solar thermal, covered systems > 6 m2;Electricity;2004;;;;;;
1191;Solar thermal, covered systems > 6 m2;Electricity;2005;;;;;;
1192;Solar thermal, covered systems > 6 m2;Electricity;2006;;;;;;
1193;Solar thermal, covered systems > 6 m2;Electricity;2007;;;;;;
1194;Solar thermal, covered systems > 6 m2;Electricity;2008;;;;;;
1195;Solar thermal, covered systems > 6 m2;Electricity;2009;;;;;;
1196;Solar thermal, covered systems > 6 m2;Electricity;2010;;;;;;
1197;Solar thermal, covered systems > 6 m2;Electricity;2011;;;;;;
1198;Solar thermal, covered systems > 6 m2;Electricity;2012;;;;;;
1199;Solar thermal, covered systems > 6 m2;Electricity;2013;;;;;;
1200;Solar thermal, covered systems > 6 m2;Heat;1990;17.0;0.0;16.0;0.0;1.0;0.0
1201;Solar thermal, covered systems > 6 m2;Heat;1991;17.0;0.0;17.0;0.0;1.0;0.0
1202;Solar thermal, covered systems > 6 m2;Heat;1992;17.0;0.0;17.0;0.0;1.0;0.0
1203;Solar thermal, covered systems > 6 m2;Heat;1993;21.0;0.0;21.0;0.0;1.0;0.0
1204;Solar thermal, covered systems > 6 m2;Heat;1994;24.0;0.0;24.0;0.0;1.0;0.0
1205;Solar thermal, covered systems > 6 m2;Heat;1995;26.0;0.0;28.0;0.0;2.0;0.0
1206;Solar thermal, covered systems > 6 m2;Heat;1996;29.0;0.0;31.0;0.0;2.0;0.0
1207;Solar thermal, covered systems > 6 m2;Heat;1997;34.0;0.0;37.0;0.0;2.0;0.0
1208;Solar thermal, covered systems > 6 m2;Heat;1998;39.0;0.0;43.0;0.0;2.0;0.0
1209;Solar thermal, covered systems > 6 m2;Heat;1999;42.0;0.0;47.0;0.0;3.0;0.0
1210;Solar thermal, covered systems > 6 m2;Heat;2000;45.0;0.0;50.0;0.0;3.0;0.0
1211;Solar thermal, covered systems > 6 m2;Heat;2001;49.0;0.0;56.0;0.0;3.0;0.0
1212;Solar thermal, covered systems > 6 m2;Heat;2002;58.0;0.0;62.0;0.0;4.0;0.0
1213;Solar thermal, covered systems > 6 m2;Heat;2003;64.0;0.0;69.0;0.0;4.0;0.0
1214;Solar thermal, covered systems > 6 m2;Heat;2004;72.0;0.0;79.0;0.0;4.0;0.0
1215;Solar thermal, covered systems > 6 m2;Heat;2005;75.0;0.0;83.0;0.0;5.0;0.0
1216;Solar thermal, covered systems > 6 m2;Heat;2006;78.0;0.0;86.0;0.0;5.0;0.0
1217;Solar thermal, covered systems > 6 m2;Heat;2007;81.0;0.0;89.0;0.0;5.0;0.0
1218;Solar thermal, covered systems > 6 m2;Heat;2008;79.0;0.0;90.0;0.0;5.0;0.0
1219;Solar thermal, covered systems > 6 m2;Heat;2009;94.0;0.0;106.0;0.0;6.0;0.0
1220;Solar thermal, covered systems > 6 m2;Heat;2010;120.0;0.01;126.0;0.0;7.0;0.0
1221;Solar thermal, covered systems > 6 m2;Heat;2011;127.0;0.01;130.0;0.0;7.0;0.0
1222;Solar thermal, covered systems > 6 m2;Heat;2012;139.0;0.01;143.0;0.0;8.0;0.0
1223;Solar thermal, covered systems > 6 m2;Heat;2013;147.0;0.01;152.0;0.0;9.0;0.01
1224;Solar thermal, covered systems > 6 m2;Transport;1990;;;;;;
1225;Solar thermal, covered systems > 6 m2;Transport;1991;;;;;;
1226;Solar thermal, covered systems > 6 m2;Transport;1992;;;;;;
1227;Solar thermal, covered systems > 6 m2;Transport;1993;;;;;;
1228;Solar thermal, covered systems > 6 m2;Transport;1994;;;;;;
1229;Solar thermal, covered systems > 6 m2;Transport;1995;;;;;;
1230;Solar thermal, covered systems > 6 m2;Transport;1996;;;;;;
1231;Solar thermal, covered systems > 6 m2;Transport;1997;;;;;;
1232;Solar thermal, covered systems > 6 m2;Transport;1998;;;;;;
1233;Solar thermal, covered systems > 6 m2;Transport;1999;;;;;;
1234;Solar thermal, covered systems > 6 m2;Transport;2000;;;;;;
1235;Solar thermal, covered systems > 6 m2;Transport;2001;;;;;;
1236;Solar thermal, covered systems > 6 m2;Transport;2002;;;;;;
1237;Solar thermal, covered systems > 6 m2;Transport;2003;;;;;;
1238;Solar thermal, covered systems > 6 m2;Transport;2004;;;;;;
1239;Solar thermal, covered systems > 6 m2;Transport;2005;;;;;;
1240;Solar thermal, covered systems > 6 m2;Transport;2006;;;;;;
1241;Solar thermal, covered systems > 6 m2;Transport;2007;;;;;;
1242;Solar thermal, covered systems > 6 m2;Transport;2008;;;;;;
1243;Solar thermal, covered systems > 6 m2;Transport;2009;;;;;;
1244;Solar thermal, covered systems > 6 m2;Transport;2010;;;;;;
1245;Solar thermal, covered systems > 6 m2;Transport;2011;;;;;;
1246;Solar thermal, covered systems > 6 m2;Transport;2012;;;;;;
1247;Solar thermal, covered systems > 6 m2;Transport;2013;;;;;;
1248;Solar thermal, uncovered systems;Total energy applications;1990;60.0;0.0;45.0;0.0;3.0;0.0
1249;Solar thermal, uncovered systems;Total energy applications;1991;64.0;0.0;48.0;0.0;3.0;0.0
1250;Solar thermal, uncovered systems;Total energy applications;1992;74.0;0.0;56.0;0.0;3.0;0.0
1251;Solar thermal, uncovered systems;Total energy applications;1993;79.0;0.0;60.0;0.0;3.0;0.0
1252;Solar thermal, uncovered systems;Total energy applications;1994;88.0;0.0;66.0;0.0;4.0;0.0
1253;Solar thermal, uncovered systems;Total energy applications;1995;97.0;0.0;73.0;0.0;4.0;0.0
1254;Solar thermal, uncovered systems;Total energy applications;1996;103.0;0.0;78.0;0.0;4.0;0.0
1255;Solar thermal, uncovered systems;Total energy applications;1997;112.0;0.01;85.0;0.0;5.0;0.0
1256;Solar thermal, uncovered systems;Total energy applications;1998;128.0;0.01;97.0;0.0;5.0;0.0
1257;Solar thermal, uncovered systems;Total energy applications;1999;143.0;0.01;108.0;0.0;6.0;0.0
1258;Solar thermal, uncovered systems;Total energy applications;2000;162.0;0.01;122.0;0.0;7.0;0.0
1259;Solar thermal, uncovered systems;Total energy applications;2001;183.0;0.01;138.0;0.0;8.0;0.0
1260;Solar thermal, uncovered systems;Total energy applications;2002;204.0;0.01;155.0;0.0;9.0;0.0
1261;Solar thermal, uncovered systems;Total energy applications;2003;222.0;0.01;168.0;0.01;9.0;0.01
1262;Solar thermal, uncovered systems;Total energy applications;2004;248.0;0.01;188.0;0.01;11.0;0.01
1263;Solar thermal, uncovered systems;Total energy applications;2005;264.0;0.01;201.0;0.01;11.0;0.01
1264;Solar thermal, uncovered systems;Total energy applications;2006;278.0;0.01;211.0;0.01;12.0;0.01
1265;Solar thermal, uncovered systems;Total energy applications;2007;287.0;0.01;219.0;0.01;12.0;0.01
1266;Solar thermal, uncovered systems;Total energy applications;2008;300.0;0.01;229.0;0.01;13.0;0.01
1267;Solar thermal, uncovered systems;Total energy applications;2009;317.0;0.01;239.0;0.01;14.0;0.01
1268;Solar thermal, uncovered systems;Total energy applications;2010;327.0;0.01;250.0;0.01;14.0;0.01
1269;Solar thermal, uncovered systems;Total energy applications;2011;338.0;0.02;259.0;0.01;15.0;0.01
1270;Solar thermal, uncovered systems;Total energy applications;2012;344.0;0.02;264.0;0.01;15.0;0.01
1271;Solar thermal, uncovered systems;Total energy applications;2013;346.0;0.02;266.0;0.01;15.0;0.01
1272;Solar thermal, uncovered systems;Electricity;1990;;;;;;
1273;Solar thermal, uncovered systems;Electricity;1991;;;;;;
1274;Solar thermal, uncovered systems;Electricity;1992;;;;;;
1275;Solar thermal, uncovered systems;Electricity;1993;;;;;;
1276;Solar thermal, uncovered systems;Electricity;1994;;;;;;
1277;Solar thermal, uncovered systems;Electricity;1995;;;;;;
1278;Solar thermal, uncovered systems;Electricity;1996;;;;;;
1279;Solar thermal, uncovered systems;Electricity;1997;;;;;;
1280;Solar thermal, uncovered systems;Electricity;1998;;;;;;
1281;Solar thermal, uncovered systems;Electricity;1999;;;;;;
1282;Solar thermal, uncovered systems;Electricity;2000;;;;;;
1283;Solar thermal, uncovered systems;Electricity;2001;;;;;;
1284;Solar thermal, uncovered systems;Electricity;2002;;;;;;
1285;Solar thermal, uncovered systems;Electricity;2003;;;;;;
1286;Solar thermal, uncovered systems;Electricity;2004;;;;;;
1287;Solar thermal, uncovered systems;Electricity;2005;;;;;;
1288;Solar thermal, uncovered systems;Electricity;2006;;;;;;
1289;Solar thermal, uncovered systems;Electricity;2007;;;;;;
1290;Solar thermal, uncovered systems;Electricity;2008;;;;;;
1291;Solar thermal, uncovered systems;Electricity;2009;;;;;;
1292;Solar thermal, uncovered systems;Electricity;2010;;;;;;
1293;Solar thermal, uncovered systems;Electricity;2011;;;;;;
1294;Solar thermal, uncovered systems;Electricity;2012;;;;;;
1295;Solar thermal, uncovered systems;Electricity;2013;;;;;;
1296;Solar thermal, uncovered systems;Heat;1990;60.0;0.0;45.0;0.0;3.0;0.0
1297;Solar thermal, uncovered systems;Heat;1991;64.0;0.0;48.0;0.0;3.0;0.0
1298;Solar thermal, uncovered systems;Heat;1992;74.0;0.0;56.0;0.0;3.0;0.0
1299;Solar thermal, uncovered systems;Heat;1993;79.0;0.0;60.0;0.0;3.0;0.0
1300;Solar thermal, uncovered systems;Heat;1994;88.0;0.0;66.0;0.0;4.0;0.0
1301;Solar thermal, uncovered systems;Heat;1995;97.0;0.0;73.0;0.0;4.0;0.0
1302;Solar thermal, uncovered systems;Heat;1996;103.0;0.0;78.0;0.0;4.0;0.0
1303;Solar thermal, uncovered systems;Heat;1997;112.0;0.01;85.0;0.0;5.0;0.0
1304;Solar thermal, uncovered systems;Heat;1998;128.0;0.01;97.0;0.0;5.0;0.0
1305;Solar thermal, uncovered systems;Heat;1999;143.0;0.01;108.0;0.0;6.0;0.0
1306;Solar thermal, uncovered systems;Heat;2000;162.0;0.01;122.0;0.0;7.0;0.0
1307;Solar thermal, uncovered systems;Heat;2001;183.0;0.01;138.0;0.0;8.0;0.0
1308;Solar thermal, uncovered systems;Heat;2002;204.0;0.01;155.0;0.0;9.0;0.0
1309;Solar thermal, uncovered systems;Heat;2003;222.0;0.01;168.0;0.01;9.0;0.01
1310;Solar thermal, uncovered systems;Heat;2004;248.0;0.01;188.0;0.01;11.0;0.01
1311;Solar thermal, uncovered systems;Heat;2005;264.0;0.01;201.0;0.01;11.0;0.01
1312;Solar thermal, uncovered systems;Heat;2006;278.0;0.01;211.0;0.01;12.0;0.01
1313;Solar thermal, uncovered systems;Heat;2007;287.0;0.01;219.0;0.01;12.0;0.01
1314;Solar thermal, uncovered systems;Heat;2008;300.0;0.01;229.0;0.01;13.0;0.01
1315;Solar thermal, uncovered systems;Heat;2009;317.0;0.01;239.0;0.01;14.0;0.01
1316;Solar thermal, uncovered systems;Heat;2010;327.0;0.01;250.0;0.01;14.0;0.01
1317;Solar thermal, uncovered systems;Heat;2011;338.0;0.02;259.0;0.01;15.0;0.01
1318;Solar thermal, uncovered systems;Heat;2012;344.0;0.02;264.0;0.01;15.0;0.01
1319;Solar thermal, uncovered systems;Heat;2013;346.0;0.02;266.0;0.01;15.0;0.01
1320;Solar thermal, uncovered systems;Transport;1990;;;;;;
1321;Solar thermal, uncovered systems;Transport;1991;;;;;;
1322;Solar thermal, uncovered systems;Transport;1992;;;;;;
1323;Solar thermal, uncovered systems;Transport;1993;;;;;;
1324;Solar thermal, uncovered systems;Transport;1994;;;;;;
1325;Solar thermal, uncovered systems;Transport;1995;;;;;;
1326;Solar thermal, uncovered systems;Transport;1996;;;;;;
1327;Solar thermal, uncovered systems;Transport;1997;;;;;;
1328;Solar thermal, uncovered systems;Transport;1998;;;;;;
1329;Solar thermal, uncovered systems;Transport;1999;;;;;;
1330;Solar thermal, uncovered systems;Transport;2000;;;;;;
1331;Solar thermal, uncovered systems;Transport;2001;;;;;;
1332;Solar thermal, uncovered systems;Transport;2002;;;;;;
1333;Solar thermal, uncovered systems;Transport;2003;;;;;;
1334;Solar thermal, uncovered systems;Transport;2004;;;;;;
1335;Solar thermal, uncovered systems;Transport;2005;;;;;;
1336;Solar thermal, uncovered systems;Transport;2006;;;;;;
1337;Solar thermal, uncovered systems;Transport;2007;;;;;;
1338;Solar thermal, uncovered systems;Transport;2008;;;;;;
1339;Solar thermal, uncovered systems;Transport;2009;;;;;;
1340;Solar thermal, uncovered systems;Transport;2010;;;;;;
1341;Solar thermal, uncovered systems;Transport;2011;;;;;;
1342;Solar thermal, uncovered systems;Transport;2012;;;;;;
1343;Solar thermal, uncovered systems;Transport;2013;;;;;;
1344;Geothermal, total;Total energy applications;1990;0.0;0.0;7.0;0.0;0.0;0.0
1345;Geothermal, total;Total energy applications;1991;0.0;0.0;8.0;0.0;1.0;0.0
1346;Geothermal, total;Total energy applications;1992;0.0;0.0;9.0;0.0;1.0;0.0
1347;Geothermal, total;Total energy applications;1993;0.0;0.0;13.0;0.0;1.0;0.0
1348;Geothermal, total;Total energy applications;1994;31.0;0.0;52.0;0.0;3.0;0.0
1349;Geothermal, total;Total energy applications;1995;33.0;0.0;68.0;0.0;4.0;0.0
1350;Geothermal, total;Total energy applications;1996;39.0;0.0;91.0;0.0;5.0;0.0
1351;Geothermal, total;Total energy applications;1997;59.0;0.0;134.0;0.0;8.0;0.0
1352;Geothermal, total;Total energy applications;1998;92.0;0.0;194.0;0.01;11.0;0.01
1353;Geothermal, total;Total energy applications;1999;118.0;0.01;249.0;0.01;15.0;0.01
1354;Geothermal, total;Total energy applications;2000;157.0;0.01;309.0;0.01;18.0;0.01
1355;Geothermal, total;Total energy applications;2001;188.0;0.01;378.0;0.01;22.0;0.01
1356;Geothermal, total;Total energy applications;2002;244.0;0.01;485.0;0.02;28.0;0.02
1357;Geothermal, total;Total energy applications;2003;309.0;0.01;579.0;0.02;33.0;0.02
1358;Geothermal, total;Total energy applications;2004;447.0;0.02;694.0;0.02;39.0;0.02
1359;Geothermal, total;Total energy applications;2005;622.0;0.03;853.0;0.03;46.0;0.03
1360;Geothermal, total;Total energy applications;2006;835.0;0.04;1088.0;0.03;58.0;0.03
1361;Geothermal, total;Total energy applications;2007;1123.0;0.05;1280.0;0.04;65.0;0.04
1362;Geothermal, total;Total energy applications;2008;1555.0;0.07;1645.0;0.05;82.0;0.05
1363;Geothermal, total;Total energy applications;2009;1946.0;0.09;1998.0;0.06;100.0;0.06
1364;Geothermal, total;Total energy applications;2010;2460.0;0.11;2553.0;0.07;130.0;0.07
1365;Geothermal, total;Total energy applications;2011;2832.0;0.13;2891.0;0.09;146.0;0.09
1366;Geothermal, total;Total energy applications;2012;3346.0;0.15;3265.0;0.1;157.0;0.1
1367;Geothermal, total;Total energy applications;2013;4150.0;0.19;4071.0;0.13;192.0;0.12
1368;Geothermal, total;Electricity;1990;;;;;;
1369;Geothermal, total;Electricity;1991;;;;;;
1370;Geothermal, total;Electricity;1992;;;;;;
1371;Geothermal, total;Electricity;1993;;;;;;
1372;Geothermal, total;Electricity;1994;;;;;;
1373;Geothermal, total;Electricity;1995;;;;;;
1374;Geothermal, total;Electricity;1996;;;;;;
1375;Geothermal, total;Electricity;1997;;;;;;
1376;Geothermal, total;Electricity;1998;;;;;;
1377;Geothermal, total;Electricity;1999;;;;;;
1378;Geothermal, total;Electricity;2000;;;;;;
1379;Geothermal, total;Electricity;2001;;;;;;
1380;Geothermal, total;Electricity;2002;;;;;;
1381;Geothermal, total;Electricity;2003;;;;;;
1382;Geothermal, total;Electricity;2004;;;;;;
1383;Geothermal, total;Electricity;2005;;;;;;
1384;Geothermal, total;Electricity;2006;;;;;;
1385;Geothermal, total;Electricity;2007;;;;;;
1386;Geothermal, total;Electricity;2008;;;;;;
1387;Geothermal, total;Electricity;2009;;;;;;
1388;Geothermal, total;Electricity;2010;;;;;;
1389;Geothermal, total;Electricity;2011;;;;;;
1390;Geothermal, total;Electricity;2012;;;;;;
1391;Geothermal, total;Electricity;2013;;;;;;
1392;Geothermal, total;Heat;1990;0.0;0.0;7.0;0.0;0.0;0.0
1393;Geothermal, total;Heat;1991;0.0;0.0;8.0;0.0;1.0;0.0
1394;Geothermal, total;Heat;1992;0.0;0.0;9.0;0.0;1.0;0.0
1395;Geothermal, total;Heat;1993;0.0;0.0;13.0;0.0;1.0;0.0
1396;Geothermal, total;Heat;1994;31.0;0.0;52.0;0.0;3.0;0.0
1397;Geothermal, total;Heat;1995;33.0;0.0;68.0;0.0;4.0;0.0
1398;Geothermal, total;Heat;1996;39.0;0.0;91.0;0.0;5.0;0.0
1399;Geothermal, total;Heat;1997;59.0;0.0;134.0;0.0;8.0;0.0
1400;Geothermal, total;Heat;1998;92.0;0.0;194.0;0.01;11.0;0.01
1401;Geothermal, total;Heat;1999;118.0;0.01;249.0;0.01;15.0;0.01
1402;Geothermal, total;Heat;2000;157.0;0.01;309.0;0.01;18.0;0.01
1403;Geothermal, total;Heat;2001;188.0;0.01;378.0;0.01;22.0;0.01
1404;Geothermal, total;Heat;2002;244.0;0.01;485.0;0.02;28.0;0.02
1405;Geothermal, total;Heat;2003;309.0;0.01;579.0;0.02;33.0;0.02
1406;Geothermal, total;Heat;2004;447.0;0.02;694.0;0.02;39.0;0.02
1407;Geothermal, total;Heat;2005;622.0;0.03;853.0;0.03;46.0;0.03
1408;Geothermal, total;Heat;2006;835.0;0.04;1088.0;0.03;58.0;0.03
1409;Geothermal, total;Heat;2007;1123.0;0.05;1280.0;0.04;65.0;0.04
1410;Geothermal, total;Heat;2008;1555.0;0.07;1645.0;0.05;82.0;0.05
1411;Geothermal, total;Heat;2009;1946.0;0.09;1998.0;0.06;100.0;0.06
1412;Geothermal, total;Heat;2010;2460.0;0.11;2553.0;0.07;130.0;0.07
1413;Geothermal, total;Heat;2011;2832.0;0.13;2891.0;0.09;146.0;0.09
1414;Geothermal, total;Heat;2012;3346.0;0.15;3265.0;0.1;157.0;0.1
1415;Geothermal, total;Heat;2013;4150.0;0.19;4071.0;0.13;192.0;0.12
1416;Geothermal, total;Transport;1990;;;;;;
1417;Geothermal, total;Transport;1991;;;;;;
1418;Geothermal, total;Transport;1992;;;;;;
1419;Geothermal, total;Transport;1993;;;;;;
1420;Geothermal, total;Transport;1994;;;;;;
1421;Geothermal, total;Transport;1995;;;;;;
1422;Geothermal, total;Transport;1996;;;;;;
1423;Geothermal, total;Transport;1997;;;;;;
1424;Geothermal, total;Transport;1998;;;;;;
1425;Geothermal, total;Transport;1999;;;;;;
1426;Geothermal, total;Transport;2000;;;;;;
1427;Geothermal, total;Transport;2001;;;;;;
1428;Geothermal, total;Transport;2002;;;;;;
1429;Geothermal, total;Transport;2003;;;;;;
1430;Geothermal, total;Transport;2004;;;;;;
1431;Geothermal, total;Transport;2005;;;;;;
1432;Geothermal, total;Transport;2006;;;;;;
1433;Geothermal, total;Transport;2007;;;;;;
1434;Geothermal, total;Transport;2008;;;;;;
1435;Geothermal, total;Transport;2009;;;;;;
1436;Geothermal, total;Transport;2010;;;;;;
1437;Geothermal, total;Transport;2011;;;;;;
1438;Geothermal, total;Transport;2012;;;;;;
1439;Geothermal, total;Transport;2013;;;;;;
1440;Geothermal, deep;Total energy applications;1990;0.0;0.0;0.0;0.0;0.0;0.0
1441;Geothermal, deep;Total energy applications;1991;0.0;0.0;0.0;0.0;0.0;0.0
1442;Geothermal, deep;Total energy applications;1992;0.0;0.0;0.0;0.0;0.0;0.0
1443;Geothermal, deep;Total energy applications;1993;0.0;0.0;0.0;0.0;0.0;0.0
1444;Geothermal, deep;Total energy applications;1994;0.0;0.0;0.0;0.0;0.0;0.0
1445;Geothermal, deep;Total energy applications;1995;0.0;0.0;0.0;0.0;0.0;0.0
1446;Geothermal, deep;Total energy applications;1996;0.0;0.0;0.0;0.0;0.0;0.0
1447;Geothermal, deep;Total energy applications;1997;0.0;0.0;0.0;0.0;0.0;0.0
1448;Geothermal, deep;Total energy applications;1998;0.0;0.0;0.0;0.0;0.0;0.0
1449;Geothermal, deep;Total energy applications;1999;0.0;0.0;0.0;0.0;0.0;0.0
1450;Geothermal, deep;Total energy applications;2000;0.0;0.0;0.0;0.0;0.0;0.0
1451;Geothermal, deep;Total energy applications;2001;0.0;0.0;0.0;0.0;0.0;0.0
1452;Geothermal, deep;Total energy applications;2002;0.0;0.0;0.0;0.0;0.0;0.0
1453;Geothermal, deep;Total energy applications;2003;0.0;0.0;0.0;0.0;0.0;0.0
1454;Geothermal, deep;Total energy applications;2004;0.0;0.0;0.0;0.0;0.0;0.0
1455;Geothermal, deep;Total energy applications;2005;0.0;0.0;0.0;0.0;0.0;0.0
1456;Geothermal, deep;Total energy applications;2006;0.0;0.0;0.0;0.0;0.0;0.0
1457;Geothermal, deep;Total energy applications;2007;0.0;0.0;0.0;0.0;0.0;0.0
1458;Geothermal, deep;Total energy applications;2008;96.0;0.0;95.0;0.0;5.0;0.0
1459;Geothermal, deep;Total energy applications;2009;142.0;0.01;141.0;0.0;8.0;0.0
1460;Geothermal, deep;Total energy applications;2010;318.0;0.01;315.0;0.01;17.0;0.01
1461;Geothermal, deep;Total energy applications;2011;316.0;0.01;315.0;0.01;17.0;0.01
1462;Geothermal, deep;Total energy applications;2012;495.0;0.02;491.0;0.02;27.0;0.02
1463;Geothermal, deep;Total energy applications;2013;993.0;0.05;985.0;0.03;54.0;0.03
1464;Geothermal, deep;Electricity;1990;;;;;;
1465;Geothermal, deep;Electricity;1991;;;;;;
1466;Geothermal, deep;Electricity;1992;;;;;;
1467;Geothermal, deep;Electricity;1993;;;;;;
1468;Geothermal, deep;Electricity;1994;;;;;;
1469;Geothermal, deep;Electricity;1995;;;;;;
