ID;Kenmerken;Perioden;EmotioneelUitgeput_1;LeegGevoel_2;SOchtendsMoeVoelen_3;UitgeputDoorWerk_4;OpZijn_5;BurnOutKlachten_6;Malaiseklachten_7;Migraine_8;WerkgebondenKlachtenBovensteLedematen_9;TotaalRugklachten_10;RSI_11;ZiekteverzuimDoorRSIInAfgelopenJaar_12;MinderGoedeGezondheid_13;ZiekteverzuimInAfgelopen2Maanden_14;k_15DagenVerzuimd_15;k_610DagenVerzuimd_16;k_11OfMeerDagenVerzuimd_17;VerzuimDoorOngeval_18;OngevalInVerkeer_19;OngevalOpWerk_20;Sportongeval_21;OngevalThuisOfElders_22;VerzuimAlleenDoorZiekte_23
175;Arbeidsduur 35 uur of meer per week;2004;15;34;19;14;10;11;;;;;;;12;19;67.0;12.0;21.0;10.0;24.0;26.0;18.0;32.0;90.0
176;0000b Landbouw, bosbouw, visserij (A+B);1997;10;32;8;10;6;4;7.0;8.0;50.0;18.0;35.0;4.0;14;15;;;;;;;;;
177;0000b Landbouw, bosbouw, visserij (A+B);1998;11;23;12;7;8;8;8.0;2.0;34.0;28.0;19.0;1.0;15;15;;;;;;;;;
178;0000b Landbouw, bosbouw, visserij (A+B);1999;8;25;12;9;10;8;7.0;5.0;40.0;18.0;28.0;4.0;14;9;;;;;;;;;
179;0000b Landbouw, bosbouw, visserij (A+B);2000;7;17;10;8;6;5;11.0;5.0;50.0;23.0;29.0;4.0;10;14;;;;;;;;;
180;0000b Landbouw, bosbouw, visserij (A+B);2001;5;23;14;7;3;5;;;40.0;;;;12;15;;;;;;;;;
181;0000b Landbouw, bosbouw, visserij (A+B);2002;9;30;13;14;9;8;;;48.0;;;;14;14;;;;;;;;;
182;0000b Landbouw, bosbouw, visserij (A+B);2003;10;31;19;16;7;11;;;;;;;9;12;;;;;;;;;
183;0000b Landbouw, bosbouw, visserij (A+B);2004;7;27;13;10;6;4;;;;;;;14;15;;;;;;;;;
184;1000m Nijverheid en energievoorziening;1997;16;31;15;13;8;11;9.0;5.0;39.0;27.0;22.0;3.0;12;21;63.0;16.0;21.0;16.0;;;;;84.0
185;1000m Nijverheid en energievoorziening;1998;12;28;12;11;7;9;8.0;5.0;35.0;26.0;19.0;5.0;14;21;53.0;18.0;29.0;15.0;;;;;85.0
186;1000m Nijverheid en energievoorziening;1999;13;30;13;14;11;10;11.0;6.0;40.0;25.0;23.0;6.0;16;22;58.0;13.0;28.0;16.0;;;;;84.0
187;1000m Nijverheid en energievoorziening;2000;11;28;15;12;11;9;13.0;8.0;42.0;24.0;26.0;5.0;16;28;55.0;14.0;31.0;14.0;;;;;86.0
188;1000m Nijverheid en energievoorziening;2001;15;34;18;16;12;11;;;39.0;;;;13;24;54.0;15.0;31.0;15.0;;;;;85.0
189;1000m Nijverheid en energievoorziening;2002;10;31;16;14;9;10;;;40.0;;;;16;22;57.0;14.0;29.0;14.0;;;;;86.0
190;1000m Nijverheid en energievoorziening;2003;13;32;16;13;7;9;;;;;;;17;21;65.0;8.0;27.0;14.0;;;;;86.0
191;1000m Nijverheid en energievoorziening;2004;15;36;19;18;13;13;;;;;;;16;19;64.0;13.0;23.0;12.0;;;;;88.0
192;1000k Delfstoffenwinning en industrie;1997;15;29;15;13;8;11;10.0;5.0;38.0;27.0;20.0;3.0;12;21;65.0;17.0;18.0;11.0;;;;;89.0
193;1000k Delfstoffenwinning en industrie;1998;11;27;13;8;7;9;8.0;5.0;33.0;25.0;18.0;4.0;15;23;55.0;19.0;26.0;13.0;;;;;87.0
194;1000k Delfstoffenwinning en industrie;1999;14;29;12;14;10;10;12.0;8.0;38.0;25.0;22.0;5.0;17;24;61.0;10.0;29.0;14.0;;;;;86.0
195;1000k Delfstoffenwinning en industrie;2000;12;30;18;13;12;10;15.0;8.0;41.0;25.0;26.0;5.0;17;30;55.0;17.0;28.0;10.0;;;;;90.0
196;1000k Delfstoffenwinning en industrie;2001;14;35;17;16;11;10;;;37.0;;;;17;26;54.0;12.0;34.0;14.0;;;;;86.0
197;1000k Delfstoffenwinning en industrie;2002;12;30;16;15;10;12;;;37.0;;;;18;24;59.0;11.0;30.0;13.0;;;;;87.0
198;1000k Delfstoffenwinning en industrie;2003;17;33;18;16;8;11;;;;;;;20;25;68.0;9.0;23.0;12.0;;;;;88.0
199;1000k Delfstoffenwinning en industrie;2004;16;37;20;19;15;15;;;;;;;17;21;64.0;15.0;21.0;9.0;;;;;91.0
200;45 Bouwnijverheid;1997;17;33;15;14;8;10;6.0;5.0;43.0;27.0;24.0;3.0;13;20;60.0;12.0;28.0;26.0;;;;;74.0
201;45 Bouwnijverheid;1998;14;30;11;15;6;8;9.0;5.0;39.0;28.0;21.0;5.0;11;17;;;;;;;;;
202;45 Bouwnijverheid;1999;10;31;14;14;11;10;9.0;2.0;44.0;27.0;25.0;8.0;14;18;52.0;21.0;28.0;23.0;;;;;
203;45 Bouwnijverheid;2000;9;23;10;9;8;7;8.0;7.0;42.0;22.0;26.0;6.0;14;25;56.0;6.0;37.0;24.0;;;;;76.0
204;45 Bouwnijverheid;2001;17;33;19;15;13;13;;;42.0;;;;8;21;53.0;22.0;25.0;17.0;;;;;83.0
205;45 Bouwnijverheid;2002;8;32;15;12;7;7;;;46.0;;;;13;18;;;;;;;;;
206;45 Bouwnijverheid;2003;8;30;12;9;7;6;;;;;;;12;15;;;;;;;;;
207;45 Bouwnijverheid;2004;13;35;18;17;11;10;;;;;;;14;17;64.0;9.0;27.0;;;;;;
208;5000d Commerciële dienstverlening;1997;13;31;15;13;9;9;10.0;7.0;33.0;24.0;19.0;2.0;10;20;68.0;11.0;21.0;11.0;;;;;89.0
209;5000d Commerciële dienstverlening;1998;11;26;12;11;7;7;9.0;8.0;26.0;22.0;15.0;2.0;12;19;56.0;20.0;25.0;10.0;;;;;90.0
210;5000d Commerciële dienstverlening;1999;13;30;16;15;9;10;11.0;9.0;36.0;21.0;23.0;3.0;12;22;65.0;13.0;22.0;8.0;;;;;92.0
211;5000d Commerciële dienstverlening;2000;9;26;12;11;7;6;11.0;9.0;35.0;21.0;23.0;3.0;11;19;64.0;11.0;25.0;9.0;;;;;91.0
212;5000d Commerciële dienstverlening;2001;10;28;17;11;9;8;;;35.0;;;;12;22;63.0;14.0;23.0;12.0;;;;;88.0
213;5000d Commerciële dienstverlening;2002;14;32;18;13;11;10;;;36.0;;;;11;23;64.0;14.0;22.0;8.0;;;;;92.0
214;5000d Commerciële dienstverlening;2003;14;31;18;12;8;10;;;;;;;12;23;64.0;15.0;21.0;8.0;;;;;92.0
215;5000d Commerciële dienstverlening;2004;16;32;21;14;11;12;;;;;;;12;21;68.0;9.0;22.0;9.0;;;;;91.0
216;G Reparatie van consumentenartikelen ..;1997;15;30;15;12;9;9;11.0;6.0;33.0;27.0;18.0;2.0;8;16;70.0;11.0;19.0;13.0;;;;;87.0
217;G Reparatie van consumentenartikelen ..;1998;10;25;11;10;6;6;8.0;10.0;27.0;21.0;16.0;3.0;11;17;51.0;22.0;27.0;11.0;;;;;89.0
218;G Reparatie van consumentenartikelen ..;1999;13;27;15;17;10;10;10.0;9.0;37.0;23.0;24.0;3.0;12;22;68.0;7.0;25.0;9.0;;;;;91.0
219;G Reparatie van consumentenartikelen ..;2000;9;24;8;8;5;4;9.0;10.0;34.0;23.0;22.0;3.0;12;17;69.0;11.0;20.0;7.0;;;;;93.0
220;G Reparatie van consumentenartikelen ..;2001;10;26;16;12;9;10;;;32.0;;;;11;24;61.0;13.0;26.0;7.0;;;;;93.0
221;G Reparatie van consumentenartikelen ..;2002;13;29;16;10;10;9;;;35.0;;;;13;23;66.0;18.0;16.0;7.0;;;;;93.0
222;G Reparatie van consumentenartikelen ..;2003;14;30;17;11;9;10;;;;;;;13;23;58.0;16.0;26.0;6.0;;;;;94.0
223;G Reparatie van consumentenartikelen ..;2004;16;28;19;14;9;11;;;;;;;10;19;70.0;9.0;22.0;8.0;;;;;
224;55 Logies-, maaltijden- en ..;1997;15;32;20;14;12;12;15.0;8.0;41.0;26.0;22.0;3.0;16;18;;;;;;;;;
225;55 Logies-, maaltijden- en ..;1998;5;27;9;8;3;4;11.0;7.0;22.0;17.0;14.0;1.0;15;18;;;;;;;;;
226;55 Logies-, maaltijden- en ..;1999;14;34;25;18;11;14;20.0;17.0;31.0;16.0;20.0;6.0;14;14;;;;;;;;;
227;55 Logies-, maaltijden- en ..;2000;12;20;14;16;9;8;15.0;8.0;46.0;23.0;27.0;5.0;12;16;;;;;;;;;
228;55 Logies-, maaltijden- en ..;2001;5;24;17;14;11;8;;;36.0;;;;9;19;;;;;;;;;
229;55 Logies-, maaltijden- en ..;2002;18;34;25;21;23;19;;;34.0;;;;7;24;;;;;;;;;
230;55 Logies-, maaltijden- en ..;2003;12;29;28;14;8;10;;;;;;;13;19;;;;;;;;;
231;55 Logies-, maaltijden- en ..;2004;19;25;23;12;4;10;;;;;;;11;15;;;;;;;;;
232;I Vervoer, opslag en communicatie;1997;11;28;13;16;6;11;7.0;3.0;39.0;25.0;24.0;4.0;10;20;;;;;;;;;87.0
233;I Vervoer, opslag en communicatie;1998;10;25;12;10;6;7;8.0;6.0;30.0;25.0;16.0;2.0;11;20;;;;;;;;;
234;I Vervoer, opslag en communicatie;1999;11;24;13;11;7;9;6.0;9.0;43.0;21.0;28.0;5.0;11;24;51.0;16.0;33.0;10.0;;;;;90.0
235;I Vervoer, opslag en communicatie;2000;6;22;13;11;5;6;9.0;6.0;36.0;22.0;23.0;4.0;14;21;;;;;;;;;
236;I Vervoer, opslag en communicatie;2001;10;26;19;11;9;8;;;40.0;;;;13;21;;;;;;;;;
237;I Vervoer, opslag en communicatie;2002;12;30;18;13;11;8;;;39.0;;;;14;29;54.0;20.0;26.0;13.0;;;;;87.0
238;I Vervoer, opslag en communicatie;2003;11;28;17;13;8;10;;;;;;;10;21;;;;;;;;;
239;I Vervoer, opslag en communicatie;2004;21;38;22;19;15;15;;;;;;;16;20;;;;;;;;;
240;J Financiële instellingen;1997;9;27;16;8;7;7;7.0;6.0;25.0;20.0;15.0;1.0;8;33;;;;;;;;;
241;J Financiële instellingen;1998;14;25;11;13;9;9;9.0;9.0;17.0;22.0;13.0;0.0;9;26;;;;;;;;;
242;J Financiële instellingen;1999;14;35;14;14;9;11;13.0;10.0;34.0;22.0;21.0;2.0;13;24;;;;;;;;;
243;J Financiële instellingen;2000;8;25;12;9;7;6;11.0;14.0;30.0;21.0;19.0;2.0;10;19;;;;;;;;;
244;J Financiële instellingen;2001;13;27;13;10;5;5;;;28.0;;;;9;13;;;;;;;;;
245;J Financiële instellingen;2002;10;33;12;7;11;6;;;42.0;;;;11;23;;;;;;;;;
246;J Financiële instellingen;2003;13;28;6;8;4;7;;;;;;;10;21;;;;;;;;;
247;J Financiële instellingen;2004;18;38;21;13;14;13;;;;;;;15;28;;;;;;;;;92.0
248;K VH en handel in onroerend goed, ..;1997;12;33;15;12;11;9;11.0;11.0;29.0;19.0;19.0;3.0;12;23;74.0;9.0;17.0;12.0;;;;;88.0
249;K VH en handel in onroerend goed, ..;1998;13;28;13;12;8;8;9.0;6.0;29.0;22.0;17.0;2.0;14;17;69.0;16.0;15.0;7.0;;;;;93.0
250;K VH en handel in onroerend goed, ..;1999;13;33;15;13;9;9;11.0;6.0;32.0;22.0;21.0;2.0;12;24;66.0;19.0;15.0;5.0;;;;;95.0
251;K VH en handel in onroerend goed, ..;2000;12;32;16;14;11;8;14.0;9.0;33.0;18.0;24.0;3.0;10;20;66.0;15.0;20.0;8.0;;;;;92.0
252;K VH en handel in onroerend goed, ..;2001;10;33;17;11;10;9;;;38.0;;;;12;23;68.0;8.0;24.0;15.0;;;;;85.0
253;K VH en handel in onroerend goed, ..;2002;17;37;22;15;8;11;;;34.0;;;;9;21;61.0;13.0;26.0;7.0;;;;;93.0
254;K VH en handel in onroerend goed, ..;2003;15;35;21;15;9;12;;;;;;;12;24;73.0;14.0;13.0;7.0;;;;;93.0
255;K VH en handel in onroerend goed, ..;2004;13;33;22;12;11;11;;;;;;;13;22;72.0;9.0;19.0;8.0;;;;;92.0
256;7500b Niet-commerciële ..;1997;17;35;16;14;10;11;13.0;10.0;32.0;30.0;16.0;2.0;12;23;65.0;11.0;23.0;7.0;;;;;93.0
257;7500b Niet-commerciële ..;1998;14;32;13;12;7;8;12.0;9.0;28.0;28.0;14.0;2.0;13;20;71.0;10.0;19.0;5.0;;;;;95.0
258;7500b Niet-commerciële ..;1999;16;32;15;13;9;10;11.0;11.0;33.0;27.0;19.0;3.0;14;24;59.0;16.0;26.0;7.0;;;;;93.0
259;7500b Niet-commerciële ..;2000;15;30;15;12;9;10;14.0;10.0;35.0;25.0;22.0;2.0;13;24;67.0;13.0;20.0;8.0;;;;;92.0
260;7500b Niet-commerciële ..;2001;17;31;17;13;9;10;;;36.0;;;;13;26;63.0;12.0;25.0;6.0;;;;;94.0
261;7500b Niet-commerciële ..;2002;14;31;15;12;10;9;;;34.0;;;;13;25;58.0;14.0;28.0;6.0;;;;;94.0
262;7500b Niet-commerciële ..;2003;17;33;17;12;8;9;;;;;;;14;24;68.0;10.0;22.0;6.0;;;;;94.0
263;7500b Niet-commerciële ..;2004;15;31;16;11;8;9;;;;;;;12;24;66.0;14.0;20.0;5.0;;;;;95.0
264;75 Openbaar bestuur, ..;1997;16;33;16;13;10;8;7.0;4.0;29.0;31.0;15.0;2.0;12;24;62.0;13.0;25.0;6.0;;;;;94.0
265;75 Openbaar bestuur, ..;1998;11;25;14;9;8;9;9.0;6.0;23.0;27.0;12.0;1.0;10;21;71.0;15.0;13.0;7.0;;;;;93.0
266;75 Openbaar bestuur, ..;1999;15;30;13;11;8;8;11.0;8.0;29.0;23.0;20.0;3.0;13;28;62.0;17.0;21.0;7.0;;;;;93.0
267;75 Openbaar bestuur, ..;2000;9;23;11;6;6;7;12.0;11.0;30.0;25.0;19.0;2.0;12;28;60.0;21.0;19.0;11.0;;;;;89.0
268;75 Openbaar bestuur, ..;2001;13;28;13;11;7;9;;;33.0;;;;9;27;76.0;9.0;16.0;9.0;;;;;91.0
269;75 Openbaar bestuur, ..;2002;12;29;14;9;8;7;;;33.0;;;;11;24;70.0;10.0;20.0;2.0;;;;;98.0
270;75 Openbaar bestuur, ..;2003;16;31;17;10;6;6;;;;;;;12;23;69.0;12.0;19.0;12.0;;;;;88.0
271;75 Openbaar bestuur, ..;2004;10;30;15;7;7;8;;;;;;;9;23;69.0;12.0;18.0;10.0;;;;;90.0
272;80 Onderwijs;1997;20;41;14;15;8;13;10.0;13.0;25.0;32.0;11.0;1.0;14;27;74.0;7.0;20.0;4.0;;;;;96.0
273;80 Onderwijs;1998;20;46;20;22;11;15;14.0;9.0;21.0;24.0;12.0;2.0;17;19;;;;;;;;;
274;80 Onderwijs;1999;21;39;18;16;9;11;9.0;9.0;25.0;27.0;16.0;1.0;14;18;65.0;18.0;17.0;7.0;;;;;93.0
275;80 Onderwijs;2000;21;41;21;19;13;16;18.0;8.0;25.0;25.0;18.0;3.0;14;22;82.0;6.0;12.0;4.0;;;;;96.0
276;80 Onderwijs;2001;23;41;24;17;11;15;;;25.0;;;;16;23;56.0;13.0;31.0;5.0;;;;;95.0
277;80 Onderwijs;2002;21;41;23;16;17;12;;;28.0;;;;15;20;61.0;16.0;23.0;4.0;;;;;96.0
278;80 Onderwijs;2003;21;46;22;14;9;14;;;;;;;15;23;80.0;6.0;14.0;3.0;;;;;97.0
279;80 Onderwijs;2004;16;41;17;10;6;9;;;;;;;9;21;76.0;12.0;12.0;3.0;;;;;97.0
280;85 Gezondheids- en welzijnszorg;1997;17;35;18;14;11;11;15.0;12.0;35.0;28.0;17.0;2.0;12;24;62.0;13.0;25.0;8.0;;;;;92.0
281;85 Gezondheids- en welzijnszorg;1998;14;33;10;11;5;5;10.0;9.0;32.0;30.0;15.0;3.0;10;23;69.0;10.0;22.0;6.0;;;;;94.0
282;85 Gezondheids- en welzijnszorg;1999;16;30;14;13;10;11;11.0;12.0;36.0;29.0;18.0;4.0;13;27;56.0;15.0;29.0;7.0;;;;;93.0
283;85 Gezondheids- en welzijnszorg;2000;16;29;14;14;10;9;14.0;12.0;43.0;28.0;24.0;3.0;13;25;66.0;11.0;23.0;9.0;;;;;91.0
284;85 Gezondheids- en welzijnszorg;2001;17;30;16;13;9;9;;;40.0;;;;14;27;59.0;11.0;30.0;6.0;;;;;94.0
285;85 Gezondheids- en welzijnszorg;2002;13;29;12;11;10;9;;;35.0;;;;14;28;53.0;16.0;31.0;9.0;;;;;91.0
286;85 Gezondheids- en welzijnszorg;2003;17;32;16;13;9;9;;;;;;;15;26;64.0;11.0;25.0;5.0;;;;;95.0
287;85 Gezondheids- en welzijnszorg;2004;17;28;16;13;9;11;;;;;;;15;26;61.0;14.0;25.0;5.0;;;;;95.0
288;9000e Milieu, cultuur, recreatie en ..;1997;12;26;14;14;10;10;19.0;7.0;40.0;29.0;24.0;5.0;9;14;;;;;;;;;
289;9000e Milieu, cultuur, recreatie en ..;1998;9;20;10;7;7;3;19.0;13.0;34.0;33.0;17.0;4.0;20;15;;;;;;;;;
290;9000e Milieu, cultuur, recreatie en ..;1999;13;29;18;11;11;9;15.0;15.0;42.0;28.0;24.0;4.0;15;15;;;;;;;;;
291;9000e Milieu, cultuur, recreatie en ..;2000;11;28;11;7;6;9;8.0;7.0;36.0;16.0;27.0;1.0;14;17;;;;;;;;;
292;9000e Milieu, cultuur, recreatie en ..;2001;14;28;18;10;10;10;;;44.0;;;;13;26;;;;;;;;;
293;9000e Milieu, cultuur, recreatie en ..;2002;13;31;12;12;7;7;;;43.0;;;;10;21;;;;;;;;;
294;9000e Milieu, cultuur, recreatie en ..;2003;11;21;18;7;8;5;;;;;;;14;17;;;;;;;;;
295;9000e Milieu, cultuur, recreatie en ..;2004;14;23;16;9;7;8;;;;;;;11;17;;;;;;;;;
