ID;InstitutionalInvestors;Periods;TotalAssets_1;TotalCurrencyAndTransferableDeposits_2;InEuroS_3;InForeignCurrency_4;TotalDeposits_5;TotalInEuroS_6;MonetaryFinancialInstitutions_7;RestOfTheWorld_8;TotalInForeignCurrency_9;MonetaryFinancialInstitutions_10;RestOfTheWorld_11;TotalShortTermSecurities_12;TotalGovernment_13;CentralGovernment_14;TotalFinancialCorporations_15;MonetaryFinancialInstitutions_16;OtherFinIntermAndFinAux_17;TotalOtherDomestic_18;NonFinancialCorporations_19;PrivateCompanies_20;GovernmentCompanies_21;ShortTermSecuritiesRestOfTheWorld_22;TotalLongTermSecurities_23;TotalGovernment_24;CentralGovernment_25;LocalGovernment_26;TotalFinancialCorporations_27;MonetaryFinancialInstitutions_28;NonMMFInvestmentFunds_29;OtherFinIntermAndFinAux_30;CaptiveFinInstAndMoneyLenders_31;InsuranceCorporationsAndPensionFunds_32;TotalOtherDomestic_33;NonFinancialCorporations_34;PrivateCompanies_35;InstitutionsProvidingHealthCare_36;GovernmentCompanies_37;LongTermSecuritiesRestOfTheWorld_38;TotalShortTermLoans_39;TotalGovernment_40;CentralGovernment_41;LocalGovernment_42;SocialSecurityFunds_43;TotalFinancialCorporations_44;NonMMFInvestmentFunds_45;OtherFinIntermAndFinAux_46;InsuranceCorporationsAndPensionFunds_47;TotalOtherDomestic_48;NonFinancialCorporations_49;PrivateCompanies_50;GovernmentCompanies_51;HouseholdsIncludingNPISH_52;ShortTermLoansRestOfTheWorld_53;TotalLongTermLoans_54;TotalGovernment_55;CentralGovernment_56;LocalGovernment_57;SocialSecurityFunds_58;TotalFinancialCorporations_59;MonetaryFinancialInstitutions_60;NonMMFInvestmentFunds_61;OtherFinIntermAndFinAux_62;InsuranceCorporationsAndPensionFunds_63;TotalOtherDomestic_64;NonFinancialCorporations_65;PrivateCompanies_66;InstitutionsProvidingHealthCare_67;GovernmentCompanies_68;HousingCorporations_69;HouseholdsIncludingNPISH_70;LongTermLoansRestOfTheWorld_71;TotalMortgageLoans_72;HousesOfficesAndShops_73;RuralEstates_74;Other_75;RestOfTheWorld_76;TotalListedShares_77;TotalFinancialCorporations_78;MonetaryFinancialInstitutions_79;OtherFinIntermAndFinAux_80;CaptiveFinInstAndMoneyLenders_81;InsuranceCorporationsAndPensionFunds_82;NonFinancialCorporations_83;PrivateCompanies_84;GovernmentCompanies_85;ListedSharesRestOfTheWorld_86;TotalUnlistedShares_87;TotalFinancialCorporations_88;MonetaryFinancialInstitutions_89;OtherFinIntermAndFinAux_90;InsuranceCorporationsAndPensionFunds_91;NonFinancialCorporations_92;PrivateCompanies_93;UnlistedSharesRestOfTheWorld_94;InvestmentFundSharesOrUnitsTotal_95;TotalFinancialCorporations_96;MoneyMarketFunds_97;NonMMFInvestmentFunds_98;InvFundShOrUnitsRestOfTheWorld_99;InsPensionAndStGuaranteeSch_100;NonLifeInsuranceTechnicalReserves_101;OtherEntitlements_102;FinancialDerivatives_103;OtherAccountsReceivablePayable_104;TotalDirectProperty_105;Houses_106;OtherDomestic_107;OfficesAndShops_108;RuralEstates_109;Other_110;RestOfTheWorld_111;OtherAssets_112;TotalLiabilities_113;TotalShortTermSecurities_114;ShortTermSecuritiesRestOfTheWorld_115;TotalLongTermSecurities_116;TotalGovernment_117;CentralGovernment_118;LocalGovernment_119;SocialSecurityFunds_120;TotalFinancialCorporations_121;MonetaryFinancialInstitutions_122;NonMMFInvestmentFunds_123;OtherFinIntermAndFinAux_124;InsuranceCorporationsAndPensionFunds_125;TotalOtherDomestic_126;HouseholdsIncludingNPISH_127;LongTermSecuritiesRestOfTheWorld_128;TotalShortTermLoans_129;TotalGovernment_130;CentralGovernment_131;SocialSecurityFunds_132;TotalFinancialCorporations_133;MonetaryFinancialInstitutions_134;NonMMFInvestmentFunds_135;OtherFinIntermAndFinAux_136;InsuranceCorporationsAndPensionFunds_137;TotalOtherDomestic_138;NonFinancialCorporations_139;HouseholdsIncludingNPISH_140;ShortTermLoansRestOfTheWorld_141;TotalLongTermLoans_142;TotalGovernment_143;CentralGovernment_144;LocalGovernment_145;SocialSecurityFunds_146;TotalFinancialCorporations_147;MonetaryFinancialInstitutions_148;NonMMFInvestmentFunds_149;OtherFinIntermAndFinAux_150;InsuranceCorporationsAndPensionFunds_151;TotalOtherDomestic_152;NonFinancialCorporations_153;HouseholdsIncludingNPISH_154;LongTermLoansRestOfTheWorld_155;TotalEquityAndShares_156;TotalGovernment_157;CentralGovernment_158;LocalGovernment_159;SocialSecurityFunds_160;TotalFinancialCorporations_161;MonetaryFinancialInstitutions_162;NonMMFInvestmentFunds_163;OtherFinIntermAndFinAux_164;InsuranceCorporationsAndPensionFunds_165;TotalOtherDomestic_166;NonFinancialCorporations_167;HouseholdsIncludingNPISH_168;EquityAndSharesRestOfTheWorld_169;InsPensionAndStGuaranteeSch_170;NonLifeInsuranceTechnicalReserves_171;LifeInsuranceAndAnnuityEntitlements_172;PensionEntitlements_173;OtherEntitlements_174;ProvForCallsUnderStandGuarantees_175;EntitlementsToNonPensionBenefits_176;FinancialDerivatives_177;OtherAccountsReceivablePayable_178;OtherLiabilities_179
34;Pension funds;2009;747383;6929;2196;4733;9825;5234;4247;987;4591;1208;3383;7880;102;102;186;114;72;0;0;;;7592;167802;9929;9929;0;8708;4022;0;4630;56;0;1139;1139;;;;148026;9745;300;300;0;0;184;14;169;1;36;36;;;0;9225;21489;1163;633;530;0;4303;967;40;668;2628;13172;2119;;;;;11053;2851;;;;;;68390;1064;293;271;500;0;2299;;;65027;24570;4374;138;3962;274;2901;;17295;388995;311219;642;310577;77776.0;14228;14052.0;176.0;8331;3412;15775;9025;6632;;;;118;12;747383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31087;0;0;0;27835;2693;21343;3798;1;5;1;4;3247;1322;500;500;0;0;497;0;4;480;13;250;250;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;652370.0;;;633114.0;19256.0;;0.0;270.0;8248;54086
35;Pension funds;2010;799797;4540;2587;1953;8243;2947;1572;1375;5296;884;4412;2574;144;144;90;90;0;0;0;;;2340;173804;17062;17062;0;8522;4415;0;4010;97;0;917;917;;;;147303;19305;150;150;0;0;18490;10;18479;1;4;4;;;0;661;20701;1184;599;585;0;4455;879;19;981;2576;12266;2040;;;;;10226;2796;;;;;;80892;1212;245;330;637;0;2261;;;77419;25236;4814;165;4391;258;2713;;17709;421555;344842;985;343857;76713.0;14272;14140.0;132.0;11520;7635;9508;4203;5077;;;;228;12;799797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15220;0;0;0;6410;789;10;5610;1;4;0;4;8806;1283;430;430;0;0;529;0;4;512;13;250;250;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;736065.0;;;717809.0;18256.0;;0.0;438.0;4826;41965
36;Pension funds;2011;867152;4324;2078;2246;5255;1409;1233;176;3846;840;3006;3492;647;647;289;289;0;0;0;;;2556;196983;33701;33701;0;8569;4102;0;4255;212;0;766;766;;;;153947;13876;0;0;0;0;13276;14;13262;0;22;22;;;0;578;18067;1253;570;683;0;3644;789;397;839;1619;11067;1428;;;;;9639;2103;;;;;;72223;1191;196;298;697;0;1976;;;69056;24534;6729;118;6353;258;1837;;15968;455621;378800;910;377890;76821.0;14196;13827.0;369.0;44635;4638;9297;3940;5119;;;;238;11;867152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21840;0;0;0;13095;545;0;12550;0;0;0;0;8745;1613;670;670;0;0;656;0;5;624;27;213;213;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;848586.0;;;835980.0;12606.0;;0.0;206.0;13306;-18399
37;Pension funds;2012;1003899;5074;2586;2488;7165;2112;1505;607;5053;840;4213;3321;2180;2180;43;35;8;5;5;;;1093;231058;39189;39189;0;8591;4343;0;4113;135;0;1027;1027;;;;182251;16441;272;272;0;0;15944;28;15904;12;20;20;;;0;205;17578;1159;416;743;0;3711;697;395;798;1821;10558;1413;;;;;9145;2150;;;;;;89023;1145;143;386;616;0;2432;;;85446;27511;6550;125;6187;238;1643;;19318;525012;447850;892;446958;77162.0;13843;13823.0;20.0;53860;5253;8751;4067;4602;;;;82;9;1003899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19070;0;0;0;11574;831;0;10743;0;0;0;0;7496;1711;860;860;0;0;567;0;5;527;35;213;213;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;934958.0;;;911075.0;23883.0;;0.0;255.0;33445;14460
38;Pension funds;2013;1019892;4855;2008;2847;4469;2032;344;1688;2437;840;1597;1783;897;897;52;44;8;5;5;;;829;240382;44069;44069;0;8791;3909;0;4777;105;0;1014;1014;;;;186508;11833;435;435;0;0;10806;21;10785;0;7;7;;;0;585;15697;1227;366;861;0;2984;2285;372;291;36;9638;1365;;;;;8273;1848;;;;;;102716;1468;173;512;783;0;2729;;;98519;26967;6539;125;6176;238;1771;;18657;559239;487297;1053;486244;71942.0;13815;13815.0;0.0;24579;5032;8519;3698;4727;;;;94;6;1019892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13653;0;0;0;7506;521;0;6985;0;0;0;0;6147;1776;1000;1000;0;0;560;0;2;525;33;213;213;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;921721.0;;;885763.0;35958.0;;0.0;439.0;22412;59891
39;Pension funds;2014;1237008;6103;2291;3812;4421;2623;28;2595;1798;839;959;2227;526;526;35;27;8;27;27;;;1639;300810;55377;55377;0;9522;4522;9;4808;183;0;1171;1171;;;;234740;17961;0;0;0;0;17624;22;17602;0;5;5;;;0;332;15487;1074;344;730;0;3235;2317;500;415;3;9523;1245;;;;;8278;1655;;;;;;127083;1514;162;465;887;0;2682;;;122887;28523;6138;124;5777;237;2004;;20381;649377;563866;1757;562109;85511.0;10176;10176.0;0.0;62034;5098;7703;3556;4097;;;;50;5;1237008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22495;0;0;0;15990;471;0;15519;0;30;30;0;6475;1993;780;780;0;0;527;1;2;523;1;683;683;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1082196.0;;;1070387.0;11809.0;;0.0;359.0;40075;89890
40;Pension funds;2015;1253722;5909;2640;3269;3833;1912;52;1860;1921;839;1082;3215;421;421;8;0;8;30;30;;;2756;315067;53267;53267;0;10041;5406;9;4443;183;0;998;998;;;;250761;11134;0;0;0;0;10909;24;10885;0;14;14;;;0;211;15462;1202;321;881;0;2790;2102;269;417;2;10165;1430;;;;;8735;1305;;;;;;142523;1109;157;35;917;0;2937;;;138477;29114;6144;123;5784;237;2538;;20432;665133;590456;1966;588490;74677.0;10185;10185.0;0.0;40747;3902;7495;3591;3850;;;;54;3;1253722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19144;0;0;0;12802;267;0;12535;0;26;26;0;6316;1275;60;60;0;0;527;1;2;523;1;685;685;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1151856.0;;;1142705.0;7667.0;;1484.0;147.0;35612;45688
41;Pension funds;2016;1369029;6063;2916;3147;3332;867;79;788;2465;843;1622;3559;480;480;26;18;8;32;32;;;3021;336445;54304;54304;0;11020;5396;3;5438;183;0;1209;1209;;;;269912;12122;0;0;0;0;11817;22;11795;0;0;0;;;0;305;16023;1035;260;775;0;3118;2081;485;550;2;10679;1420;;;;;9259;1191;;;;;;160201;1522;149;286;1087;0;2800;;;155879;29601;5974;120;5617;237;2460;;21167;739119;662925;2378;660547;76194.0;8062;8062.0;0.0;42039;4443;8017;3909;4063;;;;45;3;1369029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25796;0;0;0;19091;579;0;18512;0;21;21;0;6684;1244;29;29;0;0;527;1;2;523;1;685;685;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1268348.0;;;1255985.0;8342.0;;4021.0;72.0;28150;45419
42;Insurance corporations;1998;255278;1922;1893;30;8392;8112;8112;0;280;190;90;145;38;38;33;20;14;39;39;0.0;39.0;35;75004;39749;39584;165;11734;9113;41;2581;0;0;3125;3125;2790.0;1.0;333.0;20395;2476;94;73;5;16;2004;0;1335;670;335;265;220.0;45.0;70;42;49365;6655;4697;1957;0;23429;15452;284;3718;3974;16962;16646;5281.0;1307.0;2166.0;7892.0;316;2319;25132.0;24556.0;118.0;458.0;0.0;51505;17675;4588;13087;0;0;17303;16986.0;316.0;16527;3458;3084;0;542;2542;260;260.0;114;8951;8951;850;8101;;6734;;;59;11514;10411;3597;6566;6191.0;265.0;110.0;248;210;255278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4606;18;0;18;4467;502;0;3530;435;92;23;69;29;9503;7;2;0;5;8810;62;0;629;8119;125;0;125;561;37050;0;0;0;0;32722;0;0;26918;5804;222;0;222;4106;180460.0;;;;;;;;7414;16244
43;Insurance corporations;1999;277949;2354;2283;71;9519;9101;9101;0;417;249;168;166;18;18;72;69;3;24;24;24.0;0.0;52;75610;35989;35855;135;9817;7657;0;1706;0;454;2900;2900;2635.0;5.0;259.0;26904;3077;195;67;0;128;2604;0;2019;585;239;180;169.0;11.0;59;39;47950;4696;2899;1795;0;23226;14293;290;4345;4298;16676;16432;5492.0;1267.0;2091.0;7582.0;244;3352;27847.0;27446.0;103.0;298.0;0.0;66072;21207;5886;15321;0;0;19865;19782.0;83.0;25000;4622;4367;0;549;3818;183;183.0;72;10008;10008;613;9395;;7441;;;72;11701;11283;3854;7224;6852.0;300.0;72.0;205;228;277949;0;0;758;0;0;0;0;726;272;0;0;454;32;32;0;5254;24;0;24;4965;713;0;4022;230;117;25;92;148;9068;2;1;0;1;8224;37;0;592;7595;116;0;116;726;37579;0;0;0;0;33246;0;0;27165;6081;230;0;230;4103;197334.0;;;;;;;;10059;17899
44;Insurance corporations;2000;288311;3505;3326;179;10710;10340;10340;0;370;231;140;141;23;23;74;73;1;9;9;9.0;0.0;35;77962;30939;30844;95;12403;8595;2;3359;0;447;2373;2373;2133.0;1.0;239.0;32247;5406;96;0;0;96;5076;0;4796;280;223;187;152.0;35.0;37;11;43535;3657;2149;1507;0;21541;13072;300;4074;4095;15179;14884;4424.0;1344.0;1577.0;7539.0;295;3158;30905.0;30460.0;111.0;334.0;0.0;64619;19158;5369;13774;0;15;17846;17832.0;15.0;27615;5667;5361;0;494;4867;203;203.0;103;10179;10179;458;9721;;7938;;;87;13840;13553;5084;8142;7561.0;410.0;171.0;327;264;288310;0;0;767;0;0;0;0;735;288;0;0;447;32;32;0;6749;30;0;30;6371;1039;0;5006;326;163;48;115;185;9905;4;1;0;3;9005;250;0;1684;7071;103;0;103;793;36831;0;0;0;0;32353;0;0;26226;6127;220;0;220;4258;209551.0;;;;;;;;10402;14106
45;Insurance corporations;2001;297283;3699;3625;74;11343;10978;10978;0;365;183;182;289;0;0;214;209;5;0;0;0.0;0.0;75;87850;26183;26090;93;10827;5976;5;4456;0;390;2841;2841;2673.0;2.0;166.0;47999;4923;134;31;0;103;4530;0;3953;577;247;241;155.0;86.0;6;12;40805;2722;1288;1434;0;21428;12099;279;3785;5265;13588;13297;3343.0;1169.0;1481.0;7304.0;291;3067;32042.0;31191.0;46.0;805.0;0.0;61916;18079;4857;13208;0;14;19675;19674.0;1.0;24162;5569;5295;0;448;4847;218;218.0;55;10398;10398;158;10240;;9761;;;104;13434;14895;5506;9038;8288.0;509.0;240.0;351;255;297283;0;0;672;0;0;0;0;643;253;0;0;390;29;29;0;5895;21;0;21;5591;935;0;4038;618;135;40;95;148;12129;4;1;0;3;11307;36;0;1209;10062;54;0;54;764;33481;0;0;0;0;28958;0;0;22841;6117;220;0;220;4303;223502.0;;;;;;;;11425;10179
46;Insurance corporations;2002;287066;5858;5802;56;12713;12458;12458;0;255;155;100;288;0;0;221;216;5;0;0;0.0;0.0;67;88459;20423;20267;156;11969;5764;9;5891;0;305;2633;2633;2472.0;2.0;159.0;53434;4949;169;46;0;123;4460;0;4020;440;306;298;155.0;143.0;8;14;36747;2484;1129;1355;0;22411;11698;230;4310;6173;9298;8986;3269.0;840.0;1079.0;3798.0;312;2554;31452.0;30624.0;44.0;784.0;0.0;50357;17769;4191;13565;0;13;11868;11867.0;1.0;20720;4428;4208;0;468;3740;176;176.0;44;11229;11229;166;11063;;10207;;;209;14746;15163;5596;9416;8585.0;518.0;313.0;151;261;287066;0;0;588;0;0;0;0;539;234;0;0;305;49;49;0;4915;22;0;22;4655;1279;0;3043;333;124;56;68;114;10683;33;1;0;32;9905;36;0;1172;8697;53;0;53;692;26582;0;0;0;0;22702;0;0;17574;5128;220;0;220;3660;223811.0;;;;;;;;9734;10753
47;Insurance corporations;2003;303717;5893;5879;14;12391;12221;12221;0;170;130;40;295;11;11;215;210;5;0;0;0.0;0.0;69;101041;18640;18538;102;12101;5517;32;6303;0;249;3411;3411;3235.0;2.0;174.0;66889;5780;134;0;0;134;5438;0;4654;784;192;184;158.0;26.0;8;16;36539;2050;1019;1031;0;24797;11401;217;7106;6073;8076;7781;2882.0;709.0;961.0;3229.0;295;1616;28828.0;28000.0;44.0;784.0;0.0;54377;21298;4654;16630;0;14;12599;12598.0;1.0;20480;5673;5426;0;1504;3922;207;207.0;40;14320;14320;234;14086;;9284;;;50;15110;13857;5190;8526;7754.0;481.0;291.0;141;279;303717;0;0;503;4;4;0;0;462;213;0;0;249;37;37;0;7683;23;0;23;7395;1336;0;5272;787;142;68;74;123;11705;0;0;0;0;10977;36;0;610;10331;47;0;47;681;29634;0;0;0;0;25244;0;0;19920;5324;220;0;220;4170;236986.0;;;;;;;;6980;10226
48;Insurance corporations;2004;323814;4036;3967;69;14125;13571;13542;29;554;138;416;15;0;0;0;0;0;0;0;0.0;0.0;15;124327;20548;20397;151;14661;5422;95;8892;0;252;3669;3669;3519.0;1.0;149.0;85449;4060;134;0;0;134;3715;0;3403;312;195;187;161.0;26.0;8;16;30870;1742;890;852;0;20166;9532;191;6450;3993;7832;7574;3418.0;696.0;782.0;2678.0;258;1130;25743.0;25382.0;110.0;251.0;0.0;58722;23767;5585;18167;0;15;11814;11813.0;1.0;23141;6701;6474;0;1866;4608;202;202.0;25;15888;15888;254;15634;;10197;;;490;13959;14412;4740;8585;7848.0;510.0;227.0;1087;269;323813;0;0;500;4;4;0;0;447;195;0;0;252;49;49;0;4530;23;0;23;4266;906;0;3048;312;126;58;68;115;6484;0;0;0;0;5697;27;0;198;5472;51;0;51;736;37734;0;0;0;0;32054;0;0;26038;6016;220;0;220;5460;249129.0;;;;;;;;13598;11838
49;Insurance corporations;2005 before break;366476;5209;5162;47;13041;12780;12696;84;261;132;129;0;0;0;0;0;0;0;0;0.0;0.0;0;137670;22693;22565;128;14993;4729;75;9957;0;232;4039;4039;3882.0;1.0;156.0;95945;7244;1479;1342;0;137;5373;0;5012;361;195;187;172.0;15.0;8;197;27262;1478;818;660;0;19565;9271;184;6408;3702;5448;5176;1611.0;700.0;601.0;2264.0;272;771;25582.0;25221.0;110.0;251.0;0.0;78654;30520;7253;23267;0;0;17426;17425.0;1.0;30708;8043;7545;42;2320;5183;407;407.0;91;22401;22401;338;22063;;10265;;;2218;15190;13202;4123;7750;6984.0;612.0;154.0;1329;495;366476;0;0;500;3;3;0;0;469;237;0;0;232;28;28;0;10375;35;0;35;9919;1969;0;7589;361;220;92;128;201;6858;0;0;0;0;6063;325;0;190;5548;57;0;57;738;41926;0;0;0;0;31127;0;0;25944;5183;453;0;453;10346;276906.0;;;;;;;;20012;9899
50;Insurance corporations;2005 after break;366476;5209;5162;47;13041;12780;12696;84;261;132;129;0;0;0;0;0;0;0;0;0.0;0.0;0;137670;22693;22565;128;14993;4729;75;9957;0;232;4039;4039;3882.0;1.0;156.0;95945;7244;1479;1342;0;137;5373;0;5012;361;195;187;172.0;15.0;8;197;27262;1478;818;660;0;19565;9271;184;6408;3702;5448;5176;1611.0;700.0;601.0;2264.0;272;771;25582.0;25221.0;110.0;251.0;0.0;69158;30520;7253;23267;0;0;17426;17425.0;1.0;21212;8043;7545;42;2320;5183;407;407.0;91;31897;22401;338;22063;9496.0;10265;;;2218;15190;13202;4123;7750;6984.0;612.0;154.0;1329;495;366476;0;0;500;3;3;0;0;469;237;0;0;232;28;28;0;10375;35;0;35;9919;1969;0;7589;361;220;92;128;201;6858;0;0;0;0;6063;325;0;190;5548;57;0;57;738;41926;0;0;0;0;31127;0;0;25944;5183;453;0;453;10346;276906.0;;;;;;;;20012;9899
51;Insurance corporations;2006;383854;5564;5502;62;11899;11818;11805;13;81;4;77;1217;320;320;378;145;233;0;0;0.0;0.0;519;134744;20024;19974;50;15257;4441;70;10527;0;219;3731;3731;3621.0;0.0;110.0;95732;3740;537;537;0;0;2741;0;2481;260;150;150;150.0;0.0;0;312;28197;1358;730;628;0;21145;9963;179;6263;4740;4907;4630;1567.0;687.0;546.0;1830.0;277;787;23542.0;23208.0;102.0;232.0;0.0;74334;32644;7965;24679;0;0;19727;19726.0;1.0;21963;10376;9901;50;3349;6502;408;408.0;67;37815;25271;423;24848;12544.0;9652;;;2008;25984;14217;4576;7897;7101.0;645.0;151.0;1744;565;383854;0;0;500;3;3;0;0;461;242;0;0;219;36;36;0;8834;0;0;0;8349;1347;0;6733;269;261;135;126;224;8143;0;0;0;0;7783;307;0;183;7293;1;0;1;359;47474;0;0;0;0;32654;0;0;26152;6502;477;0;477;14343;277398.0;;;;;;;;25480;16025
52;Insurance corporations;2007;398739;5738;5623;115;10478;9982;9764;218;496;300;196;466;164;164;253;108;145;0;0;0.0;0.0;49;146680;19209;19209;0;24553;3847;0;20500;0;206;1820;1820;1813.0;0.0;7.0;101098;8593;458;458;0;0;8076;0;6043;2033;66;66;66.0;0.0;0;-7;25896;1061;604;457;0;19508;8837;0;5791;4880;4814;4582;1676.0;651.0;501.0;1754.0;232;513;21222.0;20919.0;93.0;210.0;0.0;85020;22183;574;21609;0;0;21265;21263.0;2.0;41572;8981;8325;19;2686;5620;548;548.0;108;33919;22489;270;22219;11430.0;9920;;;729;26961;12719;4690;6320;5503.0;660.0;157.0;1709;1417;398739;0;0;500;3;3;0;0;461;255;0;0;206;36;36;0;12633;2;0;2;11139;1443;0;7469;2227;337;257;80;1155;11232;0;0;0;0;11027;391;0;2633;8003;0;0;0;205;39401;0;0;0;0;25491;0;0;19860;5631;477;0;477;13433;290292.0;;;;;;;;31286;13395
53;Insurance corporations;2008 before revision;394662;9276;9204;72;14878;14554;14295;259;324;300;24;1774;836;836;896;393;503;27;27;27.0;0.0;15;150039;14856;14856;0;26057;3706;0;22148;0;203;2412;2412;2412.0;0.0;0.0;106714;14653;485;485;0;0;13564;0;9359;4205;193;193;193.0;0.0;0;411;24462;1029;518;511;0;18760;8917;0;5290;4553;4411;4282;1632.0;600.0;450.0;1600.0;129;262;21447.0;21144.0;93.0;210.0;0.0;63573;4654;120;4534;0;0;13234;13234.0;0.0;45685;6376;3629;5;1007;2617;766;766.0;1981;25862;16614;260;16354;9248.0;10637;;;8267;26772;12918;4865;6334;5517.0;660.0;157.0;1719;3728;394662;0;0;600;5;5;0;0;559;356;0;0;203;36;36;0;20436;1;0;1;16562;2255;0;10046;4261;381;271;110;3492;8533;0;0;0;0;7642;0;0;1632;6010;112;112;0;779;35727;0;0;0;0;20809;0;0;18182;2627;503;0;503;14415;295908.0;;;;;;;;31677;1781
54;Insurance corporations;2008 after revision;382965;12181;10701;1480;4469;1970;1825;145;2499;2012;487;3295;220;220;805;712;93;9;9;;;2261;148237;15516;15516;0;10396;3094;0;7302;0;0;2425;2425;;;;119900;15147;0;0;0;0;12643;0;7697;4946;302;302;;;0;2202;53385;537;537;0;0;28428;14620;365;8004;5439;22411;1725;;;;;20686;2009;;;;;;17622;838;501;337;0;0;4500;;;12284;18308;8477;0;3599;4878;5342;;4489;37332;24140;242;23898;13192.0;15897;15798.0;99.0;9302;37141;8605;4221;4326;;;;58;2044;382965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20914;0;0;0;14294;1487;0;7850;4957;137;0;137;6483;14154;5;5;0;0;13698;1092;0;4432;8174;451;379;72;0;38711;729;729;0;0;37533;0;0;32381;5152;187;187;0;262;303855.0;44409.0;166792.0;90708.0;782.0;1164.0;0.0;520.0;26077;-21266
55;Insurance corporations;2009;390702;8669;8293;376;5369;3880;3880;0;1489;1015;474;3062;282;282;353;273;80;0;0;;;2427;160950;22537;22537;0;12337;4285;0;7891;161;0;2696;2696;;;;123380;13027;0;0;0;0;11019;0;6533;4486;335;335;;;0;1673;54216;536;536;0;0;26055;13685;1965;6784;3621;25357;1657;;;;;23700;2268;;;;;;18437;1410;449;427;534;0;4283;;;12744;17229;9649;0;1945;7704;5446;;2134;43141;27910;416;27494;15231.0;15131;14921.0;210.0;4364;36143;8745;4242;4445;;;;58;2219;390702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21385;0;0;0;14208;1543;0;8179;4486;457;277;180;6720;8000;4;4;0;0;7581;441;0;904;6236;415;343;72;0;43827;2054;2054;0;0;41216;0;0;33238;7978;291;291;0;266;301504.0;44349.0;157925.0;97874.0;102.0;1254.0;0.0;133.0;22691;-6838
56;Insurance corporations;2010;417016;9801;9332;469;4943;3146;3146;0;1797;1379;418;2172;468;468;346;247;99;0;0;;;1358;168720;30397;30397;0;12341;5330;0;6860;151;0;2282;2282;;;;123700;11527;500;500;0;0;9318;13;4551;4754;153;153;;;0;1556;56546;536;536;0;0;24165;13647;2135;5233;3150;29152;1662;;;;;27490;2693;;;;;;21420;1492;398;423;671;0;5609;;;14319;18160;12239;25;1910;10304;5281;;640;58516;42322;459;41863;16194.0;15448;15229.0;219.0;6216;34527;7370;3136;4186;;;;48;1650;417016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18821;0;0;0;13690;66;0;8870;4754;313;5;308;4818;7704;4;4;0;0;7285;665;0;907;5713;415;331;84;0;48038;2020;2020;0;0;45436;0;59;34815;10562;371;371;0;211;307590.0;43937.0;158098.0;104138.0;23.0;1394.0;0.0;155.0;28553;6155
57;Insurance corporations;2011;440535;12004;11566;438;5286;3771;3753;18;1515;1028;487;1829;500;500;334;270;64;0;0;;;995;176128;41563;41563;0;12889;5155;0;7467;267;0;1883;1883;;;;119793;12906;100;100;0;0;9525;1;3253;6271;1096;1096;;;0;2185;61676;502;502;0;0;23251;15425;61;6500;1265;35265;2444;;;;;32821;2658;;;;;;18277;932;293;0;639;0;4948;;;12397;18122;12550;26;1501;11023;4987;;585;61088;46894;532;46362;14194.0;19881;19756.0;125.0;14216;31383;6244;2959;3237;;;;48;1495;440535;0;0;419;49;0;49;0;35;0;0;35;0;0;0;335;17244;0;0;0;11616;222;0;5123;6271;70;2;68;5558;5347;4;4;0;0;4753;615;0;1281;2857;368;278;90;222;51104;1293;1293;0;0;49236;0;44;37911;11281;373;373;0;202;325740.0;46285.0;158082.0;119758.0;66.0;1549.0;0.0;350.0;36856;3475
