ID;Sales;SBI08SectionsAndDivisions;AllPeriods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3;WeightFactor_4
2904;Total sales;107 Manufacture of bakery products;2019 September;98.1;0.1;2.3;7991
2905;Total sales;107 Manufacture of bakery products;2019 October;98.2;0.1;2.2;7991
2906;Total sales;107 Manufacture of bakery products;2019 November;98.2;0.0;2.1;7991
2907;Total sales;107 Manufacture of bakery products;2019 December;98.2;0.0;2.1;7991
2908;Total sales;107 Manufacture of bakery products;2019;98.0;;1.5;7991
2909;Total sales;107 Manufacture of bakery products;2020 January;98.8;0.6;1.1;7991
2910;Total sales;107 Manufacture of bakery products;2020 February;98.7;0.0;0.9;7991
2911;Total sales;107 Manufacture of bakery products;2020 March;98.6;-0.1;0.7;7991
2912;Total sales;107 Manufacture of bakery products;2020 April;99.2;0.5;1.2;7991
2913;Total sales;107 Manufacture of bakery products;2020 May;99.2;0.0;1.1;7991
2914;Total sales;107 Manufacture of bakery products;2020 June;99.1;0.0;1.1;7991
2915;Total sales;107 Manufacture of bakery products;2020 July;;;;7991
2916;Total sales;107 Manufacture of bakery products;2020 August;;;;7991
2917;Total sales;107 Manufacture of bakery products;2020 September;;;;7991
2918;Total sales;107 Manufacture of bakery products;2020 October;;;;7991
2919;Total sales;107 Manufacture of bakery products;2020 November;;;;7991
2920;Total sales;107 Manufacture of bakery products;2020 December;;;;7991
2921;Total sales;107 Manufacture of bakery products;2020;;;;7991
2922;Total sales;107 Manufacture of bakery products;2021 January;;;;7991
2923;Total sales;107 Manufacture of bakery products;2021 February;;;;7991
2924;Total sales;107 Manufacture of bakery products;2021 March;;;;7991
2925;Total sales;107 Manufacture of bakery products;2021 April;;;;7991
2926;Total sales;107 Manufacture of bakery products;2021 May;;;;7991
2927;Total sales;107 Manufacture of bakery products;2021 June;;;;7991
2928;Total sales;107 Manufacture of bakery products;2021 July;;;;7991
2929;Total sales;107 Manufacture of bakery products;2021 August;;;;7991
2930;Total sales;107 Manufacture of bakery products;2021 September;;;;7991
2931;Total sales;107 Manufacture of bakery products;2021 October;;;;7991
2932;Total sales;107 Manufacture of bakery products;2021 November;;;;7991
2933;Total sales;107 Manufacture of bakery products;2021 December;;;;7991
2934;Total sales;107 Manufacture of bakery products;2021;;;;7991
2935;Total sales;107 Manufacture of bakery products;2022 January;;;;7991
2936;Total sales;107 Manufacture of bakery products;2022 February;;;;7991
2937;Total sales;107 Manufacture of bakery products;2022 March;;;;7991
2938;Total sales;107 Manufacture of bakery products;2022 April;;;;7991
2939;Total sales;107 Manufacture of bakery products;2022 May;;;;7991
2940;Total sales;107 Manufacture of bakery products;2022 June;;;;7991
2941;Total sales;107 Manufacture of bakery products;2022 July;;;;7991
2942;Total sales;107 Manufacture of bakery products;2022 August;;;;7991
2943;Total sales;107 Manufacture of bakery products;2022 September;;;;7991
2944;Total sales;107 Manufacture of bakery products;2022 October;;;;7991
2945;Total sales;107 Manufacture of bakery products;2022 November;;;;7991
2946;Total sales;107 Manufacture of bakery products;2022 December;;;;7991
2947;Total sales;107 Manufacture of bakery products;2022;;;;7991
2948;Total sales;107 Manufacture of bakery products;2023 January;;;;7991
2949;Total sales;107 Manufacture of bakery products;2023 February;;;;7991
2950;Total sales;107 Manufacture of bakery products;2023 March;;;;7991
2951;Total sales;107 Manufacture of bakery products;2023 April;;;;7991
2952;Total sales;107 Manufacture of bakery products;2023 May;;;;7991
2953;Total sales;107 Manufacture of bakery products;2023 June;;;;7991
2954;Total sales;107 Manufacture of bakery products;2023 July;;;;7991
2955;Total sales;107 Manufacture of bakery products;2023 August;;;;7991
2956;Total sales;107 Manufacture of bakery products;2023 September;;;;7991
2957;Total sales;107 Manufacture of bakery products;2023 October;;;;7991
2958;Total sales;107 Manufacture of bakery products;2023 November;;;;7991
2959;Total sales;107 Manufacture of bakery products;2023 December;;;;7991
2960;Total sales;107 Manufacture of bakery products;2023;;;;7991
2961;Total sales;107 Manufacture of bakery products;2024 January;;;;7991
2962;Total sales;107 Manufacture of bakery products;2024 February;;;;7991
2963;Total sales;107 Manufacture of bakery products;2024 March;;;;7991
2964;Total sales;107 Manufacture of bakery products;2024 April;133.8;;;7991
2965;Total sales;107 Manufacture of bakery products;2024 May;133.7;0.0;;7991
2966;Total sales;107 Manufacture of bakery products;2024 June;134.4;0.5;;7991
2967;Total sales;107 Manufacture of bakery products;2024 July;134.8;0.3;;7991
2968;Total sales;107 Manufacture of bakery products;2024 August;135.4;0.4;;7991
2969;Total sales;107 Manufacture of bakery products;2024 September;135.6;0.2;;7991
2970;Total sales;107 Manufacture of bakery products;2024 October;134.7;-0.6;;7991
2971;Total sales;107 Manufacture of bakery products;2024 November;134.9;0.1;;7991
2972;Total sales;107 Manufacture of bakery products;2024 December;134.5;-0.3;;7991
2973;Total sales;107 Manufacture of bakery products;2024;134.4;;0.9;7991
2974;Total sales;107 Manufacture of bakery products;2025 January;135.5;0.7;;7991
2975;Total sales;107 Manufacture of bakery products;2025 February;135.5;0.0;;7991
2976;Total sales;1071 Manufacture of bread, fresh pastry;2018 January;95.8;;;4718
2977;Total sales;1071 Manufacture of bread, fresh pastry;2018 February;95.9;0.1;;4718
2978;Total sales;1071 Manufacture of bread, fresh pastry;2018 March;95.9;0.0;;4718
2979;Total sales;1071 Manufacture of bread, fresh pastry;2018 April;96.0;0.1;;4718
2980;Total sales;1071 Manufacture of bread, fresh pastry;2018 May;95.9;-0.1;;4718
2981;Total sales;1071 Manufacture of bread, fresh pastry;2018 June;96.0;0.1;;4718
2982;Total sales;1071 Manufacture of bread, fresh pastry;2018 July;96.5;0.5;;4718
2983;Total sales;1071 Manufacture of bread, fresh pastry;2018 August;96.6;0.1;;4718
2984;Total sales;1071 Manufacture of bread, fresh pastry;2018 September;96.6;0.0;;4718
2985;Total sales;1071 Manufacture of bread, fresh pastry;2018 October;96.5;-0.1;;4718
2986;Total sales;1071 Manufacture of bread, fresh pastry;2018 November;96.6;0.1;;4718
2987;Total sales;1071 Manufacture of bread, fresh pastry;2018 December;96.6;0.0;;4718
2988;Total sales;1071 Manufacture of bread, fresh pastry;2018;96.2;;;4718
2989;Total sales;1071 Manufacture of bread, fresh pastry;2019 January;97.9;1.4;2.2;4718
2990;Total sales;1071 Manufacture of bread, fresh pastry;2019 February;98.1;0.2;2.3;4718
2991;Total sales;1071 Manufacture of bread, fresh pastry;2019 March;98.1;0.0;2.3;4718
2992;Total sales;1071 Manufacture of bread, fresh pastry;2019 April;98.2;0.1;2.2;4718
2993;Total sales;1071 Manufacture of bread, fresh pastry;2019 May;98.2;0.1;2.4;4718
2994;Total sales;1071 Manufacture of bread, fresh pastry;2019 June;98.3;0.0;2.4;4718
2995;Total sales;1071 Manufacture of bread, fresh pastry;2019 July;98.4;0.2;2.0;4718
2996;Total sales;1071 Manufacture of bread, fresh pastry;2019 August;98.4;0.0;1.9;4718
2997;Total sales;1071 Manufacture of bread, fresh pastry;2019 September;98.5;0.1;1.9;4718
2998;Total sales;1071 Manufacture of bread, fresh pastry;2019 October;98.6;0.1;2.1;4718
2999;Total sales;1071 Manufacture of bread, fresh pastry;2019 November;98.5;0.0;2.0;4718
3000;Total sales;1071 Manufacture of bread, fresh pastry;2019 December;98.5;0.0;2.0;4718
3001;Total sales;1071 Manufacture of bread, fresh pastry;2019;98.3;;2.1;4718
3002;Total sales;1071 Manufacture of bread, fresh pastry;2020 January;98.9;0.4;1.0;4718
3003;Total sales;1071 Manufacture of bread, fresh pastry;2020 February;98.9;0.0;0.8;4718
3004;Total sales;1071 Manufacture of bread, fresh pastry;2020 March;98.8;-0.1;0.7;4718
3005;Total sales;1071 Manufacture of bread, fresh pastry;2020 April;99.1;0.3;0.9;4718
3006;Total sales;1071 Manufacture of bread, fresh pastry;2020 May;99.1;0.0;0.9;4718
3007;Total sales;1071 Manufacture of bread, fresh pastry;2020 June;99.0;-0.1;0.8;4718
3008;Total sales;1071 Manufacture of bread, fresh pastry;2020 July;98.7;-0.3;0.3;4718
3009;Total sales;1071 Manufacture of bread, fresh pastry;2020 August;98.7;0.0;0.3;4718
3010;Total sales;1071 Manufacture of bread, fresh pastry;2020 September;98.6;-0.1;0.1;4718
3011;Total sales;1071 Manufacture of bread, fresh pastry;2020 October;99.3;0.7;0.8;4718
3012;Total sales;1071 Manufacture of bread, fresh pastry;2020 November;99.1;-0.2;0.6;4718
3013;Total sales;1071 Manufacture of bread, fresh pastry;2020 December;99.1;-0.1;0.6;4718
3014;Total sales;1071 Manufacture of bread, fresh pastry;2020;98.9;;0.7;4718
3015;Total sales;1071 Manufacture of bread, fresh pastry;2021 January;99.3;0.2;0.4;4718
3016;Total sales;1071 Manufacture of bread, fresh pastry;2021 February;99.4;0.1;0.5;4718
3017;Total sales;1071 Manufacture of bread, fresh pastry;2021 March;99.4;0.0;0.6;4718
3018;Total sales;1071 Manufacture of bread, fresh pastry;2021 April;99.7;0.4;0.7;4718
3019;Total sales;1071 Manufacture of bread, fresh pastry;2021 May;99.7;0.0;0.6;4718
3020;Total sales;1071 Manufacture of bread, fresh pastry;2021 June;99.8;0.1;0.8;4718
3021;Total sales;1071 Manufacture of bread, fresh pastry;2021 July;99.9;0.0;1.2;4718
3022;Total sales;1071 Manufacture of bread, fresh pastry;2021 August;99.9;0.0;1.2;4718
3023;Total sales;1071 Manufacture of bread, fresh pastry;2021 September;99.9;0.0;1.3;4718
3024;Total sales;1071 Manufacture of bread, fresh pastry;2021 October;100.7;0.8;1.4;4718
3025;Total sales;1071 Manufacture of bread, fresh pastry;2021 November;101.0;0.3;1.9;4718
3026;Total sales;1071 Manufacture of bread, fresh pastry;2021 December;101.3;0.2;2.2;4718
3027;Total sales;1071 Manufacture of bread, fresh pastry;2021;100.0;;1.1;4718
3028;Total sales;1071 Manufacture of bread, fresh pastry;2022 January;105.8;4.4;6.5;4718
3029;Total sales;1071 Manufacture of bread, fresh pastry;2022 February;106.6;0.8;7.3;4718
3030;Total sales;1071 Manufacture of bread, fresh pastry;2022 March;107.3;0.7;8.0;4718
3031;Total sales;1071 Manufacture of bread, fresh pastry;2022 April;109.3;1.8;9.5;4718
3032;Total sales;1071 Manufacture of bread, fresh pastry;2022 May;110.1;0.8;10.4;4718
3033;Total sales;1071 Manufacture of bread, fresh pastry;2022 June;111.6;1.3;11.8;4718
3034;Total sales;1071 Manufacture of bread, fresh pastry;2022 July;112.4;0.7;12.6;4718
3035;Total sales;1071 Manufacture of bread, fresh pastry;2022 August;113.5;1.0;13.6;4718
3036;Total sales;1071 Manufacture of bread, fresh pastry;2022 September;113.9;0.4;14.0;4718
3037;Total sales;1071 Manufacture of bread, fresh pastry;2022 October;117.0;2.7;16.2;4718
3038;Total sales;1071 Manufacture of bread, fresh pastry;2022 November;118.8;1.5;17.6;4718
3039;Total sales;1071 Manufacture of bread, fresh pastry;2022 December;120.3;1.3;18.8;4718
3040;Total sales;1071 Manufacture of bread, fresh pastry;2022;112.2;;12.2;4718
3041;Total sales;1071 Manufacture of bread, fresh pastry;2023 January;130.2;8.2;23.1;4718
3042;Total sales;1071 Manufacture of bread, fresh pastry;2023 February;131.9;1.3;23.8;4718
3043;Total sales;1071 Manufacture of bread, fresh pastry;2023 March;131.7;-0.1;22.7;4718
3044;Total sales;1071 Manufacture of bread, fresh pastry;2023 April;132.0;0.2;20.8;4718
3045;Total sales;1071 Manufacture of bread, fresh pastry;2023 May;131.7;-0.2;19.6;4718
3046;Total sales;1071 Manufacture of bread, fresh pastry;2023 June;132.6;0.7;18.9;4718
3047;Total sales;1071 Manufacture of bread, fresh pastry;2023 July;131.2;-1.1;16.7;4718
3048;Total sales;1071 Manufacture of bread, fresh pastry;2023 August;132.7;1.1;16.9;4718
3049;Total sales;1071 Manufacture of bread, fresh pastry;2023 September;132.5;-0.1;16.3;4718
3050;Total sales;1071 Manufacture of bread, fresh pastry;2023 October;131.4;-0.8;12.4;4718
3051;Total sales;1071 Manufacture of bread, fresh pastry;2023 November;130.3;-0.9;9.7;4718
3052;Total sales;1071 Manufacture of bread, fresh pastry;2023 December;130.3;0.0;8.3;4718
3053;Total sales;1071 Manufacture of bread, fresh pastry;2023;131.5;;17.2;4718
3054;Total sales;1071 Manufacture of bread, fresh pastry;2024 January;131.6;1.0;1.1;4718
3055;Total sales;1071 Manufacture of bread, fresh pastry;2024 February;132.2;0.5;0.3;4718
3056;Total sales;1071 Manufacture of bread, fresh pastry;2024 March;132.2;0.0;0.4;4718
3057;Total sales;1071 Manufacture of bread, fresh pastry;2024 April;131.9;-0.2;0.0;4718
3058;Total sales;1071 Manufacture of bread, fresh pastry;2024 May;131.9;0.0;0.2;4718
3059;Total sales;1071 Manufacture of bread, fresh pastry;2024 June;132.4;0.4;-0.2;4718
3060;Total sales;1071 Manufacture of bread, fresh pastry;2024 July;132.8;0.3;1.2;4718
3061;Total sales;1071 Manufacture of bread, fresh pastry;2024 August;133.6;0.6;0.7;4718
3062;Total sales;1071 Manufacture of bread, fresh pastry;2024 September;134.1;0.4;1.2;4718
3063;Total sales;1071 Manufacture of bread, fresh pastry;2024 October;133.0;-0.8;1.2;4718
3064;Total sales;1071 Manufacture of bread, fresh pastry;2024 November;133.0;0.0;2.1;4718
3065;Total sales;1071 Manufacture of bread, fresh pastry;2024 December;132.7;-0.3;1.8;4718
3066;Total sales;1071 Manufacture of bread, fresh pastry;2024;132.6;;0.8;4718
3067;Total sales;1071 Manufacture of bread, fresh pastry;2025 January;133.4;0.5;1.3;4718
3068;Total sales;1071 Manufacture of bread, fresh pastry;2025 February;133.4;0.1;0.9;4718
3069;Total sales;1072 Manufacture of preserved pastry;2018 January;98.6;;;3232
3070;Total sales;1072 Manufacture of preserved pastry;2018 February;98.7;0.1;;3232
3071;Total sales;1072 Manufacture of preserved pastry;2018 March;98.7;0.0;;3232
3072;Total sales;1072 Manufacture of preserved pastry;2018 April;98.8;0.1;;3232
3073;Total sales;1072 Manufacture of preserved pastry;2018 May;98.8;0.0;;3232
3074;Total sales;1072 Manufacture of preserved pastry;2018 June;98.9;0.1;;3232
3075;Total sales;1072 Manufacture of preserved pastry;2018 July;94.9;-4.1;;3232
3076;Total sales;1072 Manufacture of preserved pastry;2018 August;94.9;0.0;;3232
3077;Total sales;1072 Manufacture of preserved pastry;2018 September;95.0;0.1;;3232
3078;Total sales;1072 Manufacture of preserved pastry;2018 October;95.5;0.5;;3232
3079;Total sales;1072 Manufacture of preserved pastry;2018 November;95.6;0.2;;3232
3080;Total sales;1072 Manufacture of preserved pastry;2018 December;95.7;0.0;;3232
3081;Total sales;1072 Manufacture of preserved pastry;2018;97.0;;;3232
3082;Total sales;1072 Manufacture of preserved pastry;2019 January;97.3;1.7;-1.3;3232
3083;Total sales;1072 Manufacture of preserved pastry;2019 February;97.6;0.2;-1.1;3232
3084;Total sales;1072 Manufacture of preserved pastry;2019 March;97.7;0.1;-1.0;3232
3085;Total sales;1072 Manufacture of preserved pastry;2019 April;97.7;0.0;-1.1;3232
3086;Total sales;1072 Manufacture of preserved pastry;2019 May;97.8;0.1;-1.0;3232
3087;Total sales;1072 Manufacture of preserved pastry;2019 June;97.8;0.0;-1.1;3232
3088;Total sales;1072 Manufacture of preserved pastry;2019 July;97.5;-0.3;2.7;3232
3089;Total sales;1072 Manufacture of preserved pastry;2019 August;97.5;0.1;2.8;3232
3090;Total sales;1072 Manufacture of preserved pastry;2019 September;97.6;0.1;2.8;3232
3091;Total sales;1072 Manufacture of preserved pastry;2019 October;97.7;0.1;2.3;3232
3092;Total sales;1072 Manufacture of preserved pastry;2019 November;97.7;0.0;2.1;3232
3093;Total sales;1072 Manufacture of preserved pastry;2019 December;97.7;0.1;2.2;3232
3094;Total sales;1072 Manufacture of preserved pastry;2019;97.6;;0.6;3232
3095;Total sales;1072 Manufacture of preserved pastry;2020 January;98.5;0.8;1.2;3232
3096;Total sales;1072 Manufacture of preserved pastry;2020 February;98.5;-0.1;0.9;3232
3097;Total sales;1072 Manufacture of preserved pastry;2020 March;98.4;-0.1;0.8;3232
3098;Total sales;1072 Manufacture of preserved pastry;2020 April;99.3;0.9;1.7;3232
3099;Total sales;1072 Manufacture of preserved pastry;2020 May;99.3;0.0;1.6;3232
3100;Total sales;1072 Manufacture of preserved pastry;2020 June;99.4;0.1;1.6;3232
3101;Total sales;1072 Manufacture of preserved pastry;2020 July;99.3;-0.1;1.8;3232
3102;Total sales;1072 Manufacture of preserved pastry;2020 August;99.2;-0.1;1.7;3232
3103;Total sales;1072 Manufacture of preserved pastry;2020 September;99.1;-0.1;1.6;3232
3104;Total sales;1072 Manufacture of preserved pastry;2020 October;99.4;0.3;1.7;3232
3105;Total sales;1072 Manufacture of preserved pastry;2020 November;99.1;-0.3;1.5;3232
3106;Total sales;1072 Manufacture of preserved pastry;2020 December;99.0;-0.1;1.3;3232
3107;Total sales;1072 Manufacture of preserved pastry;2020;99.0;;1.5;3232
3108;Total sales;1072 Manufacture of preserved pastry;2021 January;99.2;0.2;0.6;3232
3109;Total sales;1072 Manufacture of preserved pastry;2021 February;99.1;0.0;0.7;3232
3110;Total sales;1072 Manufacture of preserved pastry;2021 March;99.1;-0.1;0.7;3232
3111;Total sales;1072 Manufacture of preserved pastry;2021 April;99.9;0.8;0.5;3232
3112;Total sales;1072 Manufacture of preserved pastry;2021 May;99.8;-0.1;0.5;3232
3113;Total sales;1072 Manufacture of preserved pastry;2021 June;99.9;0.2;0.6;3232
3114;Total sales;1072 Manufacture of preserved pastry;2021 July;99.8;-0.2;0.5;3232
3115;Total sales;1072 Manufacture of preserved pastry;2021 August;99.9;0.1;0.7;3232
3116;Total sales;1072 Manufacture of preserved pastry;2021 September;99.9;0.1;0.8;3232
3117;Total sales;1072 Manufacture of preserved pastry;2021 October;100.6;0.7;1.3;3232
3118;Total sales;1072 Manufacture of preserved pastry;2021 November;101.2;0.5;2.1;3232
3119;Total sales;1072 Manufacture of preserved pastry;2021 December;101.6;0.5;2.7;3232
3120;Total sales;1072 Manufacture of preserved pastry;2021;100.0;;1.0;3232
3121;Total sales;1072 Manufacture of preserved pastry;2022 January;106.1;4.4;7.0;3232
3122;Total sales;1072 Manufacture of preserved pastry;2022 February;106.6;0.4;7.5;3232
3123;Total sales;1072 Manufacture of preserved pastry;2022 March;107.1;0.5;8.1;3232
3124;Total sales;1072 Manufacture of preserved pastry;2022 April;109.6;2.3;9.8;3232
3125;Total sales;1072 Manufacture of preserved pastry;2022 May;111.4;1.6;11.6;3232
3126;Total sales;1072 Manufacture of preserved pastry;2022 June;111.9;0.5;12.0;3232
3127;Total sales;1072 Manufacture of preserved pastry;2022 July;113.3;1.2;13.5;3232
3128;Total sales;1072 Manufacture of preserved pastry;2022 August;114.6;1.1;14.7;3232
3129;Total sales;1072 Manufacture of preserved pastry;2022 September;115.4;0.7;15.4;3232
3130;Total sales;1072 Manufacture of preserved pastry;2022 October;118.8;3.0;18.0;3232
3131;Total sales;1072 Manufacture of preserved pastry;2022 November;119.6;0.7;18.3;3232
3132;Total sales;1072 Manufacture of preserved pastry;2022 December;120.0;0.3;18.1;3232
3133;Total sales;1072 Manufacture of preserved pastry;2022;112.9;;12.9;3232
3134;Total sales;1072 Manufacture of preserved pastry;2023 January;133.5;11.2;25.8;3232
3135;Total sales;1072 Manufacture of preserved pastry;2023 February;135.1;1.2;26.8;3232
3136;Total sales;1072 Manufacture of preserved pastry;2023 March;135.7;0.4;26.7;3232
3137;Total sales;1072 Manufacture of preserved pastry;2023 April;136.3;0.4;24.3;3232
3138;Total sales;1072 Manufacture of preserved pastry;2023 May;135.7;-0.4;21.8;3232
3139;Total sales;1072 Manufacture of preserved pastry;2023 June;135.7;0.0;21.3;3232
3140;Total sales;1072 Manufacture of preserved pastry;2023 July;136.0;0.2;20.1;3232
3141;Total sales;1072 Manufacture of preserved pastry;2023 August;136.1;0.0;18.8;3232
3142;Total sales;1072 Manufacture of preserved pastry;2023 September;136.2;0.1;18.1;3232
3143;Total sales;1072 Manufacture of preserved pastry;2023 October;136.0;-0.2;14.5;3232
3144;Total sales;1072 Manufacture of preserved pastry;2023 November;134.9;-0.8;12.7;3232
3145;Total sales;1072 Manufacture of preserved pastry;2023 December;135.0;0.1;12.5;3232
3146;Total sales;1072 Manufacture of preserved pastry;2023;135.5;;20.1;3232
3147;Total sales;1072 Manufacture of preserved pastry;2024 January;135.5;0.4;1.5;3232
3148;Total sales;1072 Manufacture of preserved pastry;2024 February;136.4;0.6;0.9;3232
3149;Total sales;1072 Manufacture of preserved pastry;2024 March;136.0;-0.2;0.2;3232
3150;Total sales;1072 Manufacture of preserved pastry;2024 April;136.2;0.1;-0.1;3232
3151;Total sales;1072 Manufacture of preserved pastry;2024 May;136.1;-0.1;0.3;3232
3152;Total sales;1072 Manufacture of preserved pastry;2024 June;137.1;0.8;1.0;3232
3153;Total sales;1072 Manufacture of preserved pastry;2024 July;137.4;0.2;1.0;3232
3154;Total sales;1072 Manufacture of preserved pastry;2024 August;137.7;0.2;1.2;3232
3155;Total sales;1072 Manufacture of preserved pastry;2024 September;137.4;-0.2;0.9;3232
3156;Total sales;1072 Manufacture of preserved pastry;2024 October;136.8;-0.4;0.6;3232
3157;Total sales;1072 Manufacture of preserved pastry;2024 November;137.3;0.4;1.8;3232
3158;Total sales;1072 Manufacture of preserved pastry;2024 December;136.9;-0.3;1.4;3232
3159;Total sales;1072 Manufacture of preserved pastry;2024;136.7;;0.9;3232
3160;Total sales;1072 Manufacture of preserved pastry;2025 January;138.3;1.0;2.0;3232
3161;Total sales;1072 Manufacture of preserved pastry;2025 February;138.3;0.0;1.4;3232
3162;Total sales;1073 Manufacture of farinaceous products;2018 January;97.0;;;41
3163;Total sales;1073 Manufacture of farinaceous products;2018 February;97.3;0.4;;41
3164;Total sales;1073 Manufacture of farinaceous products;2018 March;97.3;0.0;;41
3165;Total sales;1073 Manufacture of farinaceous products;2018 April;98.3;1.0;;41
3166;Total sales;1073 Manufacture of farinaceous products;2018 May;97.5;-0.8;;41
3167;Total sales;1073 Manufacture of farinaceous products;2018 June;97.6;0.1;;41
3168;Total sales;1073 Manufacture of farinaceous products;2018 July;97.4;-0.2;;41
3169;Total sales;1073 Manufacture of farinaceous products;2018 August;98.0;0.6;;41
3170;Total sales;1073 Manufacture of farinaceous products;2018 September;97.9;-0.1;;41
3171;Total sales;1073 Manufacture of farinaceous products;2018 October;97.5;-0.5;;41
3172;Total sales;1073 Manufacture of farinaceous products;2018 November;97.5;0.1;;41
3173;Total sales;1073 Manufacture of farinaceous products;2018 December;97.5;0.0;;41
3174;Total sales;1073 Manufacture of farinaceous products;2018;97.6;;;41
3175;Total sales;1073 Manufacture of farinaceous products;2019 January;98.3;0.8;1.4;41
3176;Total sales;1073 Manufacture of farinaceous products;2019 February;98.4;0.1;1.1;41
3177;Total sales;1073 Manufacture of farinaceous products;2019 March;98.4;0.0;1.1;41
3178;Total sales;1073 Manufacture of farinaceous products;2019 April;98.9;0.5;0.6;41
3179;Total sales;1073 Manufacture of farinaceous products;2019 May;98.9;0.0;1.4;41
3180;Total sales;1073 Manufacture of farinaceous products;2019 June;98.9;0.0;1.3;41
3181;Total sales;1073 Manufacture of farinaceous products;2019 July;99.2;0.3;1.8;41
3182;Total sales;1073 Manufacture of farinaceous products;2019 August;99.2;0.0;1.2;41
3183;Total sales;1073 Manufacture of farinaceous products;2019 September;99.2;0.0;1.3;41
3184;Total sales;1073 Manufacture of farinaceous products;2019 October;99.2;0.0;1.8;41
3185;Total sales;1073 Manufacture of farinaceous products;2019 November;99.2;0.0;1.7;41
3186;Total sales;1073 Manufacture of farinaceous products;2019 December;99.2;0.0;1.7;41
3187;Total sales;1073 Manufacture of farinaceous products;2019;98.9;;1.4;41
3188;Total sales;1073 Manufacture of farinaceous products;2020 January;99.0;-0.2;0.7;41
3189;Total sales;1073 Manufacture of farinaceous products;2020 February;99.0;0.0;0.6;41
3190;Total sales;1073 Manufacture of farinaceous products;2020 March;99.0;0.0;0.6;41
3191;Total sales;1073 Manufacture of farinaceous products;2020 April;99.2;0.2;0.4;41
3192;Total sales;1073 Manufacture of farinaceous products;2020 May;99.1;-0.1;0.3;41
3193;Total sales;1073 Manufacture of farinaceous products;2020 June;99.2;0.0;0.3;41
3194;Total sales;1073 Manufacture of farinaceous products;2020 July;;;;41
3195;Total sales;1073 Manufacture of farinaceous products;2020 August;;;;41
3196;Total sales;1073 Manufacture of farinaceous products;2020 September;;;;41
3197;Total sales;1073 Manufacture of farinaceous products;2020 October;;;;41
3198;Total sales;1073 Manufacture of farinaceous products;2020 November;;;;41
3199;Total sales;1073 Manufacture of farinaceous products;2020 December;;;;41
3200;Total sales;1073 Manufacture of farinaceous products;2020;;;;41
3201;Total sales;1073 Manufacture of farinaceous products;2021 January;;;;41
3202;Total sales;1073 Manufacture of farinaceous products;2021 February;;;;41
3203;Total sales;1073 Manufacture of farinaceous products;2021 March;;;;41
3204;Total sales;1073 Manufacture of farinaceous products;2021 April;;;;41
3205;Total sales;1073 Manufacture of farinaceous products;2021 May;;;;41
3206;Total sales;1073 Manufacture of farinaceous products;2021 June;;;;41
3207;Total sales;1073 Manufacture of farinaceous products;2021 July;;;;41
3208;Total sales;1073 Manufacture of farinaceous products;2021 August;;;;41
3209;Total sales;1073 Manufacture of farinaceous products;2021 September;;;;41
3210;Total sales;1073 Manufacture of farinaceous products;2021 October;;;;41
3211;Total sales;1073 Manufacture of farinaceous products;2021 November;;;;41
3212;Total sales;1073 Manufacture of farinaceous products;2021 December;;;;41
3213;Total sales;1073 Manufacture of farinaceous products;2021;;;;41
3214;Total sales;1073 Manufacture of farinaceous products;2022 January;;;;41
3215;Total sales;1073 Manufacture of farinaceous products;2022 February;;;;41
3216;Total sales;1073 Manufacture of farinaceous products;2022 March;;;;41
3217;Total sales;1073 Manufacture of farinaceous products;2022 April;;;;41
3218;Total sales;1073 Manufacture of farinaceous products;2022 May;;;;41
3219;Total sales;1073 Manufacture of farinaceous products;2022 June;;;;41
3220;Total sales;1073 Manufacture of farinaceous products;2022 July;;;;41
3221;Total sales;1073 Manufacture of farinaceous products;2022 August;;;;41
3222;Total sales;1073 Manufacture of farinaceous products;2022 September;;;;41
3223;Total sales;1073 Manufacture of farinaceous products;2022 October;;;;41
3224;Total sales;1073 Manufacture of farinaceous products;2022 November;;;;41
3225;Total sales;1073 Manufacture of farinaceous products;2022 December;;;;41
3226;Total sales;1073 Manufacture of farinaceous products;2022;;;;41
3227;Total sales;1073 Manufacture of farinaceous products;2023 January;;;;41
3228;Total sales;1073 Manufacture of farinaceous products;2023 February;;;;41
3229;Total sales;1073 Manufacture of farinaceous products;2023 March;;;;41
3230;Total sales;1073 Manufacture of farinaceous products;2023 April;;;;41
3231;Total sales;1073 Manufacture of farinaceous products;2023 May;;;;41
3232;Total sales;1073 Manufacture of farinaceous products;2023 June;;;;41
3233;Total sales;1073 Manufacture of farinaceous products;2023 July;;;;41
3234;Total sales;1073 Manufacture of farinaceous products;2023 August;;;;41
3235;Total sales;1073 Manufacture of farinaceous products;2023 September;;;;41
3236;Total sales;1073 Manufacture of farinaceous products;2023 October;;;;41
3237;Total sales;1073 Manufacture of farinaceous products;2023 November;;;;41
3238;Total sales;1073 Manufacture of farinaceous products;2023 December;;;;41
3239;Total sales;1073 Manufacture of farinaceous products;2023;;;;41
3240;Total sales;1073 Manufacture of farinaceous products;2024 January;;;;41
3241;Total sales;1073 Manufacture of farinaceous products;2024 February;;;;41
3242;Total sales;1073 Manufacture of farinaceous products;2024 March;;;;41
3243;Total sales;1073 Manufacture of farinaceous products;2024 April;154.7;;;41
3244;Total sales;1073 Manufacture of farinaceous products;2024 May;154.7;0.1;;41
