ID;LeeftijdOp31December;RegioS;Perioden;MannenEnVrouwen_1;Mannen_2;Vrouwen_3;MannenEnVrouwen_4;Mannen_5;Vrouwen_6;MannenEnVrouwen_7;Mannen_8;Vrouwen_9;MannenEnVrouwen_10;Mannen_11;Vrouwen_12;MannenEnVrouwen_13;Mannen_14;Vrouwen_15
65;Totaal;Oost-Nederland (LD);2016;3593552.5;1788364.0;1805188.5;1673017.0;893264.5;779752.5;1492087.5;746103.5;745984.0;183252.0;41623.5;141628.5;245196.0;107372.5;137823.5
66;Totaal;West-Nederland (LD);1995;7228606.0;3551657.0;3676949.0;3238869.5;1719269.0;1519600.5;3160280.5;1583495.5;1576785.0;415461.5;70904.5;344557.0;413994.5;177988.0;236006.5
67;Totaal;West-Nederland (LD);1996;7253267.0;3563150.0;3690117.0;3268269.5;1734471.5;1533798.0;3141256.0;1573163.0;1568093.0;414788.5;71359.5;343429.0;428952.5;184156.0;244796.5
68;Totaal;West-Nederland (LD);1997;7285285.5;3578740.5;3706545.0;3300110.5;1750877.0;1549233.5;3129655.5;1567087.5;1562568.0;413593.5;71768.0;341825.5;441926.0;189008.0;252918.0
69;Totaal;West-Nederland (LD);1998;7327471.5;3600010.0;3727461.5;3335985.0;1769225.5;1566759.5;3127118.5;1566247.0;1560871.5;405450.5;70880.5;334570.0;458917.5;193657.0;265260.5
70;Totaal;West-Nederland (LD);1999;7373517.0;3623681.0;3749836.0;3372811.5;1788262.0;1584549.5;3128394.0;1566993.0;1561401.0;403485.5;70898.0;332587.5;468826.0;197528.0;271298.0
71;Totaal;West-Nederland (LD);2000;7422014.5;3649471.0;3772543.5;3412343.0;1809105.5;1603237.5;3129568.5;1567565.5;1562003.0;407808.5;72104.5;335704.0;472294.5;200695.5;271599.0
72;Totaal;West-Nederland (LD);2001;7474316.5;3677177.0;3797139.5;3459226.5;1833320.5;1625906.0;3124639.0;1565383.5;1559255.5;405993.5;72647.5;333346.0;484457.5;205825.5;278632.0
73;Totaal;West-Nederland (LD);2002;7522042.5;3701956.0;3820086.5;3505326.0;1856565.0;1648761.0;3117290.5;1561939.0;1555351.5;403566.5;73014.0;330552.5;495859.5;210438.0;285421.5
74;Totaal;West-Nederland (LD);2003;7562080.5;3721511.0;3840569.5;3544866.5;1875457.5;1669409.0;3113288.5;1559825.0;1553463.5;400711.0;73342.5;327368.5;503214.5;212886.0;290328.5
75;Totaal;West-Nederland (LD);2004;7594623.0;3736370.5;3858252.5;3580538.0;1891679.0;1688859.0;3105256.0;1555519.0;1549737.0;398337.5;73767.5;324570.0;510491.5;215405.0;295086.5
76;Totaal;West-Nederland (LD);2005;7617218.5;3746159.5;3871059.0;3611694.5;1905548.0;1706146.5;3090796.5;1548004.5;1542792.0;396084.0;74143.0;321941.0;518643.5;218464.0;300179.5
77;Totaal;West-Nederland (LD);2006;7632476.0;3752956.5;3879519.5;3637804.0;1917179.0;1720625.0;3074756.0;1539903.5;1534852.5;393397.5;74476.0;318921.5;526518.5;221398.0;305120.5
78;Totaal;West-Nederland (LD);2007;7654400.5;3763830.0;3890570.5;3668222.0;1931597.5;1736624.5;3061166.0;1533150.5;1528015.5;390619.5;74666.5;315953.0;534393.0;224415.5;309977.5
79;Totaal;West-Nederland (LD);2008;7694694.5;3785161.0;3909533.5;3710966.5;1953277.5;1757689.0;3053319.5;1529389.0;1523930.5;388054.5;74960.5;313094.0;542354.0;227534.0;314820.0
80;Totaal;West-Nederland (LD);2009;7748435.0;3813828.5;3934606.5;3746681.5;1971938.0;1774743.5;3053058.5;1529469.5;1523589.0;386161.5;75627.5;310534.0;562533.5;236793.5;325740.0
81;Totaal;West-Nederland (LD);2010;7803569.5;3841800.0;3961769.5;3779976.5;1988491.0;1791485.5;3056219.0;1531156.5;1525062.5;384923.0;76393.0;308530.0;582451.0;245759.5;336691.5
82;Totaal;West-Nederland (LD);2011;7855439.0;3868145.5;3987293.5;3823715.5;2010068.5;1813647.0;3057845.0;1532130.0;1525715.0;383627.0;77266.0;306361.0;590251.5;248681.0;341570.5
83;Totaal;West-Nederland (LD);2012;7897679.5;3889299.5;4008380.0;3862388.0;2028669.0;1833719.0;3054427.0;1530415.0;1524012.0;381972.5;78097.0;303875.5;598892.0;252118.5;346773.5
84;Totaal;West-Nederland (LD);2013;7933650.0;3907052.5;4026597.5;3898227.5;2045838.5;1852389.0;3046194.0;1526132.0;1520062.0;380321.5;78845.5;301476.0;608907.0;256236.5;352670.5
85;Totaal;West-Nederland (LD);2014;7979466.0;3930505.0;4048961.0;3942224.5;2067704.5;1874520.0;3037172.0;1521583.0;1515589.0;379084.0;79803.5;299280.5;620985.5;261414.0;359571.5
86;Totaal;West-Nederland (LD);2015;8034130.0;3959171.0;4074959.0;3993558.5;2093776.5;1899782.0;3029670.0;1517912.0;1511758.0;377694.0;80715.0;296979.0;633207.5;266767.5;366440.0
87;Totaal;West-Nederland (LD);2016;8093899.5;3991585.0;4102314.5;4046264.5;2121530.5;1924734.0;3027523.5;1517084.0;1510439.5;376295.0;81680.0;294615.0;643816.5;271290.5;372526.0
88;Totaal;Zuid-Nederland (LD);1995;3415175.0;1703986.5;1711188.5;1423416.0;771091.5;652324.5;1660503.5;830553.0;829950.5;182352.5;34736.0;147616.5;148903.0;67606.0;81297.0
89;Totaal;Zuid-Nederland (LD);1996;3432193.0;1712150.0;1720043.0;1433988.5;776949.5;657039.0;1658491.5;829500.5;828991.0;184471.5;35338.0;149133.5;155240.0;70361.5;84878.5
90;Totaal;Zuid-Nederland (LD);1997;3448745.0;1719831.0;1728914.0;1444127.5;782350.5;661777.0;1656858.0;828681.5;828176.5;186570.5;35934.5;150636.0;161189.0;72864.5;88324.5
91;Totaal;Zuid-Nederland (LD);1998;3467104.0;1728728.5;1738375.5;1454809.5;788012.5;666797.0;1657764.5;829283.0;828481.5;186780.0;36247.5;150532.5;167750.0;75185.5;92564.5
92;Totaal;Zuid-Nederland (LD);1999;3487103.5;1738566.0;1748537.5;1466274.0;794104.0;672170.0;1659647.0;830337.5;829309.5;188074.0;36698.5;151375.5;173108.5;77426.0;95682.5
93;Totaal;Zuid-Nederland (LD);2000;3507495.5;1748621.5;1758874.0;1479210.5;800907.5;678303.0;1659886.0;830540.5;829345.5;190720.0;37388.5;153331.5;177697.0;79803.0;97894.0
94;Totaal;Zuid-Nederland (LD);2001;3526107.0;1758099.0;1768008.0;1493643.0;808625.5;685017.5;1656207.0;828806.5;827400.5;191970.5;37995.5;153975.0;184286.5;82671.5;101615.0
95;Totaal;Zuid-Nederland (LD);2002;3538253.0;1763924.0;1774329.0;1505618.0;814675.0;690943.0;1649678.5;825553.0;824125.5;192898.0;38604.0;154294.0;190058.5;85092.0;104966.5
96;Totaal;Zuid-Nederland (LD);2003;3544208.0;1766233.0;1777975.0;1513967.5;818585.0;695382.5;1641845.5;821557.5;820288.0;193746.5;39188.5;154558.0;194648.5;86902.0;107746.5
97;Totaal;Zuid-Nederland (LD);2004;3547191.5;1766914.5;1780277.0;1521429.0;822004.5;699424.5;1631568.5;816334.5;815234.0;194797.0;39785.0;155012.0;199397.0;88790.5;110606.5
98;Totaal;Zuid-Nederland (LD);2005;3547969.0;1766574.5;1781394.5;1528041.5;824968.5;703073.0;1619756.0;810413.5;809342.5;195735.0;40338.5;155396.5;204436.5;90854.0;113582.5
99;Totaal;Zuid-Nederland (LD);2006;3547365.5;1765987.0;1781378.5;1533586.5;827690.5;705896.0;1607595.5;804373.0;803222.5;196492.0;40846.5;155645.5;209691.5;93077.0;116614.5
100;Totaal;Zuid-Nederland (LD);2007;3547689.5;1766044.5;1781645.0;1539340.5;830666.5;708674.0;1596210.5;798691.0;797519.5;197251.0;41410.0;155841.0;214887.5;95277.0;119610.5
101;Totaal;Zuid-Nederland (LD);2008;3552848.0;1768927.0;1783921.0;1547998.5;835336.5;712662.0;1587114.5;794158.0;792956.5;197797.0;42024.5;155772.5;219938.0;97408.0;122530.0
102;Totaal;Zuid-Nederland (LD);2009;3562011.5;1773964.0;1788047.5;1554054.0;838910.0;715144.0;1579651.0;790445.5;789205.5;198461.5;42667.5;155794.0;229845.0;101941.0;127904.0
103;Totaal;Zuid-Nederland (LD);2010;3571850.5;1779156.5;1792694.0;1560222.5;842366.5;717856.0;1572314.0;786798.0;785516.0;199464.0;43419.0;156045.0;239850.0;106573.0;133277.0
104;Totaal;Zuid-Nederland (LD);2011;3581801.5;1784333.5;1797468.0;1571449.0;848134.5;723314.5;1564937.0;783114.5;781822.5;200357.0;44229.5;156127.5;245058.5;108855.0;136203.5
105;Totaal;Zuid-Nederland (LD);2012;3589831.5;1788677.5;1801154.0;1581928.0;853667.5;728260.5;1556163.0;778708.5;777454.5;201003.0;45003.5;155999.5;250737.5;111298.0;139439.5
106;Totaal;Zuid-Nederland (LD);2013;3596091.0;1792327.5;1803763.5;1592518.5;859374.0;733144.5;1545119.5;773151.5;771968.0;201604.5;45836.0;155768.5;256848.5;113966.0;142882.5
107;Totaal;Zuid-Nederland (LD);2014;3602986.0;1796331.0;1806655.0;1604045.0;865540.0;738505.0;1533163.0;767154.5;766008.5;202311.0;46731.5;155579.5;263467.0;116905.0;146562.0
108;Totaal;Zuid-Nederland (LD);2015;3610850.5;1801012.0;1809838.5;1615935.5;872087.5;743848.0;1522247.5;761717.5;760530.0;202749.5;47533.0;155216.5;269918.0;119674.0;150244.0
109;Totaal;Zuid-Nederland (LD);2016;3622543.0;1808042.5;1814500.5;1630104.5;880149.5;749955.0;1513839.0;757598.0;756241.0;203072.5;48257.0;154815.5;275527.0;122038.0;153489.0
110;Totaal;Groningen (PV);1995;558054.0;276105.5;281948.5;254757.0;137083.0;117674.0;242328.0;121228.0;121100.0;36131.0;6638.5;29492.5;24838.0;11156.0;13682.0
111;Totaal;Groningen (PV);1996;558118.5;276313.5;281805.0;255423.0;137565.0;117858.0;240776.5;120466.0;120310.5;35981.5;6610.5;29371.0;25937.5;11672.0;14265.5
112;Totaal;Groningen (PV);1997;558030.0;276285.5;281744.5;255962.0;137814.0;118148.0;239307.5;119730.0;119577.5;35827.0;6636.5;29190.5;26933.5;12105.0;14828.5
113;Totaal;Groningen (PV);1998;559002.5;276748.0;282254.5;257318.0;138432.0;118886.0;238133.5;119158.0;118975.5;35420.0;6630.0;28790.0;28131.0;12528.0;15603.0
114;Totaal;Groningen (PV);1999;561317.0;277976.0;283341.0;259625.5;139557.0;120068.5;237504.0;118870.5;118633.5;35256.5;6635.0;28621.5;28931.0;12913.5;16017.5
115;Totaal;Groningen (PV);2000;564567.5;279654.5;284913.0;262501.0;140994.0;121507.0;237367.5;118794.5;118573.0;35387.5;6685.0;28702.5;29311.5;13181.0;16130.5
116;Totaal;Groningen (PV);2001;568484.5;281753.5;286731.0;266150.0;142922.5;123227.5;236925.0;118585.5;118339.5;35205.5;6683.5;28522.0;30204.0;13562.0;16642.0
117;Totaal;Groningen (PV);2002;571738.5;283601.0;288137.5;269765.5;144863.5;124902.0;235923.5;118110.5;117813.0;34943.0;6685.0;28258.0;31106.5;13942.0;17164.5
118;Totaal;Groningen (PV);2003;573690.5;284771.5;288919.0;272850.0;146496.5;126353.5;234442.5;117377.5;117065.0;34603.5;6692.0;27911.5;31794.5;14205.5;17589.0
119;Totaal;Groningen (PV);2004;574728.0;285387.0;289341.0;275457.5;147802.5;127655.0;232608.5;116450.5;116158.0;34259.5;6680.5;27579.0;32402.5;14453.5;17949.0
120;Totaal;Groningen (PV);2005;574557.0;285316.5;289240.5;277052.0;148511.5;128540.5;230620.5;115444.5;115176.0;33959.5;6686.0;27273.5;32925.0;14674.5;18250.5
121;Totaal;Groningen (PV);2006;573828.0;284940.0;288888.0;278279.0;148978.0;129301.0;228407.5;114305.5;114102.0;33633.0;6707.5;26925.5;33508.5;14949.0;18559.5
122;Totaal;Groningen (PV);2007;573536.5;284734.5;288802.0;279888.5;149604.5;130284.0;226162.0;113153.5;113008.5;33366.0;6731.0;26635.0;34120.0;15245.5;18874.5
123;Totaal;Groningen (PV);2008;573775.5;284829.5;288946.0;281668.5;150365.0;131303.5;224333.5;112225.0;112108.5;33056.0;6747.0;26309.0;34717.5;15492.5;19225.0
124;Totaal;Groningen (PV);2009;575380.0;285738.0;289642.0;282920.5;150945.0;131975.5;223200.0;111672.0;111528.0;32768.0;6792.0;25976.0;36491.5;16329.0;20162.5
125;Totaal;Groningen (PV);2010;577852.0;287209.5;290642.5;284693.0;151912.0;132781.0;222208.5;111209.0;110999.5;32563.0;6866.5;25696.5;38387.5;17222.0;21165.5
126;Totaal;Groningen (PV);2011;579955.5;288339.0;291616.5;287574.0;153309.5;134264.5;220991.5;110592.0;110399.5;32308.5;6904.5;25404.0;39081.5;17533.0;21548.5
127;Totaal;Groningen (PV);2012;581290.0;289014.5;292275.5;290034.5;154454.5;135580.0;219375.0;109756.0;109619.0;32161.0;6979.5;25181.5;39719.5;17824.5;21895.0
128;Totaal;Groningen (PV);2013;582216.5;289547.5;292669.0;292561.0;155692.5;136868.5;217194.5;108640.5;108554.0;31991.0;7078.0;24913.0;40470.0;18136.5;22333.5
129;Totaal;Groningen (PV);2014;583335.0;290330.0;293005.0;295342.0;157123.5;138218.5;214920.5;107510.5;107410.0;31704.5;7130.5;24574.0;41368.0;18565.5;22802.5
130;Totaal;Groningen (PV);2015;583831.5;290949.0;292882.5;297283.5;158248.5;139035.0;212810.0;106472.0;106338.0;31450.0;7198.5;24251.5;42288.0;19030.0;23258.0
131;Totaal;Groningen (PV);2016;583651.0;291174.5;292476.5;298633.0;159066.5;139566.5;210849.5;105479.0;105370.5;31206.0;7296.5;23909.5;42962.5;19332.5;23630.0
132;Totaal;Friesland (PV);1995;610803.5;304433.5;306370.0;266668.5;145258.5;121410.0;283788.5;141867.0;141921.5;37081.0;6816.5;30264.5;23265.5;10491.5;12774.0
