ID;CharacteristicOfExporter;Periods;ExportGrowth_1;ContributionToTotalExportGrowth_2
543;49 Land transport;2016;88842.0;0.0
544;49 Land transport;2017;56316.0;0.0
545;49 Land transport;2018;-15727.0;0.0
546;49 Land transport;2019;90494.0;0.0
547;49 Land transport;2020;-14824.0;0.0
548;49 Land transport;2021;828581.0;0.2
549;49 Land transport;2022;;
550;50 Water transport;2012;81469.0;0.0
551;50 Water transport;2013;59738.0;0.0
552;50 Water transport;2014;-192032.0;0.0
553;50 Water transport;2015;;
554;50 Water transport;2016;26636.0;0.0
555;50 Water transport;2017;47704.0;0.0
556;50 Water transport;2018;9874.0;0.0
557;50 Water transport;2019;65058.0;0.0
558;50 Water transport;2020;113058.0;0.0
559;50 Water transport;2021;141067.0;0.0
560;50 Water transport;2022;;
561;51 Air transport;2012;-86586.0;0.0
562;51 Air transport;2013;45778.0;0.0
563;51 Air transport;2014;-72022.0;0.0
564;51 Air transport;2015;;
565;51 Air transport;2016;206440.0;0.0
566;51 Air transport;2017;736879.0;0.2
567;51 Air transport;2018;-2079.0;0.0
568;51 Air transport;2019;135890.0;0.0
569;51 Air transport;2020;-375096.0;-0.1
570;51 Air transport;2021;-130815.0;0.0
571;51 Air transport;2022;;
572;52 Warehousing, services for transport;2012;2849426.0;0.7
573;52 Warehousing, services for transport;2013;1487184.0;0.3
574;52 Warehousing, services for transport;2014;-1965250.0;-0.5
575;52 Warehousing, services for transport;2015;;
576;52 Warehousing, services for transport;2016;401347.0;0.1
577;52 Warehousing, services for transport;2017;-2049025.0;-0.5
578;52 Warehousing, services for transport;2018;-460838.0;-0.1
579;52 Warehousing, services for transport;2019;1880771.0;0.4
580;52 Warehousing, services for transport;2020;869457.0;0.2
581;52 Warehousing, services for transport;2021;11724122.0;2.4
582;52 Warehousing, services for transport;2022;;
583;53 Postal and courier activities;2012;14611.0;0.0
584;53 Postal and courier activities;2013;5419.0;0.0
585;53 Postal and courier activities;2014;-17158.0;0.0
586;53 Postal and courier activities;2015;;
587;53 Postal and courier activities;2016;6065.0;0.0
588;53 Postal and courier activities;2017;31885.0;0.0
589;53 Postal and courier activities;2018;-21846.0;0.0
590;53 Postal and courier activities;2019;2164.0;0.0
591;53 Postal and courier activities;2020;14471.0;0.0
592;53 Postal and courier activities;2021;148258.0;0.0
593;53 Postal and courier activities;2022;;
594;I Accommodation and food serving;2012;1411.0;0.0
595;I Accommodation and food serving;2013;7339.0;0.0
596;I Accommodation and food serving;2014;66089.0;0.0
597;I Accommodation and food serving;2015;;
598;I Accommodation and food serving;2016;-7279.0;0.0
599;I Accommodation and food serving;2017;8152.0;0.0
600;I Accommodation and food serving;2018;-712.0;0.0
601;I Accommodation and food serving;2019;9078.0;0.0
602;I Accommodation and food serving;2020;-14478.0;0.0
603;I Accommodation and food serving;2021;4252.0;0.0
604;I Accommodation and food serving;2022;;
605;55 Accommodation;2012;-143.0;0.0
606;55 Accommodation;2013;-7783.0;0.0
607;55 Accommodation;2014;270.0;0.0
608;55 Accommodation;2015;;
609;55 Accommodation;2016;-367.0;0.0
610;55 Accommodation;2017;8670.0;0.0
611;55 Accommodation;2018;-886.0;0.0
612;55 Accommodation;2019;-1017.0;0.0
613;55 Accommodation;2020;-3952.0;0.0
614;55 Accommodation;2021;1517.0;0.0
615;55 Accommodation;2022;;
616;56 Food and beverage service activities;2012;1555.0;0.0
617;56 Food and beverage service activities;2013;15122.0;0.0
618;56 Food and beverage service activities;2014;65818.0;0.0
619;56 Food and beverage service activities;2015;;
620;56 Food and beverage service activities;2016;-6912.0;0.0
621;56 Food and beverage service activities;2017;-518.0;0.0
622;56 Food and beverage service activities;2018;174.0;0.0
623;56 Food and beverage service activities;2019;10094.0;0.0
624;56 Food and beverage service activities;2020;-10526.0;0.0
625;56 Food and beverage service activities;2021;2734.0;0.0
626;56 Food and beverage service activities;2022;;
627;J Information and communication;2012;-3364.0;0.0
628;J Information and communication;2013;130327.0;0.0
629;J Information and communication;2014;1014825.0;0.2
630;J Information and communication;2015;;
631;J Information and communication;2016;-703153.0;-0.2
632;J Information and communication;2017;349310.0;0.1
633;J Information and communication;2018;1074436.0;0.2
634;J Information and communication;2019;-139322.0;0.0
635;J Information and communication;2020;280003.0;0.1
636;J Information and communication;2021;648160.0;0.1
637;J Information and communication;2022;;
638;58 Publishing;2012;5280.0;0.0
639;58 Publishing;2013;-561.0;0.0
640;58 Publishing;2014;-15423.0;0.0
641;58 Publishing;2015;;
642;58 Publishing;2016;15042.0;0.0
643;58 Publishing;2017;-3319.0;0.0
644;58 Publishing;2018;-1745.0;0.0
645;58 Publishing;2019;9778.0;0.0
646;58 Publishing;2020;-980.0;0.0
647;58 Publishing;2021;1281.0;0.0
648;58 Publishing;2022;;
649;59 Film, TV and music production etc;2012;-8573.0;0.0
650;59 Film, TV and music production etc;2013;321.0;0.0
651;59 Film, TV and music production etc;2014;-4079.0;0.0
652;59 Film, TV and music production etc;2015;;
653;59 Film, TV and music production etc;2016;-750.0;0.0
654;59 Film, TV and music production etc;2017;9291.0;0.0
655;59 Film, TV and music production etc;2018;3121.0;0.0
656;59 Film, TV and music production etc;2019;12822.0;0.0
657;59 Film, TV and music production etc;2020;22517.0;0.0
658;59 Film, TV and music production etc;2021;-8896.0;0.0
659;59 Film, TV and music production etc;2022;;
660;60 Programming and broadcasting;2012;-147.0;0.0
661;60 Programming and broadcasting;2013;-623.0;0.0
662;60 Programming and broadcasting;2014;45.0;0.0
663;60 Programming and broadcasting;2015;;
664;60 Programming and broadcasting;2016;-4741.0;0.0
665;60 Programming and broadcasting;2017;371.0;0.0
666;60 Programming and broadcasting;2018;-601.0;0.0
667;60 Programming and broadcasting;2019;926.0;0.0
668;60 Programming and broadcasting;2020;-555.0;0.0
669;60 Programming and broadcasting;2021;13675.0;0.0
670;60 Programming and broadcasting;2022;;
671;61 Telecommunications;2012;72533.0;0.0
672;61 Telecommunications;2013;-154499.0;0.0
673;61 Telecommunications;2014;-142980.0;0.0
674;61 Telecommunications;2015;;
675;61 Telecommunications;2016;4384.0;0.0
676;61 Telecommunications;2017;54160.0;0.0
677;61 Telecommunications;2018;18040.0;0.0
678;61 Telecommunications;2019;-26162.0;0.0
679;61 Telecommunications;2020;6799.0;0.0
680;61 Telecommunications;2021;94110.0;0.0
681;61 Telecommunications;2022;;
682;62 Support activities in the field of IT;2012;-241696.0;-0.1
683;62 Support activities in the field of IT;2013;203371.0;0.0
684;62 Support activities in the field of IT;2014;562775.0;0.1
685;62 Support activities in the field of IT;2015;;
686;62 Support activities in the field of IT;2016;-781193.0;-0.2
687;62 Support activities in the field of IT;2017;-240301.0;-0.1
688;62 Support activities in the field of IT;2018;105129.0;0.0
689;62 Support activities in the field of IT;2019;392887.0;0.1
690;62 Support activities in the field of IT;2020;-27358.0;0.0
691;62 Support activities in the field of IT;2021;135101.0;0.0
692;62 Support activities in the field of IT;2022;;
693;63 Information service activities;2012;169239.0;0.0
694;63 Information service activities;2013;82320.0;0.0
695;63 Information service activities;2014;614486.0;0.1
696;63 Information service activities;2015;;
697;63 Information service activities;2016;64105.0;0.0
698;63 Information service activities;2017;529108.0;0.1
699;63 Information service activities;2018;950492.0;0.2
700;63 Information service activities;2019;-529573.0;-0.1
701;63 Information service activities;2020;279580.0;0.1
702;63 Information service activities;2021;412889.0;0.1
703;63 Information service activities;2022;;
704;K Financial institutions;2012;64488.0;0.0
705;K Financial institutions;2013;39139.0;0.0
706;K Financial institutions;2014;300595.0;0.1
707;K Financial institutions;2015;;
708;K Financial institutions;2016;99910.0;0.0
709;K Financial institutions;2017;604528.0;0.1
710;K Financial institutions;2018;260945.0;0.1
711;K Financial institutions;2019;-88581.0;0.0
712;K Financial institutions;2020;493966.0;0.1
713;K Financial institutions;2021;615490.0;0.1
714;K Financial institutions;2022;;
715;64 Financial institutions, no insurance;2012;-204479.0;0.0
716;64 Financial institutions, no insurance;2013;-109376.0;0.0
717;64 Financial institutions, no insurance;2014;320059.0;0.1
718;64 Financial institutions, no insurance;2015;;
719;64 Financial institutions, no insurance;2016;95231.0;0.0
720;64 Financial institutions, no insurance;2017;571852.0;0.1
721;64 Financial institutions, no insurance;2018;252444.0;0.1
722;64 Financial institutions, no insurance;2019;-36124.0;0.0
723;64 Financial institutions, no insurance;2020;536584.0;0.1
724;64 Financial institutions, no insurance;2021;673664.0;0.1
725;64 Financial institutions, no insurance;2022;;
726;65 Insurance and pension funding;2012;1601.0;0.0
727;65 Insurance and pension funding;2013;-2824.0;0.0
728;65 Insurance and pension funding;2014;-41.0;0.0
729;65 Insurance and pension funding;2015;;
730;65 Insurance and pension funding;2016;149.0;0.0
731;65 Insurance and pension funding;2017;33.0;0.0
732;65 Insurance and pension funding;2018;1466.0;0.0
733;65 Insurance and pension funding;2019;-90.0;0.0
734;65 Insurance and pension funding;2020;-33.0;0.0
735;65 Insurance and pension funding;2021;37.0;0.0
736;65 Insurance and pension funding;2022;;
737;66 Other financial services;2012;267366.0;0.1
738;66 Other financial services;2013;151340.0;0.0
739;66 Other financial services;2014;-19423.0;0.0
740;66 Other financial services;2015;;
741;66 Other financial services;2016;4529.0;0.0
742;66 Other financial services;2017;32644.0;0.0
743;66 Other financial services;2018;7035.0;0.0
744;66 Other financial services;2019;-52368.0;0.0
745;66 Other financial services;2020;-42585.0;0.0
746;66 Other financial services;2021;-58211.0;0.0
747;66 Other financial services;2022;;
748;L Renting, buying, selling real estate;2012;-52412.0;0.0
749;L Renting, buying, selling real estate;2013;-14125.0;0.0
750;L Renting, buying, selling real estate;2014;-11585.0;0.0
751;L Renting, buying, selling real estate;2015;;
752;L Renting, buying, selling real estate;2016;8679.0;0.0
753;L Renting, buying, selling real estate;2017;-9126.0;0.0
754;L Renting, buying, selling real estate;2018;-363.0;0.0
755;L Renting, buying, selling real estate;2019;63024.0;0.0
756;L Renting, buying, selling real estate;2020;76518.0;0.0
757;L Renting, buying, selling real estate;2021;60610.0;0.0
758;L Renting, buying, selling real estate;2022;;
759;68 Renting, buying, selling real estate;2012;-52412.0;0.0
760;68 Renting, buying, selling real estate;2013;-14125.0;0.0
761;68 Renting, buying, selling real estate;2014;-11585.0;0.0
762;68 Renting, buying, selling real estate;2015;;
763;68 Renting, buying, selling real estate;2016;8679.0;0.0
764;68 Renting, buying, selling real estate;2017;-9126.0;0.0
765;68 Renting, buying, selling real estate;2018;-363.0;0.0
766;68 Renting, buying, selling real estate;2019;63024.0;0.0
767;68 Renting, buying, selling real estate;2020;76518.0;0.0
768;68 Renting, buying, selling real estate;2021;60610.0;0.0
769;68 Renting, buying, selling real estate;2022;;
770;M Other specialised business services;2012;7332264.0;1.8
771;M Other specialised business services;2013;-2762686.0;-0.6
772;M Other specialised business services;2014;-2814179.0;-0.6
773;M Other specialised business services;2015;;
774;M Other specialised business services;2016;2086996.0;0.5
775;M Other specialised business services;2017;1078127.0;0.3
776;M Other specialised business services;2018;2362848.0;0.5
777;M Other specialised business services;2019;-1061284.0;-0.2
778;M Other specialised business services;2020;-29602.0;0.0
779;M Other specialised business services;2021;-613140.0;-0.1
780;M Other specialised business services;2022;;
781;69 Legal services, administration etc.;2012;848922.0;0.2
782;69 Legal services, administration etc.;2013;-41979.0;0.0
783;69 Legal services, administration etc.;2014;-1523565.0;-0.4
784;69 Legal services, administration etc.;2015;;
785;69 Legal services, administration etc.;2016;-32955.0;0.0
786;69 Legal services, administration etc.;2017;67127.0;0.0
787;69 Legal services, administration etc.;2018;-20728.0;0.0
788;69 Legal services, administration etc.;2019;108509.0;0.0
789;69 Legal services, administration etc.;2020;-44694.0;0.0
790;69 Legal services, administration etc.;2021;126696.0;0.0
791;69 Legal services, administration etc.;2022;;
792;70 Holding companies (not financial);2012;6130018.0;1.5
793;70 Holding companies (not financial);2013;-2582622.0;-0.6
794;70 Holding companies (not financial);2014;-1406682.0;-0.3
795;70 Holding companies (not financial);2015;;
796;70 Holding companies (not financial);2016;2203715.0;0.5
797;70 Holding companies (not financial);2017;855378.0;0.2
798;70 Holding companies (not financial);2018;1803780.0;0.4
799;70 Holding companies (not financial);2019;-1508052.0;-0.3
800;70 Holding companies (not financial);2020;-163628.0;0.0
801;70 Holding companies (not financial);2021;-1440745.0;-0.3
802;70 Holding companies (not financial);2022;;
803;71 Architects, technical services etc.;2012;451522.0;0.1
804;71 Architects, technical services etc.;2013;-87777.0;0.0
805;71 Architects, technical services etc.;2014;72607.0;0.0
806;71 Architects, technical services etc.;2015;;
807;71 Architects, technical services etc.;2016;-148725.0;0.0
808;71 Architects, technical services etc.;2017;-47900.0;0.0
809;71 Architects, technical services etc.;2018;126577.0;0.0
810;71 Architects, technical services etc.;2019;184592.0;0.0
811;71 Architects, technical services etc.;2020;3272.0;0.0
812;71 Architects, technical services etc.;2021;288941.0;0.1
813;71 Architects, technical services etc.;2022;;
814;72 Research and development;2012;-24583.0;0.0
815;72 Research and development;2013;-3294.0;0.0
816;72 Research and development;2014;72941.0;0.0
817;72 Research and development;2015;;
818;72 Research and development;2016;-12854.0;0.0
819;72 Research and development;2017;105508.0;0.0
820;72 Research and development;2018;67216.0;0.0
821;72 Research and development;2019;145168.0;0.0
822;72 Research and development;2020;62269.0;0.0
823;72 Research and development;2021;259664.0;0.1
824;72 Research and development;2022;;
825;73 Advertising and market research;2012;-34925.0;0.0
826;73 Advertising and market research;2013;-22474.0;0.0
827;73 Advertising and market research;2014;-5644.0;0.0
828;73 Advertising and market research;2015;;
829;73 Advertising and market research;2016;30604.0;0.0
830;73 Advertising and market research;2017;9671.0;0.0
831;73 Advertising and market research;2018;36118.0;0.0
832;73 Advertising and market research;2019;27089.0;0.0
833;73 Advertising and market research;2020;30239.0;0.0
834;73 Advertising and market research;2021;15720.0;0.0
835;73 Advertising and market research;2022;;
836;74 Other specialised business services;2012;-40888.0;0.0
837;74 Other specialised business services;2013;-29015.0;0.0
838;74 Other specialised business services;2014;-21818.0;0.0
839;74 Other specialised business services;2015;;
840;74 Other specialised business services;2016;48216.0;0.0
841;74 Other specialised business services;2017;88179.0;0.0
842;74 Other specialised business services;2018;352098.0;0.1
843;74 Other specialised business services;2019;-20054.0;0.0
844;74 Other specialised business services;2020;83653.0;0.0
845;74 Other specialised business services;2021;135459.0;0.0
846;74 Other specialised business services;2022;;
847;75 Veterinary activities;2012;2198.0;0.0
848;75 Veterinary activities;2013;4477.0;0.0
849;75 Veterinary activities;2014;-2019.0;0.0
850;75 Veterinary activities;2015;;
851;75 Veterinary activities;2016;-1005.0;0.0
852;75 Veterinary activities;2017;164.0;0.0
853;75 Veterinary activities;2018;-2213.0;0.0
854;75 Veterinary activities;2019;1463.0;0.0
855;75 Veterinary activities;2020;-712.0;0.0
856;75 Veterinary activities;2021;1125.0;0.0
857;75 Veterinary activities;2022;;
858;N Renting and other business support;2012;151122.0;0.0
859;N Renting and other business support;2013;26742.0;0.0
860;N Renting and other business support;2014;60759.0;0.0
861;N Renting and other business support;2015;;
862;N Renting and other business support;2016;136866.0;0.0
863;N Renting and other business support;2017;107345.0;0.0
864;N Renting and other business support;2018;135037.0;0.0
865;N Renting and other business support;2019;13633.0;0.0
866;N Renting and other business support;2020;-50275.0;0.0
867;N Renting and other business support;2021;912994.0;0.2
868;N Renting and other business support;2022;;
869;77 Renting and leasing of tangible goods;2012;117911.0;0.0
870;77 Renting and leasing of tangible goods;2013;32883.0;0.0
871;77 Renting and leasing of tangible goods;2014;156889.0;0.0
872;77 Renting and leasing of tangible goods;2015;;
873;77 Renting and leasing of tangible goods;2016;90004.0;0.0
874;77 Renting and leasing of tangible goods;2017;3772.0;0.0
875;77 Renting and leasing of tangible goods;2018;109402.0;0.0
876;77 Renting and leasing of tangible goods;2019;-5572.0;0.0
877;77 Renting and leasing of tangible goods;2020;-212685.0;0.0
878;77 Renting and leasing of tangible goods;2021;539066.0;0.1
879;77 Renting and leasing of tangible goods;2022;;
880;78 Employment activities;2012;-13974.0;0.0
881;78 Employment activities;2013;-3488.0;0.0
882;78 Employment activities;2014;-45026.0;0.0
883;78 Employment activities;2015;;
884;78 Employment activities;2016;8869.0;0.0
885;78 Employment activities;2017;-10294.0;0.0
886;78 Employment activities;2018;48654.0;0.0
887;78 Employment activities;2019;8904.0;0.0
888;78 Employment activities;2020;119448.0;0.0
889;78 Employment activities;2021;73850.0;0.0
890;78 Employment activities;2022;;
891;79 Travel agencies, tour operators etc;2012;4870.0;0.0
892;79 Travel agencies, tour operators etc;2013;-2542.0;0.0
893;79 Travel agencies, tour operators etc;2014;-4231.0;0.0
894;79 Travel agencies, tour operators etc;2015;;
895;79 Travel agencies, tour operators etc;2016;3683.0;0.0
896;79 Travel agencies, tour operators etc;2017;10727.0;0.0
897;79 Travel agencies, tour operators etc;2018;-7624.0;0.0
898;79 Travel agencies, tour operators etc;2019;-8107.0;0.0
899;79 Travel agencies, tour operators etc;2020;-14608.0;0.0
900;79 Travel agencies, tour operators etc;2021;2001.0;0.0
901;79 Travel agencies, tour operators etc;2022;;
902;80 Security and investigation;2012;-777.0;0.0
903;80 Security and investigation;2013;1722.0;0.0
904;80 Security and investigation;2014;1511.0;0.0
905;80 Security and investigation;2015;;
906;80 Security and investigation;2016;833.0;0.0
907;80 Security and investigation;2017;2963.0;0.0
908;80 Security and investigation;2018;4609.0;0.0
909;80 Security and investigation;2019;1595.0;0.0
910;80 Security and investigation;2020;4730.0;0.0
911;80 Security and investigation;2021;9190.0;0.0
912;80 Security and investigation;2022;;
913;81 Cleaning activities, gardening etc.;2012;35655.0;0.0
914;81 Cleaning activities, gardening etc.;2013;-20164.0;0.0
915;81 Cleaning activities, gardening etc.;2014;-15459.0;0.0
916;81 Cleaning activities, gardening etc.;2015;;
917;81 Cleaning activities, gardening etc.;2016;17489.0;0.0
918;81 Cleaning activities, gardening etc.;2017;68183.0;0.0
919;81 Cleaning activities, gardening etc.;2018;-56095.0;0.0
920;81 Cleaning activities, gardening etc.;2019;-13435.0;0.0
921;81 Cleaning activities, gardening etc.;2020;-2170.0;0.0
922;81 Cleaning activities, gardening etc.;2021;52697.0;0.0
923;81 Cleaning activities, gardening etc.;2022;;
924;82 Other business services;2012;7438.0;0.0
925;82 Other business services;2013;18330.0;0.0
926;82 Other business services;2014;-32925.0;0.0
927;82 Other business services;2015;;
928;82 Other business services;2016;15989.0;0.0
929;82 Other business services;2017;31994.0;0.0
930;82 Other business services;2018;36092.0;0.0
931;82 Other business services;2019;30249.0;0.0
932;82 Other business services;2020;55010.0;0.0
933;82 Other business services;2021;236190.0;0.0
934;82 Other business services;2022;;
935;O Public administration and services;2012;-74594.0;0.0
936;O Public administration and services;2013;-6210.0;0.0
937;O Public administration and services;2014;64164.0;0.0
938;O Public administration and services;2015;;
939;O Public administration and services;2016;-5981.0;0.0
940;O Public administration and services;2017;153389.0;0.0
941;O Public administration and services;2018;-36222.0;0.0
942;O Public administration and services;2019;26027.0;0.0
943;O Public administration and services;2020;46381.0;0.0
944;O Public administration and services;2021;209743.0;0.0
945;O Public administration and services;2022;;
946;84 Public administration and services;2012;-74594.0;0.0
947;84 Public administration and services;2013;-6210.0;0.0
948;84 Public administration and services;2014;64164.0;0.0
949;84 Public administration and services;2015;;
950;84 Public administration and services;2016;-5981.0;0.0
951;84 Public administration and services;2017;153389.0;0.0
952;84 Public administration and services;2018;-36222.0;0.0
953;84 Public administration and services;2019;26027.0;0.0
954;84 Public administration and services;2020;46381.0;0.0
955;84 Public administration and services;2021;209743.0;0.0
956;84 Public administration and services;2022;;
957;P Education;2012;17200.0;0.0
958;P Education;2013;-9496.0;0.0
959;P Education;2014;-6503.0;0.0
960;P Education;2015;;
961;P Education;2016;7153.0;0.0
962;P Education;2017;29230.0;0.0
963;P Education;2018;6338.0;0.0
964;P Education;2019;-19185.0;0.0
965;P Education;2020;-4973.0;0.0
966;P Education;2021;47767.0;0.0
967;P Education;2022;;
968;85 Education;2012;17200.0;0.0
969;85 Education;2013;-9496.0;0.0
970;85 Education;2014;-6503.0;0.0
971;85 Education;2015;;
972;85 Education;2016;7153.0;0.0
973;85 Education;2017;29230.0;0.0
974;85 Education;2018;6338.0;0.0
975;85 Education;2019;-19185.0;0.0
976;85 Education;2020;-4973.0;0.0
977;85 Education;2021;47767.0;0.0
978;85 Education;2022;;
979;Q Health and social work activities;2012;-13939.0;0.0
980;Q Health and social work activities;2013;13900.0;0.0
981;Q Health and social work activities;2014;61494.0;0.0
982;Q Health and social work activities;2015;;
983;Q Health and social work activities;2016;22064.0;0.0
984;Q Health and social work activities;2017;12663.0;0.0
985;Q Health and social work activities;2018;-76565.0;0.0
986;Q Health and social work activities;2019;19513.0;0.0
987;Q Health and social work activities;2020;-5240.0;0.0
988;Q Health and social work activities;2021;40025.0;0.0
989;Q Health and social work activities;2022;;
990;86 Human health activities;2012;-14362.0;0.0
991;86 Human health activities;2013;12591.0;0.0
992;86 Human health activities;2014;63063.0;0.0
993;86 Human health activities;2015;;
994;86 Human health activities;2016;-14969.0;0.0
995;86 Human health activities;2017;9925.0;0.0
996;86 Human health activities;2018;-24401.0;0.0
997;86 Human health activities;2019;24231.0;0.0
998;86 Human health activities;2020;-3059.0;0.0
999;86 Human health activities;2021;36998.0;0.0
1000;86 Human health activities;2022;;
1001;87 Residential care and guidance;2012;-9.0;0.0
1002;87 Residential care and guidance;2013;51.0;0.0
1003;87 Residential care and guidance;2014;4.0;0.0
1004;87 Residential care and guidance;2015;;
1005;87 Residential care and guidance;2016;-85.0;0.0
1006;87 Residential care and guidance;2017;4.0;0.0
1007;87 Residential care and guidance;2018;-58.0;0.0
1008;87 Residential care and guidance;2019;141.0;0.0
1009;87 Residential care and guidance;2020;-44.0;0.0
1010;87 Residential care and guidance;2021;605.0;0.0
1011;87 Residential care and guidance;2022;;
1012;88 Social work without accommodation;2012;432.0;0.0
1013;88 Social work without accommodation;2013;1257.0;0.0
1014;88 Social work without accommodation;2014;-1572.0;0.0
1015;88 Social work without accommodation;2015;;
1016;88 Social work without accommodation;2016;37118.0;0.0
1017;88 Social work without accommodation;2017;2734.0;0.0
1018;88 Social work without accommodation;2018;-52106.0;0.0
1019;88 Social work without accommodation;2019;-4859.0;0.0
1020;88 Social work without accommodation;2020;-2137.0;0.0
1021;88 Social work without accommodation;2021;2422.0;0.0
1022;88 Social work without accommodation;2022;;
1023;R Culture, sports and recreation;2012;-14587.0;0.0
1024;R Culture, sports and recreation;2013;18530.0;0.0
1025;R Culture, sports and recreation;2014;10058.0;0.0
1026;R Culture, sports and recreation;2015;;
1027;R Culture, sports and recreation;2016;10211.0;0.0
1028;R Culture, sports and recreation;2017;-6107.0;0.0
1029;R Culture, sports and recreation;2018;27750.0;0.0
1030;R Culture, sports and recreation;2019;26731.0;0.0
1031;R Culture, sports and recreation;2020;-57180.0;0.0
1032;R Culture, sports and recreation;2021;107259.0;0.0
1033;R Culture, sports and recreation;2022;;
1034;90 Arts;2012;2879.0;0.0
1035;90 Arts;2013;8069.0;0.0
1036;90 Arts;2014;7666.0;0.0
1037;90 Arts;2015;;
1038;90 Arts;2016;8538.0;0.0
1039;90 Arts;2017;9131.0;0.0
1040;90 Arts;2018;5811.0;0.0
1041;90 Arts;2019;10520.0;0.0
1042;90 Arts;2020;-19831.0;0.0
1043;90 Arts;2021;10715.0;0.0
1044;90 Arts;2022;;
1045;91 Libraries, museums, zoos etc;2012;-3645.0;0.0
1046;91 Libraries, museums, zoos etc;2013;1693.0;0.0
1047;91 Libraries, museums, zoos etc;2014;2056.0;0.0
1048;91 Libraries, museums, zoos etc;2015;;
1049;91 Libraries, museums, zoos etc;2016;-8391.0;0.0
1050;91 Libraries, museums, zoos etc;2017;268.0;0.0
1051;91 Libraries, museums, zoos etc;2018;569.0;0.0
1052;91 Libraries, museums, zoos etc;2019;6643.0;0.0
1053;91 Libraries, museums, zoos etc;2020;-6472.0;0.0
1054;91 Libraries, museums, zoos etc;2021;19820.0;0.0
1055;91 Libraries, museums, zoos etc;2022;;
1056;92 Lotteries and betting;2012;6283.0;0.0
1057;92 Lotteries and betting;2013;3972.0;0.0
1058;92 Lotteries and betting;2014;-3580.0;0.0
1059;92 Lotteries and betting;2015;;
1060;92 Lotteries and betting;2016;-9929.0;0.0
1061;92 Lotteries and betting;2017;-1060.0;0.0
1062;92 Lotteries and betting;2018;161.0;0.0
1063;92 Lotteries and betting;2019;-436.0;0.0
1064;92 Lotteries and betting;2020;-188.0;0.0
1065;92 Lotteries and betting;2021;-525.0;0.0
1066;92 Lotteries and betting;2022;;
1067;93 Sports and recreation;2012;-20105.0;0.0
1068;93 Sports and recreation;2013;4797.0;0.0
1069;93 Sports and recreation;2014;3916.0;0.0
1070;93 Sports and recreation;2015;;
1071;93 Sports and recreation;2016;19993.0;0.0
1072;93 Sports and recreation;2017;-14445.0;0.0
1073;93 Sports and recreation;2018;21209.0;0.0
1074;93 Sports and recreation;2019;10004.0;0.0
1075;93 Sports and recreation;2020;-30689.0;0.0
1076;93 Sports and recreation;2021;77249.0;0.0
1077;93 Sports and recreation;2022;;
1078;S Other service activities;2012;-24763.0;0.0
1079;S Other service activities;2013;-11543.0;0.0
1080;S Other service activities;2014;11316.0;0.0
1081;S Other service activities;2015;;
1082;S Other service activities;2016;18856.0;0.0
1083;S Other service activities;2017;-19986.0;0.0
1084;S Other service activities;2018;6525.0;0.0
1085;S Other service activities;2019;46454.0;0.0
1086;S Other service activities;2020;20964.0;0.0
1087;S Other service activities;2021;29211.0;0.0
1088;S Other service activities;2022;;
1089;94 Membership organisations;2012;8023.0;0.0
1090;94 Membership organisations;2013;17825.0;0.0
1091;94 Membership organisations;2014;13273.0;0.0
1092;94 Membership organisations;2015;;
1093;94 Membership organisations;2016;-1675.0;0.0
1094;94 Membership organisations;2017;-11526.0;0.0
1095;94 Membership organisations;2018;6262.0;0.0
1096;94 Membership organisations;2019;50344.0;0.0
1097;94 Membership organisations;2020;-24081.0;0.0
1098;94 Membership organisations;2021;-5181.0;0.0
1099;94 Membership organisations;2022;;
1100;95 Repair computers and consumergoods;2012;-40903.0;0.0
1101;95 Repair computers and consumergoods;2013;-34881.0;0.0
1102;95 Repair computers and consumergoods;2014;3292.0;0.0
1103;95 Repair computers and consumergoods;2015;;
1104;95 Repair computers and consumergoods;2016;467.0;0.0
1105;95 Repair computers and consumergoods;2017;2171.0;0.0
1106;95 Repair computers and consumergoods;2018;2533.0;0.0
1107;95 Repair computers and consumergoods;2019;-16705.0;0.0
1108;95 Repair computers and consumergoods;2020;5840.0;0.0
1109;95 Repair computers and consumergoods;2021;47367.0;0.0
1110;95 Repair computers and consumergoods;2022;;
1111;96 Other personal services;2012;8118.0;0.0
1112;96 Other personal services;2013;5513.0;0.0
1113;96 Other personal services;2014;-5249.0;0.0
1114;96 Other personal services;2015;;
1115;96 Other personal services;2016;20064.0;0.0
1116;96 Other personal services;2017;-10631.0;0.0
1117;96 Other personal services;2018;-2270.0;0.0
1118;96 Other personal services;2019;12815.0;0.0
1119;96 Other personal services;2020;39205.0;0.0
1120;96 Other personal services;2021;-12975.0;0.0
1121;96 Other personal services;2022;;
1122;T Activities of households;2012;;
1123;T Activities of households;2013;-377.0;0.0
1124;T Activities of households;2014;;
1125;T Activities of households;2015;;
1126;T Activities of households;2016;;
1127;T Activities of households;2017;;
1128;T Activities of households;2018;4.0;0.0
1129;T Activities of households;2019;;
1130;T Activities of households;2020;;
1131;T Activities of households;2021;137.0;0.0
1132;T Activities of households;2022;;
1133;97 Households with domestic personnel;2012;;
1134;97 Households with domestic personnel;2013;;
1135;97 Households with domestic personnel;2014;;
1136;97 Households with domestic personnel;2015;;
1137;97 Households with domestic personnel;2016;;
1138;97 Households with domestic personnel;2017;;
1139;97 Households with domestic personnel;2018;;
1140;97 Households with domestic personnel;2019;;
