ID;Perioden;Indexcijfers_1;Mutaties_2;Indexcijfers_3;Mutaties_4;Indexcijfers_5;Mutaties_6
230;2003 augustus;103.0;0.2;92.2;-2.2;94.9;-2.0
231;2003 september;104.2;0.4;91.1;-3.3;94.9;-2.9
232;2003 3e kwartaal;103.4;0.4;91.5;-2.8;94.7;-2.4
233;2003 oktober;104.1;0.6;91.1;-3.6;94.9;-3.0
234;2003 november;104.4;0.2;91.0;-2.2;95.0;-2.0
235;2003 december;103.3;0.0;90.4;-3.4;93.4;-3.4
236;2003 4e kwartaal;103.9;0.3;90.8;-3.1;94.4;-2.8
237;2003;103.8;0.8;91.8;-2.4;95.3;-1.7
238;2004 januari;103.6;-0.1;90.6;-2.8;93.8;-2.9
239;2004 februari;104.0;0.2;90.5;-3.5;94.1;-3.3
240;2004 maart;103.0;-0.7;91.7;-1.3;94.4;-2.0
241;2004 1e kwartaal;103.5;-0.2;90.9;-2.6;94.1;-2.7
242;2004 april;102.9;-1.2;93.0;1.0;95.7;-0.2
243;2004 mei;103.3;-1.3;93.5;2.3;96.6;1.0
244;2004 juni;103.8;-0.2;93.0;2.3;96.5;2.1
245;2004 2e kwartaal;103.3;-0.9;93.2;1.9;96.3;1.0
246;2004 juli;102.5;-0.6;93.8;2.6;96.1;2.0
247;2004 augustus;102.0;-1.0;94.4;2.4;96.2;1.4
248;2004 september;102.8;-1.3;94.2;3.4;96.8;2.0
249;2004 3e kwartaal;102.4;-1.0;94.1;2.8;96.4;1.8
250;2004 oktober;103.4;-0.7;94.1;3.3;97.4;2.6
251;2004 november;104.7;0.3;92.1;1.2;96.4;1.5
252;2004 december;104.6;1.2;91.0;0.7;95.2;1.9
253;2004 4e kwartaal;104.2;0.3;92.4;1.7;96.3;2.0
254;2004;103.4;-0.4;92.7;1.0;95.8;0.5
255;2005 januari;104.9;1.3;92.2;1.8;96.7;3.1
256;2005 februari;105.0;0.9;93.4;3.2;98.0;4.2
257;2005 maart;103.4;0.5;95.0;3.6;98.3;4.1
258;2005 1e kwartaal;104.4;0.9;93.5;2.9;97.7;3.8
259;2005 april;104.3;1.4;95.0;2.2;99.1;3.5
260;2005 mei;104.4;1.1;95.1;1.7;99.2;2.7
261;2005 juni;103.7;0.0;95.6;2.8;99.2;2.7
262;2005 2e kwartaal;104.1;0.8;95.2;2.2;99.2;3.0
263;2005 juli;102.7;0.2;96.8;3.2;99.3;3.4
264;2005 augustus;102.5;0.5;97.2;3.0;99.6;3.5
265;2005 september;103.0;0.3;97.1;3.1;100.0;3.4
266;2005 3e kwartaal;102.7;0.3;97.0;3.1;99.7;3.4
267;2005 oktober;103.9;0.5;96.9;2.9;100.7;3.4
268;2005 november;105.1;0.4;95.8;4.0;100.7;4.4
269;2005 december;104.6;0.0;96.5;6.0;100.9;6.0
270;2005 4e kwartaal;104.5;0.3;96.4;4.3;100.8;4.6
271;2005;103.9;0.5;95.6;3.2;99.4;3.7
272;2006 januari;103.9;-1.0;98.8;7.2;102.6;6.1
273;2006 februari;104.7;-0.3;98.3;5.3;102.9;5.0
274;2006 maart;103.3;-0.2;98.6;3.8;101.8;3.6
275;2006 1e kwartaal;103.9;-0.5;98.6;5.4;102.5;4.9
276;2006 april;103.6;-0.7;99.3;4.5;102.9;3.8
277;2006 mei;103.3;-1.0;100.5;5.7;103.8;4.6
278;2006 juni;102.6;-1.1;100.1;4.7;102.7;3.5
279;2006 2e kwartaal;103.2;-1.0;100.0;5.0;103.2;4.0
280;2006 juli;102.1;-0.5;101.0;4.4;103.2;3.9
281;2006 augustus;102.8;0.4;100.4;3.3;103.3;3.7
282;2006 september;103.2;0.2;98.3;1.2;101.4;1.4
283;2006 3e kwartaal;102.7;0.0;99.9;3.0;102.6;3.0
284;2006 oktober;104.1;0.2;97.7;0.9;101.7;1.0
