ID;Perioden;Ruilvoet_1;Invoerprijs_2;Uitvoerprijs_3;Ruilvoet_4;Invoerprijs_5;Uitvoerprijs_6
411;2019 1e kwartaal;100.8;93.7;94.4;0.7;1.2;1.9
412;2019 april;98.8;94.9;93.7;0.9;1.9;2.8
413;2019 mei;101.2;93.5;94.7;0.6;0.3;0.9
414;2019 juni;99.8;93.0;92.8;1.1;-1.9;-0.9
415;2019 2e kwartaal;99.9;93.8;93.7;0.9;0.1;0.9
416;2019 juli;100.9;92.5;93.4;1.0;-2.1;-1.1
417;2019 augustus;100.0;92.4;92.4;0.8;-3.1;-2.3
418;2019 september;100.2;92.6;92.8;1.3;-3.2;-1.9
419;2019 3e kwartaal;100.4;92.5;92.8;1.0;-2.8;-1.8
420;2019 oktober;100.8;94.1;94.9;1.4;-4.2;-2.8
421;2019 november;100.4;93.9;94.3;0.9;-3.0;-2.1
422;2019 december;99.7;95.4;95.1;0.6;-0.5;0.1
423;2019 4e kwartaal;100.3;94.5;94.7;1.0;-2.6;-1.7
424;2019;100.4;93.6;93.9;0.9;-1.1;-0.2
425;2020 januari;99.9;92.3;92.2;-1.3;-0.5;-1.8
426;2020 februari;100.1;92.7;92.8;-0.6;-1.6;-2.2
427;2020 maart;102.2;88.5;90.4;1.8;-5.9;-4.3
428;2020 1e kwartaal;100.7;91.1;91.8;-0.1;-2.7;-2.8
429;2020 april;101.2;85.8;86.8;2.4;-9.6;-7.4
430;2020 mei;103.4;85.0;87.9;2.1;-9.1;-7.2
431;2020 juni;99.1;88.4;87.6;-0.7;-4.9;-5.6
432;2020 2e kwartaal;101.2;86.5;87.4;1.3;-7.8;-6.8
433;2020 juli;102.2;87.0;88.9;1.3;-6.0;-4.8
434;2020 augustus;101.1;87.2;88.2;1.1;-5.6;-4.5
435;2020 september;101.6;86.9;88.3;1.4;-6.2;-4.8
436;2020 3e kwartaal;101.6;87.0;88.5;1.3;-5.9;-4.7
437;2020 oktober;101.8;89.1;90.7;1.0;-5.4;-4.4
438;2020 november;101.6;89.2;90.6;1.2;-5.0;-3.9
439;2020 december;100.5;91.1;91.6;0.9;-4.5;-3.6
440;2020 4e kwartaal;101.3;89.8;91.0;1.0;-4.9;-4.0
441;2020;101.2;88.7;89.7;0.9;-5.3;-4.5
442;2021 januari;101.1;89.9;90.9;1.2;-2.6;-1.5
443;2021 februari;99.3;94.3;93.7;-0.8;1.7;0.9
444;2021 maart;103.5;92.9;96.2;1.3;5.0;6.4
445;2021 1e kwartaal;101.3;92.4;93.7;0.6;1.4;2.1
446;2021 april;102.6;95.0;97.5;1.4;10.8;12.4
447;2021 mei;103.0;96.4;99.3;-0.3;13.4;13.0
448;2021 juni;96.3;101.0;97.2;-2.8;14.2;11.0
449;2021 2e kwartaal;100.6;97.5;98.0;-0.6;12.8;12.1
450;2021 juli;101.4;99.0;100.4;-0.8;13.8;12.9
451;2021 augustus;99.6;101.7;101.3;-1.5;16.5;14.8
452;2021 september;99.1;102.5;101.6;-2.5;18.0;15.1
453;2021 3e kwartaal;100.0;101.1;101.1;-1.6;16.1;14.3
454;2021 oktober;99.6;106.9;106.5;-2.2;20.1;17.5
455;2021 november;96.9;109.7;106.3;-4.6;22.9;17.3
456;2021 december;98.9;108.6;107.4;-1.6;19.2;17.2
457;2021 4e kwartaal;98.5;108.4;106.7;-2.8;20.8;17.3
458;2021;100.0;100.0;100.0;-1.2;12.8;11.4
459;2022 januari;100.4;113.2;113.6;-0.7;26.0;25.0
460;2022 februari;96.6;117.6;113.5;-2.7;24.6;21.2
461;2022 maart;99.7;118.2;117.9;-3.6;27.3;22.6
462;2022 1e kwartaal;98.9;116.4;115.2;-2.4;26.0;22.9
463;2022 april;97.0;127.3;123.4;-5.5;33.9;26.6
464;2022 mei;95.8;131.7;126.1;-7.0;36.6;27.0
465;2022 juni;89.8;136.7;122.8;-6.7;35.4;26.3
466;2022 2e kwartaal;94.2;132.0;124.1;-6.4;35.3;26.6
467;2022 juli;97.0;130.3;126.5;-4.3;31.6;26.0
468;2022 augustus;93.8;134.9;126.6;-5.8;32.7;25.0
469;2022 september;93.0;135.9;126.3;-6.2;32.5;24.3
470;2022 3e kwartaal;94.6;133.8;126.4;-5.4;32.3;25.1
471;2022 oktober;96.9;137.5;133.2;-2.7;28.6;25.1
472;2022 november;97.0;133.2;129.1;0.1;21.4;21.5
473;2022 december;96.0;130.0;124.8;-3.0;19.7;16.1
474;2022 4e kwartaal;96.6;133.7;129.1;-1.9;23.3;20.9
475;2022;95.9;129.1;123.9;-4.1;29.1;23.9
476;2023 januari;99.5;123.9;123.3;-0.8;9.5;8.5
477;2023 februari;97.3;124.3;121.0;0.8;5.7;6.6
478;2023 maart;99.6;121.0;120.6;-0.1;2.4;2.2
479;2023 1e kwartaal;98.8;123.0;121.6;-0.1;5.7;5.6
480;2023 april;100.5;120.4;120.9;3.6;-5.4;-2.0
481;2023 mei;99.2;122.0;121.0;3.6;-7.3;-4.0
482;2023 juni;94.6;123.8;117.1;5.3;-9.5;-4.6
483;2023 2e kwartaal;98.1;122.1;119.6;4.1;-7.5;-3.6
484;2023 juli;102.9;114.9;118.2;6.0;-11.9;-6.5
485;2023 augustus;100.6;117.6;118.3;7.2;-12.8;-6.6
486;2023 september;95.8;124.7;119.5;3.0;-8.2;-5.4
487;2023 3e kwartaal;99.7;119.0;118.7;5.4;-11.1;-6.2
488;2023 oktober;101.8;119.7;121.8;5.0;-13.0;-8.6
489;2023 november;100.1;119.5;119.6;3.2;-10.2;-7.4
490;2023 december;100.7;118.2;119.0;5.0;-9.1;-4.6
491;2023 4e kwartaal;100.9;119.2;120.2;4.4;-10.8;-6.9
492;2023;99.3;120.8;120.0;3.5;-6.4;-3.1
493;2024 januari;104.4;112.0;116.9;4.9;-9.6;-5.2
494;2024 februari;101.9;115.6;117.8;4.7;-7.0;-2.7
495;2024 maart;104.2;113.9;118.7;4.6;-5.9;-1.5
496;2024 1e kwartaal;103.5;113.9;117.8;4.7;-7.5;-3.1
497;2024 april;102.8;116.1;119.3;2.3;-3.6;-1.4
498;2024 mei;102.0;118.2;120.6;2.8;-3.1;-0.4
499;2024 juni;95.6;123.0;117.6;1.0;-0.6;0.4
500;2024 2e kwartaal;100.1;119.0;119.1;2.1;-2.5;-0.4
501;2024 juli;104.4;115.4;120.4;1.4;0.5;1.9
502;2024 augustus;102.8;115.0;118.2;2.2;-2.2;-0.1
503;2024 september;97.1;120.5;117.0;1.4;-3.4;-2.1
504;2024 3e kwartaal;101.4;117.0;118.6;1.7;-1.7;-0.1
505;2024 oktober;104.2;116.3;121.2;2.3;-2.8;-0.5
506;2024 november;101.8;117.8;119.9;1.7;-1.5;0.2
507;2024 december;101.8;118.6;120.7;1.1;0.3;1.4
508;2024 4e kwartaal;102.6;117.5;120.6;1.7;-1.4;0.3
509;2025 januari;104.0;115.5;120.1;-0.4;3.1;2.7
510;2025 februari;101.6;119.6;121.5;-0.3;3.5;3.2
