ID;Populatie;Vervoerwijzen;KenmerkenVerplaatsing;RegioS;Perioden;Verplaatsingen_1;Afstand_2;Reisduur_3;Verplaatsingen_4;Afstand_5;Reisduur_6
48;Totaal;Totaal;Totaal;Friesland (PV);2010;2.64;32.36;61.58;919.0;11250.0;356.8
49;Totaal;Totaal;Totaal;Friesland (PV);2011;2.5;30.31;55.31;870.0;10551.0;320.8
50;Totaal;Totaal;Totaal;Friesland (PV);2012;2.66;30.98;59.48;928.0;10809.0;345.9
51;Totaal;Totaal;Totaal;Friesland (PV);2013;2.71;32.99;58.31;944.0;11474.0;338.0
52;Totaal;Totaal;Totaal;Friesland (PV);2014;2.59;33.95;63.99;902.0;11812.0;371.0
53;Totaal;Totaal;Totaal;Friesland (PV);2015;2.51;31.65;58.0;875.0;11025.0;336.7
54;Totaal;Totaal;Totaal;Friesland (PV);2016;2.56;32.47;60.82;893.0;11335.0;353.8
55;Totaal;Totaal;Totaal;Friesland (PV);2017;2.43;28.84;55.42;841.0;9992.0;320.0
56;Totaal;Totaal;Totaal;Drenthe (PV);2010;2.76;35.66;61.49;958.0;12391.0;356.2
57;Totaal;Totaal;Totaal;Drenthe (PV);2011;2.63;34.9;60.4;913.0;12126.0;349.7
58;Totaal;Totaal;Totaal;Drenthe (PV);2012;2.63;32.65;58.56;916.0;11384.0;340.3
59;Totaal;Totaal;Totaal;Drenthe (PV);2013;2.61;36.36;60.9;907.0;12635.0;352.7
60;Totaal;Totaal;Totaal;Drenthe (PV);2014;2.63;35.77;62.45;916.0;12439.0;361.9
61;Totaal;Totaal;Totaal;Drenthe (PV);2015;2.49;35.38;60.73;867.0;12328.0;352.7
62;Totaal;Totaal;Totaal;Drenthe (PV);2016;2.53;35.6;59.01;883.0;12433.0;343.4
63;Totaal;Totaal;Totaal;Drenthe (PV);2017;2.42;32.15;54.51;838.0;11132.0;314.6
64;Totaal;Totaal;Totaal;Overijssel (PV);2010;2.89;30.38;61.44;1005.0;10566.0;356.2
65;Totaal;Totaal;Totaal;Overijssel (PV);2011;2.8;31.25;59.53;974.0;10866.0;345.0
66;Totaal;Totaal;Totaal;Overijssel (PV);2012;2.72;29.47;59.04;946.0;10270.0;342.9
67;Totaal;Totaal;Totaal;Overijssel (PV);2013;2.71;29.98;58.78;943.0;10438.0;341.1
68;Totaal;Totaal;Totaal;Overijssel (PV);2014;2.69;30.87;60.67;935.0;10741.0;351.8
69;Totaal;Totaal;Totaal;Overijssel (PV);2015;2.65;28.19;54.5;924.0;9826.0;316.6
70;Totaal;Totaal;Totaal;Overijssel (PV);2016;2.48;28.41;55.43;867.0;9925.0;322.7
71;Totaal;Totaal;Totaal;Overijssel (PV);2017;2.51;30.28;55.35;870.0;10495.0;319.7
72;Totaal;Totaal;Totaal;Flevoland (PV);2010;2.77;38.05;66.52;963.0;13237.0;385.7
73;Totaal;Totaal;Totaal;Flevoland (PV);2011;2.67;35.32;60.01;928.0;12282.0;347.9
74;Totaal;Totaal;Totaal;Flevoland (PV);2012;2.67;35.92;62.43;931.0;12529.0;363.0
75;Totaal;Totaal;Totaal;Flevoland (PV);2013;2.66;32.94;60.96;925.0;11475.0;354.0
76;Totaal;Totaal;Totaal;Flevoland (PV);2014;2.68;35.75;63.63;933.0;12460.0;369.6
77;Totaal;Totaal;Totaal;Flevoland (PV);2015;2.59;38.76;64.78;902.0;13495.0;376.0
