ID;EnergyCommodities;Periods;Amount_1;ChangeYearOnYear_2;PriceIndex_3;ChangeYearOnYear_4
425;Natural gas;1997 January;224.0;4.6;45.9;17.1
426;Natural gas;1997 February;148.0;-25.0;45.9;17.1
427;Natural gas;1997 March ;133.0;-24.6;45.9;17.1
428;Natural gas;1997 1st quarter;505.0;-14.1;45.9;17.1
429;Natural gas;1997 April;122.0;8.5;47.0;12.7
430;Natural gas;1997 May;97.0;-7.4;47.0;12.7
431;Natural gas;1997 June;81.0;4.8;47.0;12.8
432;Natural gas;1997 2nd quarter;300.0;1.9;47.0;12.7
433;Natural gas;1997 July;81.0;7.9;44.9;2.7
434;Natural gas;1997 August;78.0;4.0;44.9;2.7
435;Natural gas;1997 September;89.0;-4.3;44.9;2.8
436;Natural gas;1997 3rd quarter;249.0;2.0;44.9;2.7
437;Natural gas;1997 October;127.0;10.0;45.0;3.6
438;Natural gas;1997 November;148.0;-2.7;45.0;3.5
439;Natural gas;1997 December;171.0;-15.8;45.0;3.6
440;Natural gas;1997 4th quarter;447.0;-5.2;45.0;3.6
441;Natural gas;1997;1501.0;-6.1;45.7;8.8
442;Natural gas;1998 January;179.0;-20.3;47.0;2.3
443;Natural gas;1998 February;145.0;-2.4;47.0;2.3
444;Natural gas;1998 March ;149.0;11.8;47.0;2.3
445;Natural gas;1998 1st quarter;472.0;-6.6;47.0;2.3
446;Natural gas;1998 April;119.0;-2.4;45.2;-3.9
447;Natural gas;1998 May;92.0;-5.1;45.1;-3.9
448;Natural gas;1998 June;80.0;-1.4;45.1;-4.0
449;Natural gas;1998 2nd quarter;291.0;-3.0;45.1;-3.9
450;Natural gas;1998 July;81.0;-0.7;41.8;-7.0
451;Natural gas;1998 August;78.0;0.2;41.8;-7.0
452;Natural gas;1998 September;89.0;0.2;41.7;-7.2
453;Natural gas;1998 3rd quarter;249.0;-0.1;41.8;-7.1
454;Natural gas;1998 October;131.0;3.1;40.2;-10.6
455;Natural gas;1998 November;171.0;15.0;40.2;-10.5
456;Natural gas;1998 December;178.0;3.7;40.2;-10.5
457;Natural gas;1998 4th quarter;479.0;7.3;40.2;-10.5
458;Natural gas;1998;1491.0;-0.7;43.5;-4.8
459;Natural gas;1999 January;166.0;-7.0;38.2;-18.7
460;Natural gas;1999 February;166.0;14.5;38.2;-18.7
461;Natural gas;1999 March ;147.0;-1.1;38.2;-18.7
462;Natural gas;1999 1st quarter;479.0;1.5;38.2;-18.7
463;Natural gas;1999 April;112.0;-5.7;37.3;-17.5
464;Natural gas;1999 May;91.0;-1.1;37.3;-17.4
465;Natural gas;1999 June;87.0;8.6;37.2;-17.5
466;Natural gas;1999 2nd quarter;290.0;-0.3;37.3;-17.5
467;Natural gas;1999 July;81.0;0.0;38.9;-6.8
468;Natural gas;1999 August;76.0;-3.2;39.0;-6.7
469;Natural gas;1999 September;81.0;-9.0;39.0;-6.5
470;Natural gas;1999 3rd quarter;238.0;-4.3;39.0;-6.7
471;Natural gas;1999 October;121.0;-7.8;45.1;12.0
472;Natural gas;1999 November;148.0;-13.4;45.1;12.0
473;Natural gas;1999 December;176.0;-1.3;45.1;12.0
474;Natural gas;1999 4th quarter;444.0;-7.4;45.1;12.0
475;Natural gas;1999;1452.0;-2.6;39.9;-8.4
476;Natural gas;2000 January;178.0;6.8;52.2;36.7
477;Natural gas;2000 February;157.0;-5.5;52.1;36.3
478;Natural gas;2000 March;150.0;1.9;51.8;35.6
479;Natural gas;2000 1st quarter;484.0;1.0;52.0;36.2
480;Natural gas;2000 April;113.0;0.3;59.0;58.3
481;Natural gas;2000 May;93.0;2.1;60.2;61.6
482;Natural gas;2000 June;87.0;-0.3;57.7;54.8
483;Natural gas;2000 2nd quarter;292.0;0.7;58.9;58.2
484;Natural gas;2000 July;83.0;3.4;62.7;61.0
485;Natural gas;2000 August;77.0;1.5;63.5;62.9
486;Natural gas;2000 September;84.0;2.6;63.9;64.0
487;Natural gas;2000 3rd quarter;244.0;2.5;63.4;62.6
488;Natural gas;2000 October;120.0;-0.7;68.5;52.0
489;Natural gas;2000 November;150.0;1.6;69.1;53.4
490;Natural gas;2000 December;180.0;2.6;70.3;56.1
491;Natural gas;2000 4th quarter;450.0;1.4;69.3;53.8
492;Natural gas;2000;1469.0;1.2;60.9;52.8
493;Natural gas;2001 January;186.0;4.9;78.6;50.6
494;Natural gas;2001 February;162.0;3.2;81.1;55.7
495;Natural gas;2001 March;164.0;9.5;82.5;59.4
496;Natural gas;2001 1st quarter;512.0;5.8;80.7;55.2
497;Natural gas;2001 April;123.0;8.7;77.6;31.5
498;Natural gas;2001 May;98.0;6.0;76.8;27.6
499;Natural gas;2001 June;71.0;-17.8;76.4;32.6
500;Natural gas;2001 2nd quarter;292.0;0.0;77.0;30.6
501;Natural gas;2001 July;76.0;-9.4;74.5;18.9
502;Natural gas;2001 August;88.0;14.9;74.0;16.5
503;Natural gas;2001 September;94.0;12.4;74.3;16.3
504;Natural gas;2001 3rd quarter;258.0;5.7;74.3;17.2
505;Natural gas;2001 October;108.0;-10.2;69.9;2.1
506;Natural gas;2001 November;151.0;0.4;71.4;3.2
507;Natural gas;2001 December;188.0;4.2;70.7;0.4
508;Natural gas;2001 4th quarter;446.0;-0.9;70.6;1.9
509;Natural gas;2001;1508.0;2.7;75.7;24.2
510;Natural gas;2002 January;185.0;-0.9;68.1;-13.4
511;Natural gas;2002 February;155.0;-3.8;69.3;-14.5
512;Natural gas;2002 March;149.0;-9.3;68.5;-17.0
513;Natural gas;2002 1st quarter;489.0;-4.5;68.6;-15.0
514;Natural gas;2002 April;116.0;-5.3;67.3;-13.2
515;Natural gas;2002 May;93.0;-5.3;66.2;-13.9
516;Natural gas;2002 June;85.0;19.3;63.7;-16.7
517;Natural gas;2002 2nd quarter;294.0;0.7;65.7;-14.6
518;Natural gas;2002 July;81.0;7.5;68.7;-7.8
519;Natural gas;2002 August;80.0;-9.2;67.7;-8.4
520;Natural gas;2002 September;91.0;-2.6;67.3;-9.4
521;Natural gas;2002 3rd quarter;253.0;-1.9;67.9;-8.5
522;Natural gas;2002 October;141.0;30.7;71.0;1.5
523;Natural gas;2002 November;151.0;0.5;71.9;0.8
524;Natural gas;2002 December;172.0;-8.4;74.3;5.2
525;Natural gas;2002 4th quarter;464.0;4.0;72.4;2.5
526;Natural gas;2002;1500.0;-0.5;68.7;-9.2
527;Natural gas;2003 January;194.0;4.7;78.5;15.2
528;Natural gas;2003 February;176.0;13.3;78.6;13.4
529;Natural gas;2003 March;143.0;-3.6;76.9;12.4
530;Natural gas;2003 1st quarter;513.0;4.9;78.0;13.7
531;Natural gas;2003 April;114.0;-2.2;78.6;16.8
532;Natural gas;2003 May;98.0;5.3;78.3;18.4
533;Natural gas;2003 June;71.0;-16.9;77.9;22.3
534;Natural gas;2003 2nd quarter;282.0;-4.1;78.3;19.1
535;Natural gas;2003 July;78.0;-4.3;69.1;0.5
536;Natural gas;2003 August;74.0;-8.0;68.7;1.3
537;Natural gas;2003 September;83.0;-8.8;68.8;2.1
538;Natural gas;2003 3rd quarter;235.0;-7.1;68.8;1.3
539;Natural gas;2003 October;152.0;8.0;70.1;-1.3
540;Natural gas;2003 November;150.0;-1.1;72.1;0.2
541;Natural gas;2003 December;176.0;2.5;74.7;0.5
542;Natural gas;2003 4th quarter;478.0;3.0;72.3;-0.2
543;Natural gas;2003;1508.0;0.5;74.3;8.3
544;Natural gas;2004 January;189.0;-2.6;74.5;-5.1
545;Natural gas;2004 February;167.0;-5.0;74.8;-4.9
546;Natural gas;2004 March;157.0;9.6;73.5;-4.5
547;Natural gas;2004 1st quarter;513.0;0.0;74.2;-4.8
548;Natural gas;2004 April;112.0;-1.8;69.9;-11.0
549;Natural gas;2004 May;95.0;-2.6;69.1;-11.7
550;Natural gas;2004 June;84.0;19.3;68.7;-11.7
551;Natural gas;2004 2nd quarter;291.0;3.2;69.3;-11.5
552;Natural gas;2004 July;88.0;13.4;68.9;-0.2
553;Natural gas;2004 August;81.0;10.2;69.9;1.9
554;Natural gas;2004 September;91.0;8.5;71.0;3.2
555;Natural gas;2004 3rd quarter;260.0;10.6;69.9;1.6
556;Natural gas;2004 October;125.0;-17.5;76.2;8.7
557;Natural gas;2004 November;159.0;6.0;76.6;6.2
558;Natural gas;2004 December;191.0;8.3;75.4;0.9
559;Natural gas;2004 4th quarter;475.0;-0.6;76.0;5.2
560;Natural gas;2004;1540.0;2.1;72.4;-2.7
561;Natural gas;2005 January;173.0;-8.5;83.5;12.1
562;Natural gas;2005 February;172.0;2.7;83.5;11.7
563;Natural gas;2005 March;159.0;0.9;84.7;15.3
564;Natural gas;2005 1st quarter;503.0;-1.9;83.9;13.0
565;Natural gas;2005 April;111.0;-0.6;87.3;24.9
566;Natural gas;2005 May;102.0;6.6;85.5;23.6
567;Natural gas;2005 June;88.0;4.1;86.5;25.8
568;Natural gas;2005 2nd quarter;300.0;3.1;86.4;24.8
569;Natural gas;2005 July;82.0;-6.9;89.4;29.7
570;Natural gas;2005 August;82.0;0.9;90.2;29.0
571;Natural gas;2005 September;89.0;-1.8;91.9;29.5
572;Natural gas;2005 3rd quarter;253.0;-2.7;90.5;29.4
573;Natural gas;2005 October;104.0;-17.5;101.1;32.7
574;Natural gas;2005 November;146.0;-8.1;100.9;31.7
575;Natural gas;2005 December;175.0;-8.5;105.9;40.5
576;Natural gas;2005 4th quarter;424.0;-10.7;102.6;35.0
577;Natural gas;2005;1480.0;-3.9;90.9;25.6
578;Natural gas;2006 January;195.0;13.1;115.3;38.2
579;Natural gas;2006 February;170.0;-0.7;112.8;35.1
580;Natural gas;2006 March;170.0;7.3;114.2;34.8
581;Natural gas;2006 1st quarter;536.0;6.6;114.1;36.0
582;Natural gas;2006 April;114.0;2.9;111.1;27.2
583;Natural gas;2006 May;88.0;-13.5;112.0;31.0
584;Natural gas;2006 June;78.0;-10.7;112.6;30.2
585;Natural gas;2006 2nd quarter;280.0;-6.7;111.9;29.5
586;Natural gas;2006 July;76.0;-7.2;113.6;27.1
587;Natural gas;2006 August;79.0;-3.3;113.1;25.3
588;Natural gas;2006 September;77.0;-12.8;112.8;22.6
589;Natural gas;2006 3rd quarter;233.0;-7.9;113.2;25.0
590;Natural gas;2006 October;99.0;-4.3;114.3;13.0
591;Natural gas;2006 November;133.0;-8.7;119.1;18.0
592;Natural gas;2006 December;154.0;-12.0;117.7;11.2
593;Natural gas;2006 4th quarter;386.0;-9.0;117.0;14.0
594;Natural gas;2006;1435.0;-3.0;114.0;25.5
595;Natural gas;2007 January;159.0;-18.6;120.9;4.9
596;Natural gas;2007 February;145.0;-14.9;116.3;3.1
597;Natural gas;2007 March;135.0;-20.7;117.4;2.8
598;Natural gas;2007 1st quarter;439.0;-18.1;118.2;3.6
599;Natural gas;2007 April;96.0;-16.2;112.8;1.6
600;Natural gas;2007 May;88.0;0.0;112.3;0.3
601;Natural gas;2007 June;77.0;-1.8;107.9;-4.1
602;Natural gas;2007 2nd quarter;260.0;-7.1;111.0;-0.8
603;Natural gas;2007 July;76.0;-0.6;112.4;-1.1
604;Natural gas;2007 August;79.0;-0.5;110.9;-1.9
605;Natural gas;2007 September;89.0;15.2;109.8;-2.6
606;Natural gas;2007 3rd quarter;244.0;4.7;111.0;-1.9
607;Natural gas;2007 October;122.0;23.2;114.2;-0.1
608;Natural gas;2007 November;150.0;12.9;113.7;-4.5
609;Natural gas;2007 December;179.0;16.8;113.5;-3.6
610;Natural gas;2007 4th quarter;452.0;17.1;113.8;-2.8
611;Natural gas;2007;1395.0;-2.8;113.5;-0.5
612;Natural gas;2008 January;167.0;5.3;118.5;-2.0
613;Natural gas;2008 February;155.0;6.9;119.8;2.9
614;Natural gas;2008 March;156.0;15.2;120.2;2.4
615;Natural gas;2008 1st quarter;478.0;8.9;119.5;1.1
616;Natural gas;2008 April;122.0;27.7;127.6;13.1
617;Natural gas;2008 May;84.0;-4.1;129.4;15.2
618;Natural gas;2008 June;79.0;2.8;136.4;26.4
619;Natural gas;2008 2nd quarter;285.0;9.6;131.1;18.1
620;Natural gas;2008 July;78.0;2.8;147.4;31.2
621;Natural gas;2008 August;78.0;-1.0;147.4;32.9
622;Natural gas;2008 September;96.0;7.5;144.4;31.5
623;Natural gas;2008 3rd quarter;252.0;3.3;146.4;31.8
624;Natural gas;2008 October;126.0;3.5;152.7;33.7
625;Natural gas;2008 November;141.0;-6.2;151.1;32.9
626;Natural gas;2008 December;172.0;-4.4;154.7;36.3
627;Natural gas;2008 4th quarter;439.0;-2.9;152.8;34.3
628;Natural gas;2008;1454.0;4.2;137.5;21.1
629;Natural gas;2009 January;191.0;14.1;140.1;18.2
630;Natural gas;2009 February;157.0;1.3;139.1;16.2
631;Natural gas;2009 March;141.0;-9.5;129.8;8.0
632;Natural gas;2009 1st quarter;489.0;2.3;136.3;14.1
633;Natural gas;2009 April;92.0;-24.3;105.1;-17.7
634;Natural gas;2009 May;82.0;-2.4;103.2;-20.2
635;Natural gas;2009 June;82.0;3.4;101.0;-26.0
636;Natural gas;2009 2nd quarter;256.0;-10.2;103.1;-21.4
637;Natural gas;2009 July;86.0;10.4;90.7;-38.5
638;Natural gas;2009 August;83.0;6.3;86.8;-41.1
639;Natural gas;2009 September;94.0;-2.1;89.3;-38.2
640;Natural gas;2009 3rd quarter;263.0;4.4;88.9;-39.3
641;Natural gas;2009 October;129.0;2.1;93.4;-38.8
642;Natural gas;2009 November;137.0;-3.0;97.0;-35.8
643;Natural gas;2009 December;192.0;12.0;96.6;-37.5
644;Natural gas;2009 4th quarter;458.0;4.3;95.7;-37.4
645;Natural gas;2009;1466.0;0.8;106.0;-22.9
646;Natural gas;2010 January;219.0;14.6;93.1;-33.6
647;Natural gas;2010 February;185.0;17.4;94.3;-32.2
648;Natural gas;2010 March;161.0;14.0;92.7;-28.6
649;Natural gas;2010 1st quarter;564.0;15.3;93.3;-31.5
650;Natural gas;2010 April;118.0;27.3;93.1;-11.3
651;Natural gas;2010 May;112.0;36.1;93.0;-9.9
652;Natural gas;2010 June;84.0;2.6;96.5;-4.4
653;Natural gas;2010 2nd quarter;313.0;22.3;94.2;-8.6
654;Natural gas;2010 July;81.0;-5.7;103.6;14.2
655;Natural gas;2010 August;82.0;-1.7;104.5;20.3
656;Natural gas;2010 September;95.0;1.4;103.5;16.0
657;Natural gas;2010 3rd quarter;258.0;-1.9;103.9;16.8
658;Natural gas;2010 October;131.0;1.4;108.2;15.8
659;Natural gas;2010 November;158.0;15.7;110.6;14.0
660;Natural gas;2010 December;217.0;12.8;107.0;10.7
661;Natural gas;2010 4th quarter;506.0;10.5;108.6;13.5
662;Natural gas;2010;1643.0;12.1;100.0;-5.7
663;Natural gas;2011 January;184.0;-15.9;114.5;23.0
664;Natural gas;2011 February;158.0;-14.2;113.5;20.4
665;Natural gas;2011 March;149.0;-7.4;112.9;21.8
666;Natural gas;2011 1st quarter;491.0;-12.9;113.6;21.7
667;Natural gas;2011 April;99.0;-16.0;118.3;27.0
668;Natural gas;2011 May;94.0;-16.0;117.6;26.5
669;Natural gas;2011 June;80.0;-4.0;117.2;21.4
670;Natural gas;2011 2nd quarter;273.0;-12.8;117.7;24.9
671;Natural gas;2011 July;83.0;3.0;119.4;15.2
672;Natural gas;2011 August;85.0;4.2;118.3;13.2
673;Natural gas;2011 September;87.0;-8.3;120.6;16.5
674;Natural gas;2011 3rd quarter;256.0;-0.8;119.4;15.0
675;Natural gas;2011 October;114.0;-12.7;125.6;16.1
676;Natural gas;2011 November;142.0;-10.5;129.0;16.7
677;Natural gas;2011 December;158.0;-27.1;128.8;20.4
678;Natural gas;2011 4th quarter;414.0;-18.2;127.8;17.7
679;Natural gas;2011;1434.0;-12.7;119.6;19.6
680;Natural gas;2012 January;166.0;-9.8;128.6;12.3
681;Natural gas;2012 February;186.0;17.4;128.1;12.9
682;Natural gas;2012 March;123.0;-17.2;129.6;14.8
683;Natural gas;2012 1st quarter;475.0;-3.3;128.8;13.3
684;Natural gas;2012 April;114.0;15.1;132.8;12.3
685;Natural gas;2012 May;86.0;-7.9;132.6;12.7
686;Natural gas;2012 June;79.0;-1.8;132.7;13.3
687;Natural gas;2012 2nd quarter;279.0;2.2;132.7;12.7
688;Natural gas;2012 July;69.0;-17.2;131.1;9.9
689;Natural gas;2012 August;71.0;-16.2;131.5;11.2
690;Natural gas;2012 September;78.0;-11.3;135.2;12.1
691;Natural gas;2012 3rd quarter;218.0;-14.8;132.6;11.1
692;Natural gas;2012 October;108.0;-5.4;139.6;11.1
693;Natural gas;2012 November;135.0;-4.7;141.4;9.7
694;Natural gas;2012 December;158.0;-0.1;139.0;7.9
695;Natural gas;2012 4th quarter;401.0;-3.1;140.0;9.6
696;Natural gas;2012;1373.0;-4.3;133.5;11.6
697;Natural gas;2013 January;183.0;10.4;137.0;6.6
698;Natural gas;2013 February;169.0;-9.3;135.0;5.4
699;Natural gas;2013 March;170.0;38.2;137.0;5.7
700;Natural gas;2013 1st quarter;522.0;9.9;136.4;5.9
701;Natural gas;2013 April;112.0;-1.4;136.9;3.1
702;Natural gas;2013 May;94.0;9.1;132.9;0.3
703;Natural gas;2013 June;76.0;-4.2;131.9;-0.6
704;Natural gas;2013 2nd quarter;282.0;1.1;133.9;0.9
705;Natural gas;2013 July;67.0;-2.5;129.6;-1.2
706;Natural gas;2013 August;67.0;-6.8;129.1;-1.8
707;Natural gas;2013 September;79.0;2.0;129.7;-4.1
708;Natural gas;2013 3rd quarter;213.0;-2.3;129.4;-2.4
709;Natural gas;2013 October;98.0;-9.0;131.7;-5.7
710;Natural gas;2013 November;132.0;-2.2;133.1;-5.9
711;Natural gas;2013 December;150.0;-5.3;134.5;-3.2
712;Natural gas;2013 4th quarter;380.0;-5.2;133.1;-4.9
713;Natural gas;2013;1396.0;1.7;133.2;-0.2
714;Natural gas;2014 January;147.0;-19.8;132.8;-3.1
715;Natural gas;2014 February;126.0;-25.0;127.3;-5.7
716;Natural gas;2014 March;112.0;-34.4;123.6;-9.8
717;Natural gas;2014 1st quarter;385.0;-26.2;127.9;-6.2
718;Natural gas;2014 April;86.0;-23.0;114.3;-16.5
719;Natural gas;2014 May;82.0;-12.8;109.5;-17.6
720;Natural gas;2014 June;72.0;-4.1;106.4;-19.3
721;Natural gas;2014 2nd quarter;241.0;-14.5;110.1;-17.8
722;Natural gas;2014 July;68.0;0.5;102.7;-20.8
723;Natural gas;2014 August;76.0;14.5;103.3;-20.0
724;Natural gas;2014 September;79.0;0.0;108.8;-16.1
725;Natural gas;2014 3rd quarter;223.0;4.7;104.9;-18.9
726;Natural gas;2014 October;91.0;-7.0;115.6;-12.2
727;Natural gas;2014 November;116.0;-12.0;117.2;-12.0
728;Natural gas;2014 December;152.0;1.8;118.7;-11.7
729;Natural gas;2014 4th quarter;360.0;-5.3;117.2;-12.0
730;Natural gas;2014;1209.0;-13.4;115.0;-13.7
731;Natural gas;2015 January;159.0;8.1;109.2;-17.7
732;Natural gas;2015 February;147.0;16.0;108.0;-15.2
733;Natural gas;2015 March;130.0;16.9;111.7;-9.6
734;Natural gas;2015 1st quarter;436.0;13.2;109.6;-14.3
735;Natural gas;2015 April;93.0;8.3;107.4;-6.1
736;Natural gas;2015 May;75.0;-8.7;102.2;-6.6
737;Natural gas;2015 June;63.0;-13.7;101.7;-4.5
738;Natural gas;2015 2nd quarter;231.0;-4.1;103.8;-5.7
739;Natural gas;2015 July;66.0;-3.0;102.2;-0.4
740;Natural gas;2015 August;63.0;-17.0;100.7;-2.5
741;Natural gas;2015 September;78.0;-1.2;101.0;-7.2
742;Natural gas;2015 3rd quarter;207.0;-7.2;101.3;-3.5
743;Natural gas;2015 October;106.0;16.1;97.1;-16.0
744;Natural gas;2015 November;113.0;-2.5;92.6;-21.0
745;Natural gas;2015 December;118.0;-22.9;87.1;-26.7
746;Natural gas;2015 4th quarter;337.0;-6.4;92.2;-21.3
747;Natural gas;2015;1211.0;0.2;101.7;-11.5
748;Natural gas;2016 January;153.0;-3.6;77.0;-29.5
749;Natural gas;2016 February;138.0;-5.7;69.7;-35.5
750;Natural gas;2016 March;138.0;6.2;71.1;-36.4
751;Natural gas;2016 1st quarter;430.0;-1.4;72.6;-33.8
752;Natural gas;2016 April;96.0;3.0;58.4;-45.6
753;Natural gas;2016 May;69.0;-7.7;64.0;-37.4
754;Natural gas;2016 June;62.0;0.0;70.1;-31.0
755;Natural gas;2016 2nd quarter;228.0;-1.3;64.2;-38.2
756;Natural gas;2016 July;69.0;5.1;66.1;-35.3
757;Natural gas;2016 August;72.0;13.3;60.8;-39.6
758;Natural gas;2016 September;73.0;-6.1;59.2;-41.4
759;Natural gas;2016 3rd quarter;214.0;3.4;62.1;-38.7
760;Natural gas;2016 October;105.0;-0.6;68.0;-30.0
761;Natural gas;2016 November;135.0;19.4;77.3;-16.6
762;Natural gas;2016 December;150.0;27.8;80.3;-7.7
763;Natural gas;2016 4th quarter;391.0;16.0;75.2;-18.5
764;Natural gas;2016;1264.0;4.4;68.5;-32.7
765;Natural gas;2017 January;180.0;17.7;79.5;3.3
766;Natural gas;2017 February;138.0;-0.1;84.5;21.2
767;Natural gas;2017 March;121.0;-12.7;80.2;12.9
768;Natural gas;2017 1st quarter;;;81.4;12.2
769;Natural gas;2017 April;100.0;3.7;75.2;28.8
770;Natural gas;2017 May;78.0;11.9;74.5;16.4
771;Natural gas;2017 June;66.0;4.8;73.6;4.9
772;Natural gas;2017 2nd quarter;;;74.4;16.0
773;Natural gas;2017 July;77.0;12.1;71.6;8.3
774;Natural gas;2017 August;73.0;1.1;71.2;17.0
775;Natural gas;2017 September;87.0;18.5;74.0;25.0
776;Natural gas;2017 3rd quarter;;;72.3;16.5
777;Natural gas;2017 October;96.0;-9.3;78.9;16.0
778;Natural gas;2017 November;130.0;-4.2;81.8;5.9
779;Natural gas;2017 December;155.0;3.3;86.4;7.6
780;Natural gas;2017 4th quarter;;;82.4;9.5
781;Natural gas;2017;1299.0;2.8;77.6;13.3
782;Crude and petroleum products;1995 January;82.0;2.0;16.7;6.8
783;Crude and petroleum products;1995 February;79.0;-1.7;17.0;10.6
784;Crude and petroleum products;1995 March ;88.0;11.7;15.9;3.4
785;Crude and petroleum products;1995 1st quarter;250.0;4.0;16.5;6.9
786;Crude and petroleum products;1995 April;83.0;4.1;17.2;3.9
787;Crude and petroleum products;1995 May;86.0;7.9;17.6;-1.1
788;Crude and petroleum products;1995 June;79.0;-5.6;16.5;-8.8
789;Crude and petroleum products;1995 2nd quarter;249.0;2.0;17.1;-2.2
790;Crude and petroleum products;1995 July;82.0;5.5;15.0;-15.8
791;Crude and petroleum products;1995 August;83.0;2.1;15.5;-10.7
792;Crude and petroleum products;1995 September;80.0;-2.2;16.1;-3.5
793;Crude and petroleum products;1995 3rd quarter;244.0;1.7;15.5;-10.1
794;Crude and petroleum products;1995 October;86.0;4.3;15.2;-9.9
795;Crude and petroleum products;1995 November;82.0;-7.3;15.8;-8.8
796;Crude and petroleum products;1995 December;87.0;6.8;17.4;2.9
797;Crude and petroleum products;1995 4th quarter;254.0;1.0;16.1;-5.3
798;Crude and petroleum products;1995;997.0;2.2;16.3;-2.9
799;Crude and petroleum products;1996 January;84.0;2.7;17.8;6.6
800;Crude and petroleum products;1996 February;87.0;9.2;17.6;3.9
801;Crude and petroleum products;1996 March ;79.0;-10.0;19.8;24.9
802;Crude and petroleum products;1996 1st quarter;251.0;0.3;18.4;11.5
803;Crude and petroleum products;1996 April;80.0;-4.2;21.2;23.2
804;Crude and petroleum products;1996 May;88.0;2.4;20.0;13.7
805;Crude and petroleum products;1996 June;82.0;4.0;19.0;15.5
806;Crude and petroleum products;1996 2nd quarter;250.0;0.7;20.1;17.5
807;Crude and petroleum products;1996 July;84.0;2.8;19.8;31.5
808;Crude and petroleum products;1996 August;79.0;-4.8;20.3;31.1
809;Crude and petroleum products;1996 September;80.0;0.8;22.3;38.6
810;Crude and petroleum products;1996 3rd quarter;243.0;-0.5;20.8;33.8
811;Crude and petroleum products;1996 October;82.0;-4.0;24.6;61.7
812;Crude and petroleum products;1996 November;86.0;5.2;23.0;45.1
813;Crude and petroleum products;1996 December;81.0;-6.0;24.6;41.4
814;Crude and petroleum products;1996 4th quarter;250.0;-1.7;24.0;49.0
815;Crude and petroleum products;1996;994.0;-0.3;20.8;27.7
816;Crude and petroleum products;1997 January;91.0;7.7;24.8;39.5
817;Crude and petroleum products;1997 February;76.0;-12.8;23.1;31.2
818;Crude and petroleum products;1997 March ;81.0;1.5;21.3;7.4
819;Crude and petroleum products;1997 1st quarter;247.0;-1.3;23.1;25.4
820;Crude and petroleum products;1997 April;88.0;10.5;19.6;-7.3
821;Crude and petroleum products;1997 May;86.0;-3.1;21.1;5.6
822;Crude and petroleum products;1997 June;86.0;4.5;20.3;6.8
823;Crude and petroleum products;1997 2nd quarter;260.0;3.7;20.3;1.4
824;Crude and petroleum products;1997 July;82.0;-2.6;21.9;11.0
825;Crude and petroleum products;1997 August;76.0;-3.3;22.4;10.2
826;Crude and petroleum products;1997 September;82.0;2.8;21.2;-4.6
827;Crude and petroleum products;1997 3rd quarter;241.0;-1.1;21.9;5.2
828;Crude and petroleum products;1997 October;85.0;3.0;23.1;-6.2
829;Crude and petroleum products;1997 November;83.0;-3.9;21.7;-5.8
830;Crude and petroleum products;1997 December;84.0;3.1;20.1;-18.2
831;Crude and petroleum products;1997 4th quarter;252.0;0.6;21.6;-10.1
832;Crude and petroleum products;1997;999.0;0.5;21.7;4.3
833;Crude and petroleum products;1998 January;84.0;-7.5;18.5;-25.2
834;Crude and petroleum products;1998 February;80.0;5.9;16.7;-27.9
835;Crude and petroleum products;1998 March ;85.0;5.9;15.9;-25.5
836;Crude and petroleum products;1998 1st quarter;250.0;1.0;17.0;-26.2
837;Crude and petroleum products;1998 April;84.0;-4.6;16.1;-18.2
838;Crude and petroleum products;1998 May;84.0;-1.4;16.6;-21.2
839;Crude and petroleum products;1998 June;88.0;1.8;13.8;-31.8
840;Crude and petroleum products;1998 2nd quarter;256.0;-1.4;15.5;-23.8
841;Crude and petroleum products;1998 July;86.0;5.2;13.9;-36.9
842;Crude and petroleum products;1998 August;82.0;8.2;13.4;-40.1
843;Crude and petroleum products;1998 September;86.0;4.5;13.9;-34.4
844;Crude and petroleum products;1998 3rd quarter;255.0;5.9;13.7;-37.2
845;Crude and petroleum products;1998 October;86.0;1.6;13.4;-41.9
846;Crude and petroleum products;1998 November;89.0;7.6;11.7;-45.9
847;Crude and petroleum products;1998 December;74.0;-11.3;10.4;-48.1
848;Crude and petroleum products;1998 4th quarter;250.0;-0.7;11.9;-45.1
849;Crude and petroleum products;1998;1010.0;1.1;14.5;-33.1
850;Crude and petroleum products;1999 January;83.0;-1.4;12.0;-35.3
851;Crude and petroleum products;1999 February;77.0;-3.7;12.0;-28.3
852;Crude and petroleum products;1999 March ;91.0;6.4;14.3;-10.0
853;Crude and petroleum products;1999 1st quarter;251.0;0.5;12.7;-25.2
854;Crude and petroleum products;1999 April;88.0;4.8;18.2;13.5
855;Crude and petroleum products;1999 May;87.0;2.7;18.8;12.9
856;Crude and petroleum products;1999 June;95.0;9.0;19.9;44.1
857;Crude and petroleum products;1999 2nd quarter;270.0;5.5;19.0;22.4
858;Crude and petroleum products;1999 July;87.0;1.4;24.0;72.9
859;Crude and petroleum products;1999 August;83.0;1.3;25.2;87.6
860;Crude and petroleum products;1999 September;87.0;1.1;27.1;95.1
861;Crude and petroleum products;1999 3rd quarter;258.0;1.3;25.4;85.2
862;Crude and petroleum products;1999 October;75.0;-13.4;27.9;107.7
863;Crude and petroleum products;1999 November;88.0;-1.3;31.5;168.4
864;Crude and petroleum products;1999 December;97.0;30.9;33.3;219.3
