ID;SeasonalAndWorkingDayAdjustment;Periods;GrossDomesticProduct_1;GrossOperatingSurplus_2;GrossNationalIncome_3;GrossDisposableIncome_4;GrossSaving_5;NetLendingOrNetBorrowing_6;ValueAdded_7;GrossOperatingSurplus_8;GrossFixedCapitalFormation_9;CompensationOfEmployees_10;FinalConsumptionExpenditure_11;GrossFixedCapitalFormation_12;TotalRevenue_13;TotalExpenditure_14;BalanceGeneralGovernmentSectorEMU_15;CompensationOfEmployees_16;PropertyIncome_17;SocialBenefitsInCash_18;OtherCurrentTransfers_19;AdjustmChangeInPensionEntitlements_20;FinalConsumptionExpenditure_21;GrossFixedCapitalFormation_22;PropertyIncome_23;CurrentTaxesOnIncomeAndWealth_24;NetSocialContributions_25;OtherCurrentTransfers_26;AdjustmChangeInPensionEntitlements_27;GrossOperatingSurplus_28;GrossDisposableIncome_29;GrossSaving_30;ImportsFromTheRestOfTheWorld_31;ReceivedPrimaryIncome_32;ReceivedCurrentTransfers_33;AdjustmChangeInPensionEntitlements_34;ReceivedCapitalTransfers_35;ExportsToTheRestOfTheWorld_36;PaidPrimaryIncome_37;PaidCurrentTransfers_38;AdjustmChangeInPensionEntitlements_39;PaidCapitalTransfers_40
92;Original, unadjusted data;2022 1st quarter;235168;105379;238592;236691;77981;22538;137403;62392;23996;77558;56790;7609;105701;99332;6369;103335;12892;36783;7308;6517;101964;16500;1357;24357;48773;5538;0;27813;108106;12659;192144;66812;5457;-44;1094;214023;70236;3556;0;162
93;Original, unadjusted data;2022 2nd quarter;251303;103419;241388;239723;69720;102812;145625;56669;26461;91831;60948;7802;111007;107931;3076;120675;18294;41593;7007;7053;109119;17949;2756;15312;59966;5595;0;29518;133458;31392;222734;102011;5805;-64;410;241953;92096;4140;0;193
94;Original, unadjusted data;2022 3rd quarter;247025;118004;240740;238699;67038;13586;144608;70362;22033;77164;59588;7906;99115;106097;-6982;103475;16444;38058;6943;6870;112116;16068;4296;19193;50352;5504;0;31083;116658;11412;226595;83814;5626;-43;227;243930;77529;3585;0;212
95;Original, unadjusted data;2022 4th quarter;260324;114516;258456;256999;78219;31952;150145;66818;25939;84938;64572;8270;114038;116386;-2348;116990;18133;38087;10575;6891;114248;17077;7018;24504;54800;5494;0;33392;125361;18004;229748;118852;6653;-40;704;258570;116984;5196;0;219
96;Original, unadjusted data;2023 1st quarter;257132;119219;257552;255541;78018;25269;152207;69667;27595;83494;61598;7983;111204;108411;2793;111018;17897;41238;7212;6478;115972;17881;7438;26572;51261;5848;0;34937;121183;11689;209846;72311;5731;-47;479;236919;72731;3720;0;141
97;Original, unadjusted data;2023 2nd quarter;271527;111120;268189;267294;82824;23364;160698;62552;29200;99404;66267;8281;119572;119624;-52;130914;23542;45848;7721;8754;118246;18603;8474;18364;64776;5794;0;35014;145631;36139;212331;102148;5821;-43;1029;240733;98810;4926;0;181
98;Original, unadjusted data;2023 3rd quarter;263943;124347;259177;257333;72772;21942;155975;74517;23050;82758;65679;8594;106308;112105;-5797;111237;20765;42323;6886;6909;118931;16444;9246;25097;51752;5725;0;35752;125143;13121;200323;109672;5531;-49;565;229156;104906;3687;0;120
99;Original, unadjusted data;2023 4th quarter;274997;120107;273772;273199;84679;32288;158931;69599;25020;90676;70547;8739;120313;121077;-764;125241;21927;43896;7430;6307;118032;17365;9343;32007;57537;5545;0;36928;130990;19265;203484;103369;6056;-59;1201;238413;102144;5483;0;299
100;Original, unadjusted data;2024 1st quarter;272949;122097;271435;267667;79111;26440;157899;69486;26947;89194;68031;8620;117135;114954;2181;119445;21544;44161;7636;7515;120577;18505;9283;29931;55433;6142;0;37491;129488;16426;193448;76929;7340;-52;352;225280;75415;3572;0;149
101;Original, unadjusted data;2024 2nd quarter;288142;116419;278037;276458;81884;21664;169510;64970;28500;105604;72546;8915;129268;130509;-1241;140146;24960;48978;7698;9125;122080;20295;9637;25608;66269;6153;0;37330;151445;38490;210044;111618;5988;-52;853;243997;101513;4409;0;196
102;Original, unadjusted data;2024 3rd quarter;279401;131068;274966;273221;78476;24328;165891;79021;23338;87983;71229;8903;116141;121679;-5538;118856;22283;45747;7081;7856;123561;18028;9265;31997;55029;5965;0;37555;129266;13561;207334;98193;5950;-45;796;238343;93758;4205;0;130
103;Original, unadjusted data;2024 4th quarter;293623;127727;293839;292131;92008;36907;169478;74612;28087;96815;77253;9675;124792;132608;-7816;134826;22299;46245;7691;7306;122913;19160;9022;29580;62302;5943;0;38460;142674;27067;206180;102541;7228;-43;2189;246563;102757;5520;0;162
104;Seasonally and working day adjusted data;1999 1st quarter;102361;41313;100979;99768;27180;4491;57649;22030;11456;36543;21005;3842;46818;45796;1022;51215;10574;17547;4326;3726;51486;7566;4101;7300;26065;4693;0;12305;53482;5401;52989;20276;2336;14;393;60056;18260;1094;0;283
105;Seasonally and working day adjusted data;1999 2nd quarter;103923;41615;102747;101460;27780;4738;58276;21868;12072;37058;21345;3952;45452;46191;-739;51842;10338;17676;4373;3860;52431;7454;4243;6775;26315;4153;0;12618;55763;6821;55186;19917;2296;17;524;62321;18821;1035;0;241
106;Seasonally and working day adjusted data;1999 3rd quarter;105746;42170;105058;103299;28303;3464;59146;22007;11409;37643;21696;4026;47422;46734;688;52713;10427;18009;4491;3661;53399;7032;4498;6868;26861;4267;0;12514;55729;5493;57773;19718;2707;15;592;63640;19268;982;0;253
107;Seasonally and working day adjusted data;1999 4th quarter;107950;43125;108301;106716;30807;4656;61174;22760;11879;38530;22085;3979;47581;47303;278;53955;10894;18589;4556;3800;53915;7287;4844;7062;26701;4306;0;12770;57154;8199;60814;19144;2580;18;399;67001;19170;1022;0;269
108;Seasonally and working day adjusted data;2000 1st quarter;109769;43555;107704;106253;28271;3177;61506;22223;11474;39772;22563;4059;48286;47980;306;55588;11832;18297;4753;4102;55417;7606;5248;7907;27492;4458;0;13614;57990;7791;63995;26188;2495;9;461;70802;23359;1042;0;378
109;Seasonally and working day adjusted data;2000 2nd quarter;111907;44029;111426;109532;30826;5136;62808;23205;11622;40124;22970;4192;50208;48437;1771;56090;11172;18452;4868;4294;55895;7854;5471;7180;28786;4589;0;13382;58076;6873;65968;31859;2894;12;616;73403;31179;1030;0;319
110;Seasonally and working day adjusted data;2000 3rd quarter;114195;46102;114407;112283;32545;7338;64870;24520;13760;40941;23378;4172;50008;48752;1256;57029;11222;18715;4884;4232;56525;8417;5559;7458;28855;4594;0;13429;59299;6205;67069;38965;3059;10;697;76173;39884;977;0;337
111;Seasonally and working day adjusted data;2000 4th quarter;116505;46974;114710;112622;31579;5531;66588;25623;11504;41509;23810;4635;51950;50167;1783;57833;11134;19117;4924;4423;57392;7057;5586;7530;29151;4573;0;13673;60368;6581;70373;33334;3066;11;466;79829;32134;1018;0;361
112;Seasonally and working day adjusted data;2001 1st quarter;119195;47818;115881;114424;31643;4293;68255;26695;12665;42242;24525;4589;51824;52084;-260;58980;10206;19198;5260;3066;58269;7871;3870;7239;27371;4465;0;12762;63041;8542;69267;30518;2572;13;243;78361;26657;1115;0;314
113;Seasonally and working day adjusted data;2001 2nd quarter;120199;48346;117911;115996;31976;4563;68938;27898;12004;42201;25013;4617;52572;52652;-81;59237;10243;19516;5265;2622;59151;8468;4058;7331;27051;4360;0;12621;63921;7771;68514;26570;2899;12;315;77160;24068;1019;0;278
114;Seasonally and working day adjusted data;2001 3rd quarter;121215;48284;118410;116119;31225;3502;69208;26511;11872;43197;25494;4762;53478;53599;-121;60303;10271;19811;5561;2959;59551;8097;3622;7872;27369;4595;0;12878;65655;8689;67806;35584;3248;13;359;76166;33429;1001;0;287
115;Seasonally and working day adjusted data;2001 4th quarter;122472;48691;118399;116283;29821;2925;69636;26786;12738;43430;25843;4963;52871;54431;-1559;60654;9871;20119;6031;3116;60763;8869;3283;7940;27834;4981;0;12675;65580;7762;65222;33728;3059;13;242;74323;30169;987;0;302
116;Seasonally and working day adjusted data;2002 1st quarter;124007;48632;121211;119737;31344;4564;70453;27090;12229;44202;26963;5196;53544;55220;-1675;62362;11154;20559;5612;4075;61405;8546;4004;8676;29322;4703;0;12732;65914;8603;65509;26559;2656;14;174;74382;23370;1163;0;240
117;Seasonally and working day adjusted data;2002 2nd quarter;125294;49539;120721;118634;29179;2416;71304;27871;11813;44234;27466;5351;53424;56140;-2716;62355;11347;20724;5812;3860;62014;8461;4261;9129;27982;4935;0;13053;66833;8553;66408;29958;3198;12;216;75573;25128;1107;0;208
118;Seasonally and working day adjusted data;2002 3rd quarter;126584;51071;123196;121301;30886;4624;72884;28640;11755;44647;27910;5345;53402;56504;-3101;62862;11124;20861;6053;4115;62560;8957;3971;8650;29903;5079;0;13310;66470;8075;66528;29625;2982;13;614;76160;26695;1107;0;218
119;Seasonally and working day adjusted data;2002 4th quarter;127136;50448;123088;120989;29542;3747;72656;28405;10935;44866;28285;5535;53614;57173;-3558;63270;10688;20914;6217;4232;63223;8049;3694;8830;29191;5220;0;13521;67808;9012;66093;28568;3087;16;175;76091;24986;1020;0;229
120;Seasonally and working day adjusted data;2003 1st quarter;127928;50671;123836;122312;30031;3663;72545;28166;11345;45130;28710;5393;54893;58076;-3183;63760;10498;21418;6084;4555;63528;8676;3932;8442;30721;5282;0;13490;67193;7531;67883;26747;2828;15;216;77257;22343;1266;0;324
121;Seasonally and working day adjusted data;2003 2nd quarter;128163;50579;126444;124235;31455;5221;72410;27423;11600;45456;29188;5490;54958;58653;-3696;64142;10585;21939;6048;4583;63585;8651;3707;8406;31742;5414;0;13472;67338;8123;65922;27227;3294;14;277;75042;25369;1068;0;284
122;Seasonally and working day adjusted data;2003 3rd quarter;128935;50741;128668;126182;32774;6719;71928;26840;10569;45673;29596;5810;53744;59506;-5761;64460;10586;22436;6220;4663;63796;8567;3744;8478;31097;5431;0;13857;68537;9952;66153;29423;3408;13;286;75605;29506;929;0;297
123;Seasonally and working day adjusted data;2003 4th quarter;130274;51579;129742;128093;33822;7143;73551;28346;12238;45878;29949;5613;55288;59205;-3917;64760;10634;21705;6392;4805;64312;8890;4003;8909;31350;5527;0;14034;67958;8464;67851;26506;2593;19;204;77216;26337;983;0;312
124;Seasonally and working day adjusted data;2004 1st quarter;130784;52224;129033;126843;32738;5777;74136;28746;11126;45821;29342;5405;55526;58906;-3381;64688;10391;22292;6442;4556;64664;9664;3882;8750;31280;5678;0;13836;68089;8032;67867;32374;3308;16;194;77803;30225;1071;0;321
125;Seasonally and working day adjusted data;2004 2nd quarter;132527;52755;130344;128261;33341;6854;74799;29094;11733;46227;29777;5215;56765;59155;-2391;65100;11487;22660;6411;5032;65050;9181;4075;8553;31844;5822;0;14074;69828;8731;71137;29753;3197;14;244;82295;27348;1071;0;281
126;Seasonally and working day adjusted data;2004 3rd quarter;133332;53939;131902;129528;34002;7362;75128;29682;11508;46057;30079;5220;57588;59458;-1870;65231;10854;22511;6605;4741;65333;8655;4096;8765;32327;5856;0;14060;68030;7414;73484;34371;3467;12;268;84672;33081;1106;0;291
127;Seasonally and working day adjusted data;2004 4th quarter;134357;54294;132645;130770;34963;7649;75880;29977;12049;46236;30418;5266;57676;59863;-2187;65284;10756;22578;6753;4958;65382;9457;4027;9187;32039;5909;0;14340;67764;8314;76325;38953;2863;15;184;87621;37480;1018;0;310
128;Seasonally and working day adjusted data;2005 1st quarter;135360;55390;133004;130544;34444;7196;76575;30778;12197;46495;30291;5254;57365;58423;-1058;65598;10489;22506;7066;5277;65699;9419;3877;9230;31993;6212;0;14271;68565;8707;74796;38136;3579;15;468;86895;35333;1057;0;372
129;Seasonally and working day adjusted data;2005 2nd quarter;136997;55878;135220;133324;36060;7731;77598;31239;12063;47053;30697;5281;58162;59453;-1291;66152;9926;23852;6598;3872;66449;9938;3935;9346;32090;5928;0;14186;69357;7400;77355;40233;3307;12;218;88893;38073;1351;0;319
130;Seasonally and working day adjusted data;2005 3rd quarter;139184;56855;135751;133724;35083;6717;78569;31892;12724;47244;31016;5416;60446;60106;340;66780;12002;23076;6924;5232;67464;10704;3745;8939;33164;6234;0;14626;71339;9875;79613;41650;3625;15;235;91942;38272;1629;0;338
131;Seasonally and working day adjusted data;2005 4th quarter;141171;59135;141091;138823;39390;10936;79885;33279;11986;46747;31381;5501;61254;62119;-865;66090;11539;22104;7289;5635;68020;10161;4220;8722;33604;6501;0;14822;68698;5730;81152;47701;3724;16;683;94105;48010;1499;0;362
132;Seasonally and working day adjusted data;2006 1st quarter;143561;61173;146026;143899;42544;12743;81341;34444;12694;47464;33432;5739;62255;63229;-974;66718;11700;23850;5045;3896;67761;9958;4249;9764;33041;4469;0;15588;71300;6603;84281;44420;3479;2;180;97240;46415;1281;0;294
133;Seasonally and working day adjusted data;2006 2nd quarter;146022;61840;143145;140907;38226;8264;82600;35203;13053;48273;33782;5892;64261;64114;147;67861;11624;23142;5420;3597;68725;10663;5110;9667;32825;4543;0;16348;72154;7472;86477;48704;3662;1;389;99994;45612;1353;0;334
134;Seasonally and working day adjusted data;2006 3rd quarter;147711;62273;144477;141656;37991;7317;83533;35237;13261;48863;34363;5959;65992;65194;798;68579;11927;24175;5085;3226;69113;11007;5606;9947;33564;4567;0;16477;72638;5632;87205;47959;4109;-2;375;100775;44613;1328;0;263
135;Seasonally and working day adjusted data;2006 4th quarter;150378;63641;149516;146524;42668;9329;85169;35638;14483;49725;34740;6231;66124;65803;322;69514;11994;24601;5470;2113;69109;11320;6195;9829;33712;4432;0;16852;74138;6936;89233;50883;4259;-10;371;103009;50421;1316;0;354
136;Seasonally and working day adjusted data;2007 1st quarter;153095;65145;153288;151254;45148;11966;86831;37125;14429;50311;35584;5956;65804;66271;-467;70037;12542;24024;5127;3543;70380;11875;7001;9901;33207;4616;0;17832;74813;7481;89389;53285;3771;-3;196;103488;53015;1684;0;174
137;Seasonally and working day adjusted data;2007 2nd quarter;154445;66631;150192;147985;40902;7811;88181;38734;14196;50958;35967;6056;66324;66916;-592;70592;12729;24027;5129;3361;70973;12054;6806;10910;33346;4627;0;17925;74713;7697;91529;65906;3999;-3;307;105814;61692;1740;0;194
138;Seasonally and working day adjusted data;2007 3rd quarter;156398;67298;154135;151595;43421;8927;89586;38096;14528;52038;36382;6130;65727;67587;-1859;71725;13302;24533;5151;3380;71655;11818;7360;11284;33495;4697;0;17947;75941;6786;94094;62586;4337;-7;275;108118;60184;1818;0;228
139;Seasonally and working day adjusted data;2007 4th quarter;158996;67486;157079;154552;44926;5393;90788;38106;26219;53095;36768;6454;70018;68750;1268;73071;13452;25200;5244;3366;72842;12073;7494;11498;34782;4698;0;18450;76603;6871;105601;63303;4381;-14;359;111080;61692;1877;0;54
140;Seasonally and working day adjusted data;2008 1st quarter;161494;68398;152938;150461;39477;4133;92072;38444;15114;54009;37561;6791;71437;71973;-536;74284;13743;25215;5372;4567;73288;12656;7337;11633;36948;4738;0;18673;76738;6252;99567;58314;4429;16;916;114843;49382;1941;0;123
141;Seasonally and working day adjusted data;2008 2nd quarter;162953;68167;154954;152690;40478;4367;92553;38943;15857;54622;37931;6753;71774;71374;401;74852;14331;25162;5607;5254;74154;12046;7869;10807;37708;4503;0;18491;78200;8997;100322;60259;4368;7;279;115240;52369;2089;0;135
142;Seasonally and working day adjusted data;2008 3rd quarter;163935;69162;158650;156488;43939;6626;93866;39140;17033;55177;38367;6264;71761;71105;656;75467;14576;25422;5881;4731;74063;12183;8253;16041;32214;5015;0;18596;78567;9379;101967;59298;4064;5;287;116515;53836;1947;0;124
143;Seasonally and working day adjusted data;2008 4th quarter;163052;69247;151928;149326;37282;977;93623;39045;16378;55467;38800;6454;73478;73747;-269;75899;15666;25492;6349;6058;73269;11637;7596;11606;38539;5088;0;18276;78256;11639;93316;56121;4445;1;437;107810;45192;1895;0;116
144;Seasonally and working day adjusted data;2009 1st quarter;158583;65012;148857;146115;33835;-1206;91962;37311;15377;55661;40220;6821;68840;75737;-6898;76232;12826;26125;5951;6190;72040;11431;5236;12935;37784;5109;0;15723;75590;11097;84731;52935;4619;10;317;96326;42882;1934;0;133
145;Seasonally and working day adjusted data;2009 2nd quarter;157043;61263;154091;154793;43055;11046;88358;33155;14935;55687;40726;6910;67799;73618;-5820;76510;13657;26332;5737;6407;70991;10815;5107;12575;36479;4808;0;15987;79575;12042;81452;48531;1232;14;418;94391;45825;1993;0;188
146;Seasonally and working day adjusted data;2009 3rd quarter;156966;63570;149836;147837;35428;3904;88411;34108;15318;55330;41035;6980;68344;77812;-9468;76276;12057;26481;5825;5734;71311;9696;4735;12416;36977;4958;0;16048;77549;13576;84120;46958;4065;15;390;97324;39738;2104;0;311
147;Seasonally and working day adjusted data;2009 4th quarter;157626;65226;154092;151983;38963;7649;88832;34819;14522;54960;41408;6794;68363;78050;-9687;75859;13489;26663;6301;5537;71610;9592;4617;13000;36252;5054;0;16350;79459;14286;87358;48277;4288;13;419;100554;44880;2191;0;196
148;Seasonally and working day adjusted data;2010 1st quarter;157755;65374;154093;151539;38033;6105;88627;35551;14921;54205;41609;6619;68258;77975;-9717;75472;13021;27256;6203;4790;71907;9160;4717;12751;36226;5079;0;15862;79094;14994;92035;58562;4632;-11;597;104534;54678;2100;0;176
149;Seasonally and working day adjusted data;2010 2nd quarter;161296;66793;163249;161110;46922;11309;89850;36238;15226;54670;42053;7065;71625;78599;-6974;76100;11421;28258;6171;4036;72170;9391;4458;12766;38011;5304;0;15756;77350;9862;98341;58895;4175;-17;324;111000;61168;2026;0;194
150;Seasonally and working day adjusted data;2010 3rd quarter;161355;67559;160132;157847;42601;10604;90423;36244;14652;55168;42300;6723;68108;78676;-10568;76607;12551;28150;6193;4762;72961;9236;3722;12869;36837;4984;0;15773;80815;13313;98574;59033;4464;-12;576;113167;57695;2162;0;162
151;Seasonally and working day adjusted data;2010 4th quarter;162209;67433;161572;159744;43228;12052;90723;35729;13783;55816;42615;6873;72468;78897;-6429;77409;12789;28007;6304;5020;73862;8857;4500;12850;38423;5334;0;15940;79267;10373;101885;59949;4129;-11;1277;116323;59396;2282;0;227
152;Seasonally and working day adjusted data;2011 1st quarter;163299;67837;167565;165593;49101;14951;91802;36436;17301;56261;41844;7307;71744;78600;-6856;77767;12758;28651;6579;4738;74618;8537;4854;13294;38248;5283;0;16356;80411;10534;108718;62400;4223;-20;1107;121366;66486;2260;0;161
153;Seasonally and working day adjusted data;2011 2nd quarter;163885;68023;160663;158875;41696;8437;91903;36334;16164;56551;42118;7136;70582;78251;-7669;78016;13282;28508;6219;5238;75113;8730;5290;13575;37146;5278;0;16986;81554;11675;108821;65388;4220;-16;71;122691;62440;2404;0;179
154;Seasonally and working day adjusted data;2011 3rd quarter;164403;68135;164675;162810;45241;12980;92541;36427;15354;56947;42361;6838;72099;78309;-6210;78425;13242;28580;6188;5627;75242;8354;4887;13568;39189;5108;0;16345;79931;8308;109490;63072;4113;-14;215;124124;63186;2218;0;146
155;Seasonally and working day adjusted data;2011 4th quarter;164105;67729;162259;159968;42208;10945;92583;35685;15793;57378;42465;6577;70640;78310;-7670;78825;12818;28770;6430;5325;75270;8840;4227;13562;38969;5755;0;16151;80596;10667;109671;68462;4672;-17;385;124516;66693;2350;0;172
156;Seasonally and working day adjusted data;2012 1st quarter;163894;67957;161480;159159;41476;960;92779;36055;16831;57286;42390;6217;71905;77474;-5569;78719;13726;28788;6437;6321;75249;7398;3810;13353;39756;5238;0;15632;81300;13255;113146;64207;4401;5;242;127695;61690;2107;0;168
157;Seasonally and working day adjusted data;2012 2nd quarter;164670;67730;166107;164371;46489;14249;93380;36323;16612;57785;42713;6196;72238;78608;-6370;79382;13041;28900;6241;7122;75188;7405;3242;13770;40707;5269;0;15550;80244;12008;115131;58152;4125;9;169;130311;59765;2373;0;147
158;Seasonally and working day adjusted data;2012 3rd quarter;164137;67140;160688;158902;40983;10926;93005;35860;14942;57951;42757;6566;70974;78771;-7797;79545;12818;28986;6184;6821;75153;7729;2521;13560;40283;5313;0;15162;80919;12413;115258;62967;4285;9;269;131448;59418;2508;0;161
159;Seasonally and working day adjusted data;2012 4th quarter;165170;67332;163369;162172;43904;15104;93369;35735;15279;58001;43200;6391;73514;78853;-5339;79508;12731;29102;6304;6579;75008;7479;2669;13366;40770;5363;0;15307;80923;12644;115615;64675;3926;3;234;133776;62925;2726;0;178
160;Seasonally and working day adjusted data;2013 1st quarter;165409;67091;165331;163491;44559;17154;93602;35987;14708;58268;43115;6173;74780;79004;-4224;80115;12909;29042;6221;7549;75740;6258;2567;13489;41839;5428;0;15290;80034;12039;114918;62178;4406;19;348;133725;62148;2605;0;137
161;Seasonally and working day adjusted data;2013 2nd quarter;166207;67685;163911;162164;43431;11827;94200;36416;15603;58084;42893;6298;74571;78822;-4251;79833;13099;29265;6326;7600;75858;6426;2486;13249;42292;5489;0;15642;80716;12348;115626;62286;4318;18;264;132566;60213;2558;0;172
162;Seasonally and working day adjusted data;2013 3rd quarter;166696;68576;166943;164435;45152;14163;94753;37132;16462;58032;42832;6361;74764;79643;-4879;79786;13000;29706;6212;7365;76470;7038;2804;13554;41819;5521;0;16387;81443;11927;116870;60106;4948;16;133;133574;60222;2469;0;125
163;Seasonally and working day adjusted data;2013 4th quarter;167314;69855;165623;163419;44000;10827;94706;37421;19162;57488;42590;6087;73595;79145;-5550;78929;12988;30538;6158;7431;76769;7525;3002;13598;41012;5476;0;16813;82525;13219;120331;61594;4672;24;387;135313;59905;2493;0;135
164;Seasonally and working day adjusted data;2014 1st quarter;169218;69552;165297;163048;42539;12961;94799;36780;14811;58287;43520;6130;74154;79521;-5367;80094;13456;30072;6138;7105;76948;7627;2956;13227;41891;5520;0;17348;83445;14518;118209;68995;4942;8;980;136641;65168;2725;0;140
165;Seasonally and working day adjusted data;2014 2nd quarter;168439;67826;169890;167178;46580;2284;94026;35077;14812;58496;43409;6169;75633;79528;-3895;80330;13878;30434;6082;7491;77212;7226;2643;13959;41655;5640;0;17112;83489;13401;118778;62555;5353;3;335;137065;64232;2636;0;163
166;Seasonally and working day adjusted data;2014 3rd quarter;169311;69609;168129;166564;45685;16137;95676;36908;15002;58913;43471;6112;75831;78747;-2916;80796;13020;30537;6105;6924;77442;7916;2221;14964;41780;5503;0;17076;83421;12803;120293;63964;4220;2;281;139315;62637;2710;0;126
167;Seasonally and working day adjusted data;2014 4th quarter;171728;70789;168942;166713;45112;14103;97820;38298;16618;59395;43457;5802;76620;79477;-2857;81491;14327;30406;5700;7533;78092;7763;2024;15225;42290;5394;0;16873;84098;13345;120035;63648;4897;5;254;139557;60860;2722;0;140
168;Seasonally and working day adjusted data;2015 1st quarter;171938;71848;169248;166609;45481;22416;97772;39255;7904;58830;43313;6372;76036;79337;-3301;80519;13211;30711;6141;6554;77816;8233;1872;15165;41730;5429;0;16965;83489;11717;122309;68187;5337;-26;250;149667;65579;2735;0;276
169;Seasonally and working day adjusted data;2015 2nd quarter;174144;73563;173707;171417;48695;-32966;99127;40290;43483;59178;43333;6390;75209;79086;-3878;81133;13666;30721;6138;6283;79423;8695;1990;16901;37622;5477;0;17528;85647;13028;156503;68495;5020;-21;267;146429;68386;2762;0;178
170;Seasonally and working day adjusted data;2015 3rd quarter;176415;75307;172163;170617;47187;13322;100701;41425;16255;59298;43665;6240;75586;78933;-3346;81403;14549;30587;6012;7145;79808;8655;2239;14842;42029;5593;0;18305;86608;14357;126669;67651;4297;-27;258;146136;63245;2821;0;190
171;Seasonally and working day adjusted data;2015 4th quarter;176717;74508;173142;170535;47094;11373;101139;41313;19076;59937;43557;6162;77371;79121;-1750;81878;14290;30734;5946;6509;79862;9030;2287;14234;43639;5318;0;18572;86333;12680;127716;70288;5315;-24;322;145615;66688;2779;0;157
172;Seasonally and working day adjusted data;2016 1st quarter;177497;73215;171047;168868;45713;11193;101358;40517;17689;60703;43616;6202;77344;79201;-1857;82748;13966;30923;6061;6987;79568;9384;1912;13958;44188;5496;0;18714;87227;15605;122375;70432;4948;-30;467;142464;63956;2763;0;167
173;Seasonally and working day adjusted data;2016 2nd quarter;179080;74636;174527;172945;48568;12976;102550;41518;17775;61385;44127;6190;80255;79412;844;83720;13303;31378;6222;5607;80254;9831;1716;15128;41868;5507;0;18794;88106;13603;125000;69791;4511;-29;281;144036;65408;2917;0;193
174;Seasonally and working day adjusted data;2016 3rd quarter;180867;75524;175078;173104;47852;11186;103280;41627;18219;61960;44276;6264;80780;80044;736;84452;14081;31291;5957;7304;81011;9931;1517;14832;44661;5522;0;19176;88734;16235;126333;69641;4993;-33;260;145749;63723;3042;0;152
175;Seasonally and working day adjusted data;2016 4th quarter;182886;76602;178058;179363;52585;15821;104932;42575;17995;62641;44526;6161;80134;77713;2421;84926;14086;31546;6014;6802;82208;9871;1874;15045;44022;5534;0;20281;90967;15366;130079;72824;1484;-36;678;149731;68057;2816;0;236
176;Seasonally and working day adjusted data;2017 1st quarter;184685;77391;181341;179996;52382;16319;106125;43417;17822;62854;44610;6235;81467;79549;1918;85249;13996;31725;6295;6417;83036;10455;1704;16210;43627;5668;0;20175;90096;13601;137577;74147;4220;-28;1071;158185;70700;2839;0;160
177;Seasonally and working day adjusted data;2017 2nd quarter;186823;78604;182497;180825;51536;12734;107174;43927;18052;63665;45342;6050;81941;80149;1793;86452;13607;31913;6216;6371;83912;10881;1870;17394;42791;5619;0;20721;90313;13144;138138;77364;4654;-58;161;158431;73199;2945;0;178
178;Seasonally and working day adjusted data;2017 3rd quarter;188758;79552;185645;183912;53375;14873;108528;44137;19757;64647;45399;6496;83376;80825;2551;87241;13358;32396;6030;5107;85110;11116;2065;16303;44560;5671;0;21191;91956;10628;139922;75336;4522;-58;270;159580;72107;2815;0;145
179;Seasonally and working day adjusted data;2017 4th quarter;190849;80373;187474;186173;54849;15025;109805;44661;18597;65540;46116;6536;84605;80503;4102;88386;13475;32193;6087;5934;85136;11549;2107;17792;44766;5725;0;21715;92154;12832;144449;77299;4025;-51;328;164468;74072;2763;0;254
180;Seasonally and working day adjusted data;2018 1st quarter;194506;81369;192549;190965;56858;17022;111245;44830;19547;66660;47073;6302;86251;81629;4621;89550;13634;32426;6233;6014;87082;11741;2215;16312;45955;5597;0;22424;93933;11788;147587;73912;4696;-44;300;167980;71686;3073;0;154
181;Seasonally and working day adjusted data;2018 2nd quarter;195432;81822;193700;192000;56994;7363;112536;45110;19392;67529;47062;6416;86195;83084;3111;90383;14381;32519;6265;6177;87844;12276;2251;15279;46824;5643;0;22762;95445;14062;149133;77134;4777;-42;325;169329;75499;3039;0;221
182;Seasonally and working day adjusted data;2018 3rd quarter;197804;82394;195536;193698;57247;17446;113800;45453;18543;68707;47821;6641;87243;84026;3217;92030;14569;32855;6197;6360;88521;12478;2349;18156;46156;5649;0;22949;96809;14509;152740;79183;4845;-53;180;174634;76798;3016;0;193
183;Seasonally and working day adjusted data;2018 4th quarter;199718;83330;200854;198371;60593;19111;114870;45905;19156;69277;48673;6949;86213;85175;1038;92956;13952;33185;6142;6232;88960;13128;2386;17853;46212;5692;0;23437;98082;15723;153058;78390;5537;-31;270;173717;79802;3082;0;153
184;Seasonally and working day adjusted data;2019 1st quarter;204534;85309;200897;198875;59188;14886;117407;47302;20324;70714;49933;7111;91794;86499;5295;94452;15516;33451;6423;7252;89831;13415;1905;18212;48113;5798;0;23820;98982;16663;154497;73304;5238;-34;263;174878;69208;3183;0;153
185;Seasonally and working day adjusted data;2019 2nd quarter;206710;85631;200678;198937;57639;11034;119073;47400;20558;71510;50335;7174;89789;86799;2991;95579;15924;33897;6229;7665;90834;13746;1785;17570;49057;5744;0;23901;100641;16675;155516;80149;4877;-23;185;176432;74245;3102;0;229
