ID;NederlandseZeehavens;Vervoerstroom;SoortLading;Perioden;BrutoplusgewichtOvergeslagenGoederen_1
525;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Containers;2024 1e kwartaal;17723
526;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Containers;2024 2e kwartaal;19637
527;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Containers;2024 3e kwartaal;19010
528;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2015 1e kwartaal;3703
529;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2015 2e kwartaal;3913
530;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2015 3e kwartaal;4025
531;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2015 4e kwartaal;3732
532;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2015;15373
533;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2016 1e kwartaal;3701
534;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2016 2e kwartaal;4078
535;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2016 3e kwartaal;3910
536;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2016 4e kwartaal;3874
537;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2016;15563
538;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2017 1e kwartaal;3940
539;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2017 2e kwartaal;4122
540;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2017 3e kwartaal;4228
541;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2017 4e kwartaal;4020
542;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2017;16309
543;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2018 1e kwartaal;3989
544;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2018 2e kwartaal;4054
545;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2018 3e kwartaal;3779
546;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2018 4e kwartaal;3735
547;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2018;15557
548;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2019 1e kwartaal;4211
549;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2019 2e kwartaal;4091
550;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2019 3e kwartaal;4007
551;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2019 4e kwartaal;4302
552;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2019;16611
553;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2020 1e kwartaal;4032
554;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2020 2e kwartaal;3337
555;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2020 3e kwartaal;4006
556;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2020 4e kwartaal;4402
557;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2020;15777
558;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2021 1e kwartaal;3556
559;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2021 2e kwartaal;3959
560;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2021 3e kwartaal;3905
561;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2021 4e kwartaal;3791
562;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2021;15211
563;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2022 1e kwartaal;3791
564;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2022 2e kwartaal;4116
565;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2022 3e kwartaal;3910
566;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2022 4e kwartaal;3723
567;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2022;15540
568;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2023 1e kwartaal;3661
569;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2023 2e kwartaal;3760
570;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2023 3e kwartaal;3615
571;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2023 4e kwartaal;3298
572;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2023;14334
573;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2024 1e kwartaal;3553
574;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2024 2e kwartaal;3575
575;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Roro-eenheden;2024 3e kwartaal;3510
576;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2015 1e kwartaal;2307
577;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2015 2e kwartaal;2409
578;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2015 3e kwartaal;2209
579;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2015 4e kwartaal;2173
580;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2015;9098
581;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2016 1e kwartaal;2164
582;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2016 2e kwartaal;2111
583;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2016 3e kwartaal;2212
584;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2016 4e kwartaal;2227
585;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2016;8714
586;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2017 1e kwartaal;2193
587;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2017 2e kwartaal;2564
588;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2017 3e kwartaal;2064
589;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2017 4e kwartaal;2102
590;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2017;8924
591;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2018 1e kwartaal;2251
592;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2018 2e kwartaal;2389
593;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2018 3e kwartaal;2499
594;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2018 4e kwartaal;2317
595;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2018;9456
596;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2019 1e kwartaal;2781
597;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2019 2e kwartaal;2262
598;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2019 3e kwartaal;2106
599;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2019 4e kwartaal;2282
600;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2019;9431
601;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2020 1e kwartaal;2427
602;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2020 2e kwartaal;3187
603;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2020 3e kwartaal;2456
604;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2020 4e kwartaal;2552
605;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2020;10622
606;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2021 1e kwartaal;2495
607;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2021 2e kwartaal;3184
608;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2021 3e kwartaal;2903
609;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2021 4e kwartaal;3025
610;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2021;11608
611;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2022 1e kwartaal;3095
612;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2022 2e kwartaal;3526
613;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2022 3e kwartaal;3396
614;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2022 4e kwartaal;3033
615;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2022;13051
616;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2023 1e kwartaal;2565
617;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2023 2e kwartaal;2681
618;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2023 3e kwartaal;2169
619;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2023 4e kwartaal;1978
620;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2023;9393
621;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2024 1e kwartaal;1941
622;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2024 2e kwartaal;2387
623;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Stukgoederen/Overig;2024 3e kwartaal;2389
624;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2015 1e kwartaal;105
625;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2015 2e kwartaal;127
626;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2015 3e kwartaal;174
627;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2015 4e kwartaal;142
628;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2015;549
629;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2016 1e kwartaal;97
630;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2016 2e kwartaal;143
631;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2016 3e kwartaal;163
632;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2016 4e kwartaal;186
633;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2016;590
634;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2017 1e kwartaal;133
635;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2017 2e kwartaal;188
636;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2017 3e kwartaal;224
637;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2017 4e kwartaal;116
638;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2017;660
639;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2018 1e kwartaal;202
640;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2018 2e kwartaal;265
641;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2018 3e kwartaal;159
642;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2018 4e kwartaal;148
643;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2018;774
644;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2019 1e kwartaal;107
645;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2019 2e kwartaal;161
646;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2019 3e kwartaal;199
647;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2019 4e kwartaal;225
648;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2019;692
649;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2020 1e kwartaal;159
650;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2020 2e kwartaal;102
651;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2020 3e kwartaal;166
652;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2020 4e kwartaal;139
653;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2020;565
654;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2021 1e kwartaal;137
655;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2021 2e kwartaal;131
656;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2021 3e kwartaal;158
657;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2021 4e kwartaal;212
658;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2021;638
659;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2022 1e kwartaal;127
660;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2022 2e kwartaal;200
661;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2022 3e kwartaal;142
662;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2022 4e kwartaal;119
663;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2022;588
664;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2023 1e kwartaal;129
665;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2023 2e kwartaal;204
666;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2023 3e kwartaal;239
667;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2023 4e kwartaal;235
668;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2023;806
669;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2024 1e kwartaal;243
670;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2024 2e kwartaal;220
671;Totaal Nederlandse zeehavens;Aanvoer naar Nederland;Onbekende verschijningsvorm;2024 3e kwartaal;183
672;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2015 1e kwartaal;48405
673;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2015 2e kwartaal;50710
674;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2015 3e kwartaal;46002
675;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2015 4e kwartaal;47182
676;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2015;192299
677;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2016 1e kwartaal;48677
678;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2016 2e kwartaal;49129
679;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2016 3e kwartaal;50088
680;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2016 4e kwartaal;50059
681;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2016;197954
682;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2017 1e kwartaal;50754
683;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2017 2e kwartaal;50508
684;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2017 3e kwartaal;50616
685;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2017 4e kwartaal;51108
686;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2017;202986
687;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2018 1e kwartaal;52272
688;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2018 2e kwartaal;49922
689;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2018 3e kwartaal;52081
690;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2018 4e kwartaal;50844
691;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2018;205120
692;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2019 1e kwartaal;52988
693;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2019 2e kwartaal;51285
694;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2019 3e kwartaal;50906
695;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2019 4e kwartaal;51980
696;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2019;207159
697;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2020 1e kwartaal;51132
698;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2020 2e kwartaal;47053
699;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2020 3e kwartaal;48061
700;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2020 4e kwartaal;53452
701;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2020;199698
702;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2021 1e kwartaal;51546
703;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2021 2e kwartaal;50734
704;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2021 3e kwartaal;51436
705;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2021 4e kwartaal;49785
706;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2021;203501
707;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2022 1e kwartaal;46203
708;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2022 2e kwartaal;49770
709;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2022 3e kwartaal;49619
710;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2022 4e kwartaal;47010
711;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2022;192603
712;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2023 1e kwartaal;46442
713;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2023 2e kwartaal;46309
714;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2023 3e kwartaal;45413
715;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2023 4e kwartaal;44644
716;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2023;182808
717;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2024 1e kwartaal;46851
718;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2024 2e kwartaal;46038
719;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Totaal lading;2024 3e kwartaal;45670
720;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2015 1e kwartaal;4794
721;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2015 2e kwartaal;4558
722;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2015 3e kwartaal;3946
723;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2015 4e kwartaal;4313
724;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2015;17612
725;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2016 1e kwartaal;3985
726;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2016 2e kwartaal;4057
727;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2016 3e kwartaal;4107
728;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2016 4e kwartaal;4199
729;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2016;16348
730;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2017 1e kwartaal;4466
731;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2017 2e kwartaal;4306
732;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2017 3e kwartaal;4138
733;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2017 4e kwartaal;4245
734;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2017;17154
735;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2018 1e kwartaal;4285
736;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2018 2e kwartaal;4270
737;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2018 3e kwartaal;4176
738;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2018 4e kwartaal;4272
739;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2018;17003
740;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2019 1e kwartaal;4472
741;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2019 2e kwartaal;5018
742;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2019 3e kwartaal;4919
743;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2019 4e kwartaal;5164
744;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2019;19572
745;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2020 1e kwartaal;5603
746;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2020 2e kwartaal;4070
747;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2020 3e kwartaal;4294
748;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2020 4e kwartaal;4838
749;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2020;18805
750;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2021 1e kwartaal;5307
751;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2021 2e kwartaal;4902
752;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2021 3e kwartaal;4749
753;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2021 4e kwartaal;4997
754;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2021;19955
755;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2022 1e kwartaal;5037
756;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2022 2e kwartaal;4822
757;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2022 3e kwartaal;6061
758;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2022 4e kwartaal;5043
759;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2022;20963
760;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2023 1e kwartaal;5212
761;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2023 2e kwartaal;5282
762;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2023 3e kwartaal;4911
763;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2023 4e kwartaal;5357
764;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2023;20763
765;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2024 1e kwartaal;5912
766;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2024 2e kwartaal;6499
767;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Droge bulk lading;2024 3e kwartaal;5455
768;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2015 1e kwartaal;20863
769;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2015 2e kwartaal;22435
770;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2015 3e kwartaal;18892
771;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2015 4e kwartaal;20207
772;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2015;82396
773;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2016 1e kwartaal;22623
774;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2016 2e kwartaal;21473
775;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2016 3e kwartaal;22579
776;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2016 4e kwartaal;22024
777;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2016;88698
778;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2017 1e kwartaal;21906
779;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2017 2e kwartaal;20997
780;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2017 3e kwartaal;20299
781;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2017 4e kwartaal;20696
782;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2017;83899
783;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2018 1e kwartaal;23109
784;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2018 2e kwartaal;19820
785;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2018 3e kwartaal;21228
786;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2018 4e kwartaal;20312
787;Totaal Nederlandse zeehavens;Afvoer naar buitenland;Natte bulk lading;2018;84470
