ID;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
2337;Imports for domestic use;7 Fertilizers;America;2012;28;27;29;5.0;0;5.0;81;73;88;9.0;0;5.0
2338;Imports for domestic use;7 Fertilizers;America;2013;7;7;7;5.0;0;1.0;36;33;39;8.0;0;1.0
2339;Imports for domestic use;7 Fertilizers;America;2014;4;4;4;5.0;0;1.0;14;13;16;10.0;0;1.0
2340;Imports for domestic use;7 Fertilizers;America;2015;14;13;14;5.0;0;5.0;49;44;53;10.0;0;5.0
2341;Imports for domestic use;7 Fertilizers;America;2016;29;29;30;2.0;0;5.0;109;104;114;5.0;0;5.0
2342;Imports for domestic use;7 Fertilizers;America;2017;40;39;41;2.0;0;5.0;130;125;136;4.0;0;5.0
2343;Imports for domestic use;7 Fertilizers;Asia;2007;74;70;77;5.0;0;;1050;962;1137;8.0;0;
2344;Imports for domestic use;7 Fertilizers;Asia;2008;201;192;211;4.0;0;5.0;1024;941;1108;8.0;0;9.0
2345;Imports for domestic use;7 Fertilizers;Asia;2009;40;38;42;5.0;0;1.0;247;225;268;9.0;0;1.0
2346;Imports for domestic use;7 Fertilizers;Asia;2010;97;93;102;5.0;0;5.0;665;605;724;9.0;0;5.0
2347;Imports for domestic use;7 Fertilizers;Asia;2011;72;68;75;5.0;0;1.0;648;594;703;8.0;0;9.0
2348;Imports for domestic use;7 Fertilizers;Asia;2012;73;70;77;5.0;0;9.0;455;410;500;10.0;0;1.0
2349;Imports for domestic use;7 Fertilizers;Asia;2013;35;33;37;5.0;0;1.0;162;138;186;15.0;0;1.0
2350;Imports for domestic use;7 Fertilizers;Asia;2014;31;30;33;5.0;0;1.0;249;222;276;11.0;0;5.0
2351;Imports for domestic use;7 Fertilizers;Asia;2015;35;34;37;5.0;0;5.0;301;275;328;9.0;0;5.0
2352;Imports for domestic use;7 Fertilizers;Asia;2016;38;37;40;5.0;0;4.0;389;361;417;7.0;0;5.0
2353;Imports for domestic use;7 Fertilizers;Asia;2017;43;41;45;5.0;0;5.0;617;567;666;8.0;0;5.0
2354;Imports for domestic use;7 Fertilizers;Europe;2007;233;221;246;5.0;0;;1810;1603;2016;11.0;1;
2355;Imports for domestic use;7 Fertilizers;Europe;2008;336;318;354;5.0;0;5.0;1504;1331;1677;12.0;1;1.0
2356;Imports for domestic use;7 Fertilizers;Europe;2009;229;218;241;5.0;0;1.0;1527;1364;1690;11.0;1;9.0
2357;Imports for domestic use;7 Fertilizers;Europe;2010;303;288;319;5.0;0;5.0;1706;1515;1898;11.0;1;5.0
2358;Imports for domestic use;7 Fertilizers;Europe;2011;444;422;467;5.0;0;5.0;2039;1801;2277;12.0;1;5.0
2359;Imports for domestic use;7 Fertilizers;Europe;2012;373;354;393;5.0;0;1.0;1927;1706;2149;11.0;1;9.0
2360;Imports for domestic use;7 Fertilizers;Europe;2013;378;359;396;5.0;0;9.0;2432;2194;2670;10.0;1;5.0
2361;Imports for domestic use;7 Fertilizers;Europe;2014;341;321;360;6.0;0;2.0;2113;1859;2368;12.0;1;1.0
2362;Imports for domestic use;7 Fertilizers;Europe;2015;346;328;364;5.0;0;9.0;1651;1461;1841;12.0;1;1.0
2363;Imports for domestic use;7 Fertilizers;Europe;2016;330;313;348;5.0;0;9.0;1772;1561;1984;12.0;1;9.0
2364;Imports for domestic use;7 Fertilizers;Europe;2017;343;324;363;6.0;0;9.0;1895;1625;2164;14.0;1;9.0
2365;Imports for domestic use;7 Fertilizers;Oceania;2007;0;0;0;;0;;2;2;2;11.0;0;
2366;Imports for domestic use;7 Fertilizers;Oceania;2008;0;0;0;;0;;0;0;0;;0;
2367;Imports for domestic use;7 Fertilizers;Oceania;2009;0;0;0;;0;;0;0;0;;0;
2368;Imports for domestic use;7 Fertilizers;Oceania;2010;0;0;0;;0;;2;2;2;10.0;0;
2369;Imports for domestic use;7 Fertilizers;Oceania;2011;0;0;0;;0;;1;0;1;32.0;0;1.0
2370;Imports for domestic use;7 Fertilizers;Oceania;2012;0;0;0;;0;;0;0;0;;0;
2371;Imports for domestic use;7 Fertilizers;Oceania;2013;0;0;0;;0;;0;0;0;;0;
2372;Imports for domestic use;7 Fertilizers;Oceania;2014;0;0;0;;0;;0;0;1;40.0;0;
2373;Imports for domestic use;7 Fertilizers;Oceania;2015;0;0;0;;0;;0;0;0;;0;
2374;Imports for domestic use;7 Fertilizers;Oceania;2016;0;0;0;;0;;0;0;0;;0;
2375;Imports for domestic use;7 Fertilizers;Oceania;2017;0;0;0;;0;;0;0;0;;0;
2376;Imports for domestic use;7 Fertilizers;Unspecified countries and areas;2007;0;0;0;;0;;0;0;0;;0;
2377;Imports for domestic use;7 Fertilizers;Unspecified countries and areas;2008;0;0;0;;0;;0;0;0;;0;
2378;Imports for domestic use;7 Fertilizers;Unspecified countries and areas;2009;0;0;0;;0;;0;0;0;;0;
2379;Imports for domestic use;7 Fertilizers;Unspecified countries and areas;2010;0;0;0;;0;;0;0;0;;0;
2380;Imports for domestic use;7 Fertilizers;Unspecified countries and areas;2011;0;0;0;;0;;0;0;0;;0;
2381;Imports for domestic use;7 Fertilizers;Unspecified countries and areas;2012;0;0;0;;0;;0;0;0;;0;
2382;Imports for domestic use;7 Fertilizers;Unspecified countries and areas;2013;0;0;0;;0;;0;0;0;;0;
2383;Imports for domestic use;7 Fertilizers;Unspecified countries and areas;2014;0;0;0;;0;;0;0;0;;0;
2384;Imports for domestic use;7 Fertilizers;Unspecified countries and areas;2015;0;0;0;;0;;0;0;0;;0;
2385;Imports for domestic use;7 Fertilizers;Unspecified countries and areas;2016;0;0;0;;0;;0;0;0;;0;
2386;Imports for domestic use;7 Fertilizers;Unspecified countries and areas;2017;0;0;0;;0;;0;0;0;;0;
2387;Imports for domestic use;8 Chemicals;Total all continents;2007;25123;24147;26098;4.0;15;;26657;24452;28862;8.0;9;
2388;Imports for domestic use;8 Chemicals;Total all continents;2008;27029;25997;28061;4.0;14;4.0;27227;24987;29467;8.0;9;9.0
2389;Imports for domestic use;8 Chemicals;Total all continents;2009;22044;21196;22893;4.0;15;1.0;25097;22989;27205;8.0;9;2.0
2390;Imports for domestic use;8 Chemicals;Total all continents;2010;27166;26129;28203;4.0;15;5.0;28300;26006;30594;8.0;10;5.0
2391;Imports for domestic use;8 Chemicals;Total all continents;2011;28451;27329;29573;4.0;13;4.0;29090;26572;31608;9.0;10;9.0
2392;Imports for domestic use;8 Chemicals;Total all continents;2012;28654;27483;29824;4.0;13;9.0;27756;25250;30263;9.0;10;9.0
2393;Imports for domestic use;8 Chemicals;Total all continents;2013;29192;28036;30349;4.0;14;9.0;26072;23800;28345;9.0;10;9.0
2394;Imports for domestic use;8 Chemicals;Total all continents;2014;26835;25777;27893;4.0;13;2.0;26042;23729;28354;9.0;10;9.0
2395;Imports for domestic use;8 Chemicals;Total all continents;2015;27316;26261;28371;4.0;13;9.0;25771;23516;28027;9.0;9;9.0
2396;Imports for domestic use;8 Chemicals;Total all continents;2016;27396;26342;28451;4.0;13;9.0;24855;22722;26987;9.0;9;9.0
2397;Imports for domestic use;8 Chemicals;Total all continents;2017;30542;29371;31713;4.0;13;5.0;31976;29296;34656;8.0;11;5.0
2398;Imports for domestic use;8 Chemicals;Africa;2007;169;161;178;5.0;0;;595;536;654;10.0;0;
2399;Imports for domestic use;8 Chemicals;Africa;2008;266;253;279;5.0;0;5.0;526;474;579;10.0;0;1.0
2400;Imports for domestic use;8 Chemicals;Africa;2009;142;135;150;5.0;0;1.0;579;522;637;10.0;0;9.0
2401;Imports for domestic use;8 Chemicals;Africa;2010;180;171;189;5.0;0;5.0;518;467;569;10.0;0;1.0
2402;Imports for domestic use;8 Chemicals;Africa;2011;226;215;237;5.0;0;5.0;673;607;738;10.0;0;5.0
2403;Imports for domestic use;8 Chemicals;Africa;2012;251;239;264;5.0;0;5.0;743;671;816;10.0;0;5.0
2404;Imports for domestic use;8 Chemicals;Africa;2013;266;252;279;5.0;0;4.0;752;676;827;10.0;0;9.0
2405;Imports for domestic use;8 Chemicals;Africa;2014;217;206;228;5.0;0;1.0;567;510;624;10.0;0;1.0
2406;Imports for domestic use;8 Chemicals;Africa;2015;246;234;259;5.0;0;5.0;627;565;689;10.0;0;5.0
2407;Imports for domestic use;8 Chemicals;Africa;2016;222;214;231;4.0;0;2.0;798;742;854;7.0;0;5.0
2408;Imports for domestic use;8 Chemicals;Africa;2017;238;228;248;4.0;0;4.0;675;618;731;8.0;0;1.0
2409;Imports for domestic use;8 Chemicals;America;2007;4119;3915;4323;5.0;2;;3947;3568;4326;10.0;1;
2410;Imports for domestic use;8 Chemicals;America;2008;4314;4099;4529;5.0;2;9.0;3779;3421;4137;9.0;1;9.0
2411;Imports for domestic use;8 Chemicals;America;2009;3627;3446;3808;5.0;2;1.0;3277;2957;3597;10.0;1;1.0
2412;Imports for domestic use;8 Chemicals;America;2010;4204;3979;4430;5.0;2;5.0;2647;2397;2897;9.0;1;1.0
2413;Imports for domestic use;8 Chemicals;America;2011;3711;3518;3903;5.0;2;1.0;3870;3497;4243;10.0;1;5.0
2414;Imports for domestic use;8 Chemicals;America;2012;2756;2616;2896;5.0;1;1.0;2094;1888;2300;10.0;1;1.0
2415;Imports for domestic use;8 Chemicals;America;2013;3001;2849;3153;5.0;1;4.0;2152;1943;2361;10.0;1;9.0
2416;Imports for domestic use;8 Chemicals;America;2014;3395;3222;3567;5.0;2;5.0;2342;2105;2580;10.0;1;9.0
2417;Imports for domestic use;8 Chemicals;America;2015;4408;4170;4647;5.0;2;5.0;2402;2131;2673;11.0;1;9.0
2418;Imports for domestic use;8 Chemicals;America;2016;4517;4272;4761;5.0;2;9.0;2661;2352;2971;12.0;1;9.0
2419;Imports for domestic use;8 Chemicals;America;2017;4451;4202;4699;6.0;2;9.0;2836;2457;3215;13.0;1;9.0
2420;Imports for domestic use;8 Chemicals;Asia;2007;2136;2029;2242;5.0;1;;1851;1672;2031;10.0;1;
2421;Imports for domestic use;8 Chemicals;Asia;2008;2514;2386;2642;5.0;1;5.0;2158;1948;2367;10.0;1;5.0
2422;Imports for domestic use;8 Chemicals;Asia;2009;1811;1719;1903;5.0;1;1.0;1661;1498;1824;10.0;1;1.0
2423;Imports for domestic use;8 Chemicals;Asia;2010;2400;2280;2521;5.0;1;5.0;1872;1690;2054;10.0;1;5.0
2424;Imports for domestic use;8 Chemicals;Asia;2011;3078;2922;3234;5.0;1;5.0;2479;2244;2714;9.0;1;5.0
2425;Imports for domestic use;8 Chemicals;Asia;2012;2979;2828;3131;5.0;1;9.0;1941;1752;2130;10.0;1;1.0
2426;Imports for domestic use;8 Chemicals;Asia;2013;3054;2902;3207;5.0;1;9.0;2223;2007;2439;10.0;1;5.0
2427;Imports for domestic use;8 Chemicals;Asia;2014;2861;2718;3005;5.0;1;2.0;2044;1839;2250;10.0;1;9.0
2428;Imports for domestic use;8 Chemicals;Asia;2015;2855;2706;3004;5.0;1;9.0;2786;2462;3110;12.0;1;5.0
2429;Imports for domestic use;8 Chemicals;Asia;2016;2960;2805;3115;5.0;1;9.0;2306;2046;2566;11.0;1;1.0
2430;Imports for domestic use;8 Chemicals;Asia;2017;3616;3431;3800;5.0;2;5.0;2851;2551;3152;11.0;1;5.0
2431;Imports for domestic use;8 Chemicals;Europe;2007;18650;17706;19595;5.0;11;;20248;18086;22409;11.0;7;
2432;Imports for domestic use;8 Chemicals;Europe;2008;19870;18873;20868;5.0;10;4.0;20732;18535;22929;11.0;7;9.0
2433;Imports for domestic use;8 Chemicals;Europe;2009;16399;15578;17221;5.0;11;1.0;19546;17473;21619;11.0;7;9.0
2434;Imports for domestic use;8 Chemicals;Europe;2010;20265;19263;21266;5.0;11;5.0;23180;20912;25449;10.0;8;5.0
2435;Imports for domestic use;8 Chemicals;Europe;2011;21257;20168;22346;5.0;10;4.0;21877;19402;24351;11.0;8;9.0
2436;Imports for domestic use;8 Chemicals;Europe;2012;22520;21372;23668;5.0;10;4.0;22801;20314;25288;11.0;8;9.0
2437;Imports for domestic use;8 Chemicals;Europe;2013;22759;21627;23891;5.0;11;9.0;20894;18646;23141;11.0;8;9.0
2438;Imports for domestic use;8 Chemicals;Europe;2014;20275;19245;21305;5.0;10;1.0;21034;18748;23320;11.0;8;9.0
2439;Imports for domestic use;8 Chemicals;Europe;2015;19577;18564;20589;5.0;9;9.0;19602;17394;21809;11.0;7;9.0
2440;Imports for domestic use;8 Chemicals;Europe;2016;19496;18487;20505;5.0;9;9.0;18485;16398;20572;11.0;6;9.0
2441;Imports for domestic use;8 Chemicals;Europe;2017;21745;20621;22868;5.0;9;5.0;24055;21427;26683;11.0;8;5.0
2442;Imports for domestic use;8 Chemicals;Oceania;2007;43;41;45;5.0;0;;13;12;14;6.0;0;
2443;Imports for domestic use;8 Chemicals;Oceania;2008;54;51;57;5.0;0;5.0;30;27;33;10.0;0;5.0
2444;Imports for domestic use;8 Chemicals;Oceania;2009;52;50;55;5.0;0;9.0;32;29;35;10.0;0;9.0
2445;Imports for domestic use;8 Chemicals;Oceania;2010;87;83;92;5.0;0;5.0;47;42;51;10.0;0;5.0
2446;Imports for domestic use;8 Chemicals;Oceania;2011;58;55;61;5.0;0;1.0;17;15;20;13.0;0;1.0
2447;Imports for domestic use;8 Chemicals;Oceania;2012;41;38;43;5.0;0;1.0;43;39;48;11.0;0;5.0
2448;Imports for domestic use;8 Chemicals;Oceania;2013;80;74;85;7.0;0;5.0;15;14;17;12.0;0;1.0
2449;Imports for domestic use;8 Chemicals;Oceania;2014;57;54;60;5.0;0;1.0;40;36;44;10.0;0;5.0
2450;Imports for domestic use;8 Chemicals;Oceania;2015;72;69;76;5.0;0;5.0;59;53;64;9.0;0;5.0
2451;Imports for domestic use;8 Chemicals;Oceania;2016;69;65;73;6.0;0;9.0;28;24;31;13.0;0;1.0
2452;Imports for domestic use;8 Chemicals;Oceania;2017;83;79;88;6.0;0;5.0;32;28;37;13.0;0;5.0
2453;Imports for domestic use;8 Chemicals;Unspecified countries and areas;2007;6;5;6;5.0;0;;3;3;3;10.0;0;
2454;Imports for domestic use;8 Chemicals;Unspecified countries and areas;2008;10;9;10;5.0;0;5.0;1;1;1;20.0;0;1.0
2455;Imports for domestic use;8 Chemicals;Unspecified countries and areas;2009;12;12;13;5.0;0;5.0;2;1;2;12.0;0;5.0
2456;Imports for domestic use;8 Chemicals;Unspecified countries and areas;2010;30;28;31;5.0;0;5.0;36;32;39;10.0;0;5.0
2457;Imports for domestic use;8 Chemicals;Unspecified countries and areas;2011;122;116;128;5.0;0;5.0;175;158;191;10.0;0;5.0
2458;Imports for domestic use;8 Chemicals;Unspecified countries and areas;2012;106;101;111;5.0;0;1.0;134;121;147;10.0;0;1.0
2459;Imports for domestic use;8 Chemicals;Unspecified countries and areas;2013;33;31;34;5.0;0;1.0;36;33;40;10.0;0;1.0
2460;Imports for domestic use;8 Chemicals;Unspecified countries and areas;2014;32;30;33;6.0;0;9.0;14;12;16;17.0;0;1.0
2461;Imports for domestic use;8 Chemicals;Unspecified countries and areas;2015;158;151;164;4.0;0;5.0;296;272;320;8.0;0;5.0
2462;Imports for domestic use;8 Chemicals;Unspecified countries and areas;2016;132;125;139;5.0;0;1.0;577;518;635;10.0;0;5.0
2463;Imports for domestic use;8 Chemicals;Unspecified countries and areas;2017;410;402;418;2.0;0;5.0;1526;1467;1585;4.0;1;5.0
2464;Imports for domestic use;9 Machinery, transport equipment, manuf…;Total all continents;2007;73250;70506;75995;4.0;42;;18638;17024;20251;9.0;7;
2465;Imports for domestic use;9 Machinery, transport equipment, manuf…;Total all continents;2008;79736;76787;82684;4.0;40;4.0;19732;17986;21478;9.0;7;9.0
2466;Imports for domestic use;9 Machinery, transport equipment, manuf…;Total all continents;2009;62021;59742;64299;4.0;41;1.0;15609;14240;16978;9.0;6;1.0
2467;Imports for domestic use;9 Machinery, transport equipment, manuf…;Total all continents;2010;70318;67813;72823;4.0;39;5.0;15701;14377;17024;8.0;6;9.0
2468;Imports for domestic use;9 Machinery, transport equipment, manuf…;Total all continents;2011;76332;73584;79080;4.0;36;4.0;23747;22231;25264;6.0;8;5.0
2469;Imports for domestic use;9 Machinery, transport equipment, manuf…;Total all continents;2012;75874;73159;78588;4.0;35;9.0;16527;15184;17869;8.0;6;1.0
2470;Imports for domestic use;9 Machinery, transport equipment, manuf…;Total all continents;2013;75857;73140;78573;4.0;36;9.0;16344;15030;17657;8.0;6;9.0
2471;Imports for domestic use;9 Machinery, transport equipment, manuf…;Total all continents;2014;79865;77017;82713;4.0;39;4.0;16248;14842;17655;9.0;6;9.0
2472;Imports for domestic use;9 Machinery, transport equipment, manuf…;Total all continents;2015;96950;93601;100299;3.0;45;5.0;18230;16721;19739;8.0;6;5.0
2473;Imports for domestic use;9 Machinery, transport equipment, manuf…;Total all continents;2016;100068;96705;103431;3.0;47;9.0;19015;17572;20459;8.0;7;9.0
2474;Imports for domestic use;9 Machinery, transport equipment, manuf…;Total all continents;2017;109717;105998;113437;3.0;46;4.0;19660;18170;21149;8.0;7;9.0
2475;Imports for domestic use;9 Machinery, transport equipment, manuf…;Africa;2007;244;232;256;5.0;0;;47;42;52;10.0;0;
2476;Imports for domestic use;9 Machinery, transport equipment, manuf…;Africa;2008;261;248;274;5.0;0;4.0;57;51;63;10.0;0;5.0
2477;Imports for domestic use;9 Machinery, transport equipment, manuf…;Africa;2009;238;226;250;5.0;0;2.0;38;34;42;10.0;0;1.0
2478;Imports for domestic use;9 Machinery, transport equipment, manuf…;Africa;2010;220;209;231;5.0;0;2.0;41;37;45;10.0;0;9.0
2479;Imports for domestic use;9 Machinery, transport equipment, manuf…;Africa;2011;232;220;243;5.0;0;4.0;42;38;46;10.0;0;9.0
2480;Imports for domestic use;9 Machinery, transport equipment, manuf…;Africa;2012;226;215;238;5.0;0;9.0;44;40;49;11.0;0;9.0
2481;Imports for domestic use;9 Machinery, transport equipment, manuf…;Africa;2013;221;210;232;5.0;0;9.0;40;36;44;10.0;0;2.0
2482;Imports for domestic use;9 Machinery, transport equipment, manuf…;Africa;2014;229;218;240;5.0;0;9.0;42;37;48;13.0;0;9.0
2483;Imports for domestic use;9 Machinery, transport equipment, manuf…;Africa;2015;268;254;281;5.0;0;5.0;33;30;37;10.0;0;1.0
2484;Imports for domestic use;9 Machinery, transport equipment, manuf…;Africa;2016;228;219;238;4.0;0;1.0;46;43;49;6.0;0;5.0
2485;Imports for domestic use;9 Machinery, transport equipment, manuf…;Africa;2017;242;231;254;5.0;0;4.0;52;47;56;9.0;0;5.0
2486;Imports for domestic use;9 Machinery, transport equipment, manuf…;America;2007;5927;5628;6225;5.0;3;;512;459;565;10.0;0;
2487;Imports for domestic use;9 Machinery, transport equipment, manuf…;America;2008;6163;5852;6475;5.0;3;9.0;561;500;622;11.0;0;9.0
2488;Imports for domestic use;9 Machinery, transport equipment, manuf…;America;2009;5220;4956;5484;5.0;3;1.0;397;355;440;11.0;0;1.0
2489;Imports for domestic use;9 Machinery, transport equipment, manuf…;America;2010;5283;5013;5553;5.0;3;9.0;460;411;508;11.0;0;5.0
2490;Imports for domestic use;9 Machinery, transport equipment, manuf…;America;2011;5796;5497;6096;5.0;3;4.0;607;545;668;10.0;0;5.0
2491;Imports for domestic use;9 Machinery, transport equipment, manuf…;America;2012;5713;5420;6006;5.0;3;9.0;551;496;606;10.0;0;2.0
2492;Imports for domestic use;9 Machinery, transport equipment, manuf…;America;2013;5411;5134;5687;5.0;3;2.0;369;332;405;10.0;0;1.0
2493;Imports for domestic use;9 Machinery, transport equipment, manuf…;America;2014;5093;4830;5355;5.0;2;2.0;586;527;644;10.0;0;5.0
2494;Imports for domestic use;9 Machinery, transport equipment, manuf…;America;2015;8850;8399;9301;5.0;4;5.0;489;444;535;9.0;0;1.0
2495;Imports for domestic use;9 Machinery, transport equipment, manuf…;America;2016;9430;8968;9893;5.0;4;4.0;601;545;656;9.0;0;5.0
2496;Imports for domestic use;9 Machinery, transport equipment, manuf…;America;2017;9594;9124;10063;5.0;4;9.0;479;435;522;9.0;0;1.0
2497;Imports for domestic use;9 Machinery, transport equipment, manuf…;Asia;2007;14670;13923;15416;5.0;8;;3059;2736;3382;11.0;1;
2498;Imports for domestic use;9 Machinery, transport equipment, manuf…;Asia;2008;16277;15452;17102;5.0;8;5.0;3303;2962;3644;10.0;1;9.0
2499;Imports for domestic use;9 Machinery, transport equipment, manuf…;Asia;2009;13246;12574;13917;5.0;9;1.0;2541;2275;2808;10.0;1;1.0
2500;Imports for domestic use;9 Machinery, transport equipment, manuf…;Asia;2010;17880;16976;18785;5.0;10;5.0;2786;2499;3073;10.0;1;9.0
2501;Imports for domestic use;9 Machinery, transport equipment, manuf…;Asia;2011;18583;17639;19526;5.0;9;9.0;6551;6057;7045;8.0;2;5.0
2502;Imports for domestic use;9 Machinery, transport equipment, manuf…;Asia;2012;19067;18102;20032;5.0;9;9.0;2921;2639;3202;10.0;1;1.0
2503;Imports for domestic use;9 Machinery, transport equipment, manuf…;Asia;2013;18548;17611;19485;5.0;9;9.0;2771;2513;3030;9.0;1;9.0
2504;Imports for domestic use;9 Machinery, transport equipment, manuf…;Asia;2014;20462;19428;21496;5.0;10;5.0;2668;2411;2924;10.0;1;9.0
2505;Imports for domestic use;9 Machinery, transport equipment, manuf…;Asia;2015;25362;24085;26638;5.0;12;5.0;3207;2905;3508;9.0;1;5.0
2506;Imports for domestic use;9 Machinery, transport equipment, manuf…;Asia;2016;26331;25003;27659;5.0;12;9.0;3633;3283;3982;10.0;1;5.0
2507;Imports for domestic use;9 Machinery, transport equipment, manuf…;Asia;2017;29892;28373;31410;5.0;12;5.0;4180;3792;4567;9.0;1;5.0
2508;Imports for domestic use;9 Machinery, transport equipment, manuf…;Europe;2007;52240;49615;54865;5.0;30;;14971;13391;16551;11.0;5;
2509;Imports for domestic use;9 Machinery, transport equipment, manuf…;Europe;2008;56780;53965;59595;5.0;29;4.0;15764;14052;17477;11.0;5;9.0
2510;Imports for domestic use;9 Machinery, transport equipment, manuf…;Europe;2009;43103;40940;45266;5.0;28;1.0;12591;11248;13935;11.0;5;1.0
2511;Imports for domestic use;9 Machinery, transport equipment, manuf…;Europe;2010;46745;44423;49068;5.0;26;4.0;12377;11085;13668;10.0;4;9.0
2512;Imports for domestic use;9 Machinery, transport equipment, manuf…;Europe;2011;51507;48941;54073;5.0;24;5.0;16498;15062;17934;9.0;6;5.0
2513;Imports for domestic use;9 Machinery, transport equipment, manuf…;Europe;2012;50660;48137;53182;5.0;23;9.0;12954;11642;14267;10.0;5;1.0
2514;Imports for domestic use;9 Machinery, transport equipment, manuf…;Europe;2013;51409;48872;53946;5.0;24;9.0;13117;11829;14406;10.0;5;9.0
2515;Imports for domestic use;9 Machinery, transport equipment, manuf…;Europe;2014;53592;50949;56236;5.0;26;9.0;12896;11514;14278;11.0;5;9.0
2516;Imports for domestic use;9 Machinery, transport equipment, manuf…;Europe;2015;62244;59177;65311;5.0;29;5.0;14461;12983;15940;10.0;5;5.0
2517;Imports for domestic use;9 Machinery, transport equipment, manuf…;Europe;2016;63831;60773;66889;5.0;30;9.0;14691;13290;16091;10.0;5;9.0
2518;Imports for domestic use;9 Machinery, transport equipment, manuf…;Europe;2017;69705;66338;73072;5.0;29;4.0;14904;13466;16342;10.0;5;9.0
2519;Imports for domestic use;9 Machinery, transport equipment, manuf…;Oceania;2007;80;76;84;5.0;0;;6;6;6;7.0;0;
2520;Imports for domestic use;9 Machinery, transport equipment, manuf…;Oceania;2008;80;76;84;5.0;0;9.0;7;6;7;11.0;0;5.0
2521;Imports for domestic use;9 Machinery, transport equipment, manuf…;Oceania;2009;86;82;90;5.0;0;4.0;6;6;7;10.0;0;9.0
2522;Imports for domestic use;9 Machinery, transport equipment, manuf…;Oceania;2010;87;83;92;5.0;0;9.0;8;8;9;10.0;0;5.0
2523;Imports for domestic use;9 Machinery, transport equipment, manuf…;Oceania;2011;96;91;101;5.0;0;5.0;14;12;15;10.0;0;5.0
2524;Imports for domestic use;9 Machinery, transport equipment, manuf…;Oceania;2012;86;82;90;5.0;0;1.0;13;11;14;11.0;0;9.0
2525;Imports for domestic use;9 Machinery, transport equipment, manuf…;Oceania;2013;149;139;159;7.0;0;5.0;8;7;9;9.0;0;1.0
2526;Imports for domestic use;9 Machinery, transport equipment, manuf…;Oceania;2014;170;161;178;5.0;0;5.0;16;15;18;9.0;0;5.0
2527;Imports for domestic use;9 Machinery, transport equipment, manuf…;Oceania;2015;111;105;116;5.0;0;1.0;8;7;9;11.0;0;1.0
2528;Imports for domestic use;9 Machinery, transport equipment, manuf…;Oceania;2016;124;118;130;5.0;0;5.0;13;11;15;14.0;0;5.0
2529;Imports for domestic use;9 Machinery, transport equipment, manuf…;Oceania;2017;145;138;153;5.0;0;5.0;12;10;13;13.0;0;9.0
2530;Imports for domestic use;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2007;90;86;95;5.0;0;;43;38;47;11.0;0;
2531;Imports for domestic use;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2008;174;165;183;5.0;0;5.0;40;36;45;11.0;0;9.0
2532;Imports for domestic use;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2009;128;122;135;5.0;0;1.0;34;31;38;10.0;0;1.0
2533;Imports for domestic use;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2010;102;97;107;5.0;0;1.0;29;26;32;10.0;0;1.0
2534;Imports for domestic use;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2011;118;112;124;5.0;0;5.0;36;32;40;12.0;0;5.0
2535;Imports for domestic use;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2012;122;116;128;5.0;0;9.0;44;38;49;13.0;0;5.0
2536;Imports for domestic use;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2013;119;113;125;5.0;0;9.0;38;34;42;11.0;0;1.0
2537;Imports for domestic use;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2014;320;305;334;5.0;0;5.0;40;36;44;9.0;0;9.0
2538;Imports for domestic use;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2015;116;110;121;5.0;0;1.0;31;28;35;10.0;0;1.0
2539;Imports for domestic use;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2016;123;117;129;5.0;0;4.0;33;29;37;13.0;0;9.0
2540;Imports for domestic use;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2017;139;132;147;5.0;0;5.0;34;30;37;11.0;0;9.0
2541;Imports for re-exports;Total;Total all continents;2007;132320;126691;137950;4.0;100;;94613;90097;99129;5.0;100;
2542;Imports for re-exports;Total;Total all continents;2008;138542;132849;144235;4.0;100;4.0;79329;75540;83118;5.0;100;1.0
2543;Imports for re-exports;Total;Total all continents;2009;121426;116325;126528;4.0;100;1.0;81744;77338;86149;5.0;100;9.0
2544;Imports for re-exports;Total;Total all continents;2010;147194;141065;153324;4.0;100;5.0;91060;86300;95819;5.0;100;5.0
2545;Imports for re-exports;Total;Total all continents;2011;150937;144721;157154;4.0;100;9.0;98630;93328;103932;5.0;100;4.0
2546;Imports for re-exports;Total;Total all continents;2012;168405;161998;174813;4.0;100;5.0;112200;106605;117795;5.0;100;5.0
2547;Imports for re-exports;Total;Total all continents;2013;173327;166877;179776;4.0;100;9.0;126651;119887;133415;5.0;100;5.0
2548;Imports for re-exports;Total;Total all continents;2014;171886;165381;178390;4.0;100;9.0;113215;106898;119533;6.0;100;1.0
