ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
3245;Total sales;0812123 Crushed stone of a kind used...;2021 September;;;
3246;Total sales;0812123 Crushed stone of a kind used...;2021 October;;;
3247;Total sales;0812123 Crushed stone of a kind used...;2021 November;;;
3248;Total sales;0812123 Crushed stone of a kind used...;2021 December;;;
3249;Total sales;0812123 Crushed stone of a kind used...;2021;109.5;;3.0
3250;Total sales;0812123 Crushed stone of a kind used...;2022 January;;;
3251;Total sales;0812123 Crushed stone of a kind used...;2022 February;;;
3252;Total sales;0812123 Crushed stone of a kind used...;2022 March;;;
3253;Total sales;0812123 Crushed stone of a kind used...;2022 April;;;
3254;Total sales;0812123 Crushed stone of a kind used...;2022 May;;;
3255;Total sales;0812123 Crushed stone of a kind used...;2022 June;;;
3256;Total sales;0812123 Crushed stone of a kind used...;2022 July;;;
3257;Total sales;0812123 Crushed stone of a kind used...;2022 August;;;
3258;Total sales;0812123 Crushed stone of a kind used...;2022 September;;;
3259;Total sales;0812123 Crushed stone of a kind used...;2022 October;;;
3260;Total sales;0812123 Crushed stone of a kind used...;2022 November;;;
3261;Total sales;0812123 Crushed stone of a kind used...;2022 December;;;
3262;Total sales;0812123 Crushed stone of a kind used...;2022;116.7;;6.7
3263;Total sales;0812123 Crushed stone of a kind used...;2023 January;;;
3264;Total sales;0812123 Crushed stone of a kind used...;2023 February;;;
3265;Total sales;0812123 Crushed stone of a kind used...;2023 March;;;
3266;Total sales;0812123 Crushed stone of a kind used...;2023 April;;;
3267;Total sales;0812123 Crushed stone of a kind used...;2023 May;;;
3268;Total sales;0812123 Crushed stone of a kind used...;2023 June;;;
3269;Total sales;0812123 Crushed stone of a kind used...;2023 July;;;
3270;Total sales;0812123 Crushed stone of a kind used...;2023 August;;;
3271;Total sales;0812123 Crushed stone of a kind used...;2023 September;;;
3272;Total sales;0812123 Crushed stone of a kind used...;2023 October;;;
3273;Total sales;0812123 Crushed stone of a kind used...;2023 November;;;
3274;Total sales;0812123 Crushed stone of a kind used...;2023 December;;;
3275;Total sales;0812123 Crushed stone of a kind used...;2023;132.0;;13.1
3276;Total sales;089 Mining and quarrying product...;2012 January;99.4;;
3277;Total sales;089 Mining and quarrying product...;2012 February;99.4;0.0;
3278;Total sales;089 Mining and quarrying product...;2012 March;99.5;0.0;
3279;Total sales;089 Mining and quarrying product...;2012 April;95.3;-4.2;
3280;Total sales;089 Mining and quarrying product...;2012 May;97.8;2.6;
3281;Total sales;089 Mining and quarrying product...;2012 June;101.1;3.4;
3282;Total sales;089 Mining and quarrying product...;2012 July;97.0;-4.0;
3283;Total sales;089 Mining and quarrying product...;2012 August;99.5;2.6;
3284;Total sales;089 Mining and quarrying product...;2012 September;97.2;-2.3;
3285;Total sales;089 Mining and quarrying product...;2012 October;99.1;2.0;
3286;Total sales;089 Mining and quarrying product...;2012 November;101.4;2.3;
3287;Total sales;089 Mining and quarrying product...;2012 December;100.1;-1.2;
3288;Total sales;089 Mining and quarrying product...;2012;98.9;;
3289;Total sales;089 Mining and quarrying product...;2013 January;99.0;-1.1;-0.4
3290;Total sales;089 Mining and quarrying product...;2013 February;99.2;0.2;-0.3
3291;Total sales;089 Mining and quarrying product...;2013 March;99.8;0.6;0.3
3292;Total sales;089 Mining and quarrying product...;2013 April;99.2;-0.6;4.0
3293;Total sales;089 Mining and quarrying product...;2013 May;99.8;0.6;2.0
3294;Total sales;089 Mining and quarrying product...;2013 June;100.2;0.4;-0.9
3295;Total sales;089 Mining and quarrying product...;2013 July;94.8;-5.4;-2.3
3296;Total sales;089 Mining and quarrying product...;2013 August;97.4;2.8;-2.1
3297;Total sales;089 Mining and quarrying product...;2013 September;96.0;-1.4;-1.3
3298;Total sales;089 Mining and quarrying product...;2013 October;101.1;5.3;2.0
3299;Total sales;089 Mining and quarrying product...;2013 November;98.5;-2.6;-2.9
3300;Total sales;089 Mining and quarrying product...;2013 December;98.2;-0.3;-1.9
3301;Total sales;089 Mining and quarrying product...;2013;98.6;;-0.3
3302;Total sales;089 Mining and quarrying product...;2014 January;101.1;2.9;2.1
3303;Total sales;089 Mining and quarrying product...;2014 February;100.0;-1.0;0.9
3304;Total sales;089 Mining and quarrying product...;2014 March;101.0;0.9;1.2
3305;Total sales;089 Mining and quarrying product...;2014 April;102.1;1.1;2.9
3306;Total sales;089 Mining and quarrying product...;2014 May;103.4;1.3;3.6
3307;Total sales;089 Mining and quarrying product...;2014 June;104.9;1.4;4.6
3308;Total sales;089 Mining and quarrying product...;2014 July;101.0;-3.7;6.5
3309;Total sales;089 Mining and quarrying product...;2014 August;100.7;-0.2;3.4
3310;Total sales;089 Mining and quarrying product...;2014 September;99.8;-1.0;3.9
3311;Total sales;089 Mining and quarrying product...;2014 October;96.6;-3.2;-4.5
3312;Total sales;089 Mining and quarrying product...;2014 November;94.9;-1.8;-3.7
3313;Total sales;089 Mining and quarrying product...;2014 December;98.8;4.2;0.6
3314;Total sales;089 Mining and quarrying product...;2014;100.3;;1.8
3315;Total sales;089 Mining and quarrying product...;2015 January;98.6;-0.2;-2.4
3316;Total sales;089 Mining and quarrying product...;2015 February;98.1;-0.6;-1.9
3317;Total sales;089 Mining and quarrying product...;2015 March;98.9;0.9;-2.0
3318;Total sales;089 Mining and quarrying product...;2015 April;98.7;-0.2;-3.3
3319;Total sales;089 Mining and quarrying product...;2015 May;103.0;4.4;-0.3
3320;Total sales;089 Mining and quarrying product...;2015 June;101.5;-1.4;-3.2
3321;Total sales;089 Mining and quarrying product...;2015 July;104.7;3.2;3.7
3322;Total sales;089 Mining and quarrying product...;2015 August;105.0;0.2;4.2
3323;Total sales;089 Mining and quarrying product...;2015 September;100.1;-4.6;0.3
3324;Total sales;089 Mining and quarrying product...;2015 October;99.7;-0.4;3.2
3325;Total sales;089 Mining and quarrying product...;2015 November;96.6;-3.1;1.8
3326;Total sales;089 Mining and quarrying product...;2015 December;95.0;-1.6;-3.8
3327;Total sales;089 Mining and quarrying product...;2015;100.0;;-0.3
3328;Total sales;089 Mining and quarrying product...;2016 January;94.2;-0.9;-4.5
3329;Total sales;089 Mining and quarrying product...;2016 February;94.0;-0.2;-4.2
3330;Total sales;089 Mining and quarrying product...;2016 March;94.9;0.9;-4.1
3331;Total sales;089 Mining and quarrying product...;2016 April;95.5;0.7;-3.2
3332;Total sales;089 Mining and quarrying product...;2016 May;92.1;-3.6;-10.6
3333;Total sales;089 Mining and quarrying product...;2016 June;91.6;-0.5;-9.8
3334;Total sales;089 Mining and quarrying product...;2016 July;94.2;2.9;-10.1
3335;Total sales;089 Mining and quarrying product...;2016 August;96.5;2.5;-8.1
3336;Total sales;089 Mining and quarrying product...;2016 September;90.2;-6.5;-9.9
3337;Total sales;089 Mining and quarrying product...;2016 October;92.3;2.3;-7.4
3338;Total sales;089 Mining and quarrying product...;2016 November;92.3;0.0;-4.4
3339;Total sales;089 Mining and quarrying product...;2016 December;92.5;0.2;-2.7
3340;Total sales;089 Mining and quarrying product...;2016;93.3;;-6.7
3341;Total sales;089 Mining and quarrying product...;2017 January;92.7;0.2;-1.6
3342;Total sales;089 Mining and quarrying product...;2017 February;96.9;4.5;3.1
3343;Total sales;089 Mining and quarrying product...;2017 March;95.6;-1.3;0.8
3344;Total sales;089 Mining and quarrying product...;2017 April;95.7;0.2;0.3
3345;Total sales;089 Mining and quarrying product...;2017 May;94.3;-1.5;2.5
3346;Total sales;089 Mining and quarrying product...;2017 June;93.5;-0.8;2.2
3347;Total sales;089 Mining and quarrying product...;2017 July;96.0;2.6;1.9
3348;Total sales;089 Mining and quarrying product...;2017 August;94.9;-1.1;-1.6
3349;Total sales;089 Mining and quarrying product...;2017 September;95.9;1.0;6.3
3350;Total sales;089 Mining and quarrying product...;2017 October;93.1;-2.9;0.9
3351;Total sales;089 Mining and quarrying product...;2017 November;96.5;3.7;4.6
3352;Total sales;089 Mining and quarrying product...;2017 December;94.2;-2.4;1.9
3353;Total sales;089 Mining and quarrying product...;2017;95.0;;1.7
3354;Total sales;089 Mining and quarrying product...;2018 January;;;
3355;Total sales;089 Mining and quarrying product...;2018 February;;;
3356;Total sales;089 Mining and quarrying product...;2018 March;;;
3357;Total sales;089 Mining and quarrying product...;2018 April;;;
3358;Total sales;089 Mining and quarrying product...;2018 May;;;
3359;Total sales;089 Mining and quarrying product...;2018 June;;;
3360;Total sales;089 Mining and quarrying product...;2018 July;;;
3361;Total sales;089 Mining and quarrying product...;2018 August;;;
3362;Total sales;089 Mining and quarrying product...;2018 September;;;
3363;Total sales;089 Mining and quarrying product...;2018 October;;;
3364;Total sales;089 Mining and quarrying product...;2018 November;;;
3365;Total sales;089 Mining and quarrying product...;2018 December;;;
3366;Total sales;089 Mining and quarrying product...;2018;;;
3367;Total sales;089 Mining and quarrying product...;2019 January;;;
3368;Total sales;089 Mining and quarrying product...;2019 February;;;
3369;Total sales;089 Mining and quarrying product...;2019 March;;;
3370;Total sales;089 Mining and quarrying product...;2019 April;;;
3371;Total sales;089 Mining and quarrying product...;2019 May;;;
3372;Total sales;089 Mining and quarrying product...;2019 June;;;
3373;Total sales;089 Mining and quarrying product...;2019 July;;;
3374;Total sales;089 Mining and quarrying product...;2019 August;;;
3375;Total sales;089 Mining and quarrying product...;2019 September;;;
3376;Total sales;089 Mining and quarrying product...;2019 October;;;
3377;Total sales;089 Mining and quarrying product...;2019 November;;;
3378;Total sales;089 Mining and quarrying product...;2019 December;;;
3379;Total sales;089 Mining and quarrying product...;2019;104.6;;
3380;Total sales;089 Mining and quarrying product...;2020 January;103.6;;
3381;Total sales;089 Mining and quarrying product...;2020 February;104.1;0.5;
3382;Total sales;089 Mining and quarrying product...;2020 March;103.7;-0.4;
3383;Total sales;089 Mining and quarrying product...;2020 April;102.3;-1.4;
3384;Total sales;089 Mining and quarrying product...;2020 May;99.2;-3.0;
3385;Total sales;089 Mining and quarrying product...;2020 June;99.5;0.3;
3386;Total sales;089 Mining and quarrying product...;2020 July;97.2;-2.3;
3387;Total sales;089 Mining and quarrying product...;2020 August;95.6;-1.6;
3388;Total sales;089 Mining and quarrying product...;2020 September;95.5;-0.1;
3389;Total sales;089 Mining and quarrying product...;2020 October;97.7;2.3;
3390;Total sales;089 Mining and quarrying product...;2020 November;98.0;0.3;
3391;Total sales;089 Mining and quarrying product...;2020 December;100.0;2.1;
3392;Total sales;089 Mining and quarrying product...;2020;99.7;;-4.7
3393;Total sales;089 Mining and quarrying product...;2021 January;95.8;-4.3;-7.5
3394;Total sales;089 Mining and quarrying product...;2021 February;96.1;0.3;-7.7
3395;Total sales;089 Mining and quarrying product...;2021 March;96.5;0.4;-6.9
3396;Total sales;089 Mining and quarrying product...;2021 April;98.7;2.3;-3.5
3397;Total sales;089 Mining and quarrying product...;2021 May;97.9;-0.8;-1.3
3398;Total sales;089 Mining and quarrying product...;2021 June;97.4;-0.5;-2.1
3399;Total sales;089 Mining and quarrying product...;2021 July;100.6;3.3;3.5
3400;Total sales;089 Mining and quarrying product...;2021 August;102.8;2.2;7.6
3401;Total sales;089 Mining and quarrying product...;2021 September;103.6;0.8;8.5
3402;Total sales;089 Mining and quarrying product...;2021 October;115.9;11.9;18.7
3403;Total sales;089 Mining and quarrying product...;2021 November;116.6;0.6;19.0
3404;Total sales;089 Mining and quarrying product...;2021 December;120.6;3.4;20.5
3405;Total sales;089 Mining and quarrying product...;2021;103.5;;3.9
3406;Total sales;089 Mining and quarrying product...;2022 January;144.1;19.5;50.4
3407;Total sales;089 Mining and quarrying product...;2022 February;146.1;1.4;52.1
3408;Total sales;089 Mining and quarrying product...;2022 March;150.5;3.0;56.1
3409;Total sales;089 Mining and quarrying product...;2022 April;152.7;1.4;54.7
3410;Total sales;089 Mining and quarrying product...;2022 May;154.6;1.3;57.9
3411;Total sales;089 Mining and quarrying product...;2022 June;152.6;-1.3;56.7
3412;Total sales;089 Mining and quarrying product...;2022 July;148.4;-2.7;47.5
3413;Total sales;089 Mining and quarrying product...;2022 August;150.3;1.2;46.1
3414;Total sales;089 Mining and quarrying product...;2022 September;147.1;-2.1;41.9
3415;Total sales;089 Mining and quarrying product...;2022 October;150.1;2.0;29.5
3416;Total sales;089 Mining and quarrying product...;2022 November;;;
3417;Total sales;089 Mining and quarrying product...;2022 December;;;
3418;Total sales;089 Mining and quarrying product...;2022;158.8;;53.3
3419;Total sales;089 Mining and quarrying product...;2023 January;189.0;;31.2
3420;Total sales;089 Mining and quarrying product...;2023 February;160.2;-15.3;9.6
3421;Total sales;089 Mining and quarrying product...;2023 March;154.1;-3.8;2.4
3422;Total sales;089 Mining and quarrying product...;2023 April;134.8;-12.5;-11.7
3423;Total sales;089 Mining and quarrying product...;2023 May;134.7;0.0;-12.8
3424;Total sales;089 Mining and quarrying product...;2023 June;132.0;-2.1;-13.5
3425;Total sales;089 Mining and quarrying product...;2023 July;130.4;-1.2;-12.2
3426;Total sales;089 Mining and quarrying product...;2023 August;128.5;-1.4;-14.5
3427;Total sales;089 Mining and quarrying product...;2023 September;128.7;0.2;-12.5
3428;Total sales;089 Mining and quarrying product...;2023 October;128.5;-0.2;-14.4
3429;Total sales;089 Mining and quarrying product...;2023 November;125.4;-2.4;
3430;Total sales;089 Mining and quarrying product...;2023 December;;;
3431;Total sales;089 Mining and quarrying product...;2023;;;
3432;Total sales;0891 Chemical and fertiliser minerals..;2012 January;92.7;;
3433;Total sales;0891 Chemical and fertiliser minerals..;2012 February;93.8;1.1;
3434;Total sales;0891 Chemical and fertiliser minerals..;2012 March;93.9;0.1;
3435;Total sales;0891 Chemical and fertiliser minerals..;2012 April;94.8;1.0;
3436;Total sales;0891 Chemical and fertiliser minerals..;2012 May;94.8;0.0;
3437;Total sales;0891 Chemical and fertiliser minerals..;2012 June;94.8;0.0;
3438;Total sales;0891 Chemical and fertiliser minerals..;2012 July;95.2;0.4;
3439;Total sales;0891 Chemical and fertiliser minerals..;2012 August;95.2;0.0;
3440;Total sales;0891 Chemical and fertiliser minerals..;2012 September;95.2;0.0;
3441;Total sales;0891 Chemical and fertiliser minerals..;2012 October;96.3;1.1;
3442;Total sales;0891 Chemical and fertiliser minerals..;2012 November;96.3;0.0;
3443;Total sales;0891 Chemical and fertiliser minerals..;2012 December;96.3;0.0;
3444;Total sales;0891 Chemical and fertiliser minerals..;2012;94.9;;
3445;Total sales;0891 Chemical and fertiliser minerals..;2013 January;97.8;1.6;5.5
3446;Total sales;0891 Chemical and fertiliser minerals..;2013 February;97.8;0.0;4.3
3447;Total sales;0891 Chemical and fertiliser minerals..;2013 March;97.8;0.0;4.2
3448;Total sales;0891 Chemical and fertiliser minerals..;2013 April;97.8;0.0;3.2
3449;Total sales;0891 Chemical and fertiliser minerals..;2013 May;97.8;0.0;3.2
3450;Total sales;0891 Chemical and fertiliser minerals..;2013 June;97.8;0.0;3.2
3451;Total sales;0891 Chemical and fertiliser minerals..;2013 July;97.8;0.0;2.7
3452;Total sales;0891 Chemical and fertiliser minerals..;2013 August;97.8;0.0;2.7
3453;Total sales;0891 Chemical and fertiliser minerals..;2013 September;97.8;0.0;2.7
3454;Total sales;0891 Chemical and fertiliser minerals..;2013 October;97.8;0.0;1.6
3455;Total sales;0891 Chemical and fertiliser minerals..;2013 November;97.8;0.0;1.6
3456;Total sales;0891 Chemical and fertiliser minerals..;2013 December;97.8;0.0;1.6
3457;Total sales;0891 Chemical and fertiliser minerals..;2013;97.8;;3.0
3458;Total sales;0891 Chemical and fertiliser minerals..;2014 January;;;
3459;Total sales;0891 Chemical and fertiliser minerals..;2014 February;;;
3460;Total sales;0891 Chemical and fertiliser minerals..;2014 March;;;
3461;Total sales;0891 Chemical and fertiliser minerals..;2014 April;;;
3462;Total sales;0891 Chemical and fertiliser minerals..;2014 May;;;
3463;Total sales;0891 Chemical and fertiliser minerals..;2014 June;;;
3464;Total sales;0891 Chemical and fertiliser minerals..;2014 July;;;
3465;Total sales;0891 Chemical and fertiliser minerals..;2014 August;;;
3466;Total sales;0891 Chemical and fertiliser minerals..;2014 September;;;
3467;Total sales;0891 Chemical and fertiliser minerals..;2014 October;;;
3468;Total sales;0891 Chemical and fertiliser minerals..;2014 November;;;
3469;Total sales;0891 Chemical and fertiliser minerals..;2014 December;;;
3470;Total sales;0891 Chemical and fertiliser minerals..;2014;;;
3471;Total sales;0891 Chemical and fertiliser minerals..;2015 January;;;
3472;Total sales;0891 Chemical and fertiliser minerals..;2015 February;;;
3473;Total sales;0891 Chemical and fertiliser minerals..;2015 March;;;
3474;Total sales;0891 Chemical and fertiliser minerals..;2015 April;;;
3475;Total sales;0891 Chemical and fertiliser minerals..;2015 May;;;
3476;Total sales;0891 Chemical and fertiliser minerals..;2015 June;;;
3477;Total sales;0891 Chemical and fertiliser minerals..;2015 July;;;
3478;Total sales;0891 Chemical and fertiliser minerals..;2015 August;;;
3479;Total sales;0891 Chemical and fertiliser minerals..;2015 September;;;
3480;Total sales;0891 Chemical and fertiliser minerals..;2015 October;;;
3481;Total sales;0891 Chemical and fertiliser minerals..;2015 November;;;
3482;Total sales;0891 Chemical and fertiliser minerals..;2015 December;;;
3483;Total sales;0891 Chemical and fertiliser minerals..;2015;;;
3484;Total sales;0891 Chemical and fertiliser minerals..;2016 January;;;
3485;Total sales;0891 Chemical and fertiliser minerals..;2016 February;;;
3486;Total sales;0891 Chemical and fertiliser minerals..;2016 March;;;
3487;Total sales;0891 Chemical and fertiliser minerals..;2016 April;;;
3488;Total sales;0891 Chemical and fertiliser minerals..;2016 May;;;
3489;Total sales;0891 Chemical and fertiliser minerals..;2016 June;;;
3490;Total sales;0891 Chemical and fertiliser minerals..;2016 July;;;
3491;Total sales;0891 Chemical and fertiliser minerals..;2016 August;;;
3492;Total sales;0891 Chemical and fertiliser minerals..;2016 September;;;
3493;Total sales;0891 Chemical and fertiliser minerals..;2016 October;;;
3494;Total sales;0891 Chemical and fertiliser minerals..;2016 November;;;
3495;Total sales;0891 Chemical and fertiliser minerals..;2016 December;;;
3496;Total sales;0891 Chemical and fertiliser minerals..;2016;;;
3497;Total sales;0891 Chemical and fertiliser minerals..;2017 January;;;
3498;Total sales;0891 Chemical and fertiliser minerals..;2017 February;;;
3499;Total sales;0891 Chemical and fertiliser minerals..;2017 March;;;
3500;Total sales;0891 Chemical and fertiliser minerals..;2017 April;;;
3501;Total sales;0891 Chemical and fertiliser minerals..;2017 May;;;
3502;Total sales;0891 Chemical and fertiliser minerals..;2017 June;;;
3503;Total sales;0891 Chemical and fertiliser minerals..;2017 July;;;
3504;Total sales;0891 Chemical and fertiliser minerals..;2017 August;;;
3505;Total sales;0891 Chemical and fertiliser minerals..;2017 September;;;
3506;Total sales;0891 Chemical and fertiliser minerals..;2017 October;;;
3507;Total sales;0891 Chemical and fertiliser minerals..;2017 November;;;
3508;Total sales;0891 Chemical and fertiliser minerals..;2017 December;;;
3509;Total sales;0891 Chemical and fertiliser minerals..;2017;;;
3510;Total sales;0891 Chemical and fertiliser minerals..;2018 January;;;
3511;Total sales;0891 Chemical and fertiliser minerals..;2018 February;;;
3512;Total sales;0891 Chemical and fertiliser minerals..;2018 March;;;
3513;Total sales;0891 Chemical and fertiliser minerals..;2018 April;;;
3514;Total sales;0891 Chemical and fertiliser minerals..;2018 May;105.7;;
3515;Total sales;0891 Chemical and fertiliser minerals..;2018 June;105.7;0.0;
3516;Total sales;0891 Chemical and fertiliser minerals..;2018 July;105.7;0.0;
3517;Total sales;0891 Chemical and fertiliser minerals..;2018 August;105.7;0.0;
3518;Total sales;0891 Chemical and fertiliser minerals..;2018 September;105.7;0.0;
3519;Total sales;0891 Chemical and fertiliser minerals..;2018 October;106.7;1.0;
3520;Total sales;0891 Chemical and fertiliser minerals..;2018 November;106.7;0.0;
3521;Total sales;0891 Chemical and fertiliser minerals..;2018 December;106.7;0.0;
3522;Total sales;0891 Chemical and fertiliser minerals..;2018;;;
3523;Total sales;0891 Chemical and fertiliser minerals..;2019 January;109.9;3.0;
3524;Total sales;0891 Chemical and fertiliser minerals..;2019 February;109.9;0.0;
3525;Total sales;0891 Chemical and fertiliser minerals..;2019 March;109.9;0.0;
3526;Total sales;0891 Chemical and fertiliser minerals..;2019 April;109.0;-0.8;
3527;Total sales;0891 Chemical and fertiliser minerals..;2019 May;109.0;0.0;3.2
3528;Total sales;0891 Chemical and fertiliser minerals..;2019 June;109.0;0.0;3.2
3529;Total sales;0891 Chemical and fertiliser minerals..;2019 July;109.3;0.2;3.4
3530;Total sales;0891 Chemical and fertiliser minerals..;2019 August;109.3;0.0;3.4
3531;Total sales;0891 Chemical and fertiliser minerals..;2019 September;109.3;0.0;3.4
3532;Total sales;0891 Chemical and fertiliser minerals..;2019 October;109.0;-0.2;2.2
3533;Total sales;0891 Chemical and fertiliser minerals..;2019 November;109.0;0.0;2.2
3534;Total sales;0891 Chemical and fertiliser minerals..;2019 December;109.0;0.0;2.2
3535;Total sales;0891 Chemical and fertiliser minerals..;2019;109.3;;
3536;Total sales;0891 Chemical and fertiliser minerals..;2020 January;111.2;2.0;1.2
3537;Total sales;0891 Chemical and fertiliser minerals..;2020 February;111.2;0.0;1.2
3538;Total sales;0891 Chemical and fertiliser minerals..;2020 March;111.2;0.0;1.2
3539;Total sales;0891 Chemical and fertiliser minerals..;2020 April;111.2;0.0;2.0
3540;Total sales;0891 Chemical and fertiliser minerals..;2020 May;111.2;0.0;2.0
3541;Total sales;0891 Chemical and fertiliser minerals..;2020 June;111.2;0.0;2.0
3542;Total sales;0891 Chemical and fertiliser minerals..;2020 July;111.2;0.0;1.8
3543;Total sales;0891 Chemical and fertiliser minerals..;2020 August;111.2;0.0;1.8
3544;Total sales;0891 Chemical and fertiliser minerals..;2020 September;111.2;0.0;1.8
3545;Total sales;0891 Chemical and fertiliser minerals..;2020 October;111.2;0.0;2.0
3546;Total sales;0891 Chemical and fertiliser minerals..;2020 November;111.2;0.0;2.0
3547;Total sales;0891 Chemical and fertiliser minerals..;2020 December;111.2;0.0;2.0
3548;Total sales;0891 Chemical and fertiliser minerals..;2020;111.2;;1.7
3549;Total sales;0891 Chemical and fertiliser minerals..;2021 January;113.4;1.9;1.9
3550;Total sales;0891 Chemical and fertiliser minerals..;2021 February;113.4;0.0;1.9
3551;Total sales;0891 Chemical and fertiliser minerals..;2021 March;113.4;0.0;1.9
3552;Total sales;0891 Chemical and fertiliser minerals..;2021 April;113.0;-0.3;1.6
3553;Total sales;0891 Chemical and fertiliser minerals..;2021 May;113.0;0.0;1.6
3554;Total sales;0891 Chemical and fertiliser minerals..;2021 June;113.0;0.0;1.6
3555;Total sales;0891 Chemical and fertiliser minerals..;2021 July;113.2;0.2;1.8
3556;Total sales;0891 Chemical and fertiliser minerals..;2021 August;113.2;0.0;1.8
3557;Total sales;0891 Chemical and fertiliser minerals..;2021 September;113.2;0.0;1.8
3558;Total sales;0891 Chemical and fertiliser minerals..;2021 October;114.5;1.1;2.9
3559;Total sales;0891 Chemical and fertiliser minerals..;2021 November;114.5;0.0;2.9
3560;Total sales;0891 Chemical and fertiliser minerals..;2021 December;114.5;0.0;2.9
3561;Total sales;0891 Chemical and fertiliser minerals..;2021;113.5;;2.1
3562;Total sales;0891 Chemical and fertiliser minerals..;2022 January;121.6;6.3;7.3
3563;Total sales;0891 Chemical and fertiliser minerals..;2022 February;121.6;0.0;7.3
3564;Total sales;0891 Chemical and fertiliser minerals..;2022 March;121.6;0.0;7.3
3565;Total sales;0891 Chemical and fertiliser minerals..;2022 April;124.4;2.2;10.1
3566;Total sales;0891 Chemical and fertiliser minerals..;2022 May;124.4;0.0;10.1
3567;Total sales;0891 Chemical and fertiliser minerals..;2022 June;124.7;0.3;10.4
3568;Total sales;0891 Chemical and fertiliser minerals..;2022 July;;;
3569;Total sales;0891 Chemical and fertiliser minerals..;2022 August;;;
3570;Total sales;0891 Chemical and fertiliser minerals..;2022 September;;;
3571;Total sales;0891 Chemical and fertiliser minerals..;2022 October;;;
3572;Total sales;0891 Chemical and fertiliser minerals..;2022 November;;;
3573;Total sales;0891 Chemical and fertiliser minerals..;2022 December;;;
3574;Total sales;0891 Chemical and fertiliser minerals..;2022;;;
3575;Total sales;0891 Chemical and fertiliser minerals..;2023 January;;;
3576;Total sales;0891 Chemical and fertiliser minerals..;2023 February;;;
3577;Total sales;0891 Chemical and fertiliser minerals..;2023 March;;;
3578;Total sales;0891 Chemical and fertiliser minerals..;2023 April;;;
3579;Total sales;0891 Chemical and fertiliser minerals..;2023 May;;;
3580;Total sales;0891 Chemical and fertiliser minerals..;2023 June;;;
3581;Total sales;0891 Chemical and fertiliser minerals..;2023 July;;;
3582;Total sales;0891 Chemical and fertiliser minerals..;2023 August;;;
3583;Total sales;0891 Chemical and fertiliser minerals..;2023 September;;;
3584;Total sales;0891 Chemical and fertiliser minerals..;2023 October;;;
3585;Total sales;0891 Chemical and fertiliser minerals..;2023 November;;;
3586;Total sales;0891 Chemical and fertiliser minerals..;2023 December;;;
3587;Total sales;0891 Chemical and fertiliser minerals..;2023;;;
3588;Total sales;0893 Salt and pure sodium chlorid...;2012 January;;;
3589;Total sales;0893 Salt and pure sodium chlorid...;2012 February;;;
3590;Total sales;0893 Salt and pure sodium chlorid...;2012 March;;;
3591;Total sales;0893 Salt and pure sodium chlorid...;2012 April;;;
3592;Total sales;0893 Salt and pure sodium chlorid...;2012 May;;;
3593;Total sales;0893 Salt and pure sodium chlorid...;2012 June;;;
3594;Total sales;0893 Salt and pure sodium chlorid...;2012 July;;;
3595;Total sales;0893 Salt and pure sodium chlorid...;2012 August;;;
3596;Total sales;0893 Salt and pure sodium chlorid...;2012 September;;;
3597;Total sales;0893 Salt and pure sodium chlorid...;2012 October;;;
3598;Total sales;0893 Salt and pure sodium chlorid...;2012 November;;;
3599;Total sales;0893 Salt and pure sodium chlorid...;2012 December;;;
3600;Total sales;0893 Salt and pure sodium chlorid...;2012;;;
3601;Total sales;0893 Salt and pure sodium chlorid...;2013 January;;;
3602;Total sales;0893 Salt and pure sodium chlorid...;2013 February;;;
3603;Total sales;0893 Salt and pure sodium chlorid...;2013 March;;;
3604;Total sales;0893 Salt and pure sodium chlorid...;2013 April;;;
3605;Total sales;0893 Salt and pure sodium chlorid...;2013 May;;;
3606;Total sales;0893 Salt and pure sodium chlorid...;2013 June;;;
3607;Total sales;0893 Salt and pure sodium chlorid...;2013 July;;;
3608;Total sales;0893 Salt and pure sodium chlorid...;2013 August;;;
3609;Total sales;0893 Salt and pure sodium chlorid...;2013 September;;;
3610;Total sales;0893 Salt and pure sodium chlorid...;2013 October;;;
3611;Total sales;0893 Salt and pure sodium chlorid...;2013 November;;;
3612;Total sales;0893 Salt and pure sodium chlorid...;2013 December;;;
3613;Total sales;0893 Salt and pure sodium chlorid...;2013;;;
3614;Total sales;0893 Salt and pure sodium chlorid...;2014 January;;;
3615;Total sales;0893 Salt and pure sodium chlorid...;2014 February;;;
3616;Total sales;0893 Salt and pure sodium chlorid...;2014 March;;;
3617;Total sales;0893 Salt and pure sodium chlorid...;2014 April;;;
3618;Total sales;0893 Salt and pure sodium chlorid...;2014 May;;;
3619;Total sales;0893 Salt and pure sodium chlorid...;2014 June;;;
3620;Total sales;0893 Salt and pure sodium chlorid...;2014 July;;;
3621;Total sales;0893 Salt and pure sodium chlorid...;2014 August;;;
3622;Total sales;0893 Salt and pure sodium chlorid...;2014 September;;;
3623;Total sales;0893 Salt and pure sodium chlorid...;2014 October;;;
3624;Total sales;0893 Salt and pure sodium chlorid...;2014 November;;;
3625;Total sales;0893 Salt and pure sodium chlorid...;2014 December;;;
3626;Total sales;0893 Salt and pure sodium chlorid...;2014;;;
3627;Total sales;0893 Salt and pure sodium chlorid...;2015 January;;;
