ID;Regions;Periods;PriceIndex_1;ChangesOnePeriodPrevious_2;ChangesOneYearPrevious_3;Number_4;ChangesOnePeriodPrevious_5;ChangesOneYearPrevious_6;AveragePurchasePrice_7;TotalValuePurchasePrices_8
2610;Zuidwest-Drenthe (CR);2004 August;;;;;;;;
2611;Zuidwest-Drenthe (CR);2004 September;;;;;;;;
2612;Zuidwest-Drenthe (CR);2004 3rd quarter;96.6;1.9;3.5;345.0;-10.4;-0.9;201293.0;69.0
2613;Zuidwest-Drenthe (CR);2004 October;;;;;;;;
2614;Zuidwest-Drenthe (CR);2004 November;;;;;;;;
2615;Zuidwest-Drenthe (CR);2004 December;;;;;;;;
2616;Zuidwest-Drenthe (CR);2004 4th quarter;96.2;-0.5;3.7;354.0;2.6;-19.7;191827.0;68.0
2617;Zuidwest-Drenthe (CR);2004;96.0;4.3;4.3;1351.0;-6.3;-6.3;192475.0;260.0
2618;Zuidwest-Drenthe (CR);2005 January;;;;;;;;
2619;Zuidwest-Drenthe (CR);2005 February;;;;;;;;
2620;Zuidwest-Drenthe (CR);2005 March;;;;;;;;
2621;Zuidwest-Drenthe (CR);2005 1st quarter;98.6;2.5;2.0;282.0;-20.3;5.6;190621.0;54.0
2622;Zuidwest-Drenthe (CR);2005 April;;;;;;;;
2623;Zuidwest-Drenthe (CR);2005 May;;;;;;;;
2624;Zuidwest-Drenthe (CR);2005 June;;;;;;;;
2625;Zuidwest-Drenthe (CR);2005 2nd quarter;98.7;0.1;4.0;378.0;34.0;-1.8;194145.0;73.0
2626;Zuidwest-Drenthe (CR);2005 July;;;;;;;;
2627;Zuidwest-Drenthe (CR);2005 August;;;;;;;;
2628;Zuidwest-Drenthe (CR);2005 September;;;;;;;;
2629;Zuidwest-Drenthe (CR);2005 3rd quarter;101.5;2.8;5.0;426.0;12.7;23.5;206326.0;88.0
2630;Zuidwest-Drenthe (CR);2005 October;;;;;;;;
2631;Zuidwest-Drenthe (CR);2005 November;;;;;;;;
2632;Zuidwest-Drenthe (CR);2005 December;;;;;;;;
2633;Zuidwest-Drenthe (CR);2005 4th quarter;101.3;-0.1;5.3;408.0;-4.2;15.3;210791.0;86.0
2634;Zuidwest-Drenthe (CR);2005;100.0;4.2;4.2;1494.0;10.6;10.6;201499.0;301.0
2635;Zuidwest-Drenthe (CR);2006 January;;;;;;;;
2636;Zuidwest-Drenthe (CR);2006 February;;;;;;;;
2637;Zuidwest-Drenthe (CR);2006 March;;;;;;;;
2638;Zuidwest-Drenthe (CR);2006 1st quarter;103.6;2.3;5.1;378.0;-7.4;34.0;214367.0;81.0
2639;Zuidwest-Drenthe (CR);2006 April;;;;;;;;
2640;Zuidwest-Drenthe (CR);2006 May;;;;;;;;
2641;Zuidwest-Drenthe (CR);2006 June;;;;;;;;
2642;Zuidwest-Drenthe (CR);2006 2nd quarter;104.7;1.0;6.1;407.0;7.7;7.7;211779.0;86.0
2643;Zuidwest-Drenthe (CR);2006 July;;;;;;;;
2644;Zuidwest-Drenthe (CR);2006 August;;;;;;;;
2645;Zuidwest-Drenthe (CR);2006 September;;;;;;;;
2646;Zuidwest-Drenthe (CR);2006 3rd quarter;105.8;1.1;4.3;478.0;17.4;12.2;216660.0;104.0
2647;Zuidwest-Drenthe (CR);2006 October;;;;;;;;
2648;Zuidwest-Drenthe (CR);2006 November;;;;;;;;
2649;Zuidwest-Drenthe (CR);2006 December;;;;;;;;
2650;Zuidwest-Drenthe (CR);2006 4th quarter;105.3;-0.5;3.9;429.0;-10.3;5.1;224881.0;96.0
2651;Zuidwest-Drenthe (CR);2006;104.8;4.8;4.8;1692.0;13.3;13.3;217058.0;367.0
2652;Zuidwest-Drenthe (CR);2007 January;;;;;;;;
2653;Zuidwest-Drenthe (CR);2007 February;;;;;;;;
2654;Zuidwest-Drenthe (CR);2007 March;;;;;;;;
2655;Zuidwest-Drenthe (CR);2007 1st quarter;108.4;3.0;4.6;330.0;-23.1;-12.7;217401.0;72.0
2656;Zuidwest-Drenthe (CR);2007 April;;;;;;;;
2657;Zuidwest-Drenthe (CR);2007 May;;;;;;;;
2658;Zuidwest-Drenthe (CR);2007 June;;;;;;;;
2659;Zuidwest-Drenthe (CR);2007 2nd quarter;109.2;0.7;4.3;371.0;12.4;-8.8;229002.0;85.0
2660;Zuidwest-Drenthe (CR);2007 July;;;;;;;;
2661;Zuidwest-Drenthe (CR);2007 August;;;;;;;;
2662;Zuidwest-Drenthe (CR);2007 September;;;;;;;;
2663;Zuidwest-Drenthe (CR);2007 3rd quarter;108.1;-1.0;2.2;358.0;-3.5;-25.1;230092.0;82.0
2664;Zuidwest-Drenthe (CR);2007 October;;;;;;;;
2665;Zuidwest-Drenthe (CR);2007 November;;;;;;;;
2666;Zuidwest-Drenthe (CR);2007 December;;;;;;;;
2667;Zuidwest-Drenthe (CR);2007 4th quarter;112.4;3.9;6.8;379.0;5.9;-11.7;242908.0;92.0
2668;Zuidwest-Drenthe (CR);2007;109.3;4.3;4.3;1438.0;-15.0;-15.0;230276.0;331.0
2669;Zuidwest-Drenthe (CR);2008 January;;;;;;;;
2670;Zuidwest-Drenthe (CR);2008 February;;;;;;;;
2671;Zuidwest-Drenthe (CR);2008 March;;;;;;;;
2672;Zuidwest-Drenthe (CR);2008 1st quarter;108.6;-3.3;0.2;343.0;-9.5;3.9;216517.0;74.0
2673;Zuidwest-Drenthe (CR);2008 April;;;;;;;;
2674;Zuidwest-Drenthe (CR);2008 May;;;;;;;;
2675;Zuidwest-Drenthe (CR);2008 June;;;;;;;;
2676;Zuidwest-Drenthe (CR);2008 2nd quarter;111.9;3.0;2.5;358.0;4.4;-3.5;238870.0;86.0
2677;Zuidwest-Drenthe (CR);2008 July;;;;;;;;
2678;Zuidwest-Drenthe (CR);2008 August;;;;;;;;
2679;Zuidwest-Drenthe (CR);2008 September;;;;;;;;
2680;Zuidwest-Drenthe (CR);2008 3rd quarter;109.9;-1.8;1.7;385.0;7.5;7.5;220927.0;85.0
2681;Zuidwest-Drenthe (CR);2008 October;;;;;;;;
2682;Zuidwest-Drenthe (CR);2008 November;;;;;;;;
2683;Zuidwest-Drenthe (CR);2008 December;;;;;;;;
2684;Zuidwest-Drenthe (CR);2008 4th quarter;110.6;0.7;-1.5;334.0;-13.2;-11.9;227558.0;76.0
2685;Zuidwest-Drenthe (CR);2008;110.2;0.8;0.8;1420.0;-1.3;-1.3;225945.0;321.0
2686;Zuidwest-Drenthe (CR);2009 January;;;;;;;;
2687;Zuidwest-Drenthe (CR);2009 February;;;;;;;;
2688;Zuidwest-Drenthe (CR);2009 March;;;;;;;;
2689;Zuidwest-Drenthe (CR);2009 1st quarter;110.8;0.1;2.0;231.0;-30.8;-32.7;208723.0;48.0
2690;Zuidwest-Drenthe (CR);2009 April;;;;;;;;
2691;Zuidwest-Drenthe (CR);2009 May;;;;;;;;
2692;Zuidwest-Drenthe (CR);2009 June;;;;;;;;
2693;Zuidwest-Drenthe (CR);2009 2nd quarter;108.6;-2.0;-3.0;257.0;11.3;-28.2;210467.0;54.0
2694;Zuidwest-Drenthe (CR);2009 July;;;;;;;;
2695;Zuidwest-Drenthe (CR);2009 August;;;;;;;;
2696;Zuidwest-Drenthe (CR);2009 September;;;;;;;;
2697;Zuidwest-Drenthe (CR);2009 3rd quarter;105.3;-3.0;-4.2;224.0;-12.8;-41.8;207080.0;46.0
2698;Zuidwest-Drenthe (CR);2009 October;;;;;;;;
2699;Zuidwest-Drenthe (CR);2009 November;;;;;;;;
2700;Zuidwest-Drenthe (CR);2009 December;;;;;;;;
2701;Zuidwest-Drenthe (CR);2009 4th quarter;105.2;-0.1;-4.9;238.0;6.3;-28.7;204753.0;49.0
2702;Zuidwest-Drenthe (CR);2009;107.7;-2.2;-2.2;950.0;-33.1;-33.1;207813.0;197.0
2703;Zuidwest-Drenthe (CR);2010 January;;;;;;;;
2704;Zuidwest-Drenthe (CR);2010 February;;;;;;;;
2705;Zuidwest-Drenthe (CR);2010 March;;;;;;;;
2706;Zuidwest-Drenthe (CR);2010 1st quarter;103.8;-1.3;-6.3;176.0;-26.1;-23.8;214162.0;38.0
2707;Zuidwest-Drenthe (CR);2010 April;;;;;;;;
2708;Zuidwest-Drenthe (CR);2010 May;;;;;;;;
2709;Zuidwest-Drenthe (CR);2010 June;;;;;;;;
2710;Zuidwest-Drenthe (CR);2010 2nd quarter;105.3;1.4;-3.0;246.0;39.8;-4.3;222074.0;55.0
2711;Zuidwest-Drenthe (CR);2010 July;;;;;;;;
2712;Zuidwest-Drenthe (CR);2010 August;;;;;;;;
2713;Zuidwest-Drenthe (CR);2010 September;;;;;;;;
2714;Zuidwest-Drenthe (CR);2010 3rd quarter;105.6;0.2;0.2;228.0;-7.3;1.8;211159.0;48.0
2715;Zuidwest-Drenthe (CR);2010 October;;;;;;;;
2716;Zuidwest-Drenthe (CR);2010 November;;;;;;;;
2717;Zuidwest-Drenthe (CR);2010 December;;;;;;;;
2718;Zuidwest-Drenthe (CR);2010 4th quarter;104.3;-1.2;-0.9;243.0;6.6;2.1;215985.0;52.0
2719;Zuidwest-Drenthe (CR);2010;105.3;-2.3;-2.3;893.0;-6.0;-6.0;216071.0;193.0
2720;Zuidwest-Drenthe (CR);2011 January;;;;;;;;
2721;Zuidwest-Drenthe (CR);2011 February;;;;;;;;
2722;Zuidwest-Drenthe (CR);2011 March;;;;;;;;
2723;Zuidwest-Drenthe (CR);2011 1st quarter;103.5;-0.8;-0.4;218.0;-10.3;23.9;206001.0;45.0
2724;Zuidwest-Drenthe (CR);2011 April;;;;;;;;
2725;Zuidwest-Drenthe (CR);2011 May;;;;;;;;
2726;Zuidwest-Drenthe (CR);2011 June;;;;;;;;
2727;Zuidwest-Drenthe (CR);2011 2nd quarter;103.6;0.1;-1.6;202.0;-7.3;-17.9;201312.0;41.0
2728;Zuidwest-Drenthe (CR);2011 July;;;;;;;;
2729;Zuidwest-Drenthe (CR);2011 August;;;;;;;;
2730;Zuidwest-Drenthe (CR);2011 September;;;;;;;;
2731;Zuidwest-Drenthe (CR);2011 3rd quarter;100.6;-2.9;-4.7;219.0;8.4;-3.9;210404.0;46.0
2732;Zuidwest-Drenthe (CR);2011 October;;;;;;;;
2733;Zuidwest-Drenthe (CR);2011 November;;;;;;;;
2734;Zuidwest-Drenthe (CR);2011 December;;;;;;;;
2735;Zuidwest-Drenthe (CR);2011 4th quarter;100.6;0.0;-3.5;260.0;18.7;7.0;220361.0;57.0
2736;Zuidwest-Drenthe (CR);2011;101.4;-3.7;-3.7;899.0;0.7;0.7;210173.0;189.0
2737;Zuidwest-Drenthe (CR);2012 January;;;;;;;;
2738;Zuidwest-Drenthe (CR);2012 February;;;;;;;;
2739;Zuidwest-Drenthe (CR);2012 March;;;;;;;;
2740;Zuidwest-Drenthe (CR);2012 1st quarter;99.8;-0.8;-3.5;177.0;-31.9;-18.8;196035.0;35.0
2741;Zuidwest-Drenthe (CR);2012 April;;;;;;;;
2742;Zuidwest-Drenthe (CR);2012 May;;;;;;;;
2743;Zuidwest-Drenthe (CR);2012 June;;;;;;;;
2744;Zuidwest-Drenthe (CR);2012 2nd quarter;95.3;-4.5;-8.0;253.0;42.9;25.2;209303.0;53.0
2745;Zuidwest-Drenthe (CR);2012 July;;;;;;;;
2746;Zuidwest-Drenthe (CR);2012 August;;;;;;;;
2747;Zuidwest-Drenthe (CR);2012 September;;;;;;;;
2748;Zuidwest-Drenthe (CR);2012 3rd quarter;96.9;1.7;-3.7;190.0;-24.9;-13.2;200247.0;38.0
2749;Zuidwest-Drenthe (CR);2012 October;;;;;;;;
2750;Zuidwest-Drenthe (CR);2012 November;;;;;;;;
2751;Zuidwest-Drenthe (CR);2012 December;;;;;;;;
2752;Zuidwest-Drenthe (CR);2012 4th quarter;93.5;-3.5;-7.0;308.0;62.1;18.5;196130.0;60.0
2753;Zuidwest-Drenthe (CR);2012;94.9;-6.4;-6.4;928.0;3.2;3.2;200546.0;186.0
2754;Noord-Overijssel (CR);1995 January;;;;;;;;
2755;Noord-Overijssel (CR);1995 February;;;;;;;;
2756;Noord-Overijssel (CR);1995 March ;;;;;;;;
2757;Noord-Overijssel (CR);1995 1st quarter;39.7;;;621.0;;;80596.0;50.0
2758;Noord-Overijssel (CR);1995 April;;;;;;;;
2759;Noord-Overijssel (CR);1995 May;;;;;;;;
2760;Noord-Overijssel (CR);1995 June;;;;;;;;
2761;Noord-Overijssel (CR);1995 2nd quarter;39.4;-0.7;;841.0;35.4;;81832.0;69.0
2762;Noord-Overijssel (CR);1995 July;;;;;;;;
2763;Noord-Overijssel (CR);1995 August;;;;;;;;
2764;Noord-Overijssel (CR);1995 September;;;;;;;;
2765;Noord-Overijssel (CR);1995 3rd quarter;39.7;0.9;;915.0;8.8;;83785.0;77.0
2766;Noord-Overijssel (CR);1995 October;;;;;;;;
2767;Noord-Overijssel (CR);1995 November;;;;;;;;
2768;Noord-Overijssel (CR);1995 December;;;;;;;;
2769;Noord-Overijssel (CR);1995 4th quarter;41.7;4.9;;950.0;3.8;;88627.0;84.0
2770;Noord-Overijssel (CR);1995;40.8;;;3327.0;;;84079.0;280.0
2771;Noord-Overijssel (CR);1996 January;;;;;;;;
2772;Noord-Overijssel (CR);1996 February;;;;;;;;
2773;Noord-Overijssel (CR);1996 March ;;;;;;;;
2774;Noord-Overijssel (CR);1996 1st quarter;41.5;-0.5;4.5;650.0;-31.6;4.7;85983.0;56.0
2775;Noord-Overijssel (CR);1996 April;;;;;;;;
2776;Noord-Overijssel (CR);1996 May;;;;;;;;
2777;Noord-Overijssel (CR);1996 June;;;;;;;;
2778;Noord-Overijssel (CR);1996 2nd quarter;44.2;6.6;12.2;903.0;38.9;7.4;95293.0;86.0
2779;Noord-Overijssel (CR);1996 July;;;;;;;;
2780;Noord-Overijssel (CR);1996 August;;;;;;;;
2781;Noord-Overijssel (CR);1996 September;;;;;;;;
2782;Noord-Overijssel (CR);1996 3rd quarter;45.5;2.9;14.4;1022.0;13.2;11.7;98552.0;101.0
2783;Noord-Overijssel (CR);1996 October;;;;;;;;
2784;Noord-Overijssel (CR);1996 November;;;;;;;;
2785;Noord-Overijssel (CR);1996 December;;;;;;;;
2786;Noord-Overijssel (CR);1996 4th quarter;47.0;3.3;12.7;941.0;-7.9;-0.9;95588.0;90.0
2787;Noord-Overijssel (CR);1996;45.2;10.9;10.9;3516.0;5.7;5.7;94598.0;333.0
2788;Noord-Overijssel (CR);1997 January;;;;;;;;
2789;Noord-Overijssel (CR);1997 February;;;;;;;;
2790;Noord-Overijssel (CR);1997 March ;;;;;;;;
2791;Noord-Overijssel (CR);1997 1st quarter;47.7;1.6;15.0;672.0;-28.6;3.4;100440.0;67.0
2792;Noord-Overijssel (CR);1997 April;;;;;;;;
2793;Noord-Overijssel (CR);1997 May;;;;;;;;
2794;Noord-Overijssel (CR);1997 June;;;;;;;;
2795;Noord-Overijssel (CR);1997 2nd quarter;48.8;2.2;10.3;926.0;37.8;2.5;107009.0;99.0
2796;Noord-Overijssel (CR);1997 July;;;;;;;;
2797;Noord-Overijssel (CR);1997 August;;;;;;;;
2798;Noord-Overijssel (CR);1997 September;;;;;;;;
2799;Noord-Overijssel (CR);1997 3rd quarter;48.8;0.1;7.4;1122.0;21.2;9.8;103156.0;116.0
2800;Noord-Overijssel (CR);1997 October;;;;;;;;
2801;Noord-Overijssel (CR);1997 November;;;;;;;;
2802;Noord-Overijssel (CR);1997 December;;;;;;;;
2803;Noord-Overijssel (CR);1997 4th quarter;51.7;5.8;10.0;1129.0;0.6;20.0;111515.0;126.0
2804;Noord-Overijssel (CR);1997;50.0;10.6;10.6;3849.0;9.5;9.5;106060.0;408.0
2805;Noord-Overijssel (CR);1998 January;;;;;;;;
2806;Noord-Overijssel (CR);1998 February;;;;;;;;
2807;Noord-Overijssel (CR);1998 March ;;;;;;;;
2808;Noord-Overijssel (CR);1998 1st quarter;51.8;0.3;8.6;792.0;-29.8;17.9;110524.0;88.0
2809;Noord-Overijssel (CR);1998 April;;;;;;;;
2810;Noord-Overijssel (CR);1998 May;;;;;;;;
2811;Noord-Overijssel (CR);1998 June;;;;;;;;
2812;Noord-Overijssel (CR);1998 2nd quarter;53.7;3.7;10.2;939.0;18.6;1.4;113947.0;107.0
2813;Noord-Overijssel (CR);1998 July;;;;;;;;
2814;Noord-Overijssel (CR);1998 August;;;;;;;;
2815;Noord-Overijssel (CR);1998 September;;;;;;;;
2816;Noord-Overijssel (CR);1998 3rd quarter;55.7;3.6;14.0;905.0;-3.6;-19.3;121229.0;110.0
2817;Noord-Overijssel (CR);1998 October;;;;;;;;
2818;Noord-Overijssel (CR);1998 November;;;;;;;;
2819;Noord-Overijssel (CR);1998 December;;;;;;;;
2820;Noord-Overijssel (CR);1998 4th quarter;56.4;1.2;9.1;1127.0;24.5;-0.2;119991.0;135.0
2821;Noord-Overijssel (CR);1998;55.2;10.5;10.5;3763.0;-2.2;-2.2;116788.0;439.0
2822;Noord-Overijssel (CR);1999 January;;;;;;;;
2823;Noord-Overijssel (CR);1999 February;;;;;;;;
2824;Noord-Overijssel (CR);1999 March ;;;;;;;;
2825;Noord-Overijssel (CR);1999 1st quarter;58.8;4.3;13.4;866.0;-23.2;9.3;125140.0;108.0
2826;Noord-Overijssel (CR);1999 April;;;;;;;;
2827;Noord-Overijssel (CR);1999 May;;;;;;;;
2828;Noord-Overijssel (CR);1999 June;;;;;;;;
2829;Noord-Overijssel (CR);1999 2nd quarter;61.1;4.0;13.7;1031.0;19.1;9.8;133248.0;137.0
2830;Noord-Overijssel (CR);1999 July;;;;;;;;
2831;Noord-Overijssel (CR);1999 August;;;;;;;;
2832;Noord-Overijssel (CR);1999 September;;;;;;;;
2833;Noord-Overijssel (CR);1999 3rd quarter;63.9;4.6;14.9;1188.0;15.2;31.3;136502.0;162.0
2834;Noord-Overijssel (CR);1999 October;;;;;;;;
2835;Noord-Overijssel (CR);1999 November;;;;;;;;
2836;Noord-Overijssel (CR);1999 December;;;;;;;;
2837;Noord-Overijssel (CR);1999 4th quarter;66.4;3.8;17.7;1214.0;2.2;7.7;139759.0;170.0
2838;Noord-Overijssel (CR);1999;62.3;12.7;12.7;4299.0;14.2;14.2;134352.0;578.0
2839;Noord-Overijssel (CR);2000 January;;;;;;;;
2840;Noord-Overijssel (CR);2000 February;;;;;;;;
2841;Noord-Overijssel (CR);2000 March;;;;;;;;
2842;Noord-Overijssel (CR);2000 1st quarter;71.3;7.5;21.4;805.0;-33.7;-7.0;146717.0;118.0
2843;Noord-Overijssel (CR);2000 April;;;;;;;;
2844;Noord-Overijssel (CR);2000 May;;;;;;;;
2845;Noord-Overijssel (CR);2000 June;;;;;;;;
2846;Noord-Overijssel (CR);2000 2nd quarter;74.1;3.8;21.2;887.0;10.2;-14.0;159610.0;142.0
2847;Noord-Overijssel (CR);2000 July;;;;;;;;
2848;Noord-Overijssel (CR);2000 August;;;;;;;;
2849;Noord-Overijssel (CR);2000 September;;;;;;;;
2850;Noord-Overijssel (CR);2000 3rd quarter;76.6;3.4;19.8;928.0;4.6;-21.9;162330.0;151.0
2851;Noord-Overijssel (CR);2000 October;;;;;;;;
2852;Noord-Overijssel (CR);2000 November;;;;;;;;
2853;Noord-Overijssel (CR);2000 December;;;;;;;;
2854;Noord-Overijssel (CR);2000 4th quarter;78.3;2.2;18.0;1051.0;13.3;-13.4;170844.0;180.0
2855;Noord-Overijssel (CR);2000;74.8;20.1;20.1;3671.0;-14.6;-14.6;160687.0;590.0
2856;Noord-Overijssel (CR);2001 January;;;;;;;;
2857;Noord-Overijssel (CR);2001 February;;;;;;;;
2858;Noord-Overijssel (CR);2001 March;;;;;;;;
2859;Noord-Overijssel (CR);2001 1st quarter;80.3;2.5;12.5;734.0;-30.2;-8.8;168331.0;124.0
2860;Noord-Overijssel (CR);2001 April;;;;;;;;
2861;Noord-Overijssel (CR);2001 May;;;;;;;;
2862;Noord-Overijssel (CR);2001 June;;;;;;;;
2863;Noord-Overijssel (CR);2001 2nd quarter;81.9;2.0;10.5;944.0;28.6;6.4;167350.0;158.0
2864;Noord-Overijssel (CR);2001 July;;;;;;;;
2865;Noord-Overijssel (CR);2001 August;;;;;;;;
2866;Noord-Overijssel (CR);2001 September;;;;;;;;
2867;Noord-Overijssel (CR);2001 3rd quarter;85.8;4.7;11.9;1027.0;8.8;10.7;185440.0;190.0
2868;Noord-Overijssel (CR);2001 October;;;;;;;;
2869;Noord-Overijssel (CR);2001 November;;;;;;;;
2870;Noord-Overijssel (CR);2001 December;;;;;;;;
2871;Noord-Overijssel (CR);2001 4th quarter;85.8;0.0;9.6;982.0;-4.4;-6.6;185103.0;182.0
2872;Noord-Overijssel (CR);2001;83.0;11.0;11.0;3687.0;0.4;0.4;177312.0;654.0
2873;Noord-Overijssel (CR);2002 January;;;;;;;;
2874;Noord-Overijssel (CR);2002 February;;;;;;;;
2875;Noord-Overijssel (CR);2002 March;;;;;;;;
2876;Noord-Overijssel (CR);2002 1st quarter;86.2;0.5;7.4;952.0;-3.1;29.7;175218.0;167.0
2877;Noord-Overijssel (CR);2002 April;;;;;;;;
2878;Noord-Overijssel (CR);2002 May;;;;;;;;
2879;Noord-Overijssel (CR);2002 June;;;;;;;;
2880;Noord-Overijssel (CR);2002 2nd quarter;86.6;0.4;5.7;981.0;3.0;3.9;180724.0;177.0
2881;Noord-Overijssel (CR);2002 July;;;;;;;;
2882;Noord-Overijssel (CR);2002 August;;;;;;;;
2883;Noord-Overijssel (CR);2002 September;;;;;;;;
2884;Noord-Overijssel (CR);2002 3rd quarter;90.9;5.0;6.0;983.0;0.2;-4.3;192738.0;189.0
2885;Noord-Overijssel (CR);2002 October;;;;;;;;
2886;Noord-Overijssel (CR);2002 November;;;;;;;;
2887;Noord-Overijssel (CR);2002 December;;;;;;;;
2888;Noord-Overijssel (CR);2002 4th quarter;89.0;-2.0;3.8;1046.0;6.4;6.5;193385.0;202.0
2889;Noord-Overijssel (CR);2002;87.7;5.7;5.7;3962.0;7.5;7.5;185724.0;736.0
2890;Noord-Overijssel (CR);2003 January;;;;;;;;
2891;Noord-Overijssel (CR);2003 February;;;;;;;;
2892;Noord-Overijssel (CR);2003 March;;;;;;;;
2893;Noord-Overijssel (CR);2003 1st quarter;91.5;2.8;6.2;788.0;-24.7;-17.2;190721.0;150.0
2894;Noord-Overijssel (CR);2003 April;;;;;;;;
2895;Noord-Overijssel (CR);2003 May;;;;;;;;
2896;Noord-Overijssel (CR);2003 June;;;;;;;;
2897;Noord-Overijssel (CR);2003 2nd quarter;92.0;0.5;6.3;1005.0;27.5;2.4;192982.0;194.0
2898;Noord-Overijssel (CR);2003 July;;;;;;;;
2899;Noord-Overijssel (CR);2003 August;;;;;;;;
2900;Noord-Overijssel (CR);2003 September;;;;;;;;
2901;Noord-Overijssel (CR);2003 3rd quarter;93.3;1.4;2.7;927.0;-7.8;-5.7;185748.0;172.0
2902;Noord-Overijssel (CR);2003 October;;;;;;;;
2903;Noord-Overijssel (CR);2003 November;;;;;;;;
2904;Noord-Overijssel (CR);2003 December;;;;;;;;
2905;Noord-Overijssel (CR);2003 4th quarter;94.3;1.0;5.9;1177.0;27.0;12.5;195724.0;230.0
2906;Noord-Overijssel (CR);2003;91.6;4.4;4.4;3897.0;-1.6;-1.6;191632.0;747.0
2907;Noord-Overijssel (CR);2004 January;;;;;;;;
2908;Noord-Overijssel (CR);2004 February;;;;;;;;
2909;Noord-Overijssel (CR);2004 March;;;;;;;;
2910;Noord-Overijssel (CR);2004 1st quarter;95.5;1.3;4.4;803.0;-31.8;1.9;199010.0;160.0
2911;Noord-Overijssel (CR);2004 April;;;;;;;;
2912;Noord-Overijssel (CR);2004 May;;;;;;;;
2913;Noord-Overijssel (CR);2004 June;;;;;;;;
2914;Noord-Overijssel (CR);2004 2nd quarter;97.0;1.6;5.5;961.0;19.7;-4.4;201448.0;194.0
2915;Noord-Overijssel (CR);2004 July;;;;;;;;
2916;Noord-Overijssel (CR);2004 August;;;;;;;;
2917;Noord-Overijssel (CR);2004 September;;;;;;;;
2918;Noord-Overijssel (CR);2004 3rd quarter;97.8;0.8;4.8;1046.0;8.8;12.8;202568.0;212.0
2919;Noord-Overijssel (CR);2004 October;;;;;;;;
2920;Noord-Overijssel (CR);2004 November;;;;;;;;
2921;Noord-Overijssel (CR);2004 December;;;;;;;;
2922;Noord-Overijssel (CR);2004 4th quarter;97.9;0.1;3.8;1153.0;10.2;-2.0;195844.0;226.0
2923;Noord-Overijssel (CR);2004;95.9;4.7;4.7;3963.0;1.7;1.7;199619.0;791.0
2924;Noord-Overijssel (CR);2005 January;;;;;;;;
2925;Noord-Overijssel (CR);2005 February;;;;;;;;
2926;Noord-Overijssel (CR);2005 March;;;;;;;;
2927;Noord-Overijssel (CR);2005 1st quarter;98.4;0.5;3.0;931.0;-19.3;15.9;202918.0;189.0
2928;Noord-Overijssel (CR);2005 April;;;;;;;;
2929;Noord-Overijssel (CR);2005 May;;;;;;;;
2930;Noord-Overijssel (CR);2005 June;;;;;;;;
2931;Noord-Overijssel (CR);2005 2nd quarter;99.6;1.2;2.6;1134.0;21.8;18.0;204581.0;232.0
2932;Noord-Overijssel (CR);2005 July;;;;;;;;
2933;Noord-Overijssel (CR);2005 August;;;;;;;;
2934;Noord-Overijssel (CR);2005 September;;;;;;;;
2935;Noord-Overijssel (CR);2005 3rd quarter;100.2;0.7;2.5;1181.0;4.1;12.9;206519.0;244.0
2936;Noord-Overijssel (CR);2005 October;;;;;;;;
2937;Noord-Overijssel (CR);2005 November;;;;;;;;
2938;Noord-Overijssel (CR);2005 December;;;;;;;;
2939;Noord-Overijssel (CR);2005 4th quarter;101.8;1.6;4.0;1107.0;-6.3;-4.0;208447.0;231.0
2940;Noord-Overijssel (CR);2005;100.0;4.3;4.3;4353.0;9.8;9.8;205735.0;896.0
2941;Noord-Overijssel (CR);2006 January;;;;;;;;
2942;Noord-Overijssel (CR);2006 February;;;;;;;;
2943;Noord-Overijssel (CR);2006 March;;;;;;;;
2944;Noord-Overijssel (CR);2006 1st quarter;103.5;1.6;5.2;989.0;-10.7;6.2;209708.0;207.0
2945;Noord-Overijssel (CR);2006 April;;;;;;;;
2946;Noord-Overijssel (CR);2006 May;;;;;;;;
2947;Noord-Overijssel (CR);2006 June;;;;;;;;
2948;Noord-Overijssel (CR);2006 2nd quarter;105.2;1.7;5.7;1015.0;2.6;-10.5;218568.0;222.0
2949;Noord-Overijssel (CR);2006 July;;;;;;;;
2950;Noord-Overijssel (CR);2006 August;;;;;;;;
2951;Noord-Overijssel (CR);2006 September;;;;;;;;
2952;Noord-Overijssel (CR);2006 3rd quarter;103.5;-1.7;3.2;1186.0;16.8;0.4;216841.0;257.0
2953;Noord-Overijssel (CR);2006 October;;;;;;;;
2954;Noord-Overijssel (CR);2006 November;;;;;;;;
2955;Noord-Overijssel (CR);2006 December;;;;;;;;
2956;Noord-Overijssel (CR);2006 4th quarter;103.6;0.2;1.8;1205.0;1.6;8.9;204787.0;247.0
2957;Noord-Overijssel (CR);2006;103.9;3.9;3.9;4395.0;1.0;1.0;212330.0;933.0
2958;Noord-Overijssel (CR);2007 January;;;;;;;;
2959;Noord-Overijssel (CR);2007 February;;;;;;;;
2960;Noord-Overijssel (CR);2007 March;;;;;;;;
2961;Noord-Overijssel (CR);2007 1st quarter;105.1;1.4;1.6;856.0;-29.0;-13.4;211508.0;181.0
2962;Noord-Overijssel (CR);2007 April;;;;;;;;
2963;Noord-Overijssel (CR);2007 May;;;;;;;;
2964;Noord-Overijssel (CR);2007 June;;;;;;;;
2965;Noord-Overijssel (CR);2007 2nd quarter;106.2;1.0;1.0;1061.0;23.9;4.5;220381.0;234.0
2966;Noord-Overijssel (CR);2007 July;;;;;;;;
