ID;AfzetMotorbrandstoffen;Perioden;TotaalAfzet_1;TotaalWegverkeerEnOverigeAfnemers_2;AutogasLpg_3;TotaalMotorbenzine_4;Euro95_5;SuperOngelood98_6;NormaalGelood_7;SuperGelood_8;TotaalDiesel_9;Laagzwavelig_10;Hoogzwavelig_11;Aardgas_12;Elektriciteit_13;TotaalScheepvaart_14;TotaalGasolieEnLichteStookolie_15;AfzetAanBinnenvaart_16;AfzetAanZeevaart_17;AfzetAanHandelarenScheepvaart_18;TotaalStookolie_19;Laagzwavelig_20;Hoogzwavelig_21;TotaalLuchtvaart_22;Vliegtuigkerosine_23;Vliegtuigbenzine_24;JetfuelOpBenzinebasis_25;TotaalRailverkeer_26;Diesel_27;Elektriciteit_28;AutogasLpg_29;TotaalMotorbenzine_30;Euro95_31;SuperOngelood98_32;NormaalGelood_33;SuperGelood_34;TotaalDiesel_35;Laagzwavelig_36;Hoogzwavelig_37;Aardgas_38;Elektriciteit_39;TotaalGasolieEnLichteStookolie_40;AfzetAanBinnenvaart_41;AfzetAanZeevaart_42;AfzetAanHandelarenScheepvaart_43;TotaalStookolie_44;Laagzwavelig_45;Hoogzwavelig_46;Vliegtuigkerosine_47;Vliegtuigbenzine_48;JetfuelOpBenzinebasis_49;Diesel_50;Elektriciteit_51;AutogasLpg_52;TotaalMotorbenzine_53;Euro95_54;SuperOngelood98_55;NormaalGelood_56;SuperGelood_57;TotaalDiesel_58;Laagzwavelig_59;Hoogzwavelig_60
65;Totaal afzet;2011;1309.4;514.1;13.0;177.9;175.9;1.9;;;322.5;322.5;;0.7;0.1;637.2;78.4;48.0;30.4;;558.8;121.5;437.2;150.6;150.5;0.1;;7.6;1.4;6.2;287.0;4235.0;4189.0;46.0;;;7500.0;7500.0;;22.0;13.0;1815.0;1112.0;703.0;;13628.0;2964.0;10664.0;3459.0;2.0;;32.0;1728.0;536.0;5646.0;5585.0;62.0;;;8971.0;8971.0;
66;Totaal afzet;2012;1234.1;495.8;12.7;169.2;167.7;1.5;;;312.7;312.7;;1.0;0.1;586.2;77.8;45.8;32.0;;508.4;91.0;417.3;144.6;144.6;0.1;;7.5;1.1;6.3;282.0;4039.0;4003.0;36.0;;;7273.0;7273.0;;31.0;20.0;1801.0;1060.0;741.0;;12399.0;2221.0;10178.0;3323.0;2.0;;27.0;1743.0;527.0;5386.0;5338.0;48.0;;;8700.0;8700.0;
67;Totaal afzet;2013;1187.8;469.4;12.0;165.5;164.0;1.4;;;290.8;290.8;;1.1;0.1;563.2;72.6;46.6;26.1;;490.6;135.4;355.1;147.8;147.7;0.1;;7.3;1.2;6.2;265.0;3940.0;3906.0;34.0;;;6762.0;6762.0;;35.0;35.0;1682.0;1078.0;603.0;;11965.0;3304.0;8662.0;3396.0;1.0;;27.0;1716.0;494.0;5253.0;5207.0;45.0;;;8088.0;8088.0;
68;Totaal afzet;2014;1157.7;446.9;9.2;163.8;161.9;1.9;;;272.0;272.0;;1.4;0.5;550.3;70.8;43.3;27.4;;479.6;105.3;374.3;153.4;153.3;0.1;;7.1;1.2;5.9;204.0;3891.0;3846.0;45.0;;;6340.0;6340.0;;45.0;130.0;1638.0;1002.0;635.0;;11696.0;2568.0;9129.0;3525.0;1.0;;28.0;1646.0;382.0;5188.0;5128.0;60.0;;;7583.0;7583.0;
69;Totaal afzet;2015;1126.4;447.8;8.0;164.3;162.3;2.0;;;273.2;273.2;;1.5;0.7;511.2;100.4;48.1;52.2;;410.8;78.9;331.9;160.6;160.6;0.0;;6.9;1.2;5.6;177.0;3894.0;3848.0;47.0;;;6354.0;6354.0;;48.0;187.0;2323.0;1114.0;1209.0;;10020.0;1925.0;8094.0;3692.0;1.0;;29.0;1565.0;332.0;5204.0;5141.0;63.0;;;7601.0;7601.0;
70;Totaal afzet;2016;1127.2;448.8;7.6;168.6;166.4;2.2;;;269.6;269.6;;1.8;1.2;506.6;100.7;47.2;53.4;;405.9;69.5;336.5;164.8;164.8;0.0;;7.0;1.2;5.7;168.0;3990.0;3938.0;52.0;;;6270.0;6270.0;;56.0;346.0;2330.0;1093.0;1237.0;;9901.0;1694.0;8207.0;3788.0;1.0;;29.0;1592.0;314.0;5326.0;5257.0;69.0;;;7500.0;7500.0;
71;Totaal afzet;2017;1134.2;462.1;6.8;174.4;172.3;2.1;;;277.6;277.6;;1.9;1.3;495.7;102.7;48.3;54.5;;393.0;80.6;312.4;169.4;169.4;0.0;;6.9;1.2;5.7;151.0;4131.0;4081.0;50.0;;;6457.0;6457.0;;61.0;374.0;2378.0;1117.0;1261.0;;9585.0;1966.0;7619.0;3894.0;1.0;;27.0;1592.0;282.0;5509.0;5443.0;67.0;;;7723.0;7723.0;
72;Totaal afzet;2018;1129.6;474.4;6.2;178.8;176.6;2.2;;;285.8;285.8;;1.9;1.7;476.9;99.2;47.6;51.6;;377.7;98.2;279.5;171.5;171.5;0.0;;6.8;1.0;5.8;137.0;4237.0;4184.0;53.0;;;6646.0;6646.0;;60.0;477.0;2296.0;1101.0;1195.0;;9212.0;2395.0;6817.0;3942.0;1.0;;23.0;1617.0;256.0;5650.0;5579.0;71.0;;;7950.0;7950.0;
73;Totaal afzet;2019;1132.4;474.0;5.8;182.6;179.8;2.8;;;281.2;281.2;;2.7;1.7;484.0;98.9;48.0;50.9;;385.2;104.7;280.5;167.8;167.8;0.0;;6.6;1.0;5.6;127.0;4328.0;4261.0;66.0;;;6539.0;6539.0;;85.0;482.0;2288.0;1111.0;1177.0;;9395.0;2554.0;6841.0;3858.0;1.0;;23.0;1549.0;238.0;5771.0;5682.0;89.0;;;7822.0;7822.0;
74;Totaal afzet;2020;1009.0;414.2;4.9;156.3;151.2;5.1;;;248.6;248.6;;2.7;1.7;498.4;99.1;45.4;53.7;;399.4;334.5;64.9;94.2;94.2;0.0;;6.6;1.0;5.6;108.0;3703.0;3583.0;120.0;;;5781.0;5781.0;;85.0;482.0;2293.0;1050.0;1243.0;;9741.0;8159.0;1582.0;2165.0;1.0;;23.0;1549.0;202.0;4938.0;4778.0;160.0;;;6915.0;6915.0;
75;Totaal afzet;2021;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Totaal afzet;2013 januari;96.9;37.4;1.1;13.8;13.7;0.1;;;22.4;22.4;;;;48.0;6.0;3.8;2.2;;42.0;8.9;33.1;10.9;10.9;0.0;;;;;24.0;328.0;325.0;3.0;;;522.0;522.0;;;;139.0;87.0;52.0;;1024.0;218.0;807.0;251.0;0.0;;;;46.0;437.0;434.0;4.0;;;624.0;624.0;
77;Totaal afzet;2013 februari;95.3;35.4;0.9;12.7;12.7;0.1;;;21.7;21.7;;;;49.1;8.0;3.7;4.3;;41.1;10.0;31.1;10.2;10.2;0.0;;;;;19.0;304.0;301.0;2.0;;;505.0;505.0;;;;126.0;85.0;41.0;;1002.0;244.0;758.0;234.0;0.0;;;;36.0;405.0;402.0;3.0;;;604.0;604.0;
78;Totaal afzet;2013 maart;101.1;40.1;1.0;14.3;14.2;0.1;;;24.6;24.6;;;;49.1;6.5;3.9;2.6;;42.6;11.8;30.8;11.3;11.3;0.0;;;;;23.0;341.0;338.0;2.0;;;573.0;573.0;;;;150.0;91.0;59.0;;1039.0;287.0;752.0;260.0;0.0;;;;43.0;454.0;451.0;3.0;;;686.0;686.0;
79;Totaal afzet;2013 1e kwartaal;290.7;113.0;3.0;40.8;40.5;0.3;;;68.8;68.8;;0.3;0.0;143.5;17.9;11.3;6.6;;125.6;30.6;95.0;32.4;32.4;0.0;;1.8;0.3;1.5;67.0;972.0;965.0;7.0;;;1600.0;1600.0;;9.0;9.0;414.0;263.0;152.0;;3064.0;747.0;2317.0;744.0;0.0;;7.0;429.0;125.0;1296.0;1287.0;10.0;;;1914.0;1914.0;
80;Totaal afzet;2013 april;100.4;40.1;0.9;14.0;13.9;0.1;;;25.0;25.0;;;;47.8;6.2;3.7;2.4;;41.6;10.6;31.0;12.0;12.0;0.0;;;;;20.0;334.0;331.0;3.0;;;581.0;581.0;;;;143.0;86.0;57.0;;1014.0;259.0;756.0;276.0;0.0;;;;38.0;446.0;441.0;4.0;;;695.0;695.0;
81;Totaal afzet;2013 mei;108.0;41.3;1.1;14.6;14.4;0.1;;;25.5;25.5;;;;52.5;7.4;4.5;2.8;;45.1;13.0;32.1;13.6;13.6;0.0;;;;;25.0;347.0;344.0;3.0;;;593.0;593.0;;;;170.0;105.0;65.0;;1100.0;317.0;783.0;312.0;0.0;;;;46.0;463.0;458.0;4.0;;;710.0;710.0;
82;Totaal afzet;2013 juni;98.9;39.6;1.0;13.5;13.4;0.1;;;25.0;25.0;;;;46.0;6.2;3.6;2.6;;39.8;11.9;27.9;12.7;12.7;0.0;;;;;21.0;322.0;319.0;3.0;;;581.0;581.0;;;;143.0;83.0;60.0;;971.0;290.0;681.0;293.0;0.0;;;;40.0;429.0;426.0;4.0;;;695.0;695.0;
83;Totaal afzet;2013 2e kwartaal;307.2;120.9;3.0;42.1;41.7;0.4;;;75.5;75.5;;0.3;0.0;146.2;19.6;11.8;7.9;;126.5;35.5;91.0;38.3;38.3;0.0;;1.8;0.3;1.5;66.0;1003.0;994.0;10.0;;;1755.0;1755.0;;9.0;9.0;455.0;273.0;182.0;;3085.0;865.0;2220.0;880.0;0.0;;7.0;429.0;124.0;1338.0;1325.0;13.0;;;2099.0;2099.0;
84;Totaal afzet;2013 juli;101.8;39.3;1.0;13.8;13.7;0.1;;;24.4;24.4;;;;47.6;5.9;3.8;2.1;;41.7;11.0;30.7;14.2;14.2;0.0;;;;;23.0;329.0;326.0;3.0;;;567.0;567.0;;;;137.0;87.0;50.0;;1018.0;269.0;748.0;326.0;0.0;;;;43.0;438.0;434.0;4.0;;;678.0;678.0;
85;Totaal afzet;2013 augustus;98.1;37.1;1.0;13.5;13.4;0.1;;;22.5;22.5;;;;47.1;6.1;4.0;2.1;;41.0;12.2;28.8;13.3;13.3;0.0;;;;;21.0;322.0;319.0;3.0;;;523.0;523.0;;;;142.0;93.0;49.0;;1000.0;298.0;702.0;305.0;0.0;;;;40.0;429.0;425.0;4.0;;;626.0;626.0;
86;Totaal afzet;2013 september;99.1;39.2;1.0;13.5;13.4;0.1;;;24.6;24.6;;;;46.1;5.6;4.0;1.7;;40.5;11.3;29.2;13.2;13.2;0.0;;;;;22.0;322.0;319.0;3.0;;;572.0;572.0;;;;130.0;92.0;39.0;;987.0;275.0;712.0;303.0;0.0;;;;41.0;429.0;426.0;4.0;;;684.0;684.0;
87;Totaal afzet;2013 3e kwartaal;298.9;115.6;3.0;40.9;40.5;0.4;;;71.5;71.5;;0.3;0.0;140.9;17.7;11.8;5.9;;123.2;34.5;88.6;40.6;40.6;0.0;;1.8;0.3;1.5;66.0;973.0;964.0;9.0;;;1662.0;1662.0;;9.0;9.0;409.0;272.0;137.0;;3004.0;842.0;2162.0;934.0;0.0;;7.0;429.0;123.0;1297.0;1286.0;12.0;;;1988.0;1988.0;
88;Totaal afzet;2013 oktober;102.6;42.4;1.0;14.4;14.2;0.1;;;26.9;26.9;;;;46.4;6.2;4.2;1.9;;40.3;12.8;27.5;13.1;13.1;0.0;;;;;23.0;342.0;339.0;3.0;;;626.0;626.0;;;;142.0;98.0;44.0;;982.0;311.0;671.0;301.0;0.0;;;;43.0;456.0;452.0;4.0;;;749.0;749.0;
89;Totaal afzet;2013 november;96.9;39.2;1.0;13.7;13.6;0.1;;;24.4;24.4;;;;45.5;5.6;3.8;1.8;;40.0;12.1;27.9;11.6;11.6;0.0;;;;;22.0;326.0;323.0;3.0;;;568.0;568.0;;;;129.0;88.0;41.0;;975.0;295.0;680.0;267.0;0.0;;;;41.0;434.0;430.0;4.0;;;680.0;680.0;
90;Totaal afzet;2013 december;91.4;38.3;0.9;13.6;13.5;0.1;;;23.7;23.7;;;;40.7;5.7;3.7;2.0;;35.0;10.0;25.1;11.8;11.8;0.0;;;;;21.0;323.0;321.0;2.0;;;550.0;550.0;;;;132.0;85.0;47.0;;854.0;243.0;612.0;270.0;0.0;;;;39.0;431.0;428.0;3.0;;;658.0;658.0;
91;Totaal afzet;2013 4e kwartaal;290.9;119.9;3.0;41.6;41.3;0.4;;;75.0;75.0;;0.3;0.0;132.7;17.4;11.7;5.7;;115.3;34.8;80.5;36.4;36.4;0.0;;1.8;0.3;1.5;66.0;991.0;983.0;8.0;;;1744.0;1744.0;;9.0;9.0;403.0;271.0;132.0;;2811.0;849.0;1962.0;838.0;0.0;;7.0;429.0;123.0;1322.0;1310.0;11.0;;;2086.0;2086.0;
92;Totaal afzet;2014 januari;97.5;37.1;0.9;13.7;13.6;0.1;;;22.3;22.3;;;;48.9;5.9;3.6;2.2;;43.0;11.5;31.5;11.0;11.0;0.0;;;;;19.0;326.0;322.0;4.0;;;521.0;521.0;;;;136.0;84.0;52.0;;1049.0;281.0;768.0;252.0;0.0;;;;36.0;434.0;430.0;5.0;;;623.0;623.0;
93;Totaal afzet;2014 februari;90.2;34.5;0.8;12.6;12.5;0.1;;;21.0;21.0;;;;44.4;4.8;3.3;1.6;;39.6;8.6;31.0;10.6;10.6;0.0;;;;;17.0;299.0;296.0;3.0;;;489.0;489.0;;;;112.0;75.0;37.0;;966.0;209.0;757.0;244.0;0.0;;;;32.0;399.0;395.0;4.0;;;585.0;585.0;
94;Totaal afzet;2014 maart;95.9;37.9;0.8;13.7;13.6;0.1;;;23.2;23.2;;;;45.3;5.6;3.7;1.9;;39.6;6.4;33.2;12.1;12.1;0.0;;;;;18.0;326.0;323.0;3.0;;;540.0;540.0;;;;131.0;86.0;45.0;;967.0;156.0;810.0;279.0;0.0;;;;34.0;435.0;431.0;4.0;;;646.0;646.0;
95;Totaal afzet;2014 1e kwartaal;283.6;109.5;2.5;40.1;39.6;0.4;;;66.5;66.5;;0.4;0.1;138.6;16.3;10.6;5.8;;122.2;26.5;95.7;33.7;33.7;0.0;;1.8;0.3;1.5;55.0;951.0;942.0;10.0;;;1550.0;1550.0;;11.0;32.0;384.0;251.0;133.0;;2982.0;646.0;2335.0;775.0;0.0;;7.0;412.0;102.0;1269.0;1255.0;13.0;;;1854.0;1854.0;
96;Totaal afzet;2014 april;98.7;38.4;0.8;13.9;13.7;0.2;;;23.5;23.5;;;;47.2;5.1;3.5;1.6;;42.1;8.9;33.2;12.4;12.4;0.0;;;;;19.0;329.0;325.0;4.0;;;549.0;549.0;;;;118.0;81.0;37.0;;1028.0;217.0;811.0;285.0;0.0;;;;35.0;439.0;433.0;6.0;;;656.0;656.0;
97;Totaal afzet;2014 mei;101.5;39.0;0.8;14.0;13.8;0.2;;;24.0;24.0;;;;48.7;6.2;4.0;2.2;;42.5;10.3;32.2;13.3;13.3;0.0;;;;;19.0;332.0;328.0;4.0;;;559.0;559.0;;;;144.0;93.0;50.0;;1035.0;251.0;784.0;306.0;0.0;;;;35.0;443.0;437.0;6.0;;;669.0;669.0;
98;Totaal afzet;2014 juni;97.6;37.0;0.7;13.6;13.5;0.2;;;22.5;22.5;;;;46.4;5.0;3.4;1.6;;41.4;11.4;30.0;13.7;13.7;0.0;;;;;16.0;323.0;320.0;4.0;;;524.0;524.0;;;;116.0;78.0;38.0;;1009.0;278.0;731.0;314.0;0.0;;;;29.0;431.0;426.0;5.0;;;627.0;627.0;
99;Totaal afzet;2014 2e kwartaal;297.8;114.4;2.4;41.5;40.9;0.5;;;70.0;70.0;;0.4;0.1;142.3;16.3;10.9;5.4;;126.0;30.6;95.4;39.4;39.4;0.0;;1.8;0.3;1.5;53.0;985.0;973.0;12.0;;;1632.0;1632.0;;11.0;32.0;378.0;253.0;125.0;;3072.0;746.0;2326.0;905.0;0.0;;7.0;412.0;99.0;1313.0;1297.0;17.0;;;1952.0;1952.0;
100;Totaal afzet;2014 juli;97.1;37.0;0.7;13.5;13.4;0.2;;;22.5;22.5;;;;44.9;5.3;3.5;1.8;;39.6;9.3;30.4;14.6;14.6;0.0;;;;;16.0;322.0;318.0;4.0;;;525.0;525.0;;;;122.0;80.0;42.0;;967.0;226.0;741.0;336.0;0.0;;;;31.0;429.0;423.0;5.0;;;629.0;629.0;
101;Totaal afzet;2014 augustus;94.7;33.9;0.6;13.1;13.0;0.2;;;20.0;20.0;;;;45.7;5.7;3.9;1.8;;40.0;8.7;31.3;14.5;14.5;0.0;;;;;14.0;312.0;308.0;4.0;;;466.0;466.0;;;;131.0;89.0;42.0;;976.0;212.0;764.0;334.0;0.0;;;;25.0;416.0;411.0;5.0;;;557.0;557.0;
102;Totaal afzet;2014 september;99.3;37.8;0.7;13.5;13.3;0.2;;;23.4;23.4;;;;47.1;5.4;3.4;2.0;;41.7;9.6;32.1;13.8;13.8;0.0;;;;;16.0;320.0;316.0;4.0;;;546.0;546.0;;;;126.0;79.0;47.0;;1016.0;233.0;783.0;318.0;0.0;;;;30.0;427.0;422.0;5.0;;;653.0;653.0;
103;Totaal afzet;2014 3e kwartaal;291.1;108.6;2.1;40.2;39.7;0.5;;;65.9;65.9;;0.4;0.1;137.7;16.4;10.7;5.7;;121.3;27.5;93.8;43.0;43.0;0.0;;1.8;0.3;1.5;46.0;954.0;943.0;11.0;;;1537.0;1537.0;;11.0;32.0;379.0;248.0;131.0;;2959.0;671.0;2287.0;989.0;0.0;;7.0;412.0;86.0;1272.0;1257.0;15.0;;;1839.0;1839.0;
104;Totaal afzet;2014 oktober;97.0;40.0;0.8;14.3;14.1;0.2;;;24.7;24.7;;;;42.8;6.6;3.9;2.7;;36.1;7.5;28.7;13.7;13.7;0.0;;;;;17.0;340.0;336.0;4.0;;;576.0;576.0;;;;153.0;91.0;62.0;;881.0;183.0;699.0;315.0;0.0;;;;31.0;453.0;447.0;6.0;;;690.0;690.0;
105;Totaal afzet;2014 november;91.8;36.5;0.7;13.6;13.4;0.2;;;22.0;22.0;;;;42.9;6.4;3.4;3.0;;36.4;5.8;30.6;11.8;11.8;0.0;;;;;16.0;323.0;319.0;4.0;;;512.0;512.0;;;;149.0;79.0;69.0;;888.0;142.0;747.0;272.0;0.0;;;;31.0;430.0;425.0;5.0;;;613.0;613.0;
106;Totaal afzet;2014 december;96.4;38.0;0.8;14.2;14.1;0.1;;;22.8;22.8;;;;46.1;8.7;3.7;4.9;;37.5;7.4;30.1;11.7;11.7;0.0;;;;;17.0;338.0;335.0;4.0;;;532.0;532.0;;;;200.0;86.0;114.0;;914.0;180.0;735.0;269.0;0.0;;;;32.0;451.0;446.0;5.0;;;636.0;636.0;
107;Totaal afzet;2014 4e kwartaal;285.2;114.4;2.3;42.1;41.6;0.5;;;69.5;69.5;;0.4;0.1;131.8;21.7;11.1;10.6;;110.0;20.7;89.4;37.3;37.3;0.0;;1.8;0.3;1.5;51.0;1001.0;989.0;11.0;;;1620.0;1620.0;;11.0;32.0;503.0;256.0;246.0;;2684.0;504.0;2180.0;856.0;0.0;;7.0;412.0;94.0;1334.0;1319.0;15.0;;;1938.0;1938.0;
108;Totaal afzet;2015 januari;89.5;34.9;0.7;13.4;13.2;0.2;;;20.6;20.6;;;;42.4;7.8;3.6;4.1;;34.6;6.3;28.3;11.6;11.6;0.0;;;;;16.0;317.0;313.0;4.0;;;480.0;480.0;;;;180.0;84.0;96.0;;845.0;154.0;691.0;266.0;0.0;;;;30.0;424.0;419.0;5.0;;;574.0;574.0;
109;Totaal afzet;2015 februari;83.0;33.7;0.6;12.4;12.2;0.1;;;20.6;20.6;;;;38.0;6.8;3.8;3.0;;31.2;5.2;26.0;10.7;10.7;0.0;;;;;14.0;294.0;290.0;3.0;;;479.0;479.0;;;;157.0;88.0;69.0;;760.0;126.0;634.0;245.0;0.0;;;;26.0;392.0;388.0;4.0;;;573.0;573.0;
110;Totaal afzet;2015 maart;95.8;38.2;0.7;13.8;13.6;0.1;;;23.6;23.6;;;;44.6;10.1;4.5;5.6;;34.6;6.2;28.3;12.3;12.3;0.0;;;;;15.0;327.0;323.0;4.0;;;548.0;548.0;;;;233.0;104.0;129.0;;843.0;152.0;691.0;283.0;0.0;;;;29.0;437.0;432.0;5.0;;;656.0;656.0;
111;Totaal afzet;2015 1e kwartaal;268.2;106.9;2.0;39.5;39.1;0.4;;;64.8;64.8;;0.4;0.2;125.0;24.6;11.9;12.7;;100.4;17.7;82.7;34.6;34.6;0.0;;1.7;0.3;1.4;45.0;937.0;927.0;10.0;;;1507.0;1507.0;;12.0;47.0;570.0;276.0;294.0;;2449.0;432.0;2016.0;795.0;0.0;;7.0;391.0;84.0;1252.0;1238.0;14.0;;;1803.0;1803.0;
112;Totaal afzet;2015 april;94.9;38.9;0.7;14.2;14.0;0.2;;;23.8;23.8;;;;42.6;8.9;4.1;4.8;;33.7;7.7;26.0;12.9;12.9;0.0;;;;;15.0;337.0;333.0;4.0;;;554.0;554.0;;;;206.0;95.0;111.0;;821.0;187.0;634.0;296.0;0.0;;;;28.0;450.0;444.0;6.0;;;663.0;663.0;
113;Totaal afzet;2015 mei;93.9;36.8;0.7;13.5;13.3;0.2;;;22.5;22.5;;;;42.2;8.5;3.9;4.6;;33.7;6.9;26.8;14.3;14.4;0.0;;;;;14.0;319.0;315.0;4.0;;;523.0;523.0;;;;197.0;91.0;107.0;;821.0;168.0;653.0;330.0;0.0;;;;27.0;427.0;422.0;5.0;;;625.0;625.0;
114;Totaal afzet;2015 juni;94.7;38.7;0.7;13.9;13.8;0.2;;;23.9;23.9;;;;41.0;9.2;4.5;4.7;;31.8;4.8;27.0;14.4;14.4;0.0;;;;;16.0;330.0;326.0;4.0;;;556.0;556.0;;;;213.0;104.0;109.0;;775.0;117.0;658.0;331.0;0.0;;;;29.0;441.0;436.0;6.0;;;665.0;665.0;
115;Totaal afzet;2015 2e kwartaal;283.5;114.4;2.0;41.6;41.1;0.5;;;70.2;70.2;;0.4;0.2;125.7;26.6;12.5;14.1;;99.1;19.4;79.8;41.6;41.6;0.0;;1.7;0.3;1.4;45.0;987.0;974.0;13.0;;;1633.0;1633.0;;12.0;47.0;616.0;289.0;327.0;;2417.0;472.0;1945.0;957.0;0.0;;7.0;391.0;84.0;1319.0;1302.0;17.0;;;1953.0;1953.0;
116;Totaal afzet;2015 juli;93.7;37.4;0.7;13.6;13.4;0.2;;;22.9;22.9;;;;40.5;7.5;3.9;3.5;;33.0;6.8;26.2;15.3;15.3;0.0;;;;;15.0;323.0;319.0;4.0;;;534.0;534.0;;;;174.0;91.0;82.0;;805.0;166.0;638.0;351.0;0.0;;;;28.0;431.0;426.0;5.0;;;638.0;638.0;
117;Totaal afzet;2015 augustus;92.1;34.1;0.6;13.1;12.9;0.2;;;20.3;20.3;;;;41.9;8.8;3.9;4.9;;33.1;6.2;27.0;15.5;15.5;0.0;;;;;13.0;311.0;307.0;4.0;;;472.0;472.0;;;;203.0;89.0;113.0;;808.0;151.0;658.0;356.0;0.0;;;;24.0;414.0;409.0;5.0;;;565.0;565.0;
118;Totaal afzet;2015 september;99.0;38.0;0.7;13.9;13.7;0.2;;;23.2;23.2;;;;45.9;8.1;3.9;4.2;;37.9;7.1;30.8;14.5;14.5;0.0;;;;;15.0;329.0;325.0;4.0;;;541.0;541.0;;;;187.0;91.0;96.0;;924.0;173.0;751.0;333.0;0.0;;;;28.0;439.0;434.0;5.0;;;647.0;647.0;
119;Totaal afzet;2015 3e kwartaal;284.8;109.6;1.9;40.6;40.1;0.5;;;66.5;66.5;;0.4;0.2;128.3;24.3;11.7;12.6;;104.0;20.1;83.9;45.2;45.2;0.0;;1.7;0.3;1.4;43.0;963.0;951.0;12.0;;;1546.0;1546.0;;12.0;47.0;563.0;272.0;292.0;;2536.0;490.0;2047.0;1040.0;0.0;;7.0;391.0;80.0;1285.0;1269.0;16.0;;;1850.0;1850.0;
120;Totaal afzet;2015 oktober;99.4;40.3;0.7;14.4;14.3;0.2;;;25.0;25.0;;;;44.0;7.8;4.0;3.8;;36.2;8.0;28.2;14.5;14.5;0.0;;;;;16.0;342.0;338.0;4.0;;;582.0;582.0;;;;180.0;93.0;88.0;;883.0;195.0;689.0;332.0;0.0;;;;29.0;457.0;452.0;5.0;;;696.0;696.0;
121;Totaal afzet;2015 november;94.2;38.0;0.6;13.6;13.5;0.2;;;23.6;23.6;;;;43.4;7.4;4.0;3.4;;36.1;7.6;28.4;12.2;12.2;0.0;;;;;14.0;323.0;319.0;4.0;;;548.0;548.0;;;;171.0;92.0;79.0;;880.0;186.0;694.0;280.0;0.0;;;;26.0;432.0;427.0;5.0;;;656.0;656.0;
122;Totaal afzet;2015 december;96.3;38.5;0.7;14.5;14.3;0.2;;;23.2;23.2;;;;44.7;9.6;4.0;5.6;;35.0;6.2;28.9;12.5;12.5;0.0;;;;;15.0;343.0;339.0;4.0;;;538.0;538.0;;;;223.0;93.0;130.0;;854.0;151.0;704.0;288.0;0.0;;;;27.0;459.0;454.0;5.0;;;644.0;644.0;
123;Totaal afzet;2015 4e kwartaal;289.9;116.8;2.0;42.6;42.1;0.5;;;71.7;71.7;;0.4;0.2;132.1;24.8;12.0;12.8;;107.3;21.8;85.5;39.2;39.2;0.0;;1.7;0.3;1.4;44.0;1008.0;996.0;12.0;;;1668.0;1668.0;;12.0;47.0;574.0;278.0;296.0;;2618.0;532.0;2086.0;901.0;0.0;;7.0;391.0;83.0;1348.0;1332.0;16.0;;;1995.0;1995.0;
124;Totaal afzet;2016 januari;90.5;34.5;0.6;13.1;13.0;0.2;;;20.7;20.7;;;;43.2;9.3;3.9;5.4;;33.8;5.6;28.3;12.2;12.2;0.0;;;;;13.0;310.0;306.0;4.0;;;480.0;480.0;;;;216.0;91.0;126.0;;826.0;136.0;689.0;281.0;0.0;;;;25.0;415.0;410.0;5.0;;;575.0;575.0;
125;Totaal afzet;2016 februari;87.8;34.7;0.7;13.2;13.0;0.1;;;20.8;20.8;;;;41.0;7.7;4.0;3.7;;33.3;4.4;28.8;11.5;11.5;0.0;;;;;15.0;312.0;308.0;3.0;;;483.0;483.0;;;;179.0;92.0;87.0;;811.0;108.0;703.0;264.0;0.0;;;;27.0;416.0;412.0;5.0;;;578.0;578.0;
126;Totaal afzet;2016 maart;95.6;38.6;0.7;14.3;14.1;0.2;;;23.6;23.6;;;;43.7;8.8;4.3;4.5;;34.9;3.6;31.3;12.7;12.7;0.0;;;;;14.0;338.0;334.0;4.0;;;548.0;548.0;;;;203.0;99.0;104.0;;851.0;88.0;764.0;291.0;0.0;;;;27.0;452.0;446.0;6.0;;;656.0;656.0;
127;Totaal afzet;2016 1e kwartaal;274.3;108.3;1.9;40.6;40.1;0.5;;;65.0;65.0;;0.4;0.3;127.8;25.8;12.2;13.7;;102.0;13.6;88.4;36.4;36.4;0.0;;1.7;0.3;1.4;42.0;960.0;949.0;11.0;;;1512.0;1512.0;;14.0;87.0;598.0;282.0;316.0;;2488.0;332.0;2156.0;837.0;0.0;;7.0;398.0;79.0;1283.0;1268.0;15.0;;;1808.0;1808.0;
128;Totaal afzet;2016 april;92.3;37.6;0.7;14.4;14.2;0.2;;;22.4;22.4;;;;40.6;7.8;3.9;3.8;;32.8;5.9;26.9;13.5;13.5;0.0;;;;;15.0;341.0;336.0;4.0;;;522.0;522.0;;;;180.0;91.0;89.0;;800.0;144.0;655.0;311.0;0.0;;;;27.0;454.0;448.0;6.0;;;624.0;624.0;
129;Totaal afzet;2016 mei;97.6;38.0;0.6;14.0;13.8;0.2;;;23.3;23.3;;;;44.7;8.7;3.7;4.9;;36.0;6.1;29.9;14.3;14.3;0.0;;;;;14.0;331.0;326.0;5.0;;;543.0;543.0;;;;201.0;87.0;114.0;;879.0;148.0;730.0;329.0;0.0;;;;27.0;441.0;435.0;7.0;;;649.0;649.0;
