ID;Perioden;TotaalVervoerdGewicht_1;RuweAardolieNaarBelgie_2;RuweAardolieNaarDuitsland_3;AardolieproductenNaarDuitsland_4;TotaleVervoersprestatie_5;RuweAardolie_6;Aardolieproducten_7
515;2022 december;4269;2448;1233;588;466;376;90
516;2022 4e kwartaal;12987;7342;3744;1900;1426;1136;291
517;2022;51303;28388;14553;8361;5683;4405;1279
518;2023 januari;4536;2656;1266;613;490;396;94
519;2023 februari;4051;2376;1140;536;437;355;82
520;2023 maart;4597;2717;1203;677;493;389;104
521;2023 1e kwartaal;13184;7749;3609;1826;1420;1140;280
522;2023 april;4271;2442;1070;759;464;348;116
523;2023 mei;4311;2548;981;782;460;340;120
524;2023 juni;4209;2529;984;696;446;339;106
525;2023 2e kwartaal;12791;7519;3035;2237;1370;1027;342
526;2023 juli;4435;2583;1100;752;478;363;115
527;2023 augustus;4563;2702;1096;766;487;370;117
528;2023 september;4045;2429;891;725;428;317;111
529;2023 3e kwartaal;13043;7714;3087;2243;1393;1050;343
530;2023 oktober;3911;2433;746;732;404;292;112
531;2023 november;3909;2452;701;755;401;286;116
532;2023 december;4749;2709;1243;797;517;396;122
533;2023 4e kwartaal;12569;7594;2690;2284;1322;974;350
534;2023;51587;30576;12421;8590;5505;4191;1315
535;2024 januari;4519;2670;1200;650;485;385;99
536;2024 februari;4281;2501;1196;584;463;373;89
537;2024 maart;4505;2614;1187;704;487;380;108
538;2024 1e kwartaal;13305;7785;3583;1938;1435;1138;296
539;2024 april;4528;2593;1252;683;494;389;104
540;2024 mei;4571;2681;1200;689;492;386;105
541;2024 juni;4689;2716;1252;721;508;398;110
542;2024 2e kwartaal;13788;7990;3704;2093;1494;1173;319
543;2024 juli;4385;2700;948;737;458;345;113
544;2024 augustus;4628;2766;1069;794;491;370;121
545;2024 september;3879;2428;711;740;399;286;113
546;2024 3e kwartaal;12892;7894;2728;2271;1348;1001;347
547;2024 oktober;4247;2549;996;702;450;343;107
548;2024 november;4365;2551;1045;769;469;351;118
549;2024 december;4476;2546;1143;787;488;367;120
550;2024 4e kwartaal;13088;7646;3184;2258;1407;1061;345
551;2024;53073;31315;13199;8560;5684;4373;1307
