ID;TypeOfCapitalGood;SectorsBranchesSIC2008;Periods;CapitalStockClosingBalanceSheet_1;VolumeIndices2010100_2;CapitalStockOpeningBalanceSheet_3;Revaluation_4;InvestInFixedAssetsProdAndImport_5;Depreciation_6;TradeAndOtherChanges_7;StatisticalDiscrepancy_8;CapitalStockClosingBalanceSheet_9
1657;Dwellings;J Information and communication;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1658;Dwellings;J Information and communication;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1659;Dwellings;J Information and communication;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1660;Dwellings;J Information and communication;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1661;Dwellings;J Information and communication;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1662;Dwellings;J Information and communication;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1663;Dwellings;J Information and communication;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1664;Dwellings;J Information and communication;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1665;Dwellings;J Information and communication;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1666;Dwellings;J Information and communication;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1667;Dwellings;J Information and communication;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1668;Dwellings;J Information and communication;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1669;Dwellings;J Information and communication;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1670;Dwellings;J Information and communication;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1671;Dwellings;J Information and communication;2016;0.0;100.0;0.0;;;;;;0.0
1672;Dwellings;58-60 Publishing, movie, radio and  TV;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1673;Dwellings;58-60 Publishing, movie, radio and  TV;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1674;Dwellings;58-60 Publishing, movie, radio and  TV;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1675;Dwellings;58-60 Publishing, movie, radio and  TV;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1676;Dwellings;58-60 Publishing, movie, radio and  TV;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1677;Dwellings;58-60 Publishing, movie, radio and  TV;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1678;Dwellings;58-60 Publishing, movie, radio and  TV;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1679;Dwellings;58-60 Publishing, movie, radio and  TV;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1680;Dwellings;58-60 Publishing, movie, radio and  TV;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1681;Dwellings;58-60 Publishing, movie, radio and  TV;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1682;Dwellings;58-60 Publishing, movie, radio and  TV;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1683;Dwellings;58-60 Publishing, movie, radio and  TV;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1684;Dwellings;58-60 Publishing, movie, radio and  TV;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1685;Dwellings;58-60 Publishing, movie, radio and  TV;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1686;Dwellings;58-60 Publishing, movie, radio and  TV;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1687;Dwellings;58-60 Publishing, movie, radio and  TV;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1688;Dwellings;58-60 Publishing, movie, radio and  TV;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1689;Dwellings;58-60 Publishing, movie, radio and  TV;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1690;Dwellings;58-60 Publishing, movie, radio and  TV;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1691;Dwellings;58-60 Publishing, movie, radio and  TV;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1692;Dwellings;58-60 Publishing, movie, radio and  TV;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1693;Dwellings;58-60 Publishing, movie, radio and  TV;2016;0.0;100.0;0.0;;;;;;0.0
1694;Dwellings;61 Telecommunications;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1695;Dwellings;61 Telecommunications;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1696;Dwellings;61 Telecommunications;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1697;Dwellings;61 Telecommunications;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1698;Dwellings;61 Telecommunications;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1699;Dwellings;61 Telecommunications;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1700;Dwellings;61 Telecommunications;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1701;Dwellings;61 Telecommunications;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1702;Dwellings;61 Telecommunications;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1703;Dwellings;61 Telecommunications;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1704;Dwellings;61 Telecommunications;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1705;Dwellings;61 Telecommunications;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1706;Dwellings;61 Telecommunications;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1707;Dwellings;61 Telecommunications;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1708;Dwellings;61 Telecommunications;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1709;Dwellings;61 Telecommunications;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1710;Dwellings;61 Telecommunications;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1711;Dwellings;61 Telecommunications;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1712;Dwellings;61 Telecommunications;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1713;Dwellings;61 Telecommunications;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1714;Dwellings;61 Telecommunications;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1715;Dwellings;61 Telecommunications;2016;0.0;100.0;0.0;;;;;;0.0
1716;Dwellings;62-63 IT- and information services;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1717;Dwellings;62-63 IT- and information services;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1718;Dwellings;62-63 IT- and information services;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1719;Dwellings;62-63 IT- and information services;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1720;Dwellings;62-63 IT- and information services;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1721;Dwellings;62-63 IT- and information services;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1722;Dwellings;62-63 IT- and information services;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1723;Dwellings;62-63 IT- and information services;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1724;Dwellings;62-63 IT- and information services;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1725;Dwellings;62-63 IT- and information services;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1726;Dwellings;62-63 IT- and information services;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1727;Dwellings;62-63 IT- and information services;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1728;Dwellings;62-63 IT- and information services;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1729;Dwellings;62-63 IT- and information services;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1730;Dwellings;62-63 IT- and information services;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1731;Dwellings;62-63 IT- and information services;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1732;Dwellings;62-63 IT- and information services;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1733;Dwellings;62-63 IT- and information services;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1734;Dwellings;62-63 IT- and information services;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1735;Dwellings;62-63 IT- and information services;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1736;Dwellings;62-63 IT- and information services;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1737;Dwellings;62-63 IT- and information services;2016;0.0;100.0;0.0;;;;;;0.0
1738;Dwellings;K Financial institutions;1995;16084.0;109.3;15857.0;409.0;403.0;265.0;-321.0;0.0;16084.0
1739;Dwellings;K Financial institutions;1996;17001.0;111.7;16084.0;524.0;1063.0;278.0;-392.0;0.0;17001.0
1740;Dwellings;K Financial institutions;1997;17459.0;112.1;17001.0;358.0;610.0;288.0;-222.0;0.0;17459.0
1741;Dwellings;K Financial institutions;1998;18349.0;114.6;17459.0;454.0;964.0;302.0;-225.0;0.0;18349.0
1742;Dwellings;K Financial institutions;1999;19051.0;114.2;18349.0;701.0;828.0;322.0;-506.0;0.0;19051.0
1743;Dwellings;K Financial institutions;2000;21006.0;119.0;19051.0;1061.0;1809.0;346.0;-569.0;0.0;21006.0
1744;Dwellings;K Financial institutions;2001;22596.0;120.5;21006.0;1291.0;1430.0;376.0;-755.0;0.0;22596.0
1745;Dwellings;K Financial institutions;2002;24197.0;121.8;22596.0;1344.0;1456.0;402.0;-797.0;0.0;24197.0
1746;Dwellings;K Financial institutions;2003;24821.0;119.6;24197.0;1088.0;272.0;419.0;-316.0;0.0;24821.0
1747;Dwellings;K Financial institutions;2004;24693.0;115.7;24821.0;701.0;575.0;430.0;-973.0;0.0;24693.0
1748;Dwellings;K Financial institutions;2005;24079.0;110.2;24693.0;579.0;485.0;430.0;-1247.0;0.0;24079.0
1749;Dwellings;K Financial institutions;2006;24341.0;107.6;24079.0;858.0;529.0;430.0;-695.0;0.0;24341.0
1750;Dwellings;K Financial institutions;2007;23556.0;102.4;24341.0;411.0;226.0;430.0;-992.0;0.0;23556.0
1751;Dwellings;K Financial institutions;2008;23755.0;100.4;23556.0;678.0;313.0;429.0;-363.0;0.0;23755.0
1752;Dwellings;K Financial institutions;2009;24197.0;98.6;23755.0;881.0;335.0;443.0;-331.0;0.0;24197.0
1753;Dwellings;K Financial institutions;2010;24822.0;100.0;24197.0;271.0;980.0;455.0;-172.0;0.0;24822.0
1754;Dwellings;K Financial institutions;2011;23672.0;97.5;24822.0;-554.0;228.0;451.0;-373.0;0.0;23672.0
1755;Dwellings;K Financial institutions;2012;23114.0;96.6;23672.0;-333.0;478.0;442.0;-261.0;0.0;23114.0
1756;Dwellings;K Financial institutions;2013;22746.0;96.7;23114.0;-382.0;473.0;437.0;-22.0;0.0;22746.0
1757;Dwellings;K Financial institutions;2014;21354.0;93.4;22746.0;-635.0;126.0;429.0;-455.0;0.0;21354.0
1758;Dwellings;K Financial institutions;2015;20062.0;90.4;21354.0;-628.0;153.0;410.0;-412.0;5.0;20062.0
1759;Dwellings;K Financial institutions;2016;20403.0;90.8;20062.0;;;;;;20403.0
1760;Dwellings;L Renting, buying, selling real estate;1995;388641.0;71.8;369900.0;9569.0;16736.0;7798.0;391.0;-157.0;388641.0
1761;Dwellings;L Renting, buying, selling real estate;1996;411538.0;73.5;388641.0;13326.0;17615.0;8347.0;440.0;-136.0;411538.0
1762;Dwellings;L Renting, buying, selling real estate;1997;432027.0;75.4;411538.0;9510.0;19773.0;8883.0;296.0;-207.0;432027.0
1763;Dwellings;L Renting, buying, selling real estate;1998;455513.0;77.3;432027.0;12212.0;20387.0;9509.0;325.0;71.0;455513.0
1764;Dwellings;L Renting, buying, selling real estate;1999;487191.0;79.4;455513.0;19044.0;22245.0;10360.0;558.0;191.0;487191.0
1765;Dwellings;L Renting, buying, selling real estate;2000;528373.0;81.4;487191.0;28470.0;23193.0;11456.0;702.0;273.0;528373.0
1766;Dwellings;L Renting, buying, selling real estate;2001;575897.0;83.5;528373.0;33013.0;26102.0;12636.0;870.0;175.0;575897.0
1767;Dwellings;L Renting, buying, selling real estate;2002;623535.0;85.3;575897.0;34498.0;26219.0;13838.0;886.0;-127.0;623535.0
1768;Dwellings;L Renting, buying, selling real estate;2003;665510.0;87.0;623535.0;28974.0;27499.0;14875.0;439.0;-62.0;665510.0
1769;Dwellings;L Renting, buying, selling real estate;2004;700475.0;88.8;665510.0;20438.0;29392.0;15770.0;1023.0;-118.0;700475.0
1770;Dwellings;L Renting, buying, selling real estate;2005;734168.0;90.8;700475.0;17195.0;31950.0;16627.0;1312.0;-137.0;734168.0
1771;Dwellings;L Renting, buying, selling real estate;2006;778427.0;93.0;734168.0;26131.0;35046.0;17713.0;773.0;23.0;778427.0
1772;Dwellings;L Renting, buying, selling real estate;2007;812704.0;95.4;778427.0;14031.0;37825.0;18601.0;1082.0;-60.0;812704.0
1773;Dwellings;L Renting, buying, selling real estate;2008;854951.0;97.6;812704.0;22676.0;38997.0;19618.0;418.0;-225.0;854951.0
1774;Dwellings;L Renting, buying, selling real estate;2009;897198.0;99.2;854951.0;28290.0;34113.0;20470.0;408.0;-94.0;897198.0
1775;Dwellings;L Renting, buying, selling real estate;2010;913359.0;100.0;897198.0;8572.0;28255.0;20863.0;197.0;0.0;913359.0
1776;Dwellings;L Renting, buying, selling real estate;2011;893665.0;100.8;913359.0;-26592.0;26418.0;19964.0;444.0;0.0;893665.0
1777;Dwellings;L Renting, buying, selling real estate;2012;878376.0;101.1;893665.0;-18342.0;21915.0;19181.0;319.0;0.0;878376.0
1778;Dwellings;L Renting, buying, selling real estate;2013;864566.0;101.1;878376.0;-13741.0;18820.0;18960.0;71.0;0.0;864566.0
1779;Dwellings;L Renting, buying, selling real estate;2014;841758.0;101.3;864566.0;-24547.0;19820.0;18608.0;528.0;0.0;841758.0
1780;Dwellings;L Renting, buying, selling real estate;2015;820706.0;102.0;841758.0;-26520.0;23307.0;18304.0;470.0;-5.0;820706.0
1781;Dwellings;L Renting, buying, selling real estate;2016;829947.0;103.2;820706.0;;;;;;829947.0
1782;Dwellings;M-N Business services;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1783;Dwellings;M-N Business services;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1784;Dwellings;M-N Business services;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1785;Dwellings;M-N Business services;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1786;Dwellings;M-N Business services;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1787;Dwellings;M-N Business services;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1788;Dwellings;M-N Business services;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1789;Dwellings;M-N Business services;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1790;Dwellings;M-N Business services;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1791;Dwellings;M-N Business services;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1792;Dwellings;M-N Business services;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1793;Dwellings;M-N Business services;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1794;Dwellings;M-N Business services;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1795;Dwellings;M-N Business services;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1796;Dwellings;M-N Business services;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1797;Dwellings;M-N Business services;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1798;Dwellings;M-N Business services;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1799;Dwellings;M-N Business services;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1800;Dwellings;M-N Business services;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1801;Dwellings;M-N Business services;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1802;Dwellings;M-N Business services;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1803;Dwellings;M-N Business services;2016;0.0;100.0;0.0;;;;;;0.0
1804;Dwellings;69-71 Management,  technical consultancy;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1805;Dwellings;69-71 Management,  technical consultancy;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1806;Dwellings;69-71 Management,  technical consultancy;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1807;Dwellings;69-71 Management,  technical consultancy;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1808;Dwellings;69-71 Management,  technical consultancy;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1809;Dwellings;69-71 Management,  technical consultancy;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1810;Dwellings;69-71 Management,  technical consultancy;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1811;Dwellings;69-71 Management,  technical consultancy;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1812;Dwellings;69-71 Management,  technical consultancy;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1813;Dwellings;69-71 Management,  technical consultancy;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1814;Dwellings;69-71 Management,  technical consultancy;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1815;Dwellings;69-71 Management,  technical consultancy;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1816;Dwellings;69-71 Management,  technical consultancy;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1817;Dwellings;69-71 Management,  technical consultancy;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1818;Dwellings;69-71 Management,  technical consultancy;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1819;Dwellings;69-71 Management,  technical consultancy;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1820;Dwellings;69-71 Management,  technical consultancy;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1821;Dwellings;69-71 Management,  technical consultancy;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1822;Dwellings;69-71 Management,  technical consultancy;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1823;Dwellings;69-71 Management,  technical consultancy;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1824;Dwellings;69-71 Management,  technical consultancy;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1825;Dwellings;69-71 Management,  technical consultancy;2016;0.0;100.0;0.0;;;;;;0.0
1826;Dwellings;72 Research and development;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1827;Dwellings;72 Research and development;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1828;Dwellings;72 Research and development;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1829;Dwellings;72 Research and development;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1830;Dwellings;72 Research and development;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1831;Dwellings;72 Research and development;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1832;Dwellings;72 Research and development;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1833;Dwellings;72 Research and development;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1834;Dwellings;72 Research and development;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1835;Dwellings;72 Research and development;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1836;Dwellings;72 Research and development;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1837;Dwellings;72 Research and development;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1838;Dwellings;72 Research and development;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1839;Dwellings;72 Research and development;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1840;Dwellings;72 Research and development;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1841;Dwellings;72 Research and development;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1842;Dwellings;72 Research and development;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1843;Dwellings;72 Research and development;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1844;Dwellings;72 Research and development;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1845;Dwellings;72 Research and development;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1846;Dwellings;72 Research and development;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1847;Dwellings;72 Research and development;2016;0.0;100.0;0.0;;;;;;0.0
1848;Dwellings;73-75 Advertising, design and other;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1849;Dwellings;73-75 Advertising, design and other;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1850;Dwellings;73-75 Advertising, design and other;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1851;Dwellings;73-75 Advertising, design and other;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1852;Dwellings;73-75 Advertising, design and other;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1853;Dwellings;73-75 Advertising, design and other;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1854;Dwellings;73-75 Advertising, design and other;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1855;Dwellings;73-75 Advertising, design and other;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1856;Dwellings;73-75 Advertising, design and other;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1857;Dwellings;73-75 Advertising, design and other;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1858;Dwellings;73-75 Advertising, design and other;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1859;Dwellings;73-75 Advertising, design and other;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1860;Dwellings;73-75 Advertising, design and other;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1861;Dwellings;73-75 Advertising, design and other;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1862;Dwellings;73-75 Advertising, design and other;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1863;Dwellings;73-75 Advertising, design and other;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1864;Dwellings;73-75 Advertising, design and other;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1865;Dwellings;73-75 Advertising, design and other;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1866;Dwellings;73-75 Advertising, design and other;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1867;Dwellings;73-75 Advertising, design and other;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1868;Dwellings;73-75 Advertising, design and other;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1869;Dwellings;73-75 Advertising, design and other;2016;0.0;100.0;0.0;;;;;;0.0
1870;Dwellings;N Renting and other business support;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1871;Dwellings;N Renting and other business support;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1872;Dwellings;N Renting and other business support;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1873;Dwellings;N Renting and other business support;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1874;Dwellings;N Renting and other business support;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1875;Dwellings;N Renting and other business support;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1876;Dwellings;N Renting and other business support;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1877;Dwellings;N Renting and other business support;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1878;Dwellings;N Renting and other business support;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1879;Dwellings;N Renting and other business support;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1880;Dwellings;N Renting and other business support;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1881;Dwellings;N Renting and other business support;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1882;Dwellings;N Renting and other business support;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1883;Dwellings;N Renting and other business support;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1884;Dwellings;N Renting and other business support;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1885;Dwellings;N Renting and other business support;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1886;Dwellings;N Renting and other business support;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1887;Dwellings;N Renting and other business support;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1888;Dwellings;N Renting and other business support;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
