ID;Periods;Euro95_1;Diesel_2;LPG_3
1146;2009 Friday 20 February;1.271;0.959;0.534
1147;2009 Saturday 21 February;1.265;0.957;0.536
1148;2009 Sunday 22 February;1.264;0.956;0.534
1149;2009 Monday 23 February;1.263;0.957;0.531
1150;2009 Tuesday 24 February;1.264;0.957;0.535
1151;2009 Wednesday 25 February;1.259;0.957;0.53
1152;2009 Thursday 26 February;1.258;0.957;0.528
1153;2009 Friday 27 February;1.261;0.958;0.528
1154;2009 Saturday 28 February;1.274;0.963;0.527
1155;2009 Sunday 1 March;1.274;0.963;0.528
1156;2009 Monday 2 March;1.274;0.963;0.529
1157;2009 Tuesday 3 March;1.279;0.962;0.53
1158;2009 Wednesday 4 March;1.277;0.957;0.52
1159;2009 Thursday 5 March;1.282;0.959;0.518
1160;2009 Friday 6 March;1.282;0.959;0.514
1161;2009 Saturday 7 March;1.282;0.956;0.514
1162;2009 Sunday 8 March;1.281;0.956;0.518
1163;2009 Monday 9 March;1.281;0.956;0.514
1164;2009 Tuesday 10 March;1.282;0.954;0.513
1165;2009 Wednesday 11 March;1.281;0.953;0.508
1166;2009 Thursday 12 March;1.276;0.948;0.501
1167;2009 Friday 13 March;1.267;0.941;0.492
1168;2009 Saturday 14 March;1.268;0.943;0.492
1169;2009 Sunday 15 March;1.268;0.944;0.49
1170;2009 Monday 16 March;1.268;0.944;0.491
1171;2009 Tuesday 17 March;1.264;0.939;0.486
1172;2009 Wednesday 18 March;1.266;0.943;0.479
1173;2009 Thursday 19 March;1.272;0.948;0.472
1174;2009 Friday 20 March;1.279;0.953;0.475
1175;2009 Saturday 21 March;1.276;0.956;0.473
1176;2009 Sunday 22 March;1.277;0.956;0.469
1177;2009 Monday 23 March;1.277;0.956;0.47
1178;2009 Tuesday 24 March;1.282;0.962;0.473
1179;2009 Wednesday 25 March;1.292;0.977;0.468
1180;2009 Thursday 26 March;1.293;0.982;0.463
1181;2009 Friday 27 March;1.3;0.986;0.467
1182;2009 Saturday 28 March;1.304;0.986;0.465
1183;2009 Sunday 29 March;1.303;0.986;0.465
1184;2009 Monday 30 March;1.304;0.986;0.466
1185;2009 Tuesday 31 March;1.305;0.986;0.467
1186;2009 Wednesday 1 April;1.301;0.982;0.458
1187;2009 Thursday 2 April;1.301;0.977;0.463
1188;2009 Friday 3 April;1.302;0.98;0.463
1189;2009 Saturday 4 April;1.305;0.982;0.464
1190;2009 Sunday 5 April;1.304;0.982;0.461
1191;2009 Monday 6 April;1.305;0.982;0.465
1192;2009 Tuesday 7 April;1.309;0.982;0.464
1193;2009 Wednesday 8 April;1.311;0.983;0.46
1194;2009 Thursday 9 April;1.31;0.981;0.462
1195;2009 Friday 10 April;1.312;0.981;0.466
1196;2009 Saturday 11 April;1.312;0.98;0.461
1197;2009 Sunday 12 April;1.31;0.979;0.466
1198;2009 Monday 13 April;1.311;0.98;0.459
1199;2009 Tuesday 14 April;1.311;0.98;0.462
1200;2009 Wednesday 15 April;1.311;0.979;0.46
1201;2009 Thursday 16 April;1.31;0.979;0.464
1202;2009 Friday 17 April;1.315;0.98;0.462
1203;2009 Saturday 18 April;1.322;0.984;0.463
1204;2009 Sunday 19 April;1.321;0.985;0.461
1205;2009 Monday 20 April;1.322;0.985;0.463
1206;2009 Tuesday 21 April;1.32;0.985;0.46
1207;2009 Wednesday 22 April;1.323;0.981;0.461
1208;2009 Thursday 23 April;1.322;0.979;0.46
1209;2009 Friday 24 April;1.32;0.978;0.463
1210;2009 Saturday 25 April;1.316;0.972;0.463
1211;2009 Sunday 26 April;1.315;0.971;0.462
1212;2009 Monday 27 April;1.315;0.972;0.461
1213;2009 Tuesday 28 April;1.314;0.965;0.461
1214;2009 Wednesday 29 April;1.312;0.96;0.457
1215;2009 Thursday 30 April;1.31;0.959;0.461
1216;2009 Friday 1 May;1.311;0.96;0.46
1217;2009 Saturday 2 May;1.311;0.96;0.459
1218;2009 Sunday 3 May;1.311;0.959;0.462
1219;2009 Monday 4 May;1.312;0.96;0.46
1220;2009 Tuesday 5 May;1.32;0.962;0.461
1221;2009 Wednesday 6 May;1.331;0.972;0.454
1222;2009 Thursday 7 May;1.34;0.981;0.455
1223;2009 Friday 8 May;1.354;0.995;0.458
1224;2009 Saturday 9 May;1.364;0.996;0.459
1225;2009 Sunday 10 May;1.363;0.996;0.458
1226;2009 Monday 11 May;1.366;0.997;0.458
1227;2009 Tuesday 12 May;1.364;0.997;0.46
1228;2009 Wednesday 13 May;1.364;0.997;0.459
1229;2009 Thursday 14 May;1.365;0.997;0.463
1230;2009 Friday 15 May;1.364;0.996;0.458
1231;2009 Saturday 16 May;1.364;0.992;0.457
1232;2009 Sunday 17 May;1.364;0.992;0.459
1233;2009 Monday 18 May;1.365;0.992;0.458
1234;2009 Tuesday 19 May;1.372;0.99;0.458
1235;2009 Wednesday 20 May;1.385;0.988;0.459
1236;2009 Thursday 21 May;1.396;0.988;0.462
1237;2009 Friday 22 May;1.397;0.988;0.461
1238;2009 Saturday 23 May;1.39;0.986;0.457
1239;2009 Sunday 24 May;1.388;0.987;0.458
1240;2009 Monday 25 May;1.389;0.988;0.457
1241;2009 Tuesday 26 May;1.385;0.984;0.459
1242;2009 Wednesday 27 May;1.378;0.979;0.462
1243;2009 Thursday 28 May;1.379;0.979;0.462
1244;2009 Friday 29 May;1.382;0.981;0.46
1245;2009 Saturday 30 May;1.386;0.995;0.455
1246;2009 Sunday 31 May;1.386;0.995;0.462
1247;2009 Monday 1 June;1.387;0.996;0.459
1248;2009 Tuesday 2 June;1.387;0.996;0.46
1249;2009 Wednesday 3 June;1.397;1.008;0.459
1250;2009 Thursday 4 June;1.405;1.015;0.464
1251;2009 Friday 5 June;1.413;1.017;0.462
1252;2009 Saturday 6 June;1.42;1.024;0.465
1253;2009 Sunday 7 June;1.42;1.025;0.47
1254;2009 Monday 8 June;1.421;1.024;0.471
1255;2009 Tuesday 9 June;1.42;1.026;0.474
1256;2009 Wednesday 10 June;1.42;1.033;0.488
1257;2009 Thursday 11 June;1.422;1.035;0.489
1258;2009 Friday 12 June;1.433;1.044;0.494
1259;2009 Saturday 13 June;1.442;1.049;0.493
1260;2009 Sunday 14 June;1.441;1.049;0.494
1261;2009 Monday 15 June;1.441;1.049;0.495
1262;2009 Tuesday 16 June;1.443;1.048;0.494
1263;2009 Wednesday 17 June;1.448;1.051;0.498
1264;2009 Thursday 18 June;1.448;1.051;0.504
1265;2009 Friday 19 June;1.443;1.051;0.5
1266;2009 Saturday 20 June;1.436;1.051;0.501
1267;2009 Sunday 21 June;1.435;1.05;0.505
1268;2009 Monday 22 June;1.435;1.051;0.505
1269;2009 Tuesday 23 June;1.421;1.041;0.504
1270;2009 Wednesday 24 June;1.405;1.037;0.51
1271;2009 Thursday 25 June;1.401;1.035;0.507
1272;2009 Friday 26 June;1.398;1.036;0.507
1273;2009 Saturday 27 June;1.397;1.036;0.508
1274;2009 Sunday 28 June;1.397;1.036;0.514
1275;2009 Monday 29 June;1.397;1.036;0.509
1276;2009 Tuesday 30 June;1.398;1.037;0.508
1277;2009 Wednesday 1 July;1.4;1.038;0.508
1278;2009 Thursday 2 July;1.401;1.038;0.506
1279;2009 Friday 3 July;1.391;1.029;0.503
1280;2009 Saturday 4 July;1.382;1.028;0.506
1281;2009 Sunday 5 July;1.38;1.027;0.5
1282;2009 Monday 6 July;1.381;1.027;0.505
1283;2009 Tuesday 7 July;1.373;1.019;0.502
1284;2009 Wednesday 8 July;1.368;1.012;0.502
1285;2009 Thursday 9 July;1.367;1.01;0.504
1286;2009 Friday 10 July;1.363;1.007;0.504
1287;2009 Saturday 11 July;1.359;1.001;0.504
1288;2009 Sunday 12 July;1.358;1.0;0.501
1289;2009 Monday 13 July;1.358;0.999;0.504
1290;2009 Tuesday 14 July;1.358;0.998;0.504
1291;2009 Wednesday 15 July;1.354;0.997;0.499
1292;2009 Thursday 16 July;1.354;0.997;0.5
1293;2009 Friday 17 July;1.355;0.996;0.501
1294;2009 Saturday 18 July;1.356;0.997;0.5
1295;2009 Sunday 19 July;1.356;0.998;0.498
1296;2009 Monday 20 July;1.356;0.999;0.498
1297;2009 Tuesday 21 July;1.363;1.004;0.498
1298;2009 Wednesday 22 July;1.364;1.012;0.492
1299;2009 Thursday 23 July;1.366;1.013;0.49
1300;2009 Friday 24 July;1.377;1.015;0.491
1301;2009 Saturday 25 July;1.387;1.026;0.49
1302;2009 Sunday 26 July;1.387;1.026;0.49
1303;2009 Monday 27 July;1.389;1.027;0.49
1304;2009 Tuesday 28 July;1.397;1.03;0.493
1305;2009 Wednesday 29 July;1.399;1.033;0.495
1306;2009 Thursday 30 July;1.399;1.033;0.497
1307;2009 Friday 31 July;1.398;1.032;0.498
1308;2009 Saturday 1 August;1.402;1.031;0.496
1309;2009 Sunday 2 August;1.402;1.031;0.497
1310;2009 Monday 3 August;1.403;1.031;0.499
1311;2009 Tuesday 4 August;1.418;1.04;0.498
1312;2009 Wednesday 5 August;1.426;1.043;0.499
1313;2009 Thursday 6 August;1.427;1.046;0.506
1314;2009 Friday 7 August;1.429;1.05;0.513
1315;2009 Saturday 8 August;1.431;1.055;0.518
1316;2009 Sunday 9 August;1.43;1.055;0.516
1317;2009 Monday 10 August;1.431;1.055;0.518
1318;2009 Tuesday 11 August;1.435;1.056;0.52
1319;2009 Wednesday 12 August;1.445;1.06;0.519
1320;2009 Thursday 13 August;1.446;1.062;0.519
1321;2009 Friday 14 August;1.446;1.062;0.523
1322;2009 Saturday 15 August;1.435;1.06;0.523
1323;2009 Sunday 16 August;1.434;1.06;0.527
1324;2009 Monday 17 August;1.434;1.06;0.522
1325;2009 Tuesday 18 August;1.422;1.049;0.525
1326;2009 Wednesday 19 August;1.419;1.046;0.526
1327;2009 Thursday 20 August;1.418;1.047;0.528
1328;2009 Friday 21 August;1.419;1.048;0.525
1329;2009 Saturday 22 August;1.416;1.049;0.524
1330;2009 Sunday 23 August;1.415;1.049;0.525
1331;2009 Monday 24 August;1.416;1.049;0.526
1332;2009 Tuesday 25 August;1.415;1.05;0.524
1333;2009 Wednesday 26 August;1.415;1.054;0.526
1334;2009 Thursday 27 August;1.414;1.051;0.526
1335;2009 Friday 28 August;1.409;1.049;0.528
1336;2009 Saturday 29 August;1.41;1.047;0.526
1337;2009 Sunday 30 August;1.409;1.048;0.524
1338;2009 Monday 31 August;1.411;1.049;0.525
1339;2009 Tuesday 1 September;1.409;1.048;0.523
1340;2009 Wednesday 2 September;1.402;1.042;0.526
1341;2009 Thursday 3 September;1.399;1.036;0.527
1342;2009 Friday 4 September;1.398;1.031;0.529
1343;2009 Saturday 5 September;1.394;1.025;0.529
1344;2009 Sunday 6 September;1.393;1.025;0.528
1345;2009 Monday 7 September;1.394;1.026;0.531
1346;2009 Tuesday 8 September;1.388;1.025;0.532
1347;2009 Wednesday 9 September;1.383;1.026;0.532
1348;2009 Thursday 10 September;1.384;1.027;0.534
1349;2009 Friday 11 September;1.383;1.026;0.535
1350;2009 Saturday 12 September;1.38;1.024;0.532
1351;2009 Sunday 13 September;1.38;1.022;0.531
1352;2009 Monday 14 September;1.38;1.024;0.534
1353;2009 Tuesday 15 September;1.375;1.019;0.535
1354;2009 Wednesday 16 September;1.372;1.018;0.531
1355;2009 Thursday 17 September;1.37;1.017;0.532
1356;2009 Friday 18 September;1.376;1.021;0.533
1357;2009 Saturday 19 September;1.381;1.025;0.531
1358;2009 Sunday 20 September;1.38;1.025;0.537
1359;2009 Monday 21 September;1.381;1.025;0.531
1360;2009 Tuesday 22 September;1.378;1.023;0.53
1361;2009 Wednesday 23 September;1.376;1.022;0.525
1362;2009 Thursday 24 September;1.375;1.022;0.527
1363;2009 Friday 25 September;1.366;1.017;0.526
1364;2009 Saturday 26 September;1.354;1.008;0.529
1365;2009 Sunday 27 September;1.354;1.008;0.524
1366;2009 Monday 28 September;1.353;1.007;0.528
1367;2009 Tuesday 29 September;1.347;1.004;0.527
1368;2009 Wednesday 30 September;1.344;1.004;0.529
1369;2009 Thursday 1 October;1.341;1.004;0.524
1370;2009 Friday 2 October;1.351;1.016;0.528
1371;2009 Saturday 3 October;1.354;1.019;0.523
1372;2009 Sunday 4 October;1.354;1.02;0.529
1373;2009 Monday 5 October;1.354;1.02;0.527
1374;2009 Tuesday 6 October;1.357;1.017;0.526
1375;2009 Wednesday 7 October;1.36;1.02;0.527
1376;2009 Thursday 8 October;1.363;1.024;0.526
1377;2009 Friday 9 October;1.362;1.022;0.529
1378;2009 Saturday 10 October;1.364;1.024;0.527
1379;2009 Sunday 11 October;1.363;1.025;0.522
1380;2009 Monday 12 October;1.364;1.025;0.529
1381;2009 Tuesday 13 October;1.366;1.033;0.53
1382;2009 Wednesday 14 October;1.366;1.037;0.526
1383;2009 Thursday 15 October;1.374;1.043;0.526
1384;2009 Friday 16 October;1.377;1.044;0.53
1385;2009 Saturday 17 October;1.387;1.053;0.528
1386;2009 Sunday 18 October;1.387;1.054;0.532
1387;2009 Monday 19 October;1.387;1.054;0.533
1388;2009 Tuesday 20 October;1.393;1.055;0.531
1389;2009 Wednesday 21 October;1.397;1.055;0.536
1390;2009 Thursday 22 October;1.397;1.056;0.533
1391;2009 Friday 23 October;1.405;1.064;0.536
1392;2009 Saturday 24 October;1.405;1.064;0.539
1393;2009 Sunday 25 October;1.405;1.065;0.538
1394;2009 Monday 26 October;1.406;1.065;0.539
1395;2009 Tuesday 27 October;1.406;1.065;0.543
1396;2009 Wednesday 28 October;1.406;1.065;0.542
1397;2009 Thursday 29 October;1.41;1.067;0.542
1398;2009 Friday 30 October;1.41;1.068;0.548
1399;2009 Saturday 31 October;1.415;1.067;0.549
1400;2009 Sunday 1 November;1.414;1.067;0.544
1401;2009 Monday 2 November;1.415;1.068;0.548
1402;2009 Tuesday 3 November;1.416;1.066;0.548
1403;2009 Wednesday 4 November;1.416;1.067;0.549
1404;2009 Thursday 5 November;1.415;1.07;0.551
1405;2009 Friday 6 November;1.416;1.07;0.554
1406;2009 Saturday 7 November;1.413;1.064;0.555
1407;2009 Sunday 8 November;1.414;1.064;0.555
1408;2009 Monday 9 November;1.414;1.065;0.554
1409;2009 Tuesday 10 November;1.411;1.062;0.561
1410;2009 Wednesday 11 November;1.41;1.062;0.557
1411;2009 Thursday 12 November;1.408;1.062;0.557
1412;2009 Friday 13 November;1.408;1.059;0.558
1413;2009 Saturday 14 November;1.405;1.054;0.56
1414;2009 Sunday 15 November;1.403;1.053;0.556
1415;2009 Monday 16 November;1.405;1.055;0.56
1416;2009 Tuesday 17 November;1.403;1.054;0.559
1417;2009 Wednesday 18 November;1.406;1.056;0.559
1418;2009 Thursday 19 November;1.412;1.056;0.561
1419;2009 Friday 20 November;1.409;1.056;0.563
1420;2009 Saturday 21 November;1.407;1.055;0.562
1421;2009 Sunday 22 November;1.406;1.055;0.566
1422;2009 Monday 23 November;1.408;1.056;0.565
1423;2009 Tuesday 24 November;1.408;1.056;0.565
1424;2009 Wednesday 25 November;1.408;1.057;0.566
1425;2009 Thursday 26 November;1.407;1.053;0.567
1426;2009 Friday 27 November;1.406;1.05;0.564
1427;2009 Saturday 28 November;1.402;1.046;0.566
1428;2009 Sunday 29 November;1.401;1.046;0.562
1429;2009 Monday 30 November;1.401;1.047;0.563
1430;2009 Tuesday 1 December;1.399;1.047;0.563
1431;2009 Wednesday 2 December;1.402;1.052;0.565
1432;2009 Thursday 3 December;1.406;1.055;0.563
1433;2009 Friday 4 December;1.405;1.056;0.559
1434;2009 Saturday 5 December;1.406;1.056;0.563
1435;2009 Sunday 6 December;1.406;1.055;0.562
1436;2009 Monday 7 December;1.407;1.057;0.565
1437;2009 Tuesday 8 December;1.406;1.058;0.561
1438;2009 Wednesday 9 December;1.405;1.056;0.566
1439;2009 Thursday 10 December;1.402;1.056;0.566
1440;2009 Friday 11 December;1.399;1.054;0.567
1441;2009 Saturday 12 December;1.392;1.048;0.569
1442;2009 Sunday 13 December;1.39;1.047;0.563
1443;2009 Monday 14 December;1.391;1.048;0.567
1444;2009 Tuesday 15 December;1.386;1.045;0.567
1445;2009 Wednesday 16 December;1.384;1.044;0.568
1446;2009 Thursday 17 December;1.384;1.044;0.568
1447;2009 Friday 18 December;1.386;1.047;0.568
1448;2009 Saturday 19 December;1.387;1.052;0.566
1449;2009 Sunday 20 December;1.386;1.052;0.573
1450;2009 Monday 21 December;1.387;1.053;0.571
1451;2009 Tuesday 22 December;1.392;1.059;0.567
1452;2009 Wednesday 23 December;1.392;1.059;0.569
1453;2009 Thursday 24 December;1.397;1.061;0.568
1454;2009 Friday 25 December;1.4;1.064;0.576
1455;2009 Saturday 26 December;1.399;1.064;0.572
1456;2009 Sunday 27 December;1.401;1.064;0.566
1457;2009 Monday 28 December;1.401;1.065;0.57
1458;2009 Tuesday 29 December;1.407;1.067;0.57
1459;2009 Wednesday 30 December;1.414;1.076;0.574
1460;2009 Thursday 31 December;1.418;1.083;0.574
1461;2010 Friday 1 January;1.431;1.091;0.586
1462;2010 Saturday 2 January;1.433;1.092;0.59
1463;2010 Sunday 3 January;1.433;1.093;0.591
1464;2010 Monday 4 January;1.433;1.094;0.592
1465;2010 Tuesday 5 January;1.44;1.1;0.595
1466;2010 Wednesday 6 January;1.448;1.107;0.607
1467;2010 Thursday 7 January;1.449;1.108;0.61
1468;2010 Friday 8 January;1.452;1.115;0.614
1469;2010 Saturday 9 January;1.452;1.115;0.618
1470;2010 Sunday 10 January;1.452;1.114;0.618
1471;2010 Monday 11 January;1.454;1.116;0.619
1472;2010 Tuesday 12 January;1.456;1.116;0.628
1473;2010 Wednesday 13 January;1.456;1.115;0.628
1474;2010 Thursday 14 January;1.453;1.11;0.63
1475;2010 Friday 15 January;1.449;1.107;0.638
1476;2010 Saturday 16 January;1.447;1.101;0.638
1477;2010 Sunday 17 January;1.446;1.101;0.635
1478;2010 Monday 18 January;1.446;1.102;0.641
1479;2010 Tuesday 19 January;1.446;1.097;0.642
1480;2010 Wednesday 20 January;1.446;1.096;0.642
1481;2010 Thursday 21 January;1.448;1.096;0.646
1482;2010 Friday 22 January;1.448;1.095;0.645
1483;2010 Saturday 23 January;1.445;1.091;0.646
1484;2010 Sunday 24 January;1.444;1.09;0.638
1485;2010 Monday 25 January;1.446;1.091;0.642
1486;2010 Tuesday 26 January;1.438;1.084;0.647
1487;2010 Wednesday 27 January;1.437;1.082;0.648
1488;2010 Thursday 28 January;1.439;1.082;0.648
1489;2010 Friday 29 January;1.44;1.079;0.643
1490;2010 Saturday 30 January;1.438;1.08;0.651
1491;2010 Sunday 31 January;1.437;1.079;0.647
1492;2010 Monday 1 February;1.439;1.08;0.649
1493;2010 Tuesday 2 February;1.439;1.079;0.647
1494;2010 Wednesday 3 February;1.443;1.082;0.651
1495;2010 Thursday 4 February;1.45;1.087;0.653
1496;2010 Friday 5 February;1.449;1.089;0.651
1497;2010 Saturday 6 February;1.447;1.086;0.655
1498;2010 Sunday 7 February;1.446;1.084;0.655
1499;2010 Monday 8 February;1.447;1.085;0.659
1500;2010 Tuesday 9 February;1.443;1.083;0.657
1501;2010 Wednesday 10 February;1.441;1.077;0.658
1502;2010 Thursday 11 February;1.44;1.08;0.659
1503;2010 Friday 12 February;1.442;1.086;0.658
1504;2010 Saturday 13 February;1.442;1.085;0.656
1505;2010 Sunday 14 February;1.441;1.085;0.659
1506;2010 Monday 15 February;1.442;1.086;0.658
1507;2010 Tuesday 16 February;1.445;1.086;0.659
1508;2010 Wednesday 17 February;1.448;1.092;0.657
1509;2010 Thursday 18 February;1.449;1.096;0.655
1510;2010 Friday 19 February;1.45;1.102;0.654
1511;2010 Saturday 20 February;1.459;1.112;0.653
1512;2010 Sunday 21 February;1.459;1.113;0.653
1513;2010 Monday 22 February;1.46;1.114;0.651
1514;2010 Tuesday 23 February;1.469;1.124;0.654
1515;2010 Wednesday 24 February;1.471;1.125;0.647
1516;2010 Thursday 25 February;1.471;1.126;0.651
1517;2010 Friday 26 February;1.476;1.125;0.643
1518;2010 Saturday 27 February;1.476;1.125;0.645
1519;2010 Sunday 28 February;1.475;1.124;0.643
1520;2010 Monday 1 March;1.476;1.125;0.645
1521;2010 Tuesday 2 March;1.481;1.125;0.643
1522;2010 Wednesday 3 March;1.481;1.126;0.638
1523;2010 Thursday 4 March;1.487;1.126;0.638
1524;2010 Friday 5 March;1.489;1.126;0.635
1525;2010 Saturday 6 March;1.497;1.126;0.636
1526;2010 Sunday 7 March;1.497;1.126;0.635
1527;2010 Monday 8 March;1.498;1.127;0.639
1528;2010 Tuesday 9 March;1.504;1.13;0.64
1529;2010 Wednesday 10 March;1.508;1.135;0.644
1530;2010 Thursday 11 March;1.508;1.134;0.64
1531;2010 Friday 12 March;1.512;1.136;0.643
1532;2010 Saturday 13 March;1.513;1.143;0.647
1533;2010 Sunday 14 March;1.512;1.142;0.647
1534;2010 Monday 15 March;1.514;1.142;0.655
1535;2010 Tuesday 16 March;1.512;1.141;0.661
1536;2010 Wednesday 17 March;1.51;1.142;0.66
1537;2010 Thursday 18 March;1.51;1.144;0.658
1538;2010 Friday 19 March;1.512;1.145;0.661
1539;2010 Saturday 20 March;1.512;1.145;0.662
1540;2010 Sunday 21 March;1.511;1.145;0.664
1541;2010 Monday 22 March;1.513;1.146;0.659
1542;2010 Tuesday 23 March;1.509;1.145;0.659
1543;2010 Wednesday 24 March;1.506;1.145;0.659
1544;2010 Thursday 25 March;1.511;1.146;0.654
1545;2010 Friday 26 March;1.514;1.146;0.654
1546;2010 Saturday 27 March;1.515;1.151;0.651
1547;2010 Sunday 28 March;1.514;1.151;0.65
1548;2010 Monday 29 March;1.515;1.152;0.653
1549;2010 Tuesday 30 March;1.515;1.155;0.653
1550;2010 Wednesday 31 March;1.521;1.156;0.652
1551;2010 Thursday 1 April;1.524;1.159;0.648
1552;2010 Friday 2 April;1.53;1.168;0.644
1553;2010 Saturday 3 April;1.53;1.172;0.641
1554;2010 Sunday 4 April;1.529;1.171;0.648
1555;2010 Monday 5 April;1.53;1.172;0.644
1556;2010 Tuesday 6 April;1.53;1.173;0.646
1557;2010 Wednesday 7 April;1.537;1.185;0.641
1558;2010 Thursday 8 April;1.539;1.186;0.641
1559;2010 Friday 9 April;1.539;1.186;0.633
1560;2010 Saturday 10 April;1.539;1.186;0.634
1561;2010 Sunday 11 April;1.537;1.184;0.636
1562;2010 Monday 12 April;1.539;1.187;0.635
1563;2010 Tuesday 13 April;1.536;1.186;0.636
1564;2010 Wednesday 14 April;1.529;1.183;0.631
1565;2010 Thursday 15 April;1.528;1.182;0.627
1566;2010 Friday 16 April;1.53;1.186;0.629
1567;2010 Saturday 17 April;1.527;1.183;0.626
1568;2010 Sunday 18 April;1.53;1.186;0.624
1569;2010 Monday 19 April;1.53;1.186;0.625
1570;2010 Tuesday 20 April;1.526;1.183;0.626
1571;2010 Wednesday 21 April;1.521;1.177;0.625
1572;2010 Thursday 22 April;1.524;1.179;0.623
1573;2010 Friday 23 April;1.523;1.18;0.619
1574;2010 Saturday 24 April;1.528;1.183;0.62
1575;2010 Sunday 25 April;1.529;1.185;0.619
1576;2010 Monday 26 April;1.53;1.185;0.622
1577;2010 Tuesday 27 April;1.535;1.19;0.617
1578;2010 Wednesday 28 April;1.538;1.193;0.618
1579;2010 Thursday 29 April;1.537;1.194;0.617
1580;2010 Friday 30 April;1.538;1.195;0.618
1581;2010 Saturday 1 May;1.537;1.194;0.619
1582;2010 Sunday 2 May;1.54;1.196;0.612
1583;2010 Monday 3 May;1.54;1.197;0.619
1584;2010 Tuesday 4 May;1.543;1.204;0.618
1585;2010 Wednesday 5 May;1.548;1.212;0.614
1586;2010 Thursday 6 May;1.548;1.213;0.617
1587;2010 Friday 7 May;1.543;1.207;0.618
1588;2010 Saturday 8 May;1.535;1.199;0.616
1589;2010 Sunday 9 May;1.534;1.199;0.615
1590;2010 Monday 10 May;1.535;1.2;0.62
1591;2010 Tuesday 11 May;1.532;1.196;0.617
1592;2010 Wednesday 12 May;1.531;1.195;0.621
1593;2010 Thursday 13 May;1.53;1.196;0.621
1594;2010 Friday 14 May;1.531;1.198;0.619
1595;2010 Saturday 15 May;1.533;1.198;0.619
1596;2010 Sunday 16 May;1.533;1.197;0.621
1597;2010 Monday 17 May;1.533;1.197;0.621
1598;2010 Tuesday 18 May;1.531;1.196;0.618
1599;2010 Wednesday 19 May;1.527;1.192;0.625
1600;2010 Thursday 20 May;1.52;1.189;0.63
1601;2010 Friday 21 May;1.518;1.186;0.625
1602;2010 Saturday 22 May;1.505;1.173;0.627
1603;2010 Sunday 23 May;1.505;1.172;0.631
1604;2010 Monday 24 May;1.504;1.172;0.626
1605;2010 Tuesday 25 May;1.505;1.172;0.628
1606;2010 Wednesday 26 May;1.498;1.165;0.626
1607;2010 Thursday 27 May;1.497;1.165;0.624
1608;2010 Friday 28 May;1.5;1.166;0.626
1609;2010 Saturday 29 May;1.506;1.173;0.626
1610;2010 Sunday 30 May;1.504;1.173;0.629
1611;2010 Monday 31 May;1.505;1.174;0.624
1612;2010 Tuesday 1 June;1.508;1.176;0.625
1613;2010 Wednesday 2 June;1.508;1.177;0.622
1614;2010 Thursday 3 June;1.509;1.176;0.619
1615;2010 Friday 4 June;1.509;1.178;0.622
1616;2010 Saturday 5 June;1.518;1.184;0.619
1617;2010 Sunday 6 June;1.518;1.185;0.622
1618;2010 Monday 7 June;1.519;1.186;0.623
1619;2010 Tuesday 8 June;1.519;1.186;0.621
1620;2010 Wednesday 9 June;1.518;1.185;0.625
1621;2010 Thursday 10 June;1.518;1.186;0.624
1622;2010 Friday 11 June;1.519;1.188;0.627
1623;2010 Saturday 12 June;1.519;1.191;0.625
1624;2010 Sunday 13 June;1.518;1.19;0.627
1625;2010 Monday 14 June;1.518;1.191;0.625
1626;2010 Tuesday 15 June;1.519;1.189;0.625
1627;2010 Wednesday 16 June;1.518;1.188;0.625
1628;2010 Thursday 17 June;1.518;1.188;0.621
1629;2010 Friday 18 June;1.525;1.194;0.626
1630;2010 Saturday 19 June;1.527;1.195;0.627
1631;2010 Sunday 20 June;1.527;1.196;0.625
1632;2010 Monday 21 June;1.527;1.196;0.625
1633;2010 Tuesday 22 June;1.528;1.203;0.63
1634;2010 Wednesday 23 June;1.528;1.206;0.629
1635;2010 Thursday 24 June;1.528;1.206;0.629
1636;2010 Friday 25 June;1.527;1.204;0.63
1637;2010 Saturday 26 June;1.522;1.199;0.625
1638;2010 Sunday 27 June;1.522;1.199;0.626
1639;2010 Monday 28 June;1.522;1.198;0.63
1640;2010 Tuesday 29 June;1.525;1.198;0.628
1641;2010 Wednesday 30 June;1.525;1.197;0.629
1642;2010 Thursday 1 July;1.522;1.196;0.627
1643;2010 Friday 2 July;1.516;1.189;0.626
1644;2010 Saturday 3 July;1.506;1.18;0.624
1645;2010 Sunday 4 July;1.506;1.179;0.628
1646;2010 Monday 5 July;1.507;1.179;0.623
1647;2010 Tuesday 6 July;1.5;1.172;0.623
1648;2010 Wednesday 7 July;1.5;1.168;0.619
1649;2010 Thursday 8 July;1.498;1.166;0.615
1650;2010 Friday 9 July;1.498;1.166;0.618
1651;2010 Saturday 10 July;1.498;1.167;0.609
1652;2010 Sunday 11 July;1.499;1.165;0.62
1653;2010 Monday 12 July;1.499;1.167;0.612
1654;2010 Tuesday 13 July;1.499;1.166;0.614
1655;2010 Wednesday 14 July;1.499;1.169;0.612
1656;2010 Thursday 15 July;1.499;1.171;0.612
1657;2010 Friday 16 July;1.499;1.171;0.614
1658;2010 Saturday 17 July;1.497;1.167;0.608
1659;2010 Sunday 18 July;1.498;1.166;0.612
1660;2010 Monday 19 July;1.498;1.167;0.609
1661;2010 Tuesday 20 July;1.493;1.164;0.608
1662;2010 Wednesday 21 July;1.49;1.158;0.605
