ID;BedrijfstakkenSBI93;LoonklassenJaarloon;WoonregioS;WerkregioS;Perioden;TotaalHoofdbanenVanWerknemers_1;HoofdbaanBinnenWoongemeente_2;HoofdbaanBuitenWoongemeente_3;HoofdbaanBinnenWoonCOROP_4;HoofdbaanBuitenWoonCOROP_5;HoofdbaanBinnenWoonprovincie_6;HoofdbaanBuitenWoonprovincie_7;GemiddeldeWoonwerkafstand_8
134;0;0;Nederland inclusief buitenland;IJmond (CR);2004 30 september;66.4;26.1;40.3;43.4;23.0;62.7;3.7;
135;0;0;Nederland inclusief buitenland;IJmond (CR);2005 30 september;65.7;25.3;40.4;42.7;23.0;61.7;3.9;
136;0;0;Nederland inclusief buitenland;Agglomeratie Haarlem (CR);1998 31 december;84.0;36.4;47.6;48.7;35.4;74.3;9.7;
137;0;0;Nederland inclusief buitenland;Agglomeratie Haarlem (CR);2000 31 december;82.0;34.5;47.4;46.5;35.5;71.9;10.1;
138;0;0;Nederland inclusief buitenland;Agglomeratie Haarlem (CR);2004 30 september;82.6;34.9;47.7;45.8;36.8;71.2;11.4;
139;0;0;Nederland inclusief buitenland;Agglomeratie Haarlem (CR);2005 30 september;82.0;35.2;46.8;45.4;36.6;71.1;10.9;
140;0;0;Nederland inclusief buitenland;Zaanstreek (CR);1998 31 december;57.2;31.7;25.4;35.0;22.2;53.0;4.1;
141;0;0;Nederland inclusief buitenland;Zaanstreek (CR);2000 31 december;57.0;30.1;26.8;33.3;23.7;51.0;6.0;
142;0;0;Nederland inclusief buitenland;Zaanstreek (CR);2004 30 september;58.1;31.3;26.8;34.6;23.5;52.7;5.4;
143;0;0;Nederland inclusief buitenland;Zaanstreek (CR);2005 30 september;56.2;30.6;25.6;33.8;22.4;51.4;4.8;
144;0;0;Nederland inclusief buitenland;Groot-Amsterdam (CR);1998 31 december;673.3;279.8;393.5;309.5;363.8;512.2;161.1;
145;0;0;Nederland inclusief buitenland;Groot-Amsterdam (CR);2000 31 december;707.6;275.8;431.7;400.8;306.8;516.4;191.1;
146;0;0;Nederland inclusief buitenland;Groot-Amsterdam (CR);2004 30 september;729.1;291.8;437.2;417.2;311.9;535.8;193.2;
147;0;0;Nederland inclusief buitenland;Groot-Amsterdam (CR);2005 30 september;732.3;292.1;440.1;419.2;313.1;538.9;193.4;
148;0;0;Nederland inclusief buitenland;Het Gooi en Vechtstreek (CR);1998 31 december;99.7;30.8;68.9;54.1;45.6;64.7;34.9;
149;0;0;Nederland inclusief buitenland;Het Gooi en Vechtstreek (CR);2000 31 december;101.4;30.6;70.8;54.0;47.4;64.8;36.6;
150;0;0;Nederland inclusief buitenland;Het Gooi en Vechtstreek (CR);2004 30 september;105.1;34.4;70.7;57.4;47.7;68.8;36.3;
151;0;0;Nederland inclusief buitenland;Het Gooi en Vechtstreek (CR);2005 30 september;103.5;33.4;70.1;56.1;47.4;67.6;35.9;
152;0;0;Nederland inclusief buitenland;Aggl. Leiden en Bollenstreek (CR);1998 31 december;145.8;58.7;87.1;108.9;36.9;129.8;15.9;
153;0;0;Nederland inclusief buitenland;Aggl. Leiden en Bollenstreek (CR);2000 31 december;149.6;57.5;92.1;108.2;41.4;130.4;19.2;
154;0;0;Nederland inclusief buitenland;Aggl. Leiden en Bollenstreek (CR);2004 30 september;160.0;63.0;97.0;115.0;45.0;139.2;20.7;
155;0;0;Nederland inclusief buitenland;Aggl. Leiden en Bollenstreek (CR);2005 30 september;159.2;62.3;96.9;114.6;44.6;138.8;20.4;
156;0;0;Nederland inclusief buitenland;Agglomeratie 's-Gravenhage (CR);1998 31 december;350.1;153.3;196.8;224.9;125.2;305.8;44.3;
157;0;0;Nederland inclusief buitenland;Agglomeratie 's-Gravenhage (CR);2000 31 december;360.4;150.3;210.1;223.1;137.3;305.1;55.2;
158;0;0;Nederland inclusief buitenland;Agglomeratie 's-Gravenhage (CR);2004 30 september;365.0;165.0;200.0;235.3;129.7;312.9;52.0;
159;0;0;Nederland inclusief buitenland;Agglomeratie 's-Gravenhage (CR);2005 30 september;371.7;168.6;203.2;237.7;134.0;316.6;55.1;
160;0;0;Nederland inclusief buitenland;Delft en Westland (CR);1998 31 december;101.4;40.4;61.0;59.8;41.7;95.2;6.2;
161;0;0;Nederland inclusief buitenland;Delft en Westland (CR);2000 31 december;103.4;40.4;63.0;60.6;42.8;96.2;7.2;
162;0;0;Nederland inclusief buitenland;Delft en Westland (CR);2004 30 september;106.7;51.5;55.2;58.6;48.1;97.8;8.9;
163;0;0;Nederland inclusief buitenland;Delft en Westland (CR);2005 30 september;108.6;51.6;57.1;58.5;50.1;97.5;11.1;
164;0;0;Nederland inclusief buitenland;Oost-Zuid-Holland (CR);1998 31 december;116.5;50.0;66.5;79.3;37.2;99.5;17.0;
165;0;0;Nederland inclusief buitenland;Oost-Zuid-Holland (CR);2000 31 december;118.7;49.7;69.0;79.4;39.3;101.0;17.7;
166;0;0;Nederland inclusief buitenland;Oost-Zuid-Holland (CR);2004 30 september;126.8;54.1;72.7;84.9;41.9;108.0;18.8;
167;0;0;Nederland inclusief buitenland;Oost-Zuid-Holland (CR);2005 30 september;126.2;53.7;72.5;83.4;42.8;106.3;19.8;
168;0;0;Nederland inclusief buitenland;Groot-Rijnmond (CR);1998 31 december;546.9;233.5;313.5;388.7;158.3;491.3;55.7;
169;0;0;Nederland inclusief buitenland;Groot-Rijnmond (CR);2000 31 december;550.1;231.2;318.9;423.3;126.7;491.6;58.5;
170;0;0;Nederland inclusief buitenland;Groot-Rijnmond (CR);2004 30 september;589.3;247.6;341.7;447.8;141.5;523.6;65.7;
171;0;0;Nederland inclusief buitenland;Groot-Rijnmond (CR);2005 30 september;594.2;246.7;347.5;448.6;145.6;525.3;68.9;
172;0;0;Nederland inclusief buitenland;Zuidoost-Zuid-Holland (CR);1998 31 december;160.1;66.5;93.6;106.7;53.4;126.6;33.5;
173;0;0;Nederland inclusief buitenland;Zuidoost-Zuid-Holland (CR);2000 31 december;162.9;66.7;96.2;108.0;54.9;129.2;33.8;
174;0;0;Nederland inclusief buitenland;Zuidoost-Zuid-Holland (CR);2004 30 september;165.5;68.0;97.5;110.1;55.4;133.0;32.5;
175;0;0;Nederland inclusief buitenland;Zuidoost-Zuid-Holland (CR);2005 30 september;163.4;68.0;95.4;109.6;53.8;131.8;31.6;
176;0;0;Nederland inclusief buitenland;Zeeuwsch-Vlaanderen (CR);1998 31 december;38.0;20.7;17.3;34.1;4.0;35.0;3.1;
177;0;0;Nederland inclusief buitenland;Zeeuwsch-Vlaanderen (CR);2000 31 december;38.1;20.2;17.9;33.7;4.4;34.7;3.4;
178;0;0;Nederland inclusief buitenland;Zeeuwsch-Vlaanderen (CR);2004 30 september;41.7;28.5;13.2;35.5;6.1;36.8;4.8;
179;0;0;Nederland inclusief buitenland;Zeeuwsch-Vlaanderen (CR);2005 30 september;40.7;28.4;12.3;35.1;5.6;36.4;4.3;
180;0;0;Nederland inclusief buitenland;Overig Zeeland (CR);1998 31 december;87.7;44.9;42.8;79.4;8.3;81.0;6.7;
181;0;0;Nederland inclusief buitenland;Overig Zeeland (CR);2000 31 december;88.3;45.0;43.4;79.6;8.7;81.5;6.8;
182;0;0;Nederland inclusief buitenland;Overig Zeeland (CR);2004 30 september;102.3;51.6;50.7;89.4;12.9;91.3;11.0;
