ID;Sources;Periods;CO2_1;NMVOC_2;CH4_3;SO2_4;N2O_5;CO_6;NOx_7;NH3_8;PM10_9;PM25_10
243;201 Manufacture of basic chemicals;2001;14400;7.9;12.3;3.6;21.11;25.7;12.6;1.7;0.93;0.6
244;201 Manufacture of basic chemicals;2002;14900;6.6;13.7;3.6;20.25;23.2;12.9;1.5;1.17;0.81
245;201 Manufacture of basic chemicals;2003;15500;6.8;13.8;3.3;20.45;20.4;14.4;1.6;0.88;0.62
246;201 Manufacture of basic chemicals;2004;15500;6.6;13.8;4.2;22.38;23.2;14.7;1.7;1.06;0.74
247;201 Manufacture of basic chemicals;2005;15100;5.3;13.7;3.6;22.53;17.6;13.8;1.3;0.88;0.58
248;201 Manufacture of basic chemicals;2006;15700;3.8;12.6;4.0;22.38;16.2;13.1;1.1;0.88;0.57
249;201 Manufacture of basic chemicals;2007;16200;4.9;12.6;3.9;18.03;18.1;12.3;1.1;0.7;0.44
250;201 Manufacture of basic chemicals;2008;16000;5.0;12.3;3.3;5.83;15.0;12.5;1.1;0.56;0.35
251;201 Manufacture of basic chemicals;2009;15100;4.0;11.9;2.2;6.05;11.1;11.1;0.9;1.04;0.72
252;201 Manufacture of basic chemicals;2010;17100;3.9;12.8;2.1;5.14;11.2;11.7;0.7;1.1;0.78
253;201 Manufacture of basic chemicals;2011;16500;3.2;12.5;2.3;5.13;11.0;11.0;0.8;0.96;0.69
254;201 Manufacture of basic chemicals;2012;16300;3.6;12.6;2.1;5.17;11.3;10.1;0.7;1.01;0.71
255;201 Manufacture of basic chemicals;2013;16300;3.2;12.5;1.5;5.19;7.1;8.8;0.5;1.14;0.83
256;201 Manufacture of basic chemicals;2014;15900;2.9;12.8;1.6;5.41;5.9;8.2;0.5;0.96;0.66
257;201 Manufacture of basic chemicals;2015;15100;2.9;12.6;1.5;5.42;8.0;7.7;0.5;0.82;0.57
258;201 Manufacture of basic chemicals;2016;16700;2.1;12.7;1.4;4.74;8.0;8.4;0.7;0.95;0.64
259;201 Manufacture of basic chemicals;2017;17600;2.3;13.0;1.5;5.02;10.7;7.9;0.6;1.05;0.75
260;201 Manufacture of basic chemicals;2018;17700;1.9;12.5;1.6;4.56;8.1;7.9;0.6;0.86;0.59
261;201 Manufacture of basic chemicals;2019;17000;2.2;13.1;1.4;4.56;10.9;7.7;0.3;0.63;0.46
262;201 Manufacture of basic chemicals;2020;18500;1.9;14.2;1.4;4.13;8.1;8.0;0.4;0.51;0.35
263;201 Manufacture of basic chemicals;2021;18100;1.9;13.9;1.4;3.43;9.1;7.8;0.4;0.6;0.43
264;Chemical and pharmaceutical products ;1990;500;11.1;0.2;0.4;0.05;1.2;2.3;0.0;0.19;0.13
265;Chemical and pharmaceutical products ;1995;800;6.2;0.2;0.8;0.05;2.4;2.3;0.0;0.33;0.19
266;Chemical and pharmaceutical products ;2000;800;4.2;0.1;0.7;0.04;0.8;1.8;0.1;0.27;0.15
267;Chemical and pharmaceutical products ;2001;800;4.0;0.1;0.6;0.04;1.8;1.3;0.0;0.25;0.14
268;Chemical and pharmaceutical products ;2002;700;4.2;0.1;0.5;0.04;1.5;1.1;0.0;0.37;0.2
269;Chemical and pharmaceutical products ;2003;600;3.7;0.1;0.3;0.04;1.2;0.8;0.0;0.37;0.21
270;Chemical and pharmaceutical products ;2004;600;4.0;0.1;0.0;0.04;1.2;0.6;0.4;0.32;0.18
271;Chemical and pharmaceutical products ;2005;600;2.9;0.1;0.3;0.04;2.1;0.8;0.2;0.44;0.24
272;Chemical and pharmaceutical products ;2006;600;4.6;0.1;0.0;0.04;3.4;0.8;0.2;0.39;0.22
273;Chemical and pharmaceutical products ;2007;600;2.9;0.1;0.0;0.05;1.2;0.7;0.0;0.37;0.21
274;Chemical and pharmaceutical products ;2008;500;2.7;0.1;0.0;0.05;1.1;0.6;0.0;0.34;0.19
275;Chemical and pharmaceutical products ;2009;400;2.5;0.0;0.0;0.04;1.0;0.4;0.0;0.3;0.17
276;Chemical and pharmaceutical products ;2010;500;2.7;0.0;0.0;0.03;0.8;0.6;0.0;0.31;0.17
277;Chemical and pharmaceutical products ;2011;400;4.0;0.0;0.1;0.04;3.0;1.0;0.2;0.35;0.19
278;Chemical and pharmaceutical products ;2012;700;5.6;0.1;0.1;0.03;4.9;1.2;0.1;0.39;0.22
279;Chemical and pharmaceutical products ;2013;600;4.0;0.1;0.1;0.04;5.5;1.1;0.1;0.36;0.2
280;Chemical and pharmaceutical products ;2014;600;4.0;0.1;0.2;0.04;5.3;1.3;0.1;0.38;0.21
281;Chemical and pharmaceutical products ;2015;500;3.1;0.1;0.1;0.05;4.7;1.3;0.1;0.37;0.21
282;Chemical and pharmaceutical products ;2016;500;3.4;0.1;0.1;0.04;4.4;1.0;0.1;0.38;0.2
283;Chemical and pharmaceutical products ;2017;400;3.2;0.1;0.1;0.04;3.5;1.1;0.1;0.41;0.24
284;Chemical and pharmaceutical products ;2018;500;3.8;0.1;0.1;0.04;3.1;1.1;0.1;0.41;0.24
285;Chemical and pharmaceutical products ;2019;400;3.2;0.1;0.1;0.04;3.9;1.0;0.1;0.44;0.28
286;Chemical and pharmaceutical products ;2020;400;3.2;0.1;0.1;0.04;2.6;1.1;0.1;0.37;0.21
287;Chemical and pharmaceutical products ;2021;400;3.1;0.1;0.1;0.04;2.3;1.0;0.1;0.35;0.2
288;23 Manufacture of building materials;1990;3000;1.4;0.3;10.0;0.01;5.6;16.1;0.6;3.17;2.24
289;23 Manufacture of building materials;1995;2600;0.7;0.4;4.8;0.01;18.6;7.9;0.6;2.44;1.84
290;23 Manufacture of building materials;2000;2600;0.5;0.6;2.6;0.01;18.9;5.0;0.5;1.26;1.11
291;23 Manufacture of building materials;2001;2600;0.5;0.5;3.2;0.01;18.7;6.8;0.5;1.59;1.19
292;23 Manufacture of building materials;2002;2300;0.8;0.4;3.3;0.01;15.2;6.2;0.5;2.08;1.2
293;23 Manufacture of building materials;2003;2200;0.3;0.4;1.2;0.01;2.8;5.6;0.4;1.15;0.98
294;23 Manufacture of building materials;2004;2300;0.4;0.3;2.6;0.01;2.5;5.5;0.4;1.28;1.11
295;23 Manufacture of building materials;2005;2200;0.3;0.4;2.4;0.01;2.4;5.7;0.4;1.24;1.06
296;23 Manufacture of building materials;2006;2200;0.4;0.4;3.1;0.0;2.4;5.2;0.4;1.3;1.11
297;23 Manufacture of building materials;2007;2300;0.5;0.4;3.0;0.01;2.3;5.6;0.4;1.3;1.11
298;23 Manufacture of building materials;2008;2200;0.5;0.3;2.9;0.01;2.5;5.8;0.5;1.25;1.07
299;23 Manufacture of building materials;2009;2100;0.6;0.3;2.8;0.0;5.1;5.7;0.5;1.25;1.05
300;23 Manufacture of building materials;2010;2000;0.7;0.3;3.0;0.0;5.0;5.2;0.4;1.26;1.07
301;23 Manufacture of building materials;2011;1900;0.7;0.3;3.0;0.0;4.8;5.2;0.4;1.31;1.11
302;23 Manufacture of building materials;2012;1700;0.3;0.3;2.8;0.0;4.2;4.4;0.4;1.19;1.04
303;23 Manufacture of building materials;2013;1500;0.3;0.2;2.5;0.0;4.0;3.9;0.3;1.16;0.96
304;23 Manufacture of building materials;2014;1600;0.3;0.2;2.6;0.0;4.3;3.9;0.3;1.16;1.02
305;23 Manufacture of building materials;2015;1800;0.3;0.2;2.6;0.0;5.0;3.9;0.3;1.23;1.08
306;23 Manufacture of building materials;2016;1800;0.3;0.2;2.5;0.0;4.8;3.9;0.3;1.24;1.09
307;23 Manufacture of building materials;2017;1900;0.3;0.2;2.3;0.0;4.9;3.7;0.3;1.32;1.15
308;23 Manufacture of building materials;2018;1900;0.3;0.2;2.4;0.01;5.4;3.6;0.4;1.41;1.24
309;23 Manufacture of building materials;2019;1500;0.3;0.2;2.4;0.0;4.7;3.1;0.4;1.45;1.28
310;23 Manufacture of building materials;2020;1400;0.3;0.2;2.4;0.0;5.4;2.9;0.3;1.53;1.35
311;23 Manufacture of building materials;2021;1400;0.3;0.2;2.6;0.0;5.2;3.1;0.4;1.59;1.4
312;Manufacture of iron and steel ;1990;6900;2.3;0.4;9.5;0.02;181.5;7.4;0.0;9.32;6.04
313;Manufacture of iron and steel ;1995;7200;1.4;0.4;8.9;0.03;113.6;8.6;0.0;5.6;3.63
314;Manufacture of iron and steel ;2000;5700;0.9;0.3;3.4;0.02;62.9;6.1;0.0;2.09;1.36
315;Manufacture of iron and steel ;2001;5900;0.6;0.3;3.4;0.02;55.7;7.0;0.0;1.9;1.23
316;Manufacture of iron and steel ;2002;6100;0.8;0.3;3.7;0.02;55.5;6.8;0.0;1.74;1.12
317;Manufacture of iron and steel ;2003;6500;0.8;0.3;3.7;0.03;59.1;7.1;0.0;1.79;1.16
318;Manufacture of iron and steel ;2004;6500;0.5;0.3;4.0;0.03;61.3;7.1;0.0;1.81;1.18
319;Manufacture of iron and steel ;2005;6500;0.5;0.3;3.4;0.03;61.7;6.9;0.0;1.68;1.09
320;Manufacture of iron and steel ;2006;6400;0.5;0.3;3.3;0.02;74.9;6.3;0.0;1.69;1.1
321;Manufacture of iron and steel ;2007;6600;0.5;0.3;3.6;0.03;67.0;6.2;0.0;1.79;1.16
322;Manufacture of iron and steel ;2008;6600;0.4;0.3;3.1;0.03;67.5;6.0;0.0;1.55;1.01
323;Manufacture of iron and steel ;2009;5700;0.4;0.3;2.3;0.02;60.2;4.2;0.0;1.44;0.94
324;Manufacture of iron and steel ;2010;6400;0.6;0.3;3.8;0.02;78.3;5.8;0.0;1.53;1.0
325;Manufacture of iron and steel ;2011;6400;0.7;0.3;2.9;0.03;61.2;5.5;0.0;1.45;1.1
326;Manufacture of iron and steel ;2012;6100;0.6;0.3;3.0;0.03;59.1;6.0;0.0;1.39;0.76
327;Manufacture of iron and steel ;2013;6300;0.5;0.3;2.9;0.03;58.5;5.5;0.0;1.29;0.84
328;Manufacture of iron and steel ;2014;6100;0.4;0.3;3.3;0.03;58.5;5.3;0.0;1.26;0.82
329;Manufacture of iron and steel ;2015;6400;0.5;0.3;3.0;0.03;61.1;5.9;0.0;1.21;0.77
330;Manufacture of iron and steel ;2016;6400;0.5;0.3;2.8;0.03;60.4;5.7;0.0;1.23;0.8
331;Manufacture of iron and steel ;2017;7000;0.5;0.3;3.2;0.03;51.0;5.7;0.0;1.15;0.74
332;Manufacture of iron and steel ;2018;6700;0.5;0.3;3.1;0.03;52.8;5.7;0.0;1.12;0.73
333;Manufacture of iron and steel ;2019;6400;0.5;0.3;3.2;0.03;50.4;6.1;0.0;1.19;0.77
334;Manufacture of iron and steel ;2020;5800;0.4;0.3;3.0;0.02;46.2;5.2;0.0;1.09;0.63
335;Manufacture of iron and steel ;2021;6100;0.4;0.3;2.8;0.03;43.6;5.4;0.0;1.09;0.62
336;Manufacture of non-ferrous metals ;1990;600;2.9;0.0;5.0;0.0;43.8;0.4;0.1;1.17;0.94
337;Manufacture of non-ferrous metals ;1995;600;2.4;0.0;3.0;0.0;35.1;1.2;0.0;0.77;0.64
338;Manufacture of non-ferrous metals ;2000;700;1.3;0.0;3.6;0.0;43.2;0.5;0.0;0.79;0.67
339;Manufacture of non-ferrous metals ;2001;700;1.1;0.0;3.0;0.0;46.6;0.5;0.0;0.7;0.59
340;Manufacture of non-ferrous metals ;2002;600;1.1;0.0;2.8;0.0;39.8;0.5;0.0;0.72;0.56
341;Manufacture of non-ferrous metals ;2003;600;0.9;0.0;2.8;0.0;47.0;0.4;0.0;0.67;0.46
342;Manufacture of non-ferrous metals ;2004;700;0.6;0.0;3.3;0.0;63.8;0.8;0.0;0.66;0.54
343;Manufacture of non-ferrous metals ;2005;700;0.9;0.0;4.4;0.0;53.6;0.6;0.0;0.45;0.37
344;Manufacture of non-ferrous metals ;2006;600;1.0;0.0;3.7;0.0;50.2;0.7;0.0;0.42;0.34
345;Manufacture of non-ferrous metals ;2007;700;1.2;0.0;3.7;0.0;50.4;0.8;0.0;0.44;0.36
346;Manufacture of non-ferrous metals ;2008;700;1.2;0.0;4.0;0.0;54.5;0.7;0.0;0.41;0.34
347;Manufacture of non-ferrous metals ;2009;400;1.0;0.0;1.7;0.0;13.5;0.6;0.0;0.23;0.2
348;Manufacture of non-ferrous metals ;2010;500;0.9;0.0;2.3;0.0;17.0;0.8;0.0;0.31;0.26
349;Manufacture of non-ferrous metals ;2011;600;1.0;0.0;3.5;0.0;19.2;0.8;0.0;0.32;0.25
350;Manufacture of non-ferrous metals ;2012;300;1.0;0.0;1.4;0.0;16.6;0.4;0.0;0.09;0.07
351;Manufacture of non-ferrous metals ;2013;300;0.9;0.0;0.5;0.0;8.8;0.5;0.0;0.02;0.01
352;Manufacture of non-ferrous metals ;2014;100;0.9;0.0;0.4;0.0;9.1;0.5;0.0;0.02;0.01
353;Manufacture of non-ferrous metals ;2015;200;1.0;0.0;0.7;0.0;10.1;0.5;0.0;0.15;0.08
354;Manufacture of non-ferrous metals ;2016;200;1.1;0.0;0.8;0.0;8.2;0.6;0.0;0.15;0.09
355;Manufacture of non-ferrous metals ;2017;200;1.2;0.0;0.7;0.0;11.5;0.5;0.0;0.17;0.11
356;Manufacture of non-ferrous metals ;2018;200;1.2;0.0;0.8;0.0;13.9;0.4;0.0;0.16;0.1
357;Manufacture of non-ferrous metals ;2019;300;1.2;0.0;1.3;0.0;16.6;0.4;0.0;0.19;0.13
358;Manufacture of non-ferrous metals ;2020;200;1.0;0.0;1.2;0.0;14.4;0.3;0.0;0.12;0.08
359;Manufacture of non-ferrous metals ;2021;200;0.8;0.0;0.9;0.0;12.2;0.2;0.0;0.13;0.08
360;25-28 Man metal products, machinery ;1990;1000;45.1;0.1;3.4;0.0;4.3;3.7;0.3;2.12;0.78
361;25-28 Man metal products, machinery ;1995;1000;28.5;0.1;0.4;0.0;0.5;1.2;0.0;0.74;0.25
362;25-28 Man metal products, machinery ;2000;1000;12.4;0.1;0.0;0.0;0.5;0.7;0.0;0.66;0.23
363;25-28 Man metal products, machinery ;2001;1000;12.1;0.1;0.3;0.0;2.6;0.8;0.0;0.66;0.23
364;25-28 Man metal products, machinery ;2002;1000;10.5;0.1;0.0;0.0;0.7;0.9;0.0;0.58;0.21
365;25-28 Man metal products, machinery ;2003;900;8.6;0.1;0.0;0.0;0.6;0.5;0.0;0.56;0.2
366;25-28 Man metal products, machinery ;2004;900;8.2;0.1;0.4;0.0;2.5;0.6;0.0;0.59;0.2
367;25-28 Man metal products, machinery ;2005;900;8.2;0.1;0.3;0.0;3.2;0.6;0.0;0.54;0.19
368;25-28 Man metal products, machinery ;2006;800;7.5;0.1;0.3;0.0;2.5;0.6;0.0;0.53;0.18
369;25-28 Man metal products, machinery ;2007;800;8.0;0.1;0.3;0.0;2.1;0.6;0.0;0.53;0.18
370;25-28 Man metal products, machinery ;2008;800;7.2;0.1;0.5;0.0;2.6;0.6;0.0;0.58;0.19
371;25-28 Man metal products, machinery ;2009;800;6.5;0.1;0.4;0.0;2.5;0.7;0.0;0.51;0.23
372;25-28 Man metal products, machinery ;2010;900;11.1;0.1;0.5;0.0;2.6;0.8;0.0;0.57;0.15
373;25-28 Man metal products, machinery ;2011;700;9.6;0.1;0.6;0.0;2.4;1.1;0.0;0.55;0.24
374;25-28 Man metal products, machinery ;2012;700;9.3;0.1;0.5;0.0;0.4;1.0;0.0;0.51;0.16
375;25-28 Man metal products, machinery ;2013;700;8.3;0.1;0.8;0.0;0.3;0.9;0.0;0.51;0.16
376;25-28 Man metal products, machinery ;2014;600;7.8;0.1;0.8;0.0;0.4;0.7;0.0;0.51;0.17
377;25-28 Man metal products, machinery ;2015;600;7.8;0.1;0.8;0.0;0.3;0.8;0.0;0.53;0.18
378;25-28 Man metal products, machinery ;2016;600;6.1;0.1;0.8;0.0;0.3;0.8;0.0;0.54;0.18
379;25-28 Man metal products, machinery ;2017;700;7.3;0.1;0.8;0.0;0.3;0.8;0.0;0.55;0.19
380;25-28 Man metal products, machinery ;2018;600;7.4;0.1;0.8;0.0;0.3;0.7;0.0;0.51;0.18
381;25-28 Man metal products, machinery ;2019;600;7.4;0.1;0.7;0.0;0.3;0.8;0.0;0.49;0.17
382;25-28 Man metal products, machinery ;2020;500;7.5;0.1;0.5;0.0;0.3;0.6;0.0;0.46;0.16
383;25-28 Man metal products, machinery ;2021;600;7.5;0.1;0.4;0.0;0.3;0.5;0.0;0.5;0.18
384;29-30 Transport equipment;1990;200;7.6;0.0;0.0;0.05;0.9;0.5;0.0;0.59;0.27
385;29-30 Transport equipment;1995;200;4.9;0.0;0.0;0.04;0.7;0.4;0.0;0.01;0.0
386;29-30 Transport equipment;2000;200;5.3;0.0;0.0;0.06;0.2;0.2;0.0;0.0;0.0
387;29-30 Transport equipment;2001;200;3.6;0.0;0.0;0.05;0.2;0.2;0.0;0.0;0.0
388;29-30 Transport equipment;2002;200;4.5;0.0;0.0;0.03;0.2;0.2;0.0;0.0;0.0
389;29-30 Transport equipment;2003;200;5.1;0.0;0.0;0.04;0.2;0.1;0.0;0.0;0.0
390;29-30 Transport equipment;2004;200;4.8;0.0;0.0;0.04;0.2;0.1;0.0;0.0;0.0
391;29-30 Transport equipment;2005;100;4.5;0.0;0.0;0.04;0.2;0.1;0.0;0.0;0.0
392;29-30 Transport equipment;2006;100;4.0;0.0;0.0;0.04;0.1;0.1;0.0;0.01;0.0
393;29-30 Transport equipment;2007;100;4.2;0.0;0.0;0.04;0.1;0.1;0.0;0.02;0.01
394;29-30 Transport equipment;2008;100;5.1;0.0;0.0;0.05;0.1;0.1;0.0;0.0;0.0
395;29-30 Transport equipment;2009;100;3.6;0.0;0.0;0.05;0.1;0.1;0.0;0.01;0.01
396;29-30 Transport equipment;2010;200;5.7;0.0;0.0;0.04;0.1;0.1;0.0;0.0;0.0
397;29-30 Transport equipment;2011;100;5.8;0.0;0.0;0.04;0.1;0.1;0.0;0.0;0.0
398;29-30 Transport equipment;2012;100;4.6;0.0;0.0;0.04;0.1;0.1;0.0;0.0;0.0
399;29-30 Transport equipment;2013;100;4.2;0.0;0.0;0.04;0.1;0.1;0.0;0.0;0.0
400;29-30 Transport equipment;2014;100;5.4;0.0;0.0;0.04;0.1;0.1;0.0;0.0;0.0
401;29-30 Transport equipment;2015;100;5.0;0.0;0.0;0.04;0.1;0.1;0.0;0.0;0.0
402;29-30 Transport equipment;2016;100;3.7;0.0;0.0;0.04;0.1;0.1;0.0;0.0;0.0
403;29-30 Transport equipment;2017;100;3.9;0.0;0.0;0.04;0.2;0.1;0.0;0.0;0.0
404;29-30 Transport equipment;2018;100;3.9;0.0;0.0;0.04;0.2;0.1;0.0;0.0;0.0
405;29-30 Transport equipment;2019;100;4.2;0.0;0.0;0.04;0.1;0.1;0.0;0.0;0.0
406;29-30 Transport equipment;2020;100;4.1;0.0;0.0;0.04;0.1;0.1;0.0;0.0;0.0
407;29-30 Transport equipment;2021;100;4.0;0.0;0.0;0.04;0.1;0.1;0.0;0.0;0.0
408;22,31-33 Man furniture other products;1990;400;8.1;0.0;0.0;0.0;0.1;0.1;0.0;0.11;0.05
409;22,31-33 Man furniture other products;1995;500;4.8;0.1;0.1;0.0;0.4;0.5;0.0;0.08;0.03
410;22,31-33 Man furniture other products;2000;500;2.4;0.1;0.0;0.0;0.2;0.3;0.0;0.07;0.02
411;22,31-33 Man furniture other products;2001;500;2.0;0.1;0.0;0.0;0.2;0.3;0.0;0.07;0.02
412;22,31-33 Man furniture other products;2002;500;1.9;0.1;0.0;0.01;0.2;0.2;0.0;0.06;0.02
413;22,31-33 Man furniture other products;2003;500;2.1;0.1;0.0;0.01;0.2;0.2;0.0;0.06;0.02
414;22,31-33 Man furniture other products;2004;600;2.4;0.1;0.0;0.01;0.3;0.3;0.0;0.06;0.03
415;22,31-33 Man furniture other products;2005;700;2.8;0.1;0.0;0.01;0.3;0.3;0.0;0.06;0.02
416;22,31-33 Man furniture other products;2006;800;2.8;0.1;0.0;0.01;0.3;0.7;0.0;0.05;0.02
417;22,31-33 Man furniture other products;2007;800;2.9;0.1;0.0;0.02;0.2;0.2;0.0;0.05;0.02
418;22,31-33 Man furniture other products;2008;1500;2.5;0.3;0.0;0.04;0.2;0.2;0.0;0.05;0.02
419;22,31-33 Man furniture other products;2009;1500;2.2;0.4;0.0;0.05;0.2;0.2;0.0;0.04;0.02
420;22,31-33 Man furniture other products;2010;1400;2.3;0.3;0.0;0.04;0.2;0.2;0.0;0.04;0.02
421;22,31-33 Man furniture other products;2011;1400;2.1;0.3;0.0;0.04;0.2;0.2;0.0;0.04;0.02
422;22,31-33 Man furniture other products;2012;1500;2.1;0.3;0.0;0.04;0.2;0.2;0.0;0.03;0.02
423;22,31-33 Man furniture other products;2013;1400;3.9;0.3;0.0;0.04;0.2;0.2;0.0;0.04;0.02
424;22,31-33 Man furniture other products;2014;1400;1.7;0.3;0.0;0.04;0.2;0.2;0.0;0.03;0.02
425;22,31-33 Man furniture other products;2015;1700;1.7;0.4;0.0;0.05;0.2;0.2;0.0;0.04;0.02
426;22,31-33 Man furniture other products;2016;1800;1.8;0.4;0.0;0.05;0.2;0.2;0.0;0.04;0.02
427;22,31-33 Man furniture other products;2017;1900;1.9;0.4;0.0;0.06;0.2;0.2;0.0;0.04;0.02
428;22,31-33 Man furniture other products;2018;2100;1.9;0.5;0.0;0.06;0.2;0.2;0.0;0.04;0.02
429;22,31-33 Man furniture other products;2019;2000;1.9;0.5;0.0;0.06;0.2;0.2;0.0;0.04;0.02
430;22,31-33 Man furniture other products;2020;2000;1.9;0.5;0.0;0.06;0.2;0.2;0.0;0.04;0.01
431;22,31-33 Man furniture other products;2021;2200;2.0;0.5;0.0;0.07;0.2;0.2;0.0;0.04;0.02
432;F Construction;1990;500;21.9;0.0;0.6;0.0;0.1;0.5;0.2;1.01;0.35
433;F Construction;1995;700;17.2;0.0;0.5;0.0;0.2;0.5;0.1;1.08;0.38
434;F Construction;2000;700;15.0;0.1;0.7;0.0;0.6;1.2;0.0;1.4;0.54
435;F Construction;2001;800;12.3;0.1;0.4;0.0;0.6;1.1;0.0;1.44;0.56
436;F Construction;2002;800;12.0;0.1;0.6;0.0;0.3;0.9;0.0;1.36;0.52
437;F Construction;2003;900;9.4;0.1;0.1;0.0;0.4;0.9;0.0;1.41;0.61
438;F Construction;2004;800;7.4;0.1;0.2;0.0;0.9;0.8;0.0;1.17;0.42
439;F Construction;2005;800;9.1;0.1;0.1;0.0;0.9;0.9;0.0;1.19;0.42
440;F Construction;2006;800;8.7;0.1;0.2;0.0;0.8;0.8;0.0;1.24;0.44
441;F Construction;2007;800;8.9;0.1;0.1;0.0;1.4;0.9;0.0;1.35;0.49
442;F Construction;2008;800;5.8;0.1;0.1;0.0;1.0;0.8;0.0;1.4;0.5
443;F Construction;2009;700;7.7;0.1;0.1;0.0;0.2;0.5;0.0;1.29;0.45
444;F Construction;2010;800;8.0;0.1;0.1;0.0;0.7;0.7;0.0;1.15;0.41
445;F Construction;2011;800;7.0;0.1;0.1;0.0;0.7;0.7;0.0;1.12;0.4
446;F Construction;2012;800;6.4;0.1;0.1;0.0;0.6;0.7;0.0;1.05;0.37
447;F Construction;2013;800;5.9;0.1;0.1;0.0;0.4;0.6;0.0;1.06;0.37
448;F Construction;2014;700;6.8;0.1;0.1;0.0;0.4;0.6;0.0;1.08;0.38
449;F Construction;2015;600;5.9;0.1;0.1;0.0;0.6;0.6;0.0;1.14;0.4
450;F Construction;2016;600;4.8;0.1;0.1;0.0;0.6;0.5;0.0;1.13;0.4
451;F Construction;2017;700;4.8;0.1;0.1;0.0;0.6;0.5;0.0;1.13;0.4
452;F Construction;2018;700;4.7;0.1;0.0;0.0;0.8;0.4;0.0;1.16;0.41
453;F Construction;2019;600;4.6;0.1;0.0;0.0;0.7;0.5;0.0;1.22;0.44
454;F Construction;2020;500;4.8;0.1;0.0;0.0;0.5;0.3;0.0;1.22;0.43
455;F Construction;2021;500;5.2;0.1;0.0;0.0;0.7;0.4;0.0;1.28;0.45
456;Households in autonomous homes;1990;22300;48.8;27.7;1.2;0.36;82.3;21.4;10.2;9.41;8.69
457;Households in autonomous homes;1995;25100;50.4;29.0;0.8;0.55;91.9;24.2;7.4;10.25;9.32
458;Households in autonomous homes;2000;22200;46.9;25.7;0.5;0.46;82.7;20.5;6.4;9.68;8.58
459;Households in autonomous homes;2001;23600;47.2;26.5;0.5;0.53;86.8;21.7;7.6;9.53;8.58
460;Households in autonomous homes;2002;22800;46.1;25.6;0.5;0.48;82.6;20.9;7.4;9.43;8.39
461;Households in autonomous homes;2003;23400;46.3;26.0;0.5;0.49;86.8;20.8;7.3;9.97;8.77
462;Households in autonomous homes;2004;22500;45.5;25.2;0.5;0.52;88.6;19.4;7.2;9.97;8.77
463;Households in autonomous homes;2005;21700;45.7;24.6;0.4;0.55;88.1;17.9;7.6;9.82;8.63
464;Households in autonomous homes;2006;21900;46.3;24.4;0.4;0.55;89.0;15.0;7.3;9.93;8.68
465;Households in autonomous homes;2007;19700;47.3;22.4;0.4;0.5;84.4;13.0;7.0;9.36;8.26
466;Households in autonomous homes;2008;22200;46.6;24.3;0.5;0.52;90.8;14.0;6.5;9.53;8.48
467;Households in autonomous homes;2009;22100;46.9;24.2;0.5;0.58;91.8;13.7;6.6;9.59;8.46
468;Households in autonomous homes;2010;25800;48.4;27.0;0.5;0.58;106.8;15.2;7.1;10.46;9.27
469;Households in autonomous homes;2011;20200;45.1;22.6;0.5;0.56;86.2;11.5;7.3;9.09;7.96
470;Households in autonomous homes;2012;21600;47.0;23.7;0.5;0.57;91.4;11.7;7.7;9.56;8.32
471;Households in autonomous homes;2013;22900;47.4;24.7;0.5;0.61;95.3;11.8;8.1;9.85;8.49
472;Households in autonomous homes;2014;17300;45.3;20.3;0.4;0.57;75.7;8.8;7.6;8.71;7.35
473;Households in autonomous homes;2015;18500;45.6;21.1;0.4;0.59;81.7;8.9;7.5;8.91;7.58
474;Households in autonomous homes;2016;19200;45.6;22.9;0.4;0.6;81.4;8.7;7.8;8.81;7.48
475;Households in autonomous homes;2017;18600;45.1;22.1;0.4;0.55;76.5;7.7;7.5;8.58;7.2
476;Households in autonomous homes;2018;18500;45.3;21.8;0.5;0.6;74.4;7.5;7.6;8.86;7.26
477;Households in autonomous homes;2019;17900;45.6;21.1;0.4;0.58;71.0;7.1;7.6;8.42;6.89
478;Households in autonomous homes;2020;17100;83.6;20.3;0.4;0.56;65.9;6.7;7.5;7.71;6.37
479;Households in autonomous homes;2021;19500;93.9;21.9;0.4;0.53;71.2;7.5;7.4;6.25;5.71
480;A,E,G-U Other sources (stationary);1990;21000;153.2;1145.9;5.4;35.43;8.5;76.3;328.7;7.45;1.8
481;A,E,G-U Other sources (stationary);1995;22600;102.7;1057.3;1.0;35.21;7.6;73.5;204.4;6.21;0.92
482;A,E,G-U Other sources (stationary);2000;23100;93.8;882.3;0.4;28.84;7.3;64.0;159.9;6.52;0.87
483;A,E,G-U Other sources (stationary);2001;23200;91.6;856.1;0.4;27.64;7.3;60.5;152.2;6.59;0.88
484;A,E,G-U Other sources (stationary);2002;22500;89.1;811.5;0.3;25.54;6.7;56.6;145.1;6.31;0.83
485;A,E,G-U Other sources (stationary);2003;23200;96.2;780.8;0.4;24.96;7.6;56.3;141.8;5.57;0.76
486;A,E,G-U Other sources (stationary);2004;24300;89.0;767.2;0.3;24.26;7.4;55.7;140.9;6.02;0.81
487;A,E,G-U Other sources (stationary);2005;23700;92.7;706.4;0.4;23.9;7.3;55.1;138.8;6.39;0.85
488;A,E,G-U Other sources (stationary);2006;23200;94.0;693.7;0.4;24.38;7.9;56.4;142.6;6.39;0.87
489;A,E,G-U Other sources (stationary);2007;23200;98.3;695.1;0.4;23.38;8.7;56.6;139.4;6.71;0.87
