ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;BusinessTurnoverNet_6;OtherBusinessReturns_7;TotalBusinessCosts_8;PurchaseValueOfTurnover_9;PersonnelCosts_10;TotalOtherBusinessCosts_11;EnergyCosts_12;HousingCosts_13;EquipmentAndInventoryCosts_14;TransportCosts_15;SalesCosts_16;CommunicationCosts_17;ServicesProvidedByThirdParties_18;BusinessCostsNotElsewhereClassified_19;DepreciationFixedAssets_20;ProfitLoss_21;ProfitLossBeforeTax_22
132;DN Manufacture of furniture;2006;36.1;32.8;31.3;28.5;6220.0;6148.0;73.0;5808.0;3500.0;1284.0;835.0;81.0;173.0;94.0;90.0;127.0;23.0;65.0;181.0;190.0;412.0;364.0
133;DN Manufacture of furniture;2007;38.0;33.9;32.6;29.4;6638.0;6558.0;81.0;6133.0;3678.0;1347.0;940.0;83.0;175.0;99.0;97.0;130.0;25.0;110.0;220.0;168.0;505.0;464.0
134;DN Manufacture of furniture;2008;37.9;33.7;32.5;29.0;6903.0;6829.0;74.0;6433.0;3890.0;1400.0;946.0;89.0;190.0;106.0;106.0;122.0;25.0;101.0;207.0;198.0;470.0;416.0
135;36 Manufacture of furniture;2006;32.4;29.4;28.1;25.5;4688.0;4637.0;51.0;4378.0;2497.0;1124.0;628.0;51.0;143.0;45.0;56.0;120.0;20.0;48.0;145.0;129.0;309.0;271.0
136;36 Manufacture of furniture;2007;34.0;30.3;29.2;26.3;5112.0;5048.0;64.0;4731.0;2734.0;1172.0;707.0;52.0;147.0;50.0;63.0;125.0;21.0;70.0;177.0;118.0;380.0;335.0
137;36 Manufacture of furniture;2008;33.6;30.0;29.1;25.9;5166.0;5104.0;62.0;4763.0;2736.0;1211.0;692.0;54.0;152.0;50.0;65.0;113.0;22.0;85.0;151.0;124.0;403.0;356.0
138;36631 Social job creation;2006;94.6;84.8;108.5;96.8;3714.0;1286.0;2428.0;3698.0;348.0;2974.0;289.0;33.0;53.0;37.0;28.0;12.0;12.0;29.0;86.0;87.0;17.0;-2.0
139;36631 Social job creation;2007;96.9;84.0;108.7;96.1;3813.0;1337.0;2476.0;3734.0;341.0;3005.0;309.0;32.0;62.0;33.0;35.0;12.0;12.0;40.0;83.0;79.0;79.0;50.0
140;36631 Social job creation;2008;97.6;83.7;110.8;97.7;3891.0;1329.0;2562.0;3803.0;304.0;3111.0;308.0;33.0;64.0;34.0;39.0;13.0;13.0;38.0;76.0;79.0;88.0;56.0
141;37 Preparation for recycling;2006;;;;;;;;;;;;;;;;;;;;;;
142;37 Preparation for recycling;2007;4.0;3.6;3.4;3.1;1526.0;1510.0;17.0;1401.0;944.0;175.0;233.0;30.0;28.0;49.0;34.0;6.0;4.0;40.0;43.0;50.0;125.0;129.0
143;37 Preparation for recycling;2008;4.3;3.8;3.4;3.2;1737.0;1725.0;11.0;1670.0;1154.0;188.0;253.0;35.0;39.0;56.0;41.0;9.0;3.0;15.0;56.0;74.0;67.0;60.0
144;E Production of electricity, ..;2006;31.1;28.5;24.4;23.2;38133.0;36688.0;1445.0;34959.0;28147.0;1941.0;3464.0;70.0;184.0;285.0;50.0;152.0;64.0;585.0;2073.0;1406.0;3174.0;3045.0
145;E Production of electricity, ..;2007;29.2;27.2;23.2;21.9;39876.0;38044.0;1832.0;35561.0;28365.0;1894.0;3725.0;88.0;293.0;448.0;38.0;130.0;59.0;737.0;1930.0;1577.0;4315.0;4702.0
146;E Production of electricity, ..;2008;31.5;29.3;25.4;24.0;42129.0;40244.0;1885.0;38952.0;31182.0;2214.0;3453.0;97.0;306.0;603.0;50.0;253.0;55.0;763.0;1328.0;2103.0;3177.0;3324.0
147;40 Production of electricity,natural gas;2006;24.6;22.9;18.8;18.3;36420.0;35106.0;1314.0;33630.0;27971.0;1592.0;2936.0;15.0;132.0;261.0;28.0;140.0;43.0;502.0;1815.0;1130.0;2791.0;2756.0
148;40 Production of electricity,natural gas;2007;23.2;21.9;18.1;17.2;38260.0;36563.0;1697.0;34210.0;28240.0;1549.0;3128.0;25.0;195.0;404.0;22.0;116.0;42.0;640.0;1682.0;1294.0;4050.0;4581.0
149;40 Production of electricity,natural gas;2008;25.2;23.6;20.2;19.0;40487.0;38730.0;1757.0;37578.0;31048.0;1844.0;2879.0;35.0;263.0;556.0;33.0;238.0;39.0;665.0;1050.0;1807.0;2909.0;3181.0
150;41 Collection and distribution of water;2006;6.5;5.6;5.6;4.9;1713.0;1581.0;131.0;1329.0;176.0;349.0;528.0;55.0;53.0;23.0;22.0;12.0;22.0;84.0;258.0;276.0;384.0;289.0
151;41 Collection and distribution of water;2007;6.0;5.3;5.1;4.7;1616.0;1481.0;135.0;1351.0;126.0;346.0;597.0;63.0;98.0;43.0;16.0;14.0;17.0;97.0;249.0;283.0;265.0;121.0
152;41 Collection and distribution of water;2008;6.2;5.7;5.2;5.0;1642.0;1514.0;128.0;1374.0;133.0;371.0;575.0;62.0;43.0;47.0;16.0;15.0;16.0;98.0;277.0;296.0;268.0;142.0
153;45 Building and construction;2006;475.4;434.9;390.1;365.1;77631.0;75518.0;2113.0;72466.0;44290.0;19560.0;7124.0;253.0;913.0;872.0;1577.0;464.0;264.0;670.0;2111.0;1492.0;5165.0;5223.0
154;45 Building and construction;2007;489.8;446.2;398.1;372.6;85770.0;83378.0;2392.0;79236.0;49793.0;20325.0;7688.0;252.0;960.0;981.0;1620.0;482.0;283.0;748.0;2363.0;1429.0;6534.0;6646.0
155;45 Building and construction;2008;499.1;456.7;398.5;370.9;92804.0;91019.0;1784.0;86217.0;54495.0;21720.0;8390.0;278.0;1051.0;1014.0;1831.0;508.0;284.0;799.0;2624.0;1612.0;6586.0;6746.0
156;451 Site preparation;2006;16.7;14.6;12.1;11.1;2049.0;1998.0;50.0;1831.0;823.0;510.0;391.0;22.0;30.0;92.0;95.0;12.0;9.0;30.0;100.0;108.0;217.0;206.0
157;451 Site preparation;2007;17.7;15.7;13.0;12.1;2335.0;2276.0;59.0;2069.0;972.0;541.0;441.0;24.0;32.0;115.0;95.0;16.0;11.0;29.0;119.0;115.0;266.0;257.0
158;451 Site preparation;2008;20.0;17.7;14.4;13.2;2900.0;2833.0;67.0;2648.0;1267.0;662.0;582.0;37.0;43.0;163.0;154.0;18.0;12.0;43.0;112.0;137.0;253.0;244.0
159;452 Building of complete constructions;2006;245.7;226.9;205.7;193.5;50106.0;48724.0;1381.0;47249.0;31468.0;11030.0;3924.0;137.0;488.0;577.0;790.0;224.0;124.0;389.0;1195.0;827.0;2856.0;2967.0
160;452 Building of complete constructions;2007;245.8;227.1;204.9;193.7;54582.0;52680.0;1902.0;51089.0;34942.0;11180.0;4196.0;132.0;480.0;580.0;806.0;225.0;132.0;420.0;1422.0;771.0;3493.0;3652.0
161;452 Building of complete constructions;2008;247.6;230.6;202.6;191.5;58864.0;57610.0;1255.0;55372.0;38091.0;11807.0;4580.0;142.0;531.0;599.0;863.0;228.0;130.0;448.0;1639.0;893.0;3493.0;3711.0
162;4521 General building of complete con..;2006;150.0;139.9;130.5;123.3;35299.0;34742.0;558.0;33612.0;23715.0;7163.0;2355.0;54.0;329.0;282.0;434.0;151.0;77.0;256.0;771.0;380.0;1687.0;1762.0
163;4521 General building of complete con..;2007;153.5;142.4;135.1;127.3;38935.0;37949.0;986.0;36884.0;26769.0;7373.0;2404.0;55.0;327.0;230.0;446.0;155.0;81.0;275.0;835.0;338.0;2052.0;2073.0
164;4521 General building of complete con..;2008;153.4;143.4;132.7;125.4;42031.0;41676.0;355.0;40009.0;29155.0;7793.0;2674.0;60.0;368.0;273.0;477.0;152.0;79.0;295.0;969.0;387.0;2022.0;1969.0
165;45211 General construction of buildings;2006;128.4;119.9;112.2;105.9;31547.0;31179.0;368.0;30029.0;21698.0;6122.0;1878.0;47.0;294.0;175.0;338.0;139.0;65.0;216.0;604.0;331.0;1517.0;1597.0
166;45211 General construction of buildings;2007;132.0;122.4;116.8;109.8;35026.0;34237.0;789.0;33174.0;24693.0;6279.0;1912.0;48.0;291.0;156.0;342.0;133.0;68.0;238.0;635.0;290.0;1853.0;1875.0
167;45211 General construction of buildings;2008;130.4;121.5;113.3;106.9;37505.0;37252.0;253.0;35666.0;26565.0;6626.0;2142.0;51.0;326.0;164.0;377.0;138.0;69.0;250.0;768.0;333.0;1839.0;1810.0
168;4521c Engineering works, cables/pipes;2006;21.6;20.0;18.3;17.4;3753.0;3563.0;190.0;3583.0;2018.0;1041.0;476.0;7.0;35.0;107.0;96.0;12.0;12.0;40.0;167.0;48.0;170.0;165.0
169;4521c Engineering works, cables/pipes;2007;21.5;20.0;18.3;17.5;3909.0;3712.0;197.0;3710.0;2076.0;1094.0;492.0;7.0;36.0;74.0;103.0;21.0;12.0;38.0;200.0;48.0;199.0;198.0
170;4521c Engineering works, cables/pipes;2008;23.0;21.9;19.4;18.6;4526.0;4424.0;102.0;4343.0;2590.0;1167.0;532.0;9.0;43.0;109.0;100.0;14.0;11.0;45.0;202.0;54.0;183.0;159.0
171;4522 Erection of roof covering and ..;2006;12.0;10.6;9.0;8.1;1222.0;1198.0;24.0;1104.0;579.0;360.0;143.0;3.0;19.0;6.0;37.0;13.0;6.0;14.0;46.0;22.0;118.0;118.0
172;4522 Erection of roof covering and ..;2007;11.6;10.6;7.5;7.1;1308.0;1300.0;7.0;1145.0;617.0;355.0;149.0;3.0;14.0;13.0;35.0;12.0;6.0;15.0;52.0;25.0;162.0;168.0
173;4522 Erection of roof covering and ..;2008;11.9;10.8;7.8;7.2;1404.0;1393.0;11.0;1237.0;693.0;372.0;153.0;2.0;18.0;11.0;41.0;13.0;7.0;15.0;46.0;19.0;167.0;169.0
174;4511a Construction of buildings, ..;2006;158.7;147.0;133.1;125.2;34446.0;34022.0;424.0;32563.0;22882.0;7038.0;2242.0;57.0;330.0;215.0;429.0;163.0;80.0;251.0;718.0;401.0;1883.0;1961.0
175;4511a Construction of buildings, ..;2007;161.1;148.9;135.3;127.2;38170.0;37338.0;832.0;35841.0;26022.0;7142.0;2314.0;58.0;322.0;216.0;432.0;162.0;83.0;278.0;763.0;363.0;2329.0;2354.0
176;4511a Construction of buildings, ..;2008;161.5;150.0;131.9;124.2;40903.0;40594.0;309.0;38595.0;28001.0;7611.0;2575.0;61.0;364.0;227.0;487.0;164.0;85.0;291.0;896.0;409.0;2308.0;2277.0
177;4511b Civil engineering;2006;83.5;76.4;69.0;64.8;14777.0;13858.0;919.0;13867.0;8055.0;3667.0;1702.0;92.0;142.0;402.0;366.0;54.0;41.0;140.0;466.0;443.0;911.0;943.0
178;4511b Civil engineering;2007;81.4;74.8;66.8;63.8;15352.0;14256.0;1096.0;14310.0;8249.0;3704.0;1919.0;88.0;141.0;409.0;384.0;60.0;47.0;142.0;647.0;438.0;1042.0;1190.0
179;4511b Civil engineering;2008;85.5;79.5;69.2;65.6;17089.0;16148.0;941.0;16100.0;9496.0;3938.0;2151.0;108.0;156.0;463.0;424.0;61.0;44.0;167.0;727.0;515.0;989.0;1250.0
180;4525a Construction, no general ..;2006;233.2;211.5;188.0;175.2;28408.0;27638.0;770.0;26037.0;13353.0;8856.0;3180.0;105.0;442.0;255.0;781.0;247.0;144.0;280.0;926.0;649.0;2371.0;2318.0
181;4525a Construction, no general ..;2007;247.3;222.5;195.9;181.6;32248.0;31784.0;464.0;29085.0;15523.0;9479.0;3455.0;106.0;496.0;356.0;803.0;260.0;153.0;329.0;953.0;627.0;3163.0;3102.0
182;4525a Construction, no general ..;2008;252.1;227.3;197.4;181.1;34812.0;34277.0;535.0;31523.0;16999.0;10172.0;3664.0;109.0;531.0;324.0;920.0;283.0;156.0;341.0;1001.0;688.0;3289.0;3218.0
183;453 Building installation;2006;136.6;125.4;114.1;107.1;16199.0;15643.0;556.0;15236.0;8211.0;5138.0;1619.0;46.0;227.0;72.0;397.0;142.0;88.0;156.0;491.0;269.0;962.0;956.0
184;453 Building installation;2007;147.6;133.4;121.1;112.8;18504.0;18257.0;248.0;17156.0;9478.0;5635.0;1772.0;45.0;263.0;80.0;432.0;149.0;96.0;190.0;516.0;270.0;1348.0;1335.0
185;453 Building installation;2008;152.5;138.1;124.2;114.2;20337.0;20042.0;296.0;18955.0;10542.0;6174.0;1953.0;52.0;284.0;88.0;508.0;164.0;96.0;204.0;558.0;285.0;1383.0;1352.0
186;454 Building completion;2006;67.9;60.4;51.4;47.0;8042.0;7942.0;100.0;7051.0;3412.0;2559.0;896.0;28.0;144.0;55.0;196.0;77.0;37.0;78.0;281.0;184.0;991.0;959.0
187;454 Building completion;2007;69.5;61.4;51.5;46.9;8959.0;8854.0;105.0;7690.0;3995.0;2603.0;931.0;26.0;158.0;60.0;208.0;83.0;38.0;83.0;275.0;161.0;1269.0;1250.0
188;454 Building completion;2008;70.7;62.7;50.6;45.8;9448.0;9352.0;96.0;8135.0;4217.0;2762.0;981.0;29.0;168.0;59.0;223.0;90.0;42.0;87.0;283.0;174.0;1314.0;1296.0
189;455 Renting, construction eq. with ..;2006;8.5;7.7;6.8;6.4;1236.0;1211.0;25.0;1098.0;376.0;323.0;295.0;21.0;23.0;77.0;99.0;8.0;5.0;18.0;44.0;105.0;138.0;135.0
190;455 Renting, construction eq. with ..;2007;9.2;8.5;7.5;7.1;1390.0;1312.0;79.0;1233.0;407.0;367.0;347.0;24.0;26.0;146.0;79.0;9.0;6.0;26.0;30.0;112.0;158.0;151.0
191;455 Renting, construction eq. with ..;2008;8.3;7.6;6.7;6.2;1253.0;1183.0;70.0;1109.0;377.0;315.0;294.0;18.0;26.0;105.0;83.0;8.0;5.0;18.0;32.0;123.0;145.0;142.0
192;50 Sale and repair of motor vehicles;2006;157.1;132.6;129.7;109.6;68229.0;68021.0;208.0;66385.0;54353.0;4245.0;7227.0;216.0;873.0;130.0;345.0;874.0;133.0;384.0;4271.0;560.0;1844.0;1634.0
193;50 Sale and repair of motor vehicles;2007;163.9;141.3;134.2;114.5;71997.0;71740.0;257.0;69800.0;57339.0;4500.0;7428.0;225.0;957.0;136.0;353.0;938.0;141.0;444.0;4234.0;533.0;2197.0;1971.0
194;50 Sale and repair of motor vehicles;2008;165.5;140.7;134.7;113.0;71291.0;71074.0;216.0;69459.0;57077.0;4615.0;7226.0;235.0;1011.0;130.0;0.0;917.0;133.0;455.0;3945.0;541.0;1831.0;1564.0
195;501 Sale of motor vehicles;2006;99.0;85.1;81.2;70.5;49382.0;49224.0;158.0;48194.0;38975.0;2819.0;6038.0;133.0;573.0;86.0;238.0;699.0;91.0;253.0;3966.0;363.0;1188.0;1018.0
196;501 Sale of motor vehicles;2007;104.0;91.8;84.7;74.4;52394.0;52207.0;188.0;50975.0;41509.0;2978.0;6135.0;138.0;622.0;87.0;249.0;747.0;100.0;291.0;3901.0;354.0;1419.0;1223.0
197;501 Sale of motor vehicles;2008;103.2;89.3;83.4;71.5;50321.0;50173.0;148.0;49225.0;39984.0;3016.0;5855.0;146.0;631.0;84.0;0.0;734.0;91.0;281.0;3623.0;371.0;1095.0;888.0
198;5010135 Sale/repair commercial motor ..;2006;13.7;12.4;12.6;11.5;4734.0;4708.0;26.0;4531.0;3632.0;529.0;312.0;16.0;89.0;12.0;38.0;43.0;13.0;32.0;69.0;58.0;203.0;183.0
199;5010135 Sale/repair commercial motor ..;2007;13.8;12.8;11.9;11.1;5182.0;5152.0;30.0;4911.0;4000.0;530.0;329.0;17.0;88.0;16.0;37.0;42.0;13.0;36.0;81.0;53.0;271.0;237.0
200;5010135 Sale/repair commercial motor ..;2008;13.9;12.4;12.3;11.1;5459.0;5418.0;41.0;5291.0;4326.0;551.0;355.0;18.0;91.0;11.0;0.0;48.0;13.0;38.0;93.0;60.0;168.0;152.0
201;50102 Import of passenger cars;2006;3.1;2.8;2.8;2.6;13929.0;13852.0;77.0;13709.0;9526.0;205.0;3956.0;4.0;27.0;3.0;25.0;386.0;12.0;49.0;3451.0;22.0;220.0;220.0
202;50102 Import of passenger cars;2007;3.0;2.8;2.7;2.5;14187.0;14108.0;80.0;13948.0;9874.0;202.0;3845.0;4.0;28.0;4.0;25.0;415.0;12.0;57.0;3302.0;26.0;239.0;262.0
203;50102 Import of passenger cars;2008;3.0;2.8;2.7;2.5;13320.0;13266.0;55.0;13110.0;9368.0;205.0;3507.0;4.0;28.0;4.0;0.0;385.0;10.0;44.0;3000.0;30.0;211.0;224.0
204;50104 Sale and repair of passenger cars;2006;82.2;69.9;65.8;56.4;30718.0;30663.0;55.0;29954.0;25817.0;2084.0;1770.0;113.0;456.0;71.0;174.0;270.0;67.0;172.0;446.0;283.0;765.0;615.0
205;50104 Sale and repair of passenger cars;2007;87.2;76.3;70.1;60.8;33025.0;32948.0;78.0;32116.0;27635.0;2246.0;1961.0;118.0;505.0;67.0;187.0;291.0;76.0;198.0;518.0;275.0;909.0;724.0
206;50104 Sale and repair of passenger cars;2008;86.3;74.1;68.4;57.8;31542.0;31490.0;52.0;30825.0;26290.0;2260.0;1993.0;124.0;512.0;69.0;0.0;301.0;68.0;199.0;530.0;281.0;717.0;513.0
207;502 Maintenance,repair of motor vehicles;2006;22.6;20.1;18.3;16.1;2172.0;2159.0;13.0;1966.0;918.0;594.0;370.0;35.0;116.0;18.0;47.0;30.0;14.0;37.0;72.0;84.0;206.0;190.0
208;502 Maintenance,repair of motor vehicles;2007;24.5;21.8;19.9;17.4;2367.0;2353.0;14.0;2133.0;1011.0;651.0;397.0;37.0;128.0;23.0;46.0;36.0;14.0;39.0;76.0;73.0;235.0;226.0
209;502 Maintenance,repair of motor vehicles;2008;25.6;22.7;20.7;18.0;2531.0;2510.0;21.0;2285.0;1092.0;679.0;440.0;36.0;143.0;22.0;0.0;37.0;14.0;40.0;88.0;74.0;246.0;224.0
210;503 Sale of motor vehicle parts,access..;2006;16.1;13.8;13.7;11.7;6602.0;6580.0;22.0;6373.0;5450.0;461.0;411.0;15.0;84.0;13.0;45.0;74.0;18.0;56.0;108.0;50.0;229.0;220.0
211;503 Sale of motor vehicle parts,access..;2007;17.1;14.6;14.2;12.2;7245.0;7216.0;29.0;6937.0;5896.0;516.0;470.0;18.0;93.0;16.0;47.0;79.0;17.0;77.0;124.0;55.0;308.0;295.0
212;503 Sale of motor vehicle parts,access..;2008;18.0;15.4;15.3;13.1;7747.0;7722.0;24.0;7451.0;6382.0;553.0;465.0;20.0;101.0;13.0;0.0;71.0;17.0;92.0;95.0;52.0;295.0;277.0
213;5030a Wholesale, motor vehicle parts, ..;2006;13.3;11.5;11.5;9.9;6270.0;6249.0;21.0;6065.0;5234.0;411.0;376.0;13.0;70.0;12.0;41.0;67.0;16.0;53.0;104.0;44.0;205.0;198.0
214;5030a Wholesale, motor vehicle parts, ..;2007;13.8;12.0;11.8;10.3;6880.0;6852.0;28.0;6584.0;5658.0;455.0;425.0;14.0;77.0;13.0;44.0;72.0;15.0;72.0;118.0;47.0;296.0;287.0
215;5030a Wholesale, motor vehicle parts, ..;2008;15.2;13.2;13.2;11.6;7392.0;7369.0;24.0;7121.0;6146.0;510.0;419.0;16.0;85.0;11.0;0.0;64.0;15.0;88.0;87.0;46.0;272.0;256.0
216;50303 Retail sale, motor vehicle parts;2006;2.8;2.3;2.3;1.8;332.0;331.0;1.0;308.0;216.0;50.0;35.0;2.0;14.0;1.0;3.0;7.0;2.0;3.0;3.0;6.0;24.0;22.0
217;50303 Retail sale, motor vehicle parts;2007;3.2;2.5;2.4;1.9;365.0;364.0;1.0;353.0;238.0;61.0;45.0;4.0;17.0;3.0;2.0;7.0;2.0;5.0;5.0;9.0;12.0;9.0
218;50303 Retail sale, motor vehicle parts;2008;2.8;2.1;2.1;1.5;354.0;354.0;1.0;331.0;236.0;43.0;46.0;3.0;16.0;2.0;0.0;7.0;2.0;4.0;8.0;6.0;24.0;20.0
219;504 Sale/repair, motorcycles/related ..;2006;3.3;3.0;2.0;1.7;1364.0;1364.0;1.0;1291.0;1095.0;71.0;109.0;4.0;16.0;3.0;6.0;25.0;3.0;7.0;44.0;17.0;73.0;69.0
220;504 Sale/repair, motorcycles/related ..;2007;3.9;3.4;2.4;2.0;1586.0;1585.0;1.0;1516.0;1290.0;81.0;129.0;5.0;19.0;3.0;5.0;30.0;3.0;11.0;53.0;16.0;70.0;60.0
221;504 Sale/repair, motorcycles/related ..;2008;3.6;3.0;2.1;1.6;1503.0;1503.0;0.0;1464.0;1235.0;72.0;147.0;4.0;18.0;3.0;0.0;35.0;3.0;13.0;65.0;10.0;39.0;28.0
222;505 Retail sale of automotive fuel;2006;16.1;10.7;14.6;9.6;8709.0;8694.0;15.0;8561.0;7915.0;300.0;300.0;29.0;85.0;10.0;9.0;46.0;7.0;31.0;83.0;47.0;148.0;136.0
223;505 Retail sale of automotive fuel;2007;14.5;9.7;12.9;8.5;8404.0;8379.0;25.0;8239.0;7632.0;274.0;297.0;27.0;95.0;8.0;7.0;46.0;7.0;27.0;81.0;35.0;165.0;168.0
224;505 Retail sale of automotive fuel;2008;15.0;10.3;13.3;8.8;9189.0;9167.0;23.0;9034.0;8385.0;296.0;319.0;29.0;118.0;9.0;0.0;41.0;8.0;30.0;75.0;35.0;156.0;148.0
225;51 Wholesale trade and commission trade;2006;502.8;435.4;438.3;383.9;316439.0;314356.0;2083.0;302883.0;255350.0;20984.0;23576.0;607.0;2793.0;672.0;2079.0;5928.0;814.0;4180.0;6503.0;2973.0;13556.0;15040.0
226;51 Wholesale trade and commission trade;2007;539.6;468.8;466.9;409.4;358937.0;356239.0;2698.0;342424.0;290327.0;22818.0;26194.0;561.0;2989.0;685.0;2229.0;6146.0;752.0;4642.0;8189.0;3086.0;16513.0;19501.0
227;51 Wholesale trade and commission trade;2008;552.2;478.2;471.3;410.4;389918.0;387708.0;2210.0;373591.0;318531.0;23807.0;28194.0;604.0;3127.0;735.0;2324.0;6376.0;725.0;4749.0;9553.0;3060.0;16327.0;16876.0
228;511 Wholesale on a fee or contract basis;2006;;;;;;;;;;;;;;;;;;;;;;
229;511 Wholesale on a fee or contract basis;2007;;;;;;;;;;;;;;;;;;;;;;
230;511 Wholesale on a fee or contract basis;2008;;;;;;;;;;;;;;;;;;;;;;
231;512 Wholesale, agric. raw materials/..;2006;36.0;29.4;29.9;24.8;20632.0;20534.0;98.0;19970.0;17269.0;1213.0;1307.0;51.0;193.0;50.0;188.0;150.0;42.0;336.0;295.0;180.0;662.0;633.0
232;512 Wholesale, agric. raw materials/..;2007;39.9;32.8;32.6;27.0;28396.0;28290.0;106.0;27459.0;24578.0;1303.0;1405.0;57.0;211.0;49.0;201.0;177.0;50.0;311.0;349.0;172.0;937.0;1008.0
233;512 Wholesale, agric. raw materials/..;2008;38.6;32.4;31.0;26.0;36003.0;35879.0;124.0;34988.0;32016.0;1330.0;1453.0;66.0;236.0;56.0;198.0;225.0;42.0;345.0;285.0;189.0;1014.0;924.0
234;5121 Wholesale of grain;2006;10.3;8.6;8.6;7.4;9026.0;8968.0;58.0;8777.0;7829.0;420.0;468.0;19.0;49.0;23.0;57.0;53.0;16.0;129.0;123.0;60.0;250.0;246.0
235;5121 Wholesale of grain;2007;12.0;10.3;9.7;8.4;15892.0;15844.0;48.0;15383.0;14348.0;455.0;519.0;24.0;57.0;23.0;69.0;79.0;22.0;100.0;146.0;61.0;509.0;624.0
236;5121 Wholesale of grain;2008;10.9;9.4;8.5;7.3;23387.0;23301.0;87.0;22651.0;21581.0;445.0;550.0;34.0;81.0;27.0;70.0;75.0;14.0;125.0;124.0;74.0;737.0;693.0
237;5122 Wholesale of flowers and plants;2006;22.8;18.2;19.0;15.5;8273.0;8253.0;20.0;7988.0;6528.0;685.0;681.0;28.0;122.0;22.0;93.0;73.0;21.0;181.0;140.0;95.0;284.0;240.0
238;5122 Wholesale of flowers and plants;2007;24.4;19.5;20.2;16.3;9168.0;9125.0;43.0;8832.0;7271.0;737.0;734.0;29.0;135.0;22.0;95.0;75.0;22.0;185.0;171.0;91.0;336.0;297.0
239;5122 Wholesale of flowers and plants;2008;24.4;20.1;20.0;16.5;9202.0;9178.0;24.0;9012.0;7411.0;765.0;740.0;28.0;136.0;25.0;91.0;124.0;22.0;191.0;124.0;96.0;191.0;157.0
240;5123a Wholesale of live animals, ..;2006;3.0;2.6;2.3;1.9;3333.0;3313.0;20.0;3205.0;2912.0;109.0;158.0;5.0;23.0;4.0;38.0;25.0;6.0;26.0;33.0;25.0;128.0;147.0
241;5123a Wholesale of live animals, ..;2007;3.5;3.0;2.7;2.3;3336.0;3321.0;14.0;3244.0;2959.0;112.0;153.0;4.0;19.0;5.0;38.0;24.0;6.0;26.0;32.0;21.0;92.0;87.0
242;5123a Wholesale of live animals, ..;2008;3.3;2.9;2.5;2.1;3413.0;3400.0;13.0;3326.0;3023.0;120.0;164.0;5.0;19.0;5.0;37.0;26.0;6.0;29.0;37.0;19.0;87.0;75.0
243;513 Wholesale of food;2006;81.8;67.6;67.1;56.6;55208.0;54812.0;395.0;53045.0;46280.0;2799.0;3321.0;131.0;431.0;127.0;317.0;759.0;74.0;696.0;785.0;645.0;2162.0;2092.0
244;513 Wholesale of food;2007;91.5;77.0;73.6;62.4;60958.0;60510.0;448.0;58485.0;50213.0;3279.0;4116.0;147.0;453.0;135.0;399.0;1098.0;88.0;732.0;1064.0;877.0;2473.0;2357.0
245;513 Wholesale of food;2008;97.4;80.2;76.9;63.3;66227.0;65847.0;380.0;63478.0;54798.0;3466.0;4490.0;156.0;480.0;152.0;447.0;1084.0;81.0;717.0;1373.0;723.0;2749.0;2775.0
246;5131 Wholesale, fruit, vegetables,..;2006;15.5;12.8;12.4;10.5;11422.0;11393.0;30.0;11090.0;9964.0;545.0;507.0;26.0;87.0;24.0;60.0;61.0;15.0;149.0;85.0;74.0;333.0;317.0
247;5131 Wholesale, fruit, vegetables,..;2007;16.4;13.9;13.1;11.1;12829.0;12793.0;36.0;12445.0;11159.0;639.0;575.0;31.0;97.0;25.0;65.0;66.0;16.0;157.0;117.0;71.0;384.0;389.0
248;5131 Wholesale, fruit, vegetables,..;2008;18.0;15.3;14.3;12.1;13755.0;13715.0;41.0;13426.0;12008.0;701.0;636.0;31.0;99.0;28.0;74.0;68.0;16.0;178.0;142.0;80.0;330.0;296.0
249;5132a Wholesale in rest of food, ..;2006;43.7;36.9;35.8;30.7;29810.0;29595.0;215.0;28358.0;24343.0;1494.0;2096.0;68.0;207.0;77.0;178.0;601.0;43.0;355.0;567.0;425.0;1452.0;1426.0
250;5132a Wholesale in rest of food, ..;2007;49.8;41.5;39.3;33.3;32776.0;32570.0;206.0;31141.0;25914.0;1766.0;2802.0;80.0;238.0;78.0;189.0;944.0;56.0;396.0;821.0;659.0;1635.0;1573.0
251;5132a Wholesale in rest of food, ..;2008;53.1;43.6;41.4;33.6;36920.0;36731.0;189.0;34829.0;29498.0;1866.0;2970.0;90.0;263.0;95.0;215.0;903.0;50.0;383.0;972.0;494.0;2092.0;2154.0
252;5139 Non-specialized wholesale of food;2006;22.5;17.8;18.9;15.4;13976.0;13825.0;151.0;13598.0;11973.0;760.0;719.0;38.0;137.0;25.0;79.0;97.0;17.0;193.0;133.0;146.0;378.0;349.0
253;5139 Non-specialized wholesale of food;2007;25.3;21.5;21.2;18.0;15353.0;15146.0;207.0;14899.0;13140.0;874.0;739.0;37.0;118.0;31.0;145.0;87.0;16.0;179.0;126.0;146.0;454.0;395.0
254;5139 Non-specialized wholesale of food;2008;26.3;21.2;21.2;17.7;15551.0;15401.0;150.0;15224.0;13292.0;900.0;883.0;35.0;118.0;29.0;158.0;113.0;15.0;156.0;259.0;149.0;327.0;324.0
