ID;SBI93;Perioden;TotaalGevaarlijkAfval_1;ZureEnAnorganischeStoffenInOpl_2;AlkalischeAnorganischeStoffenInOpl_3;HalogeenarmeOrganischeStoffen_4;HalogeenrijkeOrganischeStoffen_5;StoffenMetZwareMetalen_6;AfvalstoffenMetBuitengewoneRisicoS_7;Overig_8;BewarenOverslag_9;DirectToepassenOfHergebruik_10;MechanischFysischBehandelen_11;ChemischFysischBehandelen_12;MicrobiologischBehandelen_13;ThermischBehandelen_14;Storten_15;Anders_16
157;H Horeca;1995;0.2;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.0
158;H Horeca;1996;0.3;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.1;0.0;0.0;0.0;0.0
159;H Horeca;1997;0.2;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.0
160;I Vervoer, opslag en communicatie;1993;38.8;0.2;0.3;35.4;0.4;1.7;0.8;0.0;12.5;0.0;0.0;19.9;0.0;2.1;0.6;3.7
161;I Vervoer, opslag en communicatie;1994;43.8;0.0;0.1;37.3;0.7;3.5;0.3;1.9;19.1;0.0;0.5;15.0;2.9;5.6;0.8;0.0
162;I Vervoer, opslag en communicatie;1995;63.6;0.1;0.1;54.0;1.0;5.9;0.2;2.3;23.3;0.0;0.1;29.6;0.6;7.6;2.4;0.0
163;I Vervoer, opslag en communicatie;1996;73.2;0.1;1.9;65.4;0.8;2.8;0.2;2.0;31.9;0.0;1.0;26.3;9.5;3.1;1.5;0.0
164;I Vervoer, opslag en communicatie;1997;80.1;0.1;1.9;73.0;1.1;1.6;0.1;2.2;28.6;0.1;1.2;30.0;16.7;3.1;0.2;0.2
165;J Financiële instellingen;1993;0.6;0.0;0.1;0.3;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.0
166;J Financiële instellingen;1994;1.3;0.1;0.1;0.7;0.0;0.1;0.0;0.3;0.4;0.0;0.0;0.5;0.1;0.2;0.1;0.0
167;J Financiële instellingen;1995;1.1;0.1;0.1;0.5;0.0;0.1;0.0;0.3;0.3;0.0;0.0;0.4;0.0;0.2;0.2;0.0
168;J Financiële instellingen;1996;1.0;0.1;0.1;0.5;0.0;0.1;0.0;0.2;0.3;0.0;0.0;0.4;0.0;0.1;0.2;0.0
169;J Financiële instellingen;1997;2.0;0.1;0.1;0.7;0.0;0.1;0.0;1.1;0.3;0.0;0.0;0.4;0.0;0.1;1.1;0.0
170;K Verhuur en zakelijke dienstverlening;1993;31.8;1.6;1.6;28.0;0.1;0.4;0.1;0.0;4.9;0.0;0.0;9.0;0.0;5.4;0.1;12.4
171;K Verhuur en zakelijke dienstverlening;1994;17.9;1.6;1.2;13.2;0.1;0.3;0.4;1.1;3.9;0.1;0.0;9.5;1.8;2.3;0.3;0.0
172;K Verhuur en zakelijke dienstverlening;1995;22.3;1.5;1.1;12.1;0.0;0.3;0.3;6.9;4.0;0.1;0.0;8.5;1.8;2.0;5.9;0.0
173;K Verhuur en zakelijke dienstverlening;1996;14.8;1.8;1.3;9.9;0.1;0.4;0.2;1.1;4.7;0.0;0.0;6.9;1.2;1.2;0.8;0.0
174;K Verhuur en zakelijke dienstverlening;1997;34.8;1.8;1.6;28.3;0.1;0.7;0.4;2.0;5.2;0.0;0.3;8.9;15.6;1.9;2.4;0.5
175;"L Openbaar bestuur;sociale verzekeringen";1993;30.7;0.4;0.4;26.0;0.7;2.3;0.8;0.0;11.8;0.0;0.0;10.8;0.0;7.3;0.3;0.5
176;"L Openbaar bestuur;sociale verzekeringen";1994;31.3;0.6;0.3;11.6;0.3;16.6;0.8;1.0;9.0;0.0;0.0;5.4;0.3;0.9;15.7;0.0
177;"L Openbaar bestuur;sociale verzekeringen";1995;36.3;0.2;0.2;17.0;0.1;16.9;0.3;1.5;7.8;0.0;0.0;12.9;0.0;0.6;15.0;0.0
178;"L Openbaar bestuur;sociale verzekeringen";1996;33.0;0.2;0.6;13.4;0.2;16.1;1.0;1.6;5.5;0.7;0.1;8.5;0.2;1.5;16.6;0.0
179;"L Openbaar bestuur;sociale verzekeringen";1997;39.1;0.2;0.4;8.8;0.1;16.0;0.5;13.0;5.1;0.2;0.0;6.2;0.1;10.9;16.5;0.0
180;M Onderwijs;1993;0.1;0.1;0.0;0.4;0.0;0.0;0.0;0.0;0.9;0.0;0.0;0.2;0.0;0.4;0.0;0.0
181;M Onderwijs;1994;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.1;0.7;0.0;0.0;0.2;0.0;0.4;0.0;0.0
182;M Onderwijs;1995;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.1;0.8;0.0;0.0;0.2;0.0;0.3;0.0;0.0
183;M Onderwijs;1996;0.0;0.0;0.0;0.1;0.2;0.0;0.0;0.0;0.8;0.0;0.0;0.2;0.0;0.3;0.0;0.0
184;M Onderwijs;1997;0.0;0.0;0.0;0.1;0.2;0.0;0.0;0.2;0.8;0.0;0.0;0.2;0.0;0.3;0.0;0.0
185;N Gezondheids- en welzijnszorg;1993;9.3;1.3;1.7;1.0;0.0;0.3;4.9;0.0;5.9;0.0;0.0;2.9;0.0;0.4;0.0;0.0
186;N Gezondheids- en welzijnszorg;1994;8.8;1.3;1.7;1.0;0.0;0.4;4.3;0.0;5.4;0.0;0.0;2.8;0.2;0.4;0.0;0.0
187;N Gezondheids- en welzijnszorg;1995;9.2;1.3;1.9;1.1;0.0;0.3;4.5;0.1;5.5;0.0;0.0;3.2;0.0;0.5;0.0;0.0
188;N Gezondheids- en welzijnszorg;1996;10.2;1.4;1.9;1.2;0.0;0.4;5.1;0.0;6.3;0.0;0.0;3.1;0.0;0.5;0.4;0.0
189;N Gezondheids- en welzijnszorg;1997;9.2;1.3;1.9;1.2;0.0;0.4;3.8;0.5;5.3;0.0;0.0;2.2;0.0;0.5;1.1;0.0
190;O Cultuur, recreatie en ov. dienstverl.;1993;196.7;0.9;0.5;120.4;1.8;71.0;2.1;0.0;12.1;0.3;0.0;48.2;0.0;42.3;77.2;16.5
191;O Cultuur, recreatie en ov. dienstverl.;1994;195.3;1.0;0.7;117.2;1.5;57.1;0.6;17.2;34.4;0.4;0.1;33.3;7.5;54.3;64.6;0.6
192;O Cultuur, recreatie en ov. dienstverl.;1995;231.1;1.2;0.6;133.7;1.4;87.5;0.3;6.2;44.5;6.5;0.0;18.0;13.2;67.1;79.6;2.1
193;O Cultuur, recreatie en ov. dienstverl.;1996;248.3;1.5;0.9;126.2;1.8;81.4;0.7;35.8;60.9;12.6;0.0;39.6;5.7;72.8;56.0;0.6
194;O Cultuur, recreatie en ov. dienstverl.;1997;381.9;1.6;1.6;154.9;2.4;102.9;1.1;117.3;85.1;10.6;4.7;121.6;28.7;52.6;77.7;0.9
