ID;Woningkenmerken;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;GemiddeldAardgasverbruik_4;GemiddeldElektriciteitsverbruik_5;Stadsverwarming_6
147;Totaal woningen;Corpus Den Hoorn-Noord;Corpus Den Hoorn-Noord                  ;Buurt     ;BU00140702;1150.0;2100.0;
148;Totaal woningen;Corpus Den Hoorn-Zuid;Corpus Den Hoorn-Zuid                   ;Buurt     ;BU00140703;1350.0;3050.0;
149;Totaal woningen;Stadspark;Stadspark                               ;Buurt     ;BU00140704;1500.0;3900.0;
150;Totaal woningen;Peizerweg;Peizerweg                               ;Buurt     ;BU00140705;;;
151;Totaal woningen;Woonwagenkamp;Woonwagenkamp                           ;Buurt     ;BU00140709;1350.0;3750.0;
152;Totaal woningen;Wijk 08 Hoogkerk;Wijk 08 Hoogkerk                        ;Wijk      ;WK001408  ;1450.0;3400.0;
153;Totaal woningen;Hoogkerk-Dorp;Hoogkerk-Dorp                           ;Buurt     ;BU00140800;1650.0;3000.0;
154;Totaal woningen;Hoogkerk-Zuid;Hoogkerk-Zuid                           ;Buurt     ;BU00140801;1450.0;3000.0;
155;Totaal woningen;Vierverlaten;Vierverlaten                            ;Buurt     ;BU00140802;2050.0;3750.0;
156;Totaal woningen;Leegkerk;Leegkerk                                ;Buurt     ;BU00140803;1450.0;3900.0;
157;Totaal woningen;Dorkwerd;Dorkwerd                                ;Buurt     ;BU00140804;1350.0;3800.0;
158;Totaal woningen;Bangeweer;Bangeweer                               ;Buurt     ;BU00140805;1400.0;3500.0;
159;Totaal woningen;De Held;De Held                                 ;Buurt     ;BU00140806;1300.0;3600.0;
160;Totaal woningen;Zuidwending;Zuidwending                             ;Buurt     ;BU00140807;2650.0;4400.0;
161;Totaal woningen;Wijk 09 Noorddijk;Wijk 09 Noorddijk                       ;Wijk      ;WK001409  ;1350.0;3050.0;
162;Totaal woningen;Oosterhoogebrug;Oosterhoogebrug                         ;Buurt     ;BU00140900;1550.0;3150.0;
163;Totaal woningen;Lewenborg-Zuid;Lewenborg-Zuid                          ;Buurt     ;BU00140901;1450.0;3000.0;
164;Totaal woningen;Lewenborg-Noord;Lewenborg-Noord                         ;Buurt     ;BU00140902;1250.0;2750.0;5.0
165;Totaal woningen;Lewenborg-West;Lewenborg-West                          ;Buurt     ;BU00140903;1450.0;3400.0;
166;Totaal woningen;Bovenstreek;Bovenstreek                             ;Buurt     ;BU00140904;1600.0;4150.0;
167;Totaal woningen;Beijum-Oost;Beijum-Oost                             ;Buurt     ;BU00140905;1150.0;2750.0;
168;Totaal woningen;Beijum-West;Beijum-West                             ;Buurt     ;BU00140906;1300.0;2850.0;
169;Totaal woningen;Ulgersmabuurt;Ulgersmabuurt                           ;Buurt     ;BU00140907;1450.0;3800.0;
170;Totaal woningen;Ruischerbrug;Ruischerbrug                            ;Buurt     ;BU00140908;1400.0;3300.0;
171;Totaal woningen;Grootegast;Grootegast                              ;Gemeente  ;GM0015    ;2000.0;3600.0;
172;Totaal woningen;Wijk 00 Grootegast;Wijk 00 Grootegast                      ;Wijk      ;WK001500  ;2000.0;3500.0;
173;Totaal woningen;Grootegast;Grootegast                              ;Buurt     ;BU00150000;1900.0;3200.0;
174;Totaal woningen;Doezum;Doezum                                  ;Buurt     ;BU00150001;2050.0;3600.0;
175;Totaal woningen;Sebaldeburen;Sebaldeburen                            ;Buurt     ;BU00150002;2050.0;3750.0;
