ID;Vakantiekenmerken;Perioden;TotaalAantalVakanties_1;GemiddeldeVakantieduur_2;Noordzeebadplaatsen_3;Watersportgebieden_4;VeluweEnVeluwerand_5;TwenteSallandEnVechtstreek_6;GroningseFrieseEnDrentseZandgronden_7;WestEnMiddenBrabant_8;OBrabantNMLimburgRijkVNijmegen_9;ZuidLimburg_10;OverigNederland_11;Friesland_12;Drenthe_13;Overijssel_14;Gelderland_15;NoordHolland_16;ZuidHolland_17;Zeeland_18;NoordBrabant_19;Limburg_20;OverigeProvincies_21;TotaalSeizoenrecreatieveLogiesvormen_22;CaravanVouwwagen_23;OverigeSeizoenrecreatieveLogiesvormen_24;TotaalToeristischeLogiesvormen_25;WoningVanAndereParticulier_26;Hotel_27;ZomerhuisjeVakantiebungalow_28;TentBungalowtent_29;CaravanVouwwagenCamper_30;JeugdherbergAndereGroepsaccommodatie_31;OverigeToeristischeLogiesvormen_32;Auto_33;TreinAutoslaaptrein_34;OverigeVervoermiddelen_35;TotaleUitgavenVoorVakanties_36;TotaalGemUitgavenPerVakantieganger_37;MetEigenVervoer_38;MetOverigVervoer_39
195;Geboekt bij een reisbureau;2003;375.0;;46.0;37.0;45.0;6.0;35.0;41.0;32.0;51.0;81.0;16.0;27.0;7.0;63.0;42.0;38.0;23.0;45.0;79.0;30.0;;0.0;0.0;375.0;0.0;175.0;113.0;0.0;31.0;26.0;29.0;327.0;32.0;16.0;;;;
196;Geboekt bij een bank, VVV, e.d.;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;Geboekt bij een bank, VVV, e.d.;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;Geboekt bij een bank, VVV, e.d.;2002;556.0;3.3;66.0;30.0;65.0;23.0;33.0;52.0;64.0;53.0;182.0;48.0;32.0;26.0;90.0;88.0;78.0;7.0;64.0;100.0;30.0;;;;556.0;4.0;240.0;186.0;13.0;3.0;136.0;42.0;443.0;77.0;57.0;;178.0;;
199;Geboekt bij een bank, VVV, e.d.;2003;800.0;3.3;136.0;68.0;93.0;72.0;46.0;60.0;55.0;87.0;188.0;81.0;46.0;76.0;134.0;71.0;119.0;40.0;68.0;122.0;52.0;;0.0;0.0;800.0;22.0;402.0;182.0;68.0;36.0;120.0;43.0;687.0;85.0;23.0;106.0;139.0;;
200;Geb. boekingscentr. hotel-/bungalowketen;2000;1087.0;3.6;131.0;68.0;160.0;;64.0;136.0;285.0;;;;;61.0;220.0;40.0;80.0;37.0;146.0;320.0;;;;;1087.0;;149.0;930.0;;;;;1014.0;;;;107.0;;
201;Geb. boekingscentr. hotel-/bungalowketen;2001;897.0;3.6;157.0;36.0;120.0;33.0;122.0;99.0;174.0;38.0;;23.0;117.0;40.0;162.0;73.0;98.0;48.0;101.0;210.0;24.0;;;;897.0;;148.0;716.0;4.0;;;;864.0;;;;114.0;;
202;Geb. boekingscentr. hotel-/bungalowketen;2002;1232.0;3.6;124.0;94.0;185.0;50.0;178.0;165.0;243.0;34.0;144.0;65.0;165.0;58.0;216.0;69.0;80.0;79.0;168.0;266.0;53.0;;;;1232.0;0.0;222.0;854.0;0.0;0.0;12.0;23.0;1131.0;26.0;24.0;;177.0;;
203;Geb. boekingscentr. hotel-/bungalowketen;2003;1269.0;3.6;165.0;141.0;162.0;81.0;138.0;140.0;211.0;60.0;162.0;35.0;135.0;89.0;217.0;121.0;77.0;71.0;157.0;226.0;136.0;;0.0;0.0;1269.0;0.0;245.0;874.0;13.0;9.0;0.0;30.0;1195.0;33.0;28.0;158.0;131.0;;
204;Rechtstreeks geboekt bij reisorganisatie;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;Rechtstreeks geboekt bij reisorganisatie;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;Rechtstreeks geboekt bij reisorganisatie;2002;76.0;;8.0;9.0;8.0;0.0;1.0;13.0;2.0;3.0;35.0;13.0;1.0;0.0;7.0;3.0;8.0;6.0;13.0;5.0;22.0;;;;76.0;0.0;29.0;1.0;0.0;0.0;74.0;26.0;41.0;6.0;54.0;;;;
207;Rechtstreeks geboekt bij reisorganisatie;2003;72.0;;4.0;4.0;3.0;8.0;12.0;15.0;3.0;3.0;23.0;16.0;9.0;8.0;9.0;7.0;2.0;3.0;18.0;3.0;1.0;;0.0;0.0;72.0;6.0;23.0;11.0;5.0;6.0;32.0;16.0;19.0;27.0;45.0;;;;
208;Log. rechtstr. geres. eigenaar/beheerder;2000;2557.0;3.2;300.0;301.0;229.0;;217.0;212.0;206.0;;;;;283.0;413.0;247.0;235.0;199.0;273.0;333.0;;;;;2557.0;;1067.0;467.0;;;;;2270.0;;;;108.0;;
209;Log. rechtstr. geres. eigenaar/beheerder;2001;2682.0;3.1;362.0;225.0;205.0;326.0;259.0;186.0;201.0;280.0;;211.0;235.0;351.0;373.0;345.0;209.0;171.0;261.0;381.0;145.0;;;;2683.0;;1097.0;422.0;292.0;;;;2328.0;;;;107.0;;
210;Log. rechtstr. geres. eigenaar/beheerder;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;Log. rechtstr. geres. eigenaar/beheerder;2003;2438.0;3.2;335.0;251.0;175.0;283.0;207.0;185.0;182.0;218.0;600.0;238.0;178.0;303.0;337.0;239.0;200.0;195.0;222.0;327.0;199.0;3.0;3.0;0.0;2434.0;51.0;1079.0;445.0;214.0;241.0;199.0;205.0;2196.0;138.0;104.0;319.0;131.0;;
212;Logies niet vooraf geboekt;2000;381.0;3.1;56.0;85.0;39.0;;34.0;10.0;28.0;;;;;40.0;61.0;58.0;13.0;18.0;19.0;39.0;;;;;328.0;;82.0;7.0;;;;;280.0;;;;60.0;;
213;Logies niet vooraf geboekt;2001;494.0;3.0;86.0;86.0;41.0;29.0;64.0;15.0;26.0;47.0;;36.0;47.0;35.0;60.0;73.0;67.0;64.0;32.0;51.0;29.0;;;;495.0;;101.0;30.0;143.0;;;;386.0;;;;73.0;;
214;Logies niet vooraf geboekt;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;Logies niet vooraf geboekt;2003;1586.0;3.1;164.0;232.0;106.0;150.0;155.0;157.0;89.0;79.0;453.0;113.0;138.0;165.0;204.0;191.0;187.0;123.0;177.0;133.0;156.0;;0.0;0.0;1586.0;455.0;119.0;243.0;281.0;322.0;49.0;117.0;1277.0;160.0;149.0;124.0;78.0;;
216;Vaste standplaats, eigen onderkomen;2000;4443.0;3.0;666.0;1063.0;376.0;;445.0;884.0;250.0;;;;;273.0;704.0;277.0;475.0;566.0;937.0;182.0;;4380.0;2838.0;1542.0;116.0;;0.0;33.0;;;;;4370.0;;;;24.0;;
217;Vaste standplaats, eigen onderkomen;2001;4952.0;3.0;701.0;1617.0;375.0;170.0;411.0;596.0;350.0;4.0;;426.0;356.0;496.0;981.0;243.0;427.0;686.0;831.0;259.0;246.0;4816.0;2992.0;1824.0;136.0;;0.0;49.0;5.0;;;;4694.0;;;;29.0;;
218;Vaste standplaats, eigen onderkomen;2002;3070.0;3.0;411.0;737.0;339.0;196.0;124.0;448.0;156.0;32.0;627.0;145.0;120.0;238.0;409.0;440.0;452.0;256.0;536.0;133.0;341.0;3070.0;1918.0;1153.0;;;;;;;;;2886.0;40.0;144.0;;28.0;;
219;Vaste standplaats, eigen onderkomen;2003;2522.0;3.2;325.0;571.0;417.0;131.0;211.0;325.0;128.0;0.0;414.0;174.0;193.0;145.0;515.0;225.0;268.0;266.0;341.0;106.0;288.0;2522.0;1550.0;972.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2318.0;13.0;191.0;76.0;30.0;;
220;Fiets;2000;100.0;;8.0;11.0;0.0;;2.0;10.0;12.0;;;;;0.0;8.0;34.0;18.0;0.0;14.0;3.0;;24.0;0.0;24.0;77.0;;23.0;0.0;;;;;;;100.0;;;;
221;Fiets;2001;128.0;;21.0;42.0;7.0;0.0;3.0;14.0;0.0;3.0;;0.0;3.0;11.0;21.0;29.0;13.0;10.0;22.0;3.0;17.0;25.0;0.0;25.0;103.0;;7.0;0.0;44.0;;;;;;128.0;;;;
222;Fiets;2002;149.0;;20.0;37.0;0.0;5.0;17.0;10.0;3.0;0.0;57.0;11.0;12.0;5.0;6.0;27.0;31.0;5.0;20.0;1.0;32.0;55.0;14.0;41.0;94.0;6.0;8.0;5.0;31.0;4.0;35.0;5.0;;;149.0;;;;
223;Fiets;2003;248.0;;19.0;32.0;11.0;15.0;2.0;18.0;16.0;0.0;135.0;8.0;2.0;15.0;32.0;32.0;86.0;3.0;33.0;8.0;29.0;97.0;7.0;90.0;152.0;12.0;10.0;9.0;67.0;2.0;31.0;20.0;;;;;;;
224;Auto, kampeerauto;2000;8471.0;3.1;1200.0;1470.0;831.0;;775.0;1271.0;727.0;;;;;670.0;1427.0;626.0;843.0;834.0;1381.0;889.0;;4277.0;2834.0;1443.0;4193.0;;1355.0;1644.0;;;;;8471.0;;;548.0;65.0;;
225;Auto, kampeerauto;2001;8803.0;3.1;1302.0;1860.0;780.0;557.0;894.0;928.0;787.0;388.0;;519.0;787.0;886.0;1625.0;668.0;743.0;955.0;1244.0;958.0;419.0;4568.0;2963.0;1605.0;4235.0;;1425.0;1381.0;339.0;;;;8803.0;;;576.0;65.0;;
226;Auto, kampeerauto;2002;8492.0;3.2;1136.0;1262.0;946.0;634.0;713.0;952.0;739.0;493.0;1616.0;534.0;634.0;715.0;1345.0;902.0;871.0;675.0;1112.0;1038.0;665.0;2886.0;1835.0;1050.0;5606.0;357.0;1787.0;1900.0;345.0;519.0;338.0;360.0;8492.0;;;836.0;98.0;;
227;Auto, kampeerauto;2003;8018.0;3.2;1083.0;1172.0;949.0;698.0;742.0;824.0;650.0;434.0;1467.0;534.0;671.0;756.0;1367.0;760.0;674.0;693.0;905.0;903.0;755.0;2321.0;1477.0;844.0;5697.0;388.0;1810.0;1800.0;441.0;612.0;325.0;321.0;;;;746.0;93.0;;
228;Trein, autoslaaptrein;2000;377.0;3.2;32.0;4.0;19.0;;14.0;26.0;60.0;;;;;14.0;46.0;51.0;32.0;12.0;44.0;99.0;;0.0;0.0;0.0;377.0;;185.0;58.0;;;;;;377.0;;46.0;122.0;;
229;Trein, autoslaaptrein;2001;488.0;3.0;53.0;56.0;15.0;34.0;10.0;29.0;11.0;33.0;;137.0;10.0;37.0;19.0;76.0;77.0;38.0;29.0;43.0;23.0;142.0;22.0;120.0;346.0;;140.0;68.0;48.0;;;;;488.0;;46.0;94.0;;
