ID;Periods;TermsOfTrade_1;ImportPrices_2;ExportPrices_3;TermsOfTrade_4;ImportPrices_5;ExportPrices_6
351;2015 3rd quarter;100.3;99.7;100.0;3.1;-5.4;-2.4
352;2015 October;100.3;98.0;98.3;3.0;-7.0;-4.2
353;2015 November;100.5;98.2;98.7;2.5;-4.9;-2.5
354;2015 December;99.9;97.0;96.9;-0.8;-2.1;-2.8
355;2015 4th quarter;100.3;97.7;98.0;1.6;-4.7;-3.2
356;2015;100.0;100.0;100.0;2.4;-5.0;-2.6
357;2016 January;101.3;93.5;94.7;0.8;-5.1;-4.3
358;2016 February;100.7;94.0;94.6;0.9;-6.6;-5.8
359;2016 March;100.2;94.7;94.9;0.8;-7.0;-6.2
360;2016 1st quarter;100.7;94.1;94.7;0.8;-6.3;-5.5
361;2016 April;100.5;94.1;94.6;1.3;-8.6;-7.4
362;2016 May;102.0;94.2;96.1;2.3;-8.0;-5.9
363;2016 June;101.0;96.0;97.0;1.3;-5.7;-4.4
364;2016 2nd quarter;101.2;94.8;95.9;1.7;-7.4;-5.9
365;2016 July;101.4;95.4;96.7;1.2;-5.7;-4.6
366;2016 August;101.4;95.3;96.7;0.9;-3.9;-3.1
367;2016 September;101.4;95.6;96.9;1.0;-3.1;-2.2
368;2016 3rd quarter;101.4;95.4;96.8;1.0;-4.3;-3.3
369;2016 October;101.3;96.2;97.4;0.9;-1.8;-0.9
370;2016 November;100.7;96.9;97.6;0.2;-1.4;-1.2
371;2016 December;100.0;99.3;99.2;0.0;2.4;2.4
372;2016 4th quarter;100.7;97.4;98.1;0.4;-0.3;0.1
373;2016;101.0;95.5;96.4;1.0;-4.5;-3.6
374;2017 January;99.7;100.8;100.5;-1.5;7.9;6.2
375;2017 February;99.3;102.3;101.6;-1.3;8.8;7.4
376;2017 March;99.7;101.0;100.7;-0.5;6.7;6.1
377;2017 1st quarter;99.6;101.3;100.9;-1.1;7.7;6.5
378;2017 April;99.6;100.2;99.7;-1.0;6.5;5.5
379;2017 May;102.1;97.6;99.6;0.0;3.6;3.6
380;2017 June;101.2;97.3;98.5;0.2;1.3;1.5
381;2017 2nd quarter;100.9;98.3;99.3;-0.2;3.7;3.5
382;2017 July;101.7;96.8;98.5;0.4;1.5;1.8
383;2017 August;101.6;96.8;98.4;0.2;1.6;1.8
384;2017 September;101.7;97.5;99.1;0.3;2.0;2.3
385;2017 3rd quarter;101.7;97.0;98.7;0.3;1.7;2.0
386;2017 October;101.1;97.7;98.8;-0.2;1.6;1.4
387;2017 November;100.4;98.8;99.2;-0.4;2.0;1.7
388;2017 December;99.9;100.0;99.9;0.0;0.7;0.6
389;2017 4th quarter;100.5;98.8;99.3;-0.2;1.4;1.2
390;2017;100.7;98.9;99.5;-0.3;3.6;3.3
391;2018 January;100.9;100.3;101.2;1.2;-0.6;0.7
392;2018 February;100.4;100.2;100.7;1.1;-2.0;-0.9
393;2018 March;100.5;99.5;100.0;0.8;-1.6;-0.7
394;2018 1st quarter;100.6;100.0;100.6;1.1;-1.4;-0.3
395;2018 April;99.5;99.9;99.4;0.0;-0.3;-0.3
396;2018 May;102.2;100.0;102.3;0.2;2.5;2.7
397;2018 June;100.3;101.8;102.1;-0.9;4.6;3.7
398;2018 2nd quarter;100.7;100.6;101.3;-0.2;2.3;2.0
399;2018 July;101.3;101.4;102.7;-0.4;4.7;4.3
400;2018 August;100.6;102.3;102.9;-1.0;5.7;4.6
401;2018 September;100.3;102.6;102.9;-1.3;5.2;3.8
402;2018 3rd quarter;100.7;102.1;102.8;-0.9;5.2;4.2
403;2018 October;100.0;103.0;103.0;-1.1;5.4;4.2
404;2018 November;100.2;101.4;101.6;-0.2;2.6;2.5
405;2018 December;99.7;100.6;100.2;-0.3;0.6;0.3
406;2018 4th quarter;99.9;101.7;101.6;-0.5;2.9;2.4
407;2018;100.5;101.1;101.6;-0.2;2.2;2.1
408;2019 January;101.9;100.1;102.0;0.9;-0.2;0.8
409;2019 February;101.3;101.7;103.1;0.9;1.5;2.4
410;2019 March;100.9;101.6;102.5;0.4;2.2;2.6
411;2019 1st quarter;101.4;101.1;102.5;0.7;1.2;1.9
412;2019 April;100.4;101.8;102.2;0.8;2.0;2.8
413;2019 May;102.8;100.4;103.2;0.5;0.4;0.9
414;2019 June;101.4;99.8;101.2;1.0;-1.9;-0.9
415;2019 2nd quarter;101.5;100.7;102.2;0.8;0.1;0.9
416;2019 July;102.3;99.3;101.6;1.0;-2.1;-1.1
417;2019 August;101.4;99.2;100.5;0.8;-3.1;-2.3
418;2019 September;101.6;99.4;100.9;1.2;-3.1;-1.9
