ID;OriginDestination;ResidualsProducts;HazardousNonHazardous;Periods;TotalWaste_1;ChemicalWaste_2;MetallicWaste_3;NonMetallicWaste_4;DiscardedMaterials_5;AnimalAndVegetableWaste_6;MixedWaste_7;Sludge_8;MineralWaste_9
879;B Mining and quarrying;1;2;2008;94.0;30.0;0.0;2.0;0.0;1.0;7.0;0.0;54.0
880;B Mining and quarrying;1;2;2009;;;;;;;;;
881;B Mining and quarrying;1;2;2010;;;;;;;;;
882;B Mining and quarrying;2;3;1990;;;;;;;;;
883;B Mining and quarrying;2;3;1991;;;;;;;;;
884;B Mining and quarrying;2;3;1992;;;;;;;;;
885;B Mining and quarrying;2;3;1993;;;;;;;;;
886;B Mining and quarrying;2;3;1994;;;;;;;;;
887;B Mining and quarrying;2;3;1995;;;;;;;;;
888;B Mining and quarrying;2;3;1996;;;;;;;;;
889;B Mining and quarrying;2;3;1997;;;;;;;;;
890;B Mining and quarrying;2;3;1998;;;;;;;;;
891;B Mining and quarrying;2;3;1999;;;;;;;;;
892;B Mining and quarrying;2;3;2000;;;;;;;;;
893;B Mining and quarrying;2;3;2001;;;;;;;;;
894;B Mining and quarrying;2;3;2002;5.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
895;B Mining and quarrying;2;3;2003;22.0;21.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
896;B Mining and quarrying;2;3;2004;5.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0
897;B Mining and quarrying;2;3;2005;3.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0
898;B Mining and quarrying;2;3;2006;3.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0
899;B Mining and quarrying;2;3;2007;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0
900;B Mining and quarrying;2;3;2008;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0
901;B Mining and quarrying;2;3;2009;;;;;;;;;
902;B Mining and quarrying;2;3;2010;;;;;;;;;
903;B Mining and quarrying;2;1;1990;;;;;;;;;
904;B Mining and quarrying;2;1;1991;;;;;;;;;
905;B Mining and quarrying;2;1;1992;;;;;;;;;
906;B Mining and quarrying;2;1;1993;;;;;;;;;
907;B Mining and quarrying;2;1;1994;;;;;;;;;
908;B Mining and quarrying;2;1;1995;;;;;;;;;
909;B Mining and quarrying;2;1;1996;;;;;;;;;
910;B Mining and quarrying;2;1;1997;;;;;;;;;
911;B Mining and quarrying;2;1;1998;;;;;;;;;
912;B Mining and quarrying;2;1;1999;;;;;;;;;
913;B Mining and quarrying;2;1;2000;;;;;;;;;
914;B Mining and quarrying;2;1;2001;;;;;;;;;
915;B Mining and quarrying;2;1;2002;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
916;B Mining and quarrying;2;1;2003;21.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
917;B Mining and quarrying;2;1;2004;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
918;B Mining and quarrying;2;1;2005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
919;B Mining and quarrying;2;1;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
920;B Mining and quarrying;2;1;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
921;B Mining and quarrying;2;1;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
922;B Mining and quarrying;2;1;2009;;;;;;;;;
923;B Mining and quarrying;2;1;2010;;;;;;;;;
924;B Mining and quarrying;2;2;1990;;;;;;;;;
925;B Mining and quarrying;2;2;1991;;;;;;;;;
926;B Mining and quarrying;2;2;1992;;;;;;;;;
927;B Mining and quarrying;2;2;1993;;;;;;;;;
928;B Mining and quarrying;2;2;1994;;;;;;;;;
929;B Mining and quarrying;2;2;1995;;;;;;;;;
930;B Mining and quarrying;2;2;1996;;;;;;;;;
931;B Mining and quarrying;2;2;1997;;;;;;;;;
932;B Mining and quarrying;2;2;1998;;;;;;;;;
933;B Mining and quarrying;2;2;1999;;;;;;;;;
934;B Mining and quarrying;2;2;2000;;;;;;;;;
935;B Mining and quarrying;2;2;2001;;;;;;;;;
936;B Mining and quarrying;2;2;2002;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
937;B Mining and quarrying;2;2;2003;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
938;B Mining and quarrying;2;2;2004;3.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0
939;B Mining and quarrying;2;2;2005;3.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0
940;B Mining and quarrying;2;2;2006;3.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0
941;B Mining and quarrying;2;2;2007;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0
942;B Mining and quarrying;2;2;2008;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0
943;B Mining and quarrying;2;2;2009;;;;;;;;;
944;B Mining and quarrying;2;2;2010;;;;;;;;;
945;C Manufacturing;3;3;1990;;;;;;;;;
946;C Manufacturing;3;3;1991;;;;;;;;;
947;C Manufacturing;3;3;1992;;;;;;;;;
948;C Manufacturing;3;3;1993;;;;;;;;;
949;C Manufacturing;3;3;1994;;;;;;;;;
950;C Manufacturing;3;3;1995;;;;;;;;;
951;C Manufacturing;3;3;1996;;;;;;;;;
952;C Manufacturing;3;3;1997;;;;;;;;;
953;C Manufacturing;3;3;1998;;;;;;;;;
954;C Manufacturing;3;3;1999;;;;;;;;;
955;C Manufacturing;3;3;2000;;;;;;;;;
956;C Manufacturing;3;3;2001;;;;;;;;;
957;C Manufacturing;3;3;2002;17182.0;1142.0;863.0;1557.0;3.0;7054.0;1381.0;148.0;5034.0
958;C Manufacturing;3;3;2003;16956.0;1265.0;823.0;1601.0;3.0;7215.0;1400.0;70.0;4578.0
959;C Manufacturing;3;3;2004;15915.0;1200.0;651.0;1482.0;17.0;6581.0;894.0;117.0;4972.0
960;C Manufacturing;3;3;2005;15699.0;1273.0;652.0;1486.0;17.0;6430.0;837.0;110.0;4894.0
961;C Manufacturing;3;3;2006;15397.0;1184.0;699.0;1576.0;25.0;6533.0;852.0;105.0;4423.0
962;C Manufacturing;3;3;2007;15335.0;1283.0;660.0;1570.0;22.0;6523.0;828.0;105.0;4345.0
963;C Manufacturing;3;3;2008;15432.0;1381.0;684.0;1541.0;9.0;6373.0;803.0;117.0;4525.0
964;C Manufacturing;3;3;2009;13897.0;1300.0;574.0;1393.0;13.0;6475.0;745.0;107.0;3290.0
965;C Manufacturing;3;3;2010;14053.0;1441.0;538.0;1412.0;16.0;6523.0;784.0;108.0;3232.0
966;C Manufacturing;3;1;1990;;;;;;;;;
967;C Manufacturing;3;1;1991;;;;;;;;;
968;C Manufacturing;3;1;1992;;;;;;;;;
969;C Manufacturing;3;1;1993;;;;;;;;;
970;C Manufacturing;3;1;1994;;;;;;;;;
971;C Manufacturing;3;1;1995;;;;;;;;;
972;C Manufacturing;3;1;1996;;;;;;;;;
973;C Manufacturing;3;1;1997;;;;;;;;;
974;C Manufacturing;3;1;1998;;;;;;;;;
975;C Manufacturing;3;1;1999;;;;;;;;;
976;C Manufacturing;3;1;2000;;;;;;;;;
977;C Manufacturing;3;1;2001;;;;;;;;;
978;C Manufacturing;3;1;2002;562.0;439.0;0.0;0.0;3.0;0.0;0.0;0.0;119.0
979;C Manufacturing;3;1;2003;658.0;550.0;0.0;0.0;3.0;0.0;0.0;0.0;104.0
980;C Manufacturing;3;1;2004;590.0;495.0;1.0;0.0;5.0;0.0;0.0;0.0;87.0
981;C Manufacturing;3;1;2005;696.0;586.0;0.0;0.0;5.0;0.0;3.0;0.0;101.0
982;C Manufacturing;3;1;2006;610.0;533.0;0.0;1.0;6.0;0.0;3.0;0.0;67.0
983;C Manufacturing;3;1;2007;674.0;626.0;0.0;1.0;3.0;0.0;3.0;0.0;41.0
984;C Manufacturing;3;1;2008;806.0;728.0;0.0;0.0;3.0;0.0;3.0;0.0;72.0
985;C Manufacturing;3;1;2009;;;;;;;;;
986;C Manufacturing;3;1;2010;;;;;;;;;
987;C Manufacturing;3;2;1990;;;;;;;;;
988;C Manufacturing;3;2;1991;;;;;;;;;
989;C Manufacturing;3;2;1992;;;;;;;;;
990;C Manufacturing;3;2;1993;;;;;;;;;
991;C Manufacturing;3;2;1994;;;;;;;;;
992;C Manufacturing;3;2;1995;;;;;;;;;
993;C Manufacturing;3;2;1996;;;;;;;;;
994;C Manufacturing;3;2;1997;;;;;;;;;
995;C Manufacturing;3;2;1998;;;;;;;;;
996;C Manufacturing;3;2;1999;;;;;;;;;
997;C Manufacturing;3;2;2000;;;;;;;;;
998;C Manufacturing;3;2;2001;;;;;;;;;
999;C Manufacturing;3;2;2002;16620.0;703.0;863.0;1557.0;0.0;7054.0;1380.0;148.0;4915.0
1000;C Manufacturing;3;2;2003;16299.0;714.0;823.0;1601.0;0.0;7215.0;1400.0;70.0;4475.0
1001;C Manufacturing;3;2;2004;15326.0;705.0;650.0;1482.0;12.0;6581.0;894.0;117.0;4885.0
1002;C Manufacturing;3;2;2005;15003.0;687.0;652.0;1486.0;12.0;6430.0;834.0;110.0;4793.0
1003;C Manufacturing;3;2;2006;14787.0;651.0;699.0;1575.0;19.0;6533.0;849.0;105.0;4356.0
1004;C Manufacturing;3;2;2007;14661.0;656.0;659.0;1569.0;19.0;6523.0;825.0;105.0;4304.0
1005;C Manufacturing;3;2;2008;14626.0;653.0;684.0;1541.0;6.0;6373.0;800.0;117.0;4453.0
1006;C Manufacturing;3;2;2009;;;;;;;;;
1007;C Manufacturing;3;2;2010;;;;;;;;;
1008;C Manufacturing;1;3;1990;;;;;;;;;
1009;C Manufacturing;1;3;1991;;;;;;;;;
1010;C Manufacturing;1;3;1992;;;;;;;;;
1011;C Manufacturing;1;3;1993;;;;;;;;;
1012;C Manufacturing;1;3;1994;;;;;;;;;
1013;C Manufacturing;1;3;1995;;;;;;;;;
1014;C Manufacturing;1;3;1996;;;;;;;;;
1015;C Manufacturing;1;3;1997;;;;;;;;;
1016;C Manufacturing;1;3;1998;;;;;;;;;
1017;C Manufacturing;1;3;1999;;;;;;;;;
1018;C Manufacturing;1;3;2000;;;;;;;;;
1019;C Manufacturing;1;3;2001;;;;;;;;;
1020;C Manufacturing;1;3;2002;10297.0;1079.0;218.0;1090.0;3.0;1569.0;1381.0;148.0;4809.0
1021;C Manufacturing;1;3;2003;9794.0;1161.0;82.0;1265.0;3.0;1461.0;1399.0;70.0;4353.0
1022;C Manufacturing;1;3;2004;8883.0;1123.0;57.0;1060.0;17.0;965.0;894.0;117.0;4650.0
1023;C Manufacturing;1;3;2005;9098.0;1260.0;68.0;1130.0;17.0;957.0;837.0;110.0;4719.0
1024;C Manufacturing;1;3;2006;8412.0;1182.0;89.0;1003.0;25.0;1281.0;852.0;105.0;3876.0
1025;C Manufacturing;1;3;2007;9850.0;1281.0;103.0;1072.0;22.0;2483.0;828.0;105.0;3955.0
1026;C Manufacturing;1;3;2008;10243.0;1380.0;97.0;1088.0;9.0;2524.0;803.0;117.0;4225.0
1027;C Manufacturing;1;3;2009;;;;;;;;;
1028;C Manufacturing;1;3;2010;;;;;;;;;
1029;C Manufacturing;1;1;1990;;;;;;;;;
1030;C Manufacturing;1;1;1991;;;;;;;;;
1031;C Manufacturing;1;1;1992;;;;;;;;;
1032;C Manufacturing;1;1;1993;;;;;;;;;
1033;C Manufacturing;1;1;1994;;;;;;;;;
1034;C Manufacturing;1;1;1995;;;;;;;;;
1035;C Manufacturing;1;1;1996;;;;;;;;;
1036;C Manufacturing;1;1;1997;;;;;;;;;
1037;C Manufacturing;1;1;1998;;;;;;;;;
1038;C Manufacturing;1;1;1999;;;;;;;;;
1039;C Manufacturing;1;1;2000;;;;;;;;;
1040;C Manufacturing;1;1;2001;;;;;;;;;
1041;C Manufacturing;1;1;2002;500.0;378.0;0.0;0.0;3.0;0.0;0.0;0.0;119.0
1042;C Manufacturing;1;1;2003;554.0;446.0;0.0;0.0;3.0;0.0;0.0;0.0;104.0
1043;C Manufacturing;1;1;2004;512.0;418.0;1.0;0.0;5.0;0.0;0.0;0.0;87.0
1044;C Manufacturing;1;1;2005;686.0;576.0;0.0;0.0;5.0;0.0;3.0;0.0;101.0
1045;C Manufacturing;1;1;2006;610.0;533.0;0.0;1.0;6.0;0.0;3.0;0.0;67.0
1046;C Manufacturing;1;1;2007;674.0;626.0;0.0;1.0;3.0;0.0;3.0;0.0;41.0
1047;C Manufacturing;1;1;2008;806.0;728.0;0.0;0.0;3.0;0.0;3.0;0.0;72.0
1048;C Manufacturing;1;1;2009;;;;;;;;;
1049;C Manufacturing;1;1;2010;;;;;;;;;
1050;C Manufacturing;1;2;1990;;;;;;;;;
1051;C Manufacturing;1;2;1991;;;;;;;;;
1052;C Manufacturing;1;2;1992;;;;;;;;;
1053;C Manufacturing;1;2;1993;;;;;;;;;
1054;C Manufacturing;1;2;1994;;;;;;;;;
1055;C Manufacturing;1;2;1995;;;;;;;;;
1056;C Manufacturing;1;2;1996;;;;;;;;;
1057;C Manufacturing;1;2;1997;;;;;;;;;
1058;C Manufacturing;1;2;1998;;;;;;;;;
1059;C Manufacturing;1;2;1999;;;;;;;;;
1060;C Manufacturing;1;2;2000;;;;;;;;;
1061;C Manufacturing;1;2;2001;;;;;;;;;
1062;C Manufacturing;1;2;2002;9797.0;701.0;218.0;1090.0;0.0;1569.0;1380.0;148.0;4690.0
1063;C Manufacturing;1;2;2003;9240.0;714.0;81.0;1264.0;0.0;1461.0;1398.0;70.0;4250.0
1064;C Manufacturing;1;2;2004;8371.0;705.0;57.0;1060.0;12.0;965.0;893.0;117.0;4563.0
1065;C Manufacturing;1;2;2005;8411.0;683.0;67.0;1130.0;12.0;957.0;834.0;110.0;4618.0
1066;C Manufacturing;1;2;2006;7802.0;649.0;89.0;1002.0;19.0;1281.0;849.0;105.0;3809.0
1067;C Manufacturing;1;2;2007;9176.0;655.0;103.0;1071.0;19.0;2483.0;825.0;105.0;3914.0
1068;C Manufacturing;1;2;2008;9436.0;652.0;97.0;1088.0;6.0;2524.0;800.0;117.0;4153.0
1069;C Manufacturing;1;2;2009;;;;;;;;;
1070;C Manufacturing;1;2;2010;;;;;;;;;
1071;C Manufacturing;2;3;1990;;;;;;;;;
1072;C Manufacturing;2;3;1991;;;;;;;;;
1073;C Manufacturing;2;3;1992;;;;;;;;;
1074;C Manufacturing;2;3;1993;;;;;;;;;
1075;C Manufacturing;2;3;1994;;;;;;;;;
1076;C Manufacturing;2;3;1995;;;;;;;;;
1077;C Manufacturing;2;3;1996;;;;;;;;;
1078;C Manufacturing;2;3;1997;;;;;;;;;
1079;C Manufacturing;2;3;1998;;;;;;;;;
1080;C Manufacturing;2;3;1999;;;;;;;;;
1081;C Manufacturing;2;3;2000;;;;;;;;;
1082;C Manufacturing;2;3;2001;;;;;;;;;
1083;C Manufacturing;2;3;2002;6885.0;63.0;645.0;467.0;0.0;5485.0;0.0;0.0;225.0
1084;C Manufacturing;2;3;2003;7163.0;104.0;742.0;336.0;0.0;5754.0;1.0;0.0;225.0
1085;C Manufacturing;2;3;2004;7032.0;77.0;594.0;422.0;0.0;5617.0;0.0;0.0;322.0
1086;C Manufacturing;2;3;2005;6601.0;13.0;585.0;356.0;0.0;5472.0;0.0;0.0;175.0
1087;C Manufacturing;2;3;2006;6985.0;2.0;611.0;573.0;0.0;5252.0;0.0;0.0;547.0
1088;C Manufacturing;2;3;2007;5486.0;2.0;556.0;498.0;0.0;4039.0;0.0;0.0;390.0
1089;C Manufacturing;2;3;2008;5190.0;0.0;587.0;452.0;0.0;3849.0;0.0;0.0;301.0
1090;C Manufacturing;2;3;2009;;;;;;;;;
1091;C Manufacturing;2;3;2010;;;;;;;;;
1092;C Manufacturing;2;1;1990;;;;;;;;;
1093;C Manufacturing;2;1;1991;;;;;;;;;
1094;C Manufacturing;2;1;1992;;;;;;;;;
1095;C Manufacturing;2;1;1993;;;;;;;;;
1096;C Manufacturing;2;1;1994;;;;;;;;;
1097;C Manufacturing;2;1;1995;;;;;;;;;
1098;C Manufacturing;2;1;1996;;;;;;;;;
1099;C Manufacturing;2;1;1997;;;;;;;;;
1100;C Manufacturing;2;1;1998;;;;;;;;;
1101;C Manufacturing;2;1;1999;;;;;;;;;
1102;C Manufacturing;2;1;2000;;;;;;;;;
1103;C Manufacturing;2;1;2001;;;;;;;;;
1104;C Manufacturing;2;1;2002;62.0;61.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1105;C Manufacturing;2;1;2003;104.0;104.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1106;C Manufacturing;2;1;2004;78.0;77.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1107;C Manufacturing;2;1;2005;10.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1108;C Manufacturing;2;1;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1109;C Manufacturing;2;1;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1110;C Manufacturing;2;1;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1111;C Manufacturing;2;1;2009;;;;;;;;;
1112;C Manufacturing;2;1;2010;;;;;;;;;
1113;C Manufacturing;2;2;1990;;;;;;;;;
1114;C Manufacturing;2;2;1991;;;;;;;;;
1115;C Manufacturing;2;2;1992;;;;;;;;;
1116;C Manufacturing;2;2;1993;;;;;;;;;
1117;C Manufacturing;2;2;1994;;;;;;;;;
1118;C Manufacturing;2;2;1995;;;;;;;;;
1119;C Manufacturing;2;2;1996;;;;;;;;;
1120;C Manufacturing;2;2;1997;;;;;;;;;
1121;C Manufacturing;2;2;1998;;;;;;;;;
1122;C Manufacturing;2;2;1999;;;;;;;;;
1123;C Manufacturing;2;2;2000;;;;;;;;;
1124;C Manufacturing;2;2;2001;;;;;;;;;
1125;C Manufacturing;2;2;2002;6823.0;2.0;645.0;467.0;0.0;5485.0;0.0;0.0;225.0
1126;C Manufacturing;2;2;2003;7059.0;0.0;742.0;336.0;0.0;5754.0;1.0;0.0;225.0
1127;C Manufacturing;2;2;2004;6954.0;0.0;593.0;422.0;0.0;5617.0;0.0;0.0;322.0
1128;C Manufacturing;2;2;2005;6592.0;4.0;585.0;356.0;0.0;5472.0;0.0;0.0;175.0
1129;C Manufacturing;2;2;2006;6985.0;2.0;611.0;573.0;0.0;5252.0;0.0;0.0;547.0
1130;C Manufacturing;2;2;2007;5486.0;2.0;556.0;498.0;0.0;4039.0;0.0;0.0;390.0
1131;C Manufacturing;2;2;2008;5190.0;0.0;587.0;452.0;0.0;3849.0;0.0;0.0;301.0
1132;C Manufacturing;2;2;2009;;;;;;;;;
1133;C Manufacturing;2;2;2010;;;;;;;;;
1134;10-12 Manufacture of food and beverages;3;3;1990;;;;;;;;;
1135;10-12 Manufacture of food and beverages;3;3;1991;;;;;;;;;
1136;10-12 Manufacture of food and beverages;3;3;1992;;;;;;;;;
1137;10-12 Manufacture of food and beverages;3;3;1993;;;;;;;;;
1138;10-12 Manufacture of food and beverages;3;3;1994;;;;;;;;;
1139;10-12 Manufacture of food and beverages;3;3;1995;;;;;;;;;
1140;10-12 Manufacture of food and beverages;3;3;1996;;;;;;;;;
1141;10-12 Manufacture of food and beverages;3;3;1997;;;;;;;;;
1142;10-12 Manufacture of food and beverages;3;3;1998;;;;;;;;;
1143;10-12 Manufacture of food and beverages;3;3;1999;;;;;;;;;
1144;10-12 Manufacture of food and beverages;3;3;2000;;;;;;;;;
1145;10-12 Manufacture of food and beverages;3;3;2001;;;;;;;;;
1146;10-12 Manufacture of food and beverages;3;3;2002;9151.0;51.0;23.0;112.0;0.0;6994.0;687.0;131.0;1152.0
1147;10-12 Manufacture of food and beverages;3;3;2003;9002.0;50.0;23.0;110.0;0.0;7157.0;686.0;53.0;923.0
1148;10-12 Manufacture of food and beverages;3;3;2004;7963.0;33.0;14.0;136.0;4.0;6428.0;304.0;89.0;954.0
1149;10-12 Manufacture of food and beverages;3;3;2005;7600.0;33.0;14.0;138.0;5.0;6275.0;284.0;86.0;767.0
1150;10-12 Manufacture of food and beverages;3;3;2006;7612.0;20.0;24.0;140.0;0.0;6444.0;234.0;86.0;664.0
1151;10-12 Manufacture of food and beverages;3;3;2007;7629.0;20.0;24.0;139.0;1.0;6435.0;233.0;86.0;693.0
1152;10-12 Manufacture of food and beverages;3;3;2008;7484.0;25.0;26.0;174.0;2.0;6266.0;231.0;102.0;658.0
1153;10-12 Manufacture of food and beverages;3;3;2009;7609.0;18.0;25.0;171.0;4.0;6369.0;225.0;97.0;700.0
1154;10-12 Manufacture of food and beverages;3;3;2010;7650.0;50.0;21.0;151.0;9.0;6379.0;227.0;95.0;717.0
1155;10-12 Manufacture of food and beverages;3;1;1990;;;;;;;;;
1156;10-12 Manufacture of food and beverages;3;1;1991;;;;;;;;;
1157;10-12 Manufacture of food and beverages;3;1;1992;;;;;;;;;
1158;10-12 Manufacture of food and beverages;3;1;1993;;;;;;;;;
1159;10-12 Manufacture of food and beverages;3;1;1994;;;;;;;;;
1160;10-12 Manufacture of food and beverages;3;1;1995;;;;;;;;;
1161;10-12 Manufacture of food and beverages;3;1;1996;;;;;;;;;
1162;10-12 Manufacture of food and beverages;3;1;1997;;;;;;;;;
1163;10-12 Manufacture of food and beverages;3;1;1998;;;;;;;;;
1164;10-12 Manufacture of food and beverages;3;1;1999;;;;;;;;;
1165;10-12 Manufacture of food and beverages;3;1;2000;;;;;;;;;
1166;10-12 Manufacture of food and beverages;3;1;2001;;;;;;;;;
1167;10-12 Manufacture of food and beverages;3;1;2002;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1168;10-12 Manufacture of food and beverages;3;1;2003;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1169;10-12 Manufacture of food and beverages;3;1;2004;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1170;10-12 Manufacture of food and beverages;3;1;2005;4.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1171;10-12 Manufacture of food and beverages;3;1;2006;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1172;10-12 Manufacture of food and beverages;3;1;2007;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1173;10-12 Manufacture of food and beverages;3;1;2008;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1174;10-12 Manufacture of food and beverages;3;1;2009;;;;;;;;;
1175;10-12 Manufacture of food and beverages;3;1;2010;;;;;;;;;
1176;10-12 Manufacture of food and beverages;3;2;1990;;;;;;;;;
1177;10-12 Manufacture of food and beverages;3;2;1991;;;;;;;;;
1178;10-12 Manufacture of food and beverages;3;2;1992;;;;;;;;;
1179;10-12 Manufacture of food and beverages;3;2;1993;;;;;;;;;
1180;10-12 Manufacture of food and beverages;3;2;1994;;;;;;;;;
1181;10-12 Manufacture of food and beverages;3;2;1995;;;;;;;;;
1182;10-12 Manufacture of food and beverages;3;2;1996;;;;;;;;;
1183;10-12 Manufacture of food and beverages;3;2;1997;;;;;;;;;
1184;10-12 Manufacture of food and beverages;3;2;1998;;;;;;;;;
1185;10-12 Manufacture of food and beverages;3;2;1999;;;;;;;;;
1186;10-12 Manufacture of food and beverages;3;2;2000;;;;;;;;;
1187;10-12 Manufacture of food and beverages;3;2;2001;;;;;;;;;
1188;10-12 Manufacture of food and beverages;3;2;2002;9147.0;48.0;23.0;112.0;0.0;6994.0;687.0;131.0;1152.0
1189;10-12 Manufacture of food and beverages;3;2;2003;8999.0;47.0;23.0;110.0;0.0;7157.0;686.0;53.0;923.0
1190;10-12 Manufacture of food and beverages;3;2;2004;7960.0;30.0;14.0;136.0;4.0;6428.0;304.0;89.0;954.0
1191;10-12 Manufacture of food and beverages;3;2;2005;7596.0;29.0;14.0;138.0;4.0;6275.0;284.0;86.0;766.0
1192;10-12 Manufacture of food and beverages;3;2;2006;7609.0;17.0;24.0;140.0;0.0;6444.0;234.0;86.0;664.0
1193;10-12 Manufacture of food and beverages;3;2;2007;7626.0;17.0;24.0;139.0;0.0;6435.0;233.0;86.0;693.0
1194;10-12 Manufacture of food and beverages;3;2;2008;7481.0;23.0;26.0;174.0;2.0;6266.0;231.0;102.0;658.0
1195;10-12 Manufacture of food and beverages;3;2;2009;;;;;;;;;
1196;10-12 Manufacture of food and beverages;3;2;2010;;;;;;;;;
1197;10-12 Manufacture of food and beverages;1;3;1990;;;;;;;;;
1198;10-12 Manufacture of food and beverages;1;3;1991;;;;;;;;;
1199;10-12 Manufacture of food and beverages;1;3;1992;;;;;;;;;
1200;10-12 Manufacture of food and beverages;1;3;1993;;;;;;;;;
1201;10-12 Manufacture of food and beverages;1;3;1994;;;;;;;;;
1202;10-12 Manufacture of food and beverages;1;3;1995;;;;;;;;;
1203;10-12 Manufacture of food and beverages;1;3;1996;;;;;;;;;
1204;10-12 Manufacture of food and beverages;1;3;1997;;;;;;;;;
1205;10-12 Manufacture of food and beverages;1;3;1998;;;;;;;;;
1206;10-12 Manufacture of food and beverages;1;3;1999;;;;;;;;;
1207;10-12 Manufacture of food and beverages;1;3;2000;;;;;;;;;
1208;10-12 Manufacture of food and beverages;1;3;2001;;;;;;;;;
1209;10-12 Manufacture of food and beverages;1;3;2002;3616.0;50.0;9.0;77.0;0.0;1510.0;687.0;131.0;1152.0
1210;10-12 Manufacture of food and beverages;1;3;2003;3204.0;49.0;4.0;86.0;0.0;1403.0;686.0;53.0;923.0
1211;10-12 Manufacture of food and beverages;1;3;2004;2418.0;33.0;2.0;103.0;4.0;929.0;304.0;89.0;954.0
1212;10-12 Manufacture of food and beverages;1;3;2005;2203.0;32.0;2.0;106.0;5.0;922.0;284.0;86.0;767.0
1213;10-12 Manufacture of food and beverages;1;3;2006;2354.0;20.0;4.0;94.0;0.0;1253.0;234.0;86.0;663.0
1214;10-12 Manufacture of food and beverages;1;3;2007;3589.0;20.0;5.0;105.0;1.0;2447.0;233.0;86.0;693.0
1215;10-12 Manufacture of food and beverages;1;3;2008;3623.0;25.0;4.0;128.0;2.0;2472.0;231.0;102.0;658.0
1216;10-12 Manufacture of food and beverages;1;3;2009;;;;;;;;;
1217;10-12 Manufacture of food and beverages;1;3;2010;;;;;;;;;
1218;10-12 Manufacture of food and beverages;1;1;1990;;;;;;;;;
1219;10-12 Manufacture of food and beverages;1;1;1991;;;;;;;;;
1220;10-12 Manufacture of food and beverages;1;1;1992;;;;;;;;;
1221;10-12 Manufacture of food and beverages;1;1;1993;;;;;;;;;
1222;10-12 Manufacture of food and beverages;1;1;1994;;;;;;;;;
1223;10-12 Manufacture of food and beverages;1;1;1995;;;;;;;;;
1224;10-12 Manufacture of food and beverages;1;1;1996;;;;;;;;;
1225;10-12 Manufacture of food and beverages;1;1;1997;;;;;;;;;
1226;10-12 Manufacture of food and beverages;1;1;1998;;;;;;;;;
1227;10-12 Manufacture of food and beverages;1;1;1999;;;;;;;;;
1228;10-12 Manufacture of food and beverages;1;1;2000;;;;;;;;;
1229;10-12 Manufacture of food and beverages;1;1;2001;;;;;;;;;
1230;10-12 Manufacture of food and beverages;1;1;2002;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1231;10-12 Manufacture of food and beverages;1;1;2003;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1232;10-12 Manufacture of food and beverages;1;1;2004;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
