ID;SectorBranches;Periods;VacancyIndicator_1
728;F Construction;2007 September;0.72
729;F Construction;2007 October;0.7
730;F Construction;2007 November;0.7
731;F Construction;2007 December;0.7
732;F Construction;2008 January;0.69
733;F Construction;2008 February;0.66
734;F Construction;2008 March;0.62
735;F Construction;2008 April;0.55
736;F Construction;2008 May;0.45
737;F Construction;2008 June;0.31
738;F Construction;2008 July;0.13
739;F Construction;2008 August;-0.09
740;F Construction;2008 September;-0.35
741;F Construction;2008 October;-0.62
742;F Construction;2008 November;-0.9
743;F Construction;2008 December;-1.18
744;F Construction;2009 January;-1.46
745;F Construction;2009 February;-1.72
746;F Construction;2009 March;-1.96
747;F Construction;2009 April;-2.15
748;F Construction;2009 May;-2.26
749;F Construction;2009 June;-2.3
750;F Construction;2009 July;-2.27
751;F Construction;2009 August;-2.17
752;F Construction;2009 September;-2.01
753;F Construction;2009 October;-1.8
754;F Construction;2009 November;-1.55
755;F Construction;2009 December;-1.27
756;F Construction;2010 January;-1.0
757;F Construction;2010 February;-0.78
758;F Construction;2010 March;-0.59
759;F Construction;2010 April;-0.45
760;F Construction;2010 May;-0.33
761;F Construction;2010 June;-0.23
762;F Construction;2010 July;-0.13
763;F Construction;2010 August;-0.02
764;F Construction;2010 September;0.07
765;F Construction;2010 October;0.15
766;F Construction;2010 November;0.2
767;F Construction;2010 December;0.2
768;F Construction;2011 January;0.17
769;F Construction;2011 February;0.14
770;F Construction;2011 March;0.1
771;F Construction;2011 April;0.06
772;F Construction;2011 May;0.01
773;F Construction;2011 June;-0.04
774;F Construction;2011 July;-0.11
775;F Construction;2011 August;-0.19
776;F Construction;2011 September;-0.28
777;F Construction;2011 October;-0.38
778;F Construction;2011 November;-0.47
779;F Construction;2011 December;-0.58
780;F Construction;2012 January;-0.7
781;F Construction;2012 February;-0.84
782;F Construction;2012 March;-0.99
783;F Construction;2012 April;-1.14
784;F Construction;2012 May;-1.27
785;F Construction;2012 June;-1.38
786;F Construction;2012 July;-1.47
787;F Construction;2012 August;-1.55
788;F Construction;2012 September;-1.6
789;F Construction;2012 October;-1.63
790;F Construction;2012 November;-1.64
791;F Construction;2012 December;-1.65
792;F Construction;2013 January;-1.63
793;F Construction;2013 February;-1.6
794;F Construction;2013 March;-1.54
795;F Construction;2013 April;-1.44
796;F Construction;2013 May;-1.3
797;F Construction;2013 June;-1.15
798;F Construction;2013 July;-0.97
799;F Construction;2013 August;-0.79
800;F Construction;2013 September;-0.61
801;F Construction;2013 October;-0.43
802;F Construction;2013 November;-0.25
803;F Construction;2013 December;-0.07
804;F Construction;2014 January;0.1
805;F Construction;2014 February;0.25
806;F Construction;2014 March;0.39
807;F Construction;2014 April;0.5
808;F Construction;2014 May;0.58
809;F Construction;2014 June;0.66
810;F Construction;2014 July;0.73
811;F Construction;2014 August;0.81
812;F Construction;2014 September;0.9
813;F Construction;2014 October;1.0
814;F Construction;2014 November;1.1
815;F Construction;2014 December;1.18
816;F Construction;2015 January;1.24
817;F Construction;2015 February;1.27
818;F Construction;2015 March;1.27
819;F Construction;2015 April;1.24
820;F Construction;2015 May;1.2
821;F Construction;2015 June;1.15
822;F Construction;2015 July;1.1
823;F Construction;2015 August;1.05
824;F Construction;2015 September;1.02
825;F Construction;2015 October;1.0
826;F Construction;2015 November;1.01
827;F Construction;2015 December;1.05
828;F Construction;2016 January;1.11
829;F Construction;2016 February;1.17
830;F Construction;2016 March;1.24
831;F Construction;2016 April;1.3
832;F Construction;2016 May;1.35
833;F Construction;2016 June;1.39
834;F Construction;2016 July;1.41
835;F Construction;2016 August;1.42
836;F Construction;2016 September;1.43
837;F Construction;2016 October;1.43
838;F Construction;2016 November;1.41
839;F Construction;2016 December;1.39
840;F Construction;2017 January;1.36
841;F Construction;2017 February;1.32
842;F Construction;2017 March;1.29
843;F Construction;2017 April;1.26
844;F Construction;2017 May;1.25
845;F Construction;2017 June;1.24
846;F Construction;2017 July;1.23
847;F Construction;2017 August;1.21
848;F Construction;2017 September;1.17
849;F Construction;2017 October;1.12
850;F Construction;2017 November;1.5
851;F Construction;2017 December;1.57
852;F Construction;2018 January;1.61
853;F Construction;2018 February;1.63
854;F Construction;2018 March;1.62
855;F Construction;2018 April;1.61
856;F Construction;2018 May;1.59
857;F Construction;2018 June;1.58
858;F Construction;2018 July;1.53
859;F Construction;2018 August;1.46
860;F Construction;2018 September;1.38
861;F Construction;2018 October;1.31
862;F Construction;2018 November;1.25
863;F Construction;2018 December;1.2
864;F Construction;2019 January;1.17
865;F Construction;2019 February;1.14
866;F Construction;2019 March;1.08
867;F Construction;2019 April;1.01
868;F Construction;2019 May;0.93
869;F Construction;2019 June;0.81
870;F Construction;2019 July;0.68
871;F Construction;2019 August;0.56
872;F Construction;2019 September;0.46
873;F Construction;2019 October;0.37
874;F Construction;2019 November;0.27
875;F Construction;2019 December;0.15
876;F Construction;2020 January;0.02
877;F Construction;2020 February;-0.14
878;F Construction;2020 March;-0.31
879;F Construction;2020 April;-0.47
880;F Construction;2020 May;-0.59
881;F Construction;2020 June;-0.68
882;F Construction;2020 July;-0.71
883;F Construction;2020 August;-0.68
884;F Construction;2020 September;-0.63
885;F Construction;2020 October;-0.55
886;F Construction;2020 November;-0.46
887;F Construction;2020 December;-0.35
888;F Construction;2021 January;-0.23
889;F Construction;2021 February;-0.1
890;F Construction;2021 March;0.05
891;F Construction;2021 April;0.19
892;F Construction;2021 May;0.33
893;F Construction;2021 June;0.43
894;F Construction;2021 July;0.5
895;F Construction;2021 August;0.57
896;F Construction;2021 September;0.62
897;F Construction;2021 October;0.65
898;F Construction;2021 November;0.68
899;F Construction;2021 December;0.69
900;F Construction;2022 January;0.68
901;F Construction;2022 February;0.66
902;F Construction;2022 March;0.63
903;F Construction;2022 April;0.58
904;F Construction;2022 May;0.52
905;F Construction;2022 June;0.46
906;F Construction;2022 July;0.38
907;F Construction;2022 August;0.29
908;F Construction;2022 September;0.18
909;F Construction;2022 October;0.08
910;F Construction;2022 November;-0.01
911;F Construction;2022 December;-0.09
912;F Construction;2023 January;-0.15
913;F Construction;2023 February;-0.19
914;F Construction;2023 March;-0.23
915;F Construction;2023 April;-0.26
916;F Construction;2023 May;-0.29
917;F Construction;2023 June;-0.32
918;G-N Commercial services;1998 January;
919;G-N Commercial services;1998 February;
920;G-N Commercial services;1998 March;
921;G-N Commercial services;1998 April;
922;G-N Commercial services;1998 May;
923;G-N Commercial services;1998 June;
924;G-N Commercial services;1998 July;
925;G-N Commercial services;1998 August;
926;G-N Commercial services;1998 September;
927;G-N Commercial services;1998 October;
928;G-N Commercial services;1998 November;
929;G-N Commercial services;1998 December;
930;G-N Commercial services;1999 January;0.79
931;G-N Commercial services;1999 February;0.67
932;G-N Commercial services;1999 March;0.56
933;G-N Commercial services;1999 April;0.47
934;G-N Commercial services;1999 May;0.46
935;G-N Commercial services;1999 June;0.54
936;G-N Commercial services;1999 July;0.67
937;G-N Commercial services;1999 August;0.8
938;G-N Commercial services;1999 September;0.87
939;G-N Commercial services;1999 October;0.88
940;G-N Commercial services;1999 November;0.84
941;G-N Commercial services;1999 December;0.76
942;G-N Commercial services;2000 January;0.67
943;G-N Commercial services;2000 February;0.6
944;G-N Commercial services;2000 March;0.55
945;G-N Commercial services;2000 April;0.52
946;G-N Commercial services;2000 May;0.49
947;G-N Commercial services;2000 June;0.48
948;G-N Commercial services;2000 July;0.47
949;G-N Commercial services;2000 August;0.5
950;G-N Commercial services;2000 September;0.54
951;G-N Commercial services;2000 October;0.59
952;G-N Commercial services;2000 November;0.61
953;G-N Commercial services;2000 December;0.6
954;G-N Commercial services;2001 January;0.56
955;G-N Commercial services;2001 February;0.48
956;G-N Commercial services;2001 March;0.34
957;G-N Commercial services;2001 April;0.16
958;G-N Commercial services;2001 May;0.01
959;G-N Commercial services;2001 June;-0.11
960;G-N Commercial services;2001 July;-0.21
961;G-N Commercial services;2001 August;-0.27
962;G-N Commercial services;2001 September;-0.3
963;G-N Commercial services;2001 October;-0.32
964;G-N Commercial services;2001 November;-0.33
965;G-N Commercial services;2001 December;-0.36
966;G-N Commercial services;2002 January;-0.38
967;G-N Commercial services;2002 February;-0.39
968;G-N Commercial services;2002 March;-0.39
969;G-N Commercial services;2002 April;-0.38
970;G-N Commercial services;2002 May;-0.4
971;G-N Commercial services;2002 June;-0.46
972;G-N Commercial services;2002 July;-0.56
973;G-N Commercial services;2002 August;-0.67
974;G-N Commercial services;2002 September;-0.79
975;G-N Commercial services;2002 October;-0.89
976;G-N Commercial services;2002 November;-0.96
977;G-N Commercial services;2002 December;-1.01
978;G-N Commercial services;2003 January;-1.05
979;G-N Commercial services;2003 February;-1.11
980;G-N Commercial services;2003 March;-1.2
981;G-N Commercial services;2003 April;-1.32
982;G-N Commercial services;2003 May;-1.39
983;G-N Commercial services;2003 June;-1.42
984;G-N Commercial services;2003 July;-1.42
985;G-N Commercial services;2003 August;-1.4
986;G-N Commercial services;2003 September;-1.38
987;G-N Commercial services;2003 October;-1.36
988;G-N Commercial services;2003 November;-1.32
989;G-N Commercial services;2003 December;-1.27
990;G-N Commercial services;2004 January;-1.19
991;G-N Commercial services;2004 February;-1.09
992;G-N Commercial services;2004 March;-0.97
993;G-N Commercial services;2004 April;-0.82
994;G-N Commercial services;2004 May;-0.67
995;G-N Commercial services;2004 June;-0.5
996;G-N Commercial services;2004 July;-0.33
997;G-N Commercial services;2004 August;-0.2
998;G-N Commercial services;2004 September;-0.12
999;G-N Commercial services;2004 October;-0.06
1000;G-N Commercial services;2004 November;-0.01
1001;G-N Commercial services;2004 December;0.04
1002;G-N Commercial services;2005 January;0.09
1003;G-N Commercial services;2005 February;0.16
1004;G-N Commercial services;2005 March;0.26
1005;G-N Commercial services;2005 April;0.37
1006;G-N Commercial services;2005 May;0.47
1007;G-N Commercial services;2005 June;0.55
1008;G-N Commercial services;2005 July;0.61
1009;G-N Commercial services;2005 August;0.66
1010;G-N Commercial services;2005 September;0.73
1011;G-N Commercial services;2005 October;0.82
1012;G-N Commercial services;2005 November;0.9
1013;G-N Commercial services;2005 December;0.97
1014;G-N Commercial services;2006 January;1.04
1015;G-N Commercial services;2006 February;1.11
1016;G-N Commercial services;2006 March;1.17
1017;G-N Commercial services;2006 April;1.2
1018;G-N Commercial services;2006 May;1.17
1019;G-N Commercial services;2006 June;1.11
1020;G-N Commercial services;2006 July;1.02
1021;G-N Commercial services;2006 August;0.96
1022;G-N Commercial services;2006 September;0.98
1023;G-N Commercial services;2006 October;1.06
1024;G-N Commercial services;2006 November;1.15
1025;G-N Commercial services;2006 December;1.22
1026;G-N Commercial services;2007 January;1.26
1027;G-N Commercial services;2007 February;1.28
1028;G-N Commercial services;2007 March;1.27
1029;G-N Commercial services;2007 April;1.22
1030;G-N Commercial services;2007 May;1.14
1031;G-N Commercial services;2007 June;1.07
1032;G-N Commercial services;2007 July;1.02
1033;G-N Commercial services;2007 August;0.96
1034;G-N Commercial services;2007 September;0.89
1035;G-N Commercial services;2007 October;0.83
1036;G-N Commercial services;2007 November;0.8
1037;G-N Commercial services;2007 December;0.79
1038;G-N Commercial services;2008 January;0.79
1039;G-N Commercial services;2008 February;0.75
1040;G-N Commercial services;2008 March;0.64
1041;G-N Commercial services;2008 April;0.5
1042;G-N Commercial services;2008 May;0.37
1043;G-N Commercial services;2008 June;0.23
1044;G-N Commercial services;2008 July;0.07
1045;G-N Commercial services;2008 August;-0.14
1046;G-N Commercial services;2008 September;-0.4
1047;G-N Commercial services;2008 October;-0.72
1048;G-N Commercial services;2008 November;-1.1
1049;G-N Commercial services;2008 December;-1.48
1050;G-N Commercial services;2009 January;-1.82
1051;G-N Commercial services;2009 February;-2.09
1052;G-N Commercial services;2009 March;-2.26
1053;G-N Commercial services;2009 April;-2.33
1054;G-N Commercial services;2009 May;-2.29
1055;G-N Commercial services;2009 June;-2.16
1056;G-N Commercial services;2009 July;-1.96
1057;G-N Commercial services;2009 August;-1.74
1058;G-N Commercial services;2009 September;-1.52
1059;G-N Commercial services;2009 October;-1.34
1060;G-N Commercial services;2009 November;-1.19
1061;G-N Commercial services;2009 December;-1.03
1062;G-N Commercial services;2010 January;-0.84
1063;G-N Commercial services;2010 February;-0.65
1064;G-N Commercial services;2010 March;-0.48
1065;G-N Commercial services;2010 April;-0.32
1066;G-N Commercial services;2010 May;-0.21
1067;G-N Commercial services;2010 June;-0.15
1068;G-N Commercial services;2010 July;-0.12
1069;G-N Commercial services;2010 August;-0.07
1070;G-N Commercial services;2010 September;-0.01
1071;G-N Commercial services;2010 October;0.06
1072;G-N Commercial services;2010 November;0.12
1073;G-N Commercial services;2010 December;0.15
1074;G-N Commercial services;2011 January;0.17
1075;G-N Commercial services;2011 February;0.15
1076;G-N Commercial services;2011 March;0.1
1077;G-N Commercial services;2011 April;0.0
1078;G-N Commercial services;2011 May;-0.12
1079;G-N Commercial services;2011 June;-0.24
1080;G-N Commercial services;2011 July;-0.33
1081;G-N Commercial services;2011 August;-0.41
1082;G-N Commercial services;2011 September;-0.47
1083;G-N Commercial services;2011 October;-0.5
1084;G-N Commercial services;2011 November;-0.5
1085;G-N Commercial services;2011 December;-0.52
1086;G-N Commercial services;2012 January;-0.53
1087;G-N Commercial services;2012 February;-0.56
1088;G-N Commercial services;2012 March;-0.58
1089;G-N Commercial services;2012 April;-0.61
1090;G-N Commercial services;2012 May;-0.65
1091;G-N Commercial services;2012 June;-0.71
1092;G-N Commercial services;2012 July;-0.8
1093;G-N Commercial services;2012 August;-0.89
1094;G-N Commercial services;2012 September;-0.96
1095;G-N Commercial services;2012 October;-1.01
1096;G-N Commercial services;2012 November;-1.03
1097;G-N Commercial services;2012 December;-1.04
1098;G-N Commercial services;2013 January;-1.05
1099;G-N Commercial services;2013 February;-1.05
1100;G-N Commercial services;2013 March;-1.03
1101;G-N Commercial services;2013 April;-0.99
1102;G-N Commercial services;2013 May;-0.92
1103;G-N Commercial services;2013 June;-0.84
1104;G-N Commercial services;2013 July;-0.76
1105;G-N Commercial services;2013 August;-0.68
1106;G-N Commercial services;2013 September;-0.6
1107;G-N Commercial services;2013 October;-0.54
1108;G-N Commercial services;2013 November;-0.48
1109;G-N Commercial services;2013 December;-0.42
1110;G-N Commercial services;2014 January;-0.35
1111;G-N Commercial services;2014 February;-0.26
1112;G-N Commercial services;2014 March;-0.18
1113;G-N Commercial services;2014 April;-0.1
1114;G-N Commercial services;2014 May;-0.05
1115;G-N Commercial services;2014 June;-0.04
1116;G-N Commercial services;2014 July;-0.05
1117;G-N Commercial services;2014 August;-0.05
1118;G-N Commercial services;2014 September;-0.04
1119;G-N Commercial services;2014 October;0.0
1120;G-N Commercial services;2014 November;0.05
1121;G-N Commercial services;2014 December;0.12
1122;G-N Commercial services;2015 January;0.17
1123;G-N Commercial services;2015 February;0.18
1124;G-N Commercial services;2015 March;0.17
1125;G-N Commercial services;2015 April;0.14
1126;G-N Commercial services;2015 May;0.15
1127;G-N Commercial services;2015 June;0.17
1128;G-N Commercial services;2015 July;0.21
1129;G-N Commercial services;2015 August;0.26
1130;G-N Commercial services;2015 September;0.3
1131;G-N Commercial services;2015 October;0.32
1132;G-N Commercial services;2015 November;0.32
1133;G-N Commercial services;2015 December;0.31
1134;G-N Commercial services;2016 January;0.33
1135;G-N Commercial services;2016 February;0.35
1136;G-N Commercial services;2016 March;0.37
1137;G-N Commercial services;2016 April;0.39
1138;G-N Commercial services;2016 May;0.4
1139;G-N Commercial services;2016 June;0.41
1140;G-N Commercial services;2016 July;0.41
1141;G-N Commercial services;2016 August;0.39
1142;G-N Commercial services;2016 September;0.38
1143;G-N Commercial services;2016 October;0.36
1144;G-N Commercial services;2016 November;0.35
1145;G-N Commercial services;2016 December;0.36
1146;G-N Commercial services;2017 January;0.39
1147;G-N Commercial services;2017 February;0.42
1148;G-N Commercial services;2017 March;0.45
1149;G-N Commercial services;2017 April;0.48
1150;G-N Commercial services;2017 May;0.5
1151;G-N Commercial services;2017 June;0.53
1152;G-N Commercial services;2017 July;0.57
1153;G-N Commercial services;2017 August;0.6
1154;G-N Commercial services;2017 September;0.63
1155;G-N Commercial services;2017 October;0.66
1156;G-N Commercial services;2017 November;0.68
1157;G-N Commercial services;2017 December;0.71
1158;G-N Commercial services;2018 January;0.73
1159;G-N Commercial services;2018 February;0.72
1160;G-N Commercial services;2018 March;0.72
1161;G-N Commercial services;2018 April;0.72
1162;G-N Commercial services;2018 May;0.72
1163;G-N Commercial services;2018 June;0.71
1164;G-N Commercial services;2018 July;0.7
1165;G-N Commercial services;2018 August;0.66
1166;G-N Commercial services;2018 September;0.62
1167;G-N Commercial services;2018 October;0.59
1168;G-N Commercial services;2018 November;0.56
1169;G-N Commercial services;2018 December;0.54
1170;G-N Commercial services;2019 January;0.53
1171;G-N Commercial services;2019 February;0.51
1172;G-N Commercial services;2019 March;0.48
1173;G-N Commercial services;2019 April;0.45
1174;G-N Commercial services;2019 May;0.42
1175;G-N Commercial services;2019 June;0.38
1176;G-N Commercial services;2019 July;0.34
1177;G-N Commercial services;2019 August;0.31
1178;G-N Commercial services;2019 September;0.28
1179;G-N Commercial services;2019 October;0.25
1180;G-N Commercial services;2019 November;0.27
1181;G-N Commercial services;2019 December;0.23
1182;G-N Commercial services;2020 January;0.08
1183;G-N Commercial services;2020 February;-0.15
1184;G-N Commercial services;2020 March;-0.47
1185;G-N Commercial services;2020 April;-0.88
1186;G-N Commercial services;2020 May;-1.12
1187;G-N Commercial services;2020 June;-1.18
1188;G-N Commercial services;2020 July;-1.09
1189;G-N Commercial services;2020 August;-0.9
1190;G-N Commercial services;2020 September;-0.72
1191;G-N Commercial services;2020 October;-0.57
1192;G-N Commercial services;2020 November;-0.42
1193;G-N Commercial services;2020 December;-0.29
1194;G-N Commercial services;2021 January;-0.15
1195;G-N Commercial services;2021 February;0.02
1196;G-N Commercial services;2021 March;0.2
1197;G-N Commercial services;2021 April;0.39
1198;G-N Commercial services;2021 May;0.56
1199;G-N Commercial services;2021 June;0.69
1200;G-N Commercial services;2021 July;0.76
1201;G-N Commercial services;2021 August;0.8
1202;G-N Commercial services;2021 September;0.79
1203;G-N Commercial services;2021 October;0.78
1204;G-N Commercial services;2021 November;0.76
1205;G-N Commercial services;2021 December;0.73
1206;G-N Commercial services;2022 January;0.7
1207;G-N Commercial services;2022 February;0.7
1208;G-N Commercial services;2022 March;0.7
1209;G-N Commercial services;2022 April;0.71
1210;G-N Commercial services;2022 May;0.69
1211;G-N Commercial services;2022 June;0.64
1212;G-N Commercial services;2022 July;0.57
1213;G-N Commercial services;2022 August;0.46
1214;G-N Commercial services;2022 September;0.36
1215;G-N Commercial services;2022 October;0.3
1216;G-N Commercial services;2022 November;0.27
1217;G-N Commercial services;2022 December;0.27
1218;G-N Commercial services;2023 January;0.29
1219;G-N Commercial services;2023 February;0.3
1220;G-N Commercial services;2023 March;0.28
1221;G-N Commercial services;2023 April;0.23
1222;G-N Commercial services;2023 May;0.14
1223;G-N Commercial services;2023 June;0.03
