ID;AfzetInvoerEnVerbruik;ProductenPRODCOM;Perioden;ProducentenprijsindexPPI_1;MaandmutatiePPI_2;JaarmutatiePPI_3
234;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 januari;;;
235;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 februari;;;
236;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 maart;;;
237;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 april;;;
238;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 mei;;;
239;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 juni;;;
240;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 juli;;;
241;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 augustus;;;
242;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 september;;;
243;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 oktober;;;
244;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 november;;;
245;Totaal afzetprijzen;05 Steenkool en bruinkool;2018 december;;;
246;Totaal afzetprijzen;05 Steenkool en bruinkool;2018;;;
247;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 januari;;;
248;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 februari;;;
249;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 maart;;;
250;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 april;;;
251;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 mei;;;
252;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 juni;;;
253;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 juli;;;
254;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 augustus;;;
255;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 september;;;
256;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 oktober;;;
257;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 november;;;
258;Totaal afzetprijzen;05 Steenkool en bruinkool;2019 december;;;
259;Totaal afzetprijzen;05 Steenkool en bruinkool;2019;;;
260;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 januari;;;
261;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 februari;;;
262;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 maart;;;
263;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 april;;;
264;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 mei;;;
265;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 juni;;;
266;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 juli;;;
