ID;RegioS;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;GeldigeStemmen_4;AVD_5;CDA_6;CU_7;D66_8;Conserv_9;DN_10;GL_11;LN_12;LPF_13;Veldhoen_14;NCPN_15;PvdA_16;PvdT_17;PvdD_18;Ratelband_19;SGP_20;SP_21;VIP_22;VVD_23;AVD_24;CDA_25;CU_26;D66_27;Conserv_28;DN_29;GL_30;LN_31;LPF_32;Veldhoen_33;NCPN_34;PvdA_35;PvdT_36;PvdD_37;Ratelband_38;SGP_39;SP_40;VIP_41;VVD_42;LandsdeelCode_43;ProvincieCode_44;KamerkieskringCode_45;CoropCode_46;GemeenteCode_47
88;Cuijk;17985;80.8;14535;14522;2.0;4914;28;484;2.0;49.0;681;73;795;;5;3910;26;69.0;8;6;1263;2.0;2205;0.0;33.8;0.2;3.3;0.0;0.3;4.7;0.5;5.5;;0.0;26.9;0.2;0.5;0.1;0.0;8.7;0.0;15.2;4;30;00;35;1684
89;Culemborg;18608;81.0;15074;15059;;3521;180;676;;12.0;1017;58;947;;6;4196;33;74.0;15;115;1165;;3044;;23.4;1.2;4.5;;0.1;6.8;0.4;6.3;;0.0;27.9;0.2;0.5;0.1;0.8;7.7;;20.2;2;25;00;16;0216
90;Dalfsen;19562;88.4;17288;17275;;8497;1349;366;3.0;;424;38;485;;2;3234;18;;10;254;550;;2045;;49.2;7.8;2.1;0.0;;2.5;0.2;2.8;;0.0;18.7;0.1;;0.1;1.5;3.2;;11.8;2;23;00;10;0148
91;Dantumadeel;14711;83.8;12331;12325;1.0;5226;818;203;;0.0;357;77;420;;5;3316;9;25.0;3;563;526;;776;0.0;42.4;6.6;1.6;;0.0;2.9;0.6;3.4;;0.0;26.9;0.1;0.2;0.0;4.6;4.3;;6.3;1;21;00;04;0065
92;Delft;72545;81.1;58837;58676;13.0;11629;971;4012;31.0;144.0;5029;224;3834;7.0;33;17275;52;371.0;81;299;4233;18.0;10420;0.0;19.8;1.7;6.8;0.1;0.2;8.6;0.4;6.5;0.0;0.1;29.4;0.1;0.6;0.1;0.5;7.2;0.0;17.8;3;28;00;27;0503
93;Delfzijl;22204;77.5;17209;17200;1.0;3918;566;443;;10.0;534;69;738;;20;7598;15;80.0;13;19;933;;2243;0.0;22.8;3.3;2.6;;0.1;3.1;0.4;4.3;;0.1;44.2;0.1;0.5;0.1;0.1;5.4;;13.0;1;20;00;02;0010
94;Den Helder;45725;74.0;33846;33824;6.0;7794;755;1262;;8.0;1350;212;2472;;11;9209;51;272.0;35;146;1427;;8814;0.0;23.0;2.2;3.7;;0.0;4.0;0.6;7.3;;0.0;27.2;0.2;0.8;0.1;0.4;4.2;;26.1;3;27;00;18;0400
95;Deurne;24078;80.4;19351;19325;4.0;8804;48;488;6.0;3.0;652;120;985;;2;3785;56;77.0;6;13;1413;1.0;2862;0.0;45.6;0.2;2.5;0.0;0.0;3.4;0.6;5.1;;0.0;19.6;0.3;0.4;0.0;0.1;7.3;0.0;14.8;4;30;00;36;0762
96;Deventer;64415;80.6;51930;51892;;10947;777;2435;19.0;;3811;202;1869;;24;19991;62;;31;65;3545;;8114;;21.1;1.5;4.7;0.0;;7.3;0.4;3.6;;0.0;38.5;0.1;;0.1;0.1;6.8;;15.6;2;23;00;11;0150
97;Didam;12815;81.9;10490;10485;1.0;4413;30;244;1.0;1.0;327;47;544;;0;2932;11;44.0;11;3;513;;1363;0.0;42.1;0.3;2.3;0.0;0.0;3.1;0.4;5.2;;0.0;28.0;0.1;0.4;0.1;0.0;4.9;;13.0;2;25;00;15;0218
98;Diemen;17646;78.5;13849;13833;1.0;2368;119;797;3.0;10.0;930;87;1105;;11;4175;20;86.0;18;9;915;;3179;0.0;17.1;0.9;5.8;0.0;0.1;6.7;0.6;8.0;;0.1;30.2;0.1;0.6;0.1;0.1;6.6;;23.0;3;27;10;23;0384
99;Dinkelland;19229;89.0;17123;17117;;11008;35;282;5.0;;355;35;431;;5;2436;22;;5;1;434;;2063;;64.3;0.2;1.6;0.0;;2.1;0.2;2.5;;0.0;14.2;0.1;;0.0;0.0;2.5;;12.1;2;23;00;12;1774
100;Dinxperlo;6410;79.6;5105;5104;0.0;2393;66;97;0.0;2.0;148;14;157;;0;1385;8;16.0;5;3;229;;581;0.0;46.9;1.3;1.9;0.0;0.0;2.9;0.3;3.1;;0.0;27.1;0.2;0.3;0.1;0.1;4.5;;11.4;2;25;00;14;0219
101;Dirksland;6158;85.4;5257;5253;1.0;1481;237;95;0.0;0.0;87;20;341;0.0;2;1056;4;41.0;0;997;195;0.0;696;0.0;28.2;4.5;1.8;0.0;0.0;1.7;0.4;6.5;0.0;0.0;20.1;0.1;0.8;0.0;19.0;3.7;0.0;13.2;3;28;00;29;0504
102;Doesburg;8463;80.8;6837;6818;2.0;1537;88;282;0.0;5.0;262;23;302;;1;2332;16;36.0;6;13;867;;1046;0.0;22.5;1.3;4.1;0.0;0.1;3.8;0.3;4.4;;0.0;34.2;0.2;0.5;0.1;0.2;12.7;;15.3;2;25;00;15;0221
103;Doetinchem;36754;80.8;29686;29668;1.0;8235;411;1103;6.0;28.0;1596;108;1110;;6;9733;44;139.0;23;238;1818;;5069;0.0;27.8;1.4;3.7;0.0;0.1;5.4;0.4;3.7;;0.0;32.8;0.1;0.5;0.1;0.8;6.1;;17.1;2;25;00;14;0222
104;Dongen;18672;80.1;14962;14939;2.0;5109;92;555;9.0;4.0;539;75;719;;8;3608;30;63.0;14;29;1572;1.0;2510;0.0;34.2;0.6;3.7;0.1;0.0;3.6;0.5;4.8;;0.1;24.2;0.2;0.4;0.1;0.2;10.5;0.0;16.8;4;30;00;34;0766
105;Dongeradeel;18353;84.9;15583;15573;1.0;7962;743;264;;1.0;553;76;518;;2;3358;16;50.0;11;84;742;;1192;0.0;51.1;4.8;1.7;;0.0;3.6;0.5;3.3;;0.0;21.6;0.1;0.3;0.1;0.5;4.8;;7.7;1;21;00;04;0058
106;Doorn;7890;84.5;6666;6665;0.0;2016;123;363;0.0;0.0;358;4;256;;0;1229;2;33.0;8;174;256;0.0;1843;0.0;30.2;1.8;5.4;0.0;0.0;5.4;0.1;3.8;;0.0;18.4;0.0;0.5;0.1;2.6;3.8;0.0;27.7;3;26;00;17;0315
107;Dordrecht;88071;75.0;66070;65978;8.0;14432;1797;2656;51.0;212.0;3358;265;5270;14.0;32;19765;68;422.0;97;1557;4179;23.0;11772;0.0;21.9;2.7;4.0;0.1;0.3;5.1;0.4;8.0;0.0;0.0;30.0;0.1;0.6;0.1;2.4;6.3;0.0;17.8;3;28;15;30;0505
108;Drechterland;7483;86.2;6454;6450;2.0;2453;29;210;;1.0;291;38;414;;2;1233;12;28.0;7;7;298;;1425;0.0;38.0;0.4;3.3;;0.0;4.5;0.6;6.4;;0.0;19.1;0.2;0.4;0.1;0.1;4.6;;22.1;3;27;00;18;0498
109;Driebergen-Rijsenburg;13955;86.0;11996;11967;1.0;3350;303;686;2.0;14.0;954;38;464;;4;2514;9;57.0;6;325;572;2.0;2666;0.0;28.0;2.5;5.7;0.0;0.1;8.0;0.3;3.9;;0.0;21.0;0.1;0.5;0.1;2.7;4.8;0.0;22.3;3;26;00;17;0316
110;Drimmelen;20390;81.0;16520;16497;8.0;5670;65;601;9.0;2.0;548;76;957;;6;4180;48;69.0;26;16;1063;0.0;3153;0.0;34.4;0.4;3.6;0.1;0.0;3.3;0.5;5.8;;0.0;25.3;0.3;0.4;0.2;0.1;6.4;0.0;19.1;4;30;00;33;1719
111;Dronten;25919;84.1;21785;21772;3.0;8035;968;686;;12.0;877;99;1131;;12;4077;16;83.0;18;101;886;;4768;0.0;36.9;4.4;3.2;;0.1;4.0;0.5;5.2;;0.1;18.7;0.1;0.4;0.1;0.5;4.1;;21.9;2;24;00;40;0303
112;Druten;12947;81.8;10597;10594;;3506;14;372;;3.0;434;39;488;;4;3199;14;37.0;2;6;699;;1777;;33.1;0.1;3.5;;0.0;4.1;0.4;4.6;;0.0;30.2;0.1;0.3;0.0;0.1;6.6;;16.8;2;25;00;15;0225
113;Duiven;18541;83.9;15555;15547;0.0;4953;144;606;4.0;4.0;644;76;725;;2;4145;19;82.0;16;12;844;;3271;0.0;31.9;0.9;3.9;0.0;0.0;4.1;0.5;4.7;;0.0;26.7;0.1;0.5;0.1;0.1;5.4;;21.0;2;25;00;15;0226
114;Echt-Susteren;24854;77.6;19279;19262;;8096;49;458;2.0;3.0;726;79;942;;9;5176;19;163.0;20;8;1143;;2369;;42.0;0.3;2.4;0.0;0.0;3.8;0.4;4.9;;0.0;26.9;0.1;0.8;0.1;0.0;5.9;;12.3;4;31;00;38;1711
115;Edam-Volendam;21228;82.7;17548;17543;3.0;7757;90;462;;6.0;520;78;1926;;9;2392;16;71.0;30;9;595;;3579;0.0;44.2;0.5;2.6;;0.0;3.0;0.4;11.0;;0.1;13.6;0.1;0.4;0.2;0.1;3.4;;20.4;3;27;00;23;0385
116;Ede;76147;85.5;65123;65062;13.0;23170;3978;1934;16.0;26.0;2796;167;2563;;11;10988;54;192.0;44;6054;2301;;10755;0.0;35.6;6.1;3.0;0.0;0.0;4.3;0.3;3.9;;0.0;16.9;0.1;0.3;0.1;9.3;3.5;;16.5;2;25;00;13;0228
117;Eemnes;6301;88.9;5600;5591;0.0;1724;92;319;0.0;0.0;273;15;265;;1;1071;8;32.0;13;36;265;0.0;1477;0.0;30.8;1.6;5.7;0.0;0.0;4.9;0.3;4.7;;0.0;19.2;0.1;0.6;0.2;0.6;4.7;0.0;26.4;3;26;00;17;0317
118;Eemsmond;12771;84.4;10775;10767;2.0;2944;901;225;;0.0;419;32;300;;14;3971;36;48.0;9;55;645;;1166;0.0;27.3;8.4;2.1;;0.0;3.9;0.3;2.8;;0.1;36.9;0.3;0.4;0.1;0.5;6.0;;10.8;1;20;00;03;1651
119;Eersel;13636;84.7;11553;11542;3.0;5402;32;406;4.0;1.0;368;75;542;;3;1801;29;40.0;5;1;717;1.0;2112;0.0;46.8;0.3;3.5;0.0;0.0;3.2;0.6;4.7;;0.0;15.6;0.3;0.3;0.0;0.0;6.2;0.0;18.3;4;30;00;36;0770
120;Eibergen;12555;87.4;10971;10964;1.0;5045;48;267;5.0;1.0;401;39;360;;6;2802;16;49.0;7;9;550;;1358;0.0;46.0;0.4;2.4;0.0;0.0;3.7;0.4;3.3;;0.1;25.6;0.1;0.4;0.1;0.1;5.0;;12.4;2;25;00;14;0229
121;Eijsden;8969;83.0;7440;7434;;3208;7;200;3.0;1.0;319;20;298;;3;1935;8;32.0;11;4;349;;1036;;43.2;0.1;2.7;0.0;0.0;4.3;0.3;4.0;;0.0;26.0;0.1;0.4;0.1;0.1;4.7;;13.9;4;31;00;39;0905
122;Eindhoven;155809;74.5;116077;115914;20.0;29476;1034;5641;46.0;189.0;7202;519;6818;;45;31424;564;629.0;66;96;11806;19.0;20320;0.0;25.4;0.9;4.9;0.0;0.2;6.2;0.4;5.9;;0.0;27.1;0.5;0.5;0.1;0.1;10.2;0.0;17.5;4;30;19;36;0772
123;Elburg;16005;87.0;13923;13913;1.0;5863;1408;200;1.0;1.0;270;30;440;;3;1904;14;34.0;10;1719;345;;1670;0.0;42.1;10.1;1.4;0.0;0.0;1.9;0.2;3.2;;0.0;13.7;0.1;0.2;0.1;12.4;2.5;;12.0;2;25;00;13;0230
124;Emmen;83033;78.6;65299;65249;;16715;1246;1789;10.0;10.0;2266;232;2344;;33;29063;106;236.0;53;79;3798;;7269;;25.6;1.9;2.7;0.0;0.0;3.5;0.4;3.6;;0.1;44.5;0.2;0.4;0.1;0.1;5.8;;11.1;1;22;00;08;0114
125;Enkhuizen;12883;81.5;10500;10484;1.0;2385;163;457;;8.0;565;51;562;;2;3158;9;63.0;9;140;711;;2200;0.0;22.7;1.6;4.4;;0.1;5.4;0.5;5.4;;0.0;30.1;0.1;0.6;0.1;1.3;6.8;;21.0;3;27;00;18;0388
126;Enschede;113325;76.6;86834;86723;;19174;2646;3592;29.0;;4936;282;3316;;84;33106;143;;74;146;5650;;13545;;22.1;3.1;4.1;0.0;;5.7;0.3;3.8;;0.1;38.2;0.2;;0.1;0.2;6.5;;15.6;2;23;04;12;0153
127;Epe;25788;83.6;21561;21554;0.0;6883;538;600;9.0;6.0;711;82;936;;7;6166;27;132.0;15;612;725;;4105;0.0;31.9;2.5;2.8;0.0;0.0;3.3;0.4;4.3;;0.0;28.6;0.1;0.6;0.1;2.8;3.4;;19.0;2;25;00;13;0232
128;Ermelo;19765;85.3;16866;16853;3.0;7605;1311;419;2.0;4.0;652;31;657;;1;2069;12;69.0;6;713;653;;2646;0.0;45.1;7.8;2.5;0.0;0.0;3.9;0.2;3.9;;0.0;12.3;0.1;0.4;0.0;4.2;3.9;;15.7;2;25;00;13;0233
129;Etten-Leur;29270;76.6;22422;22394;5.0;6876;114;883;8.0;35.0;947;106;1291;;6;5839;54;76.0;29;15;1474;2.0;4634;0.0;30.7;0.5;3.9;0.0;0.2;4.2;0.5;5.8;;0.0;26.1;0.2;0.3;0.1;0.1;6.6;0.0;20.7;4;30;00;33;0777
130;Ferwerderadiel;6777;83.8;5676;5672;2.0;2654;248;97;;1.0;210;35;235;;1;1263;6;26.0;4;12;300;;578;0.0;46.8;4.4;1.7;;0.0;3.7;0.6;4.1;;0.0;22.3;0.1;0.5;0.1;0.2;5.3;;10.2;1;21;00;04;1722
131;Franekeradeel;15530;81.5;12655;12648;3.0;4528;351;296;;1.0;509;65;449;;9;4087;31;48.0;18;24;720;;1509;0.0;35.8;2.8;2.3;;0.0;4.0;0.5;3.5;;0.1;32.3;0.2;0.4;0.1;0.2;5.7;;11.9;1;21;00;04;0070
132;Gaasterlân-Sleat;7740;87.1;6742;6738;1.0;3100;133;151;;0.0;277;99;284;;3;1289;8;39.0;3;107;301;;943;0.0;46.0;2.0;2.2;;0.0;4.1;1.5;4.2;;0.0;19.1;0.1;0.6;0.0;1.6;4.5;;14.0;1;21;00;05;0653
133;Geertruidenberg;16282;76.7;12488;12473;1.0;3737;35;392;5.0;4.0;440;80;735;;5;3629;29;61.0;18;29;903;1.0;2369;0.0;30.0;0.3;3.1;0.0;0.0;3.5;0.6;5.9;;0.0;29.1;0.2;0.5;0.1;0.2;7.2;0.0;19.0;4;30;00;33;0779
134;Geldermalsen;18787;86.3;16221;16208;;5123;214;492;;0.0;502;66;992;;4;3659;29;69.0;12;1207;567;;3272;;31.6;1.3;3.0;;0.0;3.1;0.4;6.1;;0.0;22.6;0.2;0.4;0.1;7.4;3.5;;20.2;2;25;00;16;0236
135;Geldrop;21150;78.9;16681;16661;0.0;5389;139;658;4.0;7.0;849;105;1064;;4;3875;67;77.0;22;11;1509;0.0;2881;0.0;32.3;0.8;3.9;0.0;0.0;5.1;0.6;6.4;;0.0;23.3;0.4;0.5;0.1;0.1;9.1;0.0;17.3;4;30;19;36;0781
136;Gemert-Bakel;20888;79.2;16552;16530;4.0;7275;23;367;8.0;2.0;481;79;858;;6;3510;63;69.0;12;7;1371;3.0;2392;0.0;44.0;0.1;2.2;0.0;0.0;2.9;0.5;5.2;;0.0;21.2;0.4;0.4;0.1;0.0;8.3;0.0;14.5;4;30;00;36;1652
137;Gendringen;15600;81.3;12686;12678;3.0;5730;47;250;2.0;10.0;401;37;487;;3;3449;27;40.0;11;6;667;;1508;0.0;45.2;0.4;2.0;0.0;0.1;3.2;0.3;3.8;;0.0;27.2;0.2;0.3;0.1;0.0;5.3;;11.9;2;25;00;14;0237
138;Gennep;12748;75.9;9670;9653;;3748;28;382;1.0;6.0;392;38;509;;1;2412;19;25.0;5;6;729;;1352;;38.8;0.3;4.0;0.0;0.1;4.1;0.4;5.3;;0.0;25.0;0.2;0.3;0.1;0.1;7.6;;14.0;4;31;00;37;0907
139;Giessenlanden;10710;90.2;9662;9652;0.0;3327;574;255;6.0;0.0;221;20;457;3.0;5;2064;14;31.0;11;394;346;1.0;1923;0.0;34.5;5.9;2.6;0.1;0.0;2.3;0.2;4.7;0.0;0.1;21.4;0.1;0.3;0.1;4.1;3.6;0.0;19.9;3;28;00;30;0689
140;Gilze en Rijen;18581;81.3;15105;15086;4.0;5076;43;595;6.0;25.0;592;81;863;;3;3917;39;59.0;18;7;1087;2.0;2669;0.0;33.6;0.3;3.9;0.0;0.2;3.9;0.5;5.7;;0.0;26.0;0.3;0.4;0.1;0.0;7.2;0.0;17.7;4;30;00;34;0784
141;Goedereede;8796;89.0;7825;7819;0.0;2710;300;139;0.0;1.0;100;20;393;3.0;1;1121;5;29.0;8;1619;185;3.0;1182;0.0;34.7;3.8;1.8;0.0;0.0;1.3;0.3;5.0;0.0;0.0;14.3;0.1;0.4;0.1;20.7;2.4;0.0;15.1;3;28;00;29;0511
142;Goes;27723;80.1;22209;22198;;7063;671;683;;12.0;1179;65;835;;9;5429;42;127.0;27;1434;1208;;3414;;31.8;3.0;3.1;;0.1;5.3;0.3;3.8;;0.0;24.5;0.2;0.6;0.1;6.5;5.4;;15.4;3;29;00;32;0664
143;Goirle;17177;81.9;14060;14048;1.0;4572;21;601;4.0;5.0;672;61;632;;4;3503;29;41.0;18;2;1223;3.0;2656;0.0;32.5;0.1;4.3;0.0;0.0;4.8;0.4;4.5;;0.0;24.9;0.2;0.3;0.1;0.0;8.7;0.0;18.9;4;30;17;34;0785
144;Gorinchem;24720;78.0;19281;19258;2.0;4309;627;770;5.0;24.0;793;76;1181;0.0;8;6241;25;86.0;7;318;1152;1.0;3633;0.0;22.4;3.3;4.0;0.0;0.1;4.1;0.4;6.1;0.0;0.0;32.4;0.1;0.4;0.0;1.7;6.0;0.0;18.9;3;28;00;30;0512
145;Gorssel;10521;88.3;9292;9284;1.0;2931;77;441;1.0;1.0;421;28;267;;1;2300;11;34.0;3;6;440;;2321;0.0;31.6;0.8;4.8;0.0;0.0;4.5;0.3;2.9;;0.0;24.8;0.1;0.4;0.0;0.1;4.7;;25.0;2;25;00;14;0239
146;Gouda;51798;82.6;42789;42724;8.0;9708;1425;2006;16.0;8.0;2621;149;3622;;15;11765;32;242.0;59;1379;2413;6.0;7250;0.0;22.7;3.3;4.7;0.0;0.0;6.1;0.3;8.5;;0.0;27.5;0.1;0.6;0.1;3.2;5.6;0.0;17.0;3;28;00;28;0513
147;Graafstroom;6790;90.2;6124;6121;0.0;2653;514;74;4.0;0.0;109;14;179;2.0;0;699;4;17.0;3;984;136;0.0;729;0.0;43.3;8.4;1.2;0.1;0.0;1.8;0.2;2.9;0.0;0.0;11.4;0.1;0.3;0.0;16.1;2.2;0.0;11.9;3;28;00;30;0693
148;Graft-De Rijp;4714;89.0;4197;4197;2.0;1248;8;218;;0.0;201;22;203;;1;946;4;34.0;1;3;258;;1048;0.0;29.7;0.2;5.2;;0.0;4.8;0.5;4.8;;0.0;22.5;0.1;0.8;0.0;0.1;6.1;;25.0;3;27;00;23;0365
149;Grave;9333;82.9;7740;7735;1.0;2715;30;274;1.0;1.0;357;20;393;;3;1697;10;40.0;8;4;749;0.0;1432;0.0;35.1;0.4;3.5;0.0;0.0;4.6;0.3;5.1;;0.0;21.9;0.1;0.5;0.1;0.1;9.7;0.0;18.5;4;30;00;35;0786
150;'s-Gravendeel;7007;83.7;5865;5863;0.0;1932;143;152;6.0;1.0;146;20;388;1.0;1;1481;6;43.0;7;297;246;0.0;993;0.0;33.0;2.4;2.6;0.1;0.0;2.5;0.3;6.6;0.0;0.0;25.3;0.1;0.7;0.1;5.1;4.2;0.0;16.9;3;28;15;30;0517
151;'s-Gravenhage;358076;70.8;253507;252929;30.0;46197;2796;14208;;414.0;17064;850;21449;49.0;143;73502;199;2245.0;343;1158;14754;533.0;56995;0.0;18.3;1.1;5.6;;0.2;6.7;0.3;8.5;0.0;0.1;29.1;0.1;0.9;0.1;0.5;5.8;0.2;22.5;3;28;13;26;0518
152;'s-Gravenhage: briefstemmers;25644;88.1;22605;22460;4.0;4399;384;1573;;7.0;2361;43;1166;2.0;12;3560;1;78.0;26;160;1233;6.0;7445;0.0;19.6;1.7;7.0;;0.0;10.5;0.2;5.2;0.0;0.1;15.9;0.0;0.3;0.1;0.7;5.5;0.0;33.1;3;28;13;26;0998
153;'s-Gravenzande;14476;85.9;12428;12416;1.0;5386;295;276;4.0;7.0;254;61;1005;2.0;3;1638;16;49.0;18;362;252;1.0;2786;0.0;43.4;2.4;2.2;0.0;0.1;2.0;0.5;8.1;0.0;0.0;13.2;0.1;0.4;0.1;2.9;2.0;0.0;22.4;3;28;00;27;0519
154;Groenlo;7370;82.7;6095;6089;0.0;2919;11;145;0.0;0.0;176;19;179;;0;1442;13;21.0;4;6;356;;798;0.0;47.9;0.2;2.4;0.0;0.0;2.9;0.3;2.9;;0.0;23.7;0.2;0.3;0.1;0.1;5.8;;13.1;2;25;00;14;0240
155;Groesbeek;14742;81.1;11956;11950;;3969;32;342;;4.0;610;41;566;;2;3949;25;31.0;4;6;930;;1439;;33.2;0.3;2.9;;0.0;5.1;0.3;4.7;;0.0;33.0;0.2;0.3;0.0;0.1;7.8;;12.0;2;25;00;15;0241
156;Groningen;144046;81.4;117279;117155;11.0;15363;4349;7134;;21.0;11850;273;3194;;174;45615;110;542.0;88;192;12031;;16208;0.0;13.1;3.7;6.1;;0.0;10.1;0.2;2.7;;0.1;38.9;0.1;0.5;0.1;0.2;10.3;;13.8;1;20;01;03;0014
157;Grootegast;8785;83.1;7300;7296;1.0;3349;609;137;;1.0;200;18;263;;4;1568;7;29.0;6;70;307;;727;0.0;45.9;8.3;1.9;;0.0;2.7;0.2;3.6;;0.1;21.5;0.1;0.4;0.1;1.0;4.2;;10.0;1;20;00;03;0015
158;Gulpen-Wittem;11730;83.1;9743;9734;;4621;30;238;5.0;1.0;413;32;464;;2;2295;9;37.0;7;4;502;;1074;;47.5;0.3;2.4;0.1;0.0;4.2;0.3;4.8;;0.0;23.6;0.1;0.4;0.1;0.0;5.2;;11.0;4;31;00;39;1729
159;Haaksbergen;18244;85.0;15509;15490;;7341;59;479;6.0;;453;40;550;;6;3424;25;;9;7;616;;2475;;47.4;0.4;3.1;0.0;;2.9;0.3;3.6;;0.0;22.1;0.2;;0.1;0.0;4.0;;16.0;2;23;00;12;0158
160;Haaren;10447;82.0;8567;8561;0.0;4000;27;284;5.0;0.0;321;38;333;;5;1554;18;21.0;8;4;426;0.0;1517;0.0;46.7;0.3;3.3;0.1;0.0;3.7;0.4;3.9;;0.1;18.2;0.2;0.2;0.1;0.0;5.0;0.0;17.7;4;30;00;35;0788
161;Haarlem;112100;78.4;87888;87797;16.0;16298;976;5702;32.0;72.0;7257;350;4886;;58;27428;123;785.0;113;128;7229;;16344;0.0;18.6;1.1;6.5;0.0;0.1;8.3;0.4;5.6;;0.1;31.2;0.1;0.9;0.1;0.1;8.2;;18.6;3;27;11;21;0392
162;Haarlemmerliede c.a.;4096;86.6;3546;3542;0.0;1057;21;236;2.0;0.0;177;11;226;;2;691;3;22.0;4;4;174;;912;0.0;29.8;0.6;6.7;0.1;0.0;5.0;0.3;6.4;;0.1;19.5;0.1;0.6;0.1;0.1;4.9;;25.7;3;27;00;21;0393
163;Haarlemmermeer;89689;82.6;74058;73990;21.0;20218;1093;3670;31.0;18.0;3328;367;4868;;37;15273;86;424.0;73;499;3367;;20617;0.0;27.3;1.5;5.0;0.0;0.0;4.5;0.5;6.6;;0.1;20.6;0.1;0.6;0.1;0.7;4.6;;27.9;3;27;00;23;0394
164;Haelen;7730;77.8;6015;6004;;2560;8;222;1.0;2.0;211;24;310;;0;1267;10;50.0;2;4;301;;1032;;42.6;0.1;3.7;0.0;0.0;3.5;0.4;5.2;;0.0;21.1;0.2;0.8;0.0;0.1;5.0;;17.2;4;31;00;38;0914
165;Halderberge;22665;76.7;17390;17374;4.0;6117;75;529;7.0;6.0;544;81;1305;;3;4170;39;62.0;19;11;1009;0.0;3393;0.0;35.2;0.4;3.0;0.0;0.0;3.1;0.5;7.5;;0.0;24.0;0.2;0.4;0.1;0.1;5.8;0.0;19.5;4;30;00;33;1655
166;Hardenberg;42453;86.4;36685;36667;;15805;3941;642;3.0;;882;119;1205;;8;8465;49;;20;367;1277;;3884;;43.1;10.7;1.8;0.0;;2.4;0.3;3.3;;0.0;23.1;0.1;;0.1;1.0;3.5;;10.6;2;23;00;10;0160
167;Harderwijk;29766;83.4;24828;24812;2.0;9724;1547;767;6.0;45.0;1087;85;1084;;6;4412;30;83.0;19;523;980;;4412;0.0;39.2;6.2;3.1;0.0;0.2;4.4;0.3;4.4;;0.0;17.8;0.1;0.3;0.1;2.1;3.9;;17.8;2;25;00;13;0243
168;Hardinxveld-Giessendam;13036;88.1;11485;11477;1.0;3782;1318;147;3.0;2.0;161;28;502;0.0;3;2096;7;32.0;4;1822;297;0.0;1272;0.0;33.0;11.5;1.3;0.0;0.0;1.4;0.2;4.4;0.0;0.0;18.3;0.1;0.3;0.0;15.9;2.6;0.0;11.1;3;28;15;30;0523
169;Haren;14451;90.2;13029;13023;1.0;3075;544;897;;0.0;875;15;328;;4;3656;5;34.0;6;49;484;;3050;0.0;23.6;4.2;6.9;;0.0;6.7;0.1;2.5;;0.0;28.1;0.0;0.3;0.0;0.4;3.7;;23.4;1;20;01;03;0017
170;Harenkarspel;11638;84.4;9823;9820;0.0;3405;49;451;;2.0;490;51;534;;4;2074;16;49.0;4;3;491;;2197;0.0;34.7;0.5;4.6;;0.0;5.0;0.5;5.4;;0.0;21.1;0.2;0.5;0.0;0.0;5.0;;22.4;3;27;00;18;0395
171;Harlingen;11638;80.7;9388;9383;1.0;2254;280;281;;2.0;460;63;431;;5;3511;14;38.0;12;8;654;;1369;0.0;24.0;3.0;3.0;;0.0;4.9;0.7;4.6;;0.1;37.4;0.1;0.4;0.1;0.1;7.0;;14.6;1;21;00;04;0072
172;Hattem;8892;88.6;7880;7875;0.0;2692;984;221;1.0;0.0;209;19;186;;1;2161;8;29.0;1;92;228;;1043;0.0;34.2;12.5;2.8;0.0;0.0;2.7;0.2;2.4;;0.0;27.4;0.1;0.4;0.0;1.2;2.9;;13.2;2;25;00;13;0244
173;Heel;6393;74.8;4785;4775;;2007;3;162;0.0;1.0;139;24;212;;1;1085;4;40.0;0;2;286;;809;;42.0;0.1;3.4;0.0;0.0;2.9;0.5;4.4;;0.0;22.7;0.1;0.8;0.0;0.0;6.0;;16.9;4;31;00;38;1937
174;Heemskerk;26772;80.8;21625;21608;3.0;6176;183;873;4.0;13.0;1287;125;1399;;14;6046;26;121.0;25;28;1292;;3993;0.0;28.6;0.8;4.0;0.0;0.1;6.0;0.6;6.5;;0.1;28.0;0.1;0.6;0.1;0.1;6.0;;18.5;3;27;00;20;0396
175;Heemstede;19462;88.5;17222;17212;2.0;4479;131;1376;2.0;0.0;965;38;660;;3;3152;10;95.0;15;20;713;;5551;0.0;26.0;0.8;8.0;0.0;0.0;5.6;0.2;3.8;;0.0;18.3;0.1;0.6;0.1;0.1;4.1;;32.3;3;27;11;21;0397
176;Heerde;13843;86.6;11989;11983;3.0;4846;915;234;1.0;0.0;261;26;391;;3;3213;18;59.0;0;277;324;;1412;0.0;40.4;7.6;2.0;0.0;0.0;2.2;0.2;3.3;;0.0;26.8;0.2;0.5;0.0;2.3;2.7;;11.8;2;25;00;13;0246
177;Heerenveen;32183;80.7;25960;25936;7.0;5602;688;885;;1.0;1177;169;892;;23;10677;35;107.0;22;33;1610;;4008;0.0;21.6;2.7;3.4;;0.0;4.5;0.7;3.4;;0.1;41.2;0.1;0.4;0.1;0.1;6.2;;15.5;1;21;00;06;0074
