ID;Gebieden;AantalWoningen_1;AantalBewoners_2;AantalWoningen_3;AantalBewoners_4;AantalWoningen_5;AantalBewoners_6;AantalWoningen_7;AantalVertrekken_8;AantalBewoners_9;AantalWoningen_10;AantalBewoners_11;AantalWoningen_12;AantalBewoners_13;AantalWoningen_14;AantalBewoners_15;AantalWoningen_16;AantalVertrekken_17;AantalBewoners_18;AantalWoningen_19;AantalBewoners_20;AantalWoningen_21;AantalBewoners_22;AantalWoningen_23;AantalBewoners_24;AantalWoningen_25;AantalBewoners_26;Pagina_27
156;Amsterdam, Wijk S;360;1642;0;0;360;1642;172;344;973;0;0;17;65;155;908;0;0;4;32;20;141;114;737;138;414;910;WS 18
157;Amsterdam, Wijk T;1156;3711;2;3;1154;3708;2498;4996;12096;2;9;331;1367;2165;10720;0;0;18;74;712;3365;1077;5333;1807;5421;8772;WS 18
158;Amsterdam, Wijk U;598;1933;1;4;597;1929;589;1178;2627;0;0;81;334;508;2293;0;0;8;25;87;444;228;1162;323;969;1631;WS 18
159;Amsterdam, Wijk V;206;726;1;2;205;724;372;744;1605;0;0;63;276;309;1329;0;0;3;22;87;399;169;891;259;777;1312;WS 18
160;Amsterdam, Wijk W;513;1764;1;2;512;1762;511;1022;2234;0;0;76;289;435;1945;0;0;18;77;191;852;305;1534;514;1542;2463;WS 18
161;Amsterdam, Wijk X;294;782;2;8;292;774;290;580;989;0;0;47;138;243;851;0;0;5;13;40;160;123;481;168;504;654;WS 18
162;Amsterdam, Wijk Y;151;333;0;0;151;333;168;336;463;0;0;22;57;146;406;0;0;3;8;34;134;70;275;107;321;417;WS 18
163;Amsterdam, Wijk Z;350;859;0;0;350;857;573;1146;2011;0;0;98;314;475;1697;0;0;9;32;101;458;260;1057;370;1110;1547;WS 18
164;Amsterdam, Wijk AA;461;1107;1;2;460;1105;589;1178;2009;0;0;91;240;498;1769;0;0;12;39;97;383;255;1001;364;1092;1423;WS 18
165;Amsterdam, Wijk BB;325;692;0;0;325;692;355;710;1202;0;0;48;152;307;1050;0;0;4;10;75;271;162;678;241;723;959;WS 18
166;Amsterdam, Wijk CC;428;1139;3;11;425;1128;569;1138;2219;0;0;88;276;481;1943;0;0;5;26;108;408;241;1061;354;1062;1495;WS 18
167;Amsterdam, Wijk DD;568;1681;1;1;567;1680;493;986;2045;1;5;64;240;428;1800;0;0;7;31;72;304;130;579;209;627;914;WS 18
168;Amsterdam, Wijk EE;880;2800;0;0;880;2800;567;1134;2542;1;2;89;394;477;2146;0;0;9;51;115;531;149;752;273;819;1334;WS 18
169;Amsterdam, Wijk FF;568;1905;0;0;568;1905;524;1048;2449;0;0;101;450;423;1999;0;0;8;35;97;461;80;375;185;555;871;WS 18
170;Amsterdam, Wijk GG;743;2226;0;0;743;2226;543;1086;2241;0;0;82;333;461;1908;0;0;4;18;167;729;114;585;285;855;1332;WS 18
171;Amsterdam, Wijk HH;313;772;1;1;312;771;370;740;1337;0;0;96;255;274;1082;0;0;3;5;55;225;100;425;158;474;655;WS 18
172;Amsterdam, Wijk II;131;302;0;0;131;302;332;664;907;0;0;70;147;262;760;0;0;4;12;49;186;114;508;167;501;706;WS 18
173;Amsterdam, Wijk KK;267;582;0;0;267;582;289;578;795;0;0;52;132;237;663;0;0;6;23;28;123;112;406;146;438;552;WS 18
174;Amsterdam, Wijk LL;68;133;0;0;68;133;164;328;380;1;1;25;35;138;344;0;0;2;11;16;61;52;187;70;210;259;WS 18
175;Amsterdam, Wijk MM;425;1153;0;0;425;1153;473;946;1778;0;0;64;180;409;1598;0;0;5;21;159;622;207;809;371;1113;1452;WS 18
176;Amsterdam, Wijk NN;733;2322;0;0;733;2322;693;1386;3183;0;0;130;586;563;2597;0;0;17;81;125;578;159;753;301;903;1412;WS 18
177;Amsterdam, Wijk OO;1027;3266;0;0;1027;3266;947;1894;4309;0;0;134;564;813;3745;0;0;10;37;98;451;226;1095;334;1002;1583;WS 18
178;Amsterdam, Wijk PP;1015;3352;1;1;1014;3351;838;1676;3705;2;9;128;544;708;3152;0;0;10;43;140;677;174;849;324;972;1569;WS 18
179;Amsterdam, Wijk QQ;1380;4773;1;1;1379;4772;1515;3030;6722;1;4;208;812;1306;5906;0;0;17;71;381;1815;317;1600;715;2145;3486;WS 18
180;Amsterdam, Wijk RR;86;226;2;15;84;211;81;162;258;1;4;16;61;64;191;0;0;2;5;29;89;36;138;67;201;232;WS 18
181;Amsterdam, Wijk SS;226;562;0;0;226;562;243;486;753;0;0;43;120;200;633;0;0;6;31;33;127;77;320;116;348;478;WS 18
182;Amsterdam, Wijk TT;359;1037;0;0;359;1037;329;658;1210;4;14;89;332;236;864;0;0;8;47;145;541;167;696;320;960;1284;WS 18
183;Amsterdam, Wijk UU;832;2706;3;7;829;2699;1050;2100;4572;0;0;157;667;893;3905;0;0;10;57;261;1105;273;1313;544;1632;2475;WS 18
184;Amsterdam, Wijk VV;250;794;1;10;249;784;651;1302;3105;0;0;65;247;586;2858;0;0;5;22;320;1500;195;980;520;1560;2502;WS 20
185;Amsterdam, Wijk WW;372;1034;0;0;372;1034;1375;2750;5976;0;0;178;547;1197;5429;0;0;29;138;2149;9442;747;3480;2925;8775;13060;WS 20
186;Amsterdam, Wijk XX;353;731;0;0;353;731;1075;2150;3506;2;12;210;493;863;3001;0;0;11;41;1788;7544;558;2394;2357;7071;9979;WS 20
187;Amsterdam, Wijk YY;808;1351;5;6;803;1345;2098;4196;5905;2;16;493;908;1603;4991;0;0;47;208;2698;11064;896;3575;3641;10923;14847;WS 20
188;Amsterdam, Wijk ZZ;422;975;2;2;420;973;1649;3298;6204;0;0;317;852;1332;5352;1;2;23;102;2132;8959;788;3578;2944;8832;12641;WS 20
189;Amsterdam, Wijk ONA;598;1713;0;0;598;1713;1837;3674;7515;0;0;188;570;1649;6945;0;0;21;81;1139;5054;955;4570;2115;6345;9705;WS 20
190;Apeldoorn, Totaal;1717;7259;0;0;1717;7259;1645;3290;8062;0;0;67;338;1578;7724;0;0;1;5;81;377;667;3246;749;2247;3628;WS  6
191;Apeldoorn, Wijk A, Apeldoorn;250;1095;0;0;250;1095;346;692;1396;0;0;2;5;344;1391;0;0;0;0;24;108;176;733;200;600;841;WS  6
192;Apeldoorn, Wijk N, Hoog Soeren;4;10;0;0;4;10;30;60;134;0;0;7;29;23;105;0;0;0;0;2;8;17;85;19;57;93;WS  6
193;Apeldoorn, Wijk A, Beekbergen;38;167;0;0;38;167;41;82;258;0;0;0;0;41;258;0;0;0;0;1;7;6;31;7;21;38;WS  6
194;Apeldoorn, Wijk A, Loenen;25;95;0;0;25;95;40;80;212;0;0;0;0;40;212;0;0;0;0;1;6;24;157;25;75;163;WS  6
195;Apeldoorn, Wijk B, Zevenhuizen;174;799;0;0;174;799;84;168;392;0;0;7;29;77;363;0;0;0;0;8;28;27;123;35;105;151;WS  6
196;Apeldoorn, Wijk B, Zilven;85;385;0;0;85;385;25;50;155;0;0;2;7;23;148;0;0;0;0;0;0;5;18;5;15;18;WS  6
197;Apeldoorn, Wijk B, Brink en Orden;277;1076;0;0;277;1076;315;630;1571;0;0;6;24;309;1547;0;0;0;0;16;72;142;711;158;474;783;WS  6
198;Apeldoorn, Wijk D, Wormen;233;999;0;0;233;999;207;414;1033;0;0;23;137;184;896;0;0;0;0;14;72;77;347;91;273;419;WS  6
199;Apeldoorn, Wijk L, 't Loo;63;176;0;0;63;176;129;258;574;0;0;5;15;124;559;0;0;0;0;7;24;88;391;95;285;415;WS  6
200;Apeldoorn, Wijk A, Lieren;36;138;0;0;36;138;44;88;231;0;0;0;0;44;231;0;0;0;0;0;0;18;96;18;54;96;WS  6
201;Apeldoorn, Wijk C, Oosterhuizen;99;465;0;0;99;465;66;132;384;0;0;4;21;62;363;0;0;0;0;2;13;12;74;14;42;87;WS  6
202;Apeldoorn, Wijk D, Engeland;25;104;0;0;25;104;25;50;129;0;0;2;12;23;117;0;0;0;0;1;5;5;26;6;18;31;WS  6
203;Apeldoorn, Wijk E, Ughelen;44;209;0;0;44;209;32;64;165;0;0;0;0;32;165;0;0;0;0;1;4;8;49;9;27;53;WS  6
204;Apeldoorn, Wijk E, Woudhuis;55;242;0;0;55;242;39;78;239;0;0;1;7;38;232;0;0;0;0;0;0;11;91;11;33;91;WS  6
205;Apeldoorn, Wijk F, Anklaar;62;256;0;0;62;256;26;52;156;0;0;2;8;24;148;0;0;0;0;1;7;5;33;6;18;40;WS  6
206;Apeldoorn, Wijk F, Hoenderloo;59;250;0;0;59;250;29;58;191;0;0;1;9;28;182;0;0;0;0;2;18;7;54;9;27;72;WS  6
207;Apeldoorn, Wijk G, Broekland;14;40;0;0;14;40;48;96;244;0;0;0;0;48;244;0;0;0;0;0;0;7;41;7;21;41;WS  6
208;Apeldoorn, Wijk H, Beemte;33;145;0;0;33;145;35;70;190;0;0;2;15;33;175;0;0;1;5;1;5;6;34;8;24;44;WS  6
209;Apeldoorn, Wijk I, Weenum;41;197;0;0;41;197;27;54;132;0;0;1;10;26;122;0;0;0;0;0;0;6;38;6;18;38;WS  6
210;Apeldoorn, Wijk K, Wiessel;57;215;0;0;57;215;28;56;143;0;0;0;0;28;143;0;0;0;0;0;0;10;47;10;30;47;WS  6
211;Apeldoorn, Wijk M, N.-Apeldoorn;43;196;0;0;43;196;29;58;133;0;0;2;10;27;123;0;0;0;0;0;0;10;67;10;30;67;WS  6
212;Arnhem, Totaal;1213;4248;3;16;1210;4232;3949;7898;16567;0;0;641;2299;3308;14268;0;0;60;264;1146;5210;1136;5283;2342;7026;10757;WS  6
213;Arnhem, Wijk I;82;242;0;0;82;242;305;610;1248;0;0;36;139;269;1109;0;0;7;29;49;224;104;516;160;480;769;WS  6
214;Arnhem, Wijk II;203;708;0;0;203;708;370;740;1364;0;0;105;373;265;991;0;0;12;64;67;286;111;452;190;570;802;WS  6
215;Arnhem, Wijk III;97;250;1;6;96;244;309;618;1039;0;0;81;231;228;808;0;0;16;62;99;406;132;573;247;741;1041;WS  6
216;Arnhem, Wijk IV;158;490;1;3;157;487;582;1164;2311;0;0;110;405;472;1906;0;0;6;24;76;305;118;512;200;600;841;WS  6
217;Arnhem, Wijk V;118;374;0;0;118;374;378;756;1588;0;0;43;160;335;1428;0;0;1;1;137;568;72;288;210;630;857;WS  6
218;Arnhem, Wijk VI;230;768;0;0;230;768;1003;2006;4411;0;0;147;563;856;3848;0;0;10;48;284;1386;283;1356;577;1731;2790;WS  6
219;Arnhem, Wijk VII;293;1290;1;7;292;1283;720;1440;3231;0;0;105;378;615;2853;0;0;7;31;373;1733;195;933;575;1725;2697;WS  6
220;Arnhem, Wijk VIII;32;126;0;0;32;126;282;564;1375;0;0;14;50;268;1325;0;0;1;5;61;302;121;653;183;549;960;WS  6
221;Assen, Totaal;911;3907;0;0;911;3907;735;1470;3272;2;8;38;179;695;3085;0;0;4;12;44;195;203;989;251;753;1196;WS 48
222;Assen, Wijk A;340;1304;0;0;340;1304;471;942;1946;1;3;25;105;445;1838;0;0;4;12;36;158;133;621;173;519;791;WS 48
223;Assen, Wijk B;194;887;0;0;194;887;93;186;471;0;0;6;36;87;435;0;0;0;0;5;22;53;276;58;174;298;WS 48
224;Assen, Wijk C;185;828;0;0;185;828;80;160;383;1;5;1;8;78;370;0;0;0;0;1;7;7;43;8;24;50;WS 48
225;Assen, Wijk D;192;888;0;0;192;888;91;182;472;0;0;6;30;85;442;0;0;0;0;2;8;10;49;12;36;57;WS 48
226;Bergen op Zoom, Totaal;493;1730;0;0;493;1730;1141;2282;5130;0;0;102;422;1039;4708;0;0;9;36;101;534;412;2220;522;1566;2790;WS  2
227;Bergen op Zoom, Wijk A;5;20;0;0;5;20;8;16;25;0;0;1;1;7;24;0;0;0;0;1;9;14;62;15;45;71;WS  2
228;Bergen op Zoom, Wijk B;12;34;0;0;12;34;63;126;235;0;0;8;26;55;209;0;0;1;2;12;38;27;150;40;120;190;WS  2
229;Bergen op Zoom, Wijk C;16;39;0;0;16;39;77;154;330;0;0;11;42;66;288;0;0;1;6;15;83;18;100;34;102;189;WS  2
230;Bergen op Zoom, Wijk D;50;166;0;0;50;166;113;226;533;0;0;19;98;94;435;0;0;0;0;14;74;43;257;57;171;331;WS  2
231;Bergen op Zoom, Wijk E;139;466;0;0;139;466;141;282;620;0;0;13;34;128;586;0;0;3;19;7;42;28;143;38;114;204;WS  2
232;Bergen op Zoom, Wijk F;2;8;0;0;2;8;25;50;67;0;0;4;19;21;48;0;0;1;2;3;11;7;36;11;33;49;WS  2
233;Bergen op Zoom, Wijk G;50;190;0;0;50;190;49;98;213;0;0;4;14;45;199;0;0;1;3;2;9;20;102;23;69;114;WS  2
234;Bergen op Zoom, Wijk H;31;78;0;0;31;78;48;96;201;0;0;11;39;37;162;0;0;1;2;12;65;28;120;41;123;187;WS  2
235;Bergen op Zoom, Wijk I;58;203;0;0;58;203;147;294;619;0;0;12;43;135;576;0;0;0;0;11;54;23;127;34;102;181;WS  2
236;Bergen op Zoom, Wijk K;99;424;0;0;99;424;241;482;1198;0;0;9;43;232;1155;0;0;1;2;12;71;53;306;66;198;379;WS  2
237;Bergen op Zoom, Wijk L;25;85;0;0;25;85;121;242;626;0;0;8;46;113;580;0;0;0;0;7;45;56;269;63;189;314;WS  2
238;Bergen op Zoom, Wijk M;5;11;0;0;5;11;108;216;463;0;0;2;17;106;446;0;0;0;0;5;33;94;546;99;297;579;WS  2
239;Bergen op Zoom, Wijk N;1;6;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;3;2;WS  2
240;Breda, Totaal;984;3477;0;0;984;3477;1799;3598;7963;0;0;181;752;1618;7211;0;0;25;96;271;1281;644;3061;941;2823;4441;WS  2
241;Dantumadeel, Totaal;2034;8606;0;0;2034;8606;295;590;1407;0;0;15;70;280;1337;0;0;2;10;6;43;92;446;100;300;499;WS 30
242;Dantumadeel, Wijk A;45;166;0;0;45;166;25;50;125;0;0;0;0;25;125;0;0;0;0;0;0;3;12;3;9;12;WS 30
243;Dantumadeel, Wijk B;101;356;0;0;101;356;23;46;97;0;0;2;9;21;88;0;0;1;6;0;0;6;33;7;21;39;WS 30
244;Dantumadeel, Wijk C;16;59;0;0;16;59;7;14;31;0;0;1;4;6;27;0;0;1;4;0;0;1;4;2;6;8;WS 30
245;Dantumadeel, Wijk D;8;50;0;0;8;50;8;16;27;0;0;0;0;8;27;0;0;0;0;0;0;12;67;12;36;67;WS 30
246;Dantumadeel, Wijk E;159;667;0;0;159;667;50;100;258;0;0;0;0;50;258;0;0;0;0;1;9;18;107;19;57;116;WS 30
247;Dantumadeel, Wijk F;443;1872;0;0;443;1872;37;74;183;0;0;6;34;31;149;0;0;0;0;1;7;10;39;11;33;46;WS 30
248;Dantumadeel, Wijk G;215;921;0;0;215;921;14;28;51;0;0;2;9;12;42;0;0;0;0;0;0;7;26;7;21;26;WS 30
249;Dantumadeel, Wijk H;189;818;0;0;189;818;27;54;125;0;0;1;5;26;120;0;0;0;0;3;21;6;24;9;27;45;WS 30
250;Dantumadeel, Wijk I;171;743;0;0;171;743;14;28;79;0;0;1;5;13;74;0;0;0;0;0;0;2;11;2;6;11;WS 30
251;Dantumadeel, Wijk K;169;650;0;0;169;650;33;66;151;0;0;0;0;33;151;0;0;0;0;1;6;7;29;8;24;35;WS 30
252;Dantumadeel, Wijk L;382;1714;0;0;382;1714;10;20;55;0;0;1;2;9;53;0;0;0;0;0;0;5;29;5;15;29;WS 30
253;Dantumadeel, Wijk M;136;590;0;0;136;590;47;94;225;0;0;1;2;46;223;0;0;0;0;0;0;15;65;15;45;65;WS 30
254;Delft, Totaal;849;2534;0;0;849;2534;2311;4622;8546;3;12;367;1103;1941;7431;1;2;41;180;418;1915;1282;5874;1742;5226;7971;WS 14
255;Delft, Wijk 1;80;228;0;0;80;228;397;794;1463;0;0;26;74;371;1389;0;0;3;6;52;241;157;740;212;636;987;WS 14
256;Delft, Wijk 2;156;477;0;0;156;477;341;682;1519;0;0;71;304;270;1215;1;2;9;49;101;483;219;1045;330;990;1579;WS 14
257;Delft, Wijk 3;40;105;0;0;40;105;307;614;963;1;6;72;138;234;819;0;0;4;15;71;360;303;1395;378;1134;1770;WS 14
258;Delft, Wijk 4;97;258;0;0;97;258;241;482;911;0;0;43;143;198;768;0;0;9;47;64;295;157;697;230;690;1039;WS 14
259;Delft, Wijk 5;34;94;0;0;34;94;199;398;508;1;3;35;69;163;436;0;0;4;9;30;113;106;416;140;420;538;WS 14
260;Delft, Wijk 6;148;413;0;0;148;413;311;622;1251;0;0;47;179;264;1072;0;0;6;32;47;190;141;636;194;582;858;WS 14
261;Delft, Wijk 7;132;330;0;0;132;330;280;560;858;1;3;49;125;230;730;0;0;3;6;31;125;111;514;145;435;645;WS 14
262;Delft, Wijk 8;162;629;0;0;162;629;235;470;1073;0;0;24;71;211;1002;0;0;3;16;22;108;88;431;113;339;555;WS 14
263;Deventer, Totaal;1118;4269;20;83;1098;4186;1839;3678;8108;9;31;270;1042;1560;7035;7;28;77;372;302;1411;564;2663;950;2850;4474;WS 40
264;Dordrecht, Totaal;1118;3314;11;28;1107;3286;2584;5168;10607;0;0;354;1365;2230;9242;0;0;56;211;474;2112;1470;6837;2000;6000;9160;WS 14
265;Dordrecht, Wijk A;66;201;1;3;65;198;212;424;824;0;0;42;153;170;671;0;0;6;20;46;194;74;329;126;378;543;WS 14
266;Dordrecht, Wijk B;36;93;1;5;35;88;74;148;261;0;0;25;91;49;170;0;0;5;20;24;89;26;117;55;165;226;WS 14
267;Dordrecht, Wijk C;569;1659;4;11;565;1648;982;1964;4215;0;0;142;577;840;3638;0;0;21;85;125;555;287;1377;433;1299;2017;WS 14
268;Dordrecht, Wijk D;180;620;4;7;176;613;489;978;1965;0;0;68;240;421;1725;0;0;8;25;84;337;184;846;276;828;1208;WS 14
269;Dordrecht, Wijk E;207;564;0;0;207;564;578;1156;2348;0;0;56;230;522;2118;0;0;10;37;98;477;488;2226;596;1788;2740;WS 14
270;Dordrecht, Wijk F;60;177;1;2;59;175;249;498;994;0;0;21;74;228;920;0;0;6;24;97;460;411;1942;514;1542;2426;WS 14
271;Ede, Totaal;1018;4476;0;0;1018;4476;1014;2028;5344;0;0;104;567;910;4777;0;0;6;40;114;705;368;2133;488;1464;2878;WS  8
272;Ede, Wijk Otterloo;110;502;0;0;110;502;79;158;462;0;0;3;20;76;442;0;0;1;13;8;56;34;271;43;129;340;WS  8
273;Ede, Wijk Lunteren;128;441;0;0;128;441;209;418;1050;0;0;28;155;181;895;0;0;2;14;40;256;120;710;162;486;980;WS  8
274;Ede, Wijk Veenendaal;300;1402;0;0;300;1402;170;340;945;0;0;6;22;164;923;0;0;0;0;5;28;50;283;55;165;311;WS  8
275;Ede, Wijk Bennekom;107;466;0;0;107;466;151;302;745;0;0;34;183;117;562;0;0;2;11;30;186;45;238;77;231;435;WS  8
276;Ede, Wijk Ede;373;1665;0;0;373;1665;405;810;2142;0;0;33;187;372;1955;0;0;1;2;31;179;119;631;151;453;812;WS  8
277;Emmen, Totaal;2896;14887;0;0;2896;14887;479;958;2784;0;0;60;324;419;2460;0;0;1;10;21;129;108;669;130;390;808;WS 48
278;Emmen, Wijk A;223;1115;0;0;223;1115;48;96;259;0;0;26;131;22;128;0;0;1;10;8;43;1;2;10;30;55;WS 48
279;Emmen, Wijk A.A;71;344;0;0;71;344;16;32;106;0;0;0;0;16;106;0;0;0;0;0;0;1;4;1;3;4;WS 48
280;Emmen, Wijk B;343;1803;0;0;343;1803;46;92;308;0;0;12;76;34;232;0;0;0;0;1;10;4;27;5;15;37;WS 48
281;Emmen, Wijk B.A;40;186;0;0;40;186;15;30;90;0;0;0;0;15;90;0;0;0;0;0;0;4;27;4;12;27;WS 48
282;Emmen, Wijk C;103;477;0;0;103;477;63;126;353;0;0;3;17;60;336;0;0;0;0;3;22;14;92;17;51;114;WS 48
283;Emmen, Wijk D;248;1178;0;0;248;1178;56;112;342;0;0;1;2;55;340;0;0;0;0;3;13;28;165;31;93;178;WS 48
284;Emmen, Wijk E;230;1258;0;0;230;1258;23;46;123;0;0;3;14;20;109;0;0;0;0;0;0;2;15;2;6;15;WS 48
285;Emmen, Wijk E.A;73;421;0;0;73;421;12;24;79;0;0;2;12;10;67;0;0;0;0;0;0;0;0;0;0;0;WS 48
286;Emmen, Wijk F;310;1512;0;0;310;1512;70;140;391;0;0;6;39;64;352;0;0;0;0;0;0;17;120;17;51;120;WS 48
287;Emmen, Wijk F.A;26;130;0;0;26;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;WS 48
288;Emmen, Wijk G;162;880;0;0;162;880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;3;3;WS 48
289;Emmen, Wijk G.A;242;1206;0;0;242;1206;18;36;109;0;0;0;0;18;109;0;0;0;0;0;0;4;34;4;12;34;WS 48
290;Emmen, Wijk G.B;235;1264;0;0;235;1264;23;46;118;0;0;4;20;19;98;0;0;0;0;2;20;3;12;5;15;32;WS 48
291;Emmen, Wijk G.C;30;147;0;0;30;147;47;94;254;0;0;0;0;47;254;0;0;0;0;1;2;17;91;18;54;93;WS 48
292;Emmen, Wijk H;119;658;0;0;119;658;11;22;58;0;0;1;2;10;56;0;0;0;0;1;5;2;7;3;9;12;WS 48
293;Emmen, Wijk I;246;1276;0;0;246;1276;7;14;44;0;0;0;0;7;44;0;0;0;0;0;0;4;35;4;12;35;WS 48
294;Emmen, Wijk I.A;98;517;0;0;98;517;14;28;83;0;0;1;5;13;78;0;0;0;0;2;14;4;27;6;18;41;WS 48
295;Emmen, Wijk I.B;97;515;0;0;97;515;10;20;67;0;0;1;6;9;61;0;0;0;0;0;0;2;8;2;6;8;WS 48
296;Enschede, Totaal;349;1245;0;0;349;1245;1774;3548;8897;0;0;56;218;1718;8679;0;0;8;34;335;1655;751;4233;1094;3282;5922;WS 40
297;Gorinchem, Totaal;545;2056;3;7;542;2049;832;1664;3609;1;5;132;499;699;3105;0;0;12;31;150;573;274;1367;436;1308;1971;WS 16
298;Gorinchem, Wijk A;114;415;2;5;112;410;184;368;840;0;0;34;132;150;708;0;0;3;7;26;100;83;425;112;336;532;WS 16
299;Gorinchem, Wijk B;186;765;0;0;186;765;218;436;921;0;0;37;130;181;791;0;0;4;9;44;169;55;278;103;309;456;WS 16
300;Gorinchem, Wijk C;70;282;0;0;70;282;138;276;567;1;5;21;79;116;483;0;0;2;4;40;130;70;327;112;336;461;WS 16
301;Gorinchem, Wijk D;147;482;1;2;146;480;227;454;953;0;0;37;144;190;809;0;0;3;11;37;163;46;225;86;258;399;WS 16
302;Gorinchem, Wijk E;28;112;0;0;28;112;65;130;328;0;0;3;14;62;314;0;0;0;0;3;11;20;112;23;69;123;WS 16
303;Gouda, Totaal;490;1372;11;40;479;1332;1418;2836;5389;3;8;447;1576;968;3805;1;9;85;391;918;3921;575;2560;1579;4737;6881;WS 16
304;Gouda, Wijk A;12;36;1;5;11;31;28;56;67;0;0;8;14;20;53;0;0;5;21;16;61;16;57;37;111;139;WS 14
305;Gouda, Wijk B;12;26;0;0;12;26;42;84;98;0;0;10;15;32;83;0;0;1;5;19;76;25;99;45;135;180;WS 14
306;Gouda, Wijk C;25;64;1;4;24;60;33;66;121;0;0;14;46;19;75;0;0;4;17;28;84;20;73;52;156;174;WS 14
307;Gouda, Wijk D;2;10;1;6;1;4;26;52;91;0;0;13;51;13;40;1;9;4;6;18;65;8;34;31;93;114;WS 14
308;Gouda, Wijk E;6;9;0;0;6;9;21;42;70;0;0;6;18;15;52;0;0;0;0;12;49;13;66;25;75;115;WS 14
309;Gouda, Wijk F;17;27;0;0;17;27;41;82;149;0;0;10;30;31;119;0;0;5;21;31;121;17;91;53;159;233;WS 14
310;Gouda, Wijk G;21;55;0;0;21;55;48;96;175;0;0;6;18;42;157;0;0;0;0;17;77;19;95;36;108;172;WS 14
311;Gouda, Wijk H;8;15;0;0;8;15;41;82;131;1;3;10;29;30;99;0;0;3;5;38;139;30;139;71;213;283;WS 14
312;Gouda, Wijk I;23;32;2;3;21;29;61;122;201;1;1;27;85;33;115;0;0;9;36;41;148;16;74;66;198;258;WS 14
313;Gouda, Wijk K;49;155;0;0;49;155;76;152;301;1;4;24;82;51;215;0;0;0;0;44;211;24;99;68;204;310;WS 14
314;Gouda, Wijk L;32;64;0;0;32;64;127;254;531;0;0;40;171;87;360;0;0;12;66;83;388;53;240;148;444;694;WS 16
315;Gouda, Wijk M;38;148;1;1;37;147;102;204;446;0;0;28;133;74;313;0;0;7;37;51;262;19;74;77;231;373;WS 16
316;Gouda, Wijk N;64;115;1;6;63;109;139;278;502;0;0;38;122;101;380;0;0;4;18;42;183;51;240;97;291;441;WS 16
317;Gouda, Wijk O;79;244;1;7;78;237;241;482;887;0;0;121;402;120;485;0;0;16;94;123;554;50;241;189;567;889;WS 16
318;Gouda, Wijk P;44;183;1;4;43;179;105;210;470;0;0;29;112;76;358;0;0;3;18;130;611;56;232;189;567;861;WS 16
319;Gouda, Wijk Q;12;29;0;0;12;29;64;128;222;0;0;17;47;47;175;0;0;3;10;29;115;32;112;64;192;237;WS 16
320;Gouda, Wijk R;33;101;2;4;31;97;175;350;713;0;0;40;176;135;537;0;0;8;32;143;567;82;367;233;699;966;WS 16
321;Gouda, Wijk S;0;0;0;0;0;0;22;44;92;0;0;2;12;20;80;0;0;1;5;13;52;27;144;41;123;201;WS 16
322;Gouda, Wijk T;13;59;0;0;13;59;20;40;101;0;0;2;7;18;94;0;0;0;0;3;18;6;30;9;27;48;WS 16
323;Gouda, Wijk RR;0;0;0;0;0;0;6;12;21;0;0;2;6;4;15;0;0;0;0;37;140;11;53;48;144;193;WS 16
324;Gravenhage ('s), Totaal;9346;27579;0;0;9346;27579;11349;22698;43867;3;23;1294;4241;10052;39603;0;0;156;605;2462;10000;5666;24585;8284;24852;35190;WS 12
325;Gravenhage ('s), Wijk 1;1763;4589;0;0;1763;4589;2482;4964;9247;0;0;363;1162;2119;8085;0;0;53;201;819;3365;1631;6848;2503;7509;10414;WS 12
326;Gravenhage ('s), Wijk 2;1388;3706;0;0;1388;3706;1403;2806;5237;0;0;177;598;1226;4639;0;0;12;48;296;1162;655;2883;963;2889;4093;WS 12
327;Gravenhage ('s), Wijk 3;1497;4598;0;0;1497;4598;1529;3058;6419;0;0;183;649;1346;5770;0;0;19;71;328;1487;672;3007;1019;3057;4565;WS 12
328;Gravenhage ('s), Wijk 4;704;1666;0;0;704;1666;1414;2828;4058;0;0;166;371;1248;3687;0;0;22;76;353;1187;729;2720;1104;3312;3983;WS 12
329;Gravenhage ('s), Wijk 5;333;956;0;0;333;956;631;1262;2285;0;0;62;208;569;2077;0;0;8;32;110;381;268;1028;386;1158;1441;WS 12
330;Gravenhage ('s), Wijk 6;337;680;0;0;337;680;586;1172;1565;0;0;63;146;523;1419;0;0;9;31;135;493;383;1353;527;1581;1877;WS 12
331;Gravenhage ('s), Wijk 7;1814;5520;0;0;1814;5520;1631;3262;6688;2;11;180;689;1449;5988;0;0;21;75;263;1154;687;3180;971;2913;4409;WS 12
332;Gravenhage ('s), Wijk 8;1510;5864;0;0;1510;5864;1673;3346;8368;1;12;100;418;1572;7938;0;0;12;71;158;771;641;3566;811;2433;4408;WS 12
333;Groningen (gem.), Totaal;4903;18784;1;2;4902;18782;4459;8918;19355;3;13;456;1823;4000;17519;2;10;71;325;389;1786;1226;5686;1688;5064;7807;WS 44
334;Groningen, Wijk A;49;146;0;0;49;146;65;130;210;0;0;10;30;55;180;0;0;4;17;9;27;35;158;48;144;202;WS 44
335;Groningen, Wijk B;19;56;0;0;19;56;37;74;125;0;0;5;21;32;104;0;0;2;6;8;30;22;83;32;96;119;WS 44
