ID;BedrijfstakBranchesSBI2008;Perioden;Werknemer_1;WerkzamePersoon_2;Werknemer_3;WerkzamePersoon_4;Totaal_5;NettoOmzet_6;OverigeBedrijfsopbrengsten_7;Totaal_8;InkoopwaardeOmzet_9;Totaal_10;Brutolonen_11;Totaal_12;SocialeVerzekeringspremiesWerkgever_13;PremiesPensioenVutInkoopsommen_14;OverigeSocialeLasten_15;OverigePersoneleKosten_16;Totaal_17;KostenEnergieverbruik_18;Huisvestingskosten_19;KostenApparatuurEnInventaris_20;KostenVervoermiddelen_21;Verkoopkosten_22;Communicatiekosten_23;KostenVanOverigeDiensten_24;NietEerderGenoemdeBedrijfskosten_25;AfschrijvingenOpVasteActiva_26;Bedrijfsresultaat_27;SaldoFinancieleBatenEnLasten_28;SaldoVoorzieningen_29;SaldoBuitengewoneBatenEnLasten_30;ResultaatVoorBelastingen_31
87;5223 Dienstverlening voor de luchtvaart;2011;5.2;6.3;4.5;5.5;1522.0;1500.0;22.0;1301.0;371.0;417.0;283.0;71.0;31.0;40.0;1.0;61.0;297.0;23.0;137.0;13.0;8.0;34.0;21.0;43.0;19.0;216.0;221.0;-11.0;-5.0;1.0;206.0
88;5223 Dienstverlening voor de luchtvaart;2012;5.3;6.2;4.6;5.4;1546.0;1521.0;26.0;1288.0;344.0;420.0;291.0;74.0;35.0;40.0;1.0;54.0;298.0;23.0;139.0;6.0;8.0;30.0;24.0;39.0;31.0;227.0;258.0;-21.0;0.0;-14.0;223.0
89;5223 Dienstverlening voor de luchtvaart;2013;5.0;5.9;4.6;5.4;1625.0;1601.0;24.0;1373.0;377.0;432.0;298.0;80.0;34.0;46.0;1.0;53.0;305.0;22.0;150.0;4.0;8.0;27.0;24.0;36.0;35.0;259.0;252.0;-26.0;0.0;-5.0;221.0
90;5224 Laad-, los- en overslagbedrijven;2009;10.8;13.3;9.9;11.4;2338.0;2311.0;26.0;2021.0;608.0;708.0;492.0;100.0;52.0;48.0;15.0;101.0;552.0;48.0;219.0;107.0;57.0;9.0;7.0;37.0;69.0;153.0;316.0;-35.0;-6.0;6.0;282.0
91;5224 Laad-, los- en overslagbedrijven;2010;10.8;12.7;9.7;11.1;2426.0;2413.0;13.0;2100.0;522.0;748.0;516.0;105.0;56.0;49.0;13.0;114.0;642.0;52.0;230.0;158.0;68.0;12.0;7.0;38.0;77.0;188.0;326.0;-39.0;-8.0;-10.0;268.0
92;5224 Laad-, los- en overslagbedrijven;2011;11.4;13.8;10.5;12.0;2615.0;2609.0;5.0;2336.0;576.0;829.0;575.0;113.0;60.0;53.0;12.0;129.0;729.0;50.0;227.0;186.0;91.0;18.0;8.0;43.0;107.0;203.0;279.0;-46.0;-3.0;5.0;234.0
93;5224 Laad-, los- en overslagbedrijven;2012;11.0;12.7;10.3;11.8;2592.0;2582.0;10.0;2375.0;609.0;834.0;573.0;124.0;68.0;56.0;14.0;124.0;745.0;51.0;217.0;192.0;105.0;16.0;11.0;47.0;106.0;187.0;217.0;-16.0;-9.0;-24.0;167.0
94;5224 Laad-, los- en overslagbedrijven;2013;11.0;13.0;10.3;11.9;2490.0;2475.0;15.0;2311.0;585.0;799.0;561.0;119.0;65.0;53.0;13.0;106.0;731.0;54.0;240.0;169.0;114.0;16.0;7.0;47.0;84.0;196.0;179.0;-30.0;-1.0;-7.0;142.0
95;5229 Tussenpersonen vrachtvervoer;2009;38.1;47.1;35.2;41.9;11211.0;11119.0;93.0;10796.0;7289.0;1961.0;1369.0;276.0;170.0;106.0;9.0;307.0;1365.0;48.0;356.0;53.0;249.0;92.0;47.0;149.0;371.0;181.0;416.0;-7.0;-3.0;-5.0;402.0
96;5229 Tussenpersonen vrachtvervoer;2010;35.5;44.8;32.5;40.3;12337.0;12175.0;161.0;11627.0;8120.0;1919.0;1326.0;266.0;171.0;95.0;10.0;317.0;1406.0;45.0;335.0;63.0;221.0;90.0;49.0;157.0;446.0;183.0;709.0;-4.0;-3.0;17.0;719.0
97;5229 Tussenpersonen vrachtvervoer;2011;37.3;45.9;34.1;41.8;13832.0;13645.0;187.0;13090.0;9320.0;2114.0;1468.0;304.0;191.0;112.0;10.0;332.0;1482.0;43.0;368.0;74.0;248.0;84.0;51.0;145.0;469.0;174.0;743.0;12.0;2.0;-57.0;699.0
98;5229 Tussenpersonen vrachtvervoer;2012;40.0;49.6;36.1;43.9;13766.0;13653.0;113.0;13164.0;9073.0;2259.0;1540.0;333.0;214.0;119.0;12.0;374.0;1620.0;47.0;427.0;80.0;289.0;106.0;50.0;168.0;454.0;212.0;602.0;129.0;2.0;16.0;749.0
99;5229 Tussenpersonen vrachtvervoer;2013;40.3;50.8;36.2;45.2;14341.0;14208.0;133.0;13738.0;9668.0;2268.0;1551.0;325.0;216.0;110.0;13.0;379.0;1607.0;47.0;391.0;68.0;306.0;113.0;47.0;156.0;480.0;195.0;603.0;-28.0;4.0;-13.0;566.0
100;53 Post en koeriers;2009;71.6;95.5;43.3;50.6;5299.0;5176.0;123.0;4566.0;1051.0;1968.0;1436.0;283.0;178.0;105.0;5.0;244.0;1397.0;23.0;208.0;49.0;192.0;58.0;25.0;371.0;471.0;150.0;733.0;234.0;48.0;8.0;1023.0
101;53 Post en koeriers;2010;71.3;102.5;41.2;50.7;5021.0;4886.0;135.0;4308.0;1158.0;1785.0;1357.0;226.0;165.0;61.0;6.0;197.0;1218.0;21.0;146.0;22.0;187.0;55.0;22.0;286.0;479.0;147.0;713.0;522.0;-121.0;12.0;1127.0
102;53 Post en koeriers;2011;70.1;103.5;39.8;49.8;5061.0;4888.0;173.0;4509.0;1161.0;1869.0;1336.0;323.0;170.0;153.0;4.0;205.0;1343.0;21.0;113.0;30.0;227.0;67.0;25.0;298.0;562.0;137.0;551.0;294.0;35.0;-4.0;875.0
103;53 Post en koeriers;2012;69.9;99.6;38.7;49.1;5198.0;5011.0;187.0;4732.0;1310.0;1889.0;1388.0;304.0;222.0;82.0;3.0;194.0;1397.0;21.0;131.0;28.0;230.0;57.0;23.0;335.0;572.0;136.0;465.0;188.0;106.0;24.0;783.0
104;53 Post en koeriers;2013;67.3;91.2;37.2;47.0;5222.0;5055.0;167.0;4839.0;1496.0;1944.0;1332.0;401.0;184.0;217.0;12.0;199.0;1266.0;20.0;129.0;26.0;231.0;64.0;22.0;323.0;451.0;134.0;382.0;-635.0;2.0;864.0;613.0
